Orthogroup	DMIR.longest_only	DKIK.longest_only
OG0000003	LOC108160275|XP_017149646.1|DMIR	LOC108072419|XP_017019013.1|DKIK
OG0000003	LOC117193381|XP_033253996.1|DMIR, LOC108160276|XP_017149647.1|DMIR	LOC108070794|XP_017016883.1|DKIK
OG0000003	LOC108160277|XP_033246842.1|DMIR, LOC108160733|XP_017150409.1|DMIR	LOC108070791|XP_017016879.1|DKIK, LOC108070793|XP_017016882.1|DKIK, LOC108070792|XP_017016880.1|DKIK
OG0000003	LOC108163634|XP_017154532.1|DMIR	LOC108073603|XP_017020784.1|DKIK
OG0000004	LOC108156703|XP_017143841.1|DMIR, LOC117187288|XP_033245550.1|DMIR, LOC117187289|XP_033245551.1|DMIR, LOC117187287|XP_033245549.1|DMIR, LOC117187293|XP_033245555.1|DMIR, LOC117187292|XP_033245554.1|DMIR, LOC117187295|XP_033245557.1|DMIR, LOC117187291|XP_033245553.1|DMIR, LOC117187294|XP_033245556.1|DMIR, LOC117187290|XP_033245552.1|DMIR	LOC108073963|XP_017021295.1|DKIK
OG0000005	LOC117188269|XP_033247714.1|DMIR, LOC117186052|XP_033242023.1|DMIR, LOC108164485|XP_017155735.2|DMIR	LOC108085749|XP_017037978.1|DKIK
OG0000006	LOC108156794|XP_017143962.2|DMIR, LOC117187298|XP_033245559.1|DMIR, LOC117187299|XP_033245560.1|DMIR, LOC117187301|XP_033245562.1|DMIR, LOC117187300|XP_033245561.1|DMIR, LOC117187297|XP_033245558.1|DMIR, LOC117187206|XP_033245270.1|DMIR	LOC108072846|XP_017019650.1|DKIK
OG0000006	LOC108156704|XP_017143842.2|DMIR	LOC108074091|XP_017021471.1|DKIK, LOC108070732|XP_017016820.1|DKIK
OG0000007	LOC108153040|XP_017138288.1|DMIR	LOC108071918|XP_017018366.1|DKIK
OG0000007	LOC108152481|XP_017137344.1|DMIR	LOC108071584|XP_017017854.1|DKIK
OG0000007	LOC108152482|XP_017137345.1|DMIR	LOC108071623|XP_017017894.1|DKIK, LOC108071566|XP_017017836.1|DKIK
OG0000007	LOC108163948|XP_017154978.1|DMIR	LOC108086265|XP_017038640.1|DKIK
OG0000007	LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR	LOC108078491|XP_017027862.1|DKIK
OG0000007	LOC108164248|XP_017155372.1|DMIR	LOC108086266|XP_017038642.1|DKIK
OG0000007	LOC108165521|XP_017157067.1|DMIR	LOC108078727|XP_017028217.1|DKIK
OG0000007	LOC108164169|XP_017155268.2|DMIR	LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK
OG0000007	LOC108152483|XP_017137346.1|DMIR	LOC108071626|XP_017017898.1|DKIK
OG0000007	LOC108152484|XP_017137347.1|DMIR	LOC108071627|XP_017017899.1|DKIK
OG0000008	LOC108154982|XP_017141010.1|DMIR	LOC108081759|XP_017032449.1|DKIK
OG0000008	LOC108151536|XP_017135679.1|DMIR	LOC108072724|XP_017019474.1|DKIK
OG0000008	LOC108161577|XP_017151355.1|DMIR	LOC108075890|XP_017023993.1|DKIK
OG0000008	LOC108151539|XP_017135683.2|DMIR	LOC108072727|XP_017019476.1|DKIK
OG0000008	LOC108154402|XP_017140161.1|DMIR	LOC108080420|XP_017030642.1|DKIK, LOC108080449|XP_017030674.1|DKIK
OG0000008	LOC108153895|XP_033244232.1|DMIR	LOC108080456|XP_017030682.1|DKIK
OG0000008	LOC108153896|XP_017139483.1|DMIR	LOC108080419|XP_017030641.1|DKIK
OG0000008	LOC108154491|XP_017140280.1|DMIR	LOC108080455|XP_017030681.1|DKIK
OG0000009	LOC108157813|XP_017145500.1|DMIR	LOC108076150|XP_017024404.1|DKIK
OG0000009	LOC108154360|XP_017140115.1|DMIR	LOC108076246|XP_017024517.1|DKIK
OG0000009	LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR	LOC108081760|XP_017032451.1|DKIK, LOC108081761|XP_017032452.1|DKIK, LOC108075985|XP_017024164.1|DKIK
OG0000009	LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR	LOC108070751|XP_017016837.1|DKIK
OG0000009	LOC108154377|XP_017140130.1|DMIR	LOC108080446|XP_017030671.1|DKIK
OG0000009	LOC108160943|XP_017150721.1|DMIR	LOC108082335|XP_017033154.1|DKIK
OG0000009	LOC108158336|XP_017146065.1|DMIR	LOC108082309|XP_017033129.1|DKIK, LOC108078551|XP_017027957.1|DKIK, LOC108078552|XP_017027958.1|DKIK, LOC108082375|XP_017033205.1|DKIK, LOC108082329|XP_017033149.1|DKIK, LOC108074693|XP_017022321.1|DKIK, LOC108082367|XP_017033197.1|DKIK, LOC108082310|XP_017033130.1|DKIK, LOC108082371|XP_017033201.1|DKIK
OG0000010	LOC117187315|XP_033245579.1|DMIR, LOC108156795|XP_017143963.1|DMIR	LOC108076493|XP_017024885.1|DKIK, LOC108081051|XP_017031512.1|DKIK, LOC108072854|XP_017019661.1|DKIK
OG0000010	LOC117187316|XP_033245580.1|DMIR	LOC108084633|XP_017036410.1|DKIK
OG0000011	LOC117185695|XP_017152271.2|DMIR, LOC108163065|XP_017153628.2|DMIR, LOC117188829|XP_033249173.1|DMIR, LOC108161855|XP_033249172.1|DMIR, LOC108164675|XP_017156017.1|DMIR, LOC108162189|XP_033249910.1|DMIR, LOC108162187|XP_017152275.1|DMIR, LOC108162186|XP_017152273.1|DMIR, LOC117188852|XP_033249240.1|DMIR, LOC108161557|XP_017151330.1|DMIR, LOC108163629|XP_017154523.1|DMIR, LOC108162188|XP_017152278.1|DMIR, LOC108163972|XP_017155018.1|DMIR, LOC117185693|XP_017154036.1|DMIR, LOC117188957|XP_033249531.1|DMIR, LOC108162812|XP_017153212.1|DMIR, LOC108163322|XP_033249532.1|DMIR, LOC108162815|XP_017153219.1|DMIR	LOC108074353|XP_017021868.1|DKIK, LOC108084761|XP_017036565.1|DKIK, LOC108084804|XP_017036651.1|DKIK, LOC108083260|XP_017034457.1|DKIK, LOC108084805|XP_017036652.1|DKIK, LOC108084755|XP_017036555.1|DKIK, LOC108083234|XP_017034430.1|DKIK, LOC108078960|XP_017028605.1|DKIK, LOC108072111|XP_017018626.1|DKIK, LOC108079747|XP_017029651.1|DKIK, LOC108078767|XP_017028297.1|DKIK, LOC108079746|XP_017029649.1|DKIK, LOC108077100|XP_017025772.1|DKIK, LOC108077099|XP_017025771.1|DKIK, LOC108077098|XP_017025769.1|DKIK, LOC108086138|XP_017038482.1|DKIK, LOC108086130|XP_017038471.1|DKIK, LOC108086060|XP_017038366.1|DKIK, LOC108081434|XP_017032105.1|DKIK, LOC108086061|XP_017038367.1|DKIK, LOC108079969|XP_017030022.1|DKIK, LOC108078656|XP_017028076.1|DKIK, LOC108072836|XP_017019617.1|DKIK, LOC108081964|XP_017032688.1|DKIK, LOC108072833|XP_017019613.1|DKIK, LOC108074515|XP_017022082.1|DKIK
OG0000011	LOC108153161|XP_017138453.1|DMIR	LOC108075323|XP_017023218.1|DKIK
OG0000011	LOC108154131|XP_017139754.1|DMIR	LOC108073175|XP_017020170.1|DKIK
OG0000012	LOC108159199|XP_017147755.1|DMIR	LOC108076784|XP_017025279.1|DKIK
OG0000012	LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR	LOC108076783|XP_017025278.1|DKIK
OG0000012	LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR	LOC108076799|XP_017025312.1|DKIK
OG0000012	LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR	LOC108076590|XP_017024991.1|DKIK
OG0000012	LOC108161008|XP_017150804.1|DMIR, LOC117185969|XP_033248320.1|DMIR, LOC108157993|XP_033248087.1|DMIR	LOC108076575|XP_017024974.1|DKIK
OG0000012	LOC108160910|XP_017150675.1|DMIR	LOC108076815|XP_017025335.1|DKIK, LOC108076574|XP_017024973.1|DKIK, LOC108076609|XP_017025012.1|DKIK
OG0000012	LOC108158925|XP_017147218.1|DMIR	LOC108082430|XP_017033289.1|DKIK
OG0000012	LOC108158929|XP_017147224.1|DMIR	LOC108082433|XP_017033293.1|DKIK
OG0000012	LOC108158928|XP_017147221.1|DMIR	LOC108082323|XP_017033142.1|DKIK, LOC108082625|XP_017033594.1|DKIK, LOC108082321|XP_017033140.1|DKIK, LOC108082322|XP_017033141.1|DKIK
OG0000012	LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR	LOC108082347|XP_017033172.1|DKIK
OG0000012	LOC108158927|XP_017147219.1|DMIR	LOC108082319|XP_017033138.1|DKIK
OG0000013	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR	LOC108074734|XP_017022389.1|DKIK
OG0000013	LOC108152903|XP_017138042.1|DMIR	LOC108079326|XP_017029113.1|DKIK
OG0000013	LOC108157123|XP_017144495.1|DMIR, LOC108156384|XP_017143289.1|DMIR	LOC108084190|XP_017035777.1|DKIK
OG0000013	LOC108151516|XP_033243870.1|DMIR	LOC108075225|XP_017023059.1|DKIK
OG0000013	LOC108154911|XP_017140853.2|DMIR, LOC117187087|XP_033244842.1|DMIR	LOC108084525|XP_017036250.1|DKIK, LOC108084560|XP_017036304.1|DKIK
OG0000013	LOC117187120|XP_033245008.1|DMIR, LOC117187121|XP_033245009.1|DMIR, LOC108154243|XP_017139966.2|DMIR, LOC108154002|XP_033245010.1|DMIR	LOC108077730|XP_017026675.1|DKIK, LOC108077704|XP_017026632.1|DKIK
OG0000015	LOC108154428|XP_017140186.1|DMIR	LOC108083925|XP_017035412.1|DKIK, LOC108083915|XP_017035398.1|DKIK, LOC108083916|XP_017035400.1|DKIK
OG0000015	LOC117189153|XP_033250113.1|DMIR, LOC108162329|XP_017152508.1|DMIR, LOC108162330|XP_017152509.1|DMIR	LOC108073116|XP_017020100.1|DKIK
OG0000016	LOC108156024|XP_017142762.1|DMIR	LOC108074071|XP_017021434.1|DKIK
OG0000016	LOC108160302|XP_017149703.1|DMIR, LOC117190705|XP_033251658.1|DMIR	LOC108078132|XP_017027246.1|DKIK
OG0000016	LOC108155657|XP_017142098.1|DMIR	LOC108085727|XP_017037944.1|DKIK
OG0000016	LOC108162328|XP_017152507.1|DMIR	LOC108084561|XP_017036305.1|DKIK
OG0000016	LOC108154361|XP_017140118.1|DMIR	LOC108084467|XP_017036167.1|DKIK
OG0000016	LOC117193102|XP_033253716.1|DMIR, LOC117194496|XP_033254943.1|DMIR, LOC117195216|XP_033255740.1|DMIR, LOC108159228|XP_017147821.1|DMIR	LOC108071378|XP_017017603.1|DKIK
OG0000016	LOC108156493|XP_017143475.1|DMIR	LOC108081075|XP_017031544.1|DKIK
OG0000016	LOC108150995|XP_017134834.1|DMIR	LOC108075195|XP_017023019.1|DKIK
OG0000017	LOC108153009|XP_017138281.1|DMIR	LOC108083777|XP_017035189.1|DKIK
OG0000017	LOC108160150|XP_017149453.1|DMIR	LOC108076702|XP_017025149.1|DKIK
OG0000017	LOC108159969|XP_017149141.1|DMIR, LOC108158038|XP_017145672.2|DMIR	LOC108074963|XP_017022684.1|DKIK
OG0000017	LOC108154022|XP_017139603.2|DMIR, LOC117191555|XP_033252276.1|DMIR	LOC108083626|XP_017034986.1|DKIK
OG0000017	LOC108160759|XP_017150448.1|DMIR	LOC108076532|XP_017024932.1|DKIK
OG0000017	LOC108159970|XP_017149142.1|DMIR	LOC108070625|XP_017016677.1|DKIK
OG0000017	LOC108157934|XP_017145566.1|DMIR	LOC108076530|XP_017024931.1|DKIK
OG0000017	LOC108161535|XP_017151304.1|DMIR, LOC108161536|XP_017151305.1|DMIR, LOC108161534|XP_017151303.1|DMIR	LOC108074314|XP_017021803.1|DKIK, LOC108074298|XP_017021778.1|DKIK, LOC108074287|XP_017021766.1|DKIK
OG0000018	LOC108150828|XP_017134625.1|DMIR	LOC108071595|XP_017017864.1|DKIK
OG0000018	LOC108150791|XP_017134583.1|DMIR	LOC108071573|XP_017017843.1|DKIK
OG0000018	LOC108150808|XP_017134601.1|DMIR, LOC108165552|XP_017157116.1|DMIR, LOC108165550|XP_017157115.1|DMIR, LOC108150800|XP_017134593.1|DMIR	LOC108071585|XP_017017855.1|DKIK, LOC108071604|XP_017017875.1|DKIK
OG0000018	LOC108150838|XP_017134636.2|DMIR, LOC108165543|XP_017157105.1|DMIR	LOC108071596|XP_017017865.1|DKIK, LOC108071599|XP_017017870.1|DKIK
OG0000019	LOC108157046|XP_017144351.1|DMIR, LOC108157045|XP_017144349.1|DMIR, LOC108157044|XP_017144348.1|DMIR	LOC108084990|XP_017036905.1|DKIK
OG0000019	LOC108157037|XP_017144339.1|DMIR	LOC108084902|XP_017036785.1|DKIK
OG0000019	LOC108157043|XP_017144347.2|DMIR	LOC108084991|XP_017036906.1|DKIK
OG0000019	LOC108157041|XP_017144346.1|DMIR, LOC108153982|XP_033245000.1|DMIR, LOC108157040|XP_017144345.2|DMIR	LOC108084988|XP_017036903.1|DKIK, LOC108084989|XP_017036904.1|DKIK
OG0000020	LOC108156412|XP_017143346.1|DMIR	LOC108075744|XP_017023787.1|DKIK
OG0000020	LOC108159642|XP_033248178.1|DMIR	LOC108082576|XP_017033522.1|DKIK
OG0000020	LOC108163672|XP_017154587.1|DMIR	LOC108074767|XP_017022434.1|DKIK, LOC108074865|XP_017022566.1|DKIK, LOC108074784|XP_017022451.1|DKIK, LOC108074835|XP_017022525.1|DKIK
OG0000020	LOC108155178|XP_017141337.1|DMIR	LOC108077930|XP_017026994.1|DKIK
OG0000020	LOC108156137|XP_017142939.1|DMIR	LOC108072156|XP_017018689.1|DKIK
OG0000020	LOC108163835|XP_033249247.1|DMIR	LOC108074862|XP_017022564.1|DKIK
OG0000020	LOC108163643|XP_017154542.1|DMIR	LOC108074823|XP_017022510.1|DKIK
OG0000021	LOC108159771|XP_017148818.1|DMIR, LOC117193201|XP_033253843.1|DMIR	LOC108072937|XP_017019783.1|DKIK
OG0000021	LOC108159581|XP_017148519.1|DMIR	LOC108072344|XP_017018923.1|DKIK
OG0000021	LOC108160670|XP_017150305.2|DMIR, LOC117188150|XP_033247446.1|DMIR	LOC108085116|XP_017037095.1|DKIK
OG0000021	LOC117185989|XP_033241901.1|DMIR, LOC108162397|XP_033252470.1|DMIR	LOC108072889|XP_017019701.1|DKIK
OG0000021	LOC108160899|XP_017150660.1|DMIR, LOC117193202|XP_033253844.1|DMIR	LOC108072267|XP_017018826.1|DKIK
OG0000021	LOC108164567|XP_033246575.1|DMIR	LOC108083858|XP_017035332.1|DKIK
OG0000021	LOC108156061|XP_017142833.1|DMIR	LOC108073195|XP_017020199.1|DKIK
OG0000021	LOC108156847|XP_017144055.1|DMIR	LOC108077813|XP_017026825.1|DKIK
OG0000021	LOC108164951|XP_017156435.1|DMIR	LOC108080856|XP_017031249.1|DKIK
OG0000022	LOC108158428|XP_017146199.1|DMIR, LOC117193272|XP_033253907.1|DMIR, LOC117193269|XP_033253905.1|DMIR	LOC108082382|XP_017033212.1|DKIK
OG0000022	LOC108152468|XP_017137324.1|DMIR	LOC108071489|XP_017017741.1|DKIK
OG0000022	LOC108152465|XP_017137322.1|DMIR, LOC108152467|XP_017137323.2|DMIR, LOC108152472|XP_017137329.2|DMIR, LOC108152476|XP_017137336.1|DMIR, LOC108152473|XP_017137331.1|DMIR	LOC108071512|XP_017017766.1|DKIK, LOC108071514|XP_017017768.1|DKIK, LOC108071515|XP_017017770.1|DKIK, LOC108071513|XP_017017767.1|DKIK, LOC108071477|XP_017017725.1|DKIK, LOC108071510|XP_017017765.1|DKIK
OG0000022	LOC108152470|XP_017137327.1|DMIR	LOC108071509|XP_017017764.1|DKIK
OG0000023	LOC108155686|XP_017142144.1|DMIR	LOC108084054|XP_017035562.1|DKIK
OG0000023	LOC108155685|XP_017142143.1|DMIR	LOC108084053|XP_017035561.1|DKIK, LOC108083993|XP_017035496.1|DKIK, LOC108083994|XP_017035497.1|DKIK
OG0000023	LOC108158830|XP_017147022.1|DMIR	LOC108078099|XP_017027186.1|DKIK
OG0000023	LOC108153856|XP_033244802.1|DMIR	LOC108083995|XP_017035498.1|DKIK, LOC108083992|XP_017035495.1|DKIK
OG0000023	LOC108157164|XP_017144562.1|DMIR	LOC108084052|XP_017035560.1|DKIK
OG0000023	LOC108156708|XP_017143845.1|DMIR	LOC108084215|XP_017035827.1|DKIK
OG0000023	LOC108156707|XP_017143844.1|DMIR	LOC108084051|XP_017035559.1|DKIK
OG0000023	LOC108156709|XP_033245059.1|DMIR	LOC108084214|XP_017035825.1|DKIK
OG0000024	LOC108160774|XP_017150465.1|DMIR, LOC117193757|XP_033254378.1|DMIR, LOC108160813|XP_017150525.2|DMIR	LOC108078326|XP_017027614.1|DKIK
OG0000024	LOC108160883|XP_017150641.1|DMIR	LOC108078191|XP_017027348.1|DKIK
OG0000024	LOC117194102|XP_033254634.1|DMIR, LOC108160812|XP_017150524.1|DMIR	LOC108078192|XP_017027349.1|DKIK
OG0000024	LOC108161382|XP_017151119.1|DMIR	LOC108072495|XP_017019150.1|DKIK
OG0000024	LOC117194080|XP_033254609.1|DMIR, LOC108160979|XP_017150769.1|DMIR	LOC108078211|XP_017027385.1|DKIK
OG0000024	LOC108159455|XP_017148242.1|DMIR	LOC108070821|XP_017016922.1|DKIK
OG0000025	LOC108157728|XP_017145391.1|DMIR	LOC108086239|XP_017038600.1|DKIK
OG0000025	LOC108156793|XP_017143960.1|DMIR	LOC108081074|XP_017031548.1|DKIK
OG0000026	LOC108150850|XP_017134646.1|DMIR	LOC108074121|XP_017021510.1|DKIK
OG0000026	LOC108162957|XP_033248732.1|DMIR	LOC108072841|XP_017019625.1|DKIK
OG0000026	LOC108165129|XP_017156683.1|DMIR	LOC108079334|XP_017029126.1|DKIK
OG0000026	LOC108157803|XP_017145484.1|DMIR, LOC108155726|XP_017142223.1|DMIR, LOC108154308|XP_017140053.1|DMIR	LOC108070686|XP_017016752.1|DKIK
OG0000026	LOC108157162|XP_017144561.1|DMIR	LOC108075406|XP_017023320.1|DKIK
OG0000027	LOC108162948|XP_017153432.1|DMIR	LOC108079592|XP_017029427.1|DKIK
OG0000027	LOC108162949|XP_017153433.1|DMIR	LOC108079587|XP_017029421.1|DKIK
OG0000027	LOC108162947|XP_017153431.1|DMIR	LOC108079588|XP_017029422.1|DKIK
OG0000029	LOC117191657|XP_033252354.1|DMIR, LOC108158000|XP_017145632.1|DMIR	LOC108077932|XP_017026959.1|DKIK, LOC108076869|XP_017025387.1|DKIK, LOC108085551|XP_017037679.1|DKIK
OG0000029	LOC108154578|XP_017140369.1|DMIR	LOC108076852|XP_017025371.1|DKIK, LOC108076861|XP_017025380.1|DKIK, LOC108071402|XP_017017634.1|DKIK, LOC108071413|XP_017017648.1|DKIK, LOC108071416|XP_017017651.1|DKIK, LOC108071401|XP_017017633.1|DKIK
OG0000029	LOC108150820|XP_017134616.1|DMIR	LOC108080624|XP_017030937.1|DKIK
OG0000030	LOC108161306|XP_017151015.1|DMIR	LOC108075768|XP_017023819.1|DKIK
OG0000030	LOC108161304|XP_017151013.1|DMIR	LOC108075896|XP_017024005.1|DKIK
OG0000030	LOC108161303|XP_017151011.1|DMIR, LOC108161305|XP_017151014.1|DMIR	LOC108075779|XP_017023830.1|DKIK
OG0000030	LOC108161162|XP_017150872.2|DMIR	LOC108077325|XP_017026102.1|DKIK
OG0000030	LOC108160793|XP_017150492.1|DMIR	LOC108076161|XP_017024376.1|DKIK, LOC108076242|XP_017024479.1|DKIK
OG0000030	LOC108151546|XP_033246807.1|DMIR	LOC108083344|XP_017034576.1|DKIK
OG0000030	LOC108154542|XP_017140365.1|DMIR	LOC108079999|XP_017030054.1|DKIK
OG0000031	LOC108163859|XP_017154864.1|DMIR	LOC108082121|XP_017032911.1|DKIK
OG0000031	LOC108161143|XP_033248838.1|DMIR, LOC108161141|XP_033248476.1|DMIR	LOC108075780|XP_017023827.1|DKIK, LOC108075783|XP_017023831.1|DKIK, LOC108075781|XP_017023828.1|DKIK, LOC108075782|XP_017023829.1|DKIK
OG0000031	LOC108161610|XP_017151398.1|DMIR	LOC108077225|XP_017025972.1|DKIK
OG0000032	LOC108156619|XP_017143664.1|DMIR	LOC108077824|XP_017026839.1|DKIK
OG0000032	LOC108157651|XP_017145290.1|DMIR	LOC108077790|XP_017026779.1|DKIK
OG0000032	LOC108156621|XP_017143666.1|DMIR	LOC108077711|XP_017026651.1|DKIK
OG0000032	LOC108156620|XP_017143665.1|DMIR	LOC108077612|XP_017026507.1|DKIK
OG0000032	LOC108157634|XP_017145264.1|DMIR	LOC108077846|XP_017026865.1|DKIK
OG0000032	LOC108156618|XP_017143663.1|DMIR	LOC108074977|XP_017022699.1|DKIK, LOC108077827|XP_017026841.1|DKIK, LOC108077828|XP_017026842.1|DKIK, LOC108077628|XP_017026527.1|DKIK
OG0000033	LOC108156558|XP_017143572.1|DMIR	LOC108080886|XP_017031277.1|DKIK, LOC108080887|XP_017031279.1|DKIK, LOC108081203|XP_017031760.1|DKIK
OG0000033	LOC117189759|XP_033250731.1|DMIR, LOC108159420|XP_017148176.1|DMIR	LOC108080716|XP_017031056.1|DKIK
OG0000033	LOC117187710|XP_033246345.1|DMIR, LOC108159419|XP_017148175.2|DMIR	LOC108080718|XP_017031058.1|DKIK
OG0000033	LOC108153999|XP_033244121.1|DMIR	LOC108084001|XP_017035503.1|DKIK, LOC108076855|XP_017025374.1|DKIK, LOC108076138|XP_017024355.1|DKIK, LOC108076137|XP_017024354.1|DKIK, LOC108076136|XP_017024353.1|DKIK, LOC108084006|XP_017035508.1|DKIK, LOC108074461|XP_017022015.1|DKIK
OG0000034	LOC108164271|XP_017155403.1|DMIR	LOC108076887|XP_017025407.1|DKIK, LOC108076912|XP_017025444.1|DKIK
OG0000034	LOC108164069|XP_033249364.1|DMIR	LOC108076909|XP_017025438.1|DKIK, LOC108077295|XP_017026063.1|DKIK
OG0000034	LOC117185901|XP_033249912.1|DMIR, LOC108162133|XP_017152203.1|DMIR, LOC108162132|XP_017152201.1|DMIR	LOC108082752|XP_017033757.1|DKIK, LOC108082754|XP_017033758.1|DKIK
OG0000034	LOC108162131|XP_017152200.1|DMIR	LOC108082755|XP_017033759.1|DKIK
OG0000036	LOC108157733|XP_017145397.1|DMIR	LOC108084034|XP_017035539.1|DKIK
OG0000036	LOC117187198|XP_033245230.1|DMIR	LOC108081215|XP_017031778.1|DKIK
OG0000036	LOC108157106|XP_017144468.1|DMIR	LOC108080827|XP_017031220.1|DKIK
OG0000036	LOC108155635|XP_017142061.1|DMIR	LOC108081087|XP_017031565.1|DKIK
OG0000037	LOC108160263|XP_017149626.1|DMIR	LOC108082568|XP_017033513.1|DKIK
