Orthogroup	DMIR.longest_only	SLEB.longest_only
OG0000004	LOC117187293|XP_033245555.1|DMIR, LOC117187292|XP_033245554.1|DMIR, LOC117187295|XP_033245557.1|DMIR, LOC117187291|XP_033245553.1|DMIR, LOC117187294|XP_033245556.1|DMIR, LOC117187290|XP_033245552.1|DMIR	LOC115630273|XP_030382667.1|SLEB, LOC115630322|XP_030382721.1|SLEB, LOC115633522|XP_030386841.1|SLEB, LOC115633597|XP_030386900.1|SLEB, LOC115633488|XP_030386812.1|SLEB, LOC115633502|XP_030386824.1|SLEB, LOC115633531|XP_030386849.1|SLEB, LOC115633478|XP_030386800.1|SLEB, LOC115633483|XP_030386806.1|SLEB, LOC115633585|XP_030386889.1|SLEB, LOC115633596|XP_030386899.1|SLEB, LOC115633484|XP_030386807.1|SLEB, LOC115633506|XP_030386827.1|SLEB, LOC115633477|XP_030386799.1|SLEB, LOC115633503|XP_030386825.1|SLEB, LOC115633505|XP_030386826.1|SLEB, LOC115630271|XP_030382665.1|SLEB, LOC115630300|XP_030382698.1|SLEB, LOC115630309|XP_030382707.1|SLEB, LOC115630301|XP_030382699.1|SLEB, LOC115633532|XP_030386850.1|SLEB, LOC115630286|XP_030382682.1|SLEB, LOC115630272|XP_030382666.1|SLEB, LOC115633521|XP_030386840.1|SLEB, LOC115630310|XP_030382708.1|SLEB, LOC115630117|XP_030382589.1|SLEB, LOC115630132|XP_030382600.1|SLEB, LOC115630122|XP_030382594.1|SLEB
OG0000005	LOC117187304|XP_033245566.1|DMIR	LOC115630317|XP_030382714.1|SLEB
OG0000005	LOC117188269|XP_033247714.1|DMIR, LOC117186052|XP_033242023.1|DMIR, LOC108164485|XP_017155735.2|DMIR	LOC115630139|XP_030382607.1|SLEB, LOC115633501|XP_030386823.1|SLEB
OG0000006	LOC117187301|XP_033245562.1|DMIR	LOC115630364|XP_030382757.1|SLEB
OG0000006	LOC117187206|XP_033245270.1|DMIR	LOC115630120|XP_030382591.1|SLEB
OG0000006	LOC108156704|XP_017143842.2|DMIR	LOC115630278|XP_030382673.1|SLEB, LOC115633465|XP_030386780.1|SLEB
OG0000007	LOC108153040|XP_017138288.1|DMIR	LOC115633152|XP_030386421.1|SLEB
OG0000007	LOC108153675|XP_017139280.1|DMIR, LOC108165331|XP_017156854.2|DMIR	LOC115633153|XP_030386422.1|SLEB
OG0000007	LOC108152481|XP_017137344.1|DMIR, LOC108152482|XP_017137345.1|DMIR	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB
OG0000007	LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR	LOC115633111|XP_030386356.1|SLEB
OG0000007	LOC108164248|XP_017155372.1|DMIR	LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB
OG0000007	LOC108165521|XP_017157067.1|DMIR, LOC108164169|XP_017155268.2|DMIR	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB
OG0000007	LOC108152483|XP_017137346.1|DMIR, LOC108152484|XP_017137347.1|DMIR	LOC115630750|XP_030383265.1|SLEB
OG0000008	LOC108154982|XP_017141010.1|DMIR	LOC115623801|XP_030374203.1|SLEB
OG0000008	LOC108151537|XP_017135681.1|DMIR	LOC115628395|XP_030380343.1|SLEB
OG0000008	LOC108151536|XP_017135679.1|DMIR	LOC115628400|XP_030380349.1|SLEB
OG0000008	LOC108161577|XP_017151355.1|DMIR	LOC115631184|XP_030383735.1|SLEB
OG0000008	LOC108151539|XP_017135683.2|DMIR	LOC115628403|XP_030380351.1|SLEB
OG0000008	LOC108154402|XP_017140161.1|DMIR	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB
OG0000008	LOC108153895|XP_033244232.1|DMIR	LOC115623587|XP_030373847.1|SLEB
OG0000008	LOC108154515|XP_017140305.2|DMIR	LOC115624340|XP_030374852.1|SLEB
OG0000008	LOC108153896|XP_017139483.1|DMIR	LOC115624344|XP_030374855.1|SLEB
OG0000008	LOC108154491|XP_017140280.1|DMIR	LOC115623612|XP_030373889.1|SLEB
OG0000009	LOC108157813|XP_017145500.1|DMIR	LOC115624173|XP_030374629.1|SLEB
OG0000009	LOC108154360|XP_017140115.1|DMIR	LOC115624028|XP_030374465.1|SLEB
OG0000009	LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB
OG0000009	LOC108160943|XP_017150721.1|DMIR	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB
OG0000010	LOC117187310|XP_033245574.1|DMIR, LOC108156705|XP_033245573.1|DMIR	LOC115633544|XP_030386861.1|SLEB
OG0000010	LOC117187315|XP_033245579.1|DMIR, LOC108156795|XP_017143963.1|DMIR	LOC115630140|XP_030382609.1|SLEB, LOC115630331|XP_030382729.1|SLEB
OG0000010	LOC117187312|XP_033245576.1|DMIR	LOC115625114|XP_030375880.1|SLEB
OG0000012	LOC108159199|XP_017147755.1|DMIR	LOC115626791|XP_030378121.1|SLEB
OG0000012	LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR	LOC115634820|XP_030388598.1|SLEB
OG0000012	LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR	LOC115624523|XP_030375106.1|SLEB
OG0000012	LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR	LOC115632632|XP_030385725.1|SLEB
OG0000012	LOC108158925|XP_017147218.1|DMIR, LOC108158929|XP_017147224.1|DMIR, LOC108158928|XP_017147221.1|DMIR	LOC115630730|XP_030383248.1|SLEB
OG0000012	LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR, LOC108158927|XP_017147219.1|DMIR	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB
OG0000013	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR	LOC115634441|XP_030388010.1|SLEB
OG0000013	LOC108152903|XP_017138042.1|DMIR	LOC115626662|XP_030377938.1|SLEB
OG0000013	LOC108157123|XP_017144495.1|DMIR, LOC108156384|XP_017143289.1|DMIR	LOC115625570|XP_030376527.1|SLEB
OG0000013	LOC108151516|XP_033243870.1|DMIR	LOC115623047|XP_030373085.1|SLEB
OG0000013	LOC108154911|XP_017140853.2|DMIR, LOC117187087|XP_033244842.1|DMIR	LOC115624312|XP_030374797.1|SLEB
OG0000013	LOC117187120|XP_033245008.1|DMIR, LOC117187121|XP_033245009.1|DMIR, LOC108154243|XP_017139966.2|DMIR, LOC108154002|XP_033245010.1|DMIR	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB
OG0000015	LOC117189153|XP_033250113.1|DMIR, LOC108162329|XP_017152508.1|DMIR, LOC108162330|XP_017152509.1|DMIR	LOC115628471|XP_030380453.1|SLEB
OG0000016	LOC108156024|XP_017142762.1|DMIR	LOC115621740|XP_030371332.1|SLEB
OG0000016	LOC108160302|XP_017149703.1|DMIR, LOC117190705|XP_033251658.1|DMIR	LOC115634422|XP_030387989.1|SLEB
OG0000016	LOC108155657|XP_017142098.1|DMIR	LOC115620605|XP_030369779.1|SLEB
OG0000016	LOC108159552|XP_017148467.1|DMIR, LOC117192977|XP_033253595.1|DMIR	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB
OG0000016	LOC108154361|XP_017140118.1|DMIR	LOC115628929|XP_030381051.1|SLEB
OG0000016	LOC117193102|XP_033253716.1|DMIR, LOC117194496|XP_033254943.1|DMIR, LOC117195216|XP_033255740.1|DMIR, LOC108159228|XP_017147821.1|DMIR	LOC115634608|XP_030388318.1|SLEB
OG0000016	LOC108156493|XP_017143475.1|DMIR	LOC115621272|XP_030370732.1|SLEB
OG0000016	LOC108150995|XP_017134834.1|DMIR	LOC115634447|XP_030388017.1|SLEB
OG0000017	LOC108153009|XP_017138281.1|DMIR	LOC115627671|XP_030379272.1|SLEB
OG0000017	LOC108160150|XP_017149453.1|DMIR	LOC115619974|XP_030368869.1|SLEB
OG0000017	LOC108159969|XP_017149141.1|DMIR, LOC108158038|XP_017145672.2|DMIR	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB
OG0000017	LOC108160759|XP_017150448.1|DMIR	LOC115630526|XP_030382993.1|SLEB
OG0000017	LOC108159970|XP_017149142.1|DMIR	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB
OG0000017	LOC108161535|XP_017151304.1|DMIR, LOC108161536|XP_017151305.1|DMIR, LOC108161534|XP_017151303.1|DMIR	LOC115620280|XP_030369314.1|SLEB
OG0000018	LOC108150828|XP_017134625.1|DMIR	LOC115633159|XP_030386430.1|SLEB
OG0000018	LOC108150791|XP_017134583.1|DMIR	LOC115633160|XP_030386431.1|SLEB
OG0000018	LOC108150854|XP_017134645.1|DMIR	LOC115633162|XP_030386433.1|SLEB
OG0000018	LOC108150808|XP_017134601.1|DMIR, LOC108165552|XP_017157116.1|DMIR, LOC108165550|XP_017157115.1|DMIR, LOC108150800|XP_017134593.1|DMIR	LOC115632521|XP_030385577.1|SLEB, LOC115632120|XP_030384981.1|SLEB, LOC115632121|XP_030384982.1|SLEB
OG0000019	LOC108157046|XP_017144351.1|DMIR, LOC108157045|XP_017144349.1|DMIR, LOC108157044|XP_017144348.1|DMIR	LOC115621701|XP_030371268.1|SLEB
OG0000019	LOC108157037|XP_017144339.1|DMIR	LOC115621698|XP_030371264.1|SLEB
OG0000019	LOC108157043|XP_017144347.2|DMIR	LOC115621699|XP_030371266.1|SLEB
OG0000019	LOC108157041|XP_017144346.1|DMIR, LOC108153982|XP_033245000.1|DMIR, LOC108157040|XP_017144345.2|DMIR	LOC115621700|XP_030371267.1|SLEB
OG0000020	LOC108156412|XP_017143346.1|DMIR	LOC115620461|XP_030369552.1|SLEB
OG0000020	LOC108159642|XP_033248178.1|DMIR	LOC115634835|XP_030388616.1|SLEB
OG0000020	LOC108163672|XP_017154587.1|DMIR	LOC115625139|XP_030375917.1|SLEB
OG0000020	LOC108155178|XP_017141337.1|DMIR	LOC115623558|XP_030373816.1|SLEB
OG0000020	LOC108156137|XP_017142939.1|DMIR	LOC115623561|XP_030373817.1|SLEB
OG0000020	LOC108163835|XP_033249247.1|DMIR, LOC108163643|XP_017154542.1|DMIR	LOC115625796|XP_030376833.1|SLEB
OG0000021	LOC108153591|XP_017139161.1|DMIR	LOC115634442|XP_030388011.1|SLEB
OG0000021	LOC117185775|XP_033246995.1|DMIR	LOC115627679|XP_030379282.1|SLEB, LOC115629561|XP_030381912.1|SLEB, LOC115622692|XP_030372578.1|SLEB
OG0000021	LOC117188002|XP_033246994.1|DMIR, LOC108160898|XP_017150659.2|DMIR	LOC115632536|XP_030385602.1|SLEB
OG0000021	LOC108159771|XP_017148818.1|DMIR, LOC117193201|XP_033253843.1|DMIR	LOC115624992|XP_030375724.1|SLEB, LOC115624826|XP_030375532.1|SLEB
OG0000021	LOC108159581|XP_017148519.1|DMIR	LOC115624982|XP_030375700.1|SLEB
OG0000021	LOC117185989|XP_033241901.1|DMIR, LOC108162397|XP_033252470.1|DMIR	LOC115619935|XP_030372749.1|SLEB
OG0000021	LOC108160899|XP_017150660.1|DMIR, LOC117193202|XP_033253844.1|DMIR	LOC115621481|XP_030371001.1|SLEB, LOC115620530|XP_030369661.1|SLEB, LOC115620531|XP_030369662.1|SLEB, LOC115621836|XP_030371506.1|SLEB
OG0000021	LOC108164567|XP_033246575.1|DMIR	LOC115629488|XP_030381818.1|SLEB
OG0000021	LOC108156061|XP_017142833.1|DMIR	LOC115625208|XP_030376037.1|SLEB
OG0000021	LOC108156847|XP_017144055.1|DMIR	LOC115620616|XP_030369796.1|SLEB
OG0000021	LOC108164951|XP_017156435.1|DMIR	LOC115629963|XP_030382440.1|SLEB
OG0000022	LOC108158428|XP_017146199.1|DMIR, LOC117193272|XP_033253907.1|DMIR, LOC117193269|XP_033253905.1|DMIR	LOC115634544|XP_030388214.1|SLEB
OG0000022	LOC108152474|XP_017137333.2|DMIR, LOC117186204|XP_033242420.1|DMIR, LOC108152475|XP_017137334.2|DMIR, LOC108152465|XP_017137322.1|DMIR, LOC108152467|XP_017137323.2|DMIR, LOC108152472|XP_017137329.2|DMIR, LOC108152476|XP_017137336.1|DMIR, LOC108152473|XP_017137331.1|DMIR	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB
OG0000022	LOC108152470|XP_017137327.1|DMIR, LOC108152469|XP_017137325.1|DMIR	LOC115624802|XP_030375508.1|SLEB
OG0000022	LOC108152471|XP_017137328.1|DMIR	LOC115623680|XP_030374009.1|SLEB, LOC115634199|XP_030387648.1|SLEB
OG0000023	LOC108153857|XP_033244801.1|DMIR	LOC115623826|XP_030374229.1|SLEB
OG0000023	LOC108155685|XP_017142143.1|DMIR	LOC115623325|XP_030373446.1|SLEB
OG0000023	LOC108153856|XP_033244802.1|DMIR	LOC115623824|XP_030374228.1|SLEB
OG0000023	LOC108157164|XP_017144562.1|DMIR	LOC115623322|XP_030373444.1|SLEB
OG0000023	LOC108156708|XP_017143845.1|DMIR	LOC115623324|XP_030373445.1|SLEB
OG0000023	LOC108156707|XP_017143844.1|DMIR	LOC115623321|XP_030373443.1|SLEB
OG0000023	LOC108156709|XP_033245059.1|DMIR	LOC115623326|XP_030373447.1|SLEB
OG0000024	LOC108160774|XP_017150465.1|DMIR, LOC117193757|XP_033254378.1|DMIR, LOC108160813|XP_017150525.2|DMIR, LOC108160883|XP_017150641.1|DMIR	LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB
OG0000024	LOC108161382|XP_017151119.1|DMIR, LOC117194080|XP_033254609.1|DMIR, LOC108160979|XP_017150769.1|DMIR	LOC115626230|XP_030377390.1|SLEB
OG0000024	LOC108159455|XP_017148242.1|DMIR	LOC115633141|XP_030386412.1|SLEB
OG0000025	LOC108157728|XP_017145391.1|DMIR	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB
OG0000025	LOC108156793|XP_017143960.1|DMIR	LOC115630351|XP_030382744.1|SLEB, LOC115630277|XP_030382672.1|SLEB, LOC115630318|XP_030382715.1|SLEB, LOC115633508|XP_030386830.1|SLEB, LOC115630275|XP_030382670.1|SLEB
OG0000026	LOC108150850|XP_017134646.1|DMIR	LOC115627188|XP_030378651.1|SLEB
OG0000026	LOC108162957|XP_033248732.1|DMIR	LOC115626629|XP_030377893.1|SLEB
OG0000026	LOC108165129|XP_017156683.1|DMIR, LOC108157803|XP_017145484.1|DMIR, LOC108155726|XP_017142223.1|DMIR, LOC108154308|XP_017140053.1|DMIR	LOC115627162|XP_030378606.1|SLEB
OG0000027	LOC108162948|XP_017153432.1|DMIR	LOC115632057|XP_030384894.1|SLEB
OG0000027	LOC108162949|XP_017153433.1|DMIR	LOC115632056|XP_030384892.1|SLEB
OG0000027	LOC108162947|XP_017153431.1|DMIR	LOC115631416|XP_030384002.1|SLEB
OG0000028	LOC108165232|XP_017156760.1|DMIR	LOC115634466|XP_030388054.1|SLEB
OG0000028	LOC117186464|XP_033243221.1|DMIR, LOC108165418|XP_033243407.1|DMIR, LOC108165419|XP_017156946.1|DMIR	LOC115634465|XP_030388053.1|SLEB
OG0000029	LOC108150820|XP_017134616.1|DMIR	LOC115634071|XP_030387478.1|SLEB
OG0000030	LOC108161306|XP_017151015.1|DMIR	LOC115631185|XP_030383736.1|SLEB
OG0000030	LOC108161304|XP_017151013.1|DMIR, LOC108161303|XP_017151011.1|DMIR, LOC108161305|XP_017151014.1|DMIR	LOC115631186|XP_030383737.1|SLEB
OG0000030	LOC108161162|XP_017150872.2|DMIR	LOC115630766|XP_030383282.1|SLEB
OG0000030	LOC108160793|XP_017150492.1|DMIR	LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB
OG0000030	LOC108151546|XP_033246807.1|DMIR	LOC115627904|XP_030379659.1|SLEB
OG0000030	LOC108154542|XP_017140365.1|DMIR	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB
OG0000031	LOC108163859|XP_017154864.1|DMIR	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB
OG0000031	LOC108161610|XP_017151398.1|DMIR	LOC115631052|XP_030383546.1|SLEB
OG0000032	LOC108156619|XP_017143664.1|DMIR	LOC115621800|XP_030371439.1|SLEB
OG0000032	LOC108157634|XP_017145264.1|DMIR, LOC108156618|XP_017143663.1|DMIR	LOC115621799|XP_030371437.1|SLEB
OG0000033	LOC117189759|XP_033250731.1|DMIR, LOC108159420|XP_017148176.1|DMIR	LOC115629219|XP_030381491.1|SLEB, LOC115634381|XP_030387925.1|SLEB, LOC115625129|XP_030375944.1|SLEB, LOC115634231|XP_030387683.1|SLEB, LOC115634372|XP_030387909.1|SLEB
OG0000033	LOC117187710|XP_033246345.1|DMIR, LOC108159419|XP_017148175.2|DMIR	LOC115629069|XP_030381245.1|SLEB, LOC115629070|XP_030381246.1|SLEB
OG0000034	LOC108164271|XP_017155403.1|DMIR	LOC115631238|XP_030383807.1|SLEB
OG0000034	LOC108164069|XP_033249364.1|DMIR	LOC115631016|XP_030383488.1|SLEB
OG0000034	LOC117185901|XP_033249912.1|DMIR, LOC108162133|XP_017152203.1|DMIR, LOC108162132|XP_017152201.1|DMIR, LOC108162131|XP_017152200.1|DMIR	LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB
OG0000035	LOC117191836|XP_033252497.1|DMIR, LOC117191390|XP_033252163.1|DMIR, LOC117191070|XP_033251929.1|DMIR	LOC115630074|XP_030382558.1|SLEB, LOC115628142|XP_030379974.1|SLEB, LOC115628135|XP_030379972.1|SLEB, LOC115628137|XP_030379973.1|SLEB, LOC115628134|XP_030379971.1|SLEB, LOC115628143|XP_030379975.1|SLEB, LOC115628789|XP_030380864.1|SLEB, LOC115628787|XP_030380863.1|SLEB
OG0000035	LOC117186697|XP_033243671.1|DMIR, LOC117186386|XP_033243001.1|DMIR, LOC117186599|XP_033243470.1|DMIR	LOC115624912|XP_030375621.1|SLEB, LOC115624520|XP_030375099.1|SLEB, LOC115630026|XP_030382522.1|SLEB, LOC115630549|XP_030383019.1|SLEB, LOC115634591|XP_030388280.1|SLEB, LOC115624963|XP_030375678.1|SLEB
OG0000036	LOC108157733|XP_017145397.1|DMIR	LOC115623477|XP_030373705.1|SLEB
OG0000036	LOC117187198|XP_033245230.1|DMIR	LOC115621020|XP_030370399.1|SLEB
OG0000036	LOC108157106|XP_017144468.1|DMIR	LOC115620249|XP_030369258.1|SLEB
OG0000036	LOC108155636|XP_017142064.1|DMIR, LOC108155635|XP_017142061.1|DMIR	LOC115621341|XP_030370821.1|SLEB
OG0000037	LOC108160263|XP_017149626.1|DMIR	LOC115626848|XP_030378208.1|SLEB
OG0000037	LOC117195094|XP_033255640.1|DMIR, LOC117191092|XP_033251946.1|DMIR, LOC117194615|XP_033255034.1|DMIR, LOC117194588|XP_033255015.1|DMIR, LOC117194655|XP_033255061.1|DMIR, LOC117190599|XP_033251536.1|DMIR, LOC117194833|XP_033255201.1|DMIR, LOC117191511|XP_033252248.1|DMIR, LOC117191510|XP_033252247.1|DMIR, LOC117194839|XP_033255205.1|DMIR, LOC117191523|XP_033252256.1|DMIR, LOC117190815|XP_033251747.1|DMIR, LOC117194824|XP_033255196.1|DMIR, LOC117194825|XP_033255197.1|DMIR, LOC117195091|XP_033255638.1|DMIR, LOC117194549|XP_033254988.1|DMIR, LOC117194837|XP_033255204.1|DMIR, LOC117194807|XP_033255181.1|DMIR, LOC117194573|XP_033255006.1|DMIR, LOC117194587|XP_033255014.1|DMIR, LOC117194750|XP_033255142.1|DMIR, LOC117194591|XP_033255018.1|DMIR, LOC117194574|XP_033255007.1|DMIR, LOC117195092|XP_033255639.1|DMIR, LOC117194597|XP_033255024.1|DMIR, LOC117195100|XP_033255645.1|DMIR, LOC117194819|XP_033255192.1|DMIR, LOC117194975|XP_033255339.1|DMIR, LOC108153987|XP_033244827.1|DMIR, LOC117194660|XP_033255064.1|DMIR, LOC117194818|XP_033255191.1|DMIR, LOC117194604|XP_033255027.1|DMIR, LOC117194596|XP_033255023.1|DMIR, LOC117194601|XP_033255025.1|DMIR, LOC117195095|XP_033255641.1|DMIR, LOC117194843|XP_033255207.1|DMIR, LOC117191506|XP_033252242.1|DMIR, LOC117194661|XP_033255065.1|DMIR, LOC117194657|XP_033255062.1|DMIR, LOC117190601|XP_033251538.1|DMIR, LOC117194841|XP_033255206.1|DMIR, LOC117191508|XP_033252244.1|DMIR, LOC117194658|XP_033255063.1|DMIR, LOC117194702|XP_033255103.1|DMIR, LOC117194796|XP_033255174.1|DMIR, LOC117190600|XP_033251537.1|DMIR, LOC117194589|XP_033255016.1|DMIR, LOC117194409|XP_033254874.1|DMIR, LOC117194829|XP_033255199.1|DMIR, LOC117194605|XP_033255028.1|DMIR, LOC117194822|XP_033255195.1|DMIR, LOC117194333|XP_033254795.1|DMIR, LOC117194609|XP_033255031.1|DMIR, LOC117194407|XP_033254872.1|DMIR, LOC117195096|XP_033255642.1|DMIR, LOC117194649|XP_033255056.1|DMIR, LOC117190597|XP_033251535.1|DMIR, LOC117194650|XP_033255057.1|DMIR, LOC117190125|XP_033251100.1|DMIR, LOC108156646|XP_017143737.2|DMIR, LOC117190111|XP_033251090.1|DMIR, LOC117194816|XP_033255190.1|DMIR, LOC117194767|XP_033255155.1|DMIR, LOC117194745|XP_033255132.1|DMIR, LOC117194463|XP_033254917.1|DMIR, LOC117190114|XP_033251091.1|DMIR, LOC117194862|XP_033255219.1|DMIR, LOC117194858|XP_033255216.1|DMIR, LOC117194857|XP_033255215.1|DMIR, LOC117194328|XP_033254789.1|DMIR, LOC108156982|XP_017144263.2|DMIR, LOC117194327|XP_033254788.1|DMIR, LOC117194594|XP_033255020.1|DMIR, LOC117194845|XP_033255209.1|DMIR	LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB
OG0000037	LOC117194606|XP_033255029.1|DMIR, LOC117194821|XP_033255194.1|DMIR, LOC117191507|XP_033252243.1|DMIR, LOC117194844|XP_033255208.1|DMIR, LOC117194584|XP_033255013.1|DMIR, LOC117194610|XP_033255032.1|DMIR	LOC115620739|XP_030369986.1|SLEB
OG0000038	LOC108165231|XP_017156759.1|DMIR	LOC115633983|XP_030387367.1|SLEB
OG0000038	LOC108151159|XP_017135077.1|DMIR	LOC115633961|XP_030387345.1|SLEB
OG0000039	LOC108153891|XP_033244233.1|DMIR	LOC115633921|XP_030387291.1|SLEB
OG0000039	LOC108165184|XP_017156747.1|DMIR	LOC115633267|XP_030386532.1|SLEB
OG0000039	LOC108165291|XP_017156818.1|DMIR	LOC115628050|XP_030379855.1|SLEB
OG0000039	LOC108151414|XP_017135496.1|DMIR	LOC115626562|XP_030377801.1|SLEB, LOC115626564|XP_030377802.1|SLEB, LOC115626635|XP_030377903.1|SLEB, LOC115633389|XP_030386692.1|SLEB
OG0000039	LOC108160708|XP_017150372.1|DMIR	LOC115633390|XP_030386693.1|SLEB
OG0000040	LOC108154697|XP_017140535.2|DMIR, LOC108153853|XP_033245406.1|DMIR, LOC117187250|XP_033245404.1|DMIR, LOC108154215|XP_017139929.1|DMIR, LOC108154213|XP_017139927.1|DMIR	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB
OG0000040	LOC108154216|XP_017139931.1|DMIR	LOC115624210|XP_030374678.1|SLEB
OG0000040	LOC108154686|XP_033245491.1|DMIR, LOC108154692|XP_017140530.1|DMIR, LOC108154966|XP_017140969.2|DMIR, LOC117186912|XP_033244139.1|DMIR	LOC115624205|XP_030374672.1|SLEB, LOC115624208|XP_030374674.1|SLEB
