Orthogroup	DMIR.longest_only	DGUA.longest_only
OG0000004	LOC117187293|XP_033245555.1|DMIR, LOC117187292|XP_033245554.1|DMIR, LOC117187295|XP_033245557.1|DMIR, LOC117187291|XP_033245553.1|DMIR, LOC117187294|XP_033245556.1|DMIR, LOC117187290|XP_033245552.1|DMIR	LOC117591772|XP_034140973.1|DGUA, LOC117591686|XP_034140901.1|DGUA, LOC117591643|XP_034140858.1|DGUA, LOC117591660|XP_034140874.1|DGUA
OG0000004	LOC117187175|XP_033245162.1|DMIR, LOC117186051|XP_033242021.1|DMIR	LOC117581358|XP_034124381.1|DGUA
OG0000005	LOC117188269|XP_033247714.1|DMIR, LOC117186052|XP_033242023.1|DMIR, LOC108164485|XP_017155735.2|DMIR	LOC117581361|XP_034124384.1|DGUA
OG0000006	LOC117187301|XP_033245562.1|DMIR	LOC117591658|XP_034140872.1|DGUA
OG0000006	LOC108156704|XP_017143842.2|DMIR	LOC117591645|XP_034140861.1|DGUA
OG0000007	LOC108153675|XP_017139280.1|DMIR, LOC108165331|XP_017156854.2|DMIR	LOC117587429|XP_034133994.1|DGUA
OG0000007	LOC108152481|XP_017137344.1|DMIR	LOC117587428|XP_034133991.1|DGUA
OG0000007	LOC108163948|XP_017154978.1|DMIR	LOC117584024|XP_034128652.1|DGUA
OG0000007	LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR	LOC117592308|XP_034141873.1|DGUA
OG0000007	LOC117187389|XP_033245847.1|DMIR, LOC117187383|XP_033245816.1|DMIR, LOC108157498|XP_033245840.1|DMIR, LOC108157499|XP_017145088.2|DMIR	LOC117583354|XP_034127515.1|DGUA, LOC117583632|XP_034127972.1|DGUA, LOC117583285|XP_034127411.1|DGUA
OG0000007	LOC108164248|XP_017155372.1|DMIR	LOC117584026|XP_034128654.1|DGUA
OG0000007	LOC108165521|XP_017157067.1|DMIR	LOC117587067|XP_034133401.1|DGUA
OG0000007	LOC108164169|XP_017155268.2|DMIR	LOC117584025|XP_034128653.1|DGUA
OG0000007	LOC108152483|XP_017137346.1|DMIR	LOC117587430|XP_034133997.1|DGUA
OG0000007	LOC108152484|XP_017137347.1|DMIR	LOC117587431|XP_034133998.1|DGUA
OG0000008	LOC108154982|XP_017141010.1|DMIR	LOC117586140|XP_034131924.1|DGUA
OG0000008	LOC108151537|XP_017135681.1|DMIR	LOC117579398|XP_034121168.1|DGUA
OG0000008	LOC108151536|XP_017135679.1|DMIR	LOC117579397|XP_034121167.1|DGUA
OG0000008	LOC108161577|XP_017151355.1|DMIR	LOC117581836|XP_034125174.1|DGUA
OG0000008	LOC108151539|XP_017135683.2|DMIR	LOC117579400|XP_034121171.1|DGUA
OG0000008	LOC108154402|XP_017140161.1|DMIR	LOC117586223|XP_034132051.1|DGUA
OG0000008	LOC108153895|XP_033244232.1|DMIR	LOC117586165|XP_034131957.1|DGUA
OG0000008	LOC108154495|XP_017140285.1|DMIR	LOC117586225|XP_034132053.1|DGUA
OG0000008	LOC108154515|XP_017140305.2|DMIR	LOC117586221|XP_034132048.1|DGUA
OG0000008	LOC108153896|XP_017139483.1|DMIR	LOC117586120|XP_034131875.1|DGUA
OG0000008	LOC108154491|XP_017140280.1|DMIR	LOC117586582|XP_034132641.1|DGUA
OG0000009	LOC108157813|XP_017145500.1|DMIR	LOC117586341|XP_034132234.1|DGUA
OG0000009	LOC108154360|XP_017140115.1|DMIR	LOC117586454|XP_034132388.1|DGUA
OG0000009	LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR	LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA
OG0000009	LOC108154524|XP_017140312.1|DMIR	LOC117585026|XP_034130159.1|DGUA, LOC117585051|XP_034130200.1|DGUA
OG0000009	LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR	LOC117587230|XP_034133688.1|DGUA
OG0000009	LOC108154377|XP_017140130.1|DMIR	LOC117586357|XP_034132268.1|DGUA
OG0000009	LOC108160943|XP_017150721.1|DMIR	LOC117588654|XP_034135988.1|DGUA
OG0000009	LOC108158336|XP_017146065.1|DMIR	LOC117588663|XP_034136000.1|DGUA
OG0000010	LOC117187310|XP_033245574.1|DMIR, LOC108156705|XP_033245573.1|DMIR	LOC117583778|XP_034128224.1|DGUA
OG0000010	LOC117187315|XP_033245579.1|DMIR, LOC108156795|XP_017143963.1|DMIR	LOC117591688|XP_034140902.1|DGUA
OG0000010	LOC117187312|XP_033245576.1|DMIR, LOC117187316|XP_033245580.1|DMIR, LOC117187314|XP_033245578.1|DMIR	LOC117591679|XP_034140894.1|DGUA
OG0000011	LOC108163065|XP_017153628.2|DMIR, LOC117188829|XP_033249173.1|DMIR, LOC108161855|XP_033249172.1|DMIR	LOC117587656|XP_034134438.1|DGUA
OG0000011	LOC108162186|XP_017152273.1|DMIR	LOC117584843|XP_034129873.1|DGUA
OG0000011	LOC117188852|XP_033249240.1|DMIR, LOC108161557|XP_017151330.1|DMIR, LOC108163629|XP_017154523.1|DMIR, LOC108162188|XP_017152278.1|DMIR	LOC117584847|XP_034129876.1|DGUA, LOC117584842|XP_034129871.1|DGUA, LOC117584844|XP_034129874.1|DGUA
OG0000011	LOC108163972|XP_017155018.1|DMIR	LOC117582571|XP_034126303.1|DGUA
OG0000011	LOC108163322|XP_033249532.1|DMIR	LOC117582572|XP_034126307.1|DGUA
OG0000011	LOC108162815|XP_017153219.1|DMIR	LOC117582573|XP_034126310.1|DGUA
OG0000011	LOC108165384|XP_017156911.1|DMIR	LOC117579965|XP_034122030.1|DGUA
OG0000011	LOC108153161|XP_017138453.1|DMIR	LOC117579216|XP_034120874.1|DGUA
OG0000011	LOC108154131|XP_017139754.1|DMIR	LOC117585951|XP_034131639.1|DGUA
OG0000012	LOC108159199|XP_017147755.1|DMIR	LOC117578829|XP_034120480.1|DGUA
OG0000012	LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR	LOC117578830|XP_034120484.1|DGUA
OG0000012	LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR	LOC117578828|XP_034120477.1|DGUA
OG0000012	LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR	LOC117578831|XP_034120485.1|DGUA
OG0000012	LOC108161008|XP_017150804.1|DMIR	LOC117585419|XP_034130787.1|DGUA
OG0000012	LOC117185969|XP_033248320.1|DMIR, LOC108157993|XP_033248087.1|DMIR	LOC117585430|XP_034130799.1|DGUA
OG0000012	LOC108160910|XP_017150675.1|DMIR	LOC117585406|XP_034130769.1|DGUA
OG0000012	LOC108158925|XP_017147218.1|DMIR	LOC117592596|XP_034142370.1|DGUA
OG0000012	LOC108158929|XP_017147224.1|DMIR	LOC117592593|XP_034142368.1|DGUA
OG0000012	LOC108158928|XP_017147221.1|DMIR	LOC117592595|XP_034142369.1|DGUA
OG0000012	LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR	LOC117592597|XP_034142371.1|DGUA
OG0000012	LOC108158927|XP_017147219.1|DMIR	LOC117592598|XP_034142372.1|DGUA
OG0000013	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR	LOC117592555|XP_034142321.1|DGUA
OG0000013	LOC108152903|XP_017138042.1|DMIR	LOC117590521|XP_034139126.1|DGUA
OG0000013	LOC108157123|XP_017144495.1|DMIR, LOC108156384|XP_017143289.1|DMIR	LOC117585977|XP_034131683.1|DGUA
OG0000013	LOC108151516|XP_033243870.1|DMIR	LOC117580093|XP_034122238.1|DGUA
OG0000013	LOC108154911|XP_017140853.2|DMIR, LOC117187087|XP_033244842.1|DMIR	LOC117585592|XP_034131028.1|DGUA, LOC117585591|XP_034131024.1|DGUA
OG0000013	LOC117187120|XP_033245008.1|DMIR, LOC117187121|XP_033245009.1|DMIR, LOC108154243|XP_017139966.2|DMIR, LOC108154002|XP_033245010.1|DMIR	LOC117583601|XP_034127885.1|DGUA
OG0000015	LOC108160096|XP_017149373.1|DMIR, LOC108158178|XP_017145884.1|DMIR, LOC117190962|XP_033251844.1|DMIR, LOC108160103|XP_017149386.1|DMIR	LOC117583918|XP_034128488.1|DGUA
OG0000015	LOC117189153|XP_033250113.1|DMIR, LOC108162329|XP_017152508.1|DMIR, LOC108162330|XP_017152509.1|DMIR	LOC117588212|XP_034135242.1|DGUA
OG0000016	LOC108156024|XP_017142762.1|DMIR	LOC117589945|XP_034138127.1|DGUA
OG0000016	LOC108160302|XP_017149703.1|DMIR, LOC117190705|XP_033251658.1|DMIR	LOC117587659|XP_034134479.1|DGUA
OG0000016	LOC108155657|XP_017142098.1|DMIR	LOC117583582|XP_034127854.1|DGUA
OG0000016	LOC108159552|XP_017148467.1|DMIR, LOC117192977|XP_033253595.1|DMIR	LOC117592229|XP_034141753.1|DGUA
OG0000016	LOC108162328|XP_017152507.1|DMIR	LOC117587872|XP_034134741.1|DGUA
OG0000016	LOC108154361|XP_017140118.1|DMIR	LOC117581434|XP_034124497.1|DGUA
OG0000016	LOC117193102|XP_033253716.1|DMIR, LOC117194496|XP_033254943.1|DMIR, LOC117195216|XP_033255740.1|DMIR, LOC108159228|XP_017147821.1|DMIR	LOC117588507|XP_034135722.1|DGUA
OG0000016	LOC108156493|XP_017143475.1|DMIR	LOC117585750|XP_034131294.1|DGUA
OG0000016	LOC108150995|XP_017134834.1|DMIR	LOC117579173|XP_034120827.1|DGUA
OG0000017	LOC108160150|XP_017149453.1|DMIR	LOC117582389|XP_034125960.1|DGUA
OG0000017	LOC108159969|XP_017149141.1|DMIR, LOC108158038|XP_017145672.2|DMIR	LOC117592695|XP_034142550.1|DGUA, LOC117584523|XP_034129364.1|DGUA
OG0000017	LOC117191555|XP_033252276.1|DMIR	LOC117583173|XP_034127261.1|DGUA
OG0000017	LOC108160759|XP_017150448.1|DMIR	LOC117580469|XP_034122942.1|DGUA
OG0000017	LOC108159970|XP_017149142.1|DMIR	LOC117583419|XP_034127607.1|DGUA
OG0000017	LOC108157934|XP_017145566.1|DMIR	LOC117592152|XP_034141609.1|DGUA
OG0000017	LOC108161535|XP_017151304.1|DMIR	LOC117582253|XP_034125754.1|DGUA
OG0000017	LOC108161536|XP_017151305.1|DMIR, LOC108161534|XP_017151303.1|DMIR	LOC117582249|XP_034125751.1|DGUA
OG0000018	LOC108150828|XP_017134625.1|DMIR	LOC117587357|XP_034133889.1|DGUA
OG0000018	LOC108165544|XP_017157106.1|DMIR	LOC117587353|XP_034133885.1|DGUA
OG0000018	LOC108150791|XP_017134583.1|DMIR	LOC117587358|XP_034133890.1|DGUA
OG0000018	LOC108150854|XP_017134645.1|DMIR	LOC117587351|XP_034133882.1|DGUA
OG0000018	LOC108150808|XP_017134601.1|DMIR, LOC108165552|XP_017157116.1|DMIR, LOC108165550|XP_017157115.1|DMIR, LOC108150800|XP_017134593.1|DMIR	LOC117587362|XP_034133895.1|DGUA, LOC117587361|XP_034133894.1|DGUA
OG0000018	LOC108150838|XP_017134636.2|DMIR, LOC108165543|XP_017157105.1|DMIR	LOC117587365|XP_034133899.1|DGUA
OG0000019	LOC108157046|XP_017144351.1|DMIR	LOC117583725|XP_034128132.1|DGUA
OG0000019	LOC108157045|XP_017144349.1|DMIR, LOC108157044|XP_017144348.1|DMIR	LOC117583724|XP_034128131.1|DGUA
OG0000019	LOC108157037|XP_017144339.1|DMIR	LOC117583705|XP_034128081.1|DGUA
OG0000019	LOC108157043|XP_017144347.2|DMIR	LOC117583723|XP_034128130.1|DGUA
OG0000019	LOC108157040|XP_017144345.2|DMIR	LOC117583722|XP_034128122.1|DGUA
OG0000020	LOC108156412|XP_017143346.1|DMIR	LOC117583658|XP_034128012.1|DGUA
OG0000020	LOC108159642|XP_033248178.1|DMIR	LOC117578526|XP_034119977.1|DGUA
OG0000020	LOC108163672|XP_017154587.1|DMIR	LOC117587736|XP_034134545.1|DGUA
OG0000020	LOC108155178|XP_017141337.1|DMIR	LOC117586337|XP_034132223.1|DGUA
OG0000020	LOC108156137|XP_017142939.1|DMIR	LOC117590165|XP_034138451.1|DGUA
OG0000020	LOC108163835|XP_033249247.1|DMIR	LOC117584402|XP_034129156.1|DGUA
OG0000021	LOC108153591|XP_017139161.1|DMIR	LOC117579999|XP_034122087.1|DGUA
OG0000021	LOC117185775|XP_033246995.1|DMIR	LOC117578554|XP_034120017.1|DGUA
OG0000021	LOC117188002|XP_033246994.1|DMIR, LOC108160898|XP_017150659.2|DMIR	LOC117578555|XP_034120019.1|DGUA
OG0000021	LOC108159771|XP_017148818.1|DMIR, LOC117193201|XP_033253843.1|DMIR	LOC117578556|XP_034120020.1|DGUA
OG0000021	LOC108159581|XP_017148519.1|DMIR	LOC117580314|XP_034122704.1|DGUA
OG0000021	LOC108160670|XP_017150305.2|DMIR, LOC117188150|XP_033247446.1|DMIR	LOC117580733|XP_034123298.1|DGUA
OG0000021	LOC108160899|XP_017150660.1|DMIR, LOC117193202|XP_033253844.1|DMIR	LOC117578557|XP_034120021.1|DGUA
OG0000021	LOC108164567|XP_033246575.1|DMIR	LOC117590869|XP_034139782.1|DGUA
OG0000021	LOC108156061|XP_017142833.1|DMIR	LOC117585696|XP_034131203.1|DGUA
OG0000021	LOC108156847|XP_017144055.1|DMIR	LOC117582802|XP_034126721.1|DGUA
OG0000022	LOC108158428|XP_017146199.1|DMIR, LOC117193272|XP_033253907.1|DMIR, LOC117193269|XP_033253905.1|DMIR	LOC117585826|XP_034131453.1|DGUA
OG0000022	LOC108152468|XP_017137324.1|DMIR	LOC117587283|XP_034133760.1|DGUA
OG0000022	LOC108152465|XP_017137322.1|DMIR, LOC108152467|XP_017137323.2|DMIR, LOC108152472|XP_017137329.2|DMIR, LOC108152476|XP_017137336.1|DMIR	LOC117587285|XP_034133763.1|DGUA
OG0000022	LOC108152470|XP_017137327.1|DMIR	LOC117587284|XP_034133762.1|DGUA
OG0000022	LOC108152469|XP_017137325.1|DMIR	LOC117587282|XP_034133759.1|DGUA
OG0000022	LOC108152471|XP_017137328.1|DMIR	LOC117587286|XP_034133764.1|DGUA
OG0000023	LOC108153857|XP_033244801.1|DMIR	LOC117586396|XP_034132318.1|DGUA
OG0000023	LOC108155686|XP_017142144.1|DMIR	LOC117586009|XP_034131729.1|DGUA
OG0000023	LOC108155685|XP_017142143.1|DMIR	LOC117586008|XP_034131728.1|DGUA
OG0000023	LOC108158830|XP_017147022.1|DMIR	LOC117591288|XP_034140381.1|DGUA
OG0000023	LOC108153856|XP_033244802.1|DMIR	LOC117586007|XP_034131727.1|DGUA
OG0000023	LOC108157164|XP_017144562.1|DMIR	LOC117586005|XP_034131725.1|DGUA
OG0000023	LOC108156708|XP_017143845.1|DMIR	LOC117586006|XP_034131726.1|DGUA
OG0000023	LOC108156707|XP_017143844.1|DMIR	LOC117586004|XP_034131723.1|DGUA
OG0000023	LOC108156709|XP_033245059.1|DMIR	LOC117586277|XP_034132120.1|DGUA
OG0000024	LOC108160774|XP_017150465.1|DMIR, LOC117193757|XP_033254378.1|DMIR, LOC108160813|XP_017150525.2|DMIR	LOC117590346|XP_034138754.1|DGUA
OG0000024	LOC108160883|XP_017150641.1|DMIR	LOC117580026|XP_034122146.1|DGUA
OG0000024	LOC117194102|XP_033254634.1|DMIR, LOC108160812|XP_017150524.1|DMIR	LOC117580040|XP_034122171.1|DGUA
OG0000024	LOC108161382|XP_017151119.1|DMIR	LOC117591149|XP_034140151.1|DGUA
OG0000024	LOC117194080|XP_033254609.1|DMIR, LOC108160979|XP_017150769.1|DMIR	LOC117578502|XP_034119928.1|DGUA
OG0000024	LOC108159455|XP_017148242.1|DMIR	LOC117592048|XP_034141425.1|DGUA
OG0000025	LOC108157728|XP_017145391.1|DMIR	LOC117590412|XP_034138901.1|DGUA
OG0000025	LOC108156793|XP_017143960.1|DMIR	LOC117591670|XP_034140884.1|DGUA
OG0000026	LOC108150850|XP_017134646.1|DMIR	LOC117588644|XP_034135968.1|DGUA
OG0000026	LOC108162957|XP_033248732.1|DMIR	LOC117588100|XP_034135061.1|DGUA
OG0000026	LOC108165129|XP_017156683.1|DMIR	LOC117581101|XP_034123883.1|DGUA
OG0000026	LOC108157803|XP_017145484.1|DMIR	LOC117583741|XP_034128149.1|DGUA
OG0000026	LOC108155726|XP_017142223.1|DMIR, LOC108154308|XP_017140053.1|DMIR	LOC117583141|XP_034127222.1|DGUA, LOC117583140|XP_034127221.1|DGUA, LOC117583745|XP_034128155.1|DGUA, LOC117583744|XP_034128154.1|DGUA, LOC117583743|XP_034128152.1|DGUA, LOC117583742|XP_034128150.1|DGUA
OG0000026	LOC108157162|XP_017144561.1|DMIR	LOC117589578|XP_034137528.1|DGUA
OG0000027	LOC108162948|XP_017153432.1|DMIR	LOC117581694|XP_034124962.1|DGUA
OG0000027	LOC108162949|XP_017153433.1|DMIR	LOC117582236|XP_034125737.1|DGUA
OG0000027	LOC108162947|XP_017153431.1|DMIR	LOC117581693|XP_034124961.1|DGUA
OG0000028	LOC108165232|XP_017156760.1|DMIR	LOC117579889|XP_034121915.1|DGUA, LOC117579893|XP_034121921.1|DGUA
OG0000028	LOC117186464|XP_033243221.1|DMIR, LOC108165418|XP_033243407.1|DMIR, LOC108165419|XP_017156946.1|DMIR	LOC117579894|XP_034121922.1|DGUA, LOC117579895|XP_034121923.1|DGUA, LOC117579891|XP_034121917.1|DGUA, LOC117579890|XP_034121916.1|DGUA
OG0000028	LOC108165421|XP_017156949.1|DMIR	LOC117579887|XP_034121914.1|DGUA
OG0000028	LOC108151302|XP_017135327.1|DMIR	LOC117588956|XP_034136434.1|DGUA
OG0000029	LOC117191657|XP_033252354.1|DMIR, LOC108158000|XP_017145632.1|DMIR	LOC117592282|XP_034141836.1|DGUA
OG0000029	LOC108154578|XP_017140369.1|DMIR	LOC117589682|XP_034137727.1|DGUA
OG0000029	LOC108150820|XP_017134616.1|DMIR	LOC117579424|XP_034121195.1|DGUA
OG0000030	LOC108161304|XP_017151013.1|DMIR	LOC117582242|XP_034125744.1|DGUA
OG0000030	LOC108161162|XP_017150872.2|DMIR	LOC117584551|XP_034129394.1|DGUA
OG0000030	LOC108160793|XP_017150492.1|DMIR	LOC117580408|XP_034122850.1|DGUA
OG0000030	LOC108151546|XP_033246807.1|DMIR	LOC117580802|XP_034123393.1|DGUA
OG0000030	LOC108154542|XP_017140365.1|DMIR	LOC117581439|XP_034124532.1|DGUA
OG0000031	LOC108163859|XP_017154864.1|DMIR	LOC117584126|XP_034128769.1|DGUA
OG0000031	LOC108161610|XP_017151398.1|DMIR	LOC117584798|XP_034129808.1|DGUA
OG0000032	LOC108156619|XP_017143664.1|DMIR	LOC117583029|XP_034127075.1|DGUA
OG0000032	LOC108157651|XP_017145290.1|DMIR	LOC117583030|XP_034127077.1|DGUA
OG0000032	LOC108157634|XP_017145264.1|DMIR	LOC117583028|XP_034127074.1|DGUA
OG0000032	LOC108156618|XP_017143663.1|DMIR	LOC117583032|XP_034127079.1|DGUA, LOC117583027|XP_034127070.1|DGUA, LOC117583026|XP_034127069.1|DGUA
OG0000033	LOC108156558|XP_017143572.1|DMIR	LOC117583114|XP_034127189.1|DGUA
OG0000033	LOC117189759|XP_033250731.1|DMIR, LOC108159420|XP_017148176.1|DMIR	LOC117578485|XP_034119909.1|DGUA
OG0000033	LOC117187710|XP_033246345.1|DMIR, LOC108159419|XP_017148175.2|DMIR	LOC117578484|XP_034119908.1|DGUA
OG0000033	LOC108153999|XP_033244121.1|DMIR	LOC117589901|XP_034138062.1|DGUA
OG0000034	LOC108164271|XP_017155403.1|DMIR	LOC117584525|XP_034129365.1|DGUA
OG0000034	LOC108164069|XP_033249364.1|DMIR	LOC117584364|XP_034129093.1|DGUA
OG0000034	LOC117185901|XP_033249912.1|DMIR, LOC108162133|XP_017152203.1|DMIR, LOC108162132|XP_017152201.1|DMIR	LOC117588069|XP_034135023.1|DGUA, LOC117588071|XP_034135025.1|DGUA
OG0000034	LOC108162131|XP_017152200.1|DMIR	LOC117588068|XP_034135019.1|DGUA
OG0000036	LOC108157733|XP_017145397.1|DMIR	LOC117586375|XP_034132294.1|DGUA
OG0000036	LOC117187198|XP_033245230.1|DMIR	LOC117589622|XP_034137600.1|DGUA
OG0000036	LOC108157106|XP_017144468.1|DMIR	LOC117590096|XP_034138331.1|DGUA
OG0000036	LOC108155635|XP_017142061.1|DMIR	LOC117583751|XP_034128161.1|DGUA
OG0000037	LOC108160263|XP_017149626.1|DMIR	LOC117581190|XP_034124041.1|DGUA
OG0000037	LOC117195094|XP_033255640.1|DMIR, LOC117191092|XP_033251946.1|DMIR, LOC117194615|XP_033255034.1|DMIR, LOC117194588|XP_033255015.1|DMIR, LOC117194655|XP_033255061.1|DMIR, LOC117190599|XP_033251536.1|DMIR, LOC117194833|XP_033255201.1|DMIR, LOC117191511|XP_033252248.1|DMIR, LOC117191510|XP_033252247.1|DMIR, LOC117194839|XP_033255205.1|DMIR, LOC117191523|XP_033252256.1|DMIR, LOC117190815|XP_033251747.1|DMIR, LOC117194824|XP_033255196.1|DMIR, LOC117194825|XP_033255197.1|DMIR, LOC117195091|XP_033255638.1|DMIR, LOC117194549|XP_033254988.1|DMIR, LOC117194837|XP_033255204.1|DMIR, LOC117194807|XP_033255181.1|DMIR, LOC117194573|XP_033255006.1|DMIR, LOC117194587|XP_033255014.1|DMIR, LOC117194750|XP_033255142.1|DMIR, LOC117194591|XP_033255018.1|DMIR, LOC117194574|XP_033255007.1|DMIR, LOC117195092|XP_033255639.1|DMIR, LOC117194597|XP_033255024.1|DMIR, LOC117195100|XP_033255645.1|DMIR, LOC117194819|XP_033255192.1|DMIR, LOC117194975|XP_033255339.1|DMIR, LOC108153987|XP_033244827.1|DMIR, LOC117194660|XP_033255064.1|DMIR, LOC117194818|XP_033255191.1|DMIR, LOC117194604|XP_033255027.1|DMIR, LOC117194596|XP_033255023.1|DMIR, LOC117194601|XP_033255025.1|DMIR, LOC117195095|XP_033255641.1|DMIR, LOC117194843|XP_033255207.1|DMIR, LOC117191506|XP_033252242.1|DMIR, LOC117194661|XP_033255065.1|DMIR, LOC117194657|XP_033255062.1|DMIR, LOC117190601|XP_033251538.1|DMIR, LOC117194841|XP_033255206.1|DMIR, LOC117191508|XP_033252244.1|DMIR, LOC117194658|XP_033255063.1|DMIR, LOC117194702|XP_033255103.1|DMIR, LOC117194796|XP_033255174.1|DMIR, LOC117190600|XP_033251537.1|DMIR, LOC117194589|XP_033255016.1|DMIR, LOC117194409|XP_033254874.1|DMIR, LOC117194829|XP_033255199.1|DMIR, LOC117194605|XP_033255028.1|DMIR, LOC117194822|XP_033255195.1|DMIR, LOC117194333|XP_033254795.1|DMIR, LOC117194609|XP_033255031.1|DMIR, LOC117194407|XP_033254872.1|DMIR, LOC117195096|XP_033255642.1|DMIR, LOC117194649|XP_033255056.1|DMIR, LOC117190597|XP_033251535.1|DMIR, LOC117194650|XP_033255057.1|DMIR, LOC117190125|XP_033251100.1|DMIR, LOC108156646|XP_017143737.2|DMIR	LOC117589655|XP_034137680.1|DGUA, LOC117589654|XP_034137679.1|DGUA, LOC117589653|XP_034137677.1|DGUA
