Orthogroup	DMIR.longest_only	DFIC.longest_only
OG0000005	LOC117187305|XP_033245567.1|DMIR, LOC117187302|XP_033245563.1|DMIR, LOC117187307|XP_033245569.1|DMIR, LOC117187303|XP_033245564.1|DMIR, LOC117187308|XP_033245570.1|DMIR, LOC117187304|XP_033245566.1|DMIR, LOC117187306|XP_033245568.1|DMIR, LOC117188269|XP_033247714.1|DMIR, LOC117186052|XP_033242023.1|DMIR, LOC108164485|XP_017155735.2|DMIR, LOC117187309|XP_033245571.1|DMIR, LOC108156706|XP_017143843.1|DMIR	LOC108094052|XP_017049981.1|DFIC
OG0000006	LOC117187206|XP_033245270.1|DMIR	LOC108098248|XP_017056531.1|DFIC
OG0000006	LOC108156704|XP_017143842.2|DMIR	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC
OG0000007	LOC108153040|XP_017138288.1|DMIR	LOC108099856|XP_017058991.1|DFIC
OG0000007	LOC108153675|XP_017139280.1|DMIR, LOC108165331|XP_017156854.2|DMIR	LOC108093252|XP_017048717.1|DFIC
OG0000007	LOC108152481|XP_017137344.1|DMIR	LOC108093253|XP_017048718.1|DFIC
OG0000007	LOC108152482|XP_017137345.1|DMIR	LOC108093241|XP_017048705.1|DFIC, LOC108093034|XP_017048427.1|DFIC, LOC108093033|XP_017048426.1|DFIC, LOC108093169|XP_017048611.1|DFIC, LOC108093170|XP_017048612.1|DFIC, LOC108093261|XP_017048727.1|DFIC
OG0000007	LOC108163948|XP_017154978.1|DMIR	LOC108089978|XP_017043968.1|DFIC
OG0000007	LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR	LOC108090582|XP_017044820.1|DFIC
OG0000007	LOC108164248|XP_017155372.1|DMIR	LOC108089778|XP_017043661.1|DFIC
OG0000007	LOC108165521|XP_017157067.1|DMIR	LOC108088950|XP_017042460.1|DFIC
OG0000007	LOC108164169|XP_017155268.2|DMIR	LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC
OG0000007	LOC108152483|XP_017137346.1|DMIR	LOC108093152|XP_017048588.1|DFIC
OG0000007	LOC108152484|XP_017137347.1|DMIR	LOC108093153|XP_017048589.1|DFIC
OG0000008	LOC108154982|XP_017141010.1|DMIR	LOC108101034|XP_017060691.1|DFIC
OG0000008	LOC108151536|XP_017135679.1|DMIR	LOC108100331|XP_017059630.1|DFIC
OG0000008	LOC108161577|XP_017151355.1|DMIR	LOC108093477|XP_017049051.1|DFIC
OG0000008	LOC108151539|XP_017135683.2|DMIR	LOC108100333|XP_017059632.1|DFIC
OG0000008	LOC108154402|XP_017140161.1|DMIR	LOC108091741|XP_017046574.1|DFIC, LOC108091742|XP_017046575.1|DFIC
OG0000008	LOC108153895|XP_033244232.1|DMIR	LOC108091769|XP_017046605.1|DFIC
OG0000008	LOC108154515|XP_017140305.2|DMIR	LOC108091757|XP_017046589.1|DFIC
OG0000008	LOC108153896|XP_017139483.1|DMIR	LOC108091754|XP_017046587.1|DFIC
OG0000008	LOC108154491|XP_017140280.1|DMIR	LOC108091767|XP_017046601.1|DFIC
OG0000009	LOC108157813|XP_017145500.1|DMIR	LOC108101115|XP_017060823.1|DFIC
OG0000009	LOC108154360|XP_017140115.1|DMIR	LOC108101125|XP_017060838.1|DFIC
OG0000009	LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR	LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC, LOC108101116|XP_017060824.1|DFIC
OG0000009	LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR	LOC108101809|XP_017061774.1|DFIC
OG0000009	LOC108154377|XP_017140130.1|DMIR	LOC108088079|XP_017041220.1|DFIC
OG0000009	LOC108160943|XP_017150721.1|DMIR	LOC108086769|XP_017039304.1|DFIC
OG0000009	LOC108158336|XP_017146065.1|DMIR	LOC108094178|XP_017050126.1|DFIC, LOC108086653|XP_017039126.1|DFIC, LOC108086655|XP_017039128.1|DFIC, LOC108086610|XP_017039074.1|DFIC
OG0000010	LOC117187315|XP_033245579.1|DMIR, LOC108156795|XP_017143963.1|DMIR	LOC108098255|XP_017056544.1|DFIC
OG0000010	LOC117187316|XP_033245580.1|DMIR	LOC108101428|XP_017061247.1|DFIC
OG0000011	LOC117185695|XP_017152271.2|DMIR, LOC108163065|XP_017153628.2|DMIR, LOC117188829|XP_033249173.1|DMIR, LOC108161855|XP_033249172.1|DMIR, LOC108164675|XP_017156017.1|DMIR, LOC108162189|XP_033249910.1|DMIR, LOC108162187|XP_017152275.1|DMIR, LOC108162186|XP_017152273.1|DMIR, LOC117188852|XP_033249240.1|DMIR, LOC108161557|XP_017151330.1|DMIR, LOC108163629|XP_017154523.1|DMIR, LOC108162188|XP_017152278.1|DMIR, LOC108163972|XP_017155018.1|DMIR, LOC117185693|XP_017154036.1|DMIR, LOC117188957|XP_033249531.1|DMIR, LOC108162812|XP_017153212.1|DMIR, LOC108163322|XP_033249532.1|DMIR, LOC108162815|XP_017153219.1|DMIR	LOC108101273|XP_017061049.1|DFIC, LOC108100009|XP_017059202.1|DFIC, LOC108101289|XP_017061078.1|DFIC, LOC108100104|XP_017059339.1|DFIC, LOC108098171|XP_017056393.1|DFIC, LOC108095556|XP_017052180.1|DFIC
OG0000011	LOC108165384|XP_017156911.1|DMIR	LOC108086883|XP_017039433.1|DFIC
OG0000011	LOC108153161|XP_017138453.1|DMIR	LOC108086913|XP_017039476.1|DFIC
OG0000011	LOC108154131|XP_017139754.1|DMIR	LOC108098799|XP_017057429.1|DFIC
OG0000012	LOC108159199|XP_017147755.1|DMIR	LOC108096904|XP_017054341.1|DFIC
OG0000012	LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR	LOC108096903|XP_017054340.1|DFIC
OG0000012	LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR	LOC108096929|XP_017054370.1|DFIC
OG0000012	LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR	LOC108096943|XP_017054393.1|DFIC
OG0000012	LOC108161008|XP_017150804.1|DMIR, LOC117185969|XP_033248320.1|DMIR, LOC108157993|XP_033248087.1|DMIR	LOC108096563|XP_017053746.1|DFIC
OG0000012	LOC108160910|XP_017150675.1|DMIR	LOC108096571|XP_017053756.1|DFIC
OG0000012	LOC108158925|XP_017147218.1|DMIR	LOC108086628|XP_017039092.1|DFIC
OG0000012	LOC108158929|XP_017147224.1|DMIR	LOC108086618|XP_017039083.1|DFIC
OG0000012	LOC108158928|XP_017147221.1|DMIR	LOC108086755|XP_017039283.1|DFIC, LOC108086630|XP_017039094.1|DFIC
OG0000012	LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR	LOC108086627|XP_017039091.1|DFIC
OG0000012	LOC108158927|XP_017147219.1|DMIR	LOC108086756|XP_017039284.1|DFIC
OG0000013	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR	LOC108101557|XP_017061445.1|DFIC
OG0000013	LOC108152903|XP_017138042.1|DMIR	LOC108101682|XP_017061593.1|DFIC
OG0000013	LOC108157123|XP_017144495.1|DMIR, LOC108156384|XP_017143289.1|DMIR	LOC108098830|XP_017057474.1|DFIC
OG0000013	LOC108151516|XP_033243870.1|DMIR	LOC108086910|XP_017039470.1|DFIC
OG0000013	LOC108154911|XP_017140853.2|DMIR, LOC117187087|XP_033244842.1|DMIR	LOC108091996|XP_017046910.1|DFIC
OG0000013	LOC117187120|XP_033245008.1|DMIR, LOC117187121|XP_033245009.1|DMIR, LOC108154243|XP_017139966.2|DMIR, LOC108154002|XP_033245010.1|DMIR	LOC108102250|XP_017062487.1|DFIC, LOC108087940|XP_017041016.1|DFIC
OG0000015	LOC117189153|XP_033250113.1|DMIR, LOC108162329|XP_017152508.1|DMIR, LOC108162330|XP_017152509.1|DMIR	LOC108086461|XP_017038876.1|DFIC
OG0000016	LOC108156024|XP_017142762.1|DMIR	LOC108091644|XP_017046435.1|DFIC
OG0000016	LOC108160302|XP_017149703.1|DMIR, LOC117190705|XP_033251658.1|DMIR	LOC108095161|XP_017051608.1|DFIC
OG0000016	LOC108155657|XP_017142098.1|DMIR	LOC108088049|XP_017041175.1|DFIC
OG0000016	LOC108159552|XP_017148467.1|DMIR, LOC117192977|XP_033253595.1|DMIR	LOC108090474|XP_017044659.1|DFIC
OG0000016	LOC108154361|XP_017140118.1|DMIR	LOC108092889|XP_017048224.1|DFIC
OG0000016	LOC117193102|XP_033253716.1|DMIR, LOC117194496|XP_033254943.1|DMIR, LOC117195216|XP_033255740.1|DMIR, LOC108159228|XP_017147821.1|DMIR	LOC108091135|XP_017045658.1|DFIC
OG0000016	LOC108156493|XP_017143475.1|DMIR	LOC108096392|XP_017053452.1|DFIC
OG0000016	LOC108150995|XP_017134834.1|DMIR	LOC108093583|XP_017049197.1|DFIC
OG0000017	LOC108153009|XP_017138281.1|DMIR	LOC108098017|XP_017056155.1|DFIC
OG0000017	LOC108160150|XP_017149453.1|DMIR	LOC108101533|XP_017061396.1|DFIC
OG0000017	LOC108159969|XP_017149141.1|DMIR, LOC108158038|XP_017145672.2|DMIR	LOC108099991|XP_017059177.1|DFIC
OG0000017	LOC108154022|XP_017139603.2|DMIR, LOC117191555|XP_033252276.1|DMIR	LOC108095642|XP_017052296.1|DFIC
OG0000017	LOC108160759|XP_017150448.1|DMIR	LOC108087716|XP_017040726.1|DFIC
OG0000017	LOC108159970|XP_017149142.1|DMIR	LOC108099990|XP_017059176.1|DFIC
OG0000017	LOC108157934|XP_017145566.1|DMIR	LOC108087715|XP_017040725.1|DFIC
OG0000017	LOC108161535|XP_017151304.1|DMIR, LOC108161536|XP_017151305.1|DMIR, LOC108161534|XP_017151303.1|DMIR	LOC108094147|XP_017050074.1|DFIC, LOC108094148|XP_017050075.1|DFIC
OG0000018	LOC108150828|XP_017134625.1|DMIR	LOC108093126|XP_017048560.1|DFIC
OG0000018	LOC108150791|XP_017134583.1|DMIR	LOC108093128|XP_017048562.1|DFIC
OG0000018	LOC108150854|XP_017134645.1|DMIR	LOC108093130|XP_017048564.1|DFIC
OG0000018	LOC108150808|XP_017134601.1|DMIR, LOC108165552|XP_017157116.1|DMIR, LOC108165550|XP_017157115.1|DMIR, LOC108150800|XP_017134593.1|DMIR	LOC108093138|XP_017048572.1|DFIC, LOC108093140|XP_017048574.1|DFIC
OG0000018	LOC108150838|XP_017134636.2|DMIR, LOC108165543|XP_017157105.1|DMIR	LOC108093137|XP_017048571.1|DFIC, LOC108093131|XP_017048565.1|DFIC, LOC108093271|XP_017048739.1|DFIC, LOC108093136|XP_017048569.1|DFIC
OG0000019	LOC108157046|XP_017144351.1|DMIR, LOC108157045|XP_017144349.1|DMIR, LOC108157044|XP_017144348.1|DMIR	LOC108086541|XP_017038967.1|DFIC
OG0000019	LOC108157037|XP_017144339.1|DMIR	LOC108086535|XP_017038961.1|DFIC
OG0000019	LOC108157043|XP_017144347.2|DMIR	LOC108086543|XP_017038970.1|DFIC
OG0000019	LOC108157041|XP_017144346.1|DMIR, LOC108153982|XP_033245000.1|DMIR, LOC108157040|XP_017144345.2|DMIR	LOC108086538|XP_017038965.1|DFIC, LOC108086540|XP_017038966.1|DFIC
OG0000020	LOC108156412|XP_017143346.1|DMIR	LOC108086571|XP_017039016.1|DFIC
OG0000020	LOC108159642|XP_033248178.1|DMIR	LOC108087826|XP_017040886.1|DFIC
OG0000020	LOC108163672|XP_017154587.1|DMIR	LOC108100979|XP_017060622.1|DFIC
OG0000020	LOC108155178|XP_017141337.1|DMIR	LOC108101093|XP_017060792.1|DFIC
OG0000020	LOC108156137|XP_017142939.1|DMIR	LOC108102060|XP_017062180.1|DFIC
OG0000020	LOC108163835|XP_033249247.1|DMIR	LOC108089992|XP_017043983.1|DFIC
OG0000020	LOC108163643|XP_017154542.1|DMIR	LOC108101220|XP_017060958.1|DFIC
OG0000021	LOC108159581|XP_017148519.1|DMIR	LOC108090792|XP_017045128.1|DFIC
OG0000021	LOC108160670|XP_017150305.2|DMIR, LOC117188150|XP_033247446.1|DMIR	LOC108090653|XP_017044920.1|DFIC
OG0000021	LOC117185989|XP_033241901.1|DMIR, LOC108162397|XP_033252470.1|DMIR	LOC108093638|XP_017049284.1|DFIC
OG0000021	LOC108164567|XP_033246575.1|DMIR	LOC108095541|XP_017052159.1|DFIC
OG0000021	LOC108156061|XP_017142833.1|DMIR	LOC108091979|XP_017046877.1|DFIC
OG0000021	LOC108156847|XP_017144055.1|DMIR	LOC108088013|XP_017041113.1|DFIC
OG0000021	LOC108164951|XP_017156435.1|DMIR	LOC108094694|XP_017050914.1|DFIC
OG0000022	LOC108158428|XP_017146199.1|DMIR, LOC117193272|XP_033253907.1|DMIR, LOC117193269|XP_033253905.1|DMIR	LOC108093677|XP_017049345.1|DFIC
OG0000022	LOC108152468|XP_017137324.1|DMIR	LOC108100202|XP_017059465.1|DFIC
OG0000022	LOC108152474|XP_017137333.2|DMIR, LOC117186204|XP_033242420.1|DMIR, LOC108152475|XP_017137334.2|DMIR	LOC108100306|XP_017059594.1|DFIC, LOC108100305|XP_017059593.1|DFIC, LOC108100300|XP_017059588.1|DFIC, LOC108100303|XP_017059590.1|DFIC, LOC108100308|XP_017059596.1|DFIC
OG0000022	LOC108152470|XP_017137327.1|DMIR	LOC108100304|XP_017059591.1|DFIC
OG0000022	LOC108152469|XP_017137325.1|DMIR	LOC108100302|XP_017059589.1|DFIC
OG0000023	LOC108153857|XP_033244801.1|DMIR	LOC108096122|XP_017052987.1|DFIC, LOC108096106|XP_017052971.1|DFIC
OG0000023	LOC108155685|XP_017142143.1|DMIR	LOC108096128|XP_017052994.1|DFIC
OG0000023	LOC108158830|XP_017147022.1|DMIR	LOC108096606|XP_017053802.1|DFIC
OG0000023	LOC108153856|XP_033244802.1|DMIR	LOC108096129|XP_017052995.1|DFIC
OG0000023	LOC108157164|XP_017144562.1|DMIR	LOC108096118|XP_017052982.1|DFIC
OG0000023	LOC108156708|XP_017143845.1|DMIR	LOC108096119|XP_017052984.1|DFIC
OG0000023	LOC108156707|XP_017143844.1|DMIR	LOC108096117|XP_017052981.1|DFIC
OG0000023	LOC108156709|XP_033245059.1|DMIR	LOC108096114|XP_017052979.1|DFIC
OG0000024	LOC108160883|XP_017150641.1|DMIR	LOC108086467|XP_017038883.1|DFIC
OG0000024	LOC117194102|XP_033254634.1|DMIR, LOC108160812|XP_017150524.1|DMIR	LOC108086472|XP_017038887.1|DFIC
OG0000024	LOC108161382|XP_017151119.1|DMIR	LOC108098296|XP_017056595.1|DFIC
OG0000024	LOC117194080|XP_033254609.1|DMIR, LOC108160979|XP_017150769.1|DMIR	LOC108086381|XP_017038771.1|DFIC
OG0000024	LOC108159455|XP_017148242.1|DMIR	LOC108094860|XP_017051169.1|DFIC
OG0000025	LOC108162357|XP_017152552.1|DMIR, LOC108157728|XP_017145391.1|DMIR	LOC108088651|XP_017042067.1|DFIC
OG0000026	LOC108150850|XP_017134646.1|DMIR	LOC108091247|XP_017045848.1|DFIC
OG0000026	LOC108162957|XP_033248732.1|DMIR	LOC108093407|XP_017048931.1|DFIC
OG0000026	LOC108165129|XP_017156683.1|DMIR	LOC108101707|XP_017061633.1|DFIC, LOC108101666|XP_017061574.1|DFIC
OG0000026	LOC108157803|XP_017145484.1|DMIR, LOC108155726|XP_017142223.1|DMIR, LOC108154308|XP_017140053.1|DMIR	LOC108091826|XP_017046693.1|DFIC
OG0000026	LOC108157162|XP_017144561.1|DMIR	LOC108098549|XP_017057035.1|DFIC, LOC108098463|XP_017056857.1|DFIC
OG0000027	LOC108162948|XP_017153432.1|DMIR	LOC108100821|XP_017060378.1|DFIC
OG0000027	LOC108162949|XP_017153433.1|DMIR	LOC108100819|XP_017060376.1|DFIC
OG0000027	LOC108162947|XP_017153431.1|DMIR	LOC108100820|XP_017060377.1|DFIC
OG0000028	LOC108165421|XP_017156949.1|DMIR	LOC108095285|XP_017051819.1|DFIC
OG0000028	LOC108151302|XP_017135327.1|DMIR	LOC108089312|XP_017042978.1|DFIC
OG0000029	LOC117191657|XP_033252354.1|DMIR, LOC108158000|XP_017145632.1|DMIR	LOC108090681|XP_017044956.1|DFIC, LOC108100972|XP_017060614.1|DFIC
OG0000029	LOC117190365|XP_033251334.1|DMIR, LOC108157998|XP_017145630.1|DMIR	LOC108096726|XP_017054059.1|DFIC
OG0000029	LOC108150820|XP_017134616.1|DMIR	LOC108099785|XP_017058903.1|DFIC
OG0000030	LOC108161306|XP_017151015.1|DMIR	LOC108093480|XP_017049055.1|DFIC, LOC108100317|XP_017059651.1|DFIC
OG0000030	LOC108161304|XP_017151013.1|DMIR	LOC108093469|XP_017049043.1|DFIC
OG0000030	LOC108161303|XP_017151011.1|DMIR, LOC108161305|XP_017151014.1|DMIR	LOC108093479|XP_017049053.1|DFIC
OG0000030	LOC108161162|XP_017150872.2|DMIR	LOC108092343|XP_017047369.1|DFIC, LOC108092288|XP_017047312.1|DFIC
OG0000030	LOC108160793|XP_017150492.1|DMIR	LOC108087621|XP_017040552.1|DFIC
OG0000030	LOC108151546|XP_033246807.1|DMIR	LOC108091341|XP_017045978.1|DFIC
OG0000030	LOC108154542|XP_017140365.1|DMIR	LOC108088560|XP_017041895.1|DFIC
OG0000031	LOC108163859|XP_017154864.1|DMIR	LOC108087846|XP_017040950.1|DFIC, LOC108094523|XP_017050614.1|DFIC, LOC108100476|XP_017059897.1|DFIC
OG0000031	LOC108161143|XP_033248838.1|DMIR, LOC108161141|XP_033248476.1|DMIR	LOC108092296|XP_017047319.1|DFIC
OG0000031	LOC108161610|XP_017151398.1|DMIR	LOC108089228|XP_017042875.1|DFIC
OG0000032	LOC108156621|XP_017143666.1|DMIR	LOC108088062|XP_017041192.1|DFIC
OG0000032	LOC108156620|XP_017143665.1|DMIR	LOC108087979|XP_017041070.1|DFIC
OG0000032	LOC108157634|XP_017145264.1|DMIR	LOC108087896|XP_017040963.1|DFIC
OG0000032	LOC108156618|XP_017143663.1|DMIR	LOC108087899|XP_017040966.1|DFIC
OG0000033	LOC108156558|XP_017143572.1|DMIR	LOC108102066|XP_017062199.1|DFIC
OG0000033	LOC117189759|XP_033250731.1|DMIR, LOC108159420|XP_017148176.1|DMIR	LOC108094281|XP_017050264.1|DFIC
OG0000033	LOC117187710|XP_033246345.1|DMIR, LOC108159419|XP_017148175.2|DMIR	LOC108094282|XP_017050265.1|DFIC
OG0000033	LOC108153999|XP_033244121.1|DMIR	LOC108098498|XP_017056906.1|DFIC, LOC108098495|XP_017056904.1|DFIC
OG0000034	LOC108164271|XP_017155403.1|DMIR	LOC108098181|XP_017056403.1|DFIC, LOC108090289|XP_017044389.1|DFIC, LOC108098175|XP_017056397.1|DFIC, LOC108098172|XP_017056394.1|DFIC
OG0000034	LOC108164069|XP_033249364.1|DMIR	LOC108098285|XP_017056581.1|DFIC
OG0000034	LOC117185901|XP_033249912.1|DMIR, LOC108162133|XP_017152203.1|DMIR, LOC108162132|XP_017152201.1|DMIR	LOC108098386|XP_017056743.1|DFIC, LOC108087083|XP_017039752.1|DFIC, LOC108087380|XP_017040209.1|DFIC
OG0000034	LOC108162131|XP_017152200.1|DMIR	LOC108093450|XP_017049013.1|DFIC
OG0000035	LOC117186697|XP_033243671.1|DMIR, LOC117186386|XP_033243001.1|DMIR, LOC117186599|XP_033243470.1|DMIR	LOC108093569|XP_017049153.1|DFIC
OG0000036	LOC108157733|XP_017145397.1|DMIR	LOC108096138|XP_017053007.1|DFIC
OG0000036	LOC117187198|XP_033245230.1|DMIR	LOC108097979|XP_017056090.1|DFIC
OG0000036	LOC108157106|XP_017144468.1|DMIR	LOC108098533|XP_017057003.1|DFIC
OG0000036	LOC108155635|XP_017142061.1|DMIR	LOC108087237|XP_017040017.1|DFIC
OG0000037	LOC108160263|XP_017149626.1|DMIR	LOC108087844|XP_017040913.1|DFIC
OG0000037	LOC117195094|XP_033255640.1|DMIR, LOC117191092|XP_033251946.1|DMIR, LOC117194615|XP_033255034.1|DMIR, LOC117194588|XP_033255015.1|DMIR, LOC117194655|XP_033255061.1|DMIR, LOC117190599|XP_033251536.1|DMIR, LOC117194833|XP_033255201.1|DMIR, LOC117191511|XP_033252248.1|DMIR, LOC117191510|XP_033252247.1|DMIR, LOC117194839|XP_033255205.1|DMIR, LOC117191523|XP_033252256.1|DMIR, LOC117190815|XP_033251747.1|DMIR, LOC117194824|XP_033255196.1|DMIR, LOC117194825|XP_033255197.1|DMIR, LOC117195091|XP_033255638.1|DMIR, LOC117194549|XP_033254988.1|DMIR, LOC117194837|XP_033255204.1|DMIR, LOC117194807|XP_033255181.1|DMIR, LOC117194573|XP_033255006.1|DMIR, LOC117194587|XP_033255014.1|DMIR, LOC117194750|XP_033255142.1|DMIR, LOC117194591|XP_033255018.1|DMIR, LOC117194574|XP_033255007.1|DMIR, LOC117195092|XP_033255639.1|DMIR, LOC117194597|XP_033255024.1|DMIR, LOC117195100|XP_033255645.1|DMIR, LOC117194819|XP_033255192.1|DMIR, LOC117194975|XP_033255339.1|DMIR, LOC108153987|XP_033244827.1|DMIR, LOC117194660|XP_033255064.1|DMIR, LOC117194818|XP_033255191.1|DMIR, LOC117194604|XP_033255027.1|DMIR, LOC117194596|XP_033255023.1|DMIR, LOC117194601|XP_033255025.1|DMIR, LOC117195095|XP_033255641.1|DMIR, LOC117194843|XP_033255207.1|DMIR, LOC117191506|XP_033252242.1|DMIR, LOC117194661|XP_033255065.1|DMIR, LOC117194657|XP_033255062.1|DMIR, LOC117190601|XP_033251538.1|DMIR, LOC117194841|XP_033255206.1|DMIR, LOC117191508|XP_033252244.1|DMIR, LOC117194658|XP_033255063.1|DMIR, LOC117194702|XP_033255103.1|DMIR, LOC117194796|XP_033255174.1|DMIR, LOC117190600|XP_033251537.1|DMIR, LOC117194589|XP_033255016.1|DMIR, LOC117194409|XP_033254874.1|DMIR, LOC117194829|XP_033255199.1|DMIR, LOC117194605|XP_033255028.1|DMIR, LOC117194822|XP_033255195.1|DMIR, LOC117194333|XP_033254795.1|DMIR, LOC117194609|XP_033255031.1|DMIR, LOC117194407|XP_033254872.1|DMIR, LOC117195096|XP_033255642.1|DMIR, LOC117194649|XP_033255056.1|DMIR, LOC117190597|XP_033251535.1|DMIR, LOC117194650|XP_033255057.1|DMIR, LOC117190125|XP_033251100.1|DMIR, LOC108156646|XP_017143737.2|DMIR, LOC117190111|XP_033251090.1|DMIR, LOC117194816|XP_033255190.1|DMIR, LOC117194767|XP_033255155.1|DMIR, LOC117194745|XP_033255132.1|DMIR, LOC117194463|XP_033254917.1|DMIR, LOC117190114|XP_033251091.1|DMIR, LOC117194862|XP_033255219.1|DMIR, LOC117194858|XP_033255216.1|DMIR, LOC117194857|XP_033255215.1|DMIR, LOC117194328|XP_033254789.1|DMIR, LOC108156982|XP_017144263.2|DMIR, LOC117194327|XP_033254788.1|DMIR, LOC117194594|XP_033255020.1|DMIR, LOC117194845|XP_033255209.1|DMIR	LOC108088042|XP_017041165.1|DFIC, LOC108088040|XP_017041164.1|DFIC
OG0000038	LOC108165231|XP_017156759.1|DMIR	LOC108088854|XP_017042318.1|DFIC
OG0000038	LOC108151159|XP_017135077.1|DMIR	LOC108088914|XP_017042416.1|DFIC
