Orthogroup	DMIR.longest_only	DYAK.longest_only
OG0000008	LOC108154515|XP_017140305.2|DMIR	LOC6536140|XP_002096741.1|DYAK
OG0000008	LOC108153896|XP_017139483.1|DMIR	LOC6536142|XP_002096743.1|DYAK
OG0000008	LOC108154491|XP_017140280.1|DMIR	LOC6536144|XP_002096745.1|DYAK
OG0000009	LOC108157813|XP_017145500.1|DMIR	LOC6535723|XP_002096349.3|DYAK
OG0000009	LOC108154360|XP_017140115.1|DMIR	LOC6535721|XP_002096347.1|DYAK
OG0000009	LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR	LOC6535720|XP_002096346.1|DYAK, LOC6535722|XP_002096348.1|DYAK
OG0000009	LOC108157842|XP_017145534.1|DMIR, LOC108157418|XP_017144958.2|DMIR, LOC108157419|XP_017144960.2|DMIR, LOC108154524|XP_017140312.1|DMIR	LOC6533117|XP_002093843.1|DYAK, LOC6533118|XP_002093844.1|DYAK
OG0000009	LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR	LOC6532044|XP_002092821.1|DYAK
OG0000009	LOC108154377|XP_017140130.1|DMIR	LOC6536768|XP_002097339.1|DYAK
OG0000009	LOC108160943|XP_017150721.1|DMIR	LOC6530109|XP_002091055.1|DYAK
OG0000009	LOC108158336|XP_017146065.1|DMIR	LOC6530111|XP_002091057.1|DYAK
OG0000010	LOC117187310|XP_033245574.1|DMIR	LOC120321245|XP_039229342.1|DYAK
OG0000010	LOC108156705|XP_033245573.1|DMIR	LOC120322219|XP_039233209.1|DYAK
OG0000010	LOC117187315|XP_033245579.1|DMIR, LOC108156795|XP_017143963.1|DMIR	LOC120322213|XP_039233204.1|DYAK, LOC120322214|XP_039233205.1|DYAK, LOC120322218|XP_039233208.1|DYAK
OG0000010	LOC117187312|XP_033245576.1|DMIR	LOC120322222|XP_039233212.1|DYAK
OG0000010	LOC117187316|XP_033245580.1|DMIR	LOC120322221|XP_039233211.1|DYAK
OG0000011	LOC117185695|XP_017152271.2|DMIR, LOC108163065|XP_017153628.2|DMIR, LOC117188829|XP_033249173.1|DMIR, LOC108161855|XP_033249172.1|DMIR, LOC108164675|XP_017156017.1|DMIR, LOC108162189|XP_033249910.1|DMIR, LOC108162187|XP_017152275.1|DMIR, LOC108162186|XP_017152273.1|DMIR, LOC117188852|XP_033249240.1|DMIR, LOC108161557|XP_017151330.1|DMIR, LOC108163629|XP_017154523.1|DMIR, LOC108162188|XP_017152278.1|DMIR, LOC108163972|XP_017155018.1|DMIR, LOC117185693|XP_017154036.1|DMIR, LOC117188957|XP_033249531.1|DMIR, LOC108162812|XP_017153212.1|DMIR, LOC108163322|XP_033249532.1|DMIR, LOC108162815|XP_017153219.1|DMIR	LOC26534881|XP_015054560.1|DYAK, LOC6525318|XP_002101154.2|DYAK, LOC120320450|XP_039227155.1|DYAK, LOC6526687|XP_002087792.2|DYAK, LOC6526836|XP_039227102.1|DYAK, LOC6526837|XP_002087937.1|DYAK, LOC26535503|XP_015045173.2|DYAK, LOC6529533|XP_039228709.1|DYAK, LOC6529527|XP_039228713.1|DYAK, LOC120320662|XP_039226899.1|DYAK
OG0000011	LOC108165384|XP_017156911.1|DMIR	LOC6534062|XP_002094748.1|DYAK
OG0000011	LOC108153161|XP_017138453.1|DMIR	LOC6534063|XP_002094749.1|DYAK
OG0000011	LOC108154131|XP_017139754.1|DMIR	LOC6536394|XP_002096976.1|DYAK
OG0000012	LOC108159199|XP_017147755.1|DMIR	LOC6530957|XP_002091795.1|DYAK
OG0000012	LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR	LOC6530958|XP_002091796.1|DYAK
OG0000012	LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR	LOC6530959|XP_015051811.1|DYAK
OG0000012	LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR	LOC6530956|XP_002091794.1|DYAK
OG0000012	LOC108161008|XP_017150804.1|DMIR, LOC117185969|XP_033248320.1|DMIR, LOC108157993|XP_033248087.1|DMIR	LOC6530954|XP_002091792.1|DYAK
OG0000012	LOC108160910|XP_017150675.1|DMIR	LOC6530955|XP_002091793.1|DYAK
OG0000012	LOC108158925|XP_017147218.1|DMIR	LOC6530135|XP_002091081.1|DYAK
OG0000012	LOC108158929|XP_017147224.1|DMIR	LOC6530133|XP_002091079.2|DYAK
OG0000012	LOC108158928|XP_017147221.1|DMIR	LOC6530132|XP_002091078.1|DYAK, LOC6530131|XP_002091077.2|DYAK
OG0000012	LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR	LOC6530130|XP_002091076.1|DYAK
OG0000012	LOC108158927|XP_017147219.1|DMIR	LOC6530129|XP_002091075.1|DYAK
OG0000013	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR	LOC6530359|XP_002091285.1|DYAK
OG0000013	LOC108152903|XP_017138042.1|DMIR	LOC6525539|XP_002101374.1|DYAK
OG0000013	LOC108157123|XP_017144495.1|DMIR, LOC108156384|XP_017143289.1|DMIR	LOC6537221|XP_002097779.1|DYAK
OG0000013	LOC108151516|XP_033243870.1|DMIR	LOC6534055|XP_002094741.1|DYAK
OG0000013	LOC108154911|XP_017140853.2|DMIR, LOC117187087|XP_033244842.1|DMIR	LOC6538786|XP_002099299.1|DYAK
OG0000013	LOC117187120|XP_033245008.1|DMIR, LOC117187121|XP_033245009.1|DMIR, LOC108154243|XP_017139966.2|DMIR, LOC108154002|XP_033245010.1|DMIR	LOC6536836|XP_039232142.1|DYAK, LOC6536837|XP_039232350.1|DYAK, LOC6536733|XP_039231378.1|DYAK, LOC26536199|XP_039231379.1|DYAK, LOC26535865|XP_039231377.1|DYAK
OG0000014	LOC117194202|XP_033254747.1|DMIR	LOC120320742|XP_039227211.1|DYAK
OG0000014	LOC117186505|XP_033243277.1|DMIR	LOC120321092|XP_039228481.1|DYAK
OG0000014	LOC117187335|XP_033245659.1|DMIR	LOC120321426|XP_039229753.1|DYAK
OG0000015	LOC117189153|XP_033250113.1|DMIR, LOC108162329|XP_017152508.1|DMIR, LOC108162330|XP_017152509.1|DMIR	LOC6530275|XP_002091207.2|DYAK
OG0000016	LOC108156024|XP_017142762.1|DMIR	LOC6536965|XP_002097534.1|DYAK
OG0000016	LOC108160302|XP_017149703.1|DMIR, LOC117190705|XP_033251658.1|DMIR	LOC6530731|XP_002091621.1|DYAK
OG0000016	LOC108155657|XP_017142098.1|DMIR	LOC6536862|XP_002097431.1|DYAK
OG0000016	LOC108159552|XP_017148467.1|DMIR, LOC117192977|XP_033253595.1|DMIR	LOC6531360|XP_002092163.2|DYAK
OG0000016	LOC108154361|XP_017140118.1|DMIR	LOC6525488|XP_002101323.1|DYAK
OG0000016	LOC117193102|XP_033253716.1|DMIR, LOC117194496|XP_033254943.1|DMIR, LOC117195216|XP_033255740.1|DMIR, LOC108159228|XP_017147821.1|DMIR	LOC6529087|XP_002090100.1|DYAK
OG0000016	LOC108156493|XP_017143475.1|DMIR	LOC6537169|XP_002097730.1|DYAK
OG0000016	LOC108150995|XP_017134834.1|DMIR	LOC6535129|XP_039230803.1|DYAK
OG0000017	LOC108153009|XP_017138281.1|DMIR	LOC6525337|XP_002101173.1|DYAK
OG0000017	LOC108160150|XP_017149453.1|DMIR	LOC6528495|XP_002089541.2|DYAK
OG0000017	LOC108159969|XP_017149141.1|DMIR, LOC108158038|XP_017145672.2|DMIR	LOC6539128|XP_002086029.1|DYAK
OG0000017	LOC108154022|XP_017139603.2|DMIR, LOC117191555|XP_033252276.1|DMIR	LOC6538220|XP_039231078.1|DYAK, LOC6538219|XP_002098746.2|DYAK
OG0000017	LOC108160759|XP_017150448.1|DMIR	LOC6531831|XP_002092618.3|DYAK
OG0000017	LOC108159970|XP_017149142.1|DMIR	LOC6529100|XP_002090113.1|DYAK
OG0000017	LOC108157934|XP_017145566.1|DMIR	LOC6531832|XP_002092619.1|DYAK
OG0000017	LOC108161535|XP_017151304.1|DMIR, LOC108161536|XP_017151305.1|DMIR, LOC108161534|XP_017151303.1|DMIR	LOC6526432|XP_002087551.1|DYAK
OG0000018	LOC108150828|XP_017134625.1|DMIR	LOC6533164|XP_002093890.1|DYAK
OG0000018	LOC108165544|XP_017157106.1|DMIR	LOC26535124|XP_015049835.1|DYAK, LOC26536164|XP_039229759.1|DYAK
OG0000018	LOC108150791|XP_017134583.1|DMIR	LOC26535774|XP_015049832.1|DYAK
OG0000018	LOC108150854|XP_017134645.1|DMIR	LOC6533166|XP_002093892.1|DYAK
OG0000018	LOC108150808|XP_017134601.1|DMIR, LOC108165552|XP_017157116.1|DMIR, LOC108165550|XP_017157115.1|DMIR, LOC108150800|XP_017134593.1|DMIR	LOC26534877|XP_015049829.1|DYAK, LOC26534805|XP_015049828.1|DYAK, LOC26535405|XP_015049827.1|DYAK, LOC26534941|XP_015049831.1|DYAK
OG0000019	LOC108157046|XP_017144351.1|DMIR, LOC108157045|XP_017144349.1|DMIR, LOC108157044|XP_017144348.1|DMIR	LOC6538322|XP_039232218.1|DYAK
OG0000019	LOC108157037|XP_017144339.1|DMIR	LOC6538326|XP_002098853.2|DYAK
OG0000019	LOC108157041|XP_017144346.1|DMIR, LOC108153982|XP_033245000.1|DMIR, LOC108157040|XP_017144345.2|DMIR	LOC6538321|XP_002098848.1|DYAK, LOC6538320|XP_002098847.1|DYAK
OG0000020	LOC108156412|XP_017143346.1|DMIR	LOC6538082|XP_002098616.1|DYAK
OG0000020	LOC108159642|XP_033248178.1|DMIR	LOC6530655|XP_002091553.1|DYAK
OG0000020	LOC108163672|XP_017154587.1|DMIR	LOC6529647|XP_002090641.1|DYAK, LOC6528749|XP_002089784.2|DYAK, LOC6527703|XP_002088787.1|DYAK
OG0000020	LOC108155178|XP_017141337.1|DMIR	LOC6535735|XP_039231556.1|DYAK
OG0000020	LOC108156137|XP_017142939.1|DMIR	LOC6537431|XP_002097987.1|DYAK
OG0000020	LOC108163835|XP_033249247.1|DMIR	LOC6529263|XP_002090268.1|DYAK
OG0000020	LOC108163643|XP_017154542.1|DMIR	LOC6529648|XP_002090642.1|DYAK
OG0000021	LOC117188002|XP_033246994.1|DMIR, LOC108160898|XP_017150659.2|DMIR	LOC6526678|XP_002087784.1|DYAK
OG0000021	LOC108159581|XP_017148519.1|DMIR	LOC6530550|XP_002091465.1|DYAK
OG0000021	LOC108160670|XP_017150305.2|DMIR, LOC117188150|XP_033247446.1|DMIR	LOC6530532|XP_039228836.1|DYAK
OG0000021	LOC117185989|XP_033241901.1|DMIR, LOC108162397|XP_033252470.1|DMIR	LOC6531172|XP_002092001.1|DYAK
OG0000021	LOC108164567|XP_033246575.1|DMIR	LOC6526013|XP_039229713.1|DYAK
OG0000021	LOC108156061|XP_017142833.1|DMIR	LOC6538705|XP_002099220.3|DYAK
OG0000021	LOC108156847|XP_017144055.1|DMIR	LOC6536819|XP_002097389.1|DYAK
OG0000021	LOC108164951|XP_017156435.1|DMIR	LOC6524816|XP_002100658.1|DYAK
OG0000022	LOC108158428|XP_017146199.1|DMIR, LOC117193272|XP_033253907.1|DMIR, LOC117193269|XP_033253905.1|DMIR	LOC6531452|XP_002092255.1|DYAK
OG0000022	LOC108152468|XP_017137324.1|DMIR	LOC6532315|XP_002093075.1|DYAK
OG0000022	LOC108152474|XP_017137333.2|DMIR, LOC117186204|XP_033242420.1|DMIR, LOC108152475|XP_017137334.2|DMIR	LOC6532322|XP_002093082.1|DYAK, LOC6532321|XP_002093081.1|DYAK, LOC6532323|XP_002093083.1|DYAK, LOC6532320|XP_002093080.1|DYAK
OG0000022	LOC108152470|XP_017137327.1|DMIR	LOC6532325|XP_002093085.1|DYAK
OG0000022	LOC108152469|XP_017137325.1|DMIR	LOC6532324|XP_002093084.1|DYAK
OG0000023	LOC108153857|XP_033244801.1|DMIR	LOC6536027|XP_002096642.3|DYAK, LOC6536034|XP_002096649.3|DYAK
OG0000023	LOC108155685|XP_017142143.1|DMIR	LOC6539886|XP_002086766.1|DYAK
OG0000023	LOC108158830|XP_017147022.1|DMIR	LOC6531278|XP_002092087.2|DYAK
OG0000023	LOC108153856|XP_033244802.1|DMIR	LOC26536093|XP_039232188.1|DYAK
OG0000023	LOC108157164|XP_017144562.1|DMIR	LOC6536032|XP_039230972.1|DYAK
OG0000023	LOC108156707|XP_017143844.1|DMIR	LOC6536035|XP_002096650.2|DYAK
OG0000023	LOC108156709|XP_033245059.1|DMIR	LOC6540152|XP_039232191.1|DYAK
OG0000024	LOC108160883|XP_017150641.1|DMIR	LOC6530302|XP_002091229.1|DYAK
OG0000024	LOC117194102|XP_033254634.1|DMIR, LOC108160812|XP_017150524.1|DMIR	LOC6530301|XP_002091228.2|DYAK
OG0000024	LOC108161382|XP_017151119.1|DMIR	LOC6529811|XP_002090793.1|DYAK
OG0000024	LOC117194080|XP_033254609.1|DMIR, LOC108160979|XP_017150769.1|DMIR	LOC6530303|XP_002091230.1|DYAK
OG0000024	LOC108159455|XP_017148242.1|DMIR	LOC6529951|XP_002090905.3|DYAK
OG0000025	LOC108162357|XP_017152552.1|DMIR, LOC108157728|XP_017145391.1|DMIR	LOC6527587|XP_002088675.1|DYAK
OG0000026	LOC108150850|XP_017134646.1|DMIR	LOC6525058|XP_002100897.1|DYAK
OG0000026	LOC108162957|XP_033248732.1|DMIR	LOC6528059|XP_002089126.1|DYAK
OG0000026	LOC108165129|XP_017156683.1|DMIR	LOC6525544|XP_002101379.1|DYAK
OG0000026	LOC108157162|XP_017144561.1|DMIR	LOC6535919|XP_002096535.1|DYAK
OG0000027	LOC108162948|XP_017153432.1|DMIR	LOC6526916|XP_002088015.1|DYAK
OG0000027	LOC108162949|XP_017153433.1|DMIR	LOC6526913|XP_002088012.1|DYAK
OG0000027	LOC108162947|XP_017153431.1|DMIR	LOC6526915|XP_002088014.1|DYAK
OG0000028	LOC108165421|XP_017156949.1|DMIR	LOC6534951|XP_039229813.1|DYAK
OG0000028	LOC108151302|XP_017135327.1|DMIR	LOC6535078|XP_039229703.1|DYAK
OG0000029	LOC117191657|XP_033252354.1|DMIR, LOC108158000|XP_017145632.1|DMIR	LOC6528801|XP_002089833.1|DYAK, LOC6531052|XP_002091888.1|DYAK
OG0000029	LOC108154578|XP_017140369.1|DMIR	LOC6536173|XP_002096764.1|DYAK
OG0000029	LOC108150820|XP_017134616.1|DMIR	LOC6534230|XP_002094912.1|DYAK
OG0000030	LOC108161306|XP_017151015.1|DMIR	LOC6527318|XP_002088411.1|DYAK
OG0000030	LOC108161304|XP_017151013.1|DMIR	LOC6527316|XP_002088409.2|DYAK
OG0000030	LOC108161303|XP_017151011.1|DMIR, LOC108161305|XP_017151014.1|DMIR	LOC6527317|XP_002088410.1|DYAK
OG0000030	LOC108161162|XP_017150872.2|DMIR	LOC6526597|XP_002087705.1|DYAK
OG0000030	LOC108160793|XP_017150492.1|DMIR	LOC6531827|XP_039228114.1|DYAK
OG0000030	LOC108151546|XP_033246807.1|DMIR	LOC6524424|XP_002100282.1|DYAK
OG0000030	LOC108154542|XP_017140365.1|DMIR	LOC6525109|XP_002100948.2|DYAK
OG0000031	LOC108163859|XP_017154864.1|DMIR	LOC6528958|XP_002089990.1|DYAK, LOC6528971|XP_002090003.2|DYAK, LOC6528984|XP_002090016.3|DYAK
OG0000031	LOC108161143|XP_033248838.1|DMIR, LOC108161141|XP_033248476.1|DMIR	LOC6532903|XP_002093639.1|DYAK, LOC6526633|XP_002087741.1|DYAK
OG0000031	LOC108161610|XP_017151398.1|DMIR	LOC6528006|XP_002089073.1|DYAK
OG0000032	LOC108156619|XP_017143664.1|DMIR	LOC6536794|XP_002097364.1|DYAK
OG0000032	LOC108157651|XP_017145290.1|DMIR	LOC6536792|XP_002097362.1|DYAK
OG0000032	LOC108156621|XP_017143666.1|DMIR	LOC6536800|XP_002097370.2|DYAK
OG0000032	LOC108156620|XP_017143665.1|DMIR	LOC6536793|XP_002097363.1|DYAK
OG0000032	LOC108157634|XP_017145264.1|DMIR	LOC6536802|XP_002097372.1|DYAK
OG0000032	LOC108156618|XP_017143663.1|DMIR	LOC6536801|XP_002097371.1|DYAK
OG0000033	LOC108156558|XP_017143572.1|DMIR	LOC6538141|XP_039231494.1|DYAK, LOC6538142|XP_002098676.1|DYAK
OG0000033	LOC117189759|XP_033250731.1|DMIR, LOC108159420|XP_017148176.1|DMIR	LOC6528345|XP_002089398.1|DYAK
OG0000033	LOC117187710|XP_033246345.1|DMIR, LOC108159419|XP_017148175.2|DMIR	LOC6528350|XP_002089399.1|DYAK
OG0000033	LOC108153999|XP_033244121.1|DMIR	LOC6534298|XP_002094979.1|DYAK, LOC6535950|XP_002096566.1|DYAK, LOC6531400|XP_002092203.1|DYAK, LOC6531401|XP_002092204.1|DYAK
OG0000034	LOC108164271|XP_017155403.1|DMIR	LOC6531351|XP_002092155.1|DYAK, LOC6529512|XP_002090514.1|DYAK
OG0000034	LOC108164069|XP_033249364.1|DMIR	LOC6529510|XP_002090512.1|DYAK
OG0000034	LOC117185901|XP_033249912.1|DMIR, LOC108162133|XP_017152203.1|DMIR, LOC108162132|XP_017152201.1|DMIR	LOC6536871|XP_002097440.2|DYAK, LOC6529821|XP_002090802.3|DYAK, LOC6536872|XP_002097441.1|DYAK
OG0000034	LOC108162131|XP_017152200.1|DMIR	LOC6527117|XP_002088210.1|DYAK
OG0000035	LOC117186697|XP_033243671.1|DMIR, LOC117186386|XP_033243001.1|DMIR, LOC117186599|XP_033243470.1|DMIR	LOC120321774|XP_039231579.1|DYAK
OG0000036	LOC108157733|XP_017145397.1|DMIR	LOC6536018|XP_002096633.1|DYAK
OG0000036	LOC117187198|XP_033245230.1|DMIR	LOC6537201|XP_002097759.1|DYAK
OG0000036	LOC108157106|XP_017144468.1|DMIR	LOC6535269|XP_002095925.1|DYAK
OG0000036	LOC108155635|XP_017142061.1|DMIR	LOC6537913|XP_002098453.1|DYAK, LOC6537914|XP_039232806.1|DYAK
OG0000037	LOC108160263|XP_017149626.1|DMIR	LOC6531032|XP_002091868.2|DYAK
