Orthogroup	DMIR.longest_only	DBUS.longest_only
OG0000009	LOC108157842|XP_017145534.1|DMIR, LOC108157418|XP_017144958.2|DMIR, LOC108157419|XP_017144960.2|DMIR, LOC108154524|XP_017140312.1|DMIR	LOC108595303|XP_033149763.1|DBUS, LOC108595272|XP_017835977.1|DBUS, LOC108595263|XP_033149771.1|DBUS
OG0000009	LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR	LOC108595579|XP_017836330.1|DBUS
OG0000009	LOC108160943|XP_017150721.1|DMIR	LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS
OG0000010	LOC117187310|XP_033245574.1|DMIR, LOC108156705|XP_033245573.1|DMIR	LOC108603408|XP_017847686.1|DBUS
OG0000010	LOC117187315|XP_033245579.1|DMIR, LOC108156795|XP_017143963.1|DMIR	LOC117134729|XP_033149263.1|DBUS
OG0000011	LOC108154131|XP_017139754.1|DMIR	LOC108599014|XP_017841282.1|DBUS
OG0000012	LOC108159199|XP_017147755.1|DMIR	LOC108595899|XP_017836677.1|DBUS
OG0000012	LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS
OG0000012	LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR	LOC108595898|XP_017836676.1|DBUS
OG0000012	LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR	LOC108595900|XP_017836679.1|DBUS
OG0000012	LOC108161008|XP_017150804.1|DMIR, LOC117185969|XP_033248320.1|DMIR, LOC108157993|XP_033248087.1|DMIR, LOC108160910|XP_017150675.1|DMIR	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS
OG0000012	LOC108158925|XP_017147218.1|DMIR, LOC108158929|XP_017147224.1|DMIR, LOC108158928|XP_017147221.1|DMIR	LOC108597255|XP_017839199.1|DBUS
OG0000012	LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR, LOC108158927|XP_017147219.1|DMIR	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS
OG0000013	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR	LOC108596692|XP_017838201.1|DBUS
OG0000013	LOC108152903|XP_017138042.1|DMIR	LOC108606235|XP_017851657.1|DBUS
OG0000013	LOC108157123|XP_017144495.1|DMIR, LOC108156384|XP_017143289.1|DMIR	LOC108603181|XP_017847228.1|DBUS
OG0000013	LOC108151516|XP_033243870.1|DMIR	LOC108599948|XP_017842685.1|DBUS
OG0000013	LOC117187120|XP_033245008.1|DMIR, LOC117187121|XP_033245009.1|DMIR, LOC108154243|XP_017139966.2|DMIR, LOC108154002|XP_033245010.1|DMIR	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS
OG0000014	LOC117186505|XP_033243277.1|DMIR	LOC117134672|XP_033148999.1|DBUS, LOC117134669|XP_033148968.1|DBUS
OG0000014	LOC117187335|XP_033245659.1|DMIR	LOC117134671|XP_033148998.1|DBUS
OG0000015	LOC108154428|XP_017140186.1|DMIR	LOC108602396|XP_017845996.1|DBUS, LOC108602619|XP_017846247.1|DBUS, LOC108602576|XP_017846203.1|DBUS
OG0000016	LOC108156024|XP_017142762.1|DMIR	LOC108603000|XP_017846884.1|DBUS
OG0000016	LOC108160302|XP_017149703.1|DMIR, LOC117190705|XP_033251658.1|DMIR	LOC108596111|XP_017837026.1|DBUS
OG0000016	LOC108155657|XP_017142098.1|DMIR	LOC108603521|XP_017847904.1|DBUS
OG0000016	LOC108159552|XP_017148467.1|DMIR, LOC117192977|XP_033253595.1|DMIR	LOC108596316|XP_017837414.1|DBUS
OG0000016	LOC108154361|XP_017140118.1|DMIR	LOC108606266|XP_017851714.1|DBUS
OG0000016	LOC117193102|XP_033253716.1|DMIR, LOC117194496|XP_033254943.1|DMIR, LOC117195216|XP_033255740.1|DMIR, LOC108159228|XP_017147821.1|DMIR	LOC108596191|XP_017837194.1|DBUS
OG0000016	LOC108156493|XP_017143475.1|DMIR	LOC108601639|XP_017845028.2|DBUS
OG0000016	LOC108150995|XP_017134834.1|DMIR	LOC108599665|XP_017842156.1|DBUS
OG0000017	LOC108159969|XP_017149141.1|DMIR, LOC108158038|XP_017145672.2|DMIR	LOC108594623|XP_017835255.1|DBUS
OG0000017	LOC108154022|XP_017139603.2|DMIR, LOC117191555|XP_033252276.1|DMIR	LOC108601423|XP_017844811.1|DBUS, LOC108601498|XP_033150126.1|DBUS, LOC108601497|XP_017844884.1|DBUS
OG0000017	LOC108160759|XP_017150448.1|DMIR	LOC108594615|XP_017835248.1|DBUS
OG0000017	LOC108159970|XP_017149142.1|DMIR	LOC108595879|XP_017836658.1|DBUS
OG0000017	LOC108161535|XP_017151304.1|DMIR, LOC108161536|XP_017151305.1|DMIR, LOC108161534|XP_017151303.1|DMIR	LOC108607612|XP_017854053.1|DBUS
OG0000018	LOC108150828|XP_017134625.1|DMIR	LOC108599199|XP_017841484.1|DBUS
OG0000018	LOC108150791|XP_017134583.1|DMIR	LOC108597971|XP_017840076.1|DBUS
OG0000018	LOC108150854|XP_017134645.1|DMIR	LOC108599156|XP_017841431.1|DBUS
OG0000018	LOC108150838|XP_017134636.2|DMIR, LOC108165543|XP_017157105.1|DMIR	LOC108599172|XP_033149319.1|DBUS, LOC108599151|XP_017841428.1|DBUS, LOC108599053|XP_017841321.1|DBUS
OG0000019	LOC108157046|XP_017144351.1|DMIR, LOC108157045|XP_017144349.1|DMIR, LOC108157044|XP_017144348.1|DMIR	LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS
OG0000019	LOC108157037|XP_017144339.1|DMIR	LOC108602931|XP_017846763.1|DBUS
OG0000019	LOC108157043|XP_017144347.2|DMIR	LOC108602936|XP_017846767.1|DBUS
OG0000019	LOC108157041|XP_017144346.1|DMIR, LOC108153982|XP_033245000.1|DMIR, LOC108157040|XP_017144345.2|DMIR	LOC108602933|XP_017846765.1|DBUS
OG0000020	LOC108156412|XP_017143346.1|DMIR	LOC108604342|XP_017849258.1|DBUS
OG0000020	LOC108159642|XP_033248178.1|DMIR	LOC108594958|XP_017835581.1|DBUS
OG0000020	LOC108163672|XP_017154587.1|DMIR	LOC108607439|XP_017853757.2|DBUS
OG0000020	LOC108155178|XP_017141337.1|DMIR	LOC108603823|XP_017848442.1|DBUS
OG0000020	LOC108156137|XP_017142939.1|DMIR	LOC108604274|XP_033150157.1|DBUS, LOC108603677|XP_033150131.1|DBUS
OG0000020	LOC108163835|XP_033249247.1|DMIR, LOC108163643|XP_017154542.1|DMIR	LOC108607440|XP_017853760.2|DBUS
OG0000021	LOC108153591|XP_017139161.1|DMIR	LOC108598850|XP_017841097.1|DBUS
OG0000021	LOC117185775|XP_033246995.1|DMIR	LOC108595011|XP_017835635.1|DBUS
OG0000021	LOC117188002|XP_033246994.1|DMIR, LOC108160898|XP_017150659.2|DMIR	LOC108595010|XP_017835633.1|DBUS
OG0000021	LOC108159771|XP_017148818.1|DMIR, LOC117193201|XP_033253843.1|DMIR	LOC108595013|XP_017835637.1|DBUS
OG0000021	LOC108159581|XP_017148519.1|DMIR	LOC108595009|XP_017835632.1|DBUS
OG0000021	LOC108160670|XP_017150305.2|DMIR, LOC117188150|XP_033247446.1|DMIR	LOC108595428|XP_017836145.1|DBUS
OG0000021	LOC117185989|XP_033241901.1|DMIR, LOC108162397|XP_033252470.1|DMIR	LOC108594982|XP_017835604.1|DBUS
OG0000021	LOC108160899|XP_017150660.1|DMIR, LOC117193202|XP_033253844.1|DMIR	LOC108595014|XP_017835638.1|DBUS
OG0000021	LOC108164567|XP_033246575.1|DMIR	LOC108605475|XP_017850651.1|DBUS
OG0000021	LOC108156061|XP_017142833.1|DMIR	LOC108602127|XP_017845643.1|DBUS
OG0000021	LOC108164951|XP_017156435.1|DMIR	LOC108606823|XP_017852795.1|DBUS
OG0000022	LOC108158428|XP_017146199.1|DMIR, LOC117193272|XP_033253907.1|DMIR, LOC117193269|XP_033253905.1|DMIR	LOC108595778|XP_017836559.1|DBUS
OG0000022	LOC108152474|XP_017137333.2|DMIR, LOC117186204|XP_033242420.1|DMIR, LOC108152475|XP_017137334.2|DMIR, LOC108152465|XP_017137322.1|DMIR, LOC108152467|XP_017137323.2|DMIR, LOC108152472|XP_017137329.2|DMIR, LOC108152476|XP_017137336.1|DMIR, LOC108152473|XP_017137331.1|DMIR	LOC108599021|XP_017841291.1|DBUS, LOC108599849|XP_017842466.2|DBUS, LOC108599851|XP_017842468.2|DBUS, LOC108597894|XP_033149700.1|DBUS
OG0000022	LOC108152471|XP_017137328.1|DMIR	LOC108597711|XP_017839890.1|DBUS
OG0000023	LOC108153857|XP_033244801.1|DMIR	LOC108601632|XP_017845020.1|DBUS
OG0000023	LOC108155686|XP_017142144.1|DMIR	LOC108601651|XP_017845040.1|DBUS
OG0000023	LOC108155685|XP_017142143.1|DMIR	LOC108604301|XP_017849208.1|DBUS
OG0000023	LOC108158830|XP_017147022.1|DMIR	LOC108596143|XP_017837125.1|DBUS
OG0000023	LOC108153856|XP_033244802.1|DMIR	LOC108604433|XP_017849396.1|DBUS
OG0000023	LOC108157164|XP_017144562.1|DMIR	LOC108601245|XP_033150074.1|DBUS
OG0000023	LOC108156708|XP_017143845.1|DMIR	LOC108602727|XP_017846368.1|DBUS
OG0000023	LOC108156707|XP_017143844.1|DMIR	LOC108602726|XP_017846367.1|DBUS
OG0000023	LOC108156709|XP_033245059.1|DMIR	LOC117134644|XP_033150071.1|DBUS
OG0000024	LOC117194102|XP_033254634.1|DMIR, LOC108160812|XP_017150524.1|DMIR	LOC108595136|XP_017835788.1|DBUS
OG0000024	LOC108161382|XP_017151119.1|DMIR	LOC108596281|XP_017837347.1|DBUS
OG0000024	LOC108159455|XP_017148242.1|DMIR	LOC108594614|XP_017835247.1|DBUS, LOC108594611|XP_017835243.1|DBUS
OG0000025	LOC108157728|XP_017145391.1|DMIR	LOC108607483|XP_017853815.1|DBUS
OG0000026	LOC108150850|XP_017134646.1|DMIR	LOC108606562|XP_017852268.1|DBUS
OG0000026	LOC108162957|XP_033248732.1|DMIR	LOC108597443|XP_017839499.1|DBUS
OG0000026	LOC108165129|XP_017156683.1|DMIR, LOC108157803|XP_017145484.1|DMIR, LOC108155726|XP_017142223.1|DMIR, LOC108154308|XP_017140053.1|DMIR	LOC108606994|XP_017853058.1|DBUS, LOC108606996|XP_017853059.2|DBUS, LOC108606997|XP_017853060.1|DBUS
OG0000026	LOC108157162|XP_017144561.1|DMIR	LOC108602219|XP_017845755.1|DBUS
OG0000027	LOC108162948|XP_017153432.1|DMIR	LOC108600961|XP_017844639.1|DBUS
OG0000027	LOC108162949|XP_017153433.1|DMIR	LOC108608302|XP_017855118.1|DBUS
OG0000027	LOC108162947|XP_017153431.1|DMIR	LOC108600155|XP_017843044.1|DBUS
OG0000028	LOC117186464|XP_033243221.1|DMIR, LOC108165418|XP_033243407.1|DMIR, LOC108165419|XP_017156946.1|DMIR	LOC108598252|XP_017840356.2|DBUS, LOC108599617|XP_017842061.2|DBUS, LOC108598253|XP_017840357.2|DBUS
OG0000028	LOC108165421|XP_017156949.1|DMIR	LOC108598250|XP_017840354.1|DBUS
OG0000028	LOC108151302|XP_017135327.1|DMIR	LOC108597900|XP_017840008.2|DBUS
OG0000029	LOC108154578|XP_017140369.1|DMIR	LOC108601292|XP_017844680.1|DBUS
OG0000029	LOC108150820|XP_017134616.1|DMIR	LOC108599285|XP_017841572.1|DBUS
OG0000030	LOC108161306|XP_017151015.1|DMIR	LOC108608102|XP_033150830.1|DBUS
OG0000030	LOC108161162|XP_017150872.2|DMIR	LOC108595036|XP_017835704.1|DBUS, LOC108595111|XP_017835820.1|DBUS
OG0000030	LOC108160793|XP_017150492.1|DMIR	LOC108594814|XP_017835442.1|DBUS, LOC108594815|XP_017835443.1|DBUS, LOC108594821|XP_033149207.1|DBUS, LOC108594803|XP_033149218.1|DBUS, LOC108594804|XP_033149217.1|DBUS
OG0000030	LOC108151546|XP_033246807.1|DMIR	LOC108605352|XP_017850510.1|DBUS
OG0000031	LOC108163859|XP_017154864.1|DMIR	LOC108603962|XP_017848657.1|DBUS, LOC108603979|XP_017848698.2|DBUS
OG0000031	LOC108161143|XP_033248838.1|DMIR, LOC108161141|XP_033248476.1|DMIR	LOC108600689|XP_033150743.1|DBUS, LOC108603988|XP_033150741.1|DBUS, LOC108594975|XP_017835600.2|DBUS
OG0000031	LOC108161610|XP_017151398.1|DMIR	LOC108596350|XP_017837498.1|DBUS
OG0000032	LOC108156619|XP_017143664.1|DMIR	LOC108604099|XP_017848870.1|DBUS
OG0000032	LOC108156621|XP_017143666.1|DMIR, LOC108156620|XP_017143665.1|DMIR	LOC108601631|XP_017845019.1|DBUS
OG0000032	LOC108157634|XP_017145264.1|DMIR, LOC108156618|XP_017143663.1|DMIR	LOC108601658|XP_017845046.1|DBUS, LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS
OG0000033	LOC117189759|XP_033250731.1|DMIR, LOC108159420|XP_017148176.1|DMIR	LOC108596493|XP_017837798.1|DBUS
OG0000033	LOC117187710|XP_033246345.1|DMIR, LOC108159419|XP_017148175.2|DMIR	LOC108594868|XP_017835496.1|DBUS
OG0000034	LOC108164271|XP_017155403.1|DMIR	LOC108600656|XP_017843844.2|DBUS
OG0000034	LOC108164069|XP_033249364.1|DMIR	LOC108608325|XP_017855153.2|DBUS
OG0000034	LOC108162131|XP_017152200.1|DMIR	LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS, LOC108597047|XP_017838843.1|DBUS
OG0000035	LOC117186697|XP_033243671.1|DMIR, LOC117186386|XP_033243001.1|DMIR, LOC117186599|XP_033243470.1|DMIR	LOC117134686|XP_033149074.1|DBUS, LOC108602071|XP_017845580.2|DBUS, LOC108604409|XP_017849365.2|DBUS, LOC108597433|XP_017839480.2|DBUS
OG0000036	LOC108157733|XP_017145397.1|DMIR	LOC108601814|XP_017845240.1|DBUS
OG0000036	LOC117187198|XP_033245230.1|DMIR	LOC108604642|XP_017849680.1|DBUS
OG0000036	LOC108157106|XP_017144468.1|DMIR	LOC108602327|XP_017845903.1|DBUS, LOC108603042|XP_017846950.1|DBUS
OG0000036	LOC108155636|XP_017142064.1|DMIR, LOC108155635|XP_017142061.1|DMIR	LOC108601330|XP_033149802.1|DBUS, LOC117134637|XP_033149940.1|DBUS
OG0000037	LOC117195094|XP_033255640.1|DMIR, LOC117191092|XP_033251946.1|DMIR, LOC117194615|XP_033255034.1|DMIR, LOC117194588|XP_033255015.1|DMIR, LOC117194655|XP_033255061.1|DMIR, LOC117190599|XP_033251536.1|DMIR, LOC117194833|XP_033255201.1|DMIR, LOC117191511|XP_033252248.1|DMIR, LOC117191510|XP_033252247.1|DMIR, LOC117194839|XP_033255205.1|DMIR, LOC117191523|XP_033252256.1|DMIR, LOC117190815|XP_033251747.1|DMIR, LOC117194824|XP_033255196.1|DMIR, LOC117194825|XP_033255197.1|DMIR, LOC117195091|XP_033255638.1|DMIR, LOC117194549|XP_033254988.1|DMIR, LOC117194837|XP_033255204.1|DMIR, LOC117194807|XP_033255181.1|DMIR, LOC117194573|XP_033255006.1|DMIR, LOC117194587|XP_033255014.1|DMIR, LOC117194750|XP_033255142.1|DMIR, LOC117194591|XP_033255018.1|DMIR, LOC117194574|XP_033255007.1|DMIR, LOC117195092|XP_033255639.1|DMIR, LOC117194597|XP_033255024.1|DMIR, LOC117195100|XP_033255645.1|DMIR, LOC117194819|XP_033255192.1|DMIR, LOC117194975|XP_033255339.1|DMIR, LOC108153987|XP_033244827.1|DMIR, LOC117194660|XP_033255064.1|DMIR, LOC117194818|XP_033255191.1|DMIR, LOC117194604|XP_033255027.1|DMIR, LOC117194596|XP_033255023.1|DMIR, LOC117194601|XP_033255025.1|DMIR, LOC117195095|XP_033255641.1|DMIR, LOC117194843|XP_033255207.1|DMIR, LOC117191506|XP_033252242.1|DMIR, LOC117194661|XP_033255065.1|DMIR, LOC117194657|XP_033255062.1|DMIR, LOC117190601|XP_033251538.1|DMIR, LOC117194841|XP_033255206.1|DMIR, LOC117191508|XP_033252244.1|DMIR, LOC117194658|XP_033255063.1|DMIR, LOC117194702|XP_033255103.1|DMIR, LOC117194796|XP_033255174.1|DMIR, LOC117190600|XP_033251537.1|DMIR, LOC117194589|XP_033255016.1|DMIR, LOC117194409|XP_033254874.1|DMIR, LOC117194829|XP_033255199.1|DMIR, LOC117194605|XP_033255028.1|DMIR, LOC117194822|XP_033255195.1|DMIR, LOC117194333|XP_033254795.1|DMIR, LOC117194609|XP_033255031.1|DMIR, LOC117194407|XP_033254872.1|DMIR, LOC117195096|XP_033255642.1|DMIR, LOC117194649|XP_033255056.1|DMIR, LOC117190597|XP_033251535.1|DMIR, LOC117194650|XP_033255057.1|DMIR, LOC117190125|XP_033251100.1|DMIR, LOC108156646|XP_017143737.2|DMIR, LOC117190111|XP_033251090.1|DMIR, LOC117194816|XP_033255190.1|DMIR, LOC117194767|XP_033255155.1|DMIR, LOC117194745|XP_033255132.1|DMIR, LOC117194463|XP_033254917.1|DMIR, LOC117190114|XP_033251091.1|DMIR, LOC117194862|XP_033255219.1|DMIR, LOC117194858|XP_033255216.1|DMIR, LOC117194857|XP_033255215.1|DMIR, LOC117194328|XP_033254789.1|DMIR, LOC108156982|XP_017144263.2|DMIR, LOC117194327|XP_033254788.1|DMIR, LOC117194594|XP_033255020.1|DMIR, LOC117194845|XP_033255209.1|DMIR	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS
OG0000038	LOC108165231|XP_017156759.1|DMIR	LOC108598255|XP_017840359.1|DBUS
OG0000038	LOC108151159|XP_017135077.1|DMIR	LOC108599609|XP_017842054.2|DBUS
OG0000039	LOC108153891|XP_033244233.1|DMIR	LOC108602969|XP_017846840.2|DBUS, LOC108601491|XP_017844877.1|DBUS
OG0000039	LOC108165184|XP_017156747.1|DMIR	LOC108605767|XP_017851059.1|DBUS, LOC108605331|XP_017850490.1|DBUS
OG0000039	LOC108151414|XP_017135496.1|DMIR	LOC108606083|XP_017851419.1|DBUS, LOC108599869|XP_017842508.1|DBUS, LOC108605330|XP_017850489.2|DBUS, LOC108606087|XP_017851422.2|DBUS
OG0000039	LOC108160708|XP_017150372.1|DMIR	LOC108605392|XP_017850551.1|DBUS
OG0000040	LOC108154697|XP_017140535.2|DMIR, LOC108153853|XP_033245406.1|DMIR, LOC117187250|XP_033245404.1|DMIR, LOC108154215|XP_017139929.1|DMIR, LOC108154213|XP_017139927.1|DMIR	LOC108601310|XP_017844699.1|DBUS
OG0000040	LOC108154216|XP_017139931.1|DMIR	LOC108603822|XP_017848441.1|DBUS
OG0000040	LOC108154686|XP_033245491.1|DMIR, LOC108154692|XP_017140530.1|DMIR, LOC108154966|XP_017140969.2|DMIR, LOC117186912|XP_033244139.1|DMIR	LOC108604808|XP_017849901.1|DBUS
OG0000040	LOC108154965|XP_017140968.1|DMIR	LOC108601313|XP_017844701.1|DBUS, LOC108604809|XP_017849902.1|DBUS
OG0000040	LOC108156483|XP_017143450.1|DMIR	LOC117134625|XP_033150105.1|DBUS
OG0000041	LOC108156909|XP_017144147.1|DMIR, LOC108157457|XP_017145018.1|DMIR, LOC108154314|XP_017140061.1|DMIR, LOC108153890|XP_033244257.1|DMIR	LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS
OG0000042	LOC117193554|XP_033254192.1|DMIR, LOC108158637|XP_017146610.1|DMIR, LOC108158644|XP_017146617.1|DMIR, LOC117193045|XP_033253672.1|DMIR, LOC108158643|XP_017146616.1|DMIR, LOC117193044|XP_033253671.1|DMIR, LOC117193043|XP_033253670.1|DMIR, LOC108158641|XP_017146613.1|DMIR, LOC117193042|XP_033253669.1|DMIR, LOC108161650|XP_017151442.1|DMIR	LOC117134763|XP_033149297.1|DBUS, LOC108594910|XP_017835536.1|DBUS, LOC108595933|XP_017836709.1|DBUS, LOC108595930|XP_017836706.1|DBUS, LOC108594909|XP_017835535.1|DBUS, LOC108595936|XP_017836712.1|DBUS, LOC108594913|XP_017835540.1|DBUS, LOC108594912|XP_017835539.1|DBUS, LOC108594911|XP_017835537.1|DBUS, LOC108595931|XP_017836707.1|DBUS, LOC108595934|XP_017836710.1|DBUS, LOC108595935|XP_017836711.1|DBUS, LOC108595932|XP_017836708.1|DBUS
OG0000042	LOC117193046|XP_033253673.1|DMIR, LOC108158642|XP_017146614.1|DMIR	LOC108601375|XP_033149906.1|DBUS
OG0000043	LOC108157770|XP_017145444.1|DMIR	LOC108602016|XP_033149810.1|DBUS
OG0000043	LOC108157677|XP_017145331.1|DMIR	LOC108602049|XP_017845549.1|DBUS
OG0000043	LOC108155937|XP_017142584.1|DMIR, LOC108155939|XP_017142587.1|DMIR	LOC117134835|XP_033149811.1|DBUS
OG0000044	LOC108157774|XP_017145449.1|DMIR	LOC108602073|XP_017845582.1|DBUS
OG0000044	LOC117187384|XP_033245819.1|DMIR, LOC108156935|XP_033245773.1|DMIR	LOC108601821|XP_017845247.1|DBUS
OG0000045	LOC108152824|XP_017137906.1|DMIR	LOC108599876|XP_017842521.1|DBUS
OG0000045	LOC108165537|XP_017157100.1|DMIR	LOC108598309|XP_017840414.1|DBUS, LOC108599339|XP_017841631.2|DBUS
OG0000045	LOC108150882|XP_017134679.1|DMIR	LOC108598310|XP_017840415.1|DBUS
OG0000045	LOC108163376|XP_033250045.1|DMIR, LOC108150857|XP_017134649.1|DMIR	LOC108598311|XP_017840416.1|DBUS
OG0000046	LOC108165135|XP_017156690.1|DMIR, LOC108165164|XP_017156723.1|DMIR	LOC108605644|XP_017850916.1|DBUS, LOC108607283|XP_017853469.1|DBUS
OG0000046	LOC108158204|XP_017145916.1|DMIR, LOC117191605|XP_033252314.1|DMIR, LOC108157665|XP_017145313.1|DMIR, LOC108157666|XP_017145314.1|DMIR	LOC108605353|XP_017850511.2|DBUS
OG0000047	LOC117188425|XP_033248186.1|DMIR, LOC108160932|XP_033251734.1|DMIR	LOC108595113|XP_033148899.1|DBUS
OG0000047	LOC108159394|XP_017148118.1|DMIR, LOC117191945|XP_033252580.1|DMIR	LOC108595086|XP_017835725.1|DBUS
