Orthogroup	DMIR.longest_only	DSEC.longest_only
OG0000007	LOC108152481|XP_017137344.1|DMIR	LOC6610954|XP_002035511.1|DSEC
OG0000007	LOC108152482|XP_017137345.1|DMIR	LOC6610952|XP_032575303.1|DSEC, LOC6610951|XP_002035508.1|DSEC
OG0000007	LOC108163948|XP_017154978.1|DMIR	LOC6613406|XP_032583270.1|DSEC
OG0000007	LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR	LOC6608215|XP_032572281.1|DSEC
OG0000007	LOC108164248|XP_017155372.1|DMIR	LOC6613407|XP_032570241.1|DSEC
OG0000007	LOC108165521|XP_017157067.1|DMIR	LOC6604870|XP_002029715.1|DSEC
OG0000007	LOC108164169|XP_017155268.2|DMIR	LOC6613405|XP_032574637.1|DSEC
OG0000007	LOC108152483|XP_017137346.1|DMIR	LOC6610955|XP_032575304.1|DSEC
OG0000007	LOC108152484|XP_017137347.1|DMIR	LOC6610956|XP_002035513.1|DSEC
OG0000008	LOC108154982|XP_017141010.1|DMIR	LOC6619063|XP_002043304.1|DSEC
OG0000008	LOC108151537|XP_017135681.1|DMIR	LOC6610740|XP_002035306.1|DSEC
OG0000008	LOC108151536|XP_017135679.1|DMIR	LOC6610743|XP_002035309.1|DSEC
OG0000008	LOC108161577|XP_017151355.1|DMIR	LOC6617678|XP_002041991.1|DSEC
OG0000008	LOC108151539|XP_017135683.2|DMIR	LOC6610741|XP_002035307.2|DSEC
OG0000008	LOC108154402|XP_017140161.1|DMIR	LOC6614150|XP_002038603.2|DSEC, LOC6614151|XP_002038604.1|DSEC, LOC116802445|XP_032582815.1|DSEC
OG0000008	LOC108153895|XP_033244232.1|DMIR	LOC116801478|XP_032577234.1|DSEC
OG0000008	LOC108154515|XP_017140305.2|DMIR	LOC6614149|XP_002038602.2|DSEC
OG0000008	LOC108153896|XP_017139483.1|DMIR	LOC116801482|XP_032577264.1|DSEC
OG0000008	LOC108154491|XP_017140280.1|DMIR	LOC116801721|XP_032578777.1|DSEC
OG0000009	LOC108157813|XP_017145500.1|DMIR	LOC6621079|XP_032578529.1|DSEC, LOC6607851|XP_002032601.2|DSEC
OG0000009	LOC108154360|XP_017140115.1|DMIR	LOC116802673|XP_032582931.1|DSEC, LOC6607846|XP_032576484.1|DSEC
OG0000009	LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR	LOC116802676|XP_032582933.1|DSEC, LOC6619044|XP_002043286.1|DSEC, LOC6619042|XP_032576485.1|DSEC
OG0000009	LOC108157842|XP_017145534.1|DMIR, LOC108157418|XP_017144958.2|DMIR, LOC108157419|XP_017144960.2|DMIR, LOC108154524|XP_017140312.1|DMIR	LOC6610926|XP_032574591.1|DSEC, LOC116801150|XP_032574906.1|DSEC
OG0000009	LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR	LOC6618810|XP_002043059.1|DSEC
OG0000009	LOC108154377|XP_017140130.1|DMIR	LOC6606719|XP_002031518.1|DSEC
OG0000009	LOC108160943|XP_017150721.1|DMIR	LOC6608841|XP_002033555.1|DSEC
OG0000009	LOC108158336|XP_017146065.1|DMIR	LOC6608840|XP_002033554.1|DSEC
OG0000010	LOC117187312|XP_033245576.1|DMIR, LOC117187316|XP_033245580.1|DMIR, LOC117187314|XP_033245578.1|DMIR	LOC6606375|XP_032579311.1|DSEC
OG0000011	LOC117185695|XP_017152271.2|DMIR, LOC108163065|XP_017153628.2|DMIR, LOC117188829|XP_033249173.1|DMIR, LOC108161855|XP_033249172.1|DMIR, LOC108164675|XP_017156017.1|DMIR, LOC108162189|XP_033249910.1|DMIR, LOC108162187|XP_017152275.1|DMIR, LOC108162186|XP_017152273.1|DMIR, LOC117188852|XP_033249240.1|DMIR, LOC108161557|XP_017151330.1|DMIR, LOC108163629|XP_017154523.1|DMIR, LOC108162188|XP_017152278.1|DMIR, LOC108163972|XP_017155018.1|DMIR, LOC117185693|XP_017154036.1|DMIR, LOC117188957|XP_033249531.1|DMIR, LOC108162812|XP_017153212.1|DMIR, LOC108163322|XP_033249532.1|DMIR, LOC108162815|XP_017153219.1|DMIR	LOC6613215|XP_002037694.2|DSEC, LOC6613214|XP_002037693.2|DSEC, LOC6613356|XP_002037830.1|DSEC, LOC6616450|XP_032574488.1|DSEC, LOC6613355|XP_032576619.1|DSEC, LOC6614408|XP_032583172.1|DSEC, LOC6614413|XP_032577346.1|DSEC, LOC6618632|XP_032581615.1|DSEC, LOC6618634|XP_002042893.2|DSEC
OG0000011	LOC108165384|XP_017156911.1|DMIR	LOC6605626|XP_002030444.2|DSEC
OG0000011	LOC108153161|XP_017138453.1|DMIR	LOC6605627|XP_002030445.2|DSEC
OG0000011	LOC108154131|XP_017139754.1|DMIR	LOC6607077|XP_002031865.1|DSEC
OG0000012	LOC108159199|XP_017147755.1|DMIR	LOC6609925|XP_002034575.2|DSEC
OG0000012	LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR	LOC6609924|XP_002034574.2|DSEC
OG0000012	LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR	LOC6609923|XP_032571611.1|DSEC
OG0000012	LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR	LOC6609926|XP_002034576.1|DSEC
OG0000012	LOC108161008|XP_017150804.1|DMIR, LOC117185969|XP_033248320.1|DMIR, LOC108157993|XP_033248087.1|DMIR	LOC6609929|XP_032571342.1|DSEC
OG0000012	LOC108160910|XP_017150675.1|DMIR	LOC6609927|XP_002034577.1|DSEC
OG0000012	LOC108158925|XP_017147218.1|DMIR	LOC6608817|XP_032571423.1|DSEC
OG0000012	LOC108158929|XP_017147224.1|DMIR	LOC6608818|XP_032571424.1|DSEC
OG0000012	LOC108158928|XP_017147221.1|DMIR	LOC6608819|XP_002033533.2|DSEC, LOC6608820|XP_032571616.1|DSEC
OG0000012	LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR	LOC6608821|XP_032571618.1|DSEC
OG0000012	LOC108158927|XP_017147219.1|DMIR	LOC6608822|XP_032571615.1|DSEC
OG0000013	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR	LOC6609116|XP_002033818.1|DSEC
OG0000013	LOC108152903|XP_017138042.1|DMIR	LOC6619913|XP_032582274.1|DSEC
OG0000013	LOC108157123|XP_017144495.1|DMIR, LOC108156384|XP_017143289.1|DMIR	LOC6606301|XP_002031106.1|DSEC
OG0000013	LOC108151516|XP_033243870.1|DMIR	LOC6605619|XP_032575697.1|DSEC
OG0000013	LOC108154911|XP_017140853.2|DMIR, LOC117187087|XP_033244842.1|DMIR	LOC6607674|XP_002032439.2|DSEC
OG0000013	LOC117187120|XP_033245008.1|DMIR, LOC117187121|XP_033245009.1|DMIR, LOC108154243|XP_017139966.2|DMIR, LOC108154002|XP_033245010.1|DMIR	LOC116801751|XP_032578918.1|DSEC, LOC6606753|XP_002031550.1|DSEC, LOC6606754|XP_002031551.1|DSEC
OG0000014	LOC117194202|XP_033254747.1|DMIR	LOC116802439|XP_032582809.1|DSEC
OG0000014	LOC117186505|XP_033243277.1|DMIR	LOC116802440|XP_032582810.1|DSEC, LOC116802438|XP_032582808.1|DSEC
OG0000014	LOC117193488|XP_033254130.1|DMIR	LOC116800565|XP_032572118.1|DSEC, LOC116802202|XP_032581775.1|DSEC
OG0000015	LOC117189153|XP_033250113.1|DMIR, LOC108162329|XP_017152508.1|DMIR, LOC108162330|XP_017152509.1|DMIR	LOC6608675|XP_002033404.2|DSEC
OG0000016	LOC108156024|XP_017142762.1|DMIR	LOC6606525|XP_002031326.2|DSEC
OG0000016	LOC108160302|XP_017149703.1|DMIR, LOC117190705|XP_033251658.1|DMIR	LOC6615268|XP_002039673.2|DSEC
OG0000016	LOC108155657|XP_017142098.1|DMIR	LOC6606623|XP_002031424.1|DSEC
OG0000016	LOC108159552|XP_017148467.1|DMIR, LOC117192977|XP_033253595.1|DMIR	LOC6609492|XP_032572820.1|DSEC
OG0000016	LOC108154361|XP_017140118.1|DMIR	LOC6612339|XP_002036849.1|DSEC
OG0000016	LOC117193102|XP_033253716.1|DMIR, LOC117194496|XP_033254943.1|DMIR, LOC117195216|XP_033255740.1|DMIR, LOC108159228|XP_017147821.1|DMIR	LOC6619144|XP_002043384.1|DSEC
OG0000016	LOC108156493|XP_017143475.1|DMIR	LOC6606248|XP_002031056.2|DSEC
OG0000016	LOC108150995|XP_017134834.1|DMIR	LOC6616531|XP_002040890.1|DSEC
OG0000017	LOC108153009|XP_017138281.1|DMIR	LOC6620183|XP_002044394.1|DSEC
OG0000017	LOC108160150|XP_017149453.1|DMIR	LOC6608076|XP_002032824.1|DSEC
OG0000017	LOC108159969|XP_017149141.1|DMIR, LOC108158038|XP_017145672.2|DMIR	LOC6619131|XP_002043371.1|DSEC
OG0000017	LOC108154022|XP_017139603.2|DMIR, LOC117191555|XP_033252276.1|DMIR	LOC6618718|XP_002042977.1|DSEC
OG0000017	LOC108160759|XP_017150448.1|DMIR	LOC6615716|XP_032571357.1|DSEC
OG0000017	LOC108159970|XP_017149142.1|DMIR	LOC6619133|XP_002043373.1|DSEC
OG0000017	LOC108157934|XP_017145566.1|DMIR	LOC6615717|XP_002040088.1|DSEC
OG0000017	LOC108161535|XP_017151304.1|DMIR, LOC108161536|XP_017151305.1|DMIR, LOC108161534|XP_017151303.1|DMIR	LOC6617387|XP_032577559.1|DSEC
OG0000018	LOC108150828|XP_017134625.1|DMIR	LOC6610980|XP_002035537.1|DSEC
OG0000018	LOC108165544|XP_017157106.1|DMIR	LOC6610987|XP_002035544.1|DSEC
OG0000018	LOC108150791|XP_017134583.1|DMIR	LOC6610983|XP_002035540.1|DSEC
OG0000018	LOC108150854|XP_017134645.1|DMIR	LOC6621634|XP_002045742.2|DSEC
OG0000018	LOC108150808|XP_017134601.1|DMIR, LOC108165552|XP_017157116.1|DMIR, LOC108165550|XP_017157115.1|DMIR, LOC108150800|XP_017134593.1|DMIR	LOC6610978|XP_002035535.1|DSEC, LOC6610976|XP_002035533.2|DSEC
OG0000019	LOC108157046|XP_017144351.1|DMIR, LOC108157045|XP_017144349.1|DMIR, LOC108157044|XP_017144348.1|DMIR	LOC6617118|XP_002041445.1|DSEC
OG0000019	LOC108157037|XP_017144339.1|DMIR	LOC6617113|XP_002041440.2|DSEC
OG0000019	LOC108157043|XP_017144347.2|DMIR	LOC6617114|XP_002041441.1|DSEC
OG0000019	LOC108157041|XP_017144346.1|DMIR, LOC108153982|XP_033245000.1|DMIR, LOC108157040|XP_017144345.2|DMIR	LOC6617119|XP_002041446.1|DSEC, LOC6617120|XP_032579359.1|DSEC
OG0000020	LOC108156412|XP_017143346.1|DMIR	LOC116801805|XP_032579403.1|DSEC
OG0000020	LOC108159642|XP_033248178.1|DMIR	LOC6615344|XP_002039742.1|DSEC
OG0000020	LOC108163672|XP_017154587.1|DMIR	LOC6614620|XP_002039048.1|DSEC, LOC6608343|XP_032571142.1|DSEC, LOC6611665|XP_032583373.1|DSEC
OG0000020	LOC108155178|XP_017141337.1|DMIR	LOC6619030|XP_032578205.1|DSEC
OG0000020	LOC108156137|XP_017142939.1|DMIR	LOC6606811|XP_002031608.2|DSEC
OG0000020	LOC108163835|XP_033249247.1|DMIR	LOC6618224|XP_032583413.1|DSEC
OG0000020	LOC108163643|XP_017154542.1|DMIR	LOC6614621|XP_002039049.1|DSEC
OG0000021	LOC117188002|XP_033246994.1|DMIR, LOC108160898|XP_017150659.2|DMIR	LOC6613204|XP_002037684.1|DSEC
OG0000021	LOC108159771|XP_017148818.1|DMIR, LOC117193201|XP_033253843.1|DMIR	LOC116803465|XP_032583061.1|DSEC
OG0000021	LOC108159581|XP_017148519.1|DMIR	LOC6615454|XP_002039834.1|DSEC
OG0000021	LOC108160670|XP_017150305.2|DMIR, LOC117188150|XP_033247446.1|DMIR	LOC6615468|XP_002039848.1|DSEC
OG0000021	LOC117185989|XP_033241901.1|DMIR, LOC108162397|XP_033252470.1|DMIR	LOC6609714|XP_002034371.1|DSEC
OG0000021	LOC108160899|XP_017150660.1|DMIR, LOC117193202|XP_033253844.1|DMIR	LOC116803406|XP_032583029.1|DSEC
OG0000021	LOC108164567|XP_033246575.1|DMIR	LOC6617550|XP_032580648.1|DSEC
OG0000021	LOC108156061|XP_017142833.1|DMIR	LOC6607757|XP_002032520.1|DSEC
OG0000021	LOC108156847|XP_017144055.1|DMIR	LOC6606667|XP_002031467.1|DSEC
OG0000021	LOC108164951|XP_017156435.1|DMIR	LOC6620369|XP_002044577.1|DSEC
OG0000022	LOC108158428|XP_017146199.1|DMIR, LOC117193272|XP_033253907.1|DMIR, LOC117193269|XP_033253905.1|DMIR	LOC6609401|XP_002034086.1|DSEC
OG0000022	LOC108152468|XP_017137324.1|DMIR	LOC6610269|XP_002034864.1|DSEC
OG0000022	LOC108152474|XP_017137333.2|DMIR, LOC117186204|XP_033242420.1|DMIR, LOC108152475|XP_017137334.2|DMIR	LOC6610278|XP_002034873.2|DSEC, LOC6610275|XP_002034870.1|DSEC, LOC6610276|XP_002034871.1|DSEC, LOC6610274|XP_002034869.1|DSEC
OG0000022	LOC108152469|XP_017137325.1|DMIR	LOC116801300|XP_032575946.1|DSEC
OG0000023	LOC108153857|XP_033244801.1|DMIR	LOC6614270|XP_002038710.2|DSEC
OG0000023	LOC108155685|XP_017142143.1|DMIR	LOC6614272|XP_002038712.1|DSEC
OG0000023	LOC108158830|XP_017147022.1|DMIR	LOC6615538|XP_002039917.1|DSEC
OG0000023	LOC108153856|XP_033244802.1|DMIR	LOC6614271|XP_032578446.1|DSEC
OG0000023	LOC108157164|XP_017144562.1|DMIR	LOC6614265|XP_002038705.1|DSEC
OG0000023	LOC108156708|XP_017143845.1|DMIR	LOC6614261|XP_032579066.1|DSEC
OG0000023	LOC108156707|XP_017143844.1|DMIR	LOC6614263|XP_002038703.1|DSEC
OG0000023	LOC108156709|XP_033245059.1|DMIR	LOC6614259|XP_032579064.1|DSEC
OG0000024	LOC108160883|XP_017150641.1|DMIR	LOC6608650|XP_002033384.1|DSEC
OG0000024	LOC117194102|XP_033254634.1|DMIR, LOC108160812|XP_017150524.1|DMIR	LOC6608651|XP_032573063.1|DSEC
OG0000024	LOC108161382|XP_017151119.1|DMIR	LOC6618118|XP_002042417.2|DSEC
OG0000024	LOC117194080|XP_033254609.1|DMIR, LOC108160979|XP_017150769.1|DMIR	LOC6608649|XP_032571742.1|DSEC
OG0000024	LOC108159455|XP_017148242.1|DMIR	LOC6609002|XP_002033708.1|DSEC
OG0000025	LOC108162357|XP_017152552.1|DMIR, LOC108157728|XP_017145391.1|DMIR	LOC6613440|XP_002037914.1|DSEC
OG0000026	LOC108150850|XP_017134646.1|DMIR	LOC6617640|XP_002041953.1|DSEC
OG0000026	LOC108162957|XP_033248732.1|DMIR	LOC6613582|XP_002038050.1|DSEC
OG0000026	LOC108165129|XP_017156683.1|DMIR	LOC6619909|XP_002044121.1|DSEC
OG0000026	LOC108157803|XP_017145484.1|DMIR, LOC108155726|XP_017142223.1|DMIR, LOC108154308|XP_017140053.1|DMIR	LOC6614041|XP_002038495.1|DSEC
OG0000026	LOC108157162|XP_017144561.1|DMIR	LOC6620024|XP_002044237.2|DSEC
OG0000027	LOC108162948|XP_017153432.1|DMIR	LOC6611562|XP_002036100.1|DSEC
OG0000027	LOC108162949|XP_017153433.1|DMIR	LOC6611565|XP_002036103.2|DSEC
OG0000027	LOC108162947|XP_017153431.1|DMIR	LOC6611563|XP_002036101.1|DSEC
OG0000028	LOC108151302|XP_017135327.1|DMIR	LOC6605908|XP_002030721.1|DSEC
OG0000029	LOC117191657|XP_033252354.1|DMIR, LOC108158000|XP_017145632.1|DMIR	LOC6608399|XP_002033133.1|DSEC, LOC6609830|XP_002034482.1|DSEC, LOC6611703|XP_002036237.1|DSEC
OG0000029	LOC108154578|XP_017140369.1|DMIR	LOC6607309|XP_002032088.1|DSEC
OG0000029	LOC108150820|XP_017134616.1|DMIR	LOC6618299|XP_002042572.1|DSEC
OG0000030	LOC108161306|XP_017151015.1|DMIR	LOC6617677|XP_032583255.1|DSEC
OG0000030	LOC108161304|XP_017151013.1|DMIR	LOC6617675|XP_002041988.1|DSEC
OG0000030	LOC108161303|XP_017151011.1|DMIR, LOC108161305|XP_017151014.1|DMIR	LOC6617676|XP_002041989.1|DSEC
OG0000030	LOC108161162|XP_017150872.2|DMIR	LOC6613129|XP_002037610.2|DSEC
OG0000030	LOC108160793|XP_017150492.1|DMIR	LOC6615712|XP_002040083.1|DSEC
OG0000030	LOC108151546|XP_033246807.1|DMIR	LOC6616124|XP_002040489.1|DSEC
OG0000030	LOC108154542|XP_017140365.1|DMIR	LOC6615087|XP_032581969.1|DSEC
OG0000031	LOC108163859|XP_017154864.1|DMIR	LOC6613654|XP_002038124.2|DSEC, LOC6613642|XP_032571112.1|DSEC, LOC6611386|XP_002035931.1|DSEC
OG0000031	LOC108161143|XP_033248838.1|DMIR, LOC108161141|XP_033248476.1|DMIR	LOC6610715|XP_032575982.1|DSEC, LOC6613163|XP_002037644.1|DSEC
OG0000031	LOC108161610|XP_017151398.1|DMIR	LOC6611956|XP_002036473.1|DSEC
OG0000032	LOC108156619|XP_017143664.1|DMIR	LOC6606692|XP_002031492.2|DSEC
OG0000032	LOC108157651|XP_017145290.1|DMIR	LOC6606694|XP_002031494.1|DSEC
OG0000032	LOC108156621|XP_017143666.1|DMIR	LOC6606686|XP_002031486.2|DSEC
OG0000032	LOC108156620|XP_017143665.1|DMIR	LOC6606693|XP_002031493.1|DSEC
OG0000032	LOC108157634|XP_017145264.1|DMIR	LOC6606685|XP_002031485.1|DSEC
OG0000032	LOC108156618|XP_017143663.1|DMIR	LOC6606688|XP_002031488.1|DSEC
OG0000033	LOC108156558|XP_017143572.1|DMIR	LOC6612608|XP_032578226.1|DSEC
OG0000033	LOC117189759|XP_033250731.1|DMIR, LOC108159420|XP_017148176.1|DMIR	LOC6607913|XP_002032667.1|DSEC
OG0000033	LOC117187710|XP_033246345.1|DMIR, LOC108159419|XP_017148175.2|DMIR	LOC6607918|XP_002032668.1|DSEC
OG0000033	LOC108153999|XP_033244121.1|DMIR	LOC6606119|XP_002030927.1|DSEC, LOC6614345|XP_002038784.1|DSEC, LOC6614346|XP_032579053.1|DSEC, LOC6609451|XP_002034136.1|DSEC, LOC6609450|XP_002034135.2|DSEC
OG0000034	LOC108164271|XP_017155403.1|DMIR	LOC6609502|XP_032572499.1|DSEC, LOC6614428|XP_002038861.1|DSEC
OG0000034	LOC108164069|XP_033249364.1|DMIR	LOC6614430|XP_002038863.1|DSEC
OG0000034	LOC117185901|XP_033249912.1|DMIR, LOC108162133|XP_017152203.1|DMIR, LOC108162132|XP_017152201.1|DMIR	LOC6618128|XP_032583108.1|DSEC
OG0000034	LOC108162131|XP_017152200.1|DMIR	LOC6613602|XP_002038072.1|DSEC
OG0000035	LOC117186697|XP_033243671.1|DMIR, LOC117186386|XP_033243001.1|DMIR, LOC117186599|XP_033243470.1|DMIR	LOC116803217|XP_032582992.1|DSEC, LOC116800553|XP_032572019.1|DSEC, LOC116800552|XP_032572012.1|DSEC
OG0000036	LOC108157733|XP_017145397.1|DMIR	LOC6614280|XP_002038720.1|DSEC
OG0000036	LOC117187198|XP_033245230.1|DMIR	LOC6606280|XP_032578992.1|DSEC
OG0000036	LOC108157106|XP_017144468.1|DMIR	LOC6613804|XP_032577945.1|DSEC
OG0000036	LOC108155635|XP_017142061.1|DMIR	LOC6607601|XP_002032369.2|DSEC
OG0000037	LOC108160263|XP_017149626.1|DMIR	LOC6609848|XP_002034500.1|DSEC
OG0000037	LOC117195094|XP_033255640.1|DMIR, LOC117191092|XP_033251946.1|DMIR, LOC117194615|XP_033255034.1|DMIR, LOC117194588|XP_033255015.1|DMIR, LOC117194655|XP_033255061.1|DMIR, LOC117190599|XP_033251536.1|DMIR, LOC117194833|XP_033255201.1|DMIR, LOC117191511|XP_033252248.1|DMIR, LOC117191510|XP_033252247.1|DMIR, LOC117194839|XP_033255205.1|DMIR, LOC117191523|XP_033252256.1|DMIR, LOC117190815|XP_033251747.1|DMIR, LOC117194824|XP_033255196.1|DMIR, LOC117194825|XP_033255197.1|DMIR, LOC117195091|XP_033255638.1|DMIR, LOC117194549|XP_033254988.1|DMIR, LOC117194837|XP_033255204.1|DMIR, LOC117194807|XP_033255181.1|DMIR, LOC117194573|XP_033255006.1|DMIR, LOC117194587|XP_033255014.1|DMIR, LOC117194750|XP_033255142.1|DMIR, LOC117194591|XP_033255018.1|DMIR, LOC117194574|XP_033255007.1|DMIR, LOC117195092|XP_033255639.1|DMIR, LOC117194597|XP_033255024.1|DMIR, LOC117195100|XP_033255645.1|DMIR, LOC117194819|XP_033255192.1|DMIR, LOC117194975|XP_033255339.1|DMIR, LOC108153987|XP_033244827.1|DMIR, LOC117194660|XP_033255064.1|DMIR, LOC117194818|XP_033255191.1|DMIR, LOC117194604|XP_033255027.1|DMIR, LOC117194596|XP_033255023.1|DMIR, LOC117194601|XP_033255025.1|DMIR, LOC117195095|XP_033255641.1|DMIR, LOC117194843|XP_033255207.1|DMIR, LOC117191506|XP_033252242.1|DMIR, LOC117194661|XP_033255065.1|DMIR, LOC117194657|XP_033255062.1|DMIR, LOC117190601|XP_033251538.1|DMIR, LOC117194841|XP_033255206.1|DMIR, LOC117191508|XP_033252244.1|DMIR, LOC117194658|XP_033255063.1|DMIR, LOC117194702|XP_033255103.1|DMIR, LOC117194796|XP_033255174.1|DMIR, LOC117190600|XP_033251537.1|DMIR, LOC117194589|XP_033255016.1|DMIR, LOC117194409|XP_033254874.1|DMIR, LOC117194829|XP_033255199.1|DMIR, LOC117194605|XP_033255028.1|DMIR, LOC117194822|XP_033255195.1|DMIR, LOC117194333|XP_033254795.1|DMIR, LOC117194609|XP_033255031.1|DMIR, LOC117194407|XP_033254872.1|DMIR, LOC117195096|XP_033255642.1|DMIR, LOC117194649|XP_033255056.1|DMIR, LOC117190597|XP_033251535.1|DMIR, LOC117194650|XP_033255057.1|DMIR, LOC117190125|XP_033251100.1|DMIR, LOC108156646|XP_017143737.2|DMIR, LOC117190111|XP_033251090.1|DMIR, LOC117194816|XP_033255190.1|DMIR, LOC117194767|XP_033255155.1|DMIR, LOC117194745|XP_033255132.1|DMIR, LOC117194463|XP_033254917.1|DMIR, LOC117190114|XP_033251091.1|DMIR, LOC117194862|XP_033255219.1|DMIR, LOC117194858|XP_033255216.1|DMIR, LOC117194857|XP_033255215.1|DMIR, LOC117194328|XP_033254789.1|DMIR, LOC108156982|XP_017144263.2|DMIR, LOC117194327|XP_033254788.1|DMIR, LOC117194594|XP_033255020.1|DMIR, LOC117194845|XP_033255209.1|DMIR	LOC6619109|XP_002043349.1|DSEC, LOC6619108|XP_002043348.1|DSEC
OG0000038	LOC108165231|XP_017156759.1|DMIR	LOC6619358|XP_002043575.1|DSEC
OG0000038	LOC108151159|XP_017135077.1|DMIR	LOC6619360|XP_032575071.1|DSEC
OG0000039	LOC108153891|XP_033244233.1|DMIR	LOC6614108|XP_032577608.1|DSEC
OG0000039	LOC108165184|XP_017156747.1|DMIR	LOC6619553|XP_002043768.1|DSEC
