Orthogroup	DMIR.longest_only	DSUB.longest_only
OG0000011	LOC108163065|XP_017153628.2|DMIR, LOC117188829|XP_033249173.1|DMIR, LOC108161855|XP_033249172.1|DMIR	LOC117902493|XP_034669808.1|DSUB
OG0000011	LOC117188852|XP_033249240.1|DMIR, LOC108161557|XP_017151330.1|DMIR, LOC108163629|XP_017154523.1|DMIR, LOC108162188|XP_017152278.1|DMIR	LOC117902500|XP_034669817.1|DSUB, LOC117902495|XP_034669810.1|DSUB, LOC117902496|XP_034669811.1|DSUB
OG0000011	LOC108163972|XP_017155018.1|DMIR	LOC117901786|XP_034668586.1|DSUB
OG0000011	LOC108162815|XP_017153219.1|DMIR	LOC117900246|XP_034666433.1|DSUB
OG0000011	LOC108165384|XP_017156911.1|DMIR	LOC117893712|XP_034656290.1|DSUB
OG0000011	LOC108153161|XP_017138453.1|DMIR	LOC117894953|XP_034658172.1|DSUB
OG0000011	LOC108154131|XP_017139754.1|DMIR	LOC117897187|XP_034661778.1|DSUB
OG0000012	LOC108159199|XP_017147755.1|DMIR	LOC117892204|XP_034654190.1|DSUB
OG0000012	LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR	LOC117892205|XP_034654193.1|DSUB
OG0000012	LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR	LOC117892198|XP_034654182.1|DSUB
OG0000012	LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR	LOC117892199|XP_034654185.1|DSUB
OG0000012	LOC108161008|XP_017150804.1|DMIR	LOC117892202|XP_034654189.1|DSUB
OG0000012	LOC117185969|XP_033248320.1|DMIR, LOC108157993|XP_033248087.1|DMIR	LOC117892201|XP_034654188.1|DSUB
OG0000012	LOC108160910|XP_017150675.1|DMIR	LOC117892200|XP_034654187.1|DSUB
OG0000012	LOC108158925|XP_017147218.1|DMIR	LOC117891062|XP_034652125.1|DSUB
OG0000012	LOC108158929|XP_017147224.1|DMIR	LOC117891063|XP_034652127.1|DSUB
OG0000012	LOC108158928|XP_017147221.1|DMIR	LOC117891061|XP_034652124.1|DSUB
OG0000012	LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR	LOC117891058|XP_034652122.1|DSUB
OG0000012	LOC108158927|XP_017147219.1|DMIR	LOC117891064|XP_034652128.1|DSUB
OG0000013	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR	LOC117890717|XP_034651649.1|DSUB
OG0000013	LOC108152903|XP_017138042.1|DMIR	LOC117896187|XP_034660170.1|DSUB
OG0000013	LOC108156384|XP_017143289.1|DMIR	LOC117896516|XP_034660775.1|DSUB
OG0000013	LOC108151516|XP_033243870.1|DMIR	LOC117895334|XP_034658799.1|DSUB
OG0000013	LOC108154911|XP_017140853.2|DMIR, LOC117187087|XP_033244842.1|DMIR	LOC117897025|XP_034661493.1|DSUB, LOC117897026|XP_034661494.1|DSUB
OG0000013	LOC117187120|XP_033245008.1|DMIR, LOC117187121|XP_033245009.1|DMIR, LOC108154243|XP_017139966.2|DMIR, LOC108154002|XP_033245010.1|DMIR	LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB
OG0000015	LOC108160096|XP_017149373.1|DMIR, LOC108158178|XP_017145884.1|DMIR, LOC117190962|XP_033251844.1|DMIR, LOC108160103|XP_017149386.1|DMIR	LOC117901317|XP_034667918.1|DSUB
OG0000015	LOC117189153|XP_033250113.1|DMIR, LOC108162329|XP_017152508.1|DMIR, LOC108162330|XP_017152509.1|DMIR	LOC117902318|XP_034669497.1|DSUB
OG0000016	LOC108156024|XP_017142762.1|DMIR	LOC117899529|XP_034665488.1|DSUB
OG0000016	LOC108160302|XP_017149703.1|DMIR, LOC117190705|XP_033251658.1|DMIR	LOC117889984|XP_034650458.1|DSUB
OG0000016	LOC108155657|XP_017142098.1|DMIR	LOC117898309|XP_034663475.1|DSUB
OG0000016	LOC108159552|XP_017148467.1|DMIR, LOC117192977|XP_033253595.1|DMIR	LOC117892105|XP_034654005.1|DSUB
OG0000016	LOC108162328|XP_017152507.1|DMIR	LOC117901257|XP_034667841.1|DSUB
OG0000016	LOC108154361|XP_017140118.1|DMIR	LOC117903845|XP_034672195.1|DSUB
OG0000016	LOC117193102|XP_033253716.1|DMIR, LOC117194496|XP_033254943.1|DMIR, LOC117195216|XP_033255740.1|DMIR, LOC108159228|XP_017147821.1|DMIR	LOC117890476|XP_034651231.1|DSUB
OG0000016	LOC108156493|XP_017143475.1|DMIR	LOC117898432|XP_034663715.1|DSUB
OG0000016	LOC108150995|XP_017134834.1|DMIR	LOC117893424|XP_034655932.1|DSUB
OG0000017	LOC108153009|XP_017138281.1|DMIR	LOC117892719|XP_034655033.1|DSUB
OG0000017	LOC108160150|XP_017149453.1|DMIR	LOC117890423|XP_034651134.1|DSUB
OG0000017	LOC108159969|XP_017149141.1|DMIR, LOC108158038|XP_017145672.2|DMIR	LOC117892544|XP_034654744.1|DSUB, LOC117890958|XP_034651990.1|DSUB, LOC117890877|XP_034651860.1|DSUB
OG0000017	LOC108154022|XP_017139603.2|DMIR	LOC117899292|XP_034665095.1|DSUB
OG0000017	LOC117191555|XP_033252276.1|DMIR	LOC117899291|XP_034665094.1|DSUB
OG0000017	LOC108160759|XP_017150448.1|DMIR	LOC117891086|XP_034652156.1|DSUB
OG0000017	LOC108159970|XP_017149142.1|DMIR	LOC117890435|XP_034651155.1|DSUB
OG0000017	LOC108157934|XP_017145566.1|DMIR	LOC117892462|XP_034654603.1|DSUB
OG0000017	LOC108161535|XP_017151304.1|DMIR	LOC117900183|XP_034666320.1|DSUB
OG0000017	LOC108161536|XP_017151305.1|DMIR, LOC108161534|XP_017151303.1|DMIR	LOC117900621|XP_034666940.1|DSUB
OG0000018	LOC108150828|XP_017134625.1|DMIR	LOC117895264|XP_034658678.1|DSUB
OG0000018	LOC108165544|XP_017157106.1|DMIR	LOC117895260|XP_034658672.1|DSUB
OG0000018	LOC108150791|XP_017134583.1|DMIR	LOC117895265|XP_034658679.1|DSUB
OG0000018	LOC108150854|XP_017134645.1|DMIR	LOC117895258|XP_034658670.1|DSUB
OG0000018	LOC108150808|XP_017134601.1|DMIR, LOC108165552|XP_017157116.1|DMIR, LOC108165550|XP_017157115.1|DMIR, LOC108150800|XP_017134593.1|DMIR	LOC117895269|XP_034658684.1|DSUB, LOC117895268|XP_034658682.1|DSUB
OG0000018	LOC108150838|XP_017134636.2|DMIR, LOC108165543|XP_017157105.1|DMIR	LOC117895272|XP_034658688.1|DSUB
OG0000019	LOC108157046|XP_017144351.1|DMIR	LOC117899362|XP_034665232.1|DSUB
OG0000019	LOC108157045|XP_017144349.1|DMIR, LOC108157044|XP_017144348.1|DMIR	LOC117899360|XP_034665227.1|DSUB
OG0000019	LOC108157037|XP_017144339.1|DMIR	LOC117899339|XP_034665171.1|DSUB
OG0000019	LOC108157043|XP_017144347.2|DMIR	LOC117899361|XP_034665230.1|DSUB
OG0000019	LOC108157041|XP_017144346.1|DMIR, LOC108153982|XP_033245000.1|DMIR	LOC117899358|XP_034665223.1|DSUB
OG0000019	LOC108157040|XP_017144345.2|DMIR	LOC117899359|XP_034665224.1|DSUB
OG0000020	LOC108156412|XP_017143346.1|DMIR	LOC117897785|XP_034662725.1|DSUB, LOC117897786|XP_034662726.1|DSUB
OG0000020	LOC108159642|XP_033248178.1|DMIR	LOC117892172|XP_034654141.1|DSUB
OG0000020	LOC108163672|XP_017154587.1|DMIR	LOC117902343|XP_034669534.1|DSUB
OG0000020	LOC108155178|XP_017141337.1|DMIR	LOC117898500|XP_034663833.1|DSUB
OG0000020	LOC108156137|XP_017142939.1|DMIR	LOC117898411|XP_034663671.1|DSUB
OG0000020	LOC108163835|XP_033249247.1|DMIR	LOC117901489|XP_034668148.1|DSUB
OG0000020	LOC108163643|XP_017154542.1|DMIR	LOC117901231|XP_034667794.1|DSUB
OG0000021	LOC108153591|XP_017139161.1|DMIR	LOC117894607|XP_034657649.1|DSUB
OG0000021	LOC117185775|XP_033246995.1|DMIR	LOC117892599|XP_034654829.1|DSUB
OG0000021	LOC117188002|XP_033246994.1|DMIR, LOC108160898|XP_017150659.2|DMIR	LOC117892038|XP_034653853.1|DSUB
OG0000021	LOC108159771|XP_017148818.1|DMIR, LOC117193201|XP_033253843.1|DMIR	LOC117892039|XP_034653854.1|DSUB
OG0000021	LOC108159581|XP_017148519.1|DMIR	LOC117891478|XP_034652849.1|DSUB
OG0000021	LOC108160670|XP_017150305.2|DMIR, LOC117188150|XP_033247446.1|DMIR	LOC117891531|XP_034652923.1|DSUB
OG0000021	LOC108160899|XP_017150660.1|DMIR, LOC117193202|XP_033253844.1|DMIR	LOC117892040|XP_034653856.1|DSUB
OG0000021	LOC108164567|XP_033246575.1|DMIR	LOC117903672|XP_034671893.1|DSUB
OG0000021	LOC108156061|XP_017142833.1|DMIR	LOC117896843|XP_034661258.1|DSUB
OG0000021	LOC108156847|XP_017144055.1|DMIR	LOC117898591|XP_034664027.1|DSUB
OG0000022	LOC108158428|XP_017146199.1|DMIR, LOC117193272|XP_033253907.1|DMIR, LOC117193269|XP_033253905.1|DMIR	LOC117892309|XP_034654347.1|DSUB
OG0000022	LOC108152468|XP_017137324.1|DMIR	LOC117892920|XP_034655126.1|DSUB
OG0000022	LOC108152465|XP_017137322.1|DMIR, LOC108152467|XP_017137323.2|DMIR, LOC108152472|XP_017137329.2|DMIR, LOC108152476|XP_017137336.1|DMIR	LOC117892922|XP_034655128.1|DSUB, LOC117892927|XP_034655134.1|DSUB
OG0000022	LOC108152473|XP_017137331.1|DMIR	LOC117892926|XP_034655132.1|DSUB, LOC117892918|XP_034655124.1|DSUB, LOC117892925|XP_034655130.1|DSUB
OG0000022	LOC108152470|XP_017137327.1|DMIR	LOC117892921|XP_034655127.1|DSUB
OG0000022	LOC108152469|XP_017137325.1|DMIR	LOC117892919|XP_034655125.1|DSUB
OG0000022	LOC108152471|XP_017137328.1|DMIR	LOC117892923|XP_034655129.1|DSUB
OG0000023	LOC108153857|XP_033244801.1|DMIR	LOC117896153|XP_034660122.1|DSUB
OG0000023	LOC108155686|XP_017142144.1|DMIR	LOC117896151|XP_034660118.1|DSUB
OG0000023	LOC108155685|XP_017142143.1|DMIR	LOC117896150|XP_034660117.1|DSUB
OG0000023	LOC108158830|XP_017147022.1|DMIR	LOC117891805|XP_034653377.1|DSUB
OG0000023	LOC108153856|XP_033244802.1|DMIR	LOC117896149|XP_034660116.1|DSUB
OG0000023	LOC108156707|XP_017143844.1|DMIR	LOC117898724|XP_034664233.1|DSUB
OG0000023	LOC108156709|XP_033245059.1|DMIR	LOC117898725|XP_034664234.1|DSUB
OG0000024	LOC108160774|XP_017150465.1|DMIR, LOC117193757|XP_033254378.1|DMIR, LOC108160813|XP_017150525.2|DMIR	LOC117889932|XP_034650354.1|DSUB
OG0000024	LOC108160883|XP_017150641.1|DMIR	LOC117889933|XP_034650355.1|DSUB
OG0000024	LOC117194102|XP_033254634.1|DMIR, LOC108160812|XP_017150524.1|DMIR	LOC117889934|XP_034650356.1|DSUB
OG0000024	LOC108161382|XP_017151119.1|DMIR	LOC117901020|XP_034667512.1|DSUB
OG0000024	LOC117194080|XP_033254609.1|DMIR, LOC108160979|XP_017150769.1|DMIR	LOC117889812|XP_034650181.1|DSUB
OG0000024	LOC108159455|XP_017148242.1|DMIR	LOC117891118|XP_034652213.1|DSUB
OG0000025	LOC108162357|XP_017152552.1|DMIR, LOC108157728|XP_017145391.1|DMIR	LOC117890855|XP_034651836.1|DSUB
OG0000026	LOC108150850|XP_017134646.1|DMIR	LOC117889599|XP_034649905.1|DSUB
OG0000026	LOC108162957|XP_033248732.1|DMIR	LOC117901731|XP_034668504.1|DSUB
OG0000026	LOC108165129|XP_017156683.1|DMIR	LOC117903905|XP_034672302.1|DSUB
OG0000026	LOC108157803|XP_017145484.1|DMIR	LOC117899765|XP_034665914.1|DSUB
OG0000026	LOC108155726|XP_017142223.1|DMIR, LOC108154308|XP_017140053.1|DMIR	LOC117899768|XP_034665918.1|DSUB, LOC117899766|XP_034665915.1|DSUB, LOC117899767|XP_034665916.1|DSUB
OG0000026	LOC108157162|XP_017144561.1|DMIR	LOC117899507|XP_034665449.1|DSUB
OG0000027	LOC108162948|XP_017153432.1|DMIR	LOC117902555|XP_034669887.1|DSUB
OG0000027	LOC108162949|XP_017153433.1|DMIR	LOC117902556|XP_034669889.1|DSUB
OG0000027	LOC108162947|XP_017153431.1|DMIR	LOC117902554|XP_034669886.1|DSUB
OG0000028	LOC108165232|XP_017156760.1|DMIR	LOC117894268|XP_034657114.1|DSUB, LOC117894267|XP_034657113.1|DSUB
OG0000028	LOC117186464|XP_033243221.1|DMIR, LOC108165418|XP_033243407.1|DMIR, LOC108165419|XP_017156946.1|DMIR	LOC117894270|XP_034657116.1|DSUB, LOC117894269|XP_034657115.1|DSUB
OG0000028	LOC108165421|XP_017156949.1|DMIR	LOC117894266|XP_034657112.1|DSUB
OG0000028	LOC108151302|XP_017135327.1|DMIR	LOC117894530|XP_034657538.1|DSUB
OG0000029	LOC117191657|XP_033252354.1|DMIR, LOC108158000|XP_017145632.1|DMIR	LOC117890176|XP_034650765.1|DSUB
OG0000029	LOC117190365|XP_033251334.1|DMIR, LOC108157998|XP_017145630.1|DMIR	LOC117889740|XP_034650054.1|DSUB
OG0000029	LOC108154578|XP_017140369.1|DMIR	LOC117898949|XP_034664564.1|DSUB
OG0000029	LOC108150820|XP_017134616.1|DMIR	LOC117893783|XP_034656418.1|DSUB
OG0000030	LOC108161306|XP_017151015.1|DMIR	LOC117901334|XP_034667933.1|DSUB
OG0000030	LOC108161304|XP_017151013.1|DMIR	LOC117901337|XP_034667938.1|DSUB
OG0000030	LOC108161303|XP_017151011.1|DMIR	LOC117901339|XP_034667940.1|DSUB
OG0000030	LOC108161305|XP_017151014.1|DMIR	LOC117901335|XP_034667935.1|DSUB
OG0000030	LOC108161162|XP_017150872.2|DMIR	LOC117901974|XP_034668869.1|DSUB
OG0000030	LOC108160793|XP_017150492.1|DMIR	LOC117890851|XP_034651829.1|DSUB, LOC117891095|XP_034652169.1|DSUB, LOC117890674|XP_034651546.1|DSUB
OG0000030	LOC108151546|XP_033246807.1|DMIR	LOC117903801|XP_034672130.1|DSUB
OG0000030	LOC108154542|XP_017140365.1|DMIR	LOC117903197|XP_034670973.1|DSUB
OG0000031	LOC108161610|XP_017151398.1|DMIR	LOC117900916|XP_034667369.1|DSUB
OG0000032	LOC108156619|XP_017143664.1|DMIR	LOC117898600|XP_034664039.1|DSUB
OG0000032	LOC108157651|XP_017145290.1|DMIR	LOC117898601|XP_034664041.1|DSUB
OG0000032	LOC108156621|XP_017143666.1|DMIR	LOC117898606|XP_034664047.1|DSUB
OG0000032	LOC108156620|XP_017143665.1|DMIR	LOC117898595|XP_034664033.1|DSUB
OG0000032	LOC108157634|XP_017145264.1|DMIR	LOC117898599|XP_034664038.1|DSUB, LOC117898598|XP_034664036.1|DSUB
OG0000032	LOC108156618|XP_017143663.1|DMIR	LOC117898597|XP_034664035.1|DSUB
OG0000033	LOC108156558|XP_017143572.1|DMIR	LOC117899465|XP_034665372.1|DSUB
OG0000033	LOC117189759|XP_033250731.1|DMIR, LOC108159420|XP_017148176.1|DMIR	LOC117891426|XP_034652788.1|DSUB
OG0000033	LOC117187710|XP_033246345.1|DMIR, LOC108159419|XP_017148175.2|DMIR	LOC117891425|XP_034652787.1|DSUB
OG0000033	LOC108153999|XP_033244121.1|DMIR	LOC117897820|XP_034662764.1|DSUB
OG0000034	LOC108164271|XP_017155403.1|DMIR	LOC117902583|XP_034669972.1|DSUB
OG0000034	LOC108164069|XP_033249364.1|DMIR	LOC117902582|XP_034669970.1|DSUB
OG0000034	LOC117185901|XP_033249912.1|DMIR, LOC108162133|XP_017152203.1|DMIR, LOC108162132|XP_017152201.1|DMIR	LOC117902354|XP_034669556.1|DSUB, LOC117902355|XP_034669558.1|DSUB
OG0000034	LOC108162131|XP_017152200.1|DMIR	LOC117902353|XP_034669555.1|DSUB
OG0000036	LOC108157733|XP_017145397.1|DMIR	LOC117898005|XP_034663024.1|DSUB
OG0000036	LOC117187198|XP_033245230.1|DMIR	LOC117896918|XP_034661349.1|DSUB
OG0000036	LOC108157106|XP_017144468.1|DMIR	LOC117897457|XP_034662194.1|DSUB
OG0000036	LOC108155635|XP_017142061.1|DMIR	LOC117899046|XP_034664697.1|DSUB
OG0000037	LOC108160263|XP_017149626.1|DMIR	LOC117890311|XP_034650989.1|DSUB
