Orthogroup	DMIR.longest_only	HILL.longest_only
OG0000006	LOC117187301|XP_033245562.1|DMIR	LOC119657871|XP_037920927.1|HILL, LOC119656837|XP_037919414.1|HILL, LOC119657991|XP_037921137.1|HILL, LOC119657007|XP_037919677.1|HILL, LOC119656838|XP_037919415.1|HILL, LOC119656769|XP_037919278.1|HILL, LOC119657047|XP_037919729.1|HILL, LOC119656780|XP_037919291.1|HILL, LOC119658074|XP_037921262.1|HILL, LOC119656839|XP_037919416.1|HILL, LOC119656767|XP_037919276.1|HILL, LOC119656768|XP_037919277.1|HILL, LOC119657238|XP_037919981.1|HILL
OG0000007	LOC108153040|XP_017138288.1|DMIR, LOC108153675|XP_017139280.1|DMIR, LOC108165331|XP_017156854.2|DMIR, LOC108152481|XP_017137344.1|DMIR, LOC108152482|XP_017137345.1|DMIR, LOC108163948|XP_017154978.1|DMIR, LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR, LOC117187389|XP_033245847.1|DMIR, LOC117187383|XP_033245816.1|DMIR, LOC108157498|XP_033245840.1|DMIR, LOC108157499|XP_017145088.2|DMIR, LOC108164248|XP_017155372.1|DMIR, LOC108165521|XP_017157067.1|DMIR, LOC108164169|XP_017155268.2|DMIR, LOC108152483|XP_017137346.1|DMIR, LOC108152484|XP_017137347.1|DMIR	LOC119653460|XP_037913999.1|HILL
OG0000008	LOC108154982|XP_017141010.1|DMIR	LOC119660223|XP_037924589.1|HILL
OG0000008	LOC108151536|XP_017135679.1|DMIR	LOC119649590|XP_037907727.1|HILL
OG0000008	LOC108161577|XP_017151355.1|DMIR	LOC119652756|XP_037912988.1|HILL
OG0000008	LOC108151539|XP_017135683.2|DMIR	LOC119649591|XP_037907728.1|HILL
OG0000008	LOC108154402|XP_017140161.1|DMIR, LOC108153895|XP_033244232.1|DMIR, LOC108154495|XP_017140285.1|DMIR	LOC119651582|XP_037911149.1|HILL, LOC119652755|XP_037912986.1|HILL, LOC119652753|XP_037912981.1|HILL, LOC119652754|XP_037912983.1|HILL, LOC119652763|XP_037912999.1|HILL, LOC119652764|XP_037913000.1|HILL, LOC119652762|XP_037912998.1|HILL, LOC119652766|XP_037913002.1|HILL, LOC119652758|XP_037912993.1|HILL, LOC119652757|XP_037912991.1|HILL, LOC119652761|XP_037912997.1|HILL, LOC119652760|XP_037912996.1|HILL, LOC119652759|XP_037912994.1|HILL, LOC119652765|XP_037913001.1|HILL
OG0000008	LOC108154515|XP_017140305.2|DMIR, LOC108153896|XP_017139483.1|DMIR, LOC108154491|XP_017140280.1|DMIR	LOC119652768|XP_037913003.1|HILL, LOC119652769|XP_037913004.1|HILL
OG0000009	LOC108157813|XP_017145500.1|DMIR, LOC108154360|XP_017140115.1|DMIR, LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR, LOC108157842|XP_017145534.1|DMIR, LOC108157418|XP_017144958.2|DMIR, LOC108157419|XP_017144960.2|DMIR, LOC108154524|XP_017140312.1|DMIR, LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR, LOC108154377|XP_017140130.1|DMIR, LOC108160943|XP_017150721.1|DMIR, LOC108158336|XP_017146065.1|DMIR	LOC119656917|XP_037919537.1|HILL, LOC119657433|XP_037920264.1|HILL, LOC119657255|XP_037920011.1|HILL, LOC119657903|XP_037920989.1|HILL, LOC119657500|XP_037920362.1|HILL, LOC119657735|XP_037920707.1|HILL, LOC119657855|XP_037920908.1|HILL
OG0000010	LOC117187310|XP_033245574.1|DMIR, LOC108156705|XP_033245573.1|DMIR	LOC119656845|XP_037919421.1|HILL
OG0000010	LOC117187315|XP_033245579.1|DMIR, LOC108156795|XP_017143963.1|DMIR	LOC119656775|XP_037919284.1|HILL
OG0000010	LOC117187316|XP_033245580.1|DMIR	LOC119656847|XP_037919426.1|HILL
OG0000011	LOC117185903|XP_033249904.1|DMIR	LOC119654488|XP_037915839.1|HILL
OG0000011	LOC117185695|XP_017152271.2|DMIR, LOC108163065|XP_017153628.2|DMIR, LOC117188829|XP_033249173.1|DMIR, LOC108161855|XP_033249172.1|DMIR, LOC108164675|XP_017156017.1|DMIR, LOC108162189|XP_033249910.1|DMIR, LOC108162187|XP_017152275.1|DMIR, LOC108162186|XP_017152273.1|DMIR, LOC117188852|XP_033249240.1|DMIR, LOC108161557|XP_017151330.1|DMIR, LOC108163629|XP_017154523.1|DMIR, LOC108162188|XP_017152278.1|DMIR, LOC108163972|XP_017155018.1|DMIR, LOC117185693|XP_017154036.1|DMIR, LOC117188957|XP_033249531.1|DMIR, LOC108162812|XP_017153212.1|DMIR, LOC108163322|XP_033249532.1|DMIR, LOC108162815|XP_017153219.1|DMIR, LOC108165384|XP_017156911.1|DMIR, LOC108153161|XP_017138453.1|DMIR, LOC108154131|XP_017139754.1|DMIR	LOC119646989|XP_037903630.1|HILL
OG0000012	LOC108159199|XP_017147755.1|DMIR, LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR, LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR, LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR, LOC108161008|XP_017150804.1|DMIR, LOC117185969|XP_033248320.1|DMIR, LOC108157993|XP_033248087.1|DMIR, LOC108160910|XP_017150675.1|DMIR, LOC108158925|XP_017147218.1|DMIR, LOC108158929|XP_017147224.1|DMIR, LOC108158928|XP_017147221.1|DMIR, LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR, LOC108158927|XP_017147219.1|DMIR	LOC119646453|XP_037902832.1|HILL, LOC119646909|XP_037903508.1|HILL, LOC119646192|XP_037902503.1|HILL, LOC119661604|XP_037926934.1|HILL
OG0000013	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR	LOC119654191|XP_037915315.1|HILL
OG0000013	LOC108152903|XP_017138042.1|DMIR	LOC119655345|XP_037917122.1|HILL
OG0000013	LOC108157123|XP_017144495.1|DMIR, LOC108156384|XP_017143289.1|DMIR	LOC119659716|XP_037923899.1|HILL
OG0000013	LOC108154911|XP_017140853.2|DMIR, LOC117187087|XP_033244842.1|DMIR, LOC117187120|XP_033245008.1|DMIR, LOC117187121|XP_033245009.1|DMIR, LOC108154243|XP_017139966.2|DMIR, LOC108154002|XP_033245010.1|DMIR	LOC119653206|XP_037913702.1|HILL, LOC119647870|XP_037905068.1|HILL, LOC119647853|XP_037905048.1|HILL, LOC119647892|XP_037905119.1|HILL, LOC119647905|XP_037905141.1|HILL, LOC119651365|XP_037910867.1|HILL, LOC119651364|XP_037910866.1|HILL, LOC119651189|XP_037910555.1|HILL, LOC119651188|XP_037910553.1|HILL
OG0000016	LOC108156024|XP_017142762.1|DMIR	LOC119657471|XP_037920318.1|HILL
OG0000016	LOC108155657|XP_017142098.1|DMIR	LOC119659313|XP_037923259.1|HILL
OG0000016	LOC108154361|XP_017140118.1|DMIR	LOC119646467|XP_037902844.1|HILL
OG0000016	LOC108156493|XP_017143475.1|DMIR	LOC119653602|XP_037914284.1|HILL
OG0000016	LOC108150995|XP_017134834.1|DMIR	LOC119654963|XP_037916552.1|HILL
OG0000017	LOC108153009|XP_017138281.1|DMIR, LOC108160150|XP_017149453.1|DMIR, LOC108159969|XP_017149141.1|DMIR, LOC108158038|XP_017145672.2|DMIR, LOC108154022|XP_017139603.2|DMIR, LOC117191555|XP_033252276.1|DMIR, LOC108160759|XP_017150448.1|DMIR, LOC108159970|XP_017149142.1|DMIR, LOC108157934|XP_017145566.1|DMIR, LOC108161535|XP_017151304.1|DMIR, LOC108161536|XP_017151305.1|DMIR, LOC108161534|XP_017151303.1|DMIR	LOC119654115|XP_037915205.1|HILL
OG0000018	LOC108150828|XP_017134625.1|DMIR	LOC119648925|XP_037906759.1|HILL, LOC119650136|XP_037908596.1|HILL, LOC119647978|XP_037905279.1|HILL, LOC119647977|XP_037905278.1|HILL, LOC119648854|XP_037906659.1|HILL, LOC119650137|XP_037908597.1|HILL, LOC119647979|XP_037905280.1|HILL, LOC119648778|XP_037906540.1|HILL
OG0000018	LOC108165544|XP_017157106.1|DMIR, LOC108150791|XP_017134583.1|DMIR, LOC108150854|XP_017134645.1|DMIR, LOC108150808|XP_017134601.1|DMIR, LOC108165552|XP_017157116.1|DMIR, LOC108165550|XP_017157115.1|DMIR, LOC108150800|XP_017134593.1|DMIR, LOC108150838|XP_017134636.2|DMIR, LOC108165543|XP_017157105.1|DMIR	LOC119647980|XP_037905281.1|HILL
OG0000019	LOC108157046|XP_017144351.1|DMIR, LOC108157045|XP_017144349.1|DMIR, LOC108157044|XP_017144348.1|DMIR, LOC108157037|XP_017144339.1|DMIR, LOC108157043|XP_017144347.2|DMIR, LOC108157041|XP_017144346.1|DMIR, LOC108153982|XP_033245000.1|DMIR, LOC108157040|XP_017144345.2|DMIR	LOC119654033|XP_037915123.1|HILL, LOC119654859|XP_037916372.1|HILL, LOC119654034|XP_037915124.1|HILL, LOC119661618|XP_037926966.1|HILL, LOC119661617|XP_037926965.1|HILL, LOC119646354|XP_037902719.1|HILL, LOC119659616|XP_037923723.1|HILL, LOC119646486|XP_037902875.1|HILL, LOC119661575|XP_037926902.1|HILL, LOC119661620|XP_037926968.1|HILL, LOC119661546|XP_037926859.1|HILL, LOC119661468|XP_037926759.1|HILL, LOC119646495|XP_037902881.1|HILL, LOC119646478|XP_037902863.1|HILL, LOC119646838|XP_037903383.1|HILL, LOC119647060|XP_037903745.1|HILL, LOC119654607|XP_037916010.1|HILL, LOC119646349|XP_037902711.1|HILL, LOC119654616|XP_037916020.1|HILL, LOC119646454|XP_037902833.1|HILL, LOC119646730|XP_037903239.1|HILL, LOC119646355|XP_037902720.1|HILL, LOC119661465|XP_037926754.1|HILL
OG0000020	LOC108156412|XP_017143346.1|DMIR, LOC108159642|XP_033248178.1|DMIR	LOC119651336|XP_037910813.1|HILL, LOC119651303|XP_037910757.1|HILL, LOC119652529|XP_037912658.1|HILL, LOC119651721|XP_037911371.1|HILL, LOC119651403|XP_037910918.1|HILL, LOC119653137|XP_037913596.1|HILL, LOC119652736|XP_037912961.1|HILL
OG0000020	LOC108163672|XP_017154587.1|DMIR, LOC108155178|XP_017141337.1|DMIR, LOC108156137|XP_017142939.1|DMIR, LOC108163835|XP_033249247.1|DMIR, LOC108163643|XP_017154542.1|DMIR	LOC119659545|XP_037923619.1|HILL, LOC119659308|XP_037923249.1|HILL, LOC119659346|XP_037923319.1|HILL, LOC119659002|XP_037922815.1|HILL, LOC119659171|XP_037923052.1|HILL
OG0000021	LOC108164567|XP_033246575.1|DMIR	LOC119653674|XP_037914437.1|HILL
OG0000021	LOC108156061|XP_017142833.1|DMIR	LOC119660522|XP_037925071.1|HILL
OG0000022	LOC108158428|XP_017146199.1|DMIR, LOC117193272|XP_033253907.1|DMIR, LOC117193269|XP_033253905.1|DMIR	LOC119654918|XP_037916493.1|HILL, LOC119654411|XP_037915727.1|HILL, LOC119654410|XP_037915726.1|HILL
OG0000022	LOC108152468|XP_017137324.1|DMIR, LOC108152474|XP_017137333.2|DMIR, LOC117186204|XP_033242420.1|DMIR, LOC108152475|XP_017137334.2|DMIR, LOC108152465|XP_017137322.1|DMIR, LOC108152467|XP_017137323.2|DMIR, LOC108152472|XP_017137329.2|DMIR, LOC108152476|XP_017137336.1|DMIR, LOC108152473|XP_017137331.1|DMIR, LOC108152470|XP_017137327.1|DMIR, LOC108152469|XP_017137325.1|DMIR, LOC108152471|XP_017137328.1|DMIR	LOC119655011|XP_037916609.1|HILL, LOC119654650|XP_037916066.1|HILL, LOC119655010|XP_037916608.1|HILL, LOC119655009|XP_037916606.1|HILL, LOC119654865|XP_037916382.1|HILL, LOC119654544|XP_037915916.1|HILL, LOC119654625|XP_037916025.1|HILL, LOC119654694|XP_037916134.1|HILL
OG0000023	LOC108153857|XP_033244801.1|DMIR, LOC108155686|XP_017142144.1|DMIR, LOC108155685|XP_017142143.1|DMIR, LOC108158830|XP_017147022.1|DMIR, LOC108153856|XP_033244802.1|DMIR, LOC108157164|XP_017144562.1|DMIR, LOC108156708|XP_017143845.1|DMIR, LOC108156707|XP_017143844.1|DMIR, LOC108156709|XP_033245059.1|DMIR	LOC119661138|XP_037926268.1|HILL, LOC119658877|XP_037922580.1|HILL, LOC119655185|XP_037916880.1|HILL
OG0000024	LOC108160774|XP_017150465.1|DMIR, LOC117193757|XP_033254378.1|DMIR, LOC108160813|XP_017150525.2|DMIR, LOC108160883|XP_017150641.1|DMIR, LOC117194102|XP_033254634.1|DMIR, LOC108160812|XP_017150524.1|DMIR, LOC108161382|XP_017151119.1|DMIR, LOC117194080|XP_033254609.1|DMIR, LOC108160979|XP_017150769.1|DMIR, LOC108159455|XP_017148242.1|DMIR	LOC119655586|XP_037917457.1|HILL
OG0000025	LOC108157728|XP_017145391.1|DMIR	LOC119656929|XP_037919551.1|HILL
OG0000026	LOC108150850|XP_017134646.1|DMIR	LOC119659564|XP_037923645.1|HILL, LOC119661498|XP_037926792.1|HILL, LOC119659988|XP_037924291.1|HILL, LOC119661156|XP_037926296.1|HILL, LOC119659252|XP_037923171.1|HILL, LOC119646680|XP_037903163.1|HILL, LOC119658440|XP_037921774.1|HILL
OG0000026	LOC108165129|XP_017156683.1|DMIR, LOC108157803|XP_017145484.1|DMIR, LOC108155726|XP_017142223.1|DMIR, LOC108154308|XP_017140053.1|DMIR, LOC108157162|XP_017144561.1|DMIR	LOC119651317|XP_037910776.1|HILL, LOC119654936|XP_037916517.1|HILL, LOC119646826|XP_037903373.1|HILL, LOC119646827|XP_037903374.1|HILL, LOC119657211|XP_037919952.1|HILL, LOC119653441|XP_037913962.1|HILL, LOC119653448|XP_037913983.1|HILL, LOC119653445|XP_037913971.1|HILL, LOC119659165|XP_037923049.1|HILL, LOC119653403|XP_037913899.1|HILL, LOC119653384|XP_037913865.1|HILL, LOC119661435|XP_037926709.1|HILL, LOC119661341|XP_037926570.1|HILL, LOC119653369|XP_037913843.1|HILL, LOC119653378|XP_037913854.1|HILL, LOC119653334|XP_037913834.1|HILL, LOC119653413|XP_037913912.1|HILL, LOC119653427|XP_037913936.1|HILL, LOC119653391|XP_037913879.1|HILL, LOC119660889|XP_037925747.1|HILL, LOC119661656|XP_037927018.1|HILL, LOC119661352|XP_037926586.1|HILL, LOC119646216|XP_037902530.1|HILL, LOC119653394|XP_037913888.1|HILL, LOC119646839|XP_037903384.1|HILL, LOC119653436|XP_037913948.1|HILL, LOC119661382|XP_037926628.1|HILL
OG0000027	LOC108162949|XP_017153433.1|DMIR	LOC119648054|XP_037905487.1|HILL, LOC119659272|XP_037923208.1|HILL, LOC119659409|XP_037923414.1|HILL, LOC119648000|XP_037905353.1|HILL, LOC119657718|XP_037920693.1|HILL, LOC119647038|XP_037903710.1|HILL, LOC119659889|XP_037924142.1|HILL, LOC119647037|XP_037903709.1|HILL, LOC119659553|XP_037923634.1|HILL, LOC119647938|XP_037905260.1|HILL, LOC119648119|XP_037905611.1|HILL, LOC119648182|XP_037905736.1|HILL, LOC119648251|XP_037905862.1|HILL, LOC119661183|XP_037926329.1|HILL, LOC119661007|XP_037926070.1|HILL, LOC119661237|XP_037926394.1|HILL, LOC119661221|XP_037926374.1|HILL, LOC119661232|XP_037926389.1|HILL, LOC119646128|XP_037902406.1|HILL, LOC119660291|XP_037924694.1|HILL, LOC119661196|XP_037926346.1|HILL, LOC119661307|XP_037926527.1|HILL, LOC119657041|XP_037919726.1|HILL, LOC119661547|XP_037926860.1|HILL, LOC119661024|XP_037926109.1|HILL
OG0000027	LOC108162947|XP_017153431.1|DMIR	LOC119661224|XP_037926378.1|HILL
OG0000028	LOC108165232|XP_017156760.1|DMIR, LOC117186464|XP_033243221.1|DMIR, LOC108165418|XP_033243407.1|DMIR, LOC108165419|XP_017156946.1|DMIR, LOC108165421|XP_017156949.1|DMIR, LOC108151302|XP_017135327.1|DMIR	LOC119657461|XP_037920305.1|HILL, LOC119649301|XP_037907325.1|HILL, LOC119649056|XP_037906965.1|HILL, LOC119649153|XP_037907092.1|HILL, LOC119649194|XP_037907158.1|HILL, LOC119650166|XP_037908640.1|HILL, LOC119650165|XP_037908639.1|HILL, LOC119650164|XP_037908638.1|HILL
OG0000029	LOC117191657|XP_033252354.1|DMIR, LOC108158000|XP_017145632.1|DMIR, LOC117190365|XP_033251334.1|DMIR, LOC108157998|XP_017145630.1|DMIR, LOC108154578|XP_017140369.1|DMIR, LOC108150820|XP_017134616.1|DMIR	LOC119655907|XP_037917996.1|HILL, LOC119649793|XP_037908026.1|HILL, LOC119649788|XP_037908023.1|HILL, LOC119649792|XP_037908025.1|HILL, LOC119649789|XP_037908024.1|HILL, LOC119649787|XP_037908020.1|HILL
OG0000030	LOC108151546|XP_033246807.1|DMIR	LOC119655438|XP_037917260.1|HILL, LOC119655923|XP_037918019.1|HILL
OG0000030	LOC108154542|XP_017140365.1|DMIR	LOC119657614|XP_037920544.1|HILL, LOC119658220|XP_037921414.1|HILL, LOC119652152|XP_037912025.1|HILL, LOC119651962|XP_037911752.1|HILL, LOC119652153|XP_037912026.1|HILL, LOC119651872|XP_037911606.1|HILL, LOC119652262|XP_037912171.1|HILL, LOC119652159|XP_037912033.1|HILL, LOC119652156|XP_037912029.1|HILL, LOC119652154|XP_037912027.1|HILL, LOC119652161|XP_037912035.1|HILL, LOC119652155|XP_037912028.1|HILL, LOC119652157|XP_037912030.1|HILL, LOC119652160|XP_037912034.1|HILL, LOC119652158|XP_037912032.1|HILL, LOC119652148|XP_037912021.1|HILL, LOC119651769|XP_037911438.1|HILL, LOC119652149|XP_037912022.1|HILL, LOC119652150|XP_037912023.1|HILL, LOC119651933|XP_037911698.1|HILL, LOC119651787|XP_037911474.1|HILL, LOC119652304|XP_037912242.1|HILL, LOC119652276|XP_037912196.1|HILL, LOC119652147|XP_037912020.1|HILL, LOC119651927|XP_037911689.1|HILL, LOC119651487|XP_037911028.1|HILL, LOC119652771|XP_037913007.1|HILL, LOC119652162|XP_037912036.1|HILL, LOC119651706|XP_037911347.1|HILL
OG0000031	LOC108163859|XP_017154864.1|DMIR, LOC108161143|XP_033248838.1|DMIR, LOC108161141|XP_033248476.1|DMIR	LOC119654438|XP_037915765.1|HILL
OG0000031	LOC108161610|XP_017151398.1|DMIR	LOC119655224|XP_037916931.1|HILL
OG0000032	LOC108156619|XP_017143664.1|DMIR, LOC108157651|XP_017145290.1|DMIR, LOC108156621|XP_017143666.1|DMIR, LOC108156620|XP_017143665.1|DMIR, LOC108157634|XP_017145264.1|DMIR, LOC108156618|XP_017143663.1|DMIR	LOC119651266|XP_037910695.1|HILL, LOC119650963|XP_037910145.1|HILL, LOC119651265|XP_037910694.1|HILL
OG0000034	LOC108164271|XP_017155403.1|DMIR, LOC108164069|XP_033249364.1|DMIR, LOC117185901|XP_033249912.1|DMIR, LOC108162133|XP_017152203.1|DMIR, LOC108162132|XP_017152201.1|DMIR, LOC108162131|XP_017152200.1|DMIR	LOC119650142|XP_037908607.1|HILL, LOC119661741|XP_037927134.1|HILL, LOC119661157|XP_037926297.1|HILL, LOC119650123|XP_037908580.1|HILL, LOC119655065|XP_037916718.1|HILL, LOC119650150|XP_037908619.1|HILL, LOC119661231|XP_037926387.1|HILL, LOC119650155|XP_037908632.1|HILL, LOC119646378|XP_037902744.1|HILL, LOC119654563|XP_037915939.1|HILL, LOC119655089|XP_037916716.1|HILL, LOC119655088|XP_037916715.1|HILL, LOC119653928|XP_037915016.1|HILL, LOC119655873|XP_037917931.1|HILL, LOC119655670|XP_037917586.1|HILL
OG0000036	LOC108157733|XP_017145397.1|DMIR	LOC119652944|XP_037913262.1|HILL, LOC119650836|XP_037909905.1|HILL
OG0000036	LOC117187198|XP_033245230.1|DMIR	LOC119652948|XP_037913267.1|HILL, LOC119651663|XP_037911279.1|HILL, LOC119650637|XP_037909485.1|HILL, LOC119653054|XP_037913458.1|HILL, LOC119650635|XP_037909483.1|HILL
