Orthogroup	DMIR.longest_only	DMAU.longest_only
OG0000002	LOC117192466|XP_033253050.1|DMIR, LOC108159522|XP_017148377.1|DMIR	LOC117135906|XP_033152363.1|DMAU
OG0000002	LOC108163440|XP_017154213.2|DMIR, LOC117188921|XP_033249395.1|DMIR	LOC117149870|XP_033172720.1|DMAU
OG0000002	LOC108152350|XP_017137109.1|DMIR	LOC117140283|XP_033159002.1|DMAU
OG0000002	LOC108161232|XP_017150945.1|DMIR	LOC117136934|XP_033153971.1|DMAU
OG0000003	LOC108160528|XP_017150077.1|DMIR	LOC117136850|XP_033153839.1|DMAU, LOC117137895|XP_033155524.1|DMAU
OG0000003	LOC108160529|XP_017150078.1|DMIR	LOC117145313|XP_033166799.1|DMAU, LOC117137897|XP_033155527.1|DMAU
OG0000003	LOC108160375|XP_017149841.1|DMIR	LOC117136364|XP_033153130.1|DMAU
OG0000003	LOC108160594|XP_033252769.1|DMIR, LOC117187951|XP_033246844.1|DMIR, LOC108158057|XP_033247543.1|DMIR	LOC117136849|XP_033153838.1|DMAU
OG0000003	LOC108160818|XP_017150534.1|DMIR	LOC117137674|XP_033155124.1|DMAU
OG0000003	LOC108160275|XP_017149646.1|DMIR	LOC117136851|XP_033153841.1|DMAU
OG0000003	LOC117193381|XP_033253996.1|DMIR, LOC108160276|XP_017149647.1|DMIR	LOC117137104|XP_033154281.1|DMAU
OG0000003	LOC108160277|XP_033246842.1|DMIR, LOC108160733|XP_017150409.1|DMIR	LOC117137102|XP_033154279.1|DMAU, LOC117137103|XP_033154280.1|DMAU
OG0000003	LOC108163634|XP_017154532.1|DMIR	LOC117138777|XP_033156858.1|DMAU
OG0000007	LOC108153040|XP_017138288.1|DMIR	LOC117141087|XP_033160294.1|DMAU
OG0000007	LOC108152481|XP_017137344.1|DMIR	LOC117142070|XP_033161841.1|DMAU
OG0000007	LOC108152482|XP_017137345.1|DMIR	LOC117140666|XP_033159604.1|DMAU, LOC117139205|XP_033157267.1|DMAU, LOC117140665|XP_033159603.1|DMAU
OG0000007	LOC108163948|XP_017154978.1|DMIR	LOC117150742|XP_033173667.1|DMAU
OG0000007	LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR	LOC117136894|XP_033153899.1|DMAU
OG0000007	LOC108164248|XP_017155372.1|DMIR	LOC117139714|XP_033158125.1|DMAU
OG0000007	LOC108165521|XP_017157067.1|DMIR	LOC117139147|XP_033157196.1|DMAU
OG0000007	LOC108164169|XP_017155268.2|DMIR	LOC117139091|XP_033157106.1|DMAU
OG0000007	LOC108152483|XP_017137346.1|DMIR	LOC117142071|XP_033161842.1|DMAU
OG0000007	LOC108152484|XP_017137347.1|DMIR	LOC117142072|XP_033161843.1|DMAU
OG0000008	LOC108154982|XP_017141010.1|DMIR	LOC117142833|XP_033162955.1|DMAU
OG0000008	LOC108151537|XP_017135681.1|DMIR	LOC117140615|XP_033159521.1|DMAU
OG0000008	LOC108151536|XP_017135679.1|DMIR	LOC117140614|XP_033159520.1|DMAU
OG0000008	LOC108161577|XP_017151355.1|DMIR	LOC117150767|XP_033173694.1|DMAU
OG0000008	LOC108151539|XP_017135683.2|DMIR	LOC117140617|XP_033159524.1|DMAU
OG0000008	LOC108154402|XP_017140161.1|DMIR	LOC117145079|XP_033166487.1|DMAU, LOC117144385|XP_033165410.1|DMAU
OG0000008	LOC108153895|XP_033244232.1|DMIR	LOC117143719|XP_033164408.1|DMAU
OG0000008	LOC108153896|XP_017139483.1|DMIR	LOC117144386|XP_033165411.1|DMAU
OG0000008	LOC108154491|XP_017140280.1|DMIR	LOC117143928|XP_033164736.1|DMAU
OG0000009	LOC108157813|XP_017145500.1|DMIR	LOC117145423|XP_033166959.1|DMAU
OG0000009	LOC108154360|XP_017140115.1|DMIR	LOC117143759|XP_033164466.1|DMAU
OG0000009	LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR	LOC117145633|XP_033167244.1|DMAU, LOC117145422|XP_033166958.1|DMAU
OG0000009	LOC108157842|XP_017145534.1|DMIR, LOC108157418|XP_017144958.2|DMIR, LOC108157419|XP_017144960.2|DMIR, LOC108154524|XP_017140312.1|DMIR	LOC117141397|XP_033160707.1|DMAU, LOC117141398|XP_033160708.1|DMAU
OG0000009	LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR	LOC117136735|XP_033153656.1|DMAU
OG0000009	LOC108154377|XP_017140130.1|DMIR	LOC117143616|XP_033164265.1|DMAU
OG0000009	LOC108160943|XP_017150721.1|DMIR	LOC117135792|XP_033152175.1|DMAU
OG0000009	LOC108158336|XP_017146065.1|DMIR	LOC117138502|XP_033156525.1|DMAU, LOC117138499|XP_033156519.1|DMAU
OG0000010	LOC117187313|XP_033245577.1|DMIR, LOC108156407|XP_017143340.1|DMIR, LOC117187311|XP_033245575.1|DMIR, LOC117187310|XP_033245574.1|DMIR, LOC108156705|XP_033245573.1|DMIR, LOC117187315|XP_033245579.1|DMIR, LOC108156795|XP_017143963.1|DMIR	LOC117142722|XP_033162774.1|DMAU
OG0000011	LOC117185695|XP_017152271.2|DMIR, LOC108163065|XP_017153628.2|DMIR, LOC117188829|XP_033249173.1|DMIR, LOC108161855|XP_033249172.1|DMIR, LOC108164675|XP_017156017.1|DMIR, LOC108162189|XP_033249910.1|DMIR, LOC108162187|XP_017152275.1|DMIR, LOC108162186|XP_017152273.1|DMIR, LOC117188852|XP_033249240.1|DMIR, LOC108161557|XP_017151330.1|DMIR, LOC108163629|XP_017154523.1|DMIR, LOC108162188|XP_017152278.1|DMIR, LOC108163972|XP_017155018.1|DMIR, LOC117185693|XP_017154036.1|DMIR, LOC117188957|XP_033249531.1|DMIR, LOC108162812|XP_017153212.1|DMIR, LOC108163322|XP_033249532.1|DMIR, LOC108162815|XP_017153219.1|DMIR	LOC117148149|XP_033171274.1|DMAU, LOC117148158|XP_033171286.1|DMAU, LOC117138313|XP_033156221.1|DMAU, LOC117140362|XP_033159107.1|DMAU, LOC117142406|XP_033162250.1|DMAU, LOC117150358|XP_033173108.1|DMAU, LOC117135201|XP_033151176.1|DMAU, LOC117148130|XP_033171246.1|DMAU, LOC117148131|XP_033171247.1|DMAU
OG0000011	LOC108165384|XP_017156911.1|DMIR	LOC117141063|XP_033160242.1|DMAU
OG0000011	LOC108153161|XP_017138453.1|DMIR	LOC117141062|XP_033160241.1|DMAU
OG0000011	LOC108154131|XP_017139754.1|DMIR	LOC117143493|XP_033164098.1|DMAU
OG0000012	LOC108159199|XP_017147755.1|DMIR	LOC117136761|XP_033153688.1|DMAU
OG0000012	LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR	LOC117136760|XP_033153687.1|DMAU
OG0000012	LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR	LOC117136898|XP_033153902.1|DMAU
OG0000012	LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR	LOC117137864|XP_033155471.1|DMAU
OG0000012	LOC108161008|XP_017150804.1|DMIR, LOC117185969|XP_033248320.1|DMIR, LOC108157993|XP_033248087.1|DMIR	LOC117137455|XP_033154790.1|DMAU
OG0000012	LOC108160910|XP_017150675.1|DMIR	LOC117136643|XP_033153526.1|DMAU
OG0000012	LOC108158925|XP_017147218.1|DMIR	LOC117136387|XP_033153170.1|DMAU
OG0000012	LOC108158929|XP_017147224.1|DMIR	LOC117136474|XP_033153296.1|DMAU
OG0000012	LOC108158928|XP_017147221.1|DMIR	LOC117136403|XP_033153190.1|DMAU, LOC117138497|XP_033156518.1|DMAU
OG0000012	LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR	LOC117137795|XP_033155358.1|DMAU
OG0000012	LOC108158927|XP_017147219.1|DMIR	LOC117137796|XP_033155359.1|DMAU
OG0000013	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR	LOC117136473|XP_033153295.1|DMAU
OG0000013	LOC108152903|XP_017138042.1|DMIR	LOC117148236|XP_033171424.1|DMAU
OG0000013	LOC108157123|XP_017144495.1|DMIR, LOC108156384|XP_017143289.1|DMIR	LOC117142434|XP_033162286.1|DMAU
OG0000013	LOC108151516|XP_033243870.1|DMIR	LOC117141743|XP_033161255.1|DMAU
OG0000013	LOC108154911|XP_017140853.2|DMIR, LOC117187087|XP_033244842.1|DMIR	LOC117142344|XP_033162152.1|DMAU
OG0000013	LOC117187120|XP_033245008.1|DMIR, LOC117187121|XP_033245009.1|DMIR, LOC108154243|XP_017139966.2|DMIR, LOC108154002|XP_033245010.1|DMIR	LOC117145307|XP_033166793.1|DMAU, LOC117143464|XP_033164066.1|DMAU, LOC117142927|XP_033163116.1|DMAU
OG0000014	LOC117194202|XP_033254747.1|DMIR	LOC117141766|XP_033161286.1|DMAU
OG0000014	LOC117186505|XP_033243277.1|DMIR	LOC117149978|XP_033172760.1|DMAU
OG0000015	LOC117189153|XP_033250113.1|DMIR, LOC108162329|XP_017152508.1|DMIR, LOC108162330|XP_017152509.1|DMIR	LOC117137056|XP_033154159.1|DMAU
OG0000016	LOC108156024|XP_017142762.1|DMIR	LOC117143253|XP_033163704.1|DMAU
OG0000016	LOC108160302|XP_017149703.1|DMIR, LOC117190705|XP_033251658.1|DMIR	LOC117136077|XP_033152622.1|DMAU
OG0000016	LOC108155657|XP_017142098.1|DMIR	LOC117144517|XP_033165627.1|DMAU
OG0000016	LOC108159552|XP_017148467.1|DMIR, LOC117192977|XP_033253595.1|DMIR	LOC117137377|XP_033154680.1|DMAU
OG0000016	LOC108154361|XP_017140118.1|DMIR	LOC117148789|XP_033172290.1|DMAU
OG0000016	LOC117193102|XP_033253716.1|DMIR, LOC117194496|XP_033254943.1|DMIR, LOC117195216|XP_033255740.1|DMIR, LOC108159228|XP_017147821.1|DMIR	LOC117135957|XP_033152442.1|DMAU
OG0000016	LOC108156493|XP_017143475.1|DMIR	LOC117145868|XP_033167581.1|DMAU
OG0000016	LOC108150995|XP_017134834.1|DMIR	LOC117140134|XP_033158791.1|DMAU
OG0000017	LOC108153009|XP_017138281.1|DMIR	LOC117146549|XP_033168738.1|DMAU
OG0000017	LOC108160150|XP_017149453.1|DMIR	LOC117138274|XP_033156132.1|DMAU
OG0000017	LOC108159969|XP_017149141.1|DMIR, LOC108158038|XP_017145672.2|DMIR	LOC117136736|XP_033153658.1|DMAU
OG0000017	LOC108154022|XP_017139603.2|DMIR, LOC117191555|XP_033252276.1|DMIR	LOC117144630|XP_033165816.1|DMAU, LOC117144632|XP_033165817.1|DMAU
OG0000017	LOC108160759|XP_017150448.1|DMIR	LOC117137416|XP_033154735.1|DMAU
OG0000017	LOC108159970|XP_017149142.1|DMIR	LOC117136539|XP_033153380.1|DMAU
OG0000017	LOC108157934|XP_017145566.1|DMIR	LOC117137415|XP_033154734.1|DMAU
OG0000017	LOC108161535|XP_017151304.1|DMIR, LOC108161536|XP_017151305.1|DMIR, LOC108161534|XP_017151303.1|DMIR	LOC117150949|XP_033174013.1|DMAU, LOC117139948|XP_033158530.1|DMAU
OG0000018	LOC108150791|XP_017134583.1|DMIR	LOC117141482|XP_033160851.1|DMAU
OG0000018	LOC108150854|XP_017134645.1|DMIR	LOC117141483|XP_033160852.1|DMAU
OG0000018	LOC108150808|XP_017134601.1|DMIR, LOC108165552|XP_017157116.1|DMIR, LOC108165550|XP_017157115.1|DMIR, LOC108150800|XP_017134593.1|DMIR	LOC117140972|XP_033160097.1|DMAU, LOC117139215|XP_033157288.1|DMAU
OG0000019	LOC108157046|XP_017144351.1|DMIR, LOC108157045|XP_017144349.1|DMIR, LOC108157044|XP_017144348.1|DMIR	LOC117143233|XP_033163675.1|DMAU
OG0000019	LOC108157037|XP_017144339.1|DMIR	LOC117143229|XP_033163670.1|DMAU
OG0000019	LOC108157043|XP_017144347.2|DMIR	LOC117143234|XP_033163676.1|DMAU
OG0000019	LOC108157041|XP_017144346.1|DMIR, LOC108153982|XP_033245000.1|DMIR, LOC108157040|XP_017144345.2|DMIR	LOC117143231|XP_033163673.1|DMAU, LOC117143232|XP_033163674.1|DMAU
OG0000020	LOC108156412|XP_017143346.1|DMIR	LOC117143636|XP_033164304.1|DMAU
OG0000020	LOC108159642|XP_033248178.1|DMIR	LOC117136475|XP_033153300.1|DMAU
OG0000020	LOC108163672|XP_017154587.1|DMIR	LOC117139859|XP_033158405.1|DMAU, LOC117138462|XP_033156478.1|DMAU, LOC117140141|XP_033158803.1|DMAU
OG0000020	LOC108155178|XP_017141337.1|DMIR	LOC117145918|XP_033167668.1|DMAU
OG0000020	LOC108156137|XP_017142939.1|DMIR	LOC117143368|XP_033163935.1|DMAU
OG0000020	LOC108163835|XP_033249247.1|DMIR	LOC117135687|XP_033151982.1|DMAU
OG0000020	LOC108163643|XP_017154542.1|DMIR	LOC117139836|XP_033158373.1|DMAU
OG0000021	LOC117188002|XP_033246994.1|DMIR, LOC108160898|XP_017150659.2|DMIR	LOC117135318|XP_033151407.1|DMAU
OG0000021	LOC108159771|XP_017148818.1|DMIR, LOC117193201|XP_033253843.1|DMIR	LOC117150020|XP_033172787.1|DMAU, LOC117150137|XP_033172836.1|DMAU
OG0000021	LOC108159581|XP_017148519.1|DMIR	LOC117136145|XP_033152741.1|DMAU
OG0000021	LOC108160670|XP_017150305.2|DMIR, LOC117188150|XP_033247446.1|DMIR	LOC117136571|XP_033153419.1|DMAU
OG0000021	LOC117185989|XP_033241901.1|DMIR, LOC108162397|XP_033252470.1|DMIR	LOC117136553|XP_033153398.1|DMAU
OG0000021	LOC108160899|XP_017150660.1|DMIR, LOC117193202|XP_033253844.1|DMIR	LOC117149951|XP_033172741.1|DMAU, LOC117149949|XP_033172738.1|DMAU
OG0000021	LOC108164567|XP_033246575.1|DMIR	LOC117146855|XP_033169316.1|DMAU
OG0000021	LOC108156061|XP_017142833.1|DMIR	LOC117142241|XP_033161985.1|DMAU
OG0000021	LOC108156847|XP_017144055.1|DMIR	LOC117143646|XP_033164316.1|DMAU
OG0000021	LOC108164951|XP_017156435.1|DMIR	LOC117148061|XP_033171143.1|DMAU
OG0000022	LOC108158428|XP_017146199.1|DMIR, LOC117193272|XP_033253907.1|DMIR, LOC117193269|XP_033253905.1|DMIR	LOC117138252|XP_033156103.1|DMAU
OG0000022	LOC108152468|XP_017137324.1|DMIR	LOC117139751|XP_033158206.1|DMAU
OG0000022	LOC108152474|XP_017137333.2|DMIR, LOC117186204|XP_033242420.1|DMIR, LOC108152475|XP_017137334.2|DMIR	LOC117139202|XP_033157265.1|DMAU, LOC117139201|XP_033157264.1|DMAU, LOC117139199|XP_033157263.1|DMAU, LOC117139197|XP_033157261.1|DMAU
OG0000022	LOC108152470|XP_017137327.1|DMIR	LOC117139203|XP_033157266.1|DMAU
OG0000022	LOC108152469|XP_017137325.1|DMIR	LOC117139198|XP_033157262.1|DMAU
OG0000023	LOC108153857|XP_033244801.1|DMIR	LOC117144284|XP_033165278.1|DMAU
OG0000023	LOC108155685|XP_017142143.1|DMIR	LOC117144282|XP_033165275.1|DMAU
OG0000023	LOC108158830|XP_017147022.1|DMIR	LOC117135977|XP_033152481.1|DMAU
OG0000023	LOC108153856|XP_033244802.1|DMIR	LOC117145126|XP_033166537.1|DMAU
OG0000023	LOC108157164|XP_017144562.1|DMIR	LOC117144278|XP_033165272.1|DMAU
OG0000023	LOC108156708|XP_017143845.1|DMIR	LOC117144775|XP_033166033.1|DMAU
OG0000023	LOC108156707|XP_017143844.1|DMIR	LOC117144277|XP_033165271.1|DMAU
OG0000023	LOC108156709|XP_033245059.1|DMIR	LOC117144765|XP_033166018.1|DMAU
OG0000024	LOC108160883|XP_017150641.1|DMIR	LOC117137862|XP_033155468.1|DMAU
OG0000024	LOC117194102|XP_033254634.1|DMIR, LOC108160812|XP_017150524.1|DMIR	LOC117136255|XP_033152953.1|DMAU
OG0000024	LOC108161382|XP_017151119.1|DMIR	LOC117150619|XP_033173479.1|DMAU
OG0000024	LOC117194080|XP_033254609.1|DMIR, LOC108160979|XP_017150769.1|DMIR	LOC117136506|XP_033153341.1|DMAU
OG0000024	LOC108159455|XP_017148242.1|DMIR	LOC117135440|XP_033151508.1|DMAU
OG0000025	LOC108162357|XP_017152552.1|DMIR, LOC108157728|XP_017145391.1|DMIR	LOC117143378|XP_033163951.1|DMAU
OG0000026	LOC108150850|XP_017134646.1|DMIR	LOC117148470|XP_033171735.1|DMAU
OG0000026	LOC108162957|XP_033248732.1|DMIR	LOC117135160|XP_033151111.1|DMAU
OG0000026	LOC108165129|XP_017156683.1|DMIR	LOC117146899|XP_033169397.1|DMAU
OG0000026	LOC108157803|XP_017145484.1|DMIR, LOC108155726|XP_017142223.1|DMIR, LOC108154308|XP_017140053.1|DMIR	LOC117142902|XP_033163074.1|DMAU
OG0000026	LOC108157162|XP_017144561.1|DMIR	LOC117145491|XP_033167059.1|DMAU
OG0000027	LOC108162948|XP_017153432.1|DMIR	LOC117142835|XP_033162961.1|DMAU
OG0000027	LOC108162949|XP_017153433.1|DMIR	LOC117140739|XP_033159710.1|DMAU
OG0000027	LOC108162947|XP_017153431.1|DMIR	LOC117150817|XP_033173768.1|DMAU
OG0000028	LOC108165421|XP_017156949.1|DMIR	LOC117139373|XP_033157513.1|DMAU
OG0000028	LOC108151302|XP_017135327.1|DMIR	LOC117141110|XP_033160324.1|DMAU
OG0000029	LOC117191657|XP_033252354.1|DMIR, LOC108158000|XP_017145632.1|DMIR	LOC117136167|XP_033152799.1|DMAU, LOC117136614|XP_033153490.1|DMAU, LOC117135122|XP_033151033.1|DMAU
OG0000029	LOC108154578|XP_017140369.1|DMIR	LOC117144854|XP_033166148.1|DMAU
OG0000029	LOC108150820|XP_017134616.1|DMIR	LOC117140740|XP_033159707.1|DMAU
OG0000030	LOC108161306|XP_017151015.1|DMIR	LOC117150768|XP_033173696.1|DMAU
OG0000030	LOC108161304|XP_017151013.1|DMIR	LOC117137293|XP_033154560.1|DMAU
OG0000030	LOC108161303|XP_017151011.1|DMIR, LOC108161305|XP_017151014.1|DMIR	LOC117150769|XP_033173697.1|DMAU
OG0000030	LOC108161162|XP_017150872.2|DMIR	LOC117143350|XP_033163916.1|DMAU
OG0000030	LOC108160793|XP_017150492.1|DMIR	LOC117137054|XP_033154154.1|DMAU
OG0000030	LOC108151546|XP_033246807.1|DMIR	LOC117148684|XP_033172115.1|DMAU
OG0000030	LOC108154542|XP_017140365.1|DMIR	LOC117148518|XP_033171816.1|DMAU, LOC117148443|XP_033171707.1|DMAU, LOC117148004|XP_033171054.1|DMAU
OG0000031	LOC108163859|XP_017154864.1|DMIR	LOC117144354|XP_033165364.1|DMAU, LOC117137476|XP_033154845.1|DMAU, LOC117145782|XP_033167456.1|DMAU
OG0000031	LOC108161143|XP_033248838.1|DMIR, LOC108161141|XP_033248476.1|DMIR	LOC117138977|XP_033156935.1|DMAU, LOC117135570|XP_033151785.1|DMAU
OG0000031	LOC108161610|XP_017151398.1|DMIR	LOC117150913|XP_033173999.1|DMAU
OG0000032	LOC108156619|XP_017143664.1|DMIR	LOC117145857|XP_033167568.1|DMAU
OG0000032	LOC108157651|XP_017145290.1|DMIR	LOC117145860|XP_033167571.1|DMAU
OG0000032	LOC108156621|XP_017143666.1|DMIR	LOC117145495|XP_033167064.1|DMAU, LOC117145861|XP_033167572.1|DMAU
OG0000032	LOC108156620|XP_017143665.1|DMIR	LOC117145859|XP_033167570.1|DMAU
OG0000033	LOC108156558|XP_017143572.1|DMIR	LOC117144719|XP_033165948.1|DMAU
OG0000033	LOC117189759|XP_033250731.1|DMIR, LOC108159420|XP_017148176.1|DMIR	LOC117138299|XP_033156190.1|DMAU
OG0000033	LOC117187710|XP_033246345.1|DMIR, LOC108159419|XP_017148175.2|DMIR	LOC117138298|XP_033156189.1|DMAU
OG0000033	LOC108153999|XP_033244121.1|DMIR	LOC117140273|XP_033158989.1|DMAU, LOC117144413|XP_033165445.1|DMAU, LOC117144938|XP_033166283.1|DMAU, LOC117137789|XP_033155336.1|DMAU, LOC117137724|XP_033155189.1|DMAU
OG0000034	LOC108164271|XP_017155403.1|DMIR	LOC117138566|XP_033156617.1|DMAU, LOC117141167|XP_033160397.1|DMAU
OG0000034	LOC108164069|XP_033249364.1|DMIR	LOC117150483|XP_033173273.1|DMAU
OG0000034	LOC117185901|XP_033249912.1|DMIR, LOC108162133|XP_017152203.1|DMIR, LOC108162132|XP_017152201.1|DMIR	LOC117149319|XP_033172656.1|DMAU, LOC117143947|XP_033164772.1|DMAU, LOC117145446|XP_033166996.1|DMAU
OG0000034	LOC108162131|XP_017152200.1|DMIR	LOC117143867|XP_033164627.1|DMAU
OG0000035	LOC117186697|XP_033243671.1|DMIR, LOC117186386|XP_033243001.1|DMIR, LOC117186599|XP_033243470.1|DMIR	LOC117149959|XP_033172748.1|DMAU, LOC117139681|XP_033158055.1|DMAU, LOC117138223|XP_033156059.1|DMAU, LOC117138222|XP_033156058.1|DMAU, LOC117143714|XP_033164404.1|DMAU
OG0000036	LOC108157733|XP_017145397.1|DMIR	LOC117145150|XP_033166581.1|DMAU
OG0000036	LOC117187198|XP_033245230.1|DMIR	LOC117145004|XP_033166383.1|DMAU
OG0000036	LOC108157106|XP_017144468.1|DMIR	LOC117145915|XP_033167661.1|DMAU
OG0000036	LOC108155635|XP_017142061.1|DMIR	LOC117145828|XP_033167521.1|DMAU, LOC117145827|XP_033167520.1|DMAU
OG0000037	LOC108160263|XP_017149626.1|DMIR	LOC117137024|XP_033154116.1|DMAU
