Orthogroup	DMIR.longest_only	DHYD.longest_only
OG0000004	LOC108156703|XP_017143841.1|DMIR, LOC117187288|XP_033245550.1|DMIR, LOC117187289|XP_033245551.1|DMIR, LOC117187287|XP_033245549.1|DMIR, LOC117187293|XP_033245555.1|DMIR, LOC117187292|XP_033245554.1|DMIR, LOC117187295|XP_033245557.1|DMIR, LOC117187291|XP_033245553.1|DMIR, LOC117187294|XP_033245556.1|DMIR, LOC117187290|XP_033245552.1|DMIR	LOC115482864|XP_030078974.1|DHYD, LOC115482862|XP_030078972.1|DHYD, LOC115483277|XP_030080480.1|DHYD, LOC115483278|XP_030080481.1|DHYD, LOC115483276|XP_030080479.1|DHYD, LOC115482886|XP_030078995.1|DHYD, LOC115483206|XP_030080327.1|DHYD, LOC115483275|XP_030080478.1|DHYD, LOC115483267|XP_030080472.1|DHYD, LOC115483230|XP_030080434.1|DHYD, LOC115483309|XP_030080546.1|DHYD, LOC115482887|XP_030078996.1|DHYD, LOC115482860|XP_030078970.1|DHYD, LOC115483248|XP_030080453.1|DHYD, LOC115483246|XP_030080451.1|DHYD, LOC115483247|XP_030080452.1|DHYD, LOC115483245|XP_030080449.1|DHYD, LOC115483244|XP_030080448.1|DHYD, LOC115483209|XP_030080334.1|DHYD, LOC115482899|XP_030079007.1|DHYD, LOC115482861|XP_030078971.1|DHYD, LOC115483189|XP_030080234.1|DHYD, LOC115483208|XP_030080332.1|DHYD, LOC115482863|XP_030078973.1|DHYD, LOC115482865|XP_030078975.1|DHYD, LOC115482894|XP_030079003.1|DHYD
OG0000005	LOC117187304|XP_033245566.1|DMIR, LOC117187306|XP_033245568.1|DMIR, LOC117188269|XP_033247714.1|DMIR, LOC117186052|XP_033242023.1|DMIR, LOC108164485|XP_017155735.2|DMIR	LOC115483257|XP_030080462.1|DHYD
OG0000005	LOC117187309|XP_033245571.1|DMIR	LOC115483284|XP_030080487.1|DHYD
OG0000006	LOC117187301|XP_033245562.1|DMIR	LOC115483251|XP_030080456.1|DHYD
OG0000006	LOC117187300|XP_033245561.1|DMIR	LOC115483252|XP_030080457.1|DHYD
OG0000006	LOC117187297|XP_033245558.1|DMIR	LOC115483266|XP_030080471.1|DHYD
OG0000006	LOC108156704|XP_017143842.2|DMIR	LOC115482869|XP_030078979.1|DHYD, LOC115483254|XP_030080459.1|DHYD, LOC115482902|XP_030079009.1|DHYD, LOC115483281|XP_030080484.1|DHYD, LOC115482889|XP_030078998.1|DHYD
OG0000007	LOC108153040|XP_017138288.1|DMIR	LOC111601093|XP_023173297.2|DHYD
OG0000007	LOC108153675|XP_017139280.1|DMIR, LOC108165331|XP_017156854.2|DMIR	LOC111592429|XP_023160382.1|DHYD
OG0000007	LOC108152482|XP_017137345.1|DMIR	LOC111592441|XP_023160393.1|DHYD
OG0000007	LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR	LOC111596952|XP_023167177.2|DHYD
OG0000007	LOC108164248|XP_017155372.1|DMIR	LOC111596951|XP_023167176.2|DHYD
OG0000007	LOC108165521|XP_017157067.1|DMIR, LOC108164169|XP_017155268.2|DMIR	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD
OG0000008	LOC108154982|XP_017141010.1|DMIR	LOC111604267|XP_023178033.1|DHYD
OG0000008	LOC108151537|XP_017135681.1|DMIR	LOC111598804|XP_023169992.1|DHYD
OG0000008	LOC108151536|XP_017135679.1|DMIR	LOC111599437|XP_023170859.2|DHYD
OG0000008	LOC108161577|XP_017151355.1|DMIR	LOC111603756|XP_023177254.2|DHYD
OG0000008	LOC108154402|XP_017140161.1|DMIR	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD
OG0000008	LOC108153895|XP_033244232.1|DMIR	LOC111600832|XP_023172904.2|DHYD
OG0000008	LOC108154515|XP_017140305.2|DMIR	LOC111600831|XP_023172902.2|DHYD
OG0000008	LOC108153896|XP_017139483.1|DMIR	LOC111600808|XP_023172870.1|DHYD
OG0000008	LOC108154491|XP_017140280.1|DMIR	LOC111600811|XP_023172873.1|DHYD
OG0000009	LOC108157813|XP_017145500.1|DMIR	LOC111604985|XP_023179049.1|DHYD
OG0000009	LOC108154360|XP_017140115.1|DMIR	LOC111604987|XP_023179051.2|DHYD
OG0000009	LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD
OG0000009	LOC108157842|XP_017145534.1|DMIR, LOC108157418|XP_017144958.2|DMIR, LOC108157419|XP_017144960.2|DMIR, LOC108154524|XP_017140312.1|DMIR	LOC111603540|XP_030079215.1|DHYD
OG0000009	LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR	LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD
OG0000009	LOC108160943|XP_017150721.1|DMIR	LOC111593549|XP_023162171.2|DHYD
OG0000009	LOC108158336|XP_017146065.1|DMIR	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD
OG0000010	LOC108156705|XP_033245573.1|DMIR	LOC115483264|XP_030080469.1|DHYD
OG0000010	LOC117187315|XP_033245579.1|DMIR, LOC108156795|XP_017143963.1|DMIR	LOC115483272|XP_030080475.1|DHYD, LOC115483287|XP_030080490.1|DHYD, LOC115483262|XP_030080467.1|DHYD
OG0000010	LOC117187312|XP_033245576.1|DMIR	LOC115483288|XP_030080491.1|DHYD, LOC115483286|XP_030080489.1|DHYD, LOC115482881|XP_030078991.1|DHYD
OG0000011	LOC108154131|XP_017139754.1|DMIR	LOC111599147|XP_023170484.2|DHYD
OG0000012	LOC108159199|XP_017147755.1|DMIR	LOC111603849|XP_023177406.2|DHYD
OG0000012	LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR	LOC111603850|XP_023177409.2|DHYD
OG0000012	LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR	LOC111603802|XP_023177320.1|DHYD
OG0000012	LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR	LOC111603848|XP_023177404.2|DHYD
OG0000012	LOC108161008|XP_017150804.1|DMIR, LOC117185969|XP_033248320.1|DMIR, LOC108157993|XP_033248087.1|DMIR, LOC108160910|XP_017150675.1|DMIR	LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD
OG0000012	LOC108158925|XP_017147218.1|DMIR, LOC108158929|XP_017147224.1|DMIR, LOC108158928|XP_017147221.1|DMIR	LOC111597898|XP_023168600.2|DHYD
OG0000012	LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR, LOC108158927|XP_017147219.1|DMIR	LOC111597903|XP_023168607.2|DHYD
OG0000013	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR	LOC111593737|XP_023162498.2|DHYD
OG0000013	LOC108152903|XP_017138042.1|DMIR	LOC111605302|XP_030080103.1|DHYD
OG0000013	LOC108157123|XP_017144495.1|DMIR, LOC108156384|XP_017143289.1|DMIR	LOC111603010|XP_023176183.1|DHYD
OG0000013	LOC108151516|XP_033243870.1|DMIR	LOC111604413|XP_023178237.2|DHYD
OG0000013	LOC108154911|XP_017140853.2|DMIR, LOC117187087|XP_033244842.1|DMIR	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD
OG0000013	LOC117187120|XP_033245008.1|DMIR, LOC117187121|XP_033245009.1|DMIR, LOC108154243|XP_017139966.2|DMIR, LOC108154002|XP_033245010.1|DMIR	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD
OG0000015	LOC108154428|XP_017140186.1|DMIR	LOC111601485|XP_023173841.2|DHYD, LOC111598320|XP_023169285.2|DHYD
OG0000016	LOC108156024|XP_017142762.1|DMIR	LOC111605496|XP_023179814.1|DHYD
OG0000016	LOC108160302|XP_017149703.1|DMIR, LOC117190705|XP_033251658.1|DMIR	LOC111602093|XP_023174795.1|DHYD
OG0000016	LOC108155657|XP_017142098.1|DMIR	LOC111598341|XP_023169316.1|DHYD
OG0000016	LOC108159552|XP_017148467.1|DMIR, LOC117192977|XP_033253595.1|DMIR	LOC111592540|XP_023160594.1|DHYD
OG0000016	LOC108154361|XP_017140118.1|DMIR	LOC111597353|XP_023167768.1|DHYD
OG0000016	LOC117193102|XP_033253716.1|DMIR, LOC117194496|XP_033254943.1|DMIR, LOC117195216|XP_033255740.1|DMIR, LOC108159228|XP_017147821.1|DMIR	LOC111603208|XP_023176475.1|DHYD
OG0000016	LOC108156493|XP_017143475.1|DMIR	LOC111595218|XP_023164600.1|DHYD
OG0000016	LOC108150995|XP_017134834.1|DMIR	LOC111599234|XP_023170599.1|DHYD
OG0000017	LOC108159969|XP_017149141.1|DMIR, LOC108158038|XP_017145672.2|DMIR	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD
OG0000017	LOC108154022|XP_017139603.2|DMIR, LOC117191555|XP_033252276.1|DMIR	LOC111603277|XP_023176557.1|DHYD, LOC111603278|XP_030079652.1|DHYD, LOC111602301|XP_023175069.1|DHYD, LOC111592321|XP_023160210.2|DHYD
OG0000017	LOC108160759|XP_017150448.1|DMIR	LOC111603822|XP_023177351.2|DHYD
OG0000017	LOC108159970|XP_017149142.1|DMIR	LOC111600903|XP_030081002.1|DHYD
OG0000017	LOC108161535|XP_017151304.1|DMIR, LOC108161536|XP_017151305.1|DMIR, LOC108161534|XP_017151303.1|DMIR	LOC111595834|XP_023165510.2|DHYD
OG0000018	LOC108150828|XP_017134625.1|DMIR	LOC111600492|XP_023172388.2|DHYD
OG0000018	LOC108150791|XP_017134583.1|DMIR	LOC111600507|XP_023172403.1|DHYD
OG0000018	LOC108150854|XP_017134645.1|DMIR	LOC111600497|XP_023172393.2|DHYD
OG0000018	LOC108150808|XP_017134601.1|DMIR, LOC108165552|XP_017157116.1|DMIR, LOC108165550|XP_017157115.1|DMIR, LOC108150800|XP_017134593.1|DMIR	LOC111600493|XP_023172389.2|DHYD, LOC111600488|XP_023172383.1|DHYD
OG0000019	LOC108157046|XP_017144351.1|DMIR, LOC108157045|XP_017144349.1|DMIR, LOC108157044|XP_017144348.1|DMIR	LOC111598921|XP_023170159.1|DHYD, LOC111603256|XP_023176531.2|DHYD
OG0000019	LOC108157037|XP_017144339.1|DMIR	LOC111598920|XP_023170158.2|DHYD
OG0000019	LOC108157043|XP_017144347.2|DMIR	LOC111603248|XP_023176523.1|DHYD
OG0000019	LOC108157041|XP_017144346.1|DMIR, LOC108153982|XP_033245000.1|DMIR, LOC108157040|XP_017144345.2|DMIR	LOC111598923|XP_023170162.2|DHYD
OG0000020	LOC108156412|XP_017143346.1|DMIR	LOC111594494|XP_030080618.1|DHYD
OG0000020	LOC108159642|XP_033248178.1|DMIR	LOC111593180|XP_023161558.2|DHYD
OG0000020	LOC108163672|XP_017154587.1|DMIR	LOC111598962|XP_023170216.2|DHYD
OG0000020	LOC108155178|XP_017141337.1|DMIR	LOC111596686|XP_023166760.2|DHYD
OG0000020	LOC108156137|XP_017142939.1|DMIR	LOC111604565|XP_023178433.2|DHYD, LOC111604594|XP_030078785.1|DHYD, LOC111604595|XP_030078783.1|DHYD, LOC111596439|XP_023166430.2|DHYD
OG0000020	LOC108163835|XP_033249247.1|DMIR, LOC108163643|XP_017154542.1|DMIR	LOC111598978|XP_030080535.1|DHYD
OG0000021	LOC108153591|XP_017139161.1|DMIR	LOC111604510|XP_023178374.1|DHYD
OG0000021	LOC117188002|XP_033246994.1|DMIR, LOC108160898|XP_017150659.2|DMIR	LOC111601219|XP_023173482.1|DHYD
OG0000021	LOC108159581|XP_017148519.1|DMIR	LOC111601270|XP_023173549.2|DHYD
OG0000021	LOC108160670|XP_017150305.2|DMIR, LOC117188150|XP_033247446.1|DMIR	LOC111596996|XP_023167262.1|DHYD
OG0000021	LOC117185989|XP_033241901.1|DMIR, LOC108162397|XP_033252470.1|DMIR	LOC111600652|XP_023172641.1|DHYD
OG0000021	LOC108160899|XP_017150660.1|DMIR, LOC117193202|XP_033253844.1|DMIR	LOC111601220|XP_023173483.1|DHYD
OG0000021	LOC108164567|XP_033246575.1|DMIR	LOC111602062|XP_023174743.2|DHYD
OG0000021	LOC108156061|XP_017142833.1|DMIR	LOC111593360|XP_023161841.1|DHYD
OG0000021	LOC108156847|XP_017144055.1|DMIR	LOC111601414|XP_023173744.1|DHYD
OG0000021	LOC108164951|XP_017156435.1|DMIR	LOC111604024|XP_023177648.1|DHYD
OG0000022	LOC108158428|XP_017146199.1|DMIR, LOC117193272|XP_033253907.1|DMIR, LOC117193269|XP_033253905.1|DMIR	LOC111595585|XP_023165164.2|DHYD
OG0000022	LOC108152474|XP_017137333.2|DMIR, LOC117186204|XP_033242420.1|DMIR, LOC108152475|XP_017137334.2|DMIR, LOC108152465|XP_017137322.1|DMIR, LOC108152467|XP_017137323.2|DMIR, LOC108152472|XP_017137329.2|DMIR, LOC108152476|XP_017137336.1|DMIR, LOC108152473|XP_017137331.1|DMIR	LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD, LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD
OG0000022	LOC108152471|XP_017137328.1|DMIR	LOC111601208|XP_030081929.1|DHYD
OG0000023	LOC108153857|XP_033244801.1|DMIR	LOC111602788|XP_023175829.2|DHYD
OG0000023	LOC108155686|XP_017142144.1|DMIR	LOC111602703|XP_023175706.2|DHYD
OG0000023	LOC108155685|XP_017142143.1|DMIR	LOC111602748|XP_023175768.2|DHYD
OG0000023	LOC108158830|XP_017147022.1|DMIR	LOC111600543|XP_023172455.2|DHYD
OG0000023	LOC108153856|XP_033244802.1|DMIR	LOC111602765|XP_023175792.2|DHYD
OG0000023	LOC108157164|XP_017144562.1|DMIR	LOC111602764|XP_023175791.1|DHYD
OG0000023	LOC108156708|XP_017143845.1|DMIR	LOC111602801|XP_023175861.1|DHYD
OG0000023	LOC108156707|XP_017143844.1|DMIR	LOC111602761|XP_023175787.2|DHYD
OG0000023	LOC108156709|XP_033245059.1|DMIR	LOC111602800|XP_023175857.2|DHYD
OG0000024	LOC108160774|XP_017150465.1|DMIR, LOC117193757|XP_033254378.1|DMIR, LOC108160813|XP_017150525.2|DMIR, LOC108160883|XP_017150641.1|DMIR	LOC115482764|XP_030078553.1|DHYD, LOC111592147|XP_023159962.2|DHYD
OG0000024	LOC117194102|XP_033254634.1|DMIR, LOC108160812|XP_017150524.1|DMIR	LOC111592141|XP_023159955.2|DHYD
OG0000024	LOC108161382|XP_017151119.1|DMIR	LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD
OG0000024	LOC117194080|XP_033254609.1|DMIR, LOC108160979|XP_017150769.1|DMIR	LOC111592145|XP_023159959.2|DHYD
OG0000024	LOC108159455|XP_017148242.1|DMIR	LOC111598026|XP_023168817.2|DHYD
OG0000025	LOC108162357|XP_017152552.1|DMIR, LOC108157728|XP_017145391.1|DMIR	LOC111599384|XP_023170789.1|DHYD
OG0000025	LOC108156793|XP_017143960.1|DMIR	LOC115483232|XP_030080436.1|DHYD, LOC115482866|XP_030078976.1|DHYD
OG0000026	LOC108150850|XP_017134646.1|DMIR	LOC111600180|XP_023171950.2|DHYD
OG0000026	LOC108162957|XP_033248732.1|DMIR	LOC111596354|XP_023166318.1|DHYD
OG0000026	LOC108157162|XP_017144561.1|DMIR	LOC111602647|XP_023175583.2|DHYD
OG0000027	LOC108162948|XP_017153432.1|DMIR	LOC111599153|XP_023170492.2|DHYD
OG0000027	LOC108162949|XP_017153433.1|DMIR	LOC111595849|XP_023165527.1|DHYD
OG0000027	LOC108162947|XP_017153431.1|DMIR	LOC111599119|XP_023170448.2|DHYD
OG0000028	LOC108165232|XP_017156760.1|DMIR	LOC111605093|XP_030081794.1|DHYD, LOC111605104|XP_030081807.1|DHYD
OG0000028	LOC117186464|XP_033243221.1|DMIR, LOC108165418|XP_033243407.1|DMIR, LOC108165419|XP_017156946.1|DMIR	LOC111605074|XP_023179176.1|DHYD, LOC111605073|XP_030081295.1|DHYD
OG0000028	LOC108165421|XP_017156949.1|DMIR	LOC111605106|XP_023179215.2|DHYD, LOC111605107|XP_023179216.2|DHYD
OG0000029	LOC108154578|XP_017140369.1|DMIR	LOC111604160|XP_023177856.2|DHYD, LOC111604075|XP_023177725.2|DHYD
OG0000029	LOC108150820|XP_017134616.1|DMIR	LOC111599253|XP_023170620.2|DHYD
OG0000030	LOC108161306|XP_017151015.1|DMIR	LOC111603775|XP_023177278.2|DHYD
OG0000030	LOC108161162|XP_017150872.2|DMIR	LOC111596081|XP_023165908.2|DHYD
OG0000030	LOC108160793|XP_017150492.1|DMIR	LOC111603826|XP_023177354.2|DHYD, LOC111603824|XP_030081369.1|DHYD
OG0000030	LOC108151546|XP_033246807.1|DMIR	LOC111596747|XP_030080079.1|DHYD
OG0000030	LOC108154542|XP_017140365.1|DMIR	LOC111598248|XP_023169180.2|DHYD
OG0000031	LOC108163859|XP_017154864.1|DMIR	LOC111596192|XP_023166065.2|DHYD
OG0000031	LOC108161143|XP_033248838.1|DMIR, LOC108161141|XP_033248476.1|DMIR	LOC115483322|XP_030080566.1|DHYD, LOC111596193|XP_030080567.1|DHYD
OG0000031	LOC108161610|XP_017151398.1|DMIR	LOC111594664|XP_023163834.1|DHYD
OG0000032	LOC108156619|XP_017143664.1|DMIR	LOC111599037|XP_023170323.1|DHYD
OG0000032	LOC108157651|XP_017145290.1|DMIR	LOC111598628|XP_023169740.2|DHYD
OG0000032	LOC108156621|XP_017143666.1|DMIR, LOC108156620|XP_017143665.1|DMIR	LOC111599021|XP_023170312.2|DHYD
OG0000032	LOC108157634|XP_017145264.1|DMIR, LOC108156618|XP_017143663.1|DMIR	LOC111598594|XP_023169681.2|DHYD, LOC111598586|XP_023169670.2|DHYD, LOC111598885|XP_023170120.2|DHYD
OG0000033	LOC117189759|XP_033250731.1|DMIR, LOC108159420|XP_017148176.1|DMIR	LOC111599962|XP_023171625.2|DHYD
OG0000033	LOC117187710|XP_033246345.1|DMIR, LOC108159419|XP_017148175.2|DMIR	LOC111605044|XP_023179148.2|DHYD, LOC111605045|XP_023179149.1|DHYD, LOC111605037|XP_030080348.1|DHYD, LOC111605043|XP_030080420.1|DHYD, LOC111605018|XP_023179116.1|DHYD, LOC111595694|XP_023165308.2|DHYD, LOC115483536|XP_030081573.1|DHYD
OG0000034	LOC108164271|XP_017155403.1|DMIR	LOC111602472|XP_023175302.2|DHYD
OG0000034	LOC108164069|XP_033249364.1|DMIR	LOC111602462|XP_023175290.2|DHYD
OG0000034	LOC108162131|XP_017152200.1|DMIR	LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD
OG0000036	LOC108157733|XP_017145397.1|DMIR	LOC111602683|XP_023175671.1|DHYD
OG0000036	LOC117187198|XP_033245230.1|DMIR	LOC111602776|XP_023175811.1|DHYD
OG0000036	LOC108157106|XP_017144468.1|DMIR	LOC111602665|XP_023175617.1|DHYD
OG0000036	LOC108155636|XP_017142064.1|DMIR, LOC108155635|XP_017142061.1|DMIR	LOC111601529|XP_023173926.1|DHYD
OG0000037	LOC108160263|XP_017149626.1|DMIR	LOC111604322|XP_030081296.1|DHYD
OG0000037	LOC117195094|XP_033255640.1|DMIR, LOC117191092|XP_033251946.1|DMIR, LOC117194615|XP_033255034.1|DMIR, LOC117194588|XP_033255015.1|DMIR, LOC117194655|XP_033255061.1|DMIR, LOC117190599|XP_033251536.1|DMIR, LOC117194833|XP_033255201.1|DMIR, LOC117191511|XP_033252248.1|DMIR, LOC117191510|XP_033252247.1|DMIR, LOC117194839|XP_033255205.1|DMIR, LOC117191523|XP_033252256.1|DMIR, LOC117190815|XP_033251747.1|DMIR, LOC117194824|XP_033255196.1|DMIR, LOC117194825|XP_033255197.1|DMIR, LOC117195091|XP_033255638.1|DMIR, LOC117194549|XP_033254988.1|DMIR, LOC117194837|XP_033255204.1|DMIR, LOC117194807|XP_033255181.1|DMIR, LOC117194573|XP_033255006.1|DMIR, LOC117194587|XP_033255014.1|DMIR, LOC117194750|XP_033255142.1|DMIR, LOC117194591|XP_033255018.1|DMIR, LOC117194574|XP_033255007.1|DMIR, LOC117195092|XP_033255639.1|DMIR, LOC117194597|XP_033255024.1|DMIR, LOC117195100|XP_033255645.1|DMIR, LOC117194819|XP_033255192.1|DMIR, LOC117194975|XP_033255339.1|DMIR, LOC108153987|XP_033244827.1|DMIR, LOC117194660|XP_033255064.1|DMIR, LOC117194818|XP_033255191.1|DMIR, LOC117194604|XP_033255027.1|DMIR, LOC117194596|XP_033255023.1|DMIR, LOC117194601|XP_033255025.1|DMIR, LOC117195095|XP_033255641.1|DMIR, LOC117194843|XP_033255207.1|DMIR, LOC117191506|XP_033252242.1|DMIR, LOC117194661|XP_033255065.1|DMIR, LOC117194657|XP_033255062.1|DMIR, LOC117190601|XP_033251538.1|DMIR, LOC117194841|XP_033255206.1|DMIR, LOC117191508|XP_033252244.1|DMIR, LOC117194658|XP_033255063.1|DMIR, LOC117194702|XP_033255103.1|DMIR, LOC117194796|XP_033255174.1|DMIR, LOC117190600|XP_033251537.1|DMIR, LOC117194589|XP_033255016.1|DMIR, LOC117194409|XP_033254874.1|DMIR, LOC117194829|XP_033255199.1|DMIR, LOC117194605|XP_033255028.1|DMIR, LOC117194822|XP_033255195.1|DMIR, LOC117194333|XP_033254795.1|DMIR, LOC117194609|XP_033255031.1|DMIR, LOC117194407|XP_033254872.1|DMIR, LOC117195096|XP_033255642.1|DMIR, LOC117194649|XP_033255056.1|DMIR, LOC117190597|XP_033251535.1|DMIR, LOC117194650|XP_033255057.1|DMIR, LOC117190125|XP_033251100.1|DMIR, LOC108156646|XP_017143737.2|DMIR, LOC117190111|XP_033251090.1|DMIR, LOC117194816|XP_033255190.1|DMIR, LOC117194767|XP_033255155.1|DMIR, LOC117194745|XP_033255132.1|DMIR, LOC117194463|XP_033254917.1|DMIR, LOC117190114|XP_033251091.1|DMIR, LOC117194862|XP_033255219.1|DMIR, LOC117194858|XP_033255216.1|DMIR, LOC117194857|XP_033255215.1|DMIR, LOC117194328|XP_033254789.1|DMIR, LOC108156982|XP_017144263.2|DMIR, LOC117194327|XP_033254788.1|DMIR, LOC117194594|XP_033255020.1|DMIR, LOC117194845|XP_033255209.1|DMIR	LOC111601750|XP_023174255.2|DHYD
OG0000037	LOC117194606|XP_033255029.1|DMIR, LOC117194821|XP_033255194.1|DMIR, LOC117191507|XP_033252243.1|DMIR, LOC117194844|XP_033255208.1|DMIR, LOC117194584|XP_033255013.1|DMIR, LOC117194610|XP_033255032.1|DMIR	LOC111599598|XP_023171051.2|DHYD
OG0000038	LOC108165231|XP_017156759.1|DMIR	LOC111605099|XP_023179209.2|DHYD
OG0000038	LOC108151159|XP_017135077.1|DMIR	LOC111605094|XP_023179201.2|DHYD
OG0000039	LOC108153891|XP_033244233.1|DMIR	LOC111599549|XP_023170981.2|DHYD
OG0000039	LOC108165184|XP_017156747.1|DMIR	LOC111600216|XP_023172006.1|DHYD, LOC111600215|XP_023172005.2|DHYD
OG0000039	LOC108165291|XP_017156818.1|DMIR	LOC111602852|XP_023175933.1|DHYD
OG0000039	LOC108151414|XP_017135496.1|DMIR	LOC111604896|XP_023178904.1|DHYD, LOC111599287|XP_023170654.1|DHYD, LOC111600203|XP_023171988.2|DHYD
OG0000039	LOC108160708|XP_017150372.1|DMIR	LOC111592722|XP_023160878.1|DHYD
OG0000040	LOC108154697|XP_017140535.2|DMIR, LOC108153853|XP_033245406.1|DMIR, LOC117187250|XP_033245404.1|DMIR, LOC108154215|XP_017139929.1|DMIR, LOC108154213|XP_017139927.1|DMIR	LOC111604247|XP_023178000.2|DHYD
OG0000040	LOC108154216|XP_017139931.1|DMIR	LOC111604248|XP_023178001.2|DHYD
OG0000040	LOC108154686|XP_033245491.1|DMIR, LOC108154692|XP_017140530.1|DMIR, LOC108154966|XP_017140969.2|DMIR, LOC117186912|XP_033244139.1|DMIR	LOC115482741|XP_023177941.2|DHYD, LOC111604209|XP_030080789.1|DHYD
OG0000040	LOC108154965|XP_017140968.1|DMIR	LOC111604211|XP_023177942.2|DHYD
OG0000040	LOC108156483|XP_017143450.1|DMIR	LOC111594486|XP_023163562.2|DHYD
OG0000041	LOC108156909|XP_017144147.1|DMIR, LOC108157457|XP_017145018.1|DMIR, LOC108154314|XP_017140061.1|DMIR, LOC108153890|XP_033244257.1|DMIR	LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD, LOC111604851|XP_023178852.2|DHYD
