Orthogroup	DMIR.longest_only	DSUP.longest_only
OG0000009	LOC108160943|XP_017150721.1|DMIR	LOC119549977|XP_037714304.1|DSUP, LOC119550208|XP_037714685.1|DSUP
OG0000009	LOC108158336|XP_017146065.1|DMIR	LOC119547540|XP_037710365.1|DSUP, LOC119551857|XP_037717362.1|DSUP, LOC119551891|XP_037717420.1|DSUP
OG0000010	LOC108156705|XP_033245573.1|DMIR	LOC119547946|XP_037710924.1|DSUP, LOC119559220|XP_037728219.1|DSUP
OG0000010	LOC117187315|XP_033245579.1|DMIR, LOC108156795|XP_017143963.1|DMIR	LOC119559221|XP_037728220.1|DSUP, LOC119559233|XP_037728232.1|DSUP, LOC119559228|XP_037728227.1|DSUP, LOC119559234|XP_037728233.1|DSUP, LOC119559207|XP_037728206.1|DSUP, LOC119547994|XP_037710979.1|DSUP
OG0000010	LOC117187312|XP_033245576.1|DMIR	LOC119548250|XP_037711321.1|DSUP
OG0000010	LOC117187316|XP_033245580.1|DMIR	LOC119547947|XP_037710925.1|DSUP
OG0000010	LOC117187314|XP_033245578.1|DMIR	LOC119559216|XP_037728214.1|DSUP
OG0000011	LOC117185695|XP_017152271.2|DMIR, LOC108163065|XP_017153628.2|DMIR, LOC117188829|XP_033249173.1|DMIR, LOC108161855|XP_033249172.1|DMIR, LOC108164675|XP_017156017.1|DMIR, LOC108162189|XP_033249910.1|DMIR, LOC108162187|XP_017152275.1|DMIR, LOC108162186|XP_017152273.1|DMIR, LOC117188852|XP_033249240.1|DMIR, LOC108161557|XP_017151330.1|DMIR, LOC108163629|XP_017154523.1|DMIR, LOC108162188|XP_017152278.1|DMIR, LOC108163972|XP_017155018.1|DMIR, LOC117185693|XP_017154036.1|DMIR, LOC117188957|XP_033249531.1|DMIR, LOC108162812|XP_017153212.1|DMIR, LOC108163322|XP_033249532.1|DMIR, LOC108162815|XP_017153219.1|DMIR	LOC119548026|XP_037711028.1|DSUP, LOC119547062|XP_037709672.1|DSUP, LOC119558003|XP_037727039.1|DSUP, LOC119548095|XP_037711111.1|DSUP, LOC119548094|XP_037711110.1|DSUP, LOC119548461|XP_037711657.1|DSUP, LOC119548363|XP_037711507.1|DSUP, LOC119548364|XP_037711508.1|DSUP, LOC119546642|XP_037709016.1|DSUP, LOC119546643|XP_037709017.1|DSUP, LOC119548873|XP_037712431.1|DSUP, LOC119546938|XP_037709503.1|DSUP, LOC119555043|XP_037722157.1|DSUP, LOC119555066|XP_037722201.1|DSUP, LOC119557843|XP_037726753.1|DSUP, LOC119560943|XP_037730609.1|DSUP, LOC119554642|XP_037721569.1|DSUP, LOC119560221|XP_037729507.1|DSUP, LOC119560941|XP_037730605.1|DSUP, LOC119553270|XP_037719489.1|DSUP, LOC119554912|XP_037721943.1|DSUP, LOC119555170|XP_037722349.1|DSUP, LOC119555608|XP_037723034.1|DSUP, LOC119546892|XP_037709441.1|DSUP, LOC119547187|XP_037709849.1|DSUP, LOC119548093|XP_037711109.1|DSUP, LOC119547435|XP_037710223.1|DSUP, LOC119546050|XP_037708041.1|DSUP, LOC119548232|XP_037711301.1|DSUP, LOC119547347|XP_037710088.1|DSUP, LOC119556682|XP_037724981.1|DSUP, LOC119556749|XP_037725099.1|DSUP
OG0000011	LOC108165384|XP_017156911.1|DMIR	LOC119554627|XP_037721551.1|DSUP
OG0000011	LOC108153161|XP_017138453.1|DMIR	LOC119555960|XP_037723606.1|DSUP, LOC119554626|XP_037721550.1|DSUP
OG0000011	LOC108154131|XP_017139754.1|DMIR	LOC119554762|XP_037721730.1|DSUP
OG0000012	LOC108159199|XP_017147755.1|DMIR	LOC119550822|XP_037715693.1|DSUP
OG0000012	LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR	LOC119550821|XP_037715691.1|DSUP
OG0000012	LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR	LOC119551596|XP_037716924.1|DSUP, LOC119550028|XP_037714380.1|DSUP
OG0000012	LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR	LOC119551494|XP_037716788.1|DSUP
OG0000012	LOC108161008|XP_017150804.1|DMIR, LOC117185969|XP_033248320.1|DMIR, LOC108157993|XP_033248087.1|DMIR	LOC119550209|XP_037714688.1|DSUP, LOC119551068|XP_037716119.1|DSUP, LOC119551074|XP_037716130.1|DSUP
OG0000012	LOC108160910|XP_017150675.1|DMIR	LOC119551639|XP_037716997.1|DSUP, LOC119550378|XP_037714954.1|DSUP
OG0000012	LOC108158925|XP_017147218.1|DMIR	LOC119549965|XP_037714285.1|DSUP
OG0000012	LOC108158929|XP_017147224.1|DMIR	LOC119551851|XP_037717353.1|DSUP
OG0000012	LOC108158928|XP_017147221.1|DMIR	LOC119551850|XP_037717352.1|DSUP, LOC119550449|XP_037715053.1|DSUP
OG0000012	LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR	LOC119551476|XP_037716767.1|DSUP
OG0000012	LOC108158927|XP_017147219.1|DMIR	LOC119551477|XP_037716768.1|DSUP
OG0000013	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR	LOC119549437|XP_037713458.1|DSUP
OG0000013	LOC108152903|XP_017138042.1|DMIR	LOC119558255|XP_037727511.1|DSUP
OG0000013	LOC108157123|XP_017144495.1|DMIR, LOC108156384|XP_017143289.1|DMIR	LOC119563541|XP_037732953.1|DSUP
OG0000013	LOC108151516|XP_033243870.1|DMIR	LOC119555401|XP_037722683.1|DSUP
OG0000013	LOC108154911|XP_017140853.2|DMIR, LOC117187087|XP_033244842.1|DMIR	LOC119545787|XP_037707587.1|DSUP
OG0000013	LOC117187120|XP_033245008.1|DMIR, LOC117187121|XP_033245009.1|DMIR, LOC108154243|XP_017139966.2|DMIR, LOC108154002|XP_033245010.1|DMIR	LOC119561021|XP_037730772.1|DSUP, LOC119561023|XP_037730776.1|DSUP, LOC119559756|XP_037728754.1|DSUP, LOC119561022|XP_037730774.1|DSUP, LOC119545740|XP_037707491.1|DSUP, LOC119545739|XP_037707490.1|DSUP
OG0000014	LOC117193489|XP_033254131.1|DMIR, LOC117187336|XP_033245660.1|DMIR	LOC119561864|XP_037731272.1|DSUP
OG0000014	LOC117193487|XP_033254129.1|DMIR	LOC119561979|XP_037731297.1|DSUP
OG0000015	LOC117189153|XP_033250113.1|DMIR, LOC108162329|XP_017152508.1|DMIR, LOC108162330|XP_017152509.1|DMIR	LOC119550622|XP_037715380.1|DSUP
OG0000016	LOC108156024|XP_017142762.1|DMIR	LOC119560964|XP_037730645.1|DSUP
OG0000016	LOC108160302|XP_017149703.1|DMIR, LOC117190705|XP_033251658.1|DMIR	LOC119551792|XP_037717267.1|DSUP
OG0000016	LOC108155657|XP_017142098.1|DMIR	LOC119560636|XP_037730116.1|DSUP
OG0000016	LOC108159552|XP_017148467.1|DMIR, LOC117192977|XP_033253595.1|DMIR	LOC119549928|XP_037714197.1|DSUP, LOC119549685|XP_037713828.1|DSUP
OG0000016	LOC108154361|XP_017140118.1|DMIR	LOC119557630|XP_037726388.1|DSUP
OG0000016	LOC117193102|XP_033253716.1|DMIR, LOC117194496|XP_033254943.1|DMIR, LOC117195216|XP_033255740.1|DMIR, LOC108159228|XP_017147821.1|DMIR	LOC119559471|XP_037728511.1|DSUP
OG0000016	LOC108156493|XP_017143475.1|DMIR	LOC119561925|XP_037731293.1|DSUP
OG0000016	LOC108150995|XP_017134834.1|DMIR	LOC119555565|XP_037722943.1|DSUP
OG0000017	LOC108153009|XP_017138281.1|DMIR	LOC119555819|XP_037723364.1|DSUP
OG0000017	LOC108160150|XP_017149453.1|DMIR	LOC119549290|XP_037713167.1|DSUP
OG0000017	LOC108159969|XP_017149141.1|DMIR, LOC108158038|XP_017145672.2|DMIR	LOC119562617|XP_037731769.1|DSUP, LOC119562618|XP_037731771.1|DSUP
OG0000017	LOC108154022|XP_017139603.2|DMIR, LOC117191555|XP_033252276.1|DMIR	LOC119552736|XP_037718429.1|DSUP
OG0000017	LOC108160759|XP_017150448.1|DMIR	LOC119550337|XP_037714884.1|DSUP, LOC119558631|XP_037727964.1|DSUP
OG0000017	LOC108159970|XP_017149142.1|DMIR	LOC119562595|XP_037731744.1|DSUP
OG0000017	LOC108157934|XP_017145566.1|DMIR	LOC119558630|XP_037727962.1|DSUP, LOC119550336|XP_037714883.1|DSUP
OG0000017	LOC108161535|XP_017151304.1|DMIR, LOC108161536|XP_017151305.1|DMIR, LOC108161534|XP_017151303.1|DMIR	LOC119546290|XP_037708399.1|DSUP
OG0000018	LOC108150828|XP_017134625.1|DMIR	LOC119554781|XP_037721753.1|DSUP
OG0000018	LOC108150791|XP_017134583.1|DMIR	LOC119554782|XP_037721754.1|DSUP
OG0000018	LOC108150854|XP_017134645.1|DMIR	LOC119554784|XP_037721757.1|DSUP
OG0000018	LOC108150808|XP_017134601.1|DMIR, LOC108165552|XP_017157116.1|DMIR, LOC108165550|XP_017157115.1|DMIR, LOC108150800|XP_017134593.1|DMIR	LOC119553876|XP_037720463.1|DSUP, LOC119553875|XP_037720461.1|DSUP, LOC119553877|XP_037720464.1|DSUP, LOC119553878|XP_037720465.1|DSUP, LOC119552517|XP_037718063.1|DSUP, LOC119552516|XP_037718062.1|DSUP
OG0000019	LOC108157046|XP_017144351.1|DMIR, LOC108157045|XP_017144349.1|DMIR, LOC108157044|XP_017144348.1|DMIR	LOC119545699|XP_037707379.1|DSUP
OG0000019	LOC108157037|XP_017144339.1|DMIR	LOC119553849|XP_037720426.1|DSUP
OG0000019	LOC108157043|XP_017144347.2|DMIR	LOC119545700|XP_037707380.1|DSUP
OG0000019	LOC108157041|XP_017144346.1|DMIR, LOC108153982|XP_033245000.1|DMIR, LOC108157040|XP_017144345.2|DMIR	LOC119545696|XP_037707377.1|DSUP, LOC119545697|XP_037707378.1|DSUP
OG0000020	LOC108156412|XP_017143346.1|DMIR	LOC119551011|XP_037715994.1|DSUP
OG0000020	LOC108159642|XP_033248178.1|DMIR	LOC119549986|XP_037714317.1|DSUP
OG0000020	LOC108163672|XP_017154587.1|DMIR	LOC119546352|XP_037708508.1|DSUP, LOC119548418|XP_037711587.1|DSUP, LOC119560332|XP_037729650.1|DSUP, LOC119546657|XP_037709040.1|DSUP, LOC119546786|XP_037709271.1|DSUP, LOC119550100|XP_037714508.1|DSUP, LOC119546737|XP_037709159.1|DSUP
OG0000020	LOC108155178|XP_017141337.1|DMIR	LOC119561092|XP_037730913.1|DSUP
OG0000020	LOC108156137|XP_017142939.1|DMIR	LOC119556769|XP_037725126.1|DSUP
OG0000020	LOC108163835|XP_033249247.1|DMIR	LOC119547825|XP_037710775.1|DSUP
OG0000020	LOC108163643|XP_017154542.1|DMIR	LOC119546570|XP_037708891.1|DSUP
OG0000021	LOC117188002|XP_033246994.1|DMIR, LOC108160898|XP_017150659.2|DMIR	LOC119548675|XP_037712046.1|DSUP
OG0000021	LOC108159581|XP_017148519.1|DMIR	LOC119549002|XP_037712540.1|DSUP
OG0000021	LOC108160670|XP_017150305.2|DMIR, LOC117188150|XP_033247446.1|DMIR	LOC119550684|XP_037715475.1|DSUP
OG0000021	LOC117185989|XP_033241901.1|DMIR, LOC108162397|XP_033252470.1|DMIR	LOC119550497|XP_037715116.1|DSUP
OG0000021	LOC108164567|XP_033246575.1|DMIR	LOC119556017|XP_037723717.1|DSUP
OG0000021	LOC108156061|XP_017142833.1|DMIR	LOC119552371|XP_037718001.1|DSUP
OG0000021	LOC108156847|XP_017144055.1|DMIR	LOC119560336|XP_037729656.1|DSUP
OG0000021	LOC108164951|XP_017156435.1|DMIR	LOC119555956|XP_037723602.1|DSUP
OG0000022	LOC108158428|XP_017146199.1|DMIR, LOC117193272|XP_033253907.1|DMIR, LOC117193269|XP_033253905.1|DMIR	LOC119550370|XP_037714944.1|DSUP
OG0000022	LOC108152468|XP_017137324.1|DMIR	LOC119553490|XP_037719826.1|DSUP, LOC119555408|XP_037722693.1|DSUP
OG0000022	LOC108152474|XP_017137333.2|DMIR, LOC117186204|XP_033242420.1|DMIR, LOC108152475|XP_017137334.2|DMIR	LOC119555582|XP_037722984.1|DSUP, LOC119555585|XP_037722986.1|DSUP, LOC119555586|XP_037722987.1|DSUP
OG0000022	LOC108152470|XP_017137327.1|DMIR	LOC119555581|XP_037722982.1|DSUP, LOC119555583|XP_037722985.1|DSUP
OG0000022	LOC108152469|XP_017137325.1|DMIR	LOC119555580|XP_037722981.1|DSUP
OG0000023	LOC108153857|XP_033244801.1|DMIR	LOC119559792|XP_037728800.1|DSUP, LOC119559788|XP_037728797.1|DSUP
OG0000023	LOC108155686|XP_017142144.1|DMIR	LOC119559786|XP_037728794.1|DSUP
OG0000023	LOC108155685|XP_017142143.1|DMIR	LOC119559783|XP_037728790.1|DSUP
OG0000023	LOC108158830|XP_017147022.1|DMIR	LOC119550999|XP_037715976.1|DSUP
OG0000023	LOC108153856|XP_033244802.1|DMIR	LOC119559784|XP_037728792.1|DSUP
OG0000023	LOC108157164|XP_017144562.1|DMIR	LOC119559779|XP_037728786.1|DSUP
OG0000023	LOC108156708|XP_017143845.1|DMIR	LOC119559782|XP_037728789.1|DSUP
OG0000023	LOC108156707|XP_017143844.1|DMIR	LOC119559778|XP_037728785.1|DSUP
OG0000023	LOC108156709|XP_033245059.1|DMIR	LOC119559785|XP_037728793.1|DSUP
OG0000024	LOC108160883|XP_017150641.1|DMIR	LOC119551714|XP_037717116.1|DSUP
OG0000024	LOC117194102|XP_033254634.1|DMIR, LOC108160812|XP_017150524.1|DMIR	LOC119551121|XP_037716233.1|DSUP
OG0000024	LOC108161382|XP_017151119.1|DMIR	LOC119548131|XP_037711156.1|DSUP, LOC119548130|XP_037711155.1|DSUP, LOC119546161|XP_037708208.1|DSUP, LOC119548129|XP_037711154.1|DSUP
OG0000024	LOC108159455|XP_017148242.1|DMIR	LOC119551919|XP_037717477.1|DSUP
OG0000025	LOC108162357|XP_017152552.1|DMIR, LOC108157728|XP_017145391.1|DMIR	LOC119556135|XP_037723954.1|DSUP
OG0000025	LOC108156793|XP_017143960.1|DMIR	LOC119559590|XP_037728532.1|DSUP, LOC119559601|XP_037728544.1|DSUP, LOC119561449|XP_037731029.1|DSUP, LOC119561527|XP_037731107.1|DSUP, LOC119559244|XP_037728243.1|DSUP
OG0000026	LOC108150850|XP_017134646.1|DMIR	LOC119557908|XP_037726842.1|DSUP
OG0000026	LOC108162957|XP_033248732.1|DMIR	LOC119547110|XP_037709748.1|DSUP
OG0000026	LOC108165129|XP_017156683.1|DMIR	LOC119557301|XP_037725939.1|DSUP
OG0000026	LOC108157803|XP_017145484.1|DMIR, LOC108155726|XP_017142223.1|DMIR, LOC108154308|XP_017140053.1|DMIR	LOC119561040|XP_037730797.1|DSUP
OG0000026	LOC108157162|XP_017144561.1|DMIR	LOC119560123|XP_037729401.1|DSUP
OG0000027	LOC108162948|XP_017153432.1|DMIR	LOC119548404|XP_037711568.1|DSUP
OG0000027	LOC108162949|XP_017153433.1|DMIR	LOC119548409|XP_037711576.1|DSUP
OG0000027	LOC108162947|XP_017153431.1|DMIR	LOC119548453|XP_037711645.1|DSUP
OG0000028	LOC117186464|XP_033243221.1|DMIR, LOC108165418|XP_033243407.1|DMIR, LOC108165419|XP_017156946.1|DMIR	LOC119555148|XP_037722304.1|DSUP
OG0000028	LOC108165421|XP_017156949.1|DMIR	LOC119555138|XP_037722293.1|DSUP
OG0000028	LOC108151302|XP_017135327.1|DMIR	LOC119554646|XP_037721574.1|DSUP
OG0000029	LOC117191657|XP_033252354.1|DMIR, LOC108158000|XP_017145632.1|DMIR	LOC119550971|XP_037715934.1|DSUP, LOC119549481|XP_037713512.1|DSUP, LOC119546385|XP_037708552.1|DSUP
OG0000029	LOC108154578|XP_017140369.1|DMIR	LOC119548587|XP_037711848.1|DSUP, LOC119560689|XP_037730195.1|DSUP
OG0000029	LOC108150820|XP_017134616.1|DMIR	LOC119554065|XP_037720734.1|DSUP
OG0000030	LOC108161306|XP_017151015.1|DMIR	LOC119547225|XP_037709914.1|DSUP
OG0000030	LOC108161304|XP_017151013.1|DMIR	LOC119546122|XP_037708143.1|DSUP
OG0000030	LOC108161303|XP_017151011.1|DMIR, LOC108161305|XP_017151014.1|DMIR	LOC119547226|XP_037709915.1|DSUP
OG0000030	LOC108161162|XP_017150872.2|DMIR	LOC119546258|XP_037708345.1|DSUP, LOC119546257|XP_037708344.1|DSUP
OG0000030	LOC108160793|XP_017150492.1|DMIR	LOC119558624|XP_037727958.1|DSUP, LOC119549822|XP_037714028.1|DSUP, LOC119550805|XP_037715669.1|DSUP, LOC119558621|XP_037727957.1|DSUP
OG0000030	LOC108151546|XP_033246807.1|DMIR	LOC119557894|XP_037726826.1|DSUP
OG0000030	LOC108154542|XP_017140365.1|DMIR	LOC119556830|XP_037725216.1|DSUP
OG0000031	LOC108163859|XP_017154864.1|DMIR	LOC119546941|XP_037709506.1|DSUP, LOC119546197|XP_037708251.1|DSUP, LOC119548227|XP_037711293.1|DSUP
OG0000031	LOC108161143|XP_033248838.1|DMIR, LOC108161141|XP_033248476.1|DMIR	LOC119552950|XP_037718858.1|DSUP, LOC119547137|XP_037709777.1|DSUP
OG0000031	LOC108161610|XP_017151398.1|DMIR	LOC119548568|XP_037711813.1|DSUP, LOC119546475|XP_037708689.1|DSUP, LOC119546474|XP_037708687.1|DSUP
OG0000032	LOC108156619|XP_017143664.1|DMIR	LOC119559763|XP_037728765.1|DSUP
OG0000032	LOC108156621|XP_017143666.1|DMIR	LOC119559968|XP_037729132.1|DSUP
OG0000032	LOC108157634|XP_017145264.1|DMIR	LOC119560574|XP_037730023.1|DSUP
OG0000032	LOC108156618|XP_017143663.1|DMIR	LOC119559967|XP_037729131.1|DSUP
OG0000033	LOC108156558|XP_017143572.1|DMIR	LOC119552590|XP_037718157.1|DSUP, LOC119552614|XP_037718209.1|DSUP, LOC119563311|XP_037732572.1|DSUP
OG0000033	LOC117189759|XP_033250731.1|DMIR, LOC108159420|XP_017148176.1|DMIR	LOC119551206|XP_037716367.1|DSUP
OG0000033	LOC117187710|XP_033246345.1|DMIR, LOC108159419|XP_017148175.2|DMIR	LOC119551205|XP_037716366.1|DSUP
OG0000033	LOC108153999|XP_033244121.1|DMIR	LOC119552692|XP_037718345.1|DSUP, LOC119560194|XP_037729486.1|DSUP, LOC119549869|XP_037714095.1|DSUP, LOC119549868|XP_037714094.1|DSUP, LOC119549866|XP_037714089.1|DSUP
OG0000034	LOC108164271|XP_017155403.1|DMIR	LOC119548454|XP_037711646.1|DSUP
