Orthogroup	DMIR.longest_only	BTRY.longest_only
OG0000008	LOC108151537|XP_017135681.1|DMIR	LOC120778932|XP_039966913.1|BTRY
OG0000008	LOC108151536|XP_017135679.1|DMIR	LOC120778930|XP_039966911.1|BTRY
OG0000008	LOC108151539|XP_017135683.2|DMIR	LOC120778933|XP_039966914.1|BTRY
OG0000008	LOC108154402|XP_017140161.1|DMIR	LOC120775736|XP_039961992.1|BTRY, LOC120778053|XP_039965709.1|BTRY, LOC120775708|XP_039961957.1|BTRY, LOC120775726|XP_039961980.1|BTRY, LOC120775719|XP_039961968.1|BTRY
OG0000008	LOC108153895|XP_033244232.1|DMIR	LOC120780533|XP_039968729.1|BTRY
OG0000008	LOC108154515|XP_017140305.2|DMIR	LOC120778133|XP_039965828.1|BTRY
OG0000008	LOC108153896|XP_017139483.1|DMIR	LOC120780988|XP_039969143.1|BTRY
OG0000008	LOC108154491|XP_017140280.1|DMIR	LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY
OG0000009	LOC108157813|XP_017145500.1|DMIR	LOC120780063|XP_039968275.1|BTRY
OG0000009	LOC108154360|XP_017140115.1|DMIR, LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR, LOC108157842|XP_017145534.1|DMIR, LOC108157418|XP_017144958.2|DMIR, LOC108157419|XP_017144960.2|DMIR, LOC108154524|XP_017140312.1|DMIR	LOC120782593|XP_039970879.1|BTRY
OG0000009	LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR, LOC108154377|XP_017140130.1|DMIR, LOC108160943|XP_017150721.1|DMIR, LOC108158336|XP_017146065.1|DMIR	LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY
OG0000010	LOC117187311|XP_033245575.1|DMIR, LOC117187310|XP_033245574.1|DMIR, LOC108156705|XP_033245573.1|DMIR	LOC120766432|XP_039947870.1|BTRY
OG0000010	LOC117187315|XP_033245579.1|DMIR, LOC108156795|XP_017143963.1|DMIR	LOC120767529|XP_039949555.1|BTRY, LOC120767531|XP_039949557.1|BTRY
OG0000010	LOC117187312|XP_033245576.1|DMIR, LOC117187316|XP_033245580.1|DMIR, LOC117187314|XP_033245578.1|DMIR	LOC120767528|XP_039949554.1|BTRY
OG0000011	LOC117185903|XP_033249904.1|DMIR	LOC120773419|XP_039958227.1|BTRY
OG0000012	LOC108159199|XP_017147755.1|DMIR	LOC120772295|XP_039956737.1|BTRY
OG0000012	LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR	LOC120771372|XP_039955267.1|BTRY
OG0000012	LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR	LOC120772056|XP_039956371.1|BTRY
OG0000012	LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR	LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY
OG0000012	LOC108161008|XP_017150804.1|DMIR, LOC117185969|XP_033248320.1|DMIR, LOC108157993|XP_033248087.1|DMIR, LOC108160910|XP_017150675.1|DMIR, LOC108158925|XP_017147218.1|DMIR, LOC108158929|XP_017147224.1|DMIR, LOC108158928|XP_017147221.1|DMIR, LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR, LOC108158927|XP_017147219.1|DMIR	LOC120772529|XP_039957131.1|BTRY
OG0000013	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR	LOC120770990|XP_039954671.1|BTRY
OG0000013	LOC108152903|XP_017138042.1|DMIR	LOC120776120|XP_039962578.1|BTRY
OG0000013	LOC108157123|XP_017144495.1|DMIR, LOC108156384|XP_017143289.1|DMIR	LOC120769789|XP_039952912.1|BTRY
OG0000013	LOC108151516|XP_033243870.1|DMIR	LOC120778592|XP_039966397.1|BTRY
OG0000013	LOC108154911|XP_017140853.2|DMIR, LOC117187087|XP_033244842.1|DMIR	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY
OG0000013	LOC117187120|XP_033245008.1|DMIR, LOC117187121|XP_033245009.1|DMIR, LOC108154243|XP_017139966.2|DMIR, LOC108154002|XP_033245010.1|DMIR	LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY
OG0000014	LOC117194202|XP_033254747.1|DMIR	LOC120774632|XP_039960290.1|BTRY, LOC120778358|XP_039966079.1|BTRY
OG0000014	LOC117187335|XP_033245659.1|DMIR, LOC117194184|XP_033254734.1|DMIR, LOC117191141|XP_033251995.1|DMIR, LOC108162358|XP_033255233.1|DMIR, LOC117191000|XP_033251872.1|DMIR	LOC120779372|XP_039967501.1|BTRY
OG0000015	LOC108154428|XP_017140186.1|DMIR, LOC108160096|XP_017149373.1|DMIR, LOC108158178|XP_017145884.1|DMIR, LOC117190962|XP_033251844.1|DMIR, LOC108160103|XP_017149386.1|DMIR, LOC117189153|XP_033250113.1|DMIR, LOC108162329|XP_017152508.1|DMIR, LOC108162330|XP_017152509.1|DMIR	LOC120767697|XP_039949823.1|BTRY, LOC120778736|XP_039966635.1|BTRY
OG0000016	LOC108156024|XP_017142762.1|DMIR, LOC108160302|XP_017149703.1|DMIR, LOC117190705|XP_033251658.1|DMIR	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY
OG0000016	LOC108155657|XP_017142098.1|DMIR	LOC120774116|XP_039959415.1|BTRY
OG0000016	LOC117193102|XP_033253716.1|DMIR, LOC117194496|XP_033254943.1|DMIR, LOC117195216|XP_033255740.1|DMIR, LOC108159228|XP_017147821.1|DMIR	LOC120775405|XP_039961502.1|BTRY
OG0000016	LOC108156493|XP_017143475.1|DMIR	LOC120767942|XP_039950259.1|BTRY
OG0000016	LOC108150995|XP_017134834.1|DMIR	LOC120773675|XP_039958634.1|BTRY
OG0000017	LOC108153009|XP_017138281.1|DMIR	LOC120774348|XP_039959864.1|BTRY, LOC120774347|XP_039959863.1|BTRY
OG0000017	LOC108160150|XP_017149453.1|DMIR, LOC108159969|XP_017149141.1|DMIR, LOC108158038|XP_017145672.2|DMIR	LOC120780459|XP_039968667.1|BTRY, LOC120766570|XP_039948096.1|BTRY, LOC120775370|XP_039961466.1|BTRY, LOC120775369|XP_039961465.1|BTRY, LOC120773495|XP_039958373.1|BTRY, LOC120773498|XP_039958374.1|BTRY, LOC120773492|XP_039958371.1|BTRY, LOC120773493|XP_039958372.1|BTRY, LOC120771902|XP_039956113.1|BTRY, LOC120780773|XP_039968962.1|BTRY, LOC120775410|XP_039961512.1|BTRY, LOC120774945|XP_039960759.1|BTRY, LOC120774427|XP_039959995.1|BTRY, LOC120781036|XP_039969147.1|BTRY
OG0000018	LOC108150828|XP_017134625.1|DMIR	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY
OG0000018	LOC108150791|XP_017134583.1|DMIR	LOC120777489|XP_039964764.1|BTRY
OG0000018	LOC108150854|XP_017134645.1|DMIR	LOC120777549|XP_039964872.1|BTRY
OG0000018	LOC108150808|XP_017134601.1|DMIR, LOC108165552|XP_017157116.1|DMIR, LOC108165550|XP_017157115.1|DMIR, LOC108150800|XP_017134593.1|DMIR	LOC120777802|XP_039965269.1|BTRY, LOC120777782|XP_039965236.1|BTRY
OG0000018	LOC108150838|XP_017134636.2|DMIR, LOC108165543|XP_017157105.1|DMIR	LOC120777833|XP_039965304.1|BTRY, LOC120777929|XP_039965446.1|BTRY, LOC120777894|XP_039965399.1|BTRY
OG0000019	LOC108157046|XP_017144351.1|DMIR, LOC108157045|XP_017144349.1|DMIR, LOC108157044|XP_017144348.1|DMIR, LOC108157037|XP_017144339.1|DMIR, LOC108157043|XP_017144347.2|DMIR, LOC108157041|XP_017144346.1|DMIR, LOC108153982|XP_033245000.1|DMIR, LOC108157040|XP_017144345.2|DMIR	LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY
OG0000020	LOC108156412|XP_017143346.1|DMIR	LOC120772465|XP_039957032.1|BTRY
OG0000020	LOC108163672|XP_017154587.1|DMIR	LOC120782274|XP_039970399.1|BTRY
OG0000020	LOC108155178|XP_017141337.1|DMIR	LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY
OG0000021	LOC108164567|XP_033246575.1|DMIR	LOC120776121|XP_039962581.1|BTRY
OG0000021	LOC108156061|XP_017142833.1|DMIR	LOC120780423|XP_039968662.1|BTRY
OG0000021	LOC108156847|XP_017144055.1|DMIR, LOC108164951|XP_017156435.1|DMIR	LOC120766828|XP_039948474.1|BTRY
OG0000022	LOC108158428|XP_017146199.1|DMIR, LOC117193272|XP_033253907.1|DMIR, LOC117193269|XP_033253905.1|DMIR	LOC120770783|XP_039954296.1|BTRY
OG0000022	LOC108152474|XP_017137333.2|DMIR, LOC117186204|XP_033242420.1|DMIR, LOC108152475|XP_017137334.2|DMIR, LOC108152465|XP_017137322.1|DMIR, LOC108152467|XP_017137323.2|DMIR, LOC108152472|XP_017137329.2|DMIR, LOC108152476|XP_017137336.1|DMIR, LOC108152473|XP_017137331.1|DMIR	LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY
OG0000022	LOC108152471|XP_017137328.1|DMIR	LOC120770784|XP_039954297.1|BTRY, LOC120772427|XP_039956973.1|BTRY
OG0000023	LOC108155686|XP_017142144.1|DMIR	LOC120770307|XP_039953615.1|BTRY
OG0000023	LOC108155685|XP_017142143.1|DMIR, LOC108158830|XP_017147022.1|DMIR, LOC108153856|XP_033244802.1|DMIR	LOC120782575|XP_039970851.1|BTRY
OG0000023	LOC108157164|XP_017144562.1|DMIR	LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY
OG0000023	LOC108156708|XP_017143845.1|DMIR	LOC120766880|XP_039948548.1|BTRY
OG0000023	LOC108156707|XP_017143844.1|DMIR	LOC120774273|XP_039959699.1|BTRY
OG0000023	LOC108156709|XP_033245059.1|DMIR	LOC120766882|XP_039948559.1|BTRY
OG0000024	LOC108160774|XP_017150465.1|DMIR, LOC117193757|XP_033254378.1|DMIR, LOC108160813|XP_017150525.2|DMIR, LOC108160883|XP_017150641.1|DMIR	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY
OG0000024	LOC117194102|XP_033254634.1|DMIR, LOC108160812|XP_017150524.1|DMIR	LOC120771072|XP_039954818.1|BTRY
OG0000024	LOC108161382|XP_017151119.1|DMIR, LOC117194080|XP_033254609.1|DMIR, LOC108160979|XP_017150769.1|DMIR	LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY
OG0000025	LOC108162357|XP_017152552.1|DMIR, LOC108157728|XP_017145391.1|DMIR	LOC120774110|XP_039959404.1|BTRY
OG0000025	LOC108156793|XP_017143960.1|DMIR	LOC120767501|XP_039949528.1|BTRY
OG0000026	LOC108162957|XP_033248732.1|DMIR	LOC120773924|XP_039959055.1|BTRY
OG0000026	LOC108165129|XP_017156683.1|DMIR, LOC108157803|XP_017145484.1|DMIR, LOC108155726|XP_017142223.1|DMIR, LOC108154308|XP_017140053.1|DMIR, LOC108157162|XP_017144561.1|DMIR	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY
OG0000027	LOC108162948|XP_017153432.1|DMIR	LOC120768378|XP_039950978.1|BTRY
OG0000027	LOC108162949|XP_017153433.1|DMIR	LOC120768612|XP_039951313.1|BTRY
OG0000027	LOC108162947|XP_017153431.1|DMIR	LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY
OG0000028	LOC108165421|XP_017156949.1|DMIR	LOC120777924|XP_039965441.1|BTRY
OG0000028	LOC108151302|XP_017135327.1|DMIR	LOC120778200|XP_039965877.1|BTRY, LOC120779125|XP_039967253.1|BTRY, LOC120777352|XP_039964542.1|BTRY, LOC120777354|XP_039964543.1|BTRY, LOC120776936|XP_039963947.1|BTRY
OG0000029	LOC117191657|XP_033252354.1|DMIR, LOC108158000|XP_017145632.1|DMIR, LOC117190365|XP_033251334.1|DMIR, LOC108157998|XP_017145630.1|DMIR, LOC108154578|XP_017140369.1|DMIR, LOC108150820|XP_017134616.1|DMIR	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY
OG0000030	LOC108161306|XP_017151015.1|DMIR, LOC108161304|XP_017151013.1|DMIR, LOC108161303|XP_017151011.1|DMIR, LOC108161305|XP_017151014.1|DMIR	LOC120767592|XP_039949674.1|BTRY, LOC120767594|XP_039949677.1|BTRY
OG0000030	LOC108161162|XP_017150872.2|DMIR	LOC120773026|XP_039957889.1|BTRY
OG0000030	LOC108160793|XP_017150492.1|DMIR	LOC120773022|XP_039957885.1|BTRY, LOC120779311|XP_039967454.1|BTRY, LOC120772876|XP_039957652.1|BTRY
OG0000030	LOC108151546|XP_033246807.1|DMIR	LOC120773099|XP_039958004.1|BTRY, LOC120773095|XP_039957997.1|BTRY, LOC120773096|XP_039957998.1|BTRY, LOC120773098|XP_039958003.1|BTRY
OG0000030	LOC108154542|XP_017140365.1|DMIR	LOC120776112|XP_039962547.1|BTRY
OG0000031	LOC108161610|XP_017151398.1|DMIR	LOC120768292|XP_039950853.1|BTRY, LOC120779992|XP_039968213.1|BTRY, LOC120779995|XP_039968216.1|BTRY
OG0000032	LOC108156619|XP_017143664.1|DMIR	LOC120782444|XP_039970665.1|BTRY, LOC120772886|XP_039957675.1|BTRY, LOC120772879|XP_039957663.1|BTRY
OG0000032	LOC108157634|XP_017145264.1|DMIR, LOC108156618|XP_017143663.1|DMIR	LOC120782780|XP_039971181.1|BTRY
OG0000034	LOC108164271|XP_017155403.1|DMIR, LOC108164069|XP_033249364.1|DMIR, LOC117185901|XP_033249912.1|DMIR, LOC108162133|XP_017152203.1|DMIR, LOC108162132|XP_017152201.1|DMIR, LOC108162131|XP_017152200.1|DMIR	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY
OG0000035	LOC117191836|XP_033252497.1|DMIR, LOC117191390|XP_033252163.1|DMIR, LOC117191070|XP_033251929.1|DMIR	LOC120769276|XP_039952126.1|BTRY, LOC120780160|XP_039968373.1|BTRY, LOC120780561|XP_039968752.1|BTRY
OG0000036	LOC108157733|XP_017145397.1|DMIR	LOC120776996|XP_039964035.1|BTRY
OG0000036	LOC117187198|XP_033245230.1|DMIR	LOC120778788|XP_039966724.1|BTRY
OG0000036	LOC108157106|XP_017144468.1|DMIR	LOC120782503|XP_039970745.1|BTRY
OG0000036	LOC108155636|XP_017142064.1|DMIR, LOC108155635|XP_017142061.1|DMIR	LOC120766491|XP_039947977.1|BTRY, LOC120766392|XP_039947768.1|BTRY
OG0000037	LOC108160263|XP_017149626.1|DMIR	LOC120770870|XP_039954430.1|BTRY
OG0000038	LOC108165231|XP_017156759.1|DMIR	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY
OG0000039	LOC108165184|XP_017156747.1|DMIR	LOC120775164|XP_039961145.1|BTRY, LOC120775260|XP_039961275.1|BTRY, LOC120775925|XP_039962264.1|BTRY, LOC120774821|XP_039960561.1|BTRY, LOC120774830|XP_039960575.1|BTRY, LOC120774822|XP_039960562.1|BTRY
