Orthogroup	DMIR.longest_only	AAEG.longest_only
OG0000009	LOC108157813|XP_017145500.1|DMIR, LOC108154360|XP_017140115.1|DMIR, LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR, LOC108157842|XP_017145534.1|DMIR, LOC108157418|XP_017144958.2|DMIR, LOC108157419|XP_017144960.2|DMIR, LOC108154524|XP_017140312.1|DMIR, LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR, LOC108154377|XP_017140130.1|DMIR, LOC108160943|XP_017150721.1|DMIR, LOC108158336|XP_017146065.1|DMIR	LOC5575590|XP_001662046.1|AAEG, LOC5575570|XP_001662045.1|AAEG, LOC5575571|XP_021703480.1|AAEG, LOC5575580|XP_001662060.1|AAEG, LOC5575581|XP_001662059.1|AAEG, LOC5575578|XP_001662062.1|AAEG, LOC5568406|XP_001658054.1|AAEG, LOC5578292|XP_001663820.1|AAEG, LOC5576604|XP_001656167.2|AAEG, LOC5576588|XP_001656165.1|AAEG, LOC5576275|XP_001662564.2|AAEG, LOC110680468|XP_021711965.1|AAEG, LOC5574006|XP_021698494.1|AAEG, LOC5574009|XP_001661092.2|AAEG, LOC5576277|XP_001662566.2|AAEG
OG0000010	LOC108156705|XP_033245573.1|DMIR	LOC110678359|XP_021706812.1|AAEG
OG0000010	LOC117187315|XP_033245579.1|DMIR, LOC108156795|XP_017143963.1|DMIR	LOC110678205|XP_021706523.1|AAEG, LOC5579072|XP_021707705.1|AAEG, LOC110678837|XP_021708007.1|AAEG, LOC110679751|XP_021711173.1|AAEG
OG0000010	LOC117187312|XP_033245576.1|DMIR	LOC110679801|XP_021711224.1|AAEG, LOC110679806|XP_021711230.1|AAEG
OG0000011	LOC117185903|XP_033249904.1|DMIR	LOC5570988|XP_001659449.2|AAEG
OG0000012	LOC108159199|XP_017147755.1|DMIR, LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR, LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR, LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR, LOC108161008|XP_017150804.1|DMIR, LOC117185969|XP_033248320.1|DMIR, LOC108157993|XP_033248087.1|DMIR, LOC108160910|XP_017150675.1|DMIR, LOC108158925|XP_017147218.1|DMIR, LOC108158929|XP_017147224.1|DMIR, LOC108158928|XP_017147221.1|DMIR, LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR, LOC108158927|XP_017147219.1|DMIR	LOC5575907|XP_021696041.1|AAEG, LOC5575913|XP_001662283.2|AAEG
OG0000013	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR	LOC110679353|XP_021709456.1|AAEG
OG0000013	LOC108152903|XP_017138042.1|DMIR	LOC23687769|XP_021707218.1|AAEG, LOC110680223|XP_021711729.1|AAEG, LOC110678530|XP_021707216.1|AAEG, LOC110680222|XP_021711727.1|AAEG
OG0000013	LOC108157123|XP_017144495.1|DMIR, LOC108156384|XP_017143289.1|DMIR	LOC110678734|XP_021707697.1|AAEG
OG0000013	LOC108151516|XP_033243870.1|DMIR	LOC110676139|XP_021698547.1|AAEG
OG0000013	LOC108154911|XP_017140853.2|DMIR, LOC117187087|XP_033244842.1|DMIR, LOC117187120|XP_033245008.1|DMIR, LOC117187121|XP_033245009.1|DMIR, LOC108154243|XP_017139966.2|DMIR, LOC108154002|XP_033245010.1|DMIR	LOC110674153|XP_021693655.1|AAEG, LOC110681562|XP_021713333.1|AAEG, LOC110674150|XP_021693651.1|AAEG, LOC110674148|XP_021693649.1|AAEG, LOC110674151|XP_021693653.1|AAEG, LOC110674152|XP_021693654.1|AAEG
OG0000016	LOC108156024|XP_017142762.1|DMIR, LOC108160302|XP_017149703.1|DMIR, LOC117190705|XP_033251658.1|DMIR	LOC5565155|XP_001649530.1|AAEG
OG0000016	LOC108155657|XP_017142098.1|DMIR	LOC5577991|XP_001656729.1|AAEG
OG0000016	LOC108154361|XP_017140118.1|DMIR	LOC5574526|XP_001655175.1|AAEG
OG0000016	LOC108150995|XP_017134834.1|DMIR	LOC5567310|XP_001651745.1|AAEG, LOC5572986|XP_001654313.1|AAEG
OG0000018	LOC108150828|XP_017134625.1|DMIR	LOC5578131|XP_001663702.2|AAEG
OG0000018	LOC108150838|XP_017134636.2|DMIR, LOC108165543|XP_017157105.1|DMIR	LOC5577643|XP_001656641.1|AAEG
OG0000019	LOC108157046|XP_017144351.1|DMIR, LOC108157045|XP_017144349.1|DMIR, LOC108157044|XP_017144348.1|DMIR, LOC108157037|XP_017144339.1|DMIR, LOC108157043|XP_017144347.2|DMIR, LOC108157041|XP_017144346.1|DMIR, LOC108153982|XP_033245000.1|DMIR, LOC108157040|XP_017144345.2|DMIR	LOC23687711|XP_021707253.1|AAEG, LOC5568699|XP_001652523.2|AAEG, LOC5568700|XP_001652524.1|AAEG, LOC5568692|XP_021707252.1|AAEG, LOC5568702|XP_001652526.1|AAEG, LOC5568701|XP_001652525.1|AAEG, LOC5568703|XP_001652527.2|AAEG, LOC5568704|XP_001652528.2|AAEG, LOC5568697|XP_001652520.1|AAEG, LOC5570298|XP_021708318.1|AAEG, LOC110679382|XP_021709531.1|AAEG, LOC5576804|XP_001662930.2|AAEG
OG0000020	LOC108156412|XP_017143346.1|DMIR, LOC108159642|XP_033248178.1|DMIR	LOC5576192|XP_021693721.1|AAEG, LOC5575949|XP_021693723.1|AAEG
OG0000020	LOC108163672|XP_017154587.1|DMIR, LOC108155178|XP_017141337.1|DMIR, LOC108156137|XP_017142939.1|DMIR, LOC108163835|XP_033249247.1|DMIR, LOC108163643|XP_017154542.1|DMIR	LOC5578230|XP_021697387.1|AAEG
OG0000021	LOC108164567|XP_033246575.1|DMIR	LOC5577439|XP_021709141.1|AAEG
OG0000021	LOC108156061|XP_017142833.1|DMIR, LOC108156847|XP_017144055.1|DMIR, LOC108164951|XP_017156435.1|DMIR	LOC5571745|XP_021708635.1|AAEG
OG0000023	LOC108153857|XP_033244801.1|DMIR, LOC108155686|XP_017142144.1|DMIR, LOC108155685|XP_017142143.1|DMIR, LOC108158830|XP_017147022.1|DMIR, LOC108153856|XP_033244802.1|DMIR, LOC108157164|XP_017144562.1|DMIR, LOC108156708|XP_017143845.1|DMIR, LOC108156707|XP_017143844.1|DMIR, LOC108156709|XP_033245059.1|DMIR	LOC23687491|XP_011493543.2|AAEG, LOC5573293|XP_001654509.1|AAEG
OG0000024	LOC108160774|XP_017150465.1|DMIR, LOC117193757|XP_033254378.1|DMIR, LOC108160813|XP_017150525.2|DMIR, LOC108160883|XP_017150641.1|DMIR, LOC117194102|XP_033254634.1|DMIR, LOC108160812|XP_017150524.1|DMIR, LOC108161382|XP_017151119.1|DMIR, LOC117194080|XP_033254609.1|DMIR, LOC108160979|XP_017150769.1|DMIR, LOC108159455|XP_017148242.1|DMIR	LOC5574946|XP_001655419.1|AAEG
OG0000025	LOC108157728|XP_017145391.1|DMIR	LOC5574772|XP_001655332.2|AAEG, LOC5567559|XP_001657554.1|AAEG
OG0000025	LOC108156793|XP_017143960.1|DMIR	LOC110679739|XP_021711160.1|AAEG, LOC5578783|XP_021701440.1|AAEG, LOC110678738|XP_021707704.1|AAEG
OG0000026	LOC108165129|XP_017156683.1|DMIR, LOC108157803|XP_017145484.1|DMIR, LOC108155726|XP_017142223.1|DMIR, LOC108154308|XP_017140053.1|DMIR, LOC108157162|XP_017144561.1|DMIR	LOC23687599|XP_011493633.2|AAEG, LOC110674007|XP_021708437.1|AAEG, LOC23687740|XP_011492953.2|AAEG, LOC23687722|XP_011492954.2|AAEG, LOC5570715|XP_001659308.2|AAEG, LOC23687872|XP_011492952.2|AAEG, LOC5573680|XP_001661002.2|AAEG, LOC5573679|XP_001661001.2|AAEG, LOC110680302|XP_021711830.1|AAEG, LOC5572855|XP_001660615.1|AAEG
OG0000027	LOC108162948|XP_017153432.1|DMIR, LOC108162949|XP_017153433.1|DMIR, LOC108162947|XP_017153431.1|DMIR	LOC110677060|XP_021703346.1|AAEG, LOC23687822|XP_011493565.1|AAEG, LOC110677062|XP_021703350.1|AAEG, LOC110677063|XP_021703351.1|AAEG, LOC5573904|XP_021698223.1|AAEG
OG0000028	LOC108165232|XP_017156760.1|DMIR, LOC117186464|XP_033243221.1|DMIR, LOC108165418|XP_033243407.1|DMIR, LOC108165419|XP_017156946.1|DMIR, LOC108165421|XP_017156949.1|DMIR, LOC108151302|XP_017135327.1|DMIR	LOC110675725|XP_021697126.1|AAEG, LOC110675724|XP_021697125.1|AAEG, LOC110675728|XP_021697129.1|AAEG, LOC110677266|XP_021704094.1|AAEG, LOC110677263|XP_021704092.1|AAEG, LOC110677264|XP_021704093.1|AAEG, LOC110675722|XP_021697123.1|AAEG, LOC110675102|XP_021695179.1|AAEG, LOC110676609|XP_021700847.1|AAEG
OG0000029	LOC117191657|XP_033252354.1|DMIR, LOC108158000|XP_017145632.1|DMIR, LOC117190365|XP_033251334.1|DMIR, LOC108157998|XP_017145630.1|DMIR, LOC108154578|XP_017140369.1|DMIR, LOC108150820|XP_017134616.1|DMIR	LOC5575791|XP_001662213.2|AAEG, LOC5569555|XP_001658613.2|AAEG, LOC5565113|XP_001649460.2|AAEG, LOC5565691|XP_001650048.2|AAEG, LOC5572841|XP_001660601.1|AAEG
OG0000031	LOC108163859|XP_017154864.1|DMIR, LOC108161143|XP_033248838.1|DMIR, LOC108161141|XP_033248476.1|DMIR	LOC5574171|XP_001661226.1|AAEG, LOC5574170|XP_001661225.1|AAEG
OG0000032	LOC108156619|XP_017143664.1|DMIR, LOC108157651|XP_017145290.1|DMIR, LOC108156621|XP_017143666.1|DMIR, LOC108156620|XP_017143665.1|DMIR, LOC108157634|XP_017145264.1|DMIR, LOC108156618|XP_017143663.1|DMIR	LOC5573538|XP_001654674.2|AAEG, LOC5568353|XP_001658007.2|AAEG, LOC5568354|XP_021693938.1|AAEG, LOC5568355|XP_001658009.2|AAEG
OG0000034	LOC108164271|XP_017155403.1|DMIR, LOC108164069|XP_033249364.1|DMIR, LOC117185901|XP_033249912.1|DMIR, LOC108162133|XP_017152203.1|DMIR, LOC108162132|XP_017152201.1|DMIR, LOC108162131|XP_017152200.1|DMIR	LOC5571297|XP_021695840.1|AAEG, LOC5571109|XP_001659549.2|AAEG
OG0000036	LOC108157733|XP_017145397.1|DMIR	LOC5578693|XP_021711058.1|AAEG, LOC5578694|XP_021711004.1|AAEG, LOC110679707|XP_021711014.1|AAEG
OG0000036	LOC117187198|XP_033245230.1|DMIR	LOC5565959|XP_001650301.1|AAEG
OG0000037	LOC108160263|XP_017149626.1|DMIR, LOC117195094|XP_033255640.1|DMIR, LOC117191092|XP_033251946.1|DMIR, LOC117194615|XP_033255034.1|DMIR, LOC117194588|XP_033255015.1|DMIR, LOC117194655|XP_033255061.1|DMIR, LOC117190599|XP_033251536.1|DMIR, LOC117194833|XP_033255201.1|DMIR, LOC117191511|XP_033252248.1|DMIR, LOC117191510|XP_033252247.1|DMIR, LOC117194839|XP_033255205.1|DMIR, LOC117191523|XP_033252256.1|DMIR, LOC117190815|XP_033251747.1|DMIR, LOC117194824|XP_033255196.1|DMIR, LOC117194825|XP_033255197.1|DMIR, LOC117195091|XP_033255638.1|DMIR, LOC117194549|XP_033254988.1|DMIR, LOC117194837|XP_033255204.1|DMIR, LOC117194807|XP_033255181.1|DMIR, LOC117194573|XP_033255006.1|DMIR, LOC117194587|XP_033255014.1|DMIR, LOC117194750|XP_033255142.1|DMIR, LOC117194591|XP_033255018.1|DMIR, LOC117194574|XP_033255007.1|DMIR, LOC117195092|XP_033255639.1|DMIR, LOC117194597|XP_033255024.1|DMIR, LOC117195100|XP_033255645.1|DMIR, LOC117194819|XP_033255192.1|DMIR, LOC117194975|XP_033255339.1|DMIR, LOC108153987|XP_033244827.1|DMIR, LOC117194660|XP_033255064.1|DMIR, LOC117194818|XP_033255191.1|DMIR, LOC117194604|XP_033255027.1|DMIR, LOC117194596|XP_033255023.1|DMIR, LOC117194601|XP_033255025.1|DMIR, LOC117195095|XP_033255641.1|DMIR, LOC117194843|XP_033255207.1|DMIR, LOC117191506|XP_033252242.1|DMIR, LOC117194661|XP_033255065.1|DMIR, LOC117194657|XP_033255062.1|DMIR, LOC117190601|XP_033251538.1|DMIR, LOC117194841|XP_033255206.1|DMIR, LOC117191508|XP_033252244.1|DMIR, LOC117194658|XP_033255063.1|DMIR, LOC117194702|XP_033255103.1|DMIR, LOC117194796|XP_033255174.1|DMIR, LOC117190600|XP_033251537.1|DMIR, LOC117194589|XP_033255016.1|DMIR, LOC117194409|XP_033254874.1|DMIR, LOC117194829|XP_033255199.1|DMIR, LOC117194605|XP_033255028.1|DMIR, LOC117194822|XP_033255195.1|DMIR, LOC117194333|XP_033254795.1|DMIR, LOC117194609|XP_033255031.1|DMIR, LOC117194407|XP_033254872.1|DMIR, LOC117195096|XP_033255642.1|DMIR, LOC117194649|XP_033255056.1|DMIR, LOC117190597|XP_033251535.1|DMIR, LOC117194650|XP_033255057.1|DMIR, LOC117190125|XP_033251100.1|DMIR, LOC108156646|XP_017143737.2|DMIR, LOC117190111|XP_033251090.1|DMIR, LOC117194816|XP_033255190.1|DMIR, LOC117194767|XP_033255155.1|DMIR, LOC117194745|XP_033255132.1|DMIR, LOC117194463|XP_033254917.1|DMIR, LOC117190114|XP_033251091.1|DMIR, LOC117194862|XP_033255219.1|DMIR, LOC117194858|XP_033255216.1|DMIR, LOC117194857|XP_033255215.1|DMIR, LOC117194328|XP_033254789.1|DMIR, LOC108156982|XP_017144263.2|DMIR, LOC117194327|XP_033254788.1|DMIR, LOC117194594|XP_033255020.1|DMIR, LOC117194845|XP_033255209.1|DMIR, LOC117194606|XP_033255029.1|DMIR, LOC117194821|XP_033255194.1|DMIR, LOC117191507|XP_033252243.1|DMIR, LOC117194844|XP_033255208.1|DMIR, LOC117194584|XP_033255013.1|DMIR, LOC117194610|XP_033255032.1|DMIR	LOC5573113|XP_021703204.1|AAEG, LOC5573117|XP_001660726.1|AAEG, LOC5568413|XP_001658065.2|AAEG, LOC5573116|XP_021703205.1|AAEG
OG0000038	LOC108165231|XP_017156759.1|DMIR	LOC5571376|XP_001659658.1|AAEG
OG0000039	LOC108153891|XP_033244233.1|DMIR	LOC5575658|XP_001662117.1|AAEG, LOC5568094|XP_021703967.1|AAEG, LOC5575657|XP_001662120.1|AAEG, LOC5574822|XP_021705274.1|AAEG, LOC5566624|XP_001651000.1|AAEG, LOC5571707|XP_001659852.1|AAEG, LOC5575399|XP_001661919.1|AAEG, LOC5575393|XP_001661917.1|AAEG, LOC5575400|XP_001661920.1|AAEG, LOC5575401|XP_001661921.1|AAEG
OG0000041	LOC108156909|XP_017144147.1|DMIR, LOC108157457|XP_017145018.1|DMIR, LOC108154314|XP_017140061.1|DMIR, LOC108153890|XP_033244257.1|DMIR	LOC5572970|XP_001654300.2|AAEG, LOC5572971|XP_021705648.1|AAEG
OG0000043	LOC108157690|XP_017145347.1|DMIR, LOC108157417|XP_017144957.1|DMIR, LOC108155936|XP_017142583.1|DMIR, LOC108157770|XP_017145444.1|DMIR, LOC108157677|XP_017145331.1|DMIR, LOC108155937|XP_017142584.1|DMIR, LOC108155939|XP_017142587.1|DMIR	LOC5573284|XP_021699050.1|AAEG, LOC5577070|XP_001663167.2|AAEG, LOC5571298|XP_001653602.1|AAEG
OG0000044	LOC108157774|XP_017145449.1|DMIR, LOC117187384|XP_033245819.1|DMIR, LOC108156935|XP_033245773.1|DMIR, LOC108154298|XP_017140040.1|DMIR, LOC108154289|XP_017140029.1|DMIR, LOC108155225|XP_017141401.1|DMIR	LOC5567605|XP_021704850.1|AAEG
OG0000045	LOC108165537|XP_017157100.1|DMIR, LOC108150882|XP_017134679.1|DMIR, LOC108163376|XP_033250045.1|DMIR, LOC108150857|XP_017134649.1|DMIR	LOC5565204|XP_001649560.1|AAEG
OG0000047	LOC117188425|XP_033248186.1|DMIR, LOC108160932|XP_033251734.1|DMIR, LOC108159394|XP_017148118.1|DMIR, LOC117191945|XP_033252580.1|DMIR, LOC117194873|XP_033255228.1|DMIR, LOC117190172|XP_033251125.1|DMIR, LOC117192459|XP_033253049.1|DMIR, LOC117193977|XP_033254515.1|DMIR, LOC117193990|XP_033254522.1|DMIR, LOC117191230|XP_033252040.1|DMIR, LOC108158150|XP_017145859.2|DMIR, LOC117194871|XP_033255227.1|DMIR, LOC117190180|XP_033251133.1|DMIR, LOC108162612|XP_033248497.1|DMIR, LOC117190189|XP_033251142.1|DMIR, LOC117189902|XP_033250867.1|DMIR, LOC117193980|XP_033254518.1|DMIR, LOC117190159|XP_033251117.1|DMIR, LOC117191223|XP_033252033.1|DMIR, LOC117190174|XP_033251127.1|DMIR, LOC117190175|XP_033251128.1|DMIR, LOC117191216|XP_033252032.1|DMIR, LOC117191209|XP_033252031.1|DMIR, LOC117190682|XP_033251635.1|DMIR, LOC117190615|XP_033251556.1|DMIR, LOC117191205|XP_033252027.1|DMIR, LOC117190428|XP_033251399.1|DMIR, LOC117190161|XP_033251118.1|DMIR, LOC117191011|XP_033251876.1|DMIR, LOC117191207|XP_033252029.1|DMIR, LOC117189898|XP_033250864.1|DMIR, LOC117189896|XP_033250863.1|DMIR, LOC117190173|XP_033251126.1|DMIR, LOC117189905|XP_033250868.1|DMIR, LOC117190166|XP_033251120.1|DMIR, LOC117190132|XP_033251105.1|DMIR, LOC117193111|XP_033253725.1|DMIR, LOC117189891|XP_033250859.1|DMIR, LOC117191201|XP_033252026.1|DMIR, LOC117189901|XP_033250866.1|DMIR, LOC117189892|XP_033250860.1|DMIR, LOC117191208|XP_033252030.1|DMIR, LOC117189895|XP_033250862.1|DMIR, LOC108162436|XP_033249083.1|DMIR, LOC108164242|XP_033249874.1|DMIR, LOC117193744|XP_033254361.1|DMIR, LOC108160869|XP_017150620.1|DMIR, LOC108151196|XP_017135155.1|DMIR	LOC5568625|XP_021702746.1|AAEG
OG0000048	LOC108151156|XP_017135074.1|DMIR, LOC108151155|XP_017135073.1|DMIR, LOC108151306|XP_017135331.1|DMIR, LOC108151297|XP_017135322.1|DMIR, LOC108151294|XP_017135319.1|DMIR, LOC108151307|XP_017135332.1|DMIR	LOC5571813|XP_001659945.1|AAEG, LOC5571812|XP_001659944.1|AAEG
OG0000049	LOC108157283|XP_017144770.1|DMIR, LOC108157278|XP_017144765.2|DMIR, LOC117186995|XP_033244423.1|DMIR, LOC117186996|XP_033244424.1|DMIR, LOC108153841|XP_017139429.2|DMIR, LOC108154871|XP_017140799.1|DMIR, LOC108154874|XP_017140802.1|DMIR, LOC108157280|XP_017144766.2|DMIR	LOC5574352|XP_021698905.1|AAEG, LOC5574353|XP_001661388.1|AAEG, LOC23687877|XP_021698904.1|AAEG, LOC5570784|XP_021698609.1|AAEG
OG0000051	LOC108157823|XP_017145512.1|DMIR, LOC117187129|XP_033245028.1|DMIR, LOC108153998|XP_033246139.1|DMIR, LOC108154345|XP_017140100.1|DMIR, LOC108157724|XP_017145383.1|DMIR	LOC5575191|XP_021704581.1|AAEG, LOC5576782|XP_021706946.1|AAEG, LOC5575361|XP_021709352.1|AAEG, LOC5576776|XP_021707901.1|AAEG, LOC5576781|XP_001662868.2|AAEG, LOC5576789|XP_001662865.3|AAEG, LOC5576783|XP_001662870.1|AAEG
OG0000053	LOC108160591|XP_017150175.2|DMIR, LOC108160590|XP_017150174.1|DMIR, LOC108160459|XP_017149964.1|DMIR	LOC5578089|XP_001656785.2|AAEG, LOC5565450|XP_001649788.1|AAEG, LOC5565420|XP_001649783.1|AAEG, LOC5565454|XP_001649786.1|AAEG, LOC5565449|XP_001649787.1|AAEG
OG0000054	LOC108156883|XP_033244898.1|DMIR, LOC108156882|XP_017144105.2|DMIR, LOC108156958|XP_017144225.2|DMIR, LOC108156959|XP_017144226.2|DMIR, LOC108160859|XP_017150611.1|DMIR, LOC108153844|XP_033245117.1|DMIR	LOC5573294|XP_001654510.2|AAEG, LOC5573296|XP_021699063.1|AAEG, LOC5573295|XP_001654511.2|AAEG, LOC5573297|XP_021699065.1|AAEG, LOC23687731|XP_011493547.2|AAEG, LOC5573282|XP_021695235.1|AAEG, LOC5573280|XP_021699040.1|AAEG
OG0000056	LOC108156815|XP_017143999.1|DMIR, LOC108156818|XP_017144002.1|DMIR, LOC108156816|XP_017144001.1|DMIR, LOC108157011|XP_017144303.2|DMIR, LOC108157010|XP_017144301.2|DMIR	LOC5574529|XP_001655182.1|AAEG
OG0000058	LOC108162138|XP_017152209.1|DMIR, LOC108158257|XP_017145983.1|DMIR, LOC108162139|XP_017152210.1|DMIR, LOC108165551|XP_017157117.1|DMIR	LOC5565079|XP_001649422.1|AAEG, LOC5574102|XP_001661173.1|AAEG, LOC5565546|XP_001649915.2|AAEG
OG0000060	LOC108152548|XP_017137449.1|DMIR	LOC5569466|XP_021694640.1|AAEG
OG0000060	LOC108156375|XP_017143272.1|DMIR	LOC5573939|XP_021703386.1|AAEG
OG0000061	LOC108161397|XP_017151135.2|DMIR, LOC108161521|XP_017151288.2|DMIR, LOC108161432|XP_017151184.1|DMIR, LOC108164261|XP_017155390.2|DMIR	LOC5577972|XP_001663642.2|AAEG, LOC5564567|XP_001648915.2|AAEG
OG0000064	LOC117186615|XP_033243512.1|DMIR	LOC110677362|XP_021704105.1|AAEG, LOC110679437|XP_021709704.1|AAEG
OG0000067	LOC108156681|XP_017143806.1|DMIR, LOC108150910|XP_017134723.1|DMIR	LOC5577761|XP_001663535.2|AAEG, LOC5577760|XP_001663534.2|AAEG, LOC5577763|XP_021704689.1|AAEG
OG0000067	LOC108160959|XP_017150741.1|DMIR, LOC108150909|XP_017134722.1|DMIR	LOC5577759|XP_021704690.1|AAEG
OG0000067	LOC108153593|XP_017139164.1|DMIR	LOC5571448|XP_021695477.1|AAEG
OG0000068	LOC108152679|XP_033242710.1|DMIR, LOC108157726|XP_033245682.1|DMIR, LOC108157807|XP_017145490.2|DMIR, LOC108161223|XP_033249489.1|DMIR, LOC108163289|XP_017153992.1|DMIR	LOC5576672|XP_001662813.2|AAEG, LOC5576674|XP_021697249.1|AAEG, LOC5576676|XP_021697250.1|AAEG, LOC5570567|XP_021709756.1|AAEG, LOC5570566|XP_021709760.1|AAEG, LOC5572988|XP_001654315.1|AAEG, LOC5576678|XP_001662815.2|AAEG
OG0000070	LOC108161360|XP_017151091.1|DMIR, LOC108164841|XP_017156256.1|DMIR, LOC108161362|XP_017151093.1|DMIR, LOC108161363|XP_017151095.1|DMIR	LOC5576475|XP_001662668.2|AAEG, LOC5576476|XP_001662669.2|AAEG
OG0000071	LOC117186448|XP_033243164.1|DMIR	LOC5575314|XP_001655688.2|AAEG
OG0000071	LOC108165608|XP_017157174.1|DMIR, LOC108150751|XP_017134533.1|DMIR, LOC108153450|XP_017138959.1|DMIR	LOC5571116|XP_001659558.1|AAEG, LOC5575313|XP_001655687.1|AAEG, LOC5574694|XP_001661593.2|AAEG, LOC5575306|XP_001655680.1|AAEG, LOC23687487|XP_021708065.1|AAEG, LOC5575311|XP_001655685.1|AAEG
OG0000072	LOC108160257|XP_017149612.1|DMIR, LOC108159396|XP_017148120.1|DMIR, LOC108160256|XP_017149611.1|DMIR	LOC5578246|XP_001663772.2|AAEG, LOC5574120|XP_001661186.2|AAEG, LOC5574117|XP_021698234.1|AAEG, LOC110676814|XP_021701762.1|AAEG, LOC110674006|XP_021712126.1|AAEG, LOC5573347|XP_021701761.1|AAEG, LOC5578244|XP_001663776.1|AAEG, LOC5573346|XP_001660827.1|AAEG, LOC5573345|XP_021701760.1|AAEG, LOC5571577|XP_001659784.2|AAEG, LOC5577277|XP_001656378.1|AAEG, LOC5577275|XP_001656375.1|AAEG, LOC5577276|XP_021701763.1|AAEG
OG0000073	LOC117189979|XP_033250952.1|DMIR, LOC108159670|XP_017148639.1|DMIR	LOC5573060|XP_021711274.1|AAEG
OG0000073	LOC108150973|XP_017134799.1|DMIR	LOC5570618|XP_021706389.1|AAEG
OG0000073	LOC108154478|XP_017140245.1|DMIR	LOC5573536|XP_021693962.1|AAEG
