Orthogroup	DMIR.longest_only	BCOP.longest_only
OG0000008	LOC108151539|XP_017135683.2|DMIR	LOC119067264|XP_037026041.1|BCOP
OG0000009	LOC108157813|XP_017145500.1|DMIR, LOC108154360|XP_017140115.1|DMIR, LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR, LOC108157842|XP_017145534.1|DMIR, LOC108157418|XP_017144958.2|DMIR, LOC108157419|XP_017144960.2|DMIR, LOC108154524|XP_017140312.1|DMIR, LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR, LOC108154377|XP_017140130.1|DMIR, LOC108160943|XP_017150721.1|DMIR, LOC108158336|XP_017146065.1|DMIR	LOC119076827|XP_037039720.1|BCOP, LOC119077958|XP_037041229.1|BCOP, LOC119072921|XP_037034136.1|BCOP, LOC119066504|XP_037024908.1|BCOP, LOC119066761|XP_037025291.1|BCOP, LOC119072070|XP_037033100.1|BCOP, LOC119069140|XP_037028941.1|BCOP, LOC119069092|XP_037028878.1|BCOP, LOC119076746|XP_037039586.1|BCOP, LOC119077754|XP_037040991.1|BCOP, LOC119072526|XP_037033669.1|BCOP
OG0000010	LOC117187310|XP_033245574.1|DMIR, LOC108156705|XP_033245573.1|DMIR	LOC119082501|XP_037047912.1|BCOP, LOC119082436|XP_037047859.1|BCOP
OG0000010	LOC117187315|XP_033245579.1|DMIR, LOC108156795|XP_017143963.1|DMIR	LOC119082505|XP_037047916.1|BCOP, LOC119075112|XP_037037396.1|BCOP, LOC119077564|XP_037040669.1|BCOP, LOC119075517|XP_037037883.1|BCOP
OG0000010	LOC117187312|XP_033245576.1|DMIR	LOC119067746|XP_037026771.1|BCOP, LOC119075105|XP_037037388.1|BCOP, LOC119075519|XP_037037884.1|BCOP, LOC119082442|XP_037047864.1|BCOP
OG0000010	LOC117187314|XP_033245578.1|DMIR	LOC119082500|XP_037047910.1|BCOP
OG0000012	LOC108159199|XP_017147755.1|DMIR, LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR, LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR, LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR, LOC108161008|XP_017150804.1|DMIR, LOC117185969|XP_033248320.1|DMIR, LOC108157993|XP_033248087.1|DMIR, LOC108160910|XP_017150675.1|DMIR, LOC108158925|XP_017147218.1|DMIR, LOC108158929|XP_017147224.1|DMIR, LOC108158928|XP_017147221.1|DMIR, LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR, LOC108158927|XP_017147219.1|DMIR	LOC119073382|XP_037034703.1|BCOP, LOC119073829|XP_037035529.1|BCOP, LOC119073831|XP_037035534.1|BCOP, LOC119073833|XP_037035539.1|BCOP, LOC119073832|XP_037035537.1|BCOP
OG0000013	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR	LOC119078237|XP_037041593.1|BCOP
OG0000013	LOC108152903|XP_017138042.1|DMIR	LOC119071389|XP_037032165.1|BCOP
OG0000013	LOC108157123|XP_017144495.1|DMIR, LOC108156384|XP_017143289.1|DMIR	LOC119072742|XP_037033921.1|BCOP
OG0000013	LOC108154911|XP_017140853.2|DMIR, LOC117187087|XP_033244842.1|DMIR, LOC117187120|XP_033245008.1|DMIR, LOC117187121|XP_033245009.1|DMIR, LOC108154243|XP_017139966.2|DMIR, LOC108154002|XP_033245010.1|DMIR	LOC119070754|XP_037031123.1|BCOP, LOC119070753|XP_037031122.1|BCOP, LOC119072554|XP_037033686.1|BCOP
OG0000014	LOC117187335|XP_033245659.1|DMIR	LOC119066014|XP_037024126.1|BCOP
OG0000014	LOC117194184|XP_033254734.1|DMIR, LOC117191141|XP_033251995.1|DMIR, LOC108162358|XP_033255233.1|DMIR, LOC117191000|XP_033251872.1|DMIR	LOC119082957|XP_037048500.1|BCOP
OG0000016	LOC108156024|XP_017142762.1|DMIR, LOC108160302|XP_017149703.1|DMIR, LOC117190705|XP_033251658.1|DMIR	LOC119069122|XP_037028916.1|BCOP
OG0000016	LOC108155657|XP_017142098.1|DMIR	LOC119071771|XP_037032720.1|BCOP
OG0000016	LOC108154361|XP_017140118.1|DMIR	LOC119070068|XP_037030257.1|BCOP
OG0000016	LOC108150995|XP_017134834.1|DMIR	LOC119072263|XP_037033347.1|BCOP
OG0000018	LOC108150828|XP_017134625.1|DMIR	LOC119080549|XP_037044859.1|BCOP, LOC119080555|XP_037044865.1|BCOP, LOC119082559|XP_037047981.1|BCOP, LOC119080553|XP_037044862.1|BCOP, LOC119080552|XP_037044861.1|BCOP, LOC119080554|XP_037044863.1|BCOP
OG0000018	LOC108165544|XP_017157106.1|DMIR, LOC108150791|XP_017134583.1|DMIR, LOC108150854|XP_017134645.1|DMIR, LOC108150808|XP_017134601.1|DMIR, LOC108165552|XP_017157116.1|DMIR, LOC108165550|XP_017157115.1|DMIR, LOC108150800|XP_017134593.1|DMIR, LOC108150838|XP_017134636.2|DMIR, LOC108165543|XP_017157105.1|DMIR	LOC119080537|XP_037044845.1|BCOP, LOC119080550|XP_037044860.1|BCOP
OG0000019	LOC108157046|XP_017144351.1|DMIR, LOC108157045|XP_017144349.1|DMIR, LOC108157044|XP_017144348.1|DMIR, LOC108157037|XP_017144339.1|DMIR, LOC108157043|XP_017144347.2|DMIR, LOC108157041|XP_017144346.1|DMIR, LOC108153982|XP_033245000.1|DMIR, LOC108157040|XP_017144345.2|DMIR	LOC119084786|XP_037050745.1|BCOP, LOC119080761|XP_037045217.1|BCOP, LOC119084726|XP_037050695.1|BCOP, LOC119075121|XP_037037402.1|BCOP, LOC119083579|XP_037049219.1|BCOP, LOC119077737|XP_037040913.1|BCOP, LOC119071643|XP_037032501.1|BCOP, LOC119076581|XP_037039318.1|BCOP, LOC119082882|XP_037048433.1|BCOP, LOC119072316|XP_037033399.1|BCOP, LOC119066283|XP_037024546.1|BCOP, LOC119072668|XP_037033820.1|BCOP, LOC119080954|XP_037045478.1|BCOP, LOC119073098|XP_037034307.1|BCOP, LOC119073124|XP_037034319.1|BCOP, LOC119066050|XP_037024169.1|BCOP, LOC119083794|XP_037049497.1|BCOP, LOC119067362|XP_037026172.1|BCOP, LOC119070994|XP_037031482.1|BCOP, LOC119074454|XP_037036483.1|BCOP, LOC119082874|XP_037048430.1|BCOP, LOC119066385|XP_037024712.1|BCOP, LOC119069028|XP_037028793.1|BCOP, LOC119069029|XP_037028794.1|BCOP, LOC119082044|XP_037047265.1|BCOP
OG0000020	LOC108156412|XP_017143346.1|DMIR, LOC108159642|XP_033248178.1|DMIR	LOC119070433|XP_037030670.1|BCOP, LOC119070434|XP_037030671.1|BCOP, LOC119075868|XP_037038321.1|BCOP, LOC119084787|XP_037050746.1|BCOP
OG0000020	LOC108163672|XP_017154587.1|DMIR, LOC108155178|XP_017141337.1|DMIR, LOC108156137|XP_017142939.1|DMIR, LOC108163835|XP_033249247.1|DMIR, LOC108163643|XP_017154542.1|DMIR	LOC119077634|XP_037040747.1|BCOP
OG0000021	LOC108164567|XP_033246575.1|DMIR	LOC119076102|XP_037038654.1|BCOP
OG0000021	LOC108156061|XP_017142833.1|DMIR	LOC119074653|XP_037036827.1|BCOP
OG0000023	LOC108153857|XP_033244801.1|DMIR, LOC108155686|XP_017142144.1|DMIR, LOC108155685|XP_017142143.1|DMIR, LOC108158830|XP_017147022.1|DMIR, LOC108153856|XP_033244802.1|DMIR, LOC108157164|XP_017144562.1|DMIR, LOC108156708|XP_017143845.1|DMIR, LOC108156707|XP_017143844.1|DMIR, LOC108156709|XP_033245059.1|DMIR	LOC119069090|XP_037028874.1|BCOP, LOC119076492|XP_037039176.1|BCOP, LOC119072506|XP_037033640.1|BCOP, LOC119080922|XP_037045436.1|BCOP, LOC119075660|XP_037038064.1|BCOP, LOC119070314|XP_037030479.1|BCOP
OG0000024	LOC108160774|XP_017150465.1|DMIR, LOC117193757|XP_033254378.1|DMIR, LOC108160813|XP_017150525.2|DMIR, LOC108160883|XP_017150641.1|DMIR, LOC117194102|XP_033254634.1|DMIR, LOC108160812|XP_017150524.1|DMIR, LOC108161382|XP_017151119.1|DMIR, LOC117194080|XP_033254609.1|DMIR, LOC108160979|XP_017150769.1|DMIR, LOC108159455|XP_017148242.1|DMIR	LOC119070658|XP_037030984.1|BCOP, LOC119082311|XP_037047708.1|BCOP, LOC119077506|XP_037040630.1|BCOP, LOC119069534|XP_037029505.1|BCOP, LOC119077421|XP_037040530.1|BCOP, LOC119081808|XP_037046934.1|BCOP, LOC119075019|XP_037037323.1|BCOP, LOC119074665|XP_037036841.1|BCOP, LOC119079676|XP_037043629.1|BCOP, LOC119069566|XP_037029541.1|BCOP, LOC119069565|XP_037029540.1|BCOP
OG0000025	LOC108162357|XP_017152552.1|DMIR, LOC108157728|XP_017145391.1|DMIR	LOC119074493|XP_037036540.1|BCOP
OG0000025	LOC108156793|XP_017143960.1|DMIR	LOC119075511|XP_037037876.1|BCOP
OG0000026	LOC108165129|XP_017156683.1|DMIR, LOC108157803|XP_017145484.1|DMIR, LOC108155726|XP_017142223.1|DMIR, LOC108154308|XP_017140053.1|DMIR, LOC108157162|XP_017144561.1|DMIR	LOC119075967|XP_037038446.1|BCOP, LOC119080894|XP_037045369.1|BCOP, LOC119084790|XP_037050754.1|BCOP, LOC119075347|XP_037037672.1|BCOP, LOC119084782|XP_037050742.1|BCOP, LOC119084799|XP_037050765.1|BCOP
OG0000027	LOC108162949|XP_017153433.1|DMIR	LOC119077158|XP_037040243.1|BCOP
OG0000028	LOC108165232|XP_017156760.1|DMIR, LOC117186464|XP_033243221.1|DMIR, LOC108165418|XP_033243407.1|DMIR, LOC108165419|XP_017156946.1|DMIR, LOC108165421|XP_017156949.1|DMIR, LOC108151302|XP_017135327.1|DMIR	LOC119080979|XP_037045519.1|BCOP
OG0000029	LOC117191657|XP_033252354.1|DMIR, LOC108158000|XP_017145632.1|DMIR, LOC117190365|XP_033251334.1|DMIR, LOC108157998|XP_017145630.1|DMIR, LOC108154578|XP_017140369.1|DMIR, LOC108150820|XP_017134616.1|DMIR	LOC119075913|XP_037038393.1|BCOP, LOC119075912|XP_037038392.1|BCOP, LOC119077897|XP_037041165.1|BCOP, LOC119068086|XP_037027399.1|BCOP, LOC119077434|XP_037040544.1|BCOP, LOC119076151|XP_037038730.1|BCOP, LOC119077433|XP_037040543.1|BCOP, LOC119072306|XP_037033388.1|BCOP, LOC119071086|XP_037031623.1|BCOP
OG0000030	LOC108161306|XP_017151015.1|DMIR, LOC108161304|XP_017151013.1|DMIR, LOC108161303|XP_017151011.1|DMIR, LOC108161305|XP_017151014.1|DMIR, LOC108161162|XP_017150872.2|DMIR, LOC108160793|XP_017150492.1|DMIR, LOC108151546|XP_033246807.1|DMIR, LOC108154542|XP_017140365.1|DMIR	LOC119070696|XP_037031044.1|BCOP
OG0000031	LOC108163859|XP_017154864.1|DMIR, LOC108161143|XP_033248838.1|DMIR, LOC108161141|XP_033248476.1|DMIR	LOC119082337|XP_037047744.1|BCOP, LOC119073860|XP_037035620.1|BCOP, LOC119083184|XP_037048737.1|BCOP
OG0000032	LOC108156619|XP_017143664.1|DMIR, LOC108157651|XP_017145290.1|DMIR, LOC108156621|XP_017143666.1|DMIR, LOC108156620|XP_017143665.1|DMIR, LOC108157634|XP_017145264.1|DMIR, LOC108156618|XP_017143663.1|DMIR	LOC119070487|XP_037030735.1|BCOP, LOC119077430|XP_037040540.1|BCOP
OG0000033	LOC108154000|XP_017139582.2|DMIR, LOC108156558|XP_017143572.1|DMIR, LOC108154027|XP_017139609.2|DMIR, LOC117189759|XP_033250731.1|DMIR, LOC108159420|XP_017148176.1|DMIR, LOC117187710|XP_033246345.1|DMIR, LOC108159419|XP_017148175.2|DMIR, LOC108153999|XP_033244121.1|DMIR	LOC119070917|XP_037031350.1|BCOP
OG0000034	LOC108164271|XP_017155403.1|DMIR, LOC108164069|XP_033249364.1|DMIR, LOC117185901|XP_033249912.1|DMIR, LOC108162133|XP_017152203.1|DMIR, LOC108162132|XP_017152201.1|DMIR, LOC108162131|XP_017152200.1|DMIR	LOC119081013|XP_037045591.1|BCOP, LOC119070626|XP_037030946.1|BCOP, LOC119072973|XP_037034184.1|BCOP, LOC119072974|XP_037034185.1|BCOP, LOC119071410|XP_037032183.1|BCOP, LOC119070946|XP_037031394.1|BCOP, LOC119070948|XP_037031395.1|BCOP, LOC119070950|XP_037031397.1|BCOP, LOC119070428|XP_037030664.1|BCOP, LOC119077740|XP_037040914.1|BCOP, LOC119083666|XP_037049346.1|BCOP, LOC119066782|XP_037025340.1|BCOP
OG0000036	LOC108157733|XP_017145397.1|DMIR	LOC119068370|XP_037027834.1|BCOP
OG0000036	LOC117187198|XP_033245230.1|DMIR	LOC119070319|XP_037030483.1|BCOP
OG0000037	LOC108160263|XP_017149626.1|DMIR, LOC117195094|XP_033255640.1|DMIR, LOC117191092|XP_033251946.1|DMIR, LOC117194615|XP_033255034.1|DMIR, LOC117194588|XP_033255015.1|DMIR, LOC117194655|XP_033255061.1|DMIR, LOC117190599|XP_033251536.1|DMIR, LOC117194833|XP_033255201.1|DMIR, LOC117191511|XP_033252248.1|DMIR, LOC117191510|XP_033252247.1|DMIR, LOC117194839|XP_033255205.1|DMIR, LOC117191523|XP_033252256.1|DMIR, LOC117190815|XP_033251747.1|DMIR, LOC117194824|XP_033255196.1|DMIR, LOC117194825|XP_033255197.1|DMIR, LOC117195091|XP_033255638.1|DMIR, LOC117194549|XP_033254988.1|DMIR, LOC117194837|XP_033255204.1|DMIR, LOC117194807|XP_033255181.1|DMIR, LOC117194573|XP_033255006.1|DMIR, LOC117194587|XP_033255014.1|DMIR, LOC117194750|XP_033255142.1|DMIR, LOC117194591|XP_033255018.1|DMIR, LOC117194574|XP_033255007.1|DMIR, LOC117195092|XP_033255639.1|DMIR, LOC117194597|XP_033255024.1|DMIR, LOC117195100|XP_033255645.1|DMIR, LOC117194819|XP_033255192.1|DMIR, LOC117194975|XP_033255339.1|DMIR, LOC108153987|XP_033244827.1|DMIR, LOC117194660|XP_033255064.1|DMIR, LOC117194818|XP_033255191.1|DMIR, LOC117194604|XP_033255027.1|DMIR, LOC117194596|XP_033255023.1|DMIR, LOC117194601|XP_033255025.1|DMIR, LOC117195095|XP_033255641.1|DMIR, LOC117194843|XP_033255207.1|DMIR, LOC117191506|XP_033252242.1|DMIR, LOC117194661|XP_033255065.1|DMIR, LOC117194657|XP_033255062.1|DMIR, LOC117190601|XP_033251538.1|DMIR, LOC117194841|XP_033255206.1|DMIR, LOC117191508|XP_033252244.1|DMIR, LOC117194658|XP_033255063.1|DMIR, LOC117194702|XP_033255103.1|DMIR, LOC117194796|XP_033255174.1|DMIR, LOC117190600|XP_033251537.1|DMIR, LOC117194589|XP_033255016.1|DMIR, LOC117194409|XP_033254874.1|DMIR, LOC117194829|XP_033255199.1|DMIR, LOC117194605|XP_033255028.1|DMIR, LOC117194822|XP_033255195.1|DMIR, LOC117194333|XP_033254795.1|DMIR, LOC117194609|XP_033255031.1|DMIR, LOC117194407|XP_033254872.1|DMIR, LOC117195096|XP_033255642.1|DMIR, LOC117194649|XP_033255056.1|DMIR, LOC117190597|XP_033251535.1|DMIR, LOC117194650|XP_033255057.1|DMIR, LOC117190125|XP_033251100.1|DMIR, LOC108156646|XP_017143737.2|DMIR, LOC117190111|XP_033251090.1|DMIR, LOC117194816|XP_033255190.1|DMIR, LOC117194767|XP_033255155.1|DMIR, LOC117194745|XP_033255132.1|DMIR, LOC117194463|XP_033254917.1|DMIR, LOC117190114|XP_033251091.1|DMIR, LOC117194862|XP_033255219.1|DMIR, LOC117194858|XP_033255216.1|DMIR, LOC117194857|XP_033255215.1|DMIR, LOC117194328|XP_033254789.1|DMIR, LOC108156982|XP_017144263.2|DMIR, LOC117194327|XP_033254788.1|DMIR, LOC117194594|XP_033255020.1|DMIR, LOC117194845|XP_033255209.1|DMIR, LOC117194606|XP_033255029.1|DMIR, LOC117194821|XP_033255194.1|DMIR, LOC117191507|XP_033252243.1|DMIR, LOC117194844|XP_033255208.1|DMIR, LOC117194584|XP_033255013.1|DMIR, LOC117194610|XP_033255032.1|DMIR	LOC119084655|XP_037050618.1|BCOP, LOC119071348|XP_037032129.1|BCOP, LOC119082982|XP_037048515.1|BCOP, LOC119080253|XP_037044398.1|BCOP, LOC119082744|XP_037048221.1|BCOP
OG0000038	LOC108165231|XP_017156759.1|DMIR	LOC119080641|XP_037044950.1|BCOP
OG0000038	LOC108151159|XP_017135077.1|DMIR	LOC119077484|XP_037040593.1|BCOP
OG0000039	LOC108153891|XP_033244233.1|DMIR	LOC119080832|XP_037045287.1|BCOP, LOC119072451|XP_037033568.1|BCOP
OG0000039	LOC108160708|XP_017150372.1|DMIR	LOC119077423|XP_037040532.1|BCOP, LOC119083711|XP_037049395.1|BCOP
OG0000041	LOC108156909|XP_017144147.1|DMIR, LOC108157457|XP_017145018.1|DMIR, LOC108154314|XP_017140061.1|DMIR, LOC108153890|XP_033244257.1|DMIR	LOC119070988|XP_037031473.1|BCOP
OG0000042	LOC108163349|XP_017154082.1|DMIR, LOC117193554|XP_033254192.1|DMIR, LOC108158637|XP_017146610.1|DMIR, LOC108158644|XP_017146617.1|DMIR, LOC117193045|XP_033253672.1|DMIR, LOC108158643|XP_017146616.1|DMIR, LOC117193044|XP_033253671.1|DMIR, LOC117193043|XP_033253670.1|DMIR, LOC108158641|XP_017146613.1|DMIR, LOC117193042|XP_033253669.1|DMIR, LOC108161650|XP_017151442.1|DMIR, LOC117193046|XP_033253673.1|DMIR, LOC108158642|XP_017146614.1|DMIR	LOC119068087|XP_037027400.1|BCOP
OG0000043	LOC108157690|XP_017145347.1|DMIR, LOC108157417|XP_017144957.1|DMIR, LOC108155936|XP_017142583.1|DMIR, LOC108157770|XP_017145444.1|DMIR, LOC108157677|XP_017145331.1|DMIR, LOC108155937|XP_017142584.1|DMIR, LOC108155939|XP_017142587.1|DMIR	LOC119068357|XP_037027820.1|BCOP, LOC119075751|XP_037038184.1|BCOP, LOC119075743|XP_037038180.1|BCOP, LOC119077492|XP_037040609.1|BCOP, LOC119068375|XP_037027839.1|BCOP, LOC119075787|XP_037038245.1|BCOP, LOC119084856|XP_037050885.1|BCOP
OG0000044	LOC108157774|XP_017145449.1|DMIR, LOC117187384|XP_033245819.1|DMIR, LOC108156935|XP_033245773.1|DMIR, LOC108154298|XP_017140040.1|DMIR, LOC108154289|XP_017140029.1|DMIR, LOC108155225|XP_017141401.1|DMIR	LOC119081961|XP_037047159.1|BCOP, LOC119070043|XP_037030222.1|BCOP
