Orthogroup	DMIR.longest_only	DBIA.longest_only
OG0000003	LOC108160529|XP_017150078.1|DMIR	LOC108024348|XP_016949739.1|DBIA, LOC108030024|XP_016958053.1|DBIA
OG0000003	LOC108160375|XP_017149841.1|DMIR	LOC108030125|XP_016958318.1|DBIA
OG0000003	LOC108160594|XP_033252769.1|DMIR, LOC117187951|XP_033246844.1|DMIR, LOC108158057|XP_033247543.1|DMIR	LOC108030172|XP_016958401.1|DBIA, LOC108029856|XP_016957835.1|DBIA
OG0000003	LOC108160818|XP_017150534.1|DMIR	LOC108029931|XP_016957914.1|DBIA, LOC108030395|XP_016958768.1|DBIA, LOC108034850|XP_016965477.1|DBIA, LOC108030023|XP_016958052.1|DBIA, LOC108029857|XP_016957836.1|DBIA, LOC108029859|XP_016957838.1|DBIA
OG0000003	LOC108160275|XP_017149646.1|DMIR	LOC108030173|XP_016958402.1|DBIA
OG0000003	LOC117193381|XP_033253996.1|DMIR, LOC108160276|XP_017149647.1|DMIR	LOC108029368|XP_016957084.1|DBIA
OG0000003	LOC108160277|XP_033246842.1|DMIR, LOC108160733|XP_017150409.1|DMIR	LOC108029347|XP_016957028.1|DBIA, LOC108029367|XP_016957083.1|DBIA
OG0000003	LOC108163634|XP_017154532.1|DMIR	LOC108034204|XP_016964524.1|DBIA
OG0000006	LOC117187301|XP_033245562.1|DMIR	LOC108021907|XP_016946218.1|DBIA
OG0000007	LOC108153675|XP_017139280.1|DMIR, LOC108165331|XP_017156854.2|DMIR	LOC108028761|XP_016956223.1|DBIA
OG0000007	LOC108152481|XP_017137344.1|DMIR	LOC108028706|XP_016956144.1|DBIA
OG0000007	LOC108152482|XP_017137345.1|DMIR	LOC108028547|XP_016955936.1|DBIA, LOC108028548|XP_016955937.1|DBIA, LOC108028068|XP_016955198.1|DBIA, LOC108028546|XP_016955935.1|DBIA, LOC108027995|XP_016955111.1|DBIA
OG0000007	LOC108163948|XP_017154978.1|DMIR	LOC108027672|XP_016954706.1|DBIA
OG0000007	LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR	LOC108029358|XP_016957069.1|DBIA
OG0000007	LOC108164248|XP_017155372.1|DMIR	LOC108027695|XP_016954733.1|DBIA, LOC108027675|XP_016954708.1|DBIA
OG0000007	LOC108165521|XP_017157067.1|DMIR	LOC108034518|XP_016964930.1|DBIA
OG0000007	LOC108164169|XP_017155268.2|DMIR	LOC108027854|XP_016954941.1|DBIA
OG0000007	LOC108152483|XP_017137346.1|DMIR	LOC108028309|XP_016955521.1|DBIA
OG0000007	LOC108152484|XP_017137347.1|DMIR	LOC108028310|XP_016955522.1|DBIA
OG0000008	LOC108154982|XP_017141010.1|DMIR	LOC108032174|XP_016961516.1|DBIA
OG0000008	LOC108151537|XP_017135681.1|DMIR	LOC108034858|XP_016965498.1|DBIA
OG0000008	LOC108151536|XP_017135679.1|DMIR	LOC108034855|XP_016965493.1|DBIA
OG0000008	LOC108161577|XP_017151355.1|DMIR	LOC108033465|XP_016963291.1|DBIA
OG0000008	LOC108151539|XP_017135683.2|DMIR	LOC108034860|XP_016965500.1|DBIA
OG0000008	LOC108154402|XP_017140161.1|DMIR	LOC108027365|XP_016954278.1|DBIA, LOC108027065|XP_016953763.1|DBIA
OG0000008	LOC108153895|XP_033244232.1|DMIR	LOC108027095|XP_016953802.1|DBIA
OG0000008	LOC108154491|XP_017140280.1|DMIR	LOC108027071|XP_016953774.1|DBIA
OG0000009	LOC108157813|XP_017145500.1|DMIR	LOC108031158|XP_016959863.1|DBIA
OG0000009	LOC108154360|XP_017140115.1|DMIR	LOC108032245|XP_016961597.1|DBIA
OG0000009	LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR	LOC108031475|XP_016960425.1|DBIA, LOC108032170|XP_016961513.1|DBIA
OG0000009	LOC108157842|XP_017145534.1|DMIR, LOC108157418|XP_017144958.2|DMIR, LOC108157419|XP_017144960.2|DMIR, LOC108154524|XP_017140312.1|DMIR	LOC108028108|XP_016955244.1|DBIA
OG0000009	LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR	LOC108022184|XP_016946525.1|DBIA
OG0000009	LOC108154377|XP_017140130.1|DMIR	LOC108032134|XP_016961458.1|DBIA
OG0000009	LOC108160943|XP_017150721.1|DMIR	LOC108023117|XP_016947872.1|DBIA
OG0000009	LOC108158336|XP_017146065.1|DMIR	LOC108023077|XP_016947817.1|DBIA, LOC108023079|XP_016947818.1|DBIA, LOC108022200|XP_016946542.1|DBIA
OG0000010	LOC117187310|XP_033245574.1|DMIR, LOC108156705|XP_033245573.1|DMIR	LOC108024778|XP_016950383.1|DBIA
OG0000011	LOC117185695|XP_017152271.2|DMIR, LOC108163065|XP_017153628.2|DMIR, LOC117188829|XP_033249173.1|DMIR, LOC108161855|XP_033249172.1|DMIR, LOC108164675|XP_017156017.1|DMIR, LOC108162189|XP_033249910.1|DMIR, LOC108162187|XP_017152275.1|DMIR, LOC108162186|XP_017152273.1|DMIR, LOC117188852|XP_033249240.1|DMIR, LOC108161557|XP_017151330.1|DMIR, LOC108163629|XP_017154523.1|DMIR, LOC108162188|XP_017152278.1|DMIR, LOC108163972|XP_017155018.1|DMIR, LOC117185693|XP_017154036.1|DMIR, LOC117188957|XP_033249531.1|DMIR, LOC108162812|XP_017153212.1|DMIR, LOC108163322|XP_033249532.1|DMIR, LOC108162815|XP_017153219.1|DMIR	LOC108027845|XP_016954924.1|DBIA, LOC108033439|XP_016963254.1|DBIA, LOC108027659|XP_016954664.1|DBIA, LOC108027849|XP_016954932.1|DBIA, LOC108027686|XP_016954724.1|DBIA, LOC108027698|XP_016954736.1|DBIA, LOC108027691|XP_016954727.1|DBIA, LOC108027694|XP_016954732.1|DBIA, LOC108030731|XP_016959262.1|DBIA, LOC108030820|XP_016959420.1|DBIA, LOC108030017|XP_016958025.1|DBIA, LOC108025089|XP_016950839.1|DBIA, LOC108027384|XP_016954306.1|DBIA, LOC108035135|XP_016966066.1|DBIA, LOC108027385|XP_016954308.1|DBIA, LOC108028835|XP_016956315.1|DBIA, LOC108027989|XP_016955104.1|DBIA, LOC108030612|XP_016959094.1|DBIA, LOC108033420|XP_016963229.1|DBIA, LOC108027705|XP_016954744.1|DBIA, LOC108027867|XP_016954970.1|DBIA, LOC108033517|XP_016963352.1|DBIA, LOC108033630|XP_016963538.1|DBIA, LOC108035164|XP_016966113.1|DBIA, LOC108024287|XP_016949675.1|DBIA
OG0000011	LOC108165384|XP_017156911.1|DMIR	LOC108035648|XP_016966843.1|DBIA
OG0000011	LOC108153161|XP_017138453.1|DMIR	LOC108023177|XP_016947908.1|DBIA, LOC108035647|XP_016966842.1|DBIA
OG0000011	LOC108154131|XP_017139754.1|DMIR	LOC108024710|XP_016950292.1|DBIA
OG0000012	LOC108159199|XP_017147755.1|DMIR	LOC108026825|XP_016953482.1|DBIA
OG0000012	LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR	LOC108026824|XP_016953480.1|DBIA
OG0000012	LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR	LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA
OG0000012	LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR	LOC108026906|XP_016953604.1|DBIA
OG0000012	LOC108161008|XP_017150804.1|DMIR, LOC117185969|XP_033248320.1|DMIR, LOC108157993|XP_033248087.1|DMIR	LOC108026521|XP_016952956.1|DBIA, LOC108026886|XP_016953577.1|DBIA
OG0000012	LOC108160910|XP_017150675.1|DMIR	LOC108026520|XP_016952955.1|DBIA, LOC108026941|XP_016953643.1|DBIA
OG0000012	LOC108158925|XP_017147218.1|DMIR	LOC108022093|XP_016946425.1|DBIA
OG0000012	LOC108158929|XP_017147224.1|DMIR	LOC108022195|XP_016946536.1|DBIA
OG0000012	LOC108158928|XP_017147221.1|DMIR	LOC108023104|XP_016947858.1|DBIA, LOC108022092|XP_016946424.1|DBIA
OG0000012	LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR	LOC108022979|XP_016947693.1|DBIA
OG0000012	LOC108158927|XP_017147219.1|DMIR	LOC108022976|XP_016947689.1|DBIA
OG0000013	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR	LOC108036445|XP_016968074.1|DBIA
OG0000013	LOC108152903|XP_017138042.1|DMIR	LOC108030851|XP_016959521.1|DBIA
OG0000013	LOC108157123|XP_017144495.1|DMIR, LOC108156384|XP_017143289.1|DMIR	LOC108031414|XP_016960303.1|DBIA
OG0000013	LOC108151516|XP_033243870.1|DMIR	LOC108034990|XP_016965812.1|DBIA
OG0000013	LOC108154911|XP_017140853.2|DMIR, LOC117187087|XP_033244842.1|DMIR	LOC108026153|XP_016952377.1|DBIA
OG0000013	LOC117187120|XP_033245008.1|DMIR, LOC117187121|XP_033245009.1|DMIR, LOC108154243|XP_017139966.2|DMIR, LOC108154002|XP_033245010.1|DMIR	LOC108031653|XP_016960776.1|DBIA, LOC108022928|XP_016947668.1|DBIA, LOC108024680|XP_016950243.1|DBIA, LOC108024686|XP_016950255.1|DBIA, LOC108031441|XP_016960362.1|DBIA
OG0000014	LOC117194202|XP_033254747.1|DMIR	LOC108035861|XP_016967096.1|DBIA
OG0000014	LOC117186505|XP_033243277.1|DMIR	LOC108022025|XP_016946391.1|DBIA
OG0000014	LOC117187335|XP_033245659.1|DMIR	LOC108021915|XP_016946228.1|DBIA, LOC108031505|XP_016960503.1|DBIA
OG0000014	LOC117194184|XP_033254734.1|DMIR, LOC117191141|XP_033251995.1|DMIR, LOC108162358|XP_033255233.1|DMIR, LOC117191000|XP_033251872.1|DMIR	LOC108022036|XP_016946371.1|DBIA
OG0000015	LOC117189153|XP_033250113.1|DMIR, LOC108162329|XP_017152508.1|DMIR, LOC108162330|XP_017152509.1|DMIR	LOC108030294|XP_016958615.1|DBIA
OG0000016	LOC108156024|XP_017142762.1|DMIR	LOC108031488|XP_016960465.1|DBIA
OG0000016	LOC108160302|XP_017149703.1|DMIR, LOC117190705|XP_033251658.1|DMIR	LOC108022510|XP_016946968.1|DBIA
OG0000016	LOC108155657|XP_017142098.1|DMIR	LOC108032049|XP_016961350.1|DBIA
OG0000016	LOC108159552|XP_017148467.1|DMIR, LOC117192977|XP_033253595.1|DMIR	LOC108036535|XP_016968248.1|DBIA
OG0000016	LOC108154361|XP_017140118.1|DMIR	LOC108031387|XP_016960277.1|DBIA
OG0000016	LOC117193102|XP_033253716.1|DMIR, LOC117194496|XP_033254943.1|DMIR, LOC117195216|XP_033255740.1|DMIR, LOC108159228|XP_017147821.1|DMIR	LOC108024269|XP_016949648.1|DBIA
OG0000016	LOC108156493|XP_017143475.1|DMIR	LOC108026160|XP_016952383.1|DBIA
OG0000016	LOC108150995|XP_017134834.1|DMIR	LOC108030823|XP_016959429.1|DBIA
OG0000017	LOC108153009|XP_017138281.1|DMIR	LOC108032967|XP_016962527.1|DBIA
OG0000017	LOC108160150|XP_017149453.1|DMIR	LOC108036348|XP_016967909.1|DBIA
OG0000017	LOC108159969|XP_017149141.1|DMIR, LOC108158038|XP_017145672.2|DMIR	LOC108036878|XP_016968743.1|DBIA
OG0000017	LOC108154022|XP_017139603.2|DMIR, LOC117191555|XP_033252276.1|DMIR	LOC108026055|XP_016952238.1|DBIA
OG0000017	LOC108160759|XP_017150448.1|DMIR	LOC108022955|XP_016947661.1|DBIA
OG0000017	LOC108159970|XP_017149142.1|DMIR	LOC108024069|XP_016949327.1|DBIA
OG0000017	LOC108157934|XP_017145566.1|DMIR	LOC108022064|XP_016946398.1|DBIA
OG0000017	LOC108161535|XP_017151304.1|DMIR, LOC108161536|XP_017151305.1|DMIR, LOC108161534|XP_017151303.1|DMIR	LOC108027769|XP_016954820.1|DBIA, LOC108027730|XP_016954771.1|DBIA
OG0000018	LOC108150828|XP_017134625.1|DMIR	LOC108028400|XP_016955704.1|DBIA
OG0000018	LOC108150791|XP_017134583.1|DMIR	LOC108028081|XP_016955212.1|DBIA
OG0000018	LOC108150854|XP_017134645.1|DMIR	LOC108028402|XP_016955706.1|DBIA
OG0000018	LOC108150808|XP_017134601.1|DMIR, LOC108165552|XP_017157116.1|DMIR, LOC108165550|XP_017157115.1|DMIR, LOC108150800|XP_017134593.1|DMIR	LOC108028083|XP_016955214.1|DBIA, LOC108028405|XP_016955709.1|DBIA, LOC108028408|XP_016955713.1|DBIA, LOC108028407|XP_016955711.1|DBIA, LOC108028404|XP_016955708.1|DBIA, LOC108028411|XP_016955717.1|DBIA, LOC108028409|XP_016955715.1|DBIA, LOC108028410|XP_016955716.1|DBIA
OG0000019	LOC108157046|XP_017144351.1|DMIR, LOC108157045|XP_017144349.1|DMIR, LOC108157044|XP_017144348.1|DMIR	LOC108025227|XP_016951062.1|DBIA
OG0000019	LOC108157037|XP_017144339.1|DMIR	LOC108025224|XP_016951060.1|DBIA
OG0000019	LOC108157043|XP_017144347.2|DMIR	LOC108025228|XP_016951063.1|DBIA
OG0000019	LOC108157041|XP_017144346.1|DMIR, LOC108153982|XP_033245000.1|DMIR, LOC108157040|XP_017144345.2|DMIR	LOC108025225|XP_016951061.1|DBIA, LOC108025231|XP_016951067.1|DBIA
OG0000020	LOC108156412|XP_017143346.1|DMIR	LOC108026305|XP_016952678.1|DBIA
OG0000020	LOC108159642|XP_033248178.1|DMIR	LOC108026784|XP_016953432.1|DBIA
OG0000020	LOC108163672|XP_017154587.1|DMIR	LOC108033312|XP_016963077.1|DBIA, LOC108032062|XP_016961369.1|DBIA, LOC108034320|XP_016964679.1|DBIA, LOC108036239|XP_016967737.1|DBIA, LOC108036110|XP_016967573.1|DBIA
OG0000020	LOC108155178|XP_017141337.1|DMIR	LOC108031537|XP_016960562.1|DBIA
OG0000020	LOC108156137|XP_017142939.1|DMIR	LOC108024628|XP_016950157.1|DBIA
OG0000020	LOC108163835|XP_033249247.1|DMIR	LOC108034268|XP_016964616.1|DBIA
OG0000020	LOC108163643|XP_017154542.1|DMIR	LOC108033875|XP_016964007.1|DBIA
OG0000021	LOC117188002|XP_033246994.1|DMIR, LOC108160898|XP_017150659.2|DMIR	LOC108027666|XP_016954700.1|DBIA
OG0000021	LOC108159771|XP_017148818.1|DMIR, LOC117193201|XP_033253843.1|DMIR	LOC108027081|XP_016953819.1|DBIA
OG0000021	LOC108159581|XP_017148519.1|DMIR	LOC108022678|XP_016947238.1|DBIA
OG0000021	LOC108160670|XP_017150305.2|DMIR, LOC117188150|XP_033247446.1|DMIR	LOC108022247|XP_016946595.1|DBIA
OG0000021	LOC117185989|XP_033241901.1|DMIR, LOC108162397|XP_033252470.1|DMIR	LOC108022243|XP_016946590.1|DBIA
OG0000021	LOC108160899|XP_017150660.1|DMIR, LOC117193202|XP_033253844.1|DMIR	LOC108036897|XP_016968766.1|DBIA
OG0000021	LOC108164567|XP_033246575.1|DMIR	LOC108025789|XP_016951907.1|DBIA
OG0000021	LOC108156061|XP_017142833.1|DMIR	LOC108026319|XP_016952697.1|DBIA
OG0000021	LOC108156847|XP_017144055.1|DMIR	LOC108027350|XP_016954258.1|DBIA
OG0000021	LOC108164951|XP_017156435.1|DMIR	LOC108026442|XP_016952872.1|DBIA
OG0000022	LOC108158428|XP_017146199.1|DMIR, LOC117193272|XP_033253907.1|DMIR, LOC117193269|XP_033253905.1|DMIR	LOC108022346|XP_016946698.1|DBIA
OG0000022	LOC108152468|XP_017137324.1|DMIR	LOC108030636|XP_016959139.1|DBIA
OG0000022	LOC108152474|XP_017137333.2|DMIR, LOC117186204|XP_033242420.1|DMIR, LOC108152475|XP_017137334.2|DMIR	LOC108029210|XP_016956886.1|DBIA, LOC108029216|XP_016956899.1|DBIA, LOC108027792|XP_016954853.1|DBIA, LOC108029236|XP_016956922.1|DBIA
OG0000022	LOC108152470|XP_017137327.1|DMIR	LOC108029246|XP_016956933.1|DBIA, LOC108029225|XP_016956911.1|DBIA
OG0000022	LOC108152469|XP_017137325.1|DMIR	LOC108029203|XP_016956872.1|DBIA
OG0000023	LOC108153857|XP_033244801.1|DMIR	LOC108027148|XP_016953858.1|DBIA
OG0000023	LOC108155686|XP_017142144.1|DMIR	LOC108027146|XP_016953855.1|DBIA
OG0000023	LOC108155685|XP_017142143.1|DMIR	LOC108027143|XP_016953853.1|DBIA
OG0000023	LOC108158830|XP_017147022.1|DMIR	LOC108026627|XP_016953132.1|DBIA
OG0000023	LOC108153856|XP_033244802.1|DMIR	LOC108027145|XP_016953854.1|DBIA
OG0000023	LOC108157164|XP_017144562.1|DMIR	LOC108027009|XP_016953696.1|DBIA
OG0000023	LOC108156708|XP_017143845.1|DMIR	LOC108027245|XP_016954086.1|DBIA
OG0000023	LOC108156707|XP_017143844.1|DMIR	LOC108027357|XP_016954268.1|DBIA
OG0000023	LOC108156709|XP_033245059.1|DMIR	LOC108027244|XP_016954083.1|DBIA
OG0000024	LOC108160883|XP_017150641.1|DMIR	LOC108022666|XP_016947224.1|DBIA
OG0000024	LOC117194102|XP_033254634.1|DMIR, LOC108160812|XP_017150524.1|DMIR	LOC108022667|XP_016947225.1|DBIA
OG0000024	LOC108161382|XP_017151119.1|DMIR	LOC108034270|XP_016964618.1|DBIA
OG0000024	LOC117194080|XP_033254609.1|DMIR, LOC108160979|XP_017150769.1|DMIR	LOC108022158|XP_016946489.1|DBIA
OG0000024	LOC108159455|XP_017148242.1|DMIR	LOC108029512|XP_016957298.1|DBIA
OG0000025	LOC108162357|XP_017152552.1|DMIR, LOC108157728|XP_017145391.1|DMIR	LOC108023228|XP_016947991.1|DBIA
OG0000026	LOC108150850|XP_017134646.1|DMIR	LOC108032654|XP_016962104.1|DBIA
OG0000026	LOC108162957|XP_033248732.1|DMIR	LOC108033571|XP_016963404.1|DBIA
OG0000026	LOC108165129|XP_017156683.1|DMIR	LOC108036455|XP_016968112.1|DBIA
OG0000026	LOC108157803|XP_017145484.1|DMIR, LOC108155726|XP_017142223.1|DMIR, LOC108154308|XP_017140053.1|DMIR	LOC108027284|XP_016954161.1|DBIA
OG0000026	LOC108157162|XP_017144561.1|DMIR	LOC108027046|XP_016953736.1|DBIA
OG0000027	LOC108162948|XP_017153432.1|DMIR	LOC108033374|XP_016963181.1|DBIA
OG0000027	LOC108162949|XP_017153433.1|DMIR	LOC108033303|XP_016963062.1|DBIA
OG0000027	LOC108162947|XP_017153431.1|DMIR	LOC108033359|XP_016963159.1|DBIA
OG0000028	LOC108165421|XP_017156949.1|DMIR	LOC108035881|XP_016967123.1|DBIA
OG0000028	LOC108151302|XP_017135327.1|DMIR	LOC108035021|XP_016965853.1|DBIA
OG0000029	LOC117191657|XP_033252354.1|DMIR, LOC108158000|XP_017145632.1|DMIR	LOC108036183|XP_016967662.1|DBIA, LOC108029337|XP_016957019.1|DBIA, LOC108036041|XP_016967472.1|DBIA
OG0000029	LOC108154578|XP_017140369.1|DMIR	LOC108031286|XP_016960018.1|DBIA
OG0000029	LOC108150820|XP_017134616.1|DMIR	LOC108028180|XP_016955330.1|DBIA
OG0000030	LOC108161304|XP_017151013.1|DMIR	LOC108033534|XP_016963368.1|DBIA
OG0000030	LOC108161303|XP_017151011.1|DMIR, LOC108161305|XP_017151014.1|DMIR	LOC108033540|XP_016963373.1|DBIA
OG0000030	LOC108161162|XP_017150872.2|DMIR	LOC108036692|XP_016968470.1|DBIA
OG0000030	LOC108160793|XP_017150492.1|DMIR	LOC108022382|XP_016946753.1|DBIA
OG0000030	LOC108151546|XP_033246807.1|DMIR	LOC108023610|XP_016948706.1|DBIA
OG0000030	LOC108154542|XP_017140365.1|DMIR	LOC108024286|XP_016949674.1|DBIA
OG0000031	LOC108163859|XP_017154864.1|DMIR	LOC108032680|XP_016962144.1|DBIA, LOC108032585|XP_016961981.1|DBIA
OG0000031	LOC108161143|XP_033248838.1|DMIR, LOC108161141|XP_033248476.1|DMIR	LOC108034388|XP_016964759.1|DBIA, LOC108027702|XP_016954741.1|DBIA
OG0000031	LOC108161610|XP_017151398.1|DMIR	LOC108033357|XP_016963157.1|DBIA, LOC108034241|XP_016964579.1|DBIA
OG0000032	LOC108156619|XP_017143664.1|DMIR	LOC108027359|XP_016954271.1|DBIA
OG0000032	LOC108157651|XP_017145290.1|DMIR	LOC108027164|XP_016953916.1|DBIA
OG0000032	LOC108156621|XP_017143666.1|DMIR	LOC108027269|XP_016954133.1|DBIA
OG0000032	LOC108156620|XP_017143665.1|DMIR	LOC108027165|XP_016953917.1|DBIA
OG0000032	LOC108157634|XP_017145264.1|DMIR	LOC108027028|XP_016953713.1|DBIA
OG0000032	LOC108156618|XP_017143663.1|DMIR	LOC108027228|XP_016954051.1|DBIA, LOC108027267|XP_016954131.1|DBIA, LOC108027001|XP_016953689.1|DBIA, LOC108027268|XP_016954132.1|DBIA
OG0000033	LOC108156558|XP_017143572.1|DMIR	LOC108024481|XP_016949890.1|DBIA, LOC108024462|XP_016949869.1|DBIA, LOC108024301|XP_016949691.1|DBIA
OG0000033	LOC117189759|XP_033250731.1|DMIR, LOC108159420|XP_017148176.1|DMIR	LOC108030100|XP_016958275.1|DBIA
OG0000033	LOC117187710|XP_033246345.1|DMIR, LOC108159419|XP_017148175.2|DMIR	LOC108030098|XP_016958274.1|DBIA
OG0000033	LOC108153999|XP_033244121.1|DMIR	LOC108028439|XP_016955758.1|DBIA, LOC108027435|XP_016954372.1|DBIA, LOC108036209|XP_016967690.1|DBIA, LOC108036211|XP_016967691.1|DBIA, LOC108036212|XP_016967692.1|DBIA
OG0000034	LOC108164271|XP_017155403.1|DMIR	LOC108033817|XP_016963934.1|DBIA, LOC108036384|XP_016967978.1|DBIA, LOC108035246|XP_016966273.1|DBIA
OG0000034	LOC108164069|XP_033249364.1|DMIR	LOC108034999|XP_016965831.1|DBIA
