Orthogroup	DYAK.longest_only	DNOV.longest_only
OG0000005	LOC120322209|XP_039233200.1|DYAK, LOC120322210|XP_039233201.1|DYAK, LOC120322206|XP_039233197.1|DYAK, LOC120321200|XP_039229119.1|DYAK, LOC120321199|XP_039229118.1|DYAK, LOC6529211|XP_002090218.1|DYAK, LOC120322207|XP_039233198.1|DYAK, LOC120322199|XP_039233190.1|DYAK, LOC120322204|XP_039233195.1|DYAK, LOC120322203|XP_039233194.1|DYAK, LOC120321241|XP_039229337.1|DYAK, LOC120321242|XP_039229338.1|DYAK, LOC120322205|XP_039233196.1|DYAK, LOC120321244|XP_039229340.1|DYAK, LOC120322201|XP_039233192.1|DYAK, LOC6539222|XP_002086121.1|DYAK, LOC6540449|XP_002087252.2|DYAK, LOC120322208|XP_039233199.1|DYAK, LOC120322200|XP_039233191.1|DYAK, LOC120321243|XP_039229339.1|DYAK, LOC120322202|XP_039233193.1|DYAK, LOC120322226|XP_039233214.1|DYAK	LOC115761952|XP_030559851.1|DNOV
OG0000006	LOC120322195|XP_039233186.1|DYAK	LOC115768961|XP_030569544.1|DNOV
OG0000006	LOC26535831|XP_015045247.2|DYAK	LOC115770611|XP_030571807.1|DNOV
OG0000007	LOC6534313|XP_002094993.1|DYAK, LOC6534314|XP_002094994.3|DYAK, LOC120321601|XP_039230656.1|DYAK	LOC115771063|XP_030572475.1|DNOV
OG0000007	LOC6533142|XP_002093868.1|DYAK	LOC115767673|XP_030567825.1|DNOV
OG0000007	LOC6533140|XP_002093866.1|DYAK, LOC6533138|XP_002093864.1|DYAK, LOC6533139|XP_002093865.1|DYAK	LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV
OG0000007	LOC6528628|XP_002089670.1|DYAK	LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV
OG0000007	LOC6527618|XP_002088706.1|DYAK	LOC115767684|XP_030567836.1|DNOV
OG0000007	LOC6532723|XP_002093465.1|DYAK, LOC6532724|XP_002093466.1|DYAK, LOC6527620|XP_002088708.1|DYAK	LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV
OG0000008	LOC26536044|XP_039231154.1|DYAK	LOC115759663|XP_030556519.1|DNOV
OG0000008	LOC6532927|XP_002093663.1|DYAK	LOC115762862|XP_030561098.1|DNOV
OG0000008	LOC6532930|XP_002093666.1|DYAK	LOC115762903|XP_030561140.1|DNOV
OG0000008	LOC6527319|XP_002088412.1|DYAK	LOC115759949|XP_030556951.1|DNOV
OG0000008	LOC6532928|XP_002093664.1|DYAK	LOC115762865|XP_030561099.1|DNOV
OG0000008	LOC6536139|XP_015047584.1|DYAK, LOC6536138|XP_039231652.1|DYAK	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV
OG0000008	LOC6536141|XP_039231654.1|DYAK	LOC115765612|XP_030565122.1|DNOV, LOC115765593|XP_030565102.1|DNOV
OG0000008	LOC6536143|XP_002096744.1|DYAK	LOC115765613|XP_030565123.1|DNOV
OG0000008	LOC6536140|XP_002096741.1|DYAK	LOC115765587|XP_030565097.1|DNOV
OG0000008	LOC6536142|XP_002096743.1|DYAK	LOC115765588|XP_030565098.1|DNOV
OG0000008	LOC6536144|XP_002096745.1|DYAK	LOC115765592|XP_030565101.1|DNOV
OG0000009	LOC6535723|XP_002096349.3|DYAK	LOC115763759|XP_030562333.1|DNOV
OG0000009	LOC6535721|XP_002096347.1|DYAK	LOC115763738|XP_030562299.1|DNOV
OG0000009	LOC6535720|XP_002096346.1|DYAK, LOC6535722|XP_002096348.1|DYAK	LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV
OG0000009	LOC6533117|XP_002093843.1|DYAK, LOC6533118|XP_002093844.1|DYAK	LOC115765543|XP_030565028.1|DNOV
OG0000009	LOC6532044|XP_002092821.1|DYAK	LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV
OG0000009	LOC6530109|XP_002091055.1|DYAK	LOC115760928|XP_030558363.1|DNOV
OG0000009	LOC6530111|XP_002091057.1|DYAK	LOC115759272|XP_030556034.1|DNOV
OG0000010	LOC120322219|XP_039233209.1|DYAK	LOC115770894|XP_030572189.1|DNOV
OG0000010	LOC120322218|XP_039233208.1|DYAK	LOC115761953|XP_030559852.1|DNOV
OG0000010	LOC120322222|XP_039233212.1|DYAK	LOC115770584|XP_030571769.1|DNOV
OG0000010	LOC26535638|XP_039229341.1|DYAK, LOC120322220|XP_039233210.1|DYAK, LOC26535724|XP_039233215.1|DYAK, LOC120322221|XP_039233211.1|DYAK	LOC115759945|XP_030556945.1|DNOV
OG0000011	LOC6534063|XP_002094749.1|DYAK	LOC115769277|XP_030569859.1|DNOV
OG0000011	LOC6536394|XP_002096976.1|DYAK	LOC115765906|XP_030565511.1|DNOV
OG0000012	LOC6530957|XP_002091795.1|DYAK	LOC115760603|XP_030557904.1|DNOV
OG0000012	LOC6530958|XP_002091796.1|DYAK	LOC115760694|XP_030558018.1|DNOV
OG0000012	LOC6530959|XP_015051811.1|DYAK	LOC115760695|XP_030558019.1|DNOV
OG0000012	LOC6530956|XP_002091794.1|DYAK	LOC115760604|XP_030557906.1|DNOV
OG0000012	LOC6530954|XP_002091792.1|DYAK, LOC6530955|XP_002091793.1|DYAK	LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV
OG0000012	LOC6530135|XP_002091081.1|DYAK, LOC6530133|XP_002091079.2|DYAK, LOC6530132|XP_002091078.1|DYAK, LOC6530131|XP_002091077.2|DYAK	LOC115760685|XP_030558012.1|DNOV
OG0000012	LOC6530130|XP_002091076.1|DYAK, LOC6530129|XP_002091075.1|DYAK	LOC115761057|XP_030558532.1|DNOV
OG0000013	LOC6530359|XP_002091285.1|DYAK	LOC115761021|XP_030558495.1|DNOV
OG0000013	LOC6525539|XP_002101374.1|DYAK	LOC115766810|XP_030566705.1|DNOV
OG0000013	LOC6537221|XP_002097779.1|DYAK	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV
OG0000013	LOC6534055|XP_002094741.1|DYAK	LOC115766188|XP_030565895.1|DNOV
OG0000013	LOC6536907|XP_002097476.1|DYAK	LOC115761668|XP_030559377.1|DNOV
OG0000013	LOC6538786|XP_002099299.1|DYAK	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV
OG0000013	LOC6536836|XP_039232142.1|DYAK, LOC6536837|XP_039232350.1|DYAK, LOC6536733|XP_039231378.1|DYAK, LOC26536199|XP_039231379.1|DYAK, LOC26535865|XP_039231377.1|DYAK	LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV
OG0000015	LOC6529704|XP_002090697.2|DYAK	LOC115763530|XP_030562001.1|DNOV
OG0000016	LOC6536965|XP_002097534.1|DYAK	LOC115761678|XP_030559394.1|DNOV
OG0000016	LOC6530731|XP_002091621.1|DYAK	LOC115762276|XP_030560298.1|DNOV
OG0000016	LOC6536862|XP_002097431.1|DYAK	LOC115761707|XP_030559439.1|DNOV
OG0000016	LOC6531360|XP_002092163.2|DYAK	LOC115764479|XP_030563416.1|DNOV
OG0000016	LOC6525488|XP_002101323.1|DYAK	LOC115768679|XP_030569221.1|DNOV
OG0000016	LOC6529087|XP_002090100.1|DYAK	LOC115762287|XP_030560311.1|DNOV
OG0000016	LOC6537169|XP_002097730.1|DYAK	LOC115757701|XP_030553908.1|DNOV
OG0000016	LOC6535129|XP_039230803.1|DYAK	LOC115770022|XP_030570941.1|DNOV
OG0000017	LOC6539128|XP_002086029.1|DYAK	LOC115762311|XP_030560338.1|DNOV, LOC115762076|XP_030560028.1|DNOV
OG0000017	LOC6538220|XP_039231078.1|DYAK, LOC6538219|XP_002098746.2|DYAK	LOC115759321|XP_030556091.1|DNOV, LOC115769464|XP_030570137.1|DNOV
OG0000017	LOC6531831|XP_002092618.3|DYAK	LOC115760654|XP_030557981.1|DNOV
OG0000017	LOC6529100|XP_002090113.1|DYAK	LOC115762485|XP_030560583.1|DNOV
OG0000017	LOC6526432|XP_002087551.1|DYAK	LOC115759266|XP_030556027.1|DNOV
OG0000018	LOC6533164|XP_002093890.1|DYAK	LOC115762746|XP_030560944.1|DNOV
OG0000018	LOC26535774|XP_015049832.1|DYAK	LOC115762718|XP_030560904.1|DNOV
OG0000018	LOC6533166|XP_002093892.1|DYAK	LOC115762873|XP_030561108.1|DNOV
OG0000019	LOC6538322|XP_039232218.1|DYAK	LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV
OG0000019	LOC6538326|XP_002098853.2|DYAK	LOC115771639|XP_030573299.1|DNOV
OG0000019	LOC6538321|XP_002098848.1|DYAK, LOC6538320|XP_002098847.1|DYAK	LOC115771914|XP_030573663.1|DNOV
OG0000020	LOC6538082|XP_002098616.1|DYAK	LOC115764021|XP_030562712.1|DNOV
OG0000020	LOC6530655|XP_002091553.1|DYAK	LOC115762420|XP_030560475.1|DNOV
OG0000020	LOC6529647|XP_002090641.1|DYAK, LOC6528749|XP_002089784.2|DYAK, LOC6527703|XP_002088787.1|DYAK	LOC115758764|XP_030555385.1|DNOV
OG0000020	LOC6535735|XP_039231556.1|DYAK	LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV
OG0000020	LOC6537431|XP_002097987.1|DYAK	LOC115767924|XP_030568152.1|DNOV, LOC115767925|XP_030568154.1|DNOV
OG0000020	LOC6529263|XP_002090268.1|DYAK, LOC6529648|XP_002090642.1|DYAK	LOC115758337|XP_030554771.1|DNOV
OG0000021	LOC6526678|XP_002087784.1|DYAK	LOC115762362|XP_030560400.1|DNOV
OG0000021	LOC6530550|XP_002091465.1|DYAK	LOC115763104|XP_030561408.1|DNOV
OG0000021	LOC6530532|XP_039228836.1|DYAK	LOC115764505|XP_030563459.1|DNOV
OG0000021	LOC6531172|XP_002092001.1|DYAK	LOC115772083|XP_030573900.1|DNOV
OG0000021	LOC6526013|XP_039229713.1|DYAK	LOC115768613|XP_030569130.1|DNOV
OG0000021	LOC6538705|XP_002099220.3|DYAK	LOC115770843|XP_030572140.1|DNOV
OG0000021	LOC6536819|XP_002097389.1|DYAK	LOC115771758|XP_030573467.1|DNOV
OG0000021	LOC6524816|XP_002100658.1|DYAK	LOC115766401|XP_030566179.1|DNOV
OG0000022	LOC6531452|XP_002092255.1|DYAK	LOC115757997|XP_030554350.1|DNOV
OG0000022	LOC6532322|XP_002093082.1|DYAK, LOC6532321|XP_002093081.1|DYAK, LOC6532323|XP_002093083.1|DYAK, LOC6532320|XP_002093080.1|DYAK	LOC115762577|XP_030560723.1|DNOV, LOC115762574|XP_030560719.1|DNOV, LOC115762578|XP_030560724.1|DNOV, LOC115762576|XP_030560721.1|DNOV
OG0000022	LOC6532325|XP_002093085.1|DYAK, LOC6532324|XP_002093084.1|DYAK	LOC115762575|XP_030560720.1|DNOV
OG0000023	LOC6536030|XP_002096645.2|DYAK	LOC115761260|XP_030558833.1|DNOV, LOC115761261|XP_030558835.1|DNOV
OG0000023	LOC6536027|XP_002096642.3|DYAK, LOC6536034|XP_002096649.3|DYAK	LOC115761508|XP_030559136.1|DNOV, LOC115761509|XP_030559137.1|DNOV
OG0000023	LOC6539886|XP_002086766.1|DYAK	LOC115761263|XP_030558837.1|DNOV
OG0000023	LOC6531278|XP_002092087.2|DYAK	LOC115761778|XP_030559575.1|DNOV
OG0000023	LOC26536093|XP_039232188.1|DYAK	LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV
OG0000023	LOC6536032|XP_039230972.1|DYAK	LOC115761262|XP_030558836.1|DNOV
OG0000023	LOC6536035|XP_002096650.2|DYAK	LOC115761659|XP_030559359.1|DNOV
OG0000023	LOC6540152|XP_039232191.1|DYAK	LOC115761434|XP_030559060.1|DNOV
OG0000024	LOC6530300|XP_002091227.1|DYAK, LOC6530298|XP_002091225.1|DYAK, LOC6530299|XP_002091226.1|DYAK, LOC6530302|XP_002091229.1|DYAK	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV, LOC115758204|XP_030554612.1|DNOV, LOC115758193|XP_030554595.1|DNOV
OG0000024	LOC6529811|XP_002090793.1|DYAK	LOC115763072|XP_030561360.1|DNOV
OG0000024	LOC6530303|XP_002091230.1|DYAK	LOC115758183|XP_030554583.1|DNOV
OG0000024	LOC6529951|XP_002090905.3|DYAK	LOC115764549|XP_030563528.1|DNOV
OG0000025	LOC6525230|XP_002101068.1|DYAK, LOC6527587|XP_002088675.1|DYAK	LOC115758436|XP_030554952.1|DNOV
OG0000026	LOC6525058|XP_002100897.1|DYAK	LOC115771353|XP_030572886.1|DNOV
OG0000026	LOC6528059|XP_002089126.1|DYAK	LOC115758902|XP_030555559.1|DNOV
OG0000026	LOC6535919|XP_002096535.1|DYAK	LOC115764140|XP_030562874.1|DNOV
OG0000027	LOC6526916|XP_002088015.1|DYAK	LOC115765969|XP_030565582.1|DNOV
OG0000027	LOC6526915|XP_002088014.1|DYAK	LOC115765940|XP_030565545.1|DNOV
OG0000028	LOC6534951|XP_039229813.1|DYAK	LOC115769342|XP_030569963.1|DNOV
OG0000029	LOC6536173|XP_002096764.1|DYAK	LOC115763803|XP_030562410.1|DNOV, LOC115763796|XP_030562398.1|DNOV
OG0000029	LOC6534230|XP_002094912.1|DYAK	LOC115767739|XP_030567914.1|DNOV
OG0000030	LOC6527318|XP_002088411.1|DYAK	LOC115760078|XP_030557121.1|DNOV
OG0000030	LOC6526597|XP_002087705.1|DYAK	LOC115759228|XP_030555983.1|DNOV
OG0000030	LOC6531827|XP_039228114.1|DYAK	LOC115760655|XP_030557982.1|DNOV, LOC115760698|XP_030558023.1|DNOV
OG0000030	LOC6524424|XP_002100282.1|DYAK	LOC115767988|XP_030568248.1|DNOV
OG0000030	LOC6525109|XP_002100948.2|DYAK	LOC115766352|XP_030566111.1|DNOV
OG0000031	LOC6528006|XP_002089073.1|DYAK	LOC115760051|XP_030557082.1|DNOV
OG0000032	LOC6536794|XP_002097364.1|DYAK	LOC115771909|XP_030573659.1|DNOV
OG0000032	LOC6536800|XP_002097370.2|DYAK	LOC115771910|XP_030573660.1|DNOV
OG0000032	LOC6536802|XP_002097372.1|DYAK, LOC6536801|XP_002097371.1|DYAK	LOC115771907|XP_030573657.1|DNOV, LOC115764177|XP_030562923.1|DNOV, LOC115771908|XP_030573658.1|DNOV
OG0000033	LOC6530309|XP_039228670.1|DYAK, LOC6530310|XP_039228063.1|DYAK, LOC6528345|XP_002089398.1|DYAK, LOC6528344|XP_002089397.2|DYAK	LOC115762530|XP_030560671.1|DNOV
OG0000033	LOC6528350|XP_002089399.1|DYAK	LOC115765180|XP_030564463.1|DNOV, LOC115765742|XP_030565266.1|DNOV, LOC115766042|XP_030565673.1|DNOV
OG0000034	LOC6531351|XP_002092155.1|DYAK, LOC6529512|XP_002090514.1|DYAK	LOC115758611|XP_030555202.1|DNOV
OG0000034	LOC6529511|XP_002090513.2|DYAK	LOC115759087|XP_030555781.1|DNOV
OG0000034	LOC6529510|XP_002090512.1|DYAK	LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV
OG0000034	LOC6536871|XP_002097440.2|DYAK	LOC115759327|XP_030556099.1|DNOV
OG0000034	LOC6527117|XP_002088210.1|DYAK	LOC115759323|XP_030556094.1|DNOV, LOC115758512|XP_030555064.1|DNOV
OG0000036	LOC6536018|XP_002096633.1|DYAK	LOC115761531|XP_030559163.1|DNOV
OG0000036	LOC6537201|XP_002097759.1|DYAK	LOC115759641|XP_030556490.1|DNOV
OG0000036	LOC6535269|XP_002095925.1|DYAK	LOC115764000|XP_030562680.1|DNOV
OG0000036	LOC6537913|XP_002098453.1|DYAK, LOC6537914|XP_039232806.1|DYAK	LOC115772100|XP_030573922.1|DNOV
OG0000037	LOC6531032|XP_002091868.2|DYAK	LOC115761663|XP_030559406.1|DNOV
OG0000037	LOC6535647|XP_002096275.2|DYAK, LOC6535648|XP_002096276.2|DYAK	LOC115761932|XP_030559822.1|DNOV
OG0000038	LOC6539691|XP_002086577.2|DYAK	LOC115769340|XP_030569961.1|DNOV
OG0000038	LOC6534938|XP_039229728.1|DYAK	LOC115769427|XP_030570094.1|DNOV
OG0000039	LOC6537610|XP_002098156.2|DYAK	LOC115764701|XP_030563759.1|DNOV
OG0000039	LOC6524746|XP_002100590.1|DYAK	LOC115766337|XP_030566090.1|DNOV
OG0000039	LOC6524745|XP_002100589.2|DYAK	LOC115767237|XP_030567298.1|DNOV
OG0000039	LOC6526007|XP_002101825.1|DYAK	LOC115766288|XP_030566016.1|DNOV
OG0000040	LOC6535485|XP_002096116.3|DYAK, LOC6536605|XP_002097181.1|DYAK	LOC115764750|XP_030563834.1|DNOV
OG0000040	LOC6536604|XP_002097180.1|DYAK	LOC115764751|XP_030563835.1|DNOV
OG0000040	LOC6535486|XP_002096117.1|DYAK, LOC6535487|XP_002096118.3|DYAK	LOC115764712|XP_030563772.1|DNOV, LOC115764710|XP_030563770.1|DNOV, LOC115764711|XP_030563771.1|DNOV
OG0000040	LOC6535489|XP_002096120.1|DYAK	LOC115764684|XP_030563733.1|DNOV
OG0000040	LOC6539025|XP_002099527.1|DYAK	LOC115771625|XP_030573267.1|DNOV
OG0000041	LOC6538543|XP_002099065.1|DYAK, LOC6538542|XP_002099064.1|DYAK, LOC6538540|XP_002099062.1|DYAK, LOC6538541|XP_002099063.1|DYAK, LOC6538533|XP_002099055.1|DYAK, LOC6538535|XP_039230997.1|DYAK, LOC6538534|XP_002099056.1|DYAK	LOC115770759|XP_030572032.1|DNOV, LOC115770764|XP_030572035.1|DNOV, LOC115770708|XP_030571966.1|DNOV
OG0000042	LOC6531112|XP_002091946.1|DYAK, LOC6531108|XP_002091942.2|DYAK, LOC6531111|XP_002091945.1|DYAK, LOC6531109|XP_039228701.1|DYAK, LOC6531110|XP_002091944.2|DYAK	LOC115761613|XP_030559276.1|DNOV, LOC115766969|XP_030566923.1|DNOV, LOC115760708|XP_030558036.1|DNOV, LOC115760858|XP_030558271.1|DNOV, LOC115760707|XP_030558035.1|DNOV, LOC115771107|XP_030572527.1|DNOV, LOC115760710|XP_030558038.1|DNOV, LOC115760709|XP_030558037.1|DNOV, LOC115760926|XP_030558361.1|DNOV, LOC115760860|XP_030558274.1|DNOV
OG0000043	LOC6536590|XP_002097166.1|DYAK	LOC115770548|XP_030571710.1|DNOV
OG0000043	LOC6536584|XP_002097160.1|DYAK	LOC115770561|XP_030571734.1|DNOV
OG0000043	LOC6536592|XP_002097168.1|DYAK, LOC6536593|XP_039231638.1|DYAK, LOC6539005|XP_002099507.1|DYAK, LOC6536594|XP_002097170.1|DYAK	LOC115770570|XP_030571745.1|DNOV
OG0000044	LOC6538530|XP_002099052.1|DYAK	LOC115770712|XP_030571969.1|DNOV
OG0000044	LOC6538526|XP_002099048.1|DYAK, LOC6538525|XP_002099047.1|DYAK	LOC115770724|XP_030571983.1|DNOV, LOC115770670|XP_030571898.1|DNOV
OG0000044	LOC6537407|XP_002097963.3|DYAK	LOC115766148|XP_030565844.1|DNOV
OG0000045	LOC6533631|XP_002094338.1|DYAK	LOC115771022|XP_030572403.1|DNOV
OG0000045	LOC6533629|XP_002094336.1|DYAK, LOC6533630|XP_002094337.1|DYAK	LOC115771240|XP_030572702.1|DNOV
OG0000045	LOC6533265|XP_002093991.2|DYAK	LOC115771239|XP_030572701.1|DNOV
OG0000045	LOC6533264|XP_002093990.1|DYAK	LOC115771237|XP_030572698.1|DNOV
OG0000046	LOC6525175|XP_002101013.1|DYAK, LOC6525174|XP_002101012.1|DYAK	LOC115768148|XP_030568502.1|DNOV
OG0000046	LOC6525176|XP_002101014.2|DYAK, LOC6537904|XP_002098445.2|DYAK, LOC6537905|XP_039232534.1|DYAK, LOC6537903|XP_002098444.1|DYAK, LOC6537902|XP_002098443.2|DYAK, LOC6537901|XP_002098442.1|DYAK, LOC6530015|XP_002090961.3|DYAK	LOC115771633|XP_030573292.1|DNOV, LOC115771634|XP_030573293.1|DNOV, LOC115768146|XP_030568501.1|DNOV
OG0000047	LOC6531396|XP_002092199.1|DYAK	LOC115760745|XP_030558082.1|DNOV
OG0000047	LOC6529920|XP_002090877.1|DYAK	LOC115757956|XP_030554291.1|DNOV
OG0000047	LOC6529913|XP_002090870.1|DYAK	LOC115757840|XP_030554132.1|DNOV
OG0000048	LOC6539501|XP_002086390.1|DYAK, LOC26534611|XP_015045057.1|DYAK	LOC115762856|XP_030561091.1|DNOV
OG0000048	LOC6539643|XP_002086528.1|DYAK	LOC115762848|XP_030561084.1|DNOV
OG0000048	LOC6539644|XP_002086526.2|DYAK	LOC115762847|XP_030561083.1|DNOV
OG0000048	LOC6539640|XP_002086529.1|DYAK	LOC115762857|XP_030561093.1|DNOV
OG0000049	LOC6536652|XP_002097224.1|DYAK	LOC115761547|XP_030559189.1|DNOV
OG0000049	LOC6537437|XP_002097993.1|DYAK	LOC115761542|XP_030559185.1|DNOV
OG0000049	LOC6536653|XP_002097225.1|DYAK	LOC115761399|XP_030559017.1|DNOV
OG0000049	LOC6536654|XP_002097226.1|DYAK	LOC115761457|XP_030559084.1|DNOV
OG0000049	LOC6537438|XP_002097994.1|DYAK	LOC115761552|XP_030559195.1|DNOV
OG0000050	LOC6530239|XP_002091176.2|DYAK	LOC115758280|XP_030554702.1|DNOV
OG0000050	LOC6535164|XP_002095826.2|DYAK	LOC115770327|XP_030571425.1|DNOV
OG0000050	LOC6535163|XP_002095825.2|DYAK	LOC115770328|XP_030571426.1|DNOV
OG0000050	LOC120320448|XP_039230150.1|DYAK	LOC115770326|XP_030571424.1|DNOV
OG0000050	LOC6535165|XP_002095827.2|DYAK	LOC115770322|XP_030571419.1|DNOV
OG0000051	LOC6536236|XP_002096825.1|DYAK	LOC115763752|XP_030562324.1|DNOV
OG0000051	LOC6536859|XP_002097428.1|DYAK	LOC115761373|XP_030558983.1|DNOV
OG0000052	LOC6536447|XP_002097028.1|DYAK, LOC6537955|XP_002098492.1|DYAK, LOC6536445|XP_002097026.2|DYAK, LOC6536449|XP_002097030.1|DYAK, LOC6536448|XP_002097029.1|DYAK	LOC115763778|XP_030562359.1|DNOV, LOC115763892|XP_030562530.1|DNOV, LOC115763891|XP_030562528.1|DNOV, LOC115763777|XP_030562358.1|DNOV
OG0000052	LOC6531034|XP_002091870.1|DYAK	LOC115771518|XP_030573117.1|DNOV
OG0000052	LOC6531035|XP_002091871.1|DYAK	LOC115771510|XP_030573105.1|DNOV
OG0000053	LOC6528601|XP_002089644.1|DYAK	LOC115771927|XP_030573689.1|DNOV
OG0000053	LOC6528600|XP_002089643.1|DYAK	LOC115771866|XP_030573609.1|DNOV
OG0000053	LOC6528599|XP_002089642.1|DYAK	LOC115771921|XP_030573679.1|DNOV
OG0000053	LOC6528598|XP_002089641.2|DYAK	LOC115771855|XP_030573599.1|DNOV
OG0000053	LOC6528594|XP_002089637.3|DYAK	LOC115771936|XP_030573699.1|DNOV
OG0000054	LOC6537158|XP_002097719.1|DYAK	LOC115766043|XP_030565674.1|DNOV
OG0000054	LOC6537157|XP_002097718.1|DYAK	LOC115770765|XP_030572036.1|DNOV
OG0000054	LOC6537155|XP_002097716.1|DYAK, LOC6537156|XP_002097717.1|DYAK	LOC115766097|XP_030565772.1|DNOV
OG0000055	LOC6538864|XP_002099370.1|DYAK, LOC6538865|XP_002099371.1|DYAK	LOC115761443|XP_030559069.1|DNOV, LOC115761430|XP_030559056.1|DNOV, LOC115761433|XP_030559059.1|DNOV, LOC115761408|XP_030559028.1|DNOV
OG0000055	LOC26536326|XP_015049075.1|DYAK	LOC115761644|XP_030559338.1|DNOV
OG0000056	LOC6537842|XP_002098383.1|DYAK	LOC115764820|XP_030563929.1|DNOV
OG0000056	LOC6537844|XP_002098385.1|DYAK, LOC6537846|XP_002098387.1|DYAK, LOC6537845|XP_002098386.1|DYAK	LOC115764821|XP_030563930.1|DNOV
OG0000058	LOC6530969|XP_002091807.2|DYAK, LOC6529786|XP_002090770.1|DYAK, LOC6530971|XP_002091809.1|DYAK	LOC115758934|XP_030555595.1|DNOV
