Orthogroup	DYAK.longest_only	SLEB.longest_only
OG0000012	LOC6530959|XP_015051811.1|DYAK	LOC115624523|XP_030375106.1|SLEB
OG0000012	LOC6530956|XP_002091794.1|DYAK	LOC115632632|XP_030385725.1|SLEB
OG0000012	LOC6530135|XP_002091081.1|DYAK, LOC6530133|XP_002091079.2|DYAK, LOC6530132|XP_002091078.1|DYAK, LOC6530131|XP_002091077.2|DYAK	LOC115630730|XP_030383248.1|SLEB
OG0000012	LOC6530130|XP_002091076.1|DYAK, LOC6530129|XP_002091075.1|DYAK	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB
OG0000013	LOC6530359|XP_002091285.1|DYAK	LOC115634441|XP_030388010.1|SLEB
OG0000013	LOC6525539|XP_002101374.1|DYAK	LOC115626662|XP_030377938.1|SLEB
OG0000013	LOC6537221|XP_002097779.1|DYAK	LOC115625570|XP_030376527.1|SLEB
OG0000013	LOC6534055|XP_002094741.1|DYAK	LOC115623047|XP_030373085.1|SLEB
OG0000013	LOC6536907|XP_002097476.1|DYAK	LOC115621092|XP_030370486.1|SLEB
OG0000013	LOC6538786|XP_002099299.1|DYAK	LOC115624312|XP_030374797.1|SLEB
OG0000013	LOC6536836|XP_039232142.1|DYAK, LOC6536837|XP_039232350.1|DYAK, LOC6536733|XP_039231378.1|DYAK, LOC26536199|XP_039231379.1|DYAK, LOC26535865|XP_039231377.1|DYAK	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB
OG0000015	LOC6529704|XP_002090697.2|DYAK	LOC115626216|XP_030377371.1|SLEB
OG0000015	LOC6530275|XP_002091207.2|DYAK, LOC6538477|XP_002099001.3|DYAK	LOC115628471|XP_030380453.1|SLEB
OG0000016	LOC6536965|XP_002097534.1|DYAK	LOC115621740|XP_030371332.1|SLEB
OG0000016	LOC6530731|XP_002091621.1|DYAK	LOC115634422|XP_030387989.1|SLEB
OG0000016	LOC6536862|XP_002097431.1|DYAK	LOC115620605|XP_030369779.1|SLEB
OG0000016	LOC6531360|XP_002092163.2|DYAK	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB
OG0000016	LOC6525488|XP_002101323.1|DYAK	LOC115628929|XP_030381051.1|SLEB
OG0000016	LOC6529087|XP_002090100.1|DYAK	LOC115634608|XP_030388318.1|SLEB
OG0000016	LOC6537169|XP_002097730.1|DYAK	LOC115621272|XP_030370732.1|SLEB
OG0000016	LOC6535129|XP_039230803.1|DYAK	LOC115634447|XP_030388017.1|SLEB
OG0000017	LOC6525337|XP_002101173.1|DYAK	LOC115627671|XP_030379272.1|SLEB
OG0000017	LOC6528495|XP_002089541.2|DYAK	LOC115619974|XP_030368869.1|SLEB
OG0000017	LOC6539128|XP_002086029.1|DYAK	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB
OG0000017	LOC6531831|XP_002092618.3|DYAK	LOC115630526|XP_030382993.1|SLEB
OG0000017	LOC6529100|XP_002090113.1|DYAK	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB
OG0000017	LOC6526432|XP_002087551.1|DYAK	LOC115620280|XP_030369314.1|SLEB
OG0000018	LOC6533164|XP_002093890.1|DYAK	LOC115633159|XP_030386430.1|SLEB
OG0000018	LOC26535738|XP_015049834.1|DYAK	LOC115632704|XP_030385802.1|SLEB
OG0000018	LOC26535774|XP_015049832.1|DYAK	LOC115633160|XP_030386431.1|SLEB
OG0000018	LOC6533166|XP_002093892.1|DYAK	LOC115633162|XP_030386433.1|SLEB
OG0000019	LOC6538322|XP_039232218.1|DYAK	LOC115621701|XP_030371268.1|SLEB
OG0000019	LOC6538326|XP_002098853.2|DYAK	LOC115621698|XP_030371264.1|SLEB
OG0000019	LOC6538321|XP_002098848.1|DYAK, LOC6538320|XP_002098847.1|DYAK	LOC115621700|XP_030371267.1|SLEB
OG0000020	LOC6538082|XP_002098616.1|DYAK	LOC115620461|XP_030369552.1|SLEB
OG0000020	LOC6530655|XP_002091553.1|DYAK	LOC115634835|XP_030388616.1|SLEB
OG0000020	LOC6529647|XP_002090641.1|DYAK, LOC6528749|XP_002089784.2|DYAK, LOC6527703|XP_002088787.1|DYAK	LOC115625139|XP_030375917.1|SLEB
OG0000020	LOC6535735|XP_039231556.1|DYAK	LOC115623558|XP_030373816.1|SLEB
OG0000020	LOC6537431|XP_002097987.1|DYAK	LOC115623561|XP_030373817.1|SLEB
OG0000020	LOC6529263|XP_002090268.1|DYAK, LOC6529648|XP_002090642.1|DYAK	LOC115625796|XP_030376833.1|SLEB
OG0000021	LOC6526678|XP_002087784.1|DYAK	LOC115632536|XP_030385602.1|SLEB
OG0000021	LOC6530550|XP_002091465.1|DYAK	LOC115624982|XP_030375700.1|SLEB
OG0000021	LOC6531172|XP_002092001.1|DYAK	LOC115619935|XP_030372749.1|SLEB
OG0000021	LOC6526013|XP_039229713.1|DYAK	LOC115629488|XP_030381818.1|SLEB
OG0000021	LOC6538705|XP_002099220.3|DYAK	LOC115625208|XP_030376037.1|SLEB
OG0000021	LOC6536819|XP_002097389.1|DYAK	LOC115620616|XP_030369796.1|SLEB
OG0000021	LOC6524816|XP_002100658.1|DYAK	LOC115629963|XP_030382440.1|SLEB
OG0000022	LOC6531452|XP_002092255.1|DYAK	LOC115634544|XP_030388214.1|SLEB
OG0000022	LOC6532322|XP_002093082.1|DYAK, LOC6532321|XP_002093081.1|DYAK, LOC6532323|XP_002093083.1|DYAK, LOC6532320|XP_002093080.1|DYAK	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB
OG0000022	LOC6532325|XP_002093085.1|DYAK, LOC6532324|XP_002093084.1|DYAK	LOC115624802|XP_030375508.1|SLEB
OG0000023	LOC6536030|XP_002096645.2|DYAK	LOC115623320|XP_030373442.1|SLEB
OG0000023	LOC6536027|XP_002096642.3|DYAK, LOC6536034|XP_002096649.3|DYAK	LOC115623826|XP_030374229.1|SLEB
OG0000023	LOC6539886|XP_002086766.1|DYAK	LOC115623325|XP_030373446.1|SLEB
OG0000023	LOC26536093|XP_039232188.1|DYAK	LOC115623824|XP_030374228.1|SLEB
OG0000023	LOC6536032|XP_039230972.1|DYAK	LOC115623322|XP_030373444.1|SLEB
OG0000023	LOC6536035|XP_002096650.2|DYAK	LOC115623321|XP_030373443.1|SLEB
OG0000023	LOC6540152|XP_039232191.1|DYAK	LOC115623326|XP_030373447.1|SLEB
OG0000024	LOC6530300|XP_002091227.1|DYAK, LOC6530298|XP_002091225.1|DYAK, LOC6530299|XP_002091226.1|DYAK, LOC6530302|XP_002091229.1|DYAK	LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB
OG0000024	LOC6529811|XP_002090793.1|DYAK, LOC6530303|XP_002091230.1|DYAK	LOC115626230|XP_030377390.1|SLEB
OG0000024	LOC6529951|XP_002090905.3|DYAK	LOC115633141|XP_030386412.1|SLEB
OG0000025	LOC6527587|XP_002088675.1|DYAK	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB
OG0000026	LOC6525058|XP_002100897.1|DYAK	LOC115627188|XP_030378651.1|SLEB
OG0000026	LOC6528059|XP_002089126.1|DYAK	LOC115626629|XP_030377893.1|SLEB
OG0000026	LOC6525544|XP_002101379.1|DYAK	LOC115627162|XP_030378606.1|SLEB
OG0000027	LOC6526916|XP_002088015.1|DYAK	LOC115632057|XP_030384894.1|SLEB
OG0000027	LOC6526913|XP_002088012.1|DYAK	LOC115632056|XP_030384892.1|SLEB
OG0000027	LOC6526915|XP_002088014.1|DYAK	LOC115631416|XP_030384002.1|SLEB
OG0000029	LOC6534230|XP_002094912.1|DYAK	LOC115634071|XP_030387478.1|SLEB
OG0000030	LOC6527318|XP_002088411.1|DYAK	LOC115631185|XP_030383736.1|SLEB
OG0000030	LOC6527316|XP_002088409.2|DYAK, LOC6527317|XP_002088410.1|DYAK	LOC115631186|XP_030383737.1|SLEB
OG0000030	LOC6526597|XP_002087705.1|DYAK	LOC115630766|XP_030383282.1|SLEB
OG0000030	LOC6531827|XP_039228114.1|DYAK	LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB
OG0000030	LOC6524424|XP_002100282.1|DYAK	LOC115627904|XP_030379659.1|SLEB
OG0000030	LOC6525109|XP_002100948.2|DYAK	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB
OG0000031	LOC6528958|XP_002089990.1|DYAK, LOC6528971|XP_002090003.2|DYAK, LOC6528984|XP_002090016.3|DYAK	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB
OG0000031	LOC6528006|XP_002089073.1|DYAK	LOC115631052|XP_030383546.1|SLEB
OG0000032	LOC6536794|XP_002097364.1|DYAK	LOC115621800|XP_030371439.1|SLEB
OG0000032	LOC6536802|XP_002097372.1|DYAK, LOC6536801|XP_002097371.1|DYAK	LOC115621799|XP_030371437.1|SLEB
OG0000033	LOC6530309|XP_039228670.1|DYAK, LOC6530310|XP_039228063.1|DYAK, LOC6528345|XP_002089398.1|DYAK, LOC6528344|XP_002089397.2|DYAK	LOC115629219|XP_030381491.1|SLEB, LOC115634381|XP_030387925.1|SLEB, LOC115625129|XP_030375944.1|SLEB, LOC115634231|XP_030387683.1|SLEB, LOC115634372|XP_030387909.1|SLEB
OG0000033	LOC6528350|XP_002089399.1|DYAK	LOC115629069|XP_030381245.1|SLEB, LOC115629070|XP_030381246.1|SLEB
OG0000034	LOC6531351|XP_002092155.1|DYAK, LOC6529512|XP_002090514.1|DYAK	LOC115631238|XP_030383807.1|SLEB
OG0000034	LOC6529511|XP_002090513.2|DYAK	LOC115631233|XP_030383802.1|SLEB
OG0000034	LOC6529510|XP_002090512.1|DYAK	LOC115631016|XP_030383488.1|SLEB
OG0000034	LOC6536871|XP_002097440.2|DYAK, LOC6529821|XP_002090802.3|DYAK, LOC6536872|XP_002097441.1|DYAK, LOC6527117|XP_002088210.1|DYAK	LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB
OG0000035	LOC120321795|XP_039231657.1|DYAK, LOC120321194|XP_039229093.1|DYAK, LOC120321943|XP_039232216.1|DYAK, LOC120321792|XP_039231639.1|DYAK	LOC115628216|XP_030380068.1|SLEB, LOC115628783|XP_030380857.1|SLEB, LOC115629977|XP_030382461.1|SLEB
OG0000035	LOC120321774|XP_039231579.1|DYAK	LOC115624912|XP_030375621.1|SLEB, LOC115624520|XP_030375099.1|SLEB, LOC115630026|XP_030382522.1|SLEB, LOC115630549|XP_030383019.1|SLEB, LOC115634591|XP_030388280.1|SLEB, LOC115624963|XP_030375678.1|SLEB
OG0000036	LOC6536018|XP_002096633.1|DYAK	LOC115623477|XP_030373705.1|SLEB
OG0000036	LOC6537201|XP_002097759.1|DYAK	LOC115621020|XP_030370399.1|SLEB
OG0000036	LOC6535269|XP_002095925.1|DYAK	LOC115620249|XP_030369258.1|SLEB
OG0000036	LOC6537913|XP_002098453.1|DYAK, LOC6537914|XP_039232806.1|DYAK	LOC115621341|XP_030370821.1|SLEB
OG0000037	LOC6531032|XP_002091868.2|DYAK	LOC115626848|XP_030378208.1|SLEB
OG0000037	LOC6535647|XP_002096275.2|DYAK, LOC6535648|XP_002096276.2|DYAK	LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB
OG0000038	LOC6539691|XP_002086577.2|DYAK	LOC115633983|XP_030387367.1|SLEB
OG0000038	LOC6534938|XP_039229728.1|DYAK	LOC115633961|XP_030387345.1|SLEB
OG0000039	LOC6537610|XP_002098156.2|DYAK	LOC115633921|XP_030387291.1|SLEB
OG0000039	LOC6524746|XP_002100590.1|DYAK	LOC115633267|XP_030386532.1|SLEB
OG0000039	LOC6524745|XP_002100589.2|DYAK	LOC115628050|XP_030379855.1|SLEB
OG0000039	LOC6526007|XP_002101825.1|DYAK	LOC115633390|XP_030386693.1|SLEB
OG0000040	LOC6535485|XP_002096116.3|DYAK, LOC6536605|XP_002097181.1|DYAK	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB
OG0000040	LOC6536604|XP_002097180.1|DYAK	LOC115624210|XP_030374678.1|SLEB
OG0000040	LOC6535486|XP_002096117.1|DYAK, LOC6535487|XP_002096118.3|DYAK	LOC115624205|XP_030374672.1|SLEB, LOC115624208|XP_030374674.1|SLEB
OG0000040	LOC6539025|XP_002099527.1|DYAK	LOC115621426|XP_030370938.1|SLEB
OG0000042	LOC6525924|XP_002101744.1|DYAK	LOC115630085|XP_030382572.1|SLEB
OG0000042	LOC6531112|XP_002091946.1|DYAK, LOC6531108|XP_002091942.2|DYAK, LOC6531111|XP_002091945.1|DYAK, LOC6531109|XP_039228701.1|DYAK, LOC6531110|XP_002091944.2|DYAK	LOC115634385|XP_030387930.1|SLEB, LOC115634197|XP_030387645.1|SLEB, LOC115629009|XP_030381198.1|SLEB, LOC115628918|XP_030381081.1|SLEB, LOC115634487|XP_030388103.1|SLEB
OG0000043	LOC6536588|XP_002097164.1|DYAK	LOC115623987|XP_030374418.1|SLEB
OG0000043	LOC6536590|XP_002097166.1|DYAK	LOC115623491|XP_030373724.1|SLEB
OG0000043	LOC6536589|XP_002097165.1|DYAK	LOC115623337|XP_030373467.1|SLEB
OG0000043	LOC6536584|XP_002097160.1|DYAK	LOC115623816|XP_030374219.1|SLEB
OG0000043	LOC6536592|XP_002097168.1|DYAK, LOC6536593|XP_039231638.1|DYAK, LOC6539005|XP_002099507.1|DYAK, LOC6536594|XP_002097170.1|DYAK	LOC115623986|XP_030374417.1|SLEB
OG0000044	LOC6538530|XP_002099052.1|DYAK	LOC115624024|XP_030374460.1|SLEB
OG0000044	LOC6538526|XP_002099048.1|DYAK, LOC6538525|XP_002099047.1|DYAK	LOC115623538|XP_030373780.1|SLEB
OG0000044	LOC6538529|XP_002099051.1|DYAK, LOC6538527|XP_002099049.1|DYAK, LOC6538528|XP_002099050.1|DYAK	LOC115631500|XP_030384120.1|SLEB
OG0000044	LOC6537407|XP_002097963.3|DYAK	LOC115624165|XP_030374623.1|SLEB
OG0000045	LOC6533631|XP_002094338.1|DYAK	LOC115632695|XP_030385792.1|SLEB
OG0000045	LOC6533629|XP_002094336.1|DYAK, LOC6533630|XP_002094337.1|DYAK	LOC115632698|XP_030385795.1|SLEB
OG0000045	LOC6533265|XP_002093991.2|DYAK	LOC115632700|XP_030385796.1|SLEB
OG0000045	LOC6533264|XP_002093990.1|DYAK	LOC115632701|XP_030385797.1|SLEB
OG0000046	LOC6535912|XP_002096528.1|DYAK, LOC6525175|XP_002101013.1|DYAK, LOC6525174|XP_002101012.1|DYAK, LOC6525176|XP_002101014.2|DYAK, LOC6537904|XP_002098445.2|DYAK, LOC6537905|XP_039232534.1|DYAK, LOC6537903|XP_002098444.1|DYAK, LOC6537902|XP_002098443.2|DYAK, LOC6537901|XP_002098442.1|DYAK, LOC6530015|XP_002090961.3|DYAK	LOC115626838|XP_030378183.1|SLEB, LOC115626960|XP_030378335.1|SLEB, LOC115626959|XP_030378334.1|SLEB
OG0000047	LOC6531393|XP_002092196.1|DYAK	LOC115631261|XP_030383836.1|SLEB
OG0000047	LOC6531396|XP_002092199.1|DYAK	LOC115632503|XP_030385556.1|SLEB
OG0000047	LOC6529920|XP_002090877.1|DYAK	LOC115626702|XP_030377994.1|SLEB
OG0000047	LOC6529913|XP_002090870.1|DYAK, LOC6533595|XP_002094303.1|DYAK	LOC115622391|XP_030372176.1|SLEB
OG0000048	LOC6539501|XP_002086390.1|DYAK, LOC26534611|XP_015045057.1|DYAK	LOC115632969|XP_030386130.1|SLEB, LOC115632930|XP_030386082.1|SLEB
OG0000048	LOC6539644|XP_002086526.2|DYAK	LOC115632620|XP_030385708.1|SLEB
OG0000048	LOC6539640|XP_002086529.1|DYAK	LOC115632159|XP_030385047.1|SLEB
OG0000049	LOC6536652|XP_002097224.1|DYAK	LOC115631187|XP_030383738.1|SLEB
OG0000049	LOC6537437|XP_002097993.1|DYAK	LOC115625471|XP_030376380.1|SLEB
OG0000049	LOC6536653|XP_002097225.1|DYAK	LOC115625469|XP_030376378.1|SLEB
OG0000049	LOC6536655|XP_002097227.1|DYAK	LOC115625467|XP_030376376.1|SLEB
OG0000049	LOC6536654|XP_002097226.1|DYAK	LOC115625232|XP_030376077.1|SLEB
OG0000049	LOC6537438|XP_002097994.1|DYAK	LOC115621014|XP_030370394.1|SLEB
OG0000050	LOC6535163|XP_002095825.2|DYAK	LOC115632844|XP_030385961.1|SLEB
OG0000050	LOC120320448|XP_039230150.1|DYAK	LOC115632845|XP_030385962.1|SLEB
OG0000050	LOC6535165|XP_002095827.2|DYAK	LOC115632843|XP_030385960.1|SLEB, LOC115632842|XP_030385959.1|SLEB
OG0000051	LOC6536236|XP_002096825.1|DYAK	LOC115624036|XP_030374474.1|SLEB
OG0000051	LOC6536859|XP_002097428.1|DYAK	LOC115620987|XP_030370367.1|SLEB
OG0000052	LOC6536447|XP_002097028.1|DYAK, LOC6537955|XP_002098492.1|DYAK, LOC6536445|XP_002097026.2|DYAK, LOC6536449|XP_002097030.1|DYAK, LOC6536448|XP_002097029.1|DYAK	LOC115621355|XP_030370842.1|SLEB
OG0000052	LOC6531034|XP_002091870.1|DYAK, LOC6531035|XP_002091871.1|DYAK	LOC115621366|XP_030370854.1|SLEB
OG0000053	LOC6528601|XP_002089644.1|DYAK, LOC6528600|XP_002089643.1|DYAK	LOC115624400|XP_030374993.1|SLEB, LOC115621737|XP_030371331.1|SLEB
OG0000053	LOC6528599|XP_002089642.1|DYAK	LOC115634038|XP_030387442.1|SLEB
OG0000053	LOC6528598|XP_002089641.2|DYAK	LOC115634037|XP_030387441.1|SLEB
OG0000053	LOC6528594|XP_002089637.3|DYAK	LOC115634626|XP_030388341.1|SLEB
OG0000054	LOC6537158|XP_002097719.1|DYAK	LOC115623474|XP_030373700.1|SLEB, LOC115624032|XP_030374469.1|SLEB
OG0000054	LOC6537157|XP_002097718.1|DYAK	LOC115623633|XP_030373934.1|SLEB
OG0000054	LOC6537155|XP_002097716.1|DYAK, LOC6537156|XP_002097717.1|DYAK	LOC115624033|XP_030374471.1|SLEB
OG0000056	LOC6537842|XP_002098383.1|DYAK	LOC115626734|XP_030378039.1|SLEB
OG0000056	LOC6537843|XP_002098384.1|DYAK, LOC6537844|XP_002098385.1|DYAK, LOC6537846|XP_002098387.1|DYAK, LOC6537845|XP_002098386.1|DYAK	LOC115626727|XP_030378033.1|SLEB
OG0000056	LOC6536528|XP_002097104.1|DYAK, LOC6536529|XP_002097105.1|DYAK	LOC115628187|XP_030380038.1|SLEB, LOC115626789|XP_030378115.1|SLEB
OG0000058	LOC6530969|XP_002091807.2|DYAK, LOC6529786|XP_002090770.1|DYAK, LOC6530971|XP_002091809.1|DYAK, LOC6527116|XP_002088209.1|DYAK	LOC115626443|XP_030377676.1|SLEB, LOC115626320|XP_030377520.1|SLEB, LOC115626319|XP_030377518.1|SLEB, LOC115626321|XP_030377521.1|SLEB
