Orthogroup	DYAK.longest_only	AEAL.longest_only
OG0000008	LOC6527319|XP_002088412.1|DYAK	LOC115258666|XP_029714842.1|AEAL, LOC109418542|XP_029714903.1|AEAL, LOC115258618|XP_029714768.1|AEAL
OG0000009	LOC6535723|XP_002096349.3|DYAK, LOC6535721|XP_002096347.1|DYAK, LOC6535720|XP_002096346.1|DYAK, LOC6535722|XP_002096348.1|DYAK, LOC6533117|XP_002093843.1|DYAK, LOC6533118|XP_002093844.1|DYAK, LOC6532044|XP_002092821.1|DYAK, LOC6536768|XP_002097339.1|DYAK, LOC6530109|XP_002091055.1|DYAK, LOC6530111|XP_002091057.1|DYAK	LOC109421248|XP_029710358.1|AEAL, LOC109410814|XP_019539891.2|AEAL, LOC109421247|XP_019551278.2|AEAL, LOC109421196|XP_019551233.2|AEAL, LOC115256237|XP_029710360.1|AEAL, LOC109421246|XP_029710374.1|AEAL, LOC109410815|XP_029710361.1|AEAL, LOC109410828|XP_029725091.1|AEAL, LOC115268621|XP_029732616.1|AEAL, LOC109621352|XP_019930946.2|AEAL, LOC109410832|XP_019539911.2|AEAL, LOC115265026|XP_029725093.1|AEAL, LOC115266859|XP_029729327.1|AEAL, LOC109621393|XP_029732578.1|AEAL, LOC109427506|XP_019558604.2|AEAL, LOC109432620|XP_019564525.2|AEAL, LOC109405071|XP_019533608.2|AEAL, LOC109405076|XP_019533612.2|AEAL, LOC109397914|XP_019525799.2|AEAL, LOC109406992|XP_019535559.2|AEAL, LOC109406984|XP_029711464.1|AEAL, LOC109406989|XP_019535556.2|AEAL, LOC109397917|XP_019525802.2|AEAL
OG0000010	LOC120321202|XP_039229121.1|DYAK, LOC120321245|XP_039229342.1|DYAK, LOC120322219|XP_039233209.1|DYAK	LOC115261272|XP_029718507.1|AEAL
OG0000010	LOC120322218|XP_039233208.1|DYAK	LOC109401799|XP_029718532.1|AEAL
OG0000010	LOC120322222|XP_039233212.1|DYAK	LOC115261269|XP_029718503.1|AEAL, LOC115264607|XP_029724331.1|AEAL
OG0000012	LOC6530957|XP_002091795.1|DYAK, LOC6530958|XP_002091796.1|DYAK, LOC6530959|XP_015051811.1|DYAK, LOC6530956|XP_002091794.1|DYAK, LOC6530954|XP_002091792.1|DYAK, LOC6530955|XP_002091793.1|DYAK, LOC6530135|XP_002091081.1|DYAK, LOC6530133|XP_002091079.2|DYAK, LOC6530132|XP_002091078.1|DYAK, LOC6530131|XP_002091077.2|DYAK, LOC6530130|XP_002091076.1|DYAK, LOC6530129|XP_002091075.1|DYAK	LOC109423253|XP_029726458.1|AEAL, LOC109423301|XP_019553773.2|AEAL
OG0000013	LOC6530359|XP_002091285.1|DYAK	LOC109401240|XP_019529248.2|AEAL
OG0000013	LOC6525539|XP_002101374.1|DYAK	LOC109413675|XP_019542933.1|AEAL, LOC109413676|XP_029727534.1|AEAL
OG0000013	LOC6537221|XP_002097779.1|DYAK	LOC109429441|XP_029729534.1|AEAL, LOC109425568|XP_029729465.1|AEAL
OG0000013	LOC6534055|XP_002094741.1|DYAK	LOC109430791|XP_019562417.1|AEAL
OG0000013	LOC6536907|XP_002097476.1|DYAK	LOC109427543|XP_019558656.2|AEAL, LOC115256412|XP_029710769.1|AEAL, LOC115269375|XP_029733907.1|AEAL
OG0000013	LOC6538786|XP_002099299.1|DYAK, LOC6536836|XP_039232142.1|DYAK, LOC6536837|XP_039232350.1|DYAK, LOC6536733|XP_039231378.1|DYAK, LOC26536199|XP_039231379.1|DYAK, LOC26535865|XP_039231377.1|DYAK	LOC109400253|XP_029725161.1|AEAL, LOC115264117|XP_029723308.1|AEAL, LOC109423611|XP_019554131.2|AEAL, LOC115268774|XP_029732800.1|AEAL, LOC109423617|XP_019554136.2|AEAL, LOC115266508|XP_029728614.1|AEAL, LOC115265081|XP_029725162.1|AEAL, LOC115264108|XP_029723289.1|AEAL, LOC115264115|XP_029723306.1|AEAL, LOC109423616|XP_029728615.1|AEAL, LOC109400264|XP_019528292.2|AEAL, LOC115264109|XP_029723290.1|AEAL, LOC109423619|XP_019554137.2|AEAL, LOC109400270|XP_019528297.2|AEAL, LOC115264105|XP_029723288.1|AEAL, LOC109400252|XP_019528281.2|AEAL, LOC115266509|XP_029728616.1|AEAL, LOC109423613|XP_019554133.2|AEAL, LOC109423612|XP_029728617.1|AEAL, LOC109400251|XP_019528280.2|AEAL, LOC115265080|XP_029725160.1|AEAL
OG0000014	LOC120322250|XP_039233239.1|DYAK, LOC120322248|XP_039233238.1|DYAK, LOC120321426|XP_039229753.1|DYAK	LOC115264834|XP_029724698.1|AEAL
OG0000016	LOC6536965|XP_002097534.1|DYAK, LOC6530731|XP_002091621.1|DYAK	LOC109404004|XP_019532410.1|AEAL, LOC109432056|XP_019563901.1|AEAL
OG0000016	LOC6525488|XP_002101323.1|DYAK	LOC115253654|XP_029709604.1|AEAL
OG0000016	LOC6535129|XP_039230803.1|DYAK	LOC115264649|XP_029724444.1|AEAL, LOC115264653|XP_029724447.1|AEAL, LOC109412623|XP_029734089.1|AEAL, LOC109401543|XP_019529658.1|AEAL, LOC115264650|XP_029724445.1|AEAL, LOC109401546|XP_019529660.1|AEAL, LOC109412626|XP_019541796.1|AEAL, LOC115269457|XP_029734090.1|AEAL
OG0000018	LOC6533164|XP_002093890.1|DYAK	LOC109414002|XP_019543272.1|AEAL
OG0000019	LOC6538322|XP_039232218.1|DYAK, LOC6538324|XP_002098851.2|DYAK, LOC6538323|XP_002098850.2|DYAK, LOC6538326|XP_002098853.2|DYAK, LOC6538321|XP_002098848.1|DYAK, LOC6538320|XP_002098847.1|DYAK	LOC109623324|XP_029721557.1|AEAL, LOC109623384|XP_019933486.2|AEAL, LOC109426884|XP_029721552.1|AEAL, LOC109426908|XP_029721551.1|AEAL, LOC109623325|XP_019933423.1|AEAL, LOC109623386|XP_019933488.2|AEAL, LOC109426910|XP_019558013.2|AEAL, LOC109623385|XP_019933487.2|AEAL, LOC109426909|XP_019558012.2|AEAL, LOC109623326|XP_019933424.2|AEAL, LOC109426911|XP_019558015.2|AEAL, LOC109426885|XP_019557991.2|AEAL, LOC109623383|XP_029721553.1|AEAL, LOC109426882|XP_019557987.2|AEAL, LOC109415812|XP_019545289.2|AEAL, LOC115267448|XP_029730327.1|AEAL, LOC115266114|XP_029727935.1|AEAL, LOC109422539|XP_019552886.2|AEAL, LOC115266151|XP_029727975.1|AEAL, LOC109401099|XP_019529127.2|AEAL
OG0000020	LOC6538082|XP_002098616.1|DYAK, LOC6530655|XP_002091553.1|DYAK	LOC115253451|XP_029718002.1|AEAL, LOC109402396|XP_019530601.2|AEAL
OG0000020	LOC6529647|XP_002090641.1|DYAK, LOC6528749|XP_002089784.2|DYAK, LOC6527703|XP_002088787.1|DYAK, LOC6535735|XP_039231556.1|DYAK, LOC6537431|XP_002097987.1|DYAK, LOC6529263|XP_002090268.1|DYAK, LOC6529648|XP_002090642.1|DYAK	LOC109417980|XP_029713947.1|AEAL, LOC109426856|XP_029732521.1|AEAL
OG0000021	LOC6526013|XP_039229713.1|DYAK	LOC109418363|XP_029721863.1|AEAL, LOC109418407|XP_029721534.1|AEAL, LOC109426122|XP_029723111.1|AEAL
OG0000021	LOC6538705|XP_002099220.3|DYAK, LOC6536819|XP_002097389.1|DYAK, LOC6524816|XP_002100658.1|DYAK	LOC109412802|XP_029732887.1|AEAL
OG0000022	LOC6531452|XP_002092255.1|DYAK, LOC6532315|XP_002093075.1|DYAK, LOC6532322|XP_002093082.1|DYAK, LOC6532321|XP_002093081.1|DYAK, LOC6532323|XP_002093083.1|DYAK, LOC6532320|XP_002093080.1|DYAK, LOC6532325|XP_002093085.1|DYAK, LOC6532324|XP_002093084.1|DYAK	LOC115269749|XP_029734419.1|AEAL, LOC109430577|XP_019562191.1|AEAL, LOC109428697|XP_019560054.2|AEAL
OG0000023	LOC6536030|XP_002096645.2|DYAK, LOC6536027|XP_002096642.3|DYAK, LOC6536034|XP_002096649.3|DYAK, LOC6539886|XP_002086766.1|DYAK, LOC6531278|XP_002092087.2|DYAK, LOC26536093|XP_039232188.1|DYAK, LOC6536032|XP_039230972.1|DYAK, LOC6536035|XP_002096650.2|DYAK, LOC6540152|XP_039232191.1|DYAK	LOC109403033|XP_019531286.2|AEAL, LOC109403032|XP_019531283.2|AEAL
OG0000024	LOC6530300|XP_002091227.1|DYAK, LOC6530298|XP_002091225.1|DYAK, LOC6530299|XP_002091226.1|DYAK, LOC6530302|XP_002091229.1|DYAK, LOC6530301|XP_002091228.2|DYAK, LOC6529811|XP_002090793.1|DYAK, LOC6530303|XP_002091230.1|DYAK, LOC6529951|XP_002090905.3|DYAK	LOC109412054|XP_019541244.2|AEAL
OG0000025	LOC6525230|XP_002101068.1|DYAK, LOC6527587|XP_002088675.1|DYAK	LOC109413799|XP_019543073.1|AEAL
OG0000026	LOC6525544|XP_002101379.1|DYAK, LOC6535919|XP_002096535.1|DYAK	LOC109399647|XP_019527683.2|AEAL, LOC115267833|XP_029731177.1|AEAL, LOC115267832|XP_029731174.1|AEAL, LOC109400782|XP_019528828.2|AEAL, LOC109399572|XP_019527592.2|AEAL, LOC109400780|XP_019528826.2|AEAL, LOC115265241|XP_029725389.1|AEAL, LOC109399573|XP_029731179.1|AEAL, LOC109400781|XP_019528827.2|AEAL, LOC115260441|XP_029717255.1|AEAL, LOC115264893|XP_029724783.1|AEAL, LOC109403546|XP_019531912.2|AEAL, LOC109399576|XP_019527597.2|AEAL, LOC115267834|XP_029731178.1|AEAL, LOC115260095|XP_029716826.1|AEAL, LOC109401312|XP_029721744.1|AEAL, LOC109428786|XP_019560176.1|AEAL, LOC109405070|XP_019533611.1|AEAL, LOC115260980|XP_029718210.1|AEAL
OG0000027	LOC6526916|XP_002088015.1|DYAK, LOC6526913|XP_002088012.1|DYAK, LOC6526915|XP_002088014.1|DYAK	LOC109421336|XP_019551391.1|AEAL, LOC115265525|XP_029726926.1|AEAL, LOC115265811|XP_029727614.1|AEAL, LOC109432444|XP_019564322.2|AEAL, LOC109421229|XP_019551259.2|AEAL, LOC109432443|XP_019564321.2|AEAL, LOC109421228|XP_019551258.2|AEAL, LOC109421231|XP_019564335.2|AEAL
OG0000028	LOC26534799|XP_015044645.1|DYAK, LOC26535937|XP_015050935.2|DYAK, LOC26535654|XP_015045147.2|DYAK, LOC26535087|XP_015045044.2|DYAK, LOC6534951|XP_039229813.1|DYAK, LOC6535078|XP_039229703.1|DYAK	LOC109426605|XP_029727488.1|AEAL, LOC115265692|XP_029727512.1|AEAL, LOC109426631|XP_029727489.1|AEAL, LOC109426606|XP_029727487.1|AEAL, LOC109426604|XP_019557684.2|AEAL, LOC109417943|XP_019547632.2|AEAL, LOC109426743|XP_029709980.1|AEAL, LOC109421165|XP_019551209.3|AEAL, LOC109623168|XP_019933220.2|AEAL
OG0000029	LOC6536587|XP_002097163.1|DYAK, LOC6528801|XP_002089833.1|DYAK, LOC6531052|XP_002091888.1|DYAK, LOC6536173|XP_002096764.1|DYAK, LOC6534230|XP_002094912.1|DYAK	LOC115269291|XP_029733734.1|AEAL, LOC109415312|XP_029733730.1|AEAL, LOC115269290|XP_029733731.1|AEAL, LOC109623195|XP_029733735.1|AEAL, LOC109623187|XP_029733727.1|AEAL, LOC109415309|XP_029733732.1|AEAL, LOC115269113|XP_029733384.1|AEAL, LOC109432586|XP_019564475.2|AEAL, LOC109397173|XP_029733388.1|AEAL, LOC109432589|XP_019564477.2|AEAL, LOC115269043|XP_029733198.1|AEAL, LOC109432591|XP_029733199.1|AEAL, LOC115269094|XP_029733307.1|AEAL, LOC109397170|XP_019525050.2|AEAL, LOC109432585|XP_029733202.1|AEAL, LOC115269114|XP_029733386.1|AEAL, LOC115269116|XP_029733389.1|AEAL, LOC115265698|XP_029727519.1|AEAL, LOC115265712|XP_029727533.1|AEAL, LOC115265694|XP_029727515.1|AEAL, LOC115264083|XP_029723257.1|AEAL, LOC115264363|XP_029723881.1|AEAL, LOC109425457|XP_019556272.2|AEAL, LOC115261105|XP_029718339.1|AEAL
OG0000031	LOC6528958|XP_002089990.1|DYAK, LOC6528971|XP_002090003.2|DYAK, LOC6528984|XP_002090016.3|DYAK, LOC6529463|XP_002090465.2|DYAK, LOC6532903|XP_002093639.1|DYAK, LOC6526633|XP_002087741.1|DYAK, LOC6528983|XP_002090015.2|DYAK	LOC109622184|XP_029732913.1|AEAL, LOC115267932|XP_029731534.1|AEAL, LOC109403189|XP_029731533.1|AEAL, LOC109622286|XP_029732911.1|AEAL, LOC109403147|XP_029732221.1|AEAL, LOC115268871|XP_029732907.1|AEAL, LOC109622133|XP_029731542.1|AEAL, LOC109403188|XP_029732912.1|AEAL, LOC109622182|XP_029731541.1|AEAL
OG0000032	LOC6536794|XP_002097364.1|DYAK, LOC6536792|XP_002097362.1|DYAK, LOC6536800|XP_002097370.2|DYAK, LOC6536793|XP_002097363.1|DYAK, LOC6536802|XP_002097372.1|DYAK, LOC6536801|XP_002097371.1|DYAK	LOC109404182|XP_019532551.2|AEAL, LOC109424805|XP_029724727.1|AEAL, LOC109414646|XP_019544030.2|AEAL, LOC109424803|XP_029724729.1|AEAL, LOC109414675|XP_019544050.2|AEAL, LOC109424791|XP_019555521.2|AEAL, LOC109414639|XP_029723585.1|AEAL, LOC109424779|XP_029724728.1|AEAL
OG0000034	LOC6531351|XP_002092155.1|DYAK, LOC6529512|XP_002090514.1|DYAK, LOC6529511|XP_002090513.2|DYAK, LOC6529510|XP_002090512.1|DYAK, LOC6536871|XP_002097440.2|DYAK, LOC6529821|XP_002090802.3|DYAK, LOC6536872|XP_002097441.1|DYAK, LOC6527117|XP_002088210.1|DYAK	LOC109622501|XP_019932420.2|AEAL, LOC109622498|XP_029726333.1|AEAL, LOC109422421|XP_019552762.2|AEAL
OG0000035	LOC120321795|XP_039231657.1|DYAK, LOC120321194|XP_039229093.1|DYAK, LOC120321943|XP_039232216.1|DYAK, LOC120321792|XP_039231639.1|DYAK, LOC120321774|XP_039231579.1|DYAK, LOC120322270|XP_039233255.1|DYAK, LOC120321976|XP_039232324.1|DYAK, LOC120321184|XP_039228961.1|DYAK, LOC120320507|XP_039226197.1|DYAK, LOC120320682|XP_039226991.1|DYAK, LOC120320643|XP_039226848.1|DYAK	LOC115268848|XP_029732879.1|AEAL
OG0000036	LOC6536018|XP_002096633.1|DYAK	LOC115267651|XP_029730653.1|AEAL, LOC109430321|XP_029722919.1|AEAL, LOC115253701|XP_029730650.1|AEAL
OG0000036	LOC6537201|XP_002097759.1|DYAK	LOC109424827|XP_019555564.2|AEAL
OG0000037	LOC6531032|XP_002091868.2|DYAK, LOC6535647|XP_002096275.2|DYAK, LOC6535648|XP_002096276.2|DYAK	LOC109421512|XP_029727599.1|AEAL, LOC109421510|XP_019551560.2|AEAL, LOC109402061|XP_029711245.1|AEAL, LOC109622959|XP_019932969.2|AEAL, LOC109421511|XP_029717238.1|AEAL
OG0000038	LOC6539691|XP_002086577.2|DYAK	LOC109404373|XP_019532766.1|AEAL, LOC115270368|XP_029735750.1|AEAL
OG0000039	LOC6537610|XP_002098156.2|DYAK	LOC115262125|XP_029720056.1|AEAL, LOC115267561|XP_029730501.1|AEAL, LOC115262034|XP_029719825.1|AEAL, LOC109416579|XP_019546202.2|AEAL, LOC109404256|XP_029720555.1|AEAL, LOC109416577|XP_019546200.2|AEAL, LOC109429852|XP_019561385.2|AEAL, LOC109433331|XP_029732953.1|AEAL, LOC109401619|XP_019529736.1|AEAL, LOC109418802|XP_019548573.1|AEAL, LOC109397975|XP_019525849.2|AEAL, LOC109431626|XP_019563398.2|AEAL, LOC115260764|XP_029717944.1|AEAL, LOC115260826|XP_029718008.1|AEAL, LOC115262156|XP_029720202.1|AEAL, LOC109419154|XP_029722994.1|AEAL, LOC115264233|XP_029723884.1|AEAL, LOC109419155|XP_019548922.2|AEAL, LOC109419189|XP_029720551.1|AEAL, LOC115263721|XP_029722835.1|AEAL, LOC109419188|XP_029722824.1|AEAL, LOC109407083|XP_029722987.1|AEAL
OG0000041	LOC6538543|XP_002099065.1|DYAK, LOC6538542|XP_002099064.1|DYAK, LOC6538540|XP_002099062.1|DYAK, LOC6538541|XP_002099063.1|DYAK, LOC6538533|XP_002099055.1|DYAK, LOC6538535|XP_039230997.1|DYAK, LOC6538534|XP_002099056.1|DYAK	LOC109422559|XP_029727967.1|AEAL, LOC109422710|XP_029727894.1|AEAL
OG0000043	LOC6536588|XP_002097164.1|DYAK, LOC6536590|XP_002097166.1|DYAK, LOC6536589|XP_002097165.1|DYAK, LOC6536584|XP_002097160.1|DYAK, LOC6536592|XP_002097168.1|DYAK, LOC6536593|XP_039231638.1|DYAK, LOC6539005|XP_002099507.1|DYAK, LOC6536594|XP_002097170.1|DYAK	LOC109408672|XP_019537578.2|AEAL, LOC109414818|XP_019544201.2|AEAL, LOC109418033|XP_029726645.1|AEAL
OG0000044	LOC6538530|XP_002099052.1|DYAK, LOC6538526|XP_002099048.1|DYAK, LOC6538525|XP_002099047.1|DYAK, LOC6538529|XP_002099051.1|DYAK, LOC6538527|XP_002099049.1|DYAK, LOC6538528|XP_002099050.1|DYAK, LOC6537407|XP_002097963.3|DYAK	LOC115264850|XP_029724740.1|AEAL, LOC109422698|XP_029727931.1|AEAL
OG0000045	LOC6533629|XP_002094336.1|DYAK, LOC6533630|XP_002094337.1|DYAK, LOC6533265|XP_002093991.2|DYAK, LOC6533264|XP_002093990.1|DYAK	LOC109420320|XP_019550189.2|AEAL, LOC109401625|XP_019529740.2|AEAL
OG0000047	LOC6531393|XP_002092196.1|DYAK, LOC6531396|XP_002092199.1|DYAK, LOC6529920|XP_002090877.1|DYAK, LOC6533594|XP_002094302.1|DYAK, LOC6529913|XP_002090870.1|DYAK, LOC6533595|XP_002094303.1|DYAK	LOC109430117|XP_029718231.1|AEAL
OG0000048	LOC6539643|XP_002086528.1|DYAK, LOC6539644|XP_002086526.2|DYAK, LOC6539640|XP_002086529.1|DYAK	LOC109426621|XP_019557695.1|AEAL, LOC115265708|XP_029727528.1|AEAL, LOC109426620|XP_019557694.2|AEAL, LOC115265702|XP_029727525.1|AEAL
OG0000049	LOC6536652|XP_002097224.1|DYAK, LOC6537437|XP_002097993.1|DYAK, LOC6536653|XP_002097225.1|DYAK, LOC6536655|XP_002097227.1|DYAK, LOC6536654|XP_002097226.1|DYAK, LOC6537438|XP_002097994.1|DYAK	LOC109399452|XP_019527436.2|AEAL, LOC109399533|XP_019527529.1|AEAL, LOC109398113|XP_019526019.1|AEAL, LOC115263197|XP_029722019.1|AEAL, LOC115263209|XP_029722054.1|AEAL, LOC109430845|XP_019562486.2|AEAL
OG0000051	LOC6536236|XP_002096825.1|DYAK, LOC6536859|XP_002097428.1|DYAK, LOC6536777|XP_002097348.1|DYAK, LOC6537302|XP_002097860.1|DYAK, LOC6536778|XP_002097349.1|DYAK, LOC6536779|XP_002097350.1|DYAK	LOC109430500|XP_029732671.1|AEAL, LOC109413829|XP_019543100.2|AEAL, LOC109430428|XP_029732623.1|AEAL, LOC109430433|XP_019562037.2|AEAL, LOC115268560|XP_029732528.1|AEAL, LOC109413823|XP_019543095.2|AEAL, LOC109409607|XP_029718954.1|AEAL, LOC109430439|XP_019562042.2|AEAL, LOC115255265|XP_029709099.1|AEAL, LOC109413830|XP_029709535.1|AEAL, LOC109405777|XP_029730639.1|AEAL, LOC109430435|XP_019562039.2|AEAL, LOC109430411|XP_019562018.2|AEAL, LOC109413821|XP_019543093.2|AEAL, LOC115268580|XP_029732559.1|AEAL, LOC109405721|XP_019534339.2|AEAL, LOC115267635|XP_029730641.1|AEAL, LOC115268656|XP_029732628.1|AEAL, LOC109430430|XP_019562033.2|AEAL, LOC109413827|XP_019543098.2|AEAL, LOC109430429|XP_019562032.2|AEAL, LOC109430431|XP_019562034.2|AEAL
OG0000053	LOC6528601|XP_002089644.1|DYAK, LOC6528600|XP_002089643.1|DYAK, LOC6528599|XP_002089642.1|DYAK	LOC109399585|XP_019527609.2|AEAL, LOC109426036|XP_019557019.2|AEAL, LOC109426037|XP_029731825.1|AEAL
OG0000054	LOC6537158|XP_002097719.1|DYAK, LOC6537157|XP_002097718.1|DYAK, LOC6537155|XP_002097716.1|DYAK, LOC6537156|XP_002097717.1|DYAK	LOC109408663|XP_019537561.2|AEAL, LOC109403074|XP_019531357.2|AEAL, LOC109408662|XP_019537559.2|AEAL, LOC109408659|XP_029735838.1|AEAL, LOC109408675|XP_029734574.1|AEAL, LOC109403053|XP_029735706.1|AEAL, LOC109408692|XP_029734575.1|AEAL, LOC109403004|XP_019531261.2|AEAL, LOC109408694|XP_019537603.2|AEAL
OG0000055	LOC6538864|XP_002099370.1|DYAK, LOC6538865|XP_002099371.1|DYAK, LOC6538866|XP_002099372.1|DYAK, LOC26536326|XP_015049075.1|DYAK, LOC6538867|XP_039231804.1|DYAK	LOC115256529|XP_029711077.1|AEAL
OG0000056	LOC6537842|XP_002098383.1|DYAK, LOC6537843|XP_002098384.1|DYAK, LOC6537844|XP_002098385.1|DYAK, LOC6537846|XP_002098387.1|DYAK, LOC6537845|XP_002098386.1|DYAK, LOC6536528|XP_002097104.1|DYAK, LOC6536529|XP_002097105.1|DYAK	LOC115254536|XP_029707956.1|AEAL, LOC109397278|XP_029712433.1|AEAL, LOC109423208|XP_019553687.2|AEAL, LOC115255644|XP_029709605.1|AEAL, LOC109405345|XP_029709588.1|AEAL
OG0000058	LOC6530969|XP_002091807.2|DYAK, LOC6529786|XP_002090770.1|DYAK, LOC6530971|XP_002091809.1|DYAK, LOC6527116|XP_002088209.1|DYAK, LOC6524094|XP_002099958.2|DYAK	LOC109413458|XP_019542679.2|AEAL, LOC115265775|XP_029727582.1|AEAL, LOC109623107|XP_019933135.2|AEAL, LOC109405129|XP_019533674.2|AEAL
OG0000060	LOC6524523|XP_002100380.1|DYAK	LOC115253826|XP_029711789.1|AEAL, LOC109415565|XP_019544994.1|AEAL, LOC109431105|XP_029711394.1|AEAL, LOC115256864|XP_029711798.1|AEAL
