Orthogroup	DYAK.longest_only	DBUS.longest_only
OG0000014	LOC120322250|XP_039233239.1|DYAK, LOC120322248|XP_039233238.1|DYAK, LOC120321426|XP_039229753.1|DYAK	LOC117134671|XP_033148998.1|DBUS
OG0000016	LOC6536965|XP_002097534.1|DYAK	LOC108603000|XP_017846884.1|DBUS
OG0000016	LOC6530731|XP_002091621.1|DYAK	LOC108596111|XP_017837026.1|DBUS
OG0000016	LOC6536862|XP_002097431.1|DYAK	LOC108603521|XP_017847904.1|DBUS
OG0000016	LOC6531360|XP_002092163.2|DYAK	LOC108596316|XP_017837414.1|DBUS
OG0000016	LOC6525488|XP_002101323.1|DYAK	LOC108606266|XP_017851714.1|DBUS
OG0000016	LOC6529087|XP_002090100.1|DYAK	LOC108596191|XP_017837194.1|DBUS
OG0000016	LOC6537169|XP_002097730.1|DYAK	LOC108601639|XP_017845028.2|DBUS
OG0000016	LOC6535129|XP_039230803.1|DYAK	LOC108599665|XP_017842156.1|DBUS
OG0000017	LOC6539128|XP_002086029.1|DYAK	LOC108594623|XP_017835255.1|DBUS
OG0000017	LOC6538220|XP_039231078.1|DYAK, LOC6538219|XP_002098746.2|DYAK	LOC108601423|XP_017844811.1|DBUS, LOC108601498|XP_033150126.1|DBUS, LOC108601497|XP_017844884.1|DBUS
OG0000017	LOC6531831|XP_002092618.3|DYAK	LOC108594615|XP_017835248.1|DBUS
OG0000017	LOC6529100|XP_002090113.1|DYAK	LOC108595879|XP_017836658.1|DBUS
OG0000017	LOC6526432|XP_002087551.1|DYAK	LOC108607612|XP_017854053.1|DBUS
OG0000018	LOC6533164|XP_002093890.1|DYAK	LOC108599199|XP_017841484.1|DBUS
OG0000018	LOC26535774|XP_015049832.1|DYAK	LOC108597971|XP_017840076.1|DBUS
OG0000018	LOC6533166|XP_002093892.1|DYAK	LOC108599156|XP_017841431.1|DBUS
OG0000019	LOC6538322|XP_039232218.1|DYAK	LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS
OG0000019	LOC6538326|XP_002098853.2|DYAK	LOC108602931|XP_017846763.1|DBUS
OG0000019	LOC6538321|XP_002098848.1|DYAK, LOC6538320|XP_002098847.1|DYAK	LOC108602933|XP_017846765.1|DBUS
OG0000020	LOC6538082|XP_002098616.1|DYAK	LOC108604342|XP_017849258.1|DBUS
OG0000020	LOC6530655|XP_002091553.1|DYAK	LOC108594958|XP_017835581.1|DBUS
OG0000020	LOC6529647|XP_002090641.1|DYAK, LOC6528749|XP_002089784.2|DYAK, LOC6527703|XP_002088787.1|DYAK	LOC108607439|XP_017853757.2|DBUS
OG0000020	LOC6535735|XP_039231556.1|DYAK	LOC108603823|XP_017848442.1|DBUS
OG0000020	LOC6537431|XP_002097987.1|DYAK	LOC108604274|XP_033150157.1|DBUS, LOC108603677|XP_033150131.1|DBUS
OG0000020	LOC6529263|XP_002090268.1|DYAK, LOC6529648|XP_002090642.1|DYAK	LOC108607440|XP_017853760.2|DBUS
OG0000021	LOC6526678|XP_002087784.1|DYAK	LOC108595010|XP_017835633.1|DBUS
OG0000021	LOC6530550|XP_002091465.1|DYAK	LOC108595009|XP_017835632.1|DBUS
OG0000021	LOC6530532|XP_039228836.1|DYAK	LOC108595428|XP_017836145.1|DBUS
OG0000021	LOC6531172|XP_002092001.1|DYAK	LOC108594982|XP_017835604.1|DBUS
OG0000021	LOC6526013|XP_039229713.1|DYAK	LOC108605475|XP_017850651.1|DBUS
OG0000021	LOC6538705|XP_002099220.3|DYAK	LOC108602127|XP_017845643.1|DBUS
OG0000021	LOC6524816|XP_002100658.1|DYAK	LOC108606823|XP_017852795.1|DBUS
OG0000022	LOC6531452|XP_002092255.1|DYAK	LOC108595778|XP_017836559.1|DBUS
OG0000022	LOC6532322|XP_002093082.1|DYAK, LOC6532321|XP_002093081.1|DYAK, LOC6532323|XP_002093083.1|DYAK, LOC6532320|XP_002093080.1|DYAK	LOC108599021|XP_017841291.1|DBUS, LOC108599849|XP_017842466.2|DBUS, LOC108599851|XP_017842468.2|DBUS, LOC108597894|XP_033149700.1|DBUS
OG0000023	LOC6536030|XP_002096645.2|DYAK	LOC117134624|XP_033150075.1|DBUS
OG0000023	LOC6536027|XP_002096642.3|DYAK, LOC6536034|XP_002096649.3|DYAK	LOC108601632|XP_017845020.1|DBUS
OG0000023	LOC6539886|XP_002086766.1|DYAK	LOC108604301|XP_017849208.1|DBUS
OG0000023	LOC6531278|XP_002092087.2|DYAK	LOC108596143|XP_017837125.1|DBUS
OG0000023	LOC26536093|XP_039232188.1|DYAK	LOC108604433|XP_017849396.1|DBUS
OG0000023	LOC6536032|XP_039230972.1|DYAK	LOC108601245|XP_033150074.1|DBUS
OG0000023	LOC6536035|XP_002096650.2|DYAK	LOC108602726|XP_017846367.1|DBUS
OG0000023	LOC6540152|XP_039232191.1|DYAK	LOC117134644|XP_033150071.1|DBUS
OG0000024	LOC6530301|XP_002091228.2|DYAK	LOC108595136|XP_017835788.1|DBUS
OG0000024	LOC6529811|XP_002090793.1|DYAK	LOC108596281|XP_017837347.1|DBUS
OG0000024	LOC6529951|XP_002090905.3|DYAK	LOC108594614|XP_017835247.1|DBUS, LOC108594611|XP_017835243.1|DBUS
OG0000025	LOC6527587|XP_002088675.1|DYAK	LOC108606718|XP_017852587.1|DBUS, LOC108607483|XP_017853815.1|DBUS
OG0000026	LOC6525058|XP_002100897.1|DYAK	LOC108606562|XP_017852268.1|DBUS
OG0000026	LOC6528059|XP_002089126.1|DYAK	LOC108597443|XP_017839499.1|DBUS
OG0000026	LOC6525544|XP_002101379.1|DYAK	LOC108606994|XP_017853058.1|DBUS, LOC108606996|XP_017853059.2|DBUS, LOC108606997|XP_017853060.1|DBUS
OG0000026	LOC6535919|XP_002096535.1|DYAK	LOC108602219|XP_017845755.1|DBUS
OG0000027	LOC6526916|XP_002088015.1|DYAK	LOC108600961|XP_017844639.1|DBUS
OG0000027	LOC6526913|XP_002088012.1|DYAK	LOC108608302|XP_017855118.1|DBUS
OG0000027	LOC6526915|XP_002088014.1|DYAK	LOC108600155|XP_017843044.1|DBUS
OG0000028	LOC6534951|XP_039229813.1|DYAK	LOC108598250|XP_017840354.1|DBUS
OG0000028	LOC6535078|XP_039229703.1|DYAK	LOC108597900|XP_017840008.2|DBUS
OG0000029	LOC6536173|XP_002096764.1|DYAK	LOC108601292|XP_017844680.1|DBUS
OG0000029	LOC6534230|XP_002094912.1|DYAK	LOC108599285|XP_017841572.1|DBUS
OG0000030	LOC6527318|XP_002088411.1|DYAK	LOC108608102|XP_033150830.1|DBUS
OG0000030	LOC6526597|XP_002087705.1|DYAK	LOC108595036|XP_017835704.1|DBUS, LOC108595111|XP_017835820.1|DBUS
OG0000030	LOC6531827|XP_039228114.1|DYAK	LOC108594814|XP_017835442.1|DBUS, LOC108594815|XP_017835443.1|DBUS, LOC108594821|XP_033149207.1|DBUS, LOC108594803|XP_033149218.1|DBUS, LOC108594804|XP_033149217.1|DBUS
OG0000030	LOC6524424|XP_002100282.1|DYAK	LOC108605352|XP_017850510.1|DBUS
OG0000031	LOC6528958|XP_002089990.1|DYAK, LOC6528971|XP_002090003.2|DYAK, LOC6528984|XP_002090016.3|DYAK	LOC108603962|XP_017848657.1|DBUS, LOC108603979|XP_017848698.2|DBUS
OG0000031	LOC6529463|XP_002090465.2|DYAK, LOC6532903|XP_002093639.1|DYAK, LOC6526633|XP_002087741.1|DYAK, LOC6528983|XP_002090015.2|DYAK	LOC108600689|XP_033150743.1|DBUS, LOC108603988|XP_033150741.1|DBUS, LOC108594975|XP_017835600.2|DBUS
OG0000031	LOC6528006|XP_002089073.1|DYAK	LOC108596350|XP_017837498.1|DBUS
OG0000032	LOC6536794|XP_002097364.1|DYAK	LOC108604099|XP_017848870.1|DBUS
OG0000032	LOC6536800|XP_002097370.2|DYAK, LOC6536793|XP_002097363.1|DYAK	LOC108601631|XP_017845019.1|DBUS
OG0000032	LOC6536802|XP_002097372.1|DYAK, LOC6536801|XP_002097371.1|DYAK	LOC108601658|XP_017845046.1|DBUS, LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS
OG0000033	LOC6530309|XP_039228670.1|DYAK, LOC6530310|XP_039228063.1|DYAK, LOC6528345|XP_002089398.1|DYAK, LOC6528344|XP_002089397.2|DYAK	LOC108596493|XP_017837798.1|DBUS
OG0000033	LOC6528350|XP_002089399.1|DYAK	LOC108594868|XP_017835496.1|DBUS
OG0000034	LOC6531351|XP_002092155.1|DYAK, LOC6529512|XP_002090514.1|DYAK	LOC108600656|XP_017843844.2|DBUS
OG0000034	LOC6529511|XP_002090513.2|DYAK	LOC108597722|XP_017839907.2|DBUS
OG0000034	LOC6529510|XP_002090512.1|DYAK	LOC108608325|XP_017855153.2|DBUS
OG0000034	LOC6527117|XP_002088210.1|DYAK	LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS, LOC108597047|XP_017838843.1|DBUS
OG0000035	LOC120321774|XP_039231579.1|DYAK, LOC120322270|XP_039233255.1|DYAK, LOC120321976|XP_039232324.1|DYAK, LOC120321184|XP_039228961.1|DYAK, LOC120320507|XP_039226197.1|DYAK	LOC117134686|XP_033149074.1|DBUS, LOC108602071|XP_017845580.2|DBUS, LOC108604409|XP_017849365.2|DBUS, LOC108597433|XP_017839480.2|DBUS
OG0000036	LOC6536018|XP_002096633.1|DYAK	LOC108601814|XP_017845240.1|DBUS
OG0000036	LOC6537201|XP_002097759.1|DYAK	LOC108604642|XP_017849680.1|DBUS
OG0000036	LOC6535269|XP_002095925.1|DYAK	LOC108602327|XP_017845903.1|DBUS, LOC108603042|XP_017846950.1|DBUS
OG0000036	LOC6537913|XP_002098453.1|DYAK, LOC6537914|XP_039232806.1|DYAK	LOC108601330|XP_033149802.1|DBUS, LOC117134637|XP_033149940.1|DBUS
OG0000037	LOC6535647|XP_002096275.2|DYAK, LOC6535648|XP_002096276.2|DYAK	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS
OG0000038	LOC6539691|XP_002086577.2|DYAK	LOC108598255|XP_017840359.1|DBUS
OG0000038	LOC6534938|XP_039229728.1|DYAK	LOC108599609|XP_017842054.2|DBUS
OG0000039	LOC6537610|XP_002098156.2|DYAK	LOC108602969|XP_017846840.2|DBUS, LOC108601491|XP_017844877.1|DBUS
OG0000039	LOC6524746|XP_002100590.1|DYAK	LOC108605767|XP_017851059.1|DBUS, LOC108605331|XP_017850490.1|DBUS
OG0000039	LOC6526007|XP_002101825.1|DYAK	LOC108605392|XP_017850551.1|DBUS
OG0000040	LOC6535485|XP_002096116.3|DYAK, LOC6536605|XP_002097181.1|DYAK	LOC108601310|XP_017844699.1|DBUS
OG0000040	LOC6536604|XP_002097180.1|DYAK	LOC108603822|XP_017848441.1|DBUS
OG0000040	LOC6535486|XP_002096117.1|DYAK, LOC6535487|XP_002096118.3|DYAK	LOC108604808|XP_017849901.1|DBUS
OG0000040	LOC6535489|XP_002096120.1|DYAK	LOC108601313|XP_017844701.1|DBUS, LOC108604809|XP_017849902.1|DBUS
OG0000040	LOC6539025|XP_002099527.1|DYAK	LOC117134625|XP_033150105.1|DBUS
OG0000041	LOC6538543|XP_002099065.1|DYAK, LOC6538542|XP_002099064.1|DYAK, LOC6538540|XP_002099062.1|DYAK, LOC6538541|XP_002099063.1|DYAK, LOC6538533|XP_002099055.1|DYAK, LOC6538535|XP_039230997.1|DYAK, LOC6538534|XP_002099056.1|DYAK	LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS
OG0000042	LOC6531112|XP_002091946.1|DYAK, LOC6531108|XP_002091942.2|DYAK, LOC6531111|XP_002091945.1|DYAK, LOC6531109|XP_039228701.1|DYAK, LOC6531110|XP_002091944.2|DYAK	LOC117134763|XP_033149297.1|DBUS, LOC108594910|XP_017835536.1|DBUS, LOC108595933|XP_017836709.1|DBUS, LOC108595930|XP_017836706.1|DBUS, LOC108594909|XP_017835535.1|DBUS, LOC108595936|XP_017836712.1|DBUS, LOC108594913|XP_017835540.1|DBUS, LOC108594912|XP_017835539.1|DBUS, LOC108594911|XP_017835537.1|DBUS, LOC108595931|XP_017836707.1|DBUS, LOC108595934|XP_017836710.1|DBUS, LOC108595935|XP_017836711.1|DBUS, LOC108595932|XP_017836708.1|DBUS
OG0000042	LOC6531107|XP_002091941.2|DYAK	LOC108601375|XP_033149906.1|DBUS
OG0000043	LOC6536589|XP_002097165.1|DYAK	LOC108602016|XP_033149810.1|DBUS
OG0000043	LOC6536584|XP_002097160.1|DYAK	LOC108602049|XP_017845549.1|DBUS
OG0000043	LOC6536592|XP_002097168.1|DYAK, LOC6536593|XP_039231638.1|DYAK, LOC6539005|XP_002099507.1|DYAK, LOC6536594|XP_002097170.1|DYAK	LOC117134835|XP_033149811.1|DBUS
OG0000044	LOC6538530|XP_002099052.1|DYAK	LOC108602073|XP_017845582.1|DBUS
OG0000044	LOC6538526|XP_002099048.1|DYAK, LOC6538525|XP_002099047.1|DYAK	LOC108601821|XP_017845247.1|DBUS
OG0000045	LOC6533631|XP_002094338.1|DYAK	LOC108599876|XP_017842521.1|DBUS
OG0000045	LOC6533629|XP_002094336.1|DYAK, LOC6533630|XP_002094337.1|DYAK	LOC108598309|XP_017840414.1|DBUS, LOC108599339|XP_017841631.2|DBUS
OG0000045	LOC6533265|XP_002093991.2|DYAK	LOC108598310|XP_017840415.1|DBUS
OG0000045	LOC6533264|XP_002093990.1|DYAK	LOC108598311|XP_017840416.1|DBUS
OG0000046	LOC6525175|XP_002101013.1|DYAK, LOC6525174|XP_002101012.1|DYAK	LOC108605644|XP_017850916.1|DBUS, LOC108607283|XP_017853469.1|DBUS
OG0000046	LOC6525176|XP_002101014.2|DYAK, LOC6537904|XP_002098445.2|DYAK, LOC6537905|XP_039232534.1|DYAK, LOC6537903|XP_002098444.1|DYAK, LOC6537902|XP_002098443.2|DYAK, LOC6537901|XP_002098442.1|DYAK, LOC6530015|XP_002090961.3|DYAK	LOC108605353|XP_017850511.2|DBUS
OG0000047	LOC6531393|XP_002092196.1|DYAK	LOC108595113|XP_033148899.1|DBUS
OG0000047	LOC6531396|XP_002092199.1|DYAK	LOC108595086|XP_017835725.1|DBUS
OG0000047	LOC6529920|XP_002090877.1|DYAK	LOC108595112|XP_017835761.1|DBUS
OG0000047	LOC6533594|XP_002094302.1|DYAK	LOC108601150|XP_033149649.1|DBUS
OG0000047	LOC6529913|XP_002090870.1|DYAK	LOC108597760|XP_017839960.1|DBUS
OG0000048	LOC6539501|XP_002086390.1|DYAK, LOC26534611|XP_015045057.1|DYAK	LOC108599705|XP_017842191.2|DBUS, LOC108599704|XP_017842190.2|DBUS
OG0000048	LOC6539643|XP_002086528.1|DYAK	LOC108599708|XP_017842194.1|DBUS, LOC108599701|XP_017842186.2|DBUS
OG0000048	LOC6539644|XP_002086526.2|DYAK	LOC108599702|XP_017842187.2|DBUS
OG0000048	LOC6539640|XP_002086529.1|DYAK	LOC108599709|XP_017842195.1|DBUS
OG0000049	LOC6536652|XP_002097224.1|DYAK	LOC108604094|XP_017848864.1|DBUS
OG0000049	LOC6537437|XP_002097993.1|DYAK	LOC108604092|XP_017848863.1|DBUS
OG0000049	LOC6536653|XP_002097225.1|DYAK	LOC108602189|XP_017845724.1|DBUS
OG0000049	LOC6536654|XP_002097226.1|DYAK	LOC108602386|XP_017845985.1|DBUS
OG0000049	LOC6537438|XP_002097994.1|DYAK	LOC108601428|XP_017844815.1|DBUS
OG0000050	LOC6535163|XP_002095825.2|DYAK	LOC108598030|XP_017840133.2|DBUS
OG0000050	LOC6535165|XP_002095827.2|DYAK	LOC108598031|XP_017840135.1|DBUS
OG0000051	LOC6536236|XP_002096825.1|DYAK	LOC108602122|XP_017845638.1|DBUS
OG0000051	LOC6536859|XP_002097428.1|DYAK	LOC108603519|XP_017847901.1|DBUS
OG0000051	LOC6536777|XP_002097348.1|DYAK, LOC6537302|XP_002097860.1|DYAK, LOC6536778|XP_002097349.1|DYAK, LOC6536779|XP_002097350.1|DYAK	LOC108601326|XP_017844713.1|DBUS
OG0000052	LOC6536447|XP_002097028.1|DYAK, LOC6537955|XP_002098492.1|DYAK, LOC6536445|XP_002097026.2|DYAK, LOC6536449|XP_002097030.1|DYAK, LOC6536448|XP_002097029.1|DYAK	LOC108602705|XP_017846348.1|DBUS, LOC108602704|XP_017846347.1|DBUS
OG0000052	LOC6531034|XP_002091870.1|DYAK	LOC108595895|XP_017836674.1|DBUS, LOC108594866|XP_017835493.1|DBUS, LOC108595449|XP_017836175.2|DBUS, LOC108595766|XP_017836545.1|DBUS, LOC108596993|XP_017838752.1|DBUS
OG0000052	LOC6531035|XP_002091871.1|DYAK	LOC108595795|XP_017836575.1|DBUS, LOC108595759|XP_017836537.1|DBUS
OG0000053	LOC6528601|XP_002089644.1|DYAK	LOC108596657|XP_017838132.1|DBUS
OG0000053	LOC6528600|XP_002089643.1|DYAK	LOC108596656|XP_017838131.1|DBUS
OG0000053	LOC6528599|XP_002089642.1|DYAK	LOC108596363|XP_017837514.1|DBUS
OG0000053	LOC6528598|XP_002089641.2|DYAK	LOC108596359|XP_017837509.1|DBUS
OG0000053	LOC6528594|XP_002089637.3|DYAK	LOC108596165|XP_017837161.1|DBUS
OG0000054	LOC6537158|XP_002097719.1|DYAK	LOC108604220|XP_017849074.1|DBUS, LOC108604256|XP_033150124.1|DBUS, LOC117134982|XP_033150557.1|DBUS
OG0000054	LOC6537157|XP_002097718.1|DYAK	LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS
OG0000055	LOC6538864|XP_002099370.1|DYAK, LOC6538865|XP_002099371.1|DYAK	LOC108602318|XP_017845891.1|DBUS
OG0000055	LOC6538866|XP_002099372.1|DYAK	LOC108602326|XP_017845902.1|DBUS, LOC108602376|XP_017845970.1|DBUS, LOC108602375|XP_017845969.1|DBUS
OG0000055	LOC6538867|XP_039231804.1|DYAK	LOC108602521|XP_017846144.1|DBUS
OG0000056	LOC6537842|XP_002098383.1|DYAK	LOC108603613|XP_017848051.1|DBUS, LOC108603612|XP_017848050.1|DBUS
OG0000056	LOC6537844|XP_002098385.1|DYAK, LOC6537846|XP_002098387.1|DYAK, LOC6537845|XP_002098386.1|DYAK	LOC108602080|XP_017845593.1|DBUS
OG0000056	LOC6536528|XP_002097104.1|DYAK, LOC6536529|XP_002097105.1|DYAK	LOC108598485|XP_017840632.1|DBUS
OG0000058	LOC6530969|XP_002091807.2|DYAK, LOC6529786|XP_002090770.1|DYAK, LOC6530971|XP_002091809.1|DYAK	LOC108602861|XP_017846639.2|DBUS, LOC108603814|XP_017848423.2|DBUS
OG0000058	LOC6527116|XP_002088209.1|DYAK	LOC117135039|XP_033150759.1|DBUS
OG0000058	LOC6524094|XP_002099958.2|DYAK	LOC108606881|XP_017852895.1|DBUS
OG0000059	LOC6538374|XP_002098898.1|DYAK, LOC6538375|XP_002098899.1|DYAK	LOC108601365|XP_017844754.1|DBUS, LOC108601366|XP_017844755.1|DBUS
OG0000059	LOC6538373|XP_002098897.1|DYAK	LOC108602589|XP_017846217.1|DBUS
OG0000059	LOC6538380|XP_002098904.1|DYAK	LOC108602779|XP_017846474.2|DBUS, LOC108601372|XP_017844761.1|DBUS, LOC108602778|XP_017846473.2|DBUS
OG0000060	LOC6524523|XP_002100380.1|DYAK	LOC108605501|XP_017850738.1|DBUS
OG0000060	LOC6529446|XP_002090448.1|DYAK	LOC108596314|XP_017837413.1|DBUS
OG0000060	LOC6535405|XP_015047137.2|DYAK	LOC108602170|XP_017845695.1|DBUS
OG0000060	LOC6538963|XP_002099466.1|DYAK	LOC108604124|XP_017848902.1|DBUS
OG0000060	LOC6524492|XP_002100349.2|DYAK	LOC108605927|XP_017851236.1|DBUS
OG0000060	LOC6526594|XP_002087702.1|DYAK	LOC108594930|XP_033150017.1|DBUS
