Orthogroup	DYAK.longest_only	ASTE.longest_only
OG0000016	LOC6536862|XP_002097431.1|DYAK	LOC118503654|XP_035893068.1|ASTE
OG0000016	LOC6525488|XP_002101323.1|DYAK	LOC118505170|XP_035896494.1|ASTE
OG0000016	LOC6535129|XP_039230803.1|DYAK	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE
OG0000018	LOC6533164|XP_002093890.1|DYAK	LOC118513024|XP_035914194.1|ASTE
OG0000019	LOC6538322|XP_039232218.1|DYAK, LOC6538324|XP_002098851.2|DYAK, LOC6538323|XP_002098850.2|DYAK, LOC6538326|XP_002098853.2|DYAK, LOC6538321|XP_002098848.1|DYAK, LOC6538320|XP_002098847.1|DYAK	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE, LOC118506335|XP_035899208.1|ASTE, LOC118506986|XP_035900751.1|ASTE
OG0000020	LOC6538082|XP_002098616.1|DYAK, LOC6530655|XP_002091553.1|DYAK	LOC118507513|XP_035901949.1|ASTE
OG0000020	LOC6529647|XP_002090641.1|DYAK, LOC6528749|XP_002089784.2|DYAK, LOC6527703|XP_002088787.1|DYAK, LOC6535735|XP_039231556.1|DYAK, LOC6537431|XP_002097987.1|DYAK, LOC6529263|XP_002090268.1|DYAK, LOC6529648|XP_002090642.1|DYAK	LOC118509588|XP_035906253.1|ASTE
OG0000021	LOC6526013|XP_039229713.1|DYAK	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE
OG0000021	LOC6538705|XP_002099220.3|DYAK, LOC6536819|XP_002097389.1|DYAK, LOC6524816|XP_002100658.1|DYAK	LOC118505796|XP_035898023.1|ASTE
OG0000022	LOC6531452|XP_002092255.1|DYAK, LOC6532315|XP_002093075.1|DYAK, LOC6532322|XP_002093082.1|DYAK, LOC6532321|XP_002093081.1|DYAK, LOC6532323|XP_002093083.1|DYAK, LOC6532320|XP_002093080.1|DYAK, LOC6532325|XP_002093085.1|DYAK, LOC6532324|XP_002093084.1|DYAK	LOC118510588|XP_035908481.1|ASTE
OG0000023	LOC6536030|XP_002096645.2|DYAK, LOC6536027|XP_002096642.3|DYAK, LOC6536034|XP_002096649.3|DYAK, LOC6539886|XP_002086766.1|DYAK, LOC6531278|XP_002092087.2|DYAK, LOC26536093|XP_039232188.1|DYAK, LOC6536032|XP_039230972.1|DYAK, LOC6536035|XP_002096650.2|DYAK, LOC6540152|XP_039232191.1|DYAK	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE
OG0000024	LOC6530300|XP_002091227.1|DYAK, LOC6530298|XP_002091225.1|DYAK, LOC6530299|XP_002091226.1|DYAK, LOC6530302|XP_002091229.1|DYAK, LOC6530301|XP_002091228.2|DYAK, LOC6529811|XP_002090793.1|DYAK, LOC6530303|XP_002091230.1|DYAK, LOC6529951|XP_002090905.3|DYAK	LOC118507315|XP_035901591.1|ASTE
OG0000025	LOC6527587|XP_002088675.1|DYAK	LOC118503683|XP_035893118.1|ASTE, LOC118514136|XP_035916629.1|ASTE
OG0000026	LOC6525544|XP_002101379.1|DYAK, LOC6535919|XP_002096535.1|DYAK	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE, LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE
OG0000027	LOC6526916|XP_002088015.1|DYAK, LOC6526913|XP_002088012.1|DYAK, LOC6526915|XP_002088014.1|DYAK	LOC118509266|XP_035905509.1|ASTE, LOC118512970|XP_035914090.1|ASTE, LOC118509804|XP_035906835.1|ASTE, LOC118509855|XP_035906957.1|ASTE
OG0000028	LOC26534799|XP_015044645.1|DYAK, LOC26535937|XP_015050935.2|DYAK, LOC26535654|XP_015045147.2|DYAK, LOC26535087|XP_015045044.2|DYAK, LOC6534951|XP_039229813.1|DYAK, LOC6535078|XP_039229703.1|DYAK	LOC118513512|XP_035915261.1|ASTE
OG0000029	LOC6536587|XP_002097163.1|DYAK, LOC6528801|XP_002089833.1|DYAK, LOC6531052|XP_002091888.1|DYAK, LOC6536173|XP_002096764.1|DYAK, LOC6534230|XP_002094912.1|DYAK	LOC118509963|XP_035907235.1|ASTE, LOC118504435|XP_035894769.1|ASTE, LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE, LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE
OG0000031	LOC6528958|XP_002089990.1|DYAK, LOC6528971|XP_002090003.2|DYAK, LOC6528984|XP_002090016.3|DYAK, LOC6529463|XP_002090465.2|DYAK, LOC6532903|XP_002093639.1|DYAK, LOC6526633|XP_002087741.1|DYAK, LOC6528983|XP_002090015.2|DYAK	LOC118503726|XP_035893229.1|ASTE, LOC118504892|XP_035895844.1|ASTE, LOC118503724|XP_035893221.1|ASTE
OG0000032	LOC6536794|XP_002097364.1|DYAK, LOC6536792|XP_002097362.1|DYAK, LOC6536800|XP_002097370.2|DYAK, LOC6536793|XP_002097363.1|DYAK, LOC6536802|XP_002097372.1|DYAK, LOC6536801|XP_002097371.1|DYAK	LOC118503124|XP_035891971.1|ASTE, LOC118503002|XP_035891706.1|ASTE, LOC118503126|XP_035891972.1|ASTE, LOC118503003|XP_035891707.1|ASTE, LOC118503000|XP_035891703.1|ASTE, LOC118502999|XP_035891702.1|ASTE, LOC118504242|XP_035894357.1|ASTE
OG0000034	LOC6531351|XP_002092155.1|DYAK, LOC6529512|XP_002090514.1|DYAK, LOC6529511|XP_002090513.2|DYAK, LOC6529510|XP_002090512.1|DYAK, LOC6536871|XP_002097440.2|DYAK, LOC6529821|XP_002090802.3|DYAK, LOC6536872|XP_002097441.1|DYAK, LOC6527117|XP_002088210.1|DYAK	LOC118512083|XP_035911935.1|ASTE, LOC118512076|XP_035911906.1|ASTE, LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE
OG0000036	LOC6536018|XP_002096633.1|DYAK	LOC118505450|XP_035897142.1|ASTE
OG0000036	LOC6537201|XP_002097759.1|DYAK	LOC118502424|XP_035890544.1|ASTE
OG0000037	LOC6531032|XP_002091868.2|DYAK, LOC6535647|XP_002096275.2|DYAK, LOC6535648|XP_002096276.2|DYAK	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE
OG0000038	LOC6539691|XP_002086577.2|DYAK	LOC118510894|XP_035909171.1|ASTE
OG0000038	LOC6534938|XP_039229728.1|DYAK	LOC118510898|XP_035909176.1|ASTE
OG0000039	LOC6537610|XP_002098156.2|DYAK	LOC118509581|XP_035906243.1|ASTE, LOC118509576|XP_035906238.1|ASTE, LOC118509578|XP_035906240.1|ASTE, LOC118509580|XP_035906242.1|ASTE, LOC118509577|XP_035906239.1|ASTE, LOC118509579|XP_035906241.1|ASTE, LOC118509582|XP_035906245.1|ASTE, LOC118512924|XP_035913974.1|ASTE, LOC118504616|XP_035895189.1|ASTE, LOC118504617|XP_035895190.1|ASTE
OG0000041	LOC6538543|XP_002099065.1|DYAK, LOC6538542|XP_002099064.1|DYAK, LOC6538540|XP_002099062.1|DYAK, LOC6538541|XP_002099063.1|DYAK, LOC6538533|XP_002099055.1|DYAK, LOC6538535|XP_039230997.1|DYAK, LOC6538534|XP_002099056.1|DYAK	LOC118502651|XP_035890993.1|ASTE
OG0000043	LOC6536588|XP_002097164.1|DYAK, LOC6536590|XP_002097166.1|DYAK, LOC6536589|XP_002097165.1|DYAK, LOC6536584|XP_002097160.1|DYAK, LOC6536592|XP_002097168.1|DYAK, LOC6536593|XP_039231638.1|DYAK, LOC6539005|XP_002099507.1|DYAK, LOC6536594|XP_002097170.1|DYAK	LOC118514201|XP_035916783.1|ASTE
OG0000047	LOC6531393|XP_002092196.1|DYAK, LOC6531396|XP_002092199.1|DYAK, LOC6529920|XP_002090877.1|DYAK, LOC6533594|XP_002094302.1|DYAK, LOC6529913|XP_002090870.1|DYAK, LOC6533595|XP_002094303.1|DYAK	LOC118514097|XP_035916530.1|ASTE
OG0000048	LOC6539643|XP_002086528.1|DYAK, LOC6539644|XP_002086526.2|DYAK, LOC6539640|XP_002086529.1|DYAK	LOC118510295|XP_035907813.1|ASTE
OG0000049	LOC6536652|XP_002097224.1|DYAK, LOC6537437|XP_002097993.1|DYAK, LOC6536653|XP_002097225.1|DYAK, LOC6536655|XP_002097227.1|DYAK, LOC6536654|XP_002097226.1|DYAK, LOC6537438|XP_002097994.1|DYAK	LOC118510116|XP_035907473.1|ASTE, LOC118516340|XP_035918044.1|ASTE, LOC118511361|XP_035910216.1|ASTE, LOC118511360|XP_035910215.1|ASTE, LOC118516348|XP_035918056.1|ASTE
OG0000051	LOC6536236|XP_002096825.1|DYAK, LOC6536859|XP_002097428.1|DYAK, LOC6536777|XP_002097348.1|DYAK, LOC6537302|XP_002097860.1|DYAK, LOC6536778|XP_002097349.1|DYAK, LOC6536779|XP_002097350.1|DYAK	LOC118504525|XP_035894960.1|ASTE, LOC118504587|XP_035895135.1|ASTE, LOC118504592|XP_035895145.1|ASTE, LOC118504595|XP_035895149.1|ASTE
OG0000053	LOC6528601|XP_002089644.1|DYAK, LOC6528600|XP_002089643.1|DYAK, LOC6528599|XP_002089642.1|DYAK	LOC118503243|XP_035892157.1|ASTE, LOC118503347|XP_035892412.1|ASTE, LOC118503346|XP_035892410.1|ASTE
OG0000054	LOC6537158|XP_002097719.1|DYAK, LOC6537157|XP_002097718.1|DYAK, LOC6537155|XP_002097716.1|DYAK, LOC6537156|XP_002097717.1|DYAK	LOC118511291|XP_035910092.1|ASTE, LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE, LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE, LOC118512788|XP_035913599.1|ASTE, LOC118512789|XP_035913600.1|ASTE
OG0000055	LOC6538864|XP_002099370.1|DYAK, LOC6538865|XP_002099371.1|DYAK, LOC6538866|XP_002099372.1|DYAK, LOC26536326|XP_015049075.1|DYAK, LOC6538867|XP_039231804.1|DYAK	LOC118508181|XP_035903635.1|ASTE, LOC118509864|XP_035906979.1|ASTE
OG0000056	LOC6537842|XP_002098383.1|DYAK, LOC6537843|XP_002098384.1|DYAK, LOC6537844|XP_002098385.1|DYAK, LOC6537846|XP_002098387.1|DYAK, LOC6537845|XP_002098386.1|DYAK, LOC6536528|XP_002097104.1|DYAK, LOC6536529|XP_002097105.1|DYAK	LOC118507841|XP_035902865.1|ASTE
OG0000058	LOC6530969|XP_002091807.2|DYAK, LOC6529786|XP_002090770.1|DYAK, LOC6530971|XP_002091809.1|DYAK, LOC6527116|XP_002088209.1|DYAK, LOC6524094|XP_002099958.2|DYAK	LOC118513234|XP_035914678.1|ASTE, LOC118509609|XP_035906312.1|ASTE
OG0000060	LOC6524523|XP_002100380.1|DYAK	LOC118506293|XP_035899121.1|ASTE
OG0000060	LOC6538963|XP_002099466.1|DYAK	LOC118514292|XP_035916947.1|ASTE
OG0000060	LOC6524492|XP_002100349.2|DYAK, LOC6526594|XP_002087702.1|DYAK	LOC118509485|XP_035906030.1|ASTE
OG0000062	LOC6525291|XP_002101127.1|DYAK, LOC6529702|XP_002090695.1|DYAK, LOC6529703|XP_002090696.1|DYAK, LOC26534489|XP_015054512.1|DYAK, LOC26536280|XP_015054717.1|DYAK	LOC118512947|XP_035914059.1|ASTE
OG0000067	LOC6535876|XP_002096492.1|DYAK, LOC6533078|XP_002093810.1|DYAK	LOC118517599|XP_035919781.1|ASTE, LOC118517600|XP_035919782.1|ASTE, LOC118517598|XP_035919779.1|ASTE
OG0000067	LOC6539372|XP_002086266.2|DYAK	LOC118509032|XP_035904963.1|ASTE
OG0000068	LOC6534297|XP_039230811.1|DYAK, LOC6535752|XP_002096375.3|DYAK, LOC6534288|XP_002094969.2|DYAK, LOC6530829|XP_002091712.2|DYAK, LOC6526162|XP_039231832.1|DYAK	LOC118509544|XP_035906185.1|ASTE, LOC118509545|XP_035906187.1|ASTE, LOC118512181|XP_035912164.1|ASTE, LOC118504040|XP_035893930.1|ASTE, LOC118504041|XP_035893931.1|ASTE, LOC118505785|XP_035897988.1|ASTE
OG0000070	LOC6527107|XP_002088200.1|DYAK, LOC6523840|XP_002099713.1|DYAK, LOC6527108|XP_002088201.1|DYAK, LOC6525751|XP_002101573.1|DYAK	LOC118514552|XP_035917436.1|ASTE, LOC118514553|XP_035917437.1|ASTE
OG0000071	LOC6533773|XP_002094477.1|DYAK	LOC118507755|XP_035902660.1|ASTE
OG0000071	LOC6534017|XP_002094704.2|DYAK, LOC6534016|XP_002094703.3|DYAK, LOC6534018|XP_002094705.1|DYAK	LOC118508078|XP_035903435.1|ASTE, LOC118512339|XP_035912519.1|ASTE, LOC118508073|XP_035903430.1|ASTE, LOC118508077|XP_035903434.1|ASTE, LOC118508075|XP_035903432.1|ASTE, LOC118508072|XP_035903428.1|ASTE
OG0000072	LOC6531405|XP_002092208.1|DYAK, LOC6531398|XP_002092201.1|DYAK, LOC6531403|XP_002092206.1|DYAK	LOC118515883|XP_035917965.1|ASTE, LOC118514335|XP_035917037.1|ASTE, LOC118511004|XP_035909412.1|ASTE, LOC118509229|XP_035905431.1|ASTE
OG0000073	LOC6531137|XP_002091971.1|DYAK	LOC118508175|XP_035903617.1|ASTE
OG0000073	LOC6523936|XP_039227706.1|DYAK	LOC118504541|XP_035895010.1|ASTE, LOC118504546|XP_035895042.1|ASTE
OG0000073	LOC6535942|XP_039231524.1|DYAK	LOC118506813|XP_035900364.1|ASTE
OG0000074	LOC6533148|XP_002093874.3|DYAK, LOC6534311|XP_002094991.1|DYAK	LOC118516380|XP_035918125.1|ASTE, LOC118512784|XP_035913591.1|ASTE, LOC118510203|XP_035907633.1|ASTE, LOC118512755|XP_035913538.1|ASTE, LOC118516368|XP_035918114.1|ASTE, LOC118512757|XP_035913540.1|ASTE, LOC118512754|XP_035913537.1|ASTE, LOC118516371|XP_035918117.1|ASTE, LOC118516372|XP_035918118.1|ASTE, LOC118516374|XP_035918120.1|ASTE, LOC118512758|XP_035913541.1|ASTE, LOC118516373|XP_035918119.1|ASTE, LOC118512753|XP_035913536.1|ASTE, LOC118512756|XP_035913539.1|ASTE, LOC118516369|XP_035918115.1|ASTE, LOC118512737|XP_035913495.1|ASTE, LOC118513110|XP_035914403.1|ASTE, LOC118513102|XP_035914396.1|ASTE, LOC118513101|XP_035914395.1|ASTE, LOC118513100|XP_035914394.1|ASTE
OG0000076	LOC6532992|XP_002093727.1|DYAK	LOC118512277|XP_035912363.1|ASTE, LOC118517163|XP_035918937.1|ASTE
OG0000076	LOC6525884|XP_002101704.3|DYAK	LOC118504620|XP_035895194.1|ASTE
OG0000077	LOC6530939|XP_002091781.1|DYAK	LOC118507281|XP_035901485.1|ASTE
OG0000077	LOC6536356|XP_002096938.1|DYAK	LOC118512454|XP_035912813.1|ASTE
OG0000077	LOC6532023|XP_002092801.1|DYAK	LOC118506025|XP_035898529.1|ASTE
OG0000077	LOC6538194|XP_002098722.2|DYAK	LOC118511962|XP_035911578.1|ASTE
OG0000078	LOC6530900|XP_002091752.1|DYAK, LOC6539800|XP_002086683.2|DYAK, LOC6536046|XP_015047532.1|DYAK, LOC6526129|XP_002101946.1|DYAK, LOC6525682|XP_002101504.1|DYAK	LOC118506363|XP_035899271.1|ASTE
OG0000080	LOC6531683|XP_039228129.1|DYAK, LOC6531681|XP_002092472.1|DYAK, LOC6531377|XP_002092180.1|DYAK	LOC118508460|XP_035904157.1|ASTE, LOC118508462|XP_035904160.1|ASTE
OG0000082	LOC6531302|XP_002092106.3|DYAK, LOC6537790|XP_002098331.1|DYAK, LOC6537368|XP_002097924.1|DYAK	LOC118507692|XP_035902418.1|ASTE, LOC118513643|XP_035915603.1|ASTE, LOC118517141|XP_035918892.1|ASTE, LOC118513644|XP_035915604.1|ASTE, LOC118513645|XP_035915605.1|ASTE
OG0000083	LOC6527136|XP_002088230.2|DYAK, LOC6527785|XP_002088858.1|DYAK, LOC6527784|XP_002088857.1|DYAK, LOC6527782|XP_002088855.1|DYAK, LOC6527783|XP_002088856.1|DYAK, LOC26535515|XP_015054631.2|DYAK	LOC118512490|XP_035912888.1|ASTE, LOC118512492|XP_035912890.1|ASTE, LOC118512491|XP_035912889.1|ASTE
OG0000084	LOC6531040|XP_002091876.1|DYAK	LOC118507487|XP_035901904.1|ASTE, LOC118509025|XP_035904952.1|ASTE, LOC118504703|XP_035895429.1|ASTE, LOC118508829|XP_035904468.1|ASTE, LOC118509024|XP_035904951.1|ASTE, LOC118509023|XP_035904949.1|ASTE, LOC118513092|XP_035914386.1|ASTE
OG0000084	LOC6531494|XP_002092293.1|DYAK	LOC118503417|XP_035892550.1|ASTE
OG0000085	LOC6528455|XP_039227178.1|DYAK	LOC118513044|XP_035914229.1|ASTE
OG0000086	LOC6530960|XP_002091798.1|DYAK	LOC118508907|XP_035904661.1|ASTE
OG0000087	LOC6527930|XP_002088998.1|DYAK	LOC118511163|XP_035909795.1|ASTE, LOC118511165|XP_035909796.1|ASTE, LOC118511162|XP_035909794.1|ASTE, LOC118511161|XP_035909793.1|ASTE
OG0000088	LOC6528290|XP_002089343.1|DYAK	LOC118503330|XP_035892383.1|ASTE
OG0000089	LOC6536099|XP_002096707.1|DYAK, LOC6536028|XP_002096643.1|DYAK	LOC118505310|XP_035896841.1|ASTE
OG0000089	LOC6532521|XP_002093267.1|DYAK	LOC118511372|XP_035910259.1|ASTE, LOC118511382|XP_035910282.1|ASTE
OG0000090	LOC6528787|XP_002089821.1|DYAK, LOC6528791|XP_002089825.1|DYAK, LOC6532959|XP_002093694.1|DYAK, LOC6532328|XP_002093088.2|DYAK	LOC118506264|XP_035899059.1|ASTE
OG0000091	LOC6538091|XP_015048654.1|DYAK	LOC118507859|XP_035902942.1|ASTE
OG0000091	LOC6527294|XP_002088388.1|DYAK, LOC6535563|XP_015047216.1|DYAK, LOC6535562|XP_002096191.1|DYAK	LOC118505600|XP_035897520.1|ASTE, LOC118516561|XP_035918412.1|ASTE
OG0000093	LOC6527671|XP_002088757.1|DYAK	LOC118510780|XP_035908957.1|ASTE
OG0000094	LOC6533581|XP_002094291.1|DYAK, LOC6537561|XP_002098107.2|DYAK	LOC118502720|XP_035891168.1|ASTE, LOC118506771|XP_035900263.1|ASTE, LOC118514681|XP_035917717.1|ASTE, LOC118516006|XP_035918152.1|ASTE
OG0000096	LOC6529683|XP_002090676.1|DYAK, LOC6528976|XP_002090008.1|DYAK, LOC6536489|XP_002097067.1|DYAK, LOC6529746|XP_002090736.1|DYAK	LOC118514595|XP_035917485.1|ASTE
OG0000098	LOC6536810|XP_002097380.1|DYAK	LOC118506462|XP_035899533.1|ASTE
OG0000099	LOC6524444|XP_002100302.2|DYAK	LOC118502385|XP_035890500.1|ASTE, LOC118506916|XP_035900604.1|ASTE, LOC118506914|XP_035900601.1|ASTE
OG0000101	LOC6534957|XP_015050955.2|DYAK, LOC6539439|XP_002086331.3|DYAK, LOC6534953|XP_039230714.1|DYAK, LOC26534783|XP_015050956.2|DYAK, LOC26535813|XP_015050952.1|DYAK, LOC6539441|XP_039230706.1|DYAK	LOC118510504|XP_035908303.1|ASTE
OG0000102	LOC6531176|XP_002092005.1|DYAK	LOC118509466|XP_035905987.1|ASTE, LOC118511833|XP_035911269.1|ASTE, LOC118509016|XP_035904927.1|ASTE, LOC118509017|XP_035904928.1|ASTE, LOC118511825|XP_035911262.1|ASTE, LOC118511824|XP_035911261.1|ASTE
OG0000102	LOC6528685|XP_002089727.1|DYAK, LOC6538432|XP_002098956.1|DYAK, LOC6531759|XP_002092549.1|DYAK	LOC118504365|XP_035894655.1|ASTE
OG0000103	LOC6532637|XP_002093381.1|DYAK, LOC6534296|XP_002094977.1|DYAK, LOC26534987|XP_015050551.1|DYAK, LOC6529323|XP_015052185.1|DYAK	LOC118508203|XP_035903666.1|ASTE
OG0000105	LOC26535474|XP_015049427.1|DYAK, LOC6532540|XP_002093286.3|DYAK, LOC6536226|XP_002096817.1|DYAK, LOC6536221|XP_002096812.1|DYAK, LOC6536220|XP_002096811.1|DYAK	LOC118506605|XP_035899865.1|ASTE
OG0000108	LOC120321803|XP_039231670.1|DYAK, LOC120321221|XP_039229244.1|DYAK	LOC118509668|XP_035906547.1|ASTE, LOC118509663|XP_035906533.1|ASTE
OG0000109	LOC6527159|XP_002088253.3|DYAK, LOC120320421|XP_015053624.1|DYAK, LOC6527158|XP_002088252.2|DYAK	LOC118505426|XP_035897081.1|ASTE, LOC118502869|XP_035891469.1|ASTE
OG0000109	LOC6527148|XP_002088242.1|DYAK	LOC118504419|XP_035894746.1|ASTE
OG0000110	LOC6533315|XP_002094041.3|DYAK, LOC6533316|XP_002094042.1|DYAK, LOC6533317|XP_002094043.1|DYAK, LOC6533318|XP_002094044.1|DYAK	LOC118511309|XP_035910114.1|ASTE, LOC118511304|XP_035910107.1|ASTE
OG0000111	LOC6530898|XP_002091750.1|DYAK, LOC6530894|XP_002091746.1|DYAK, LOC6530895|XP_002091747.2|DYAK	LOC118504874|XP_035895818.1|ASTE, LOC118503662|XP_035893080.1|ASTE, LOC118503161|XP_035892015.1|ASTE, LOC118504876|XP_035895821.1|ASTE, LOC118507965|XP_035903187.1|ASTE, LOC118507089|XP_035900970.1|ASTE, LOC118503024|XP_035891741.1|ASTE
OG0000112	LOC6526156|XP_002101970.1|DYAK, LOC6525567|XP_002101402.1|DYAK, LOC6526126|XP_002101943.1|DYAK, LOC6526125|XP_002101942.1|DYAK	LOC118509575|XP_035906237.1|ASTE, LOC118516425|XP_035918189.1|ASTE, LOC118509754|XP_035906778.1|ASTE
OG0000113	LOC6527037|XP_002088131.1|DYAK, LOC26535914|XP_015052937.1|DYAK, LOC6537541|XP_039232498.1|DYAK, LOC6529429|XP_015052342.1|DYAK	LOC118512990|XP_035914139.1|ASTE
OG0000114	LOC26534959|XP_015054566.1|DYAK, LOC120320673|XP_039226970.1|DYAK, LOC6527306|XP_002088399.1|DYAK	LOC118509008|XP_035904916.1|ASTE
OG0000117	LOC6527566|XP_002088656.1|DYAK, LOC6527565|XP_002088655.1|DYAK, LOC6527564|XP_002088654.1|DYAK, LOC6527563|XP_002088653.1|DYAK	LOC118502432|XP_035890553.1|ASTE, LOC118506535|XP_035899700.1|ASTE
OG0000118	LOC6528177|XP_039227738.1|DYAK, LOC6527573|XP_002088663.1|DYAK, LOC6528194|XP_002089257.1|DYAK	LOC118502409|XP_035890526.1|ASTE
