Orthogroup	DYAK.longest_only	DMAU.longest_only
OG0000000	LOC6526414|XP_002087533.2|DYAK	LOC117150663|XP_033173544.1|DMAU
OG0000000	LOC6532990|XP_039229806.1|DYAK	LOC117139179|XP_033157239.1|DMAU
OG0000000	LOC26535595|XP_015049129.2|DYAK	LOC117145744|XP_033167397.1|DMAU
OG0000000	LOC6538949|XP_002099452.1|DYAK	LOC117145225|XP_033166688.1|DMAU
OG0000000	LOC6537714|XP_002098259.2|DYAK	LOC117145856|XP_033167567.1|DMAU
OG0000000	LOC6529465|XP_002090467.1|DYAK	LOC117150929|XP_033173982.1|DMAU
OG0000000	LOC6530976|XP_002091814.2|DYAK	LOC117138584|XP_033156654.1|DMAU
OG0000000	LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK	LOC117138016|XP_033155711.1|DMAU
OG0000000	LOC6538114|XP_002098649.1|DYAK	LOC117146038|XP_033167862.1|DMAU
OG0000000	LOC6535316|XP_002095972.1|DYAK	LOC117145160|XP_033166598.1|DMAU
OG0000000	LOC6539519|XP_002086405.1|DYAK	LOC117140539|XP_033159419.1|DMAU
OG0000000	LOC6539518|XP_039230304.1|DYAK	LOC117140538|XP_033159418.1|DMAU
OG0000001	LOC120322268|XP_039233251.1|DYAK, LOC120321436|XP_039229790.1|DYAK	LOC117140024|XP_033158645.1|DMAU
OG0000001	LOC120321385|XP_039229379.1|DYAK, LOC120321458|XP_039229910.1|DYAK, LOC120320585|XP_039226586.1|DYAK, LOC120320591|XP_039226632.1|DYAK, LOC120321717|XP_039231183.1|DYAK, LOC120321457|XP_039229909.1|DYAK, LOC120320959|XP_039227830.1|DYAK, LOC120321780|XP_039231610.1|DYAK	LOC117139899|XP_033158470.1|DMAU
OG0000002	LOC6531354|XP_002092157.1|DYAK	LOC117138082|XP_033155798.1|DMAU
OG0000002	LOC6530517|XP_002091432.3|DYAK	LOC117135907|XP_033152364.1|DMAU
OG0000002	LOC6530518|XP_002091433.1|DYAK	LOC117135906|XP_033152363.1|DMAU
OG0000002	LOC6528284|XP_002089337.3|DYAK	LOC117149870|XP_033172720.1|DMAU
OG0000002	LOC26535670|XP_015050876.2|DYAK	LOC117140283|XP_033159002.1|DMAU
OG0000002	LOC6527104|XP_002088197.3|DYAK	LOC117136934|XP_033153971.1|DMAU
OG0000003	LOC6530460|XP_002091376.2|DYAK	LOC117136850|XP_033153839.1|DMAU
OG0000003	LOC6530462|XP_002091378.1|DYAK	LOC117137895|XP_033155524.1|DMAU
OG0000003	LOC6538264|XP_002098791.1|DYAK	LOC117145313|XP_033166799.1|DMAU
OG0000003	LOC6530463|XP_002091379.1|DYAK	LOC117137897|XP_033155527.1|DMAU
OG0000003	LOC6527640|XP_039226547.1|DYAK, LOC6528325|XP_002089378.1|DYAK	LOC117136364|XP_033153130.1|DMAU
OG0000003	LOC6530457|XP_002091373.1|DYAK	LOC117136849|XP_033153838.1|DMAU
OG0000003	LOC6530461|XP_002091377.1|DYAK	LOC117137674|XP_033155124.1|DMAU
OG0000003	LOC6530456|XP_002091372.1|DYAK	LOC117136851|XP_033153841.1|DMAU
OG0000003	LOC6528608|XP_002089651.1|DYAK	LOC117137104|XP_033154281.1|DMAU
OG0000003	LOC6528606|XP_002089649.1|DYAK	LOC117137102|XP_033154279.1|DMAU
OG0000003	LOC120320435|XP_002089650.1|DYAK	LOC117137103|XP_033154280.1|DMAU
OG0000003	LOC6528128|XP_002089195.3|DYAK	LOC117138777|XP_033156858.1|DMAU
OG0000007	LOC6534313|XP_002094993.1|DYAK, LOC6534314|XP_002094994.3|DYAK, LOC120321601|XP_039230656.1|DYAK	LOC117141087|XP_033160294.1|DMAU
OG0000007	LOC6533143|XP_002093869.1|DYAK	LOC117142070|XP_033161841.1|DMAU
OG0000007	LOC6533138|XP_002093864.1|DYAK	LOC117139205|XP_033157267.1|DMAU
OG0000007	LOC6527619|XP_002088707.1|DYAK	LOC117150742|XP_033173667.1|DMAU
OG0000007	LOC6528628|XP_002089670.1|DYAK	LOC117136894|XP_033153899.1|DMAU
OG0000007	LOC26535513|XP_015044938.2|DYAK, LOC26535290|XP_015044714.2|DYAK	LOC117143365|XP_033163930.1|DMAU, LOC117143364|XP_033163929.1|DMAU
OG0000007	LOC6527618|XP_002088706.1|DYAK	LOC117139714|XP_033158125.1|DMAU
OG0000007	LOC6532724|XP_002093466.1|DYAK	LOC117139147|XP_033157196.1|DMAU
OG0000007	LOC6527620|XP_002088708.1|DYAK	LOC117139091|XP_033157106.1|DMAU
OG0000007	LOC6533144|XP_002093870.1|DYAK	LOC117142071|XP_033161842.1|DMAU
OG0000007	LOC6533145|XP_002093871.1|DYAK	LOC117142072|XP_033161843.1|DMAU
OG0000008	LOC26536044|XP_039231154.1|DYAK	LOC117142833|XP_033162955.1|DMAU
OG0000008	LOC6532927|XP_002093663.1|DYAK	LOC117140615|XP_033159521.1|DMAU
OG0000008	LOC6532930|XP_002093666.1|DYAK	LOC117140614|XP_033159520.1|DMAU
OG0000008	LOC6527319|XP_002088412.1|DYAK	LOC117150767|XP_033173694.1|DMAU
OG0000008	LOC6532928|XP_002093664.1|DYAK	LOC117140617|XP_033159524.1|DMAU
OG0000008	LOC6524096|XP_002099960.1|DYAK	LOC117147420|XP_033170189.1|DMAU
OG0000008	LOC6536138|XP_039231652.1|DYAK	LOC117144385|XP_033165410.1|DMAU
OG0000008	LOC6536141|XP_039231654.1|DYAK	LOC117144387|XP_033165412.1|DMAU
OG0000008	LOC6536143|XP_002096744.1|DYAK	LOC117143719|XP_033164408.1|DMAU
OG0000008	LOC6536142|XP_002096743.1|DYAK	LOC117144386|XP_033165411.1|DMAU
OG0000008	LOC6536144|XP_002096745.1|DYAK	LOC117143928|XP_033164736.1|DMAU
OG0000009	LOC6535723|XP_002096349.3|DYAK	LOC117145423|XP_033166959.1|DMAU
OG0000009	LOC6535721|XP_002096347.1|DYAK	LOC117143759|XP_033164466.1|DMAU
OG0000009	LOC6535720|XP_002096346.1|DYAK	LOC117145633|XP_033167244.1|DMAU
OG0000009	LOC6535722|XP_002096348.1|DYAK	LOC117145422|XP_033166958.1|DMAU
OG0000009	LOC6533117|XP_002093843.1|DYAK	LOC117141397|XP_033160707.1|DMAU
OG0000009	LOC6533118|XP_002093844.1|DYAK	LOC117141398|XP_033160708.1|DMAU
OG0000009	LOC6532044|XP_002092821.1|DYAK	LOC117136735|XP_033153656.1|DMAU
OG0000009	LOC6536768|XP_002097339.1|DYAK	LOC117143616|XP_033164265.1|DMAU
OG0000009	LOC6530109|XP_002091055.1|DYAK	LOC117135792|XP_033152175.1|DMAU
OG0000009	LOC6530111|XP_002091057.1|DYAK	LOC117138502|XP_033156525.1|DMAU, LOC117138499|XP_033156519.1|DMAU
OG0000010	LOC120322211|XP_039233202.1|DYAK, LOC120321201|XP_039229120.1|DYAK, LOC120322212|XP_039233203.1|DYAK, LOC120322217|XP_039233207.1|DYAK, LOC120322223|XP_039233213.1|DYAK, LOC120322215|XP_039233206.1|DYAK, LOC120321202|XP_039229121.1|DYAK, LOC120321245|XP_039229342.1|DYAK, LOC120322219|XP_039233209.1|DYAK, LOC6537287|XP_002097845.1|DYAK, LOC6539220|XP_002086120.1|DYAK, LOC120322213|XP_039233204.1|DYAK, LOC120322214|XP_039233205.1|DYAK, LOC120322218|XP_039233208.1|DYAK	LOC117142722|XP_033162774.1|DMAU
OG0000011	LOC120320450|XP_039227155.1|DYAK	LOC117148149|XP_033171274.1|DMAU
OG0000011	LOC6526687|XP_002087792.2|DYAK	LOC117148158|XP_033171286.1|DMAU
OG0000011	LOC6526837|XP_002087937.1|DYAK	LOC117138313|XP_033156221.1|DMAU
OG0000011	LOC26535503|XP_015045173.2|DYAK	LOC117140362|XP_033159107.1|DMAU
OG0000011	LOC6529533|XP_039228709.1|DYAK	LOC117150358|XP_033173108.1|DMAU
OG0000011	LOC6529527|XP_039228713.1|DYAK	LOC117135201|XP_033151176.1|DMAU
OG0000011	LOC120320662|XP_039226899.1|DYAK	LOC117148130|XP_033171246.1|DMAU, LOC117148131|XP_033171247.1|DMAU
OG0000011	LOC6534062|XP_002094748.1|DYAK	LOC117141063|XP_033160242.1|DMAU
OG0000011	LOC6534063|XP_002094749.1|DYAK	LOC117141062|XP_033160241.1|DMAU
OG0000011	LOC6536394|XP_002096976.1|DYAK	LOC117143493|XP_033164098.1|DMAU
OG0000012	LOC6530957|XP_002091795.1|DYAK	LOC117136761|XP_033153688.1|DMAU
OG0000012	LOC6530958|XP_002091796.1|DYAK	LOC117136760|XP_033153687.1|DMAU
OG0000012	LOC6530959|XP_015051811.1|DYAK	LOC117136898|XP_033153902.1|DMAU
OG0000012	LOC6530956|XP_002091794.1|DYAK	LOC117137864|XP_033155471.1|DMAU
OG0000012	LOC6530954|XP_002091792.1|DYAK	LOC117137455|XP_033154790.1|DMAU
OG0000012	LOC6530955|XP_002091793.1|DYAK	LOC117136643|XP_033153526.1|DMAU
OG0000012	LOC6530135|XP_002091081.1|DYAK	LOC117136387|XP_033153170.1|DMAU
OG0000012	LOC6530133|XP_002091079.2|DYAK	LOC117136474|XP_033153296.1|DMAU
OG0000012	LOC6530132|XP_002091078.1|DYAK	LOC117136403|XP_033153190.1|DMAU
OG0000012	LOC6530131|XP_002091077.2|DYAK	LOC117138497|XP_033156518.1|DMAU
OG0000012	LOC6530130|XP_002091076.1|DYAK	LOC117137795|XP_033155358.1|DMAU
OG0000012	LOC6530129|XP_002091075.1|DYAK	LOC117137796|XP_033155359.1|DMAU
OG0000013	LOC6530359|XP_002091285.1|DYAK	LOC117136473|XP_033153295.1|DMAU
OG0000013	LOC6525539|XP_002101374.1|DYAK	LOC117148236|XP_033171424.1|DMAU
OG0000013	LOC6537221|XP_002097779.1|DYAK	LOC117142434|XP_033162286.1|DMAU
OG0000013	LOC6534055|XP_002094741.1|DYAK	LOC117141743|XP_033161255.1|DMAU
OG0000013	LOC6536907|XP_002097476.1|DYAK	LOC117143333|XP_033163884.1|DMAU
OG0000013	LOC6538786|XP_002099299.1|DYAK	LOC117142344|XP_033162152.1|DMAU
OG0000013	LOC6536836|XP_039232142.1|DYAK, LOC6536837|XP_039232350.1|DYAK	LOC117145307|XP_033166793.1|DMAU
OG0000013	LOC6536733|XP_039231378.1|DYAK, LOC26536199|XP_039231379.1|DYAK, LOC26535865|XP_039231377.1|DYAK	LOC117143464|XP_033164066.1|DMAU, LOC117142927|XP_033163116.1|DMAU
OG0000014	LOC120320742|XP_039227211.1|DYAK	LOC117141766|XP_033161286.1|DMAU
OG0000014	LOC26535677|XP_039233320.1|DYAK, LOC26535673|XP_039231397.1|DYAK, LOC26534925|XP_039227759.1|DYAK, LOC120320583|XP_039226552.1|DYAK, LOC26536307|XP_039231773.1|DYAK, LOC120321866|XP_039231842.1|DYAK, LOC120322339|XP_039233322.1|DYAK	LOC117139678|XP_033158048.1|DMAU, LOC117136459|XP_033153277.1|DMAU
OG0000014	LOC120321092|XP_039228481.1|DYAK	LOC117149978|XP_033172760.1|DMAU
OG0000014	LOC120320535|XP_039226317.1|DYAK	LOC117150378|XP_033173130.1|DMAU
OG0000015	LOC6529704|XP_002090697.2|DYAK	LOC117135278|XP_033151337.1|DMAU
OG0000015	LOC6526496|XP_039227173.1|DYAK	LOC117150915|XP_033173958.1|DMAU
OG0000015	LOC120320869|XP_039227770.1|DYAK	LOC117143744|XP_033164450.1|DMAU
OG0000015	LOC6526950|XP_002088046.2|DYAK	LOC117140156|XP_033158823.1|DMAU
OG0000015	LOC6526894|XP_002087993.1|DYAK	LOC117150376|XP_033173128.1|DMAU
OG0000015	LOC6530275|XP_002091207.2|DYAK	LOC117137056|XP_033154159.1|DMAU
OG0000016	LOC6536965|XP_002097534.1|DYAK	LOC117143253|XP_033163704.1|DMAU
OG0000016	LOC6530731|XP_002091621.1|DYAK	LOC117136077|XP_033152622.1|DMAU
OG0000016	LOC6536862|XP_002097431.1|DYAK	LOC117144517|XP_033165627.1|DMAU
OG0000016	LOC6531360|XP_002092163.2|DYAK	LOC117137377|XP_033154680.1|DMAU
OG0000016	LOC6525488|XP_002101323.1|DYAK	LOC117148789|XP_033172290.1|DMAU
OG0000016	LOC6529087|XP_002090100.1|DYAK	LOC117135957|XP_033152442.1|DMAU
OG0000016	LOC6537169|XP_002097730.1|DYAK	LOC117145868|XP_033167581.1|DMAU
OG0000016	LOC6535129|XP_039230803.1|DYAK	LOC117140134|XP_033158791.1|DMAU
OG0000017	LOC6525337|XP_002101173.1|DYAK	LOC117146549|XP_033168738.1|DMAU
OG0000017	LOC6528495|XP_002089541.2|DYAK	LOC117138274|XP_033156132.1|DMAU
OG0000017	LOC6539128|XP_002086029.1|DYAK	LOC117136736|XP_033153658.1|DMAU
OG0000017	LOC6536204|XP_002096795.1|DYAK	LOC117144510|XP_033165592.1|DMAU
OG0000017	LOC6538220|XP_039231078.1|DYAK	LOC117144630|XP_033165816.1|DMAU
OG0000017	LOC6538219|XP_002098746.2|DYAK	LOC117144632|XP_033165817.1|DMAU
OG0000017	LOC6531831|XP_002092618.3|DYAK	LOC117137416|XP_033154735.1|DMAU
OG0000017	LOC6529100|XP_002090113.1|DYAK	LOC117136539|XP_033153380.1|DMAU
OG0000017	LOC6531832|XP_002092619.1|DYAK	LOC117137415|XP_033154734.1|DMAU
OG0000017	LOC6526432|XP_002087551.1|DYAK	LOC117150949|XP_033174013.1|DMAU, LOC117139948|XP_033158530.1|DMAU
OG0000018	LOC26535774|XP_015049832.1|DYAK	LOC117141482|XP_033160851.1|DMAU
OG0000018	LOC6533166|XP_002093892.1|DYAK	LOC117141483|XP_033160852.1|DMAU
OG0000018	LOC26534877|XP_015049829.1|DYAK, LOC26534805|XP_015049828.1|DYAK, LOC26535405|XP_015049827.1|DYAK	LOC117140972|XP_033160097.1|DMAU, LOC117139215|XP_033157288.1|DMAU
OG0000019	LOC6538322|XP_039232218.1|DYAK	LOC117143233|XP_033163675.1|DMAU
OG0000019	LOC6538324|XP_002098851.2|DYAK	LOC117143237|XP_033163678.1|DMAU
OG0000019	LOC6538323|XP_002098850.2|DYAK	LOC117143236|XP_033163677.1|DMAU
OG0000019	LOC6538326|XP_002098853.2|DYAK	LOC117143229|XP_033163670.1|DMAU
OG0000019	LOC6538321|XP_002098848.1|DYAK	LOC117143231|XP_033163673.1|DMAU
OG0000019	LOC6538320|XP_002098847.1|DYAK	LOC117143232|XP_033163674.1|DMAU
OG0000020	LOC6538082|XP_002098616.1|DYAK	LOC117143636|XP_033164304.1|DMAU
OG0000020	LOC6530655|XP_002091553.1|DYAK	LOC117136475|XP_033153300.1|DMAU
OG0000020	LOC6529647|XP_002090641.1|DYAK	LOC117139859|XP_033158405.1|DMAU
OG0000020	LOC6528749|XP_002089784.2|DYAK	LOC117138462|XP_033156478.1|DMAU
OG0000020	LOC6527703|XP_002088787.1|DYAK	LOC117140141|XP_033158803.1|DMAU
OG0000020	LOC6535735|XP_039231556.1|DYAK	LOC117145918|XP_033167668.1|DMAU
OG0000020	LOC6537431|XP_002097987.1|DYAK	LOC117143368|XP_033163935.1|DMAU
OG0000020	LOC6529263|XP_002090268.1|DYAK	LOC117135687|XP_033151982.1|DMAU
OG0000020	LOC6529648|XP_002090642.1|DYAK	LOC117139836|XP_033158373.1|DMAU
OG0000021	LOC6526678|XP_002087784.1|DYAK	LOC117135318|XP_033151407.1|DMAU
OG0000021	LOC6530550|XP_002091465.1|DYAK	LOC117136145|XP_033152741.1|DMAU
OG0000021	LOC6530532|XP_039228836.1|DYAK	LOC117136571|XP_033153419.1|DMAU
OG0000021	LOC6531172|XP_002092001.1|DYAK	LOC117136553|XP_033153398.1|DMAU
OG0000021	LOC6526013|XP_039229713.1|DYAK	LOC117146855|XP_033169316.1|DMAU
OG0000021	LOC6538705|XP_002099220.3|DYAK	LOC117142241|XP_033161985.1|DMAU
OG0000021	LOC6536819|XP_002097389.1|DYAK	LOC117143646|XP_033164316.1|DMAU
OG0000021	LOC6524816|XP_002100658.1|DYAK	LOC117148061|XP_033171143.1|DMAU
OG0000022	LOC6531452|XP_002092255.1|DYAK	LOC117138252|XP_033156103.1|DMAU
OG0000022	LOC6532315|XP_002093075.1|DYAK	LOC117139751|XP_033158206.1|DMAU
OG0000022	LOC6532322|XP_002093082.1|DYAK, LOC6532321|XP_002093081.1|DYAK, LOC6532323|XP_002093083.1|DYAK, LOC6532320|XP_002093080.1|DYAK	LOC117139201|XP_033157264.1|DMAU, LOC117139199|XP_033157263.1|DMAU, LOC117139197|XP_033157261.1|DMAU
OG0000022	LOC6532325|XP_002093085.1|DYAK	LOC117139203|XP_033157266.1|DMAU
OG0000022	LOC6532324|XP_002093084.1|DYAK	LOC117139198|XP_033157262.1|DMAU
OG0000023	LOC6536030|XP_002096645.2|DYAK	LOC117144283|XP_033165277.1|DMAU
OG0000023	LOC6536027|XP_002096642.3|DYAK, LOC6536034|XP_002096649.3|DYAK	LOC117144284|XP_033165278.1|DMAU
OG0000023	LOC6539886|XP_002086766.1|DYAK	LOC117144282|XP_033165275.1|DMAU
OG0000023	LOC6531278|XP_002092087.2|DYAK	LOC117135977|XP_033152481.1|DMAU
OG0000023	LOC26536093|XP_039232188.1|DYAK	LOC117145126|XP_033166537.1|DMAU
OG0000023	LOC6536032|XP_039230972.1|DYAK	LOC117144278|XP_033165272.1|DMAU
OG0000023	LOC6536035|XP_002096650.2|DYAK	LOC117144277|XP_033165271.1|DMAU
OG0000023	LOC6540152|XP_039232191.1|DYAK	LOC117144765|XP_033166018.1|DMAU
OG0000024	LOC6530300|XP_002091227.1|DYAK	LOC117137467|XP_033154805.1|DMAU
OG0000024	LOC6530298|XP_002091225.1|DYAK, LOC6530299|XP_002091226.1|DYAK	LOC117137468|XP_033154806.1|DMAU, LOC117137469|XP_033154807.1|DMAU
OG0000024	LOC6530302|XP_002091229.1|DYAK	LOC117137862|XP_033155468.1|DMAU
OG0000024	LOC6530301|XP_002091228.2|DYAK	LOC117136255|XP_033152953.1|DMAU
OG0000024	LOC6529811|XP_002090793.1|DYAK	LOC117150619|XP_033173479.1|DMAU
OG0000024	LOC6530303|XP_002091230.1|DYAK	LOC117136506|XP_033153341.1|DMAU
OG0000024	LOC6529951|XP_002090905.3|DYAK	LOC117135440|XP_033151508.1|DMAU
OG0000025	LOC6527587|XP_002088675.1|DYAK	LOC117143378|XP_033163951.1|DMAU
OG0000026	LOC6525058|XP_002100897.1|DYAK	LOC117148470|XP_033171735.1|DMAU
OG0000026	LOC6528059|XP_002089126.1|DYAK	LOC117135160|XP_033151111.1|DMAU
OG0000026	LOC6525544|XP_002101379.1|DYAK	LOC117146899|XP_033169397.1|DMAU
OG0000026	LOC6535919|XP_002096535.1|DYAK	LOC117145491|XP_033167059.1|DMAU
OG0000027	LOC6526916|XP_002088015.1|DYAK	LOC117142835|XP_033162961.1|DMAU
OG0000027	LOC6526913|XP_002088012.1|DYAK	LOC117140739|XP_033159710.1|DMAU
OG0000027	LOC6526915|XP_002088014.1|DYAK	LOC117150817|XP_033173768.1|DMAU
OG0000028	LOC26534799|XP_015044645.1|DYAK, LOC26535937|XP_015050935.2|DYAK, LOC26535654|XP_015045147.2|DYAK, LOC26535087|XP_015045044.2|DYAK	LOC117139334|XP_033157472.1|DMAU
OG0000028	LOC6534951|XP_039229813.1|DYAK	LOC117139373|XP_033157513.1|DMAU
OG0000028	LOC6535078|XP_039229703.1|DYAK	LOC117141110|XP_033160324.1|DMAU
OG0000029	LOC6536587|XP_002097163.1|DYAK	LOC117145028|XP_033166421.1|DMAU
OG0000029	LOC6528801|XP_002089833.1|DYAK	LOC117136167|XP_033152799.1|DMAU
OG0000029	LOC6531052|XP_002091888.1|DYAK	LOC117136614|XP_033153490.1|DMAU
OG0000029	LOC6536173|XP_002096764.1|DYAK	LOC117144854|XP_033166148.1|DMAU
OG0000029	LOC6534230|XP_002094912.1|DYAK	LOC117140740|XP_033159707.1|DMAU
OG0000030	LOC6527318|XP_002088411.1|DYAK	LOC117150768|XP_033173696.1|DMAU
OG0000030	LOC6527316|XP_002088409.2|DYAK	LOC117137293|XP_033154560.1|DMAU
OG0000030	LOC6527317|XP_002088410.1|DYAK	LOC117150769|XP_033173697.1|DMAU
OG0000030	LOC6526597|XP_002087705.1|DYAK	LOC117143350|XP_033163916.1|DMAU
OG0000030	LOC6531827|XP_039228114.1|DYAK	LOC117137054|XP_033154154.1|DMAU
OG0000030	LOC6524424|XP_002100282.1|DYAK	LOC117148684|XP_033172115.1|DMAU
OG0000030	LOC6525109|XP_002100948.2|DYAK	LOC117148518|XP_033171816.1|DMAU, LOC117148443|XP_033171707.1|DMAU, LOC117148004|XP_033171054.1|DMAU
OG0000031	LOC6528958|XP_002089990.1|DYAK	LOC117144354|XP_033165364.1|DMAU
OG0000031	LOC6528971|XP_002090003.2|DYAK	LOC117137476|XP_033154845.1|DMAU
OG0000031	LOC6528984|XP_002090016.3|DYAK	LOC117145782|XP_033167456.1|DMAU
OG0000031	LOC6529463|XP_002090465.2|DYAK	LOC117135426|XP_033151476.1|DMAU
OG0000031	LOC6532903|XP_002093639.1|DYAK	LOC117138977|XP_033156935.1|DMAU
OG0000031	LOC6526633|XP_002087741.1|DYAK	LOC117135570|XP_033151785.1|DMAU
OG0000031	LOC6528006|XP_002089073.1|DYAK	LOC117150913|XP_033173999.1|DMAU
OG0000032	LOC6536794|XP_002097364.1|DYAK	LOC117145857|XP_033167568.1|DMAU
OG0000032	LOC6536792|XP_002097362.1|DYAK	LOC117145860|XP_033167571.1|DMAU
OG0000032	LOC6536800|XP_002097370.2|DYAK	LOC117145861|XP_033167572.1|DMAU
OG0000032	LOC6536793|XP_002097363.1|DYAK	LOC117145859|XP_033167570.1|DMAU
OG0000033	LOC6538142|XP_002098676.1|DYAK	LOC117144719|XP_033165948.1|DMAU
OG0000033	LOC6530309|XP_039228670.1|DYAK	LOC117150287|XP_033172997.1|DMAU
OG0000033	LOC6530310|XP_039228063.1|DYAK	LOC117143200|XP_033163638.1|DMAU
OG0000033	LOC6528345|XP_002089398.1|DYAK	LOC117138299|XP_033156190.1|DMAU
OG0000033	LOC6528344|XP_002089397.2|DYAK	LOC117138297|XP_033156188.1|DMAU
OG0000033	LOC6528350|XP_002089399.1|DYAK	LOC117138298|XP_033156189.1|DMAU
OG0000033	LOC6534298|XP_002094979.1|DYAK	LOC117140273|XP_033158989.1|DMAU
OG0000033	LOC6535950|XP_002096566.1|DYAK	LOC117144413|XP_033165445.1|DMAU
OG0000033	LOC6531400|XP_002092203.1|DYAK	LOC117137789|XP_033155336.1|DMAU
OG0000033	LOC6531401|XP_002092204.1|DYAK	LOC117137724|XP_033155189.1|DMAU
OG0000034	LOC6531351|XP_002092155.1|DYAK	LOC117138566|XP_033156617.1|DMAU
OG0000034	LOC6529512|XP_002090514.1|DYAK	LOC117141167|XP_033160397.1|DMAU
OG0000034	LOC6529511|XP_002090513.2|DYAK	LOC117150484|XP_033173274.1|DMAU
OG0000034	LOC6529510|XP_002090512.1|DYAK	LOC117150483|XP_033173273.1|DMAU
OG0000034	LOC6529821|XP_002090802.3|DYAK	LOC117149319|XP_033172656.1|DMAU
OG0000034	LOC6536872|XP_002097441.1|DYAK	LOC117143947|XP_033164772.1|DMAU
OG0000034	LOC6527117|XP_002088210.1|DYAK	LOC117143867|XP_033164627.1|DMAU
OG0000035	LOC120321774|XP_039231579.1|DYAK	LOC117139681|XP_033158055.1|DMAU, LOC117138223|XP_033156059.1|DMAU, LOC117138222|XP_033156058.1|DMAU
OG0000035	LOC120322270|XP_039233255.1|DYAK	LOC117150075|XP_033172814.1|DMAU, LOC117150140|XP_033172837.1|DMAU, LOC117141067|XP_033160256.1|DMAU, LOC117150145|XP_033172839.1|DMAU, LOC117149971|XP_033172758.1|DMAU, LOC117150146|XP_033172840.1|DMAU, LOC117150018|XP_033172786.1|DMAU, LOC117150076|XP_033172815.1|DMAU, LOC117149623|XP_033172695.1|DMAU, LOC117149638|XP_033172698.1|DMAU, LOC117142656|XP_033162678.1|DMAU, LOC117149972|XP_033172759.1|DMAU, LOC117149044|XP_033172603.1|DMAU, LOC117149965|XP_033172753.1|DMAU
OG0000036	LOC6536018|XP_002096633.1|DYAK	LOC117145150|XP_033166581.1|DMAU
OG0000036	LOC6537201|XP_002097759.1|DYAK	LOC117145004|XP_033166383.1|DMAU
OG0000036	LOC6535269|XP_002095925.1|DYAK	LOC117145915|XP_033167661.1|DMAU
OG0000036	LOC6537913|XP_002098453.1|DYAK	LOC117145828|XP_033167521.1|DMAU
OG0000036	LOC6537914|XP_039232806.1|DYAK	LOC117145827|XP_033167520.1|DMAU
OG0000037	LOC6531032|XP_002091868.2|DYAK	LOC117137024|XP_033154116.1|DMAU
OG0000037	LOC6535647|XP_002096275.2|DYAK	LOC117145239|XP_033166706.1|DMAU
OG0000037	LOC6535648|XP_002096276.2|DYAK	LOC117143582|XP_033164221.1|DMAU
OG0000038	LOC6539691|XP_002086577.2|DYAK	LOC117139364|XP_033157507.1|DMAU
OG0000038	LOC6534938|XP_039229728.1|DYAK	LOC117141232|XP_033160483.1|DMAU
OG0000039	LOC6537610|XP_002098156.2|DYAK	LOC117144249|XP_033165219.1|DMAU
OG0000039	LOC6524746|XP_002100590.1|DYAK	LOC117148457|XP_033171719.1|DMAU
OG0000039	LOC6524745|XP_002100589.2|DYAK	LOC117147454|XP_033170230.1|DMAU
OG0000039	LOC6526007|XP_002101825.1|DYAK	LOC117146886|XP_033169374.1|DMAU
OG0000040	LOC6535485|XP_002096116.3|DYAK	LOC117145128|XP_033166540.1|DMAU
OG0000040	LOC6536605|XP_002097181.1|DYAK	LOC117143448|XP_033164046.1|DMAU
