Orthogroup	DYAK.longest_only	CCAP.longest_only
OG0000003	LOC6530456|XP_002091372.1|DYAK	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP
OG0000003	LOC6528606|XP_002089649.1|DYAK, LOC120320435|XP_002089650.1|DYAK	CCAP1982_LOCUS20941|CAD7012841.1|CCAP
OG0000003	LOC6528128|XP_002089195.3|DYAK	CCAP1982_LOCUS7775|CAD6999243.1|CCAP
OG0000004	LOC120322179|XP_039233170.1|DYAK, LOC6529212|XP_002090219.3|DYAK, LOC120322177|XP_039233168.1|DYAK, LOC120322178|XP_039233169.1|DYAK, LOC6539223|XP_002086123.3|DYAK, LOC120322176|XP_039233166.1|DYAK, LOC6540446|XP_002087254.1|DYAK, LOC120322186|XP_039233176.1|DYAK, LOC6539221|XP_002086122.2|DYAK, LOC120322184|XP_039233174.1|DYAK, LOC120322182|XP_039233172.1|DYAK, LOC120322183|XP_039233173.1|DYAK, LOC26535476|XP_015044590.2|DYAK, LOC120322181|XP_039233171.1|DYAK, LOC120321237|XP_039229333.1|DYAK, LOC120322185|XP_039233175.1|DYAK	CCAP1982_LOCUS6238|CAD6997602.1|CCAP, CCAP1982_LOCUS6250|CAD6997614.1|CCAP, CCAP1982_LOCUS6245|CAD6997609.1|CCAP
OG0000006	LOC120322195|XP_039233186.1|DYAK	CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP
OG0000006	LOC120322198|XP_039233189.1|DYAK	CCAP1982_LOCUS6242|CAD6997606.1|CCAP
OG0000006	LOC120321198|XP_039229117.1|DYAK	CCAP1982_LOCUS9859|CAD7001361.1|CCAP, CCAP1982_LOCUS9861|CAD7001363.1|CCAP
OG0000006	LOC120321239|XP_039229335.1|DYAK, LOC120322189|XP_039233180.1|DYAK, LOC26535831|XP_015045247.2|DYAK	CCAP1982_LOCUS6252|CAD6997616.1|CCAP
OG0000006	LOC6540447|XP_002087253.2|DYAK	CCAP1982_LOCUS6249|CAD6997613.1|CCAP
OG0000007	LOC6534313|XP_002094993.1|DYAK, LOC6534314|XP_002094994.3|DYAK, LOC120321601|XP_039230656.1|DYAK	CCAP1982_LOCUS12646|CAD7004227.1|CCAP
OG0000007	LOC6533142|XP_002093868.1|DYAK	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP
OG0000007	LOC6527619|XP_002088707.1|DYAK, LOC6528628|XP_002089670.1|DYAK, LOC6538895|XP_002099399.1|DYAK, LOC6538894|XP_002099398.2|DYAK, LOC26535513|XP_015044938.2|DYAK, LOC26535290|XP_015044714.2|DYAK, LOC6527618|XP_002088706.1|DYAK, LOC6532723|XP_002093465.1|DYAK, LOC6532724|XP_002093466.1|DYAK, LOC6527620|XP_002088708.1|DYAK, LOC6533144|XP_002093870.1|DYAK, LOC6533145|XP_002093871.1|DYAK	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP
OG0000008	LOC26536044|XP_039231154.1|DYAK	CCAP1982_LOCUS4930|CAD6996247.1|CCAP
OG0000008	LOC6532927|XP_002093663.1|DYAK	CCAP1982_LOCUS12720|CAD7004300.1|CCAP
OG0000008	LOC6532930|XP_002093666.1|DYAK	CCAP1982_LOCUS12715|CAD7004295.1|CCAP
OG0000008	LOC6532928|XP_002093664.1|DYAK	CCAP1982_LOCUS12718|CAD7004298.1|CCAP
OG0000008	LOC6536139|XP_015047584.1|DYAK, LOC6536138|XP_039231652.1|DYAK	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP
OG0000008	LOC6536141|XP_039231654.1|DYAK	CCAP1982_LOCUS3596|CAD6994861.1|CCAP
OG0000008	LOC6536143|XP_002096744.1|DYAK	CCAP1982_LOCUS3598|CAD6994863.1|CCAP
OG0000008	LOC6536140|XP_002096741.1|DYAK	CCAP1982_LOCUS3595|CAD6994860.1|CCAP
OG0000008	LOC6536142|XP_002096743.1|DYAK	CCAP1982_LOCUS3597|CAD6994862.1|CCAP
OG0000008	LOC6536144|XP_002096745.1|DYAK	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP
OG0000009	LOC6535723|XP_002096349.3|DYAK	CCAP1982_LOCUS973|CAD6992095.1|CCAP
OG0000009	LOC6532044|XP_002092821.1|DYAK, LOC6536768|XP_002097339.1|DYAK, LOC6530109|XP_002091055.1|DYAK, LOC6530111|XP_002091057.1|DYAK	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP
OG0000010	LOC120321202|XP_039229121.1|DYAK, LOC120321245|XP_039229342.1|DYAK, LOC120322219|XP_039233209.1|DYAK	CCAP1982_LOCUS6246|CAD6997610.1|CCAP
OG0000010	LOC120322218|XP_039233208.1|DYAK	CCAP1982_LOCUS6235|CAD6997599.1|CCAP
OG0000010	LOC120322222|XP_039233212.1|DYAK	CCAP1982_LOCUS2041|CAD6993222.1|CCAP
OG0000012	LOC6530957|XP_002091795.1|DYAK	CCAP1982_LOCUS22583|CAD7014589.1|CCAP
OG0000012	LOC6530958|XP_002091796.1|DYAK	CCAP1982_LOCUS22582|CAD7014587.1|CCAP
OG0000012	LOC6530959|XP_015051811.1|DYAK	CCAP1982_LOCUS22581|CAD7014586.1|CCAP
OG0000012	LOC6530956|XP_002091794.1|DYAK	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP
OG0000012	LOC6530954|XP_002091792.1|DYAK, LOC6530955|XP_002091793.1|DYAK, LOC6530135|XP_002091081.1|DYAK, LOC6530133|XP_002091079.2|DYAK, LOC6530132|XP_002091078.1|DYAK, LOC6530131|XP_002091077.2|DYAK, LOC6530130|XP_002091076.1|DYAK, LOC6530129|XP_002091075.1|DYAK	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP
OG0000013	LOC6530359|XP_002091285.1|DYAK	CCAP1982_LOCUS7142|CAD6998559.1|CCAP
OG0000013	LOC6537221|XP_002097779.1|DYAK	CCAP1982_LOCUS4900|CAD6996212.1|CCAP
OG0000013	LOC6534055|XP_002094741.1|DYAK	CCAP1982_LOCUS14162|CAD7005816.1|CCAP
OG0000013	LOC6536907|XP_002097476.1|DYAK	CCAP1982_LOCUS3120|CAD6994367.1|CCAP
OG0000013	LOC6538786|XP_002099299.1|DYAK	CCAP1982_LOCUS2756|CAD6993971.1|CCAP
OG0000013	LOC6536836|XP_039232142.1|DYAK, LOC6536837|XP_039232350.1|DYAK, LOC6536733|XP_039231378.1|DYAK, LOC26536199|XP_039231379.1|DYAK, LOC26535865|XP_039231377.1|DYAK	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP
OG0000014	LOC120320742|XP_039227211.1|DYAK, LOC26535677|XP_039233320.1|DYAK, LOC26535673|XP_039231397.1|DYAK, LOC26534925|XP_039227759.1|DYAK, LOC120320583|XP_039226552.1|DYAK, LOC26536307|XP_039231773.1|DYAK, LOC120321866|XP_039231842.1|DYAK, LOC120322339|XP_039233322.1|DYAK, LOC120322409|XP_039233635.1|DYAK, LOC120321092|XP_039228481.1|DYAK, LOC120320535|XP_039226317.1|DYAK	CCAP1982_LOCUS11944|CAD7003494.1|CCAP
OG0000014	LOC120322250|XP_039233239.1|DYAK, LOC120322248|XP_039233238.1|DYAK, LOC120321426|XP_039229753.1|DYAK	CCAP1982_LOCUS11701|CAD7003239.1|CCAP
OG0000016	LOC6536965|XP_002097534.1|DYAK, LOC6530731|XP_002091621.1|DYAK	CCAP1982_LOCUS2337|CAD6993525.1|CCAP
OG0000016	LOC6536862|XP_002097431.1|DYAK	CCAP1982_LOCUS4238|CAD6995526.1|CCAP
OG0000016	LOC6531360|XP_002092163.2|DYAK	CCAP1982_LOCUS8417|CAD6999907.1|CCAP
OG0000016	LOC6537169|XP_002097730.1|DYAK	CCAP1982_LOCUS4923|CAD6996239.1|CCAP
OG0000016	LOC6535129|XP_039230803.1|DYAK	CCAP1982_LOCUS22100|CAD7014094.1|CCAP
OG0000017	LOC6528495|XP_002089541.2|DYAK, LOC6539128|XP_002086029.1|DYAK	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP
OG0000018	LOC6533164|XP_002093890.1|DYAK	CCAP1982_LOCUS12552|CAD7004131.1|CCAP
OG0000018	LOC26535774|XP_015049832.1|DYAK	CCAP1982_LOCUS12546|CAD7004125.1|CCAP
OG0000018	LOC6533166|XP_002093892.1|DYAK	CCAP1982_LOCUS12550|CAD7004129.1|CCAP
OG0000019	LOC6538322|XP_039232218.1|DYAK, LOC6538324|XP_002098851.2|DYAK, LOC6538323|XP_002098850.2|DYAK, LOC6538326|XP_002098853.2|DYAK, LOC6538321|XP_002098848.1|DYAK, LOC6538320|XP_002098847.1|DYAK	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP
OG0000020	LOC6538082|XP_002098616.1|DYAK	CCAP1982_LOCUS1146|CAD6992278.1|CCAP
OG0000020	LOC6529647|XP_002090641.1|DYAK, LOC6528749|XP_002089784.2|DYAK, LOC6527703|XP_002088787.1|DYAK	CCAP1982_LOCUS1002|CAD6992120.1|CCAP
OG0000020	LOC6535735|XP_039231556.1|DYAK	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP
OG0000020	LOC6529263|XP_002090268.1|DYAK, LOC6529648|XP_002090642.1|DYAK	CCAP1982_LOCUS999|CAD6992115.1|CCAP
OG0000021	LOC6536819|XP_002097389.1|DYAK	CCAP1982_LOCUS162|CAD6991224.1|CCAP
OG0000022	LOC6531452|XP_002092255.1|DYAK	CCAP1982_LOCUS19689|CAD7011600.1|CCAP
OG0000022	LOC6532322|XP_002093082.1|DYAK, LOC6532321|XP_002093081.1|DYAK, LOC6532323|XP_002093083.1|DYAK, LOC6532320|XP_002093080.1|DYAK	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP
OG0000023	LOC6539886|XP_002086766.1|DYAK, LOC6531278|XP_002092087.2|DYAK, LOC26536093|XP_039232188.1|DYAK	CCAP1982_LOCUS4737|CAD6996031.1|CCAP
OG0000023	LOC6536032|XP_039230972.1|DYAK	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP
OG0000023	LOC6536035|XP_002096650.2|DYAK	CCAP1982_LOCUS4751|CAD6996045.1|CCAP
OG0000023	LOC6540152|XP_039232191.1|DYAK	CCAP1982_LOCUS4754|CAD6996047.1|CCAP
OG0000024	LOC6529811|XP_002090793.1|DYAK, LOC6530303|XP_002091230.1|DYAK	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP
OG0000026	LOC6525544|XP_002101379.1|DYAK, LOC6535919|XP_002096535.1|DYAK	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP
OG0000027	LOC6526916|XP_002088015.1|DYAK	CCAP1982_LOCUS8299|CAD6999776.1|CCAP
OG0000027	LOC6526913|XP_002088012.1|DYAK	CCAP1982_LOCUS8293|CAD6999770.1|CCAP
OG0000027	LOC6526915|XP_002088014.1|DYAK	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP
OG0000028	LOC6534951|XP_039229813.1|DYAK	CCAP1982_LOCUS11984|CAD7003534.1|CCAP
OG0000028	LOC6535078|XP_039229703.1|DYAK	CCAP1982_LOCUS11988|CAD7003538.1|CCAP, CCAP1982_LOCUS11989|CAD7003539.1|CCAP, CCAP1982_LOCUS11981|CAD7003531.1|CCAP, CCAP1982_LOCUS11977|CAD7003527.1|CCAP, CCAP1982_LOCUS11980|CAD7003530.1|CCAP, CCAP1982_LOCUS11979|CAD7003529.1|CCAP, CCAP1982_LOCUS11978|CAD7003528.1|CCAP
OG0000029	LOC6536587|XP_002097163.1|DYAK, LOC6528801|XP_002089833.1|DYAK, LOC6531052|XP_002091888.1|DYAK, LOC6536173|XP_002096764.1|DYAK, LOC6534230|XP_002094912.1|DYAK	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP
OG0000030	LOC6527318|XP_002088411.1|DYAK, LOC6527316|XP_002088409.2|DYAK, LOC6527317|XP_002088410.1|DYAK	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP
OG0000030	LOC6526597|XP_002087705.1|DYAK, LOC6531827|XP_039228114.1|DYAK	CCAP1982_LOCUS21173|CAD7013099.1|CCAP
OG0000031	LOC6528006|XP_002089073.1|DYAK	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP
OG0000032	LOC6536794|XP_002097364.1|DYAK	CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP
OG0000032	LOC6536802|XP_002097372.1|DYAK, LOC6536801|XP_002097371.1|DYAK	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP
OG0000034	LOC6531351|XP_002092155.1|DYAK, LOC6529512|XP_002090514.1|DYAK, LOC6529511|XP_002090513.2|DYAK, LOC6529510|XP_002090512.1|DYAK, LOC6536871|XP_002097440.2|DYAK, LOC6529821|XP_002090802.3|DYAK, LOC6536872|XP_002097441.1|DYAK, LOC6527117|XP_002088210.1|DYAK	CCAP1982_LOCUS7893|CAD6999366.1|CCAP
OG0000036	LOC6536018|XP_002096633.1|DYAK	CCAP1982_LOCUS4712|CAD6996006.1|CCAP
OG0000036	LOC6537201|XP_002097759.1|DYAK	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP
OG0000036	LOC6535269|XP_002095925.1|DYAK	CCAP1982_LOCUS1595|CAD6992752.1|CCAP
OG0000036	LOC6537913|XP_002098453.1|DYAK, LOC6537914|XP_039232806.1|DYAK	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP
OG0000037	LOC6531032|XP_002091868.2|DYAK	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP
OG0000037	LOC6535647|XP_002096275.2|DYAK, LOC6535648|XP_002096276.2|DYAK	CCAP1982_LOCUS2613|CAD6993815.1|CCAP
OG0000038	LOC6539691|XP_002086577.2|DYAK	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP
OG0000041	LOC6538543|XP_002099065.1|DYAK, LOC6538542|XP_002099064.1|DYAK, LOC6538540|XP_002099062.1|DYAK, LOC6538541|XP_002099063.1|DYAK, LOC6538533|XP_002099055.1|DYAK, LOC6538535|XP_039230997.1|DYAK, LOC6538534|XP_002099056.1|DYAK	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP
OG0000043	LOC6536588|XP_002097164.1|DYAK, LOC6536590|XP_002097166.1|DYAK, LOC6536589|XP_002097165.1|DYAK	CCAP1982_LOCUS4613|CAD6995911.1|CCAP
OG0000043	LOC6536584|XP_002097160.1|DYAK, LOC6536592|XP_002097168.1|DYAK, LOC6536593|XP_039231638.1|DYAK, LOC6539005|XP_002099507.1|DYAK, LOC6536594|XP_002097170.1|DYAK	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP
OG0000044	LOC6538530|XP_002099052.1|DYAK	CCAP1982_LOCUS840|CAD6991952.1|CCAP
OG0000044	LOC6538526|XP_002099048.1|DYAK, LOC6538525|XP_002099047.1|DYAK, LOC6538529|XP_002099051.1|DYAK, LOC6538527|XP_002099049.1|DYAK, LOC6538528|XP_002099050.1|DYAK	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP
OG0000044	LOC6537407|XP_002097963.3|DYAK	CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP
OG0000045	LOC6533631|XP_002094338.1|DYAK	CCAP1982_LOCUS11539|CAD7003076.1|CCAP
OG0000045	LOC6533629|XP_002094336.1|DYAK, LOC6533630|XP_002094337.1|DYAK	CCAP1982_LOCUS11540|CAD7003077.1|CCAP
OG0000045	LOC6533265|XP_002093991.2|DYAK	CCAP1982_LOCUS11541|CAD7003078.1|CCAP
OG0000045	LOC6533264|XP_002093990.1|DYAK	CCAP1982_LOCUS11542|CAD7003079.1|CCAP
OG0000047	LOC6529920|XP_002090877.1|DYAK	CCAP1982_LOCUS9943|CAD7001446.1|CCAP
OG0000048	LOC6539501|XP_002086390.1|DYAK, LOC26534611|XP_015045057.1|DYAK	CCAP1982_LOCUS14846|CAD7006532.1|CCAP, CCAP1982_LOCUS14847|CAD7006533.1|CCAP
OG0000048	LOC6539643|XP_002086528.1|DYAK, LOC6539644|XP_002086526.2|DYAK	CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP
OG0000048	LOC6539640|XP_002086529.1|DYAK	CCAP1982_LOCUS14852|CAD7006538.1|CCAP
OG0000049	LOC6537437|XP_002097993.1|DYAK	CCAP1982_LOCUS3089|CAD6994333.1|CCAP
OG0000049	LOC6536653|XP_002097225.1|DYAK	CCAP1982_LOCUS3087|CAD6994331.1|CCAP
OG0000049	LOC6536655|XP_002097227.1|DYAK, LOC6536654|XP_002097226.1|DYAK	CCAP1982_LOCUS3086|CAD6994330.1|CCAP
OG0000049	LOC6537438|XP_002097994.1|DYAK	CCAP1982_LOCUS3090|CAD6994334.1|CCAP
OG0000050	LOC6530239|XP_002091176.2|DYAK	CCAP1982_LOCUS13741|CAD7005381.1|CCAP
OG0000050	LOC6535160|XP_039230152.1|DYAK, LOC6535164|XP_002095826.2|DYAK, LOC6535163|XP_002095825.2|DYAK, LOC120320448|XP_039230150.1|DYAK, LOC6535165|XP_002095827.2|DYAK, LOC6535162|XP_002095824.2|DYAK	CCAP1982_LOCUS13740|CAD7005380.1|CCAP
OG0000051	LOC6536236|XP_002096825.1|DYAK	CCAP1982_LOCUS274|CAD6991345.1|CCAP
OG0000051	LOC6536859|XP_002097428.1|DYAK	CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP
OG0000051	LOC6536777|XP_002097348.1|DYAK, LOC6537302|XP_002097860.1|DYAK, LOC6536778|XP_002097349.1|DYAK, LOC6536779|XP_002097350.1|DYAK	CCAP1982_LOCUS4223|CAD6995510.1|CCAP, CCAP1982_LOCUS170|CAD6991233.1|CCAP, CCAP1982_LOCUS4233|CAD6995520.1|CCAP
OG0000052	LOC6536447|XP_002097028.1|DYAK, LOC6537955|XP_002098492.1|DYAK, LOC6536445|XP_002097026.2|DYAK, LOC6536449|XP_002097030.1|DYAK, LOC6536448|XP_002097029.1|DYAK, LOC6531034|XP_002091870.1|DYAK, LOC6531035|XP_002091871.1|DYAK	CCAP1982_LOCUS19453|CAD7011350.1|CCAP, CCAP1982_LOCUS12190|CAD7003754.1|CCAP, CCAP1982_LOCUS12192|CAD7003756.1|CCAP, CCAP1982_LOCUS12191|CAD7003755.1|CCAP
