Orthogroup	DYAK.longest_only	DPSE.longest_only
OG0000003	LOC6528608|XP_002089651.1|DYAK	LOC4804978|XP_001361452.2|DPSE
OG0000003	LOC6528606|XP_002089649.1|DYAK, LOC120320435|XP_002089650.1|DYAK	LOC117183541|XP_033233567.1|DPSE, LOC4804974|XP_001361449.3|DPSE
OG0000003	LOC6528128|XP_002089195.3|DYAK	LOC6902590|XP_002133118.2|DPSE
OG0000006	LOC120322195|XP_039233186.1|DYAK	LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE
OG0000006	LOC120322198|XP_039233189.1|DYAK	LOC117185611|XP_033241640.1|DPSE
OG0000006	LOC120322194|XP_039233185.1|DYAK, LOC120322188|XP_039233178.1|DYAK, LOC120321197|XP_039229115.1|DYAK, LOC120321239|XP_039229335.1|DYAK, LOC120322189|XP_039233180.1|DYAK, LOC26535831|XP_015045247.2|DYAK, LOC120322193|XP_039233184.1|DYAK, LOC6540447|XP_002087253.2|DYAK, LOC6540554|XP_002087344.1|DYAK	LOC117183581|XP_033233838.1|DPSE
OG0000007	LOC6534313|XP_002094993.1|DYAK, LOC6534314|XP_002094994.3|DYAK, LOC120321601|XP_039230656.1|DYAK	LOC6900428|XP_002134819.1|DPSE
OG0000007	LOC6533142|XP_002093868.1|DYAK	LOC5495512|XP_001353851.2|DPSE
OG0000007	LOC6533143|XP_002093869.1|DYAK	LOC5495507|XP_001353849.1|DPSE
OG0000007	LOC6527619|XP_002088707.1|DYAK	LOC5495509|XP_001355939.3|DPSE
OG0000007	LOC6528628|XP_002089670.1|DYAK	LOC4805058|XP_001361522.1|DPSE
OG0000007	LOC6527618|XP_002088706.1|DYAK	LOC4816610|XP_001355938.2|DPSE
OG0000007	LOC6532724|XP_002093466.1|DYAK	LOC4813941|XP_001354103.1|DPSE
OG0000007	LOC6527620|XP_002088708.1|DYAK	LOC4816998|XP_001356721.3|DPSE
OG0000007	LOC6533144|XP_002093870.1|DYAK	LOC4813497|XP_001353852.2|DPSE
OG0000007	LOC6533145|XP_002093871.1|DYAK	LOC4813468|XP_001353840.2|DPSE
OG0000008	LOC26536044|XP_039231154.1|DYAK	LOC4803265|XP_001360036.3|DPSE
OG0000008	LOC6532927|XP_002093663.1|DYAK	LOC6900302|XP_002135624.1|DPSE
OG0000008	LOC6532930|XP_002093666.1|DYAK	LOC6900304|XP_002135626.2|DPSE
OG0000008	LOC6527319|XP_002088412.1|DYAK	LOC6903158|XP_002132860.2|DPSE
OG0000008	LOC6536139|XP_015047584.1|DYAK, LOC6536138|XP_039231652.1|DYAK	LOC6897538|XP_002137683.2|DPSE, LOC4802264|XP_001359219.2|DPSE
OG0000008	LOC6536143|XP_002096744.1|DYAK	LOC4802270|XP_033239768.1|DPSE
OG0000008	LOC6536140|XP_002096741.1|DYAK	LOC4802267|XP_001359221.4|DPSE
OG0000008	LOC6536142|XP_002096743.1|DYAK	LOC117184116|XP_033236234.1|DPSE
OG0000008	LOC6536144|XP_002096745.1|DYAK	LOC4802269|XP_001359223.2|DPSE
OG0000009	LOC6535723|XP_002096349.3|DYAK	LOC6897995|XP_002138092.2|DPSE
OG0000009	LOC6535721|XP_002096347.1|DYAK	LOC4803283|XP_001360048.3|DPSE
OG0000009	LOC6535720|XP_002096346.1|DYAK, LOC6535722|XP_002096348.1|DYAK	LOC6897994|XP_002138091.2|DPSE, LOC4803281|XP_001360047.2|DPSE
OG0000009	LOC6533117|XP_002093843.1|DYAK, LOC6533118|XP_002093844.1|DYAK	LOC6897633|XP_002137776.2|DPSE, LOC6897632|XP_002137775.2|DPSE, LOC6897630|XP_002137773.2|DPSE, LOC6897583|XP_002137728.2|DPSE
OG0000009	LOC6532044|XP_002092821.1|DYAK	LOC4805603|XP_001361980.2|DPSE
OG0000009	LOC6536768|XP_002097339.1|DYAK	LOC4802604|XP_001359493.2|DPSE
OG0000009	LOC6530109|XP_002091055.1|DYAK	LOC4804281|XP_001360862.1|DPSE
OG0000009	LOC6530111|XP_002091057.1|DYAK	LOC6898444|XP_002138487.3|DPSE
OG0000010	LOC120322219|XP_039233209.1|DYAK	LOC117183603|XP_033233990.1|DPSE
OG0000010	LOC120322214|XP_039233205.1|DYAK, LOC120322218|XP_039233208.1|DYAK	LOC117185640|XP_033241727.1|DPSE
OG0000010	LOC120322222|XP_039233212.1|DYAK	LOC26532676|XP_015035129.1|DPSE
OG0000010	LOC26535638|XP_039229341.1|DYAK, LOC120322220|XP_039233210.1|DYAK, LOC26535724|XP_039233215.1|DYAK, LOC120322221|XP_039233211.1|DYAK	LOC26532710|XP_015035140.1|DPSE
OG0000011	LOC26534881|XP_015054560.1|DYAK, LOC6525318|XP_002101154.2|DYAK, LOC120320450|XP_039227155.1|DYAK, LOC6526687|XP_002087792.2|DYAK, LOC6526836|XP_039227102.1|DYAK, LOC6526837|XP_002087937.1|DYAK, LOC26535503|XP_015045173.2|DYAK, LOC6529533|XP_039228709.1|DYAK, LOC6529527|XP_039228713.1|DYAK, LOC120320662|XP_039226899.1|DYAK	LOC6903257|XP_015036468.1|DPSE, LOC26534003|XP_015037011.2|DPSE, LOC6902418|XP_033235641.1|DPSE, LOC6902419|XP_015037014.2|DPSE, LOC26532842|XP_033240537.1|DPSE, LOC6903258|XP_033236331.1|DPSE, LOC117184128|XP_033236322.1|DPSE, LOC117184127|XP_033236312.1|DPSE, LOC6903259|XP_015036470.1|DPSE, LOC6900979|XP_033239557.1|DPSE, LOC6904000|XP_033239558.1|DPSE, LOC6903305|XP_002132493.1|DPSE, LOC6903279|XP_002132978.2|DPSE, LOC26533994|XP_033236319.1|DPSE, LOC117184073|XP_033236055.1|DPSE, LOC26533837|XP_033236050.1|DPSE, LOC117184074|XP_033236060.1|DPSE, LOC6903240|XP_033236052.1|DPSE, LOC6903239|XP_015036440.1|DPSE
OG0000011	LOC6534062|XP_002094748.1|DYAK	LOC117183548|XP_033233646.1|DPSE, LOC6897642|XP_033241732.1|DPSE, LOC117185097|XP_033240835.1|DPSE
OG0000011	LOC6534063|XP_002094749.1|DYAK	LOC6900040|XP_002135404.2|DPSE
OG0000011	LOC6536394|XP_002096976.1|DYAK	LOC6897605|XP_002137750.2|DPSE
OG0000012	LOC6530957|XP_002091795.1|DYAK	LOC4804261|XP_015039777.2|DPSE
OG0000012	LOC6530958|XP_002091796.1|DYAK	LOC4804255|XP_001360842.2|DPSE
OG0000012	LOC6530959|XP_015051811.1|DYAK	LOC4804254|XP_015039772.2|DPSE
OG0000012	LOC6530956|XP_002091794.1|DYAK	LOC6898436|XP_033233736.1|DPSE
OG0000012	LOC6530954|XP_002091792.1|DYAK	LOC26534343|XP_015039779.2|DPSE, LOC4804257|XP_033234499.1|DPSE, LOC6898437|XP_015039781.2|DPSE
OG0000012	LOC6530955|XP_002091793.1|DYAK	LOC4804256|XP_015039778.2|DPSE
OG0000012	LOC6530135|XP_002091081.1|DYAK	LOC4804263|XP_001360847.3|DPSE
OG0000012	LOC6530133|XP_002091079.2|DYAK	LOC6898438|XP_002138480.2|DPSE
OG0000012	LOC6530132|XP_002091078.1|DYAK, LOC6530131|XP_002091077.2|DYAK	LOC4804265|XP_001360848.3|DPSE
OG0000012	LOC6530130|XP_002091076.1|DYAK	LOC6898439|XP_002138481.3|DPSE
OG0000012	LOC6530129|XP_002091075.1|DYAK	LOC4804266|XP_033235099.1|DPSE
OG0000013	LOC6530359|XP_002091285.1|DYAK	LOC4805483|XP_001361878.1|DPSE
OG0000013	LOC6525539|XP_002101374.1|DYAK	LOC4815139|XP_001354758.1|DPSE
OG0000013	LOC6537221|XP_002097779.1|DYAK	LOC6897906|XP_002138008.2|DPSE, LOC4803092|XP_001359891.1|DPSE
OG0000013	LOC6534055|XP_002094741.1|DYAK	LOC6900589|XP_002134962.1|DPSE
OG0000013	LOC6536907|XP_002097476.1|DYAK	LOC4801399|XP_001358499.2|DPSE
OG0000013	LOC6538786|XP_002099299.1|DYAK	LOC6897333|XP_033232478.1|DPSE, LOC4801762|XP_001358803.2|DPSE
OG0000013	LOC6536836|XP_039232142.1|DYAK, LOC6536837|XP_039232350.1|DYAK, LOC6536733|XP_039231378.1|DYAK, LOC26536199|XP_039231379.1|DYAK, LOC26535865|XP_039231377.1|DYAK	LOC6896929|XP_033238114.1|DPSE, LOC4800844|XP_033238105.1|DPSE
OG0000014	LOC120320742|XP_039227211.1|DYAK	LOC117184937|XP_033240069.1|DPSE
OG0000015	LOC6530275|XP_002091207.2|DYAK	LOC6902329|XP_002133283.3|DPSE, LOC6902626|XP_033236804.1|DPSE
OG0000016	LOC6536965|XP_002097534.1|DYAK	LOC4801993|XP_001359004.1|DPSE
OG0000016	LOC6530731|XP_002091621.1|DYAK	LOC6898475|XP_002138517.1|DPSE
OG0000016	LOC6536862|XP_002097431.1|DYAK	LOC4801351|XP_001358460.1|DPSE
OG0000016	LOC6531360|XP_002092163.2|DYAK	LOC4805675|XP_001362034.4|DPSE
OG0000016	LOC6525488|XP_002101323.1|DYAK	LOC4814924|XP_001354857.1|DPSE
OG0000016	LOC6529087|XP_002090100.1|DYAK	LOC26534122|XP_033239163.1|DPSE, LOC6898658|XP_004444310.1|DPSE
OG0000016	LOC6537169|XP_002097730.1|DYAK	LOC6896970|XP_002137155.1|DPSE
OG0000016	LOC6535129|XP_039230803.1|DYAK	LOC4812150|XP_001352883.1|DPSE
OG0000017	LOC6528495|XP_002089541.2|DYAK	LOC4805006|XP_001361476.2|DPSE
OG0000017	LOC6539128|XP_002086029.1|DYAK	LOC6898665|XP_002138670.2|DPSE, LOC4804841|XP_001361337.4|DPSE
OG0000017	LOC6538220|XP_039231078.1|DYAK, LOC6538219|XP_002098746.2|DYAK	LOC117183391|XP_033233068.1|DPSE, LOC6898222|XP_002138288.3|DPSE, LOC6898223|XP_033234356.1|DPSE, LOC117183697|XP_033234424.1|DPSE, LOC117183690|XP_033234357.1|DPSE, LOC4800683|XP_002137062.3|DPSE
OG0000017	LOC6531831|XP_002092618.3|DYAK	LOC4804478|XP_001361036.2|DPSE
OG0000017	LOC6529100|XP_002090113.1|DYAK	LOC4804840|XP_001361336.1|DPSE
OG0000017	LOC6531832|XP_002092619.1|DYAK	LOC4804477|XP_001361035.3|DPSE
OG0000017	LOC6526432|XP_002087551.1|DYAK	LOC117183964|XP_033235603.1|DPSE, LOC6903208|XP_033235602.1|DPSE, LOC4817633|XP_002132903.2|DPSE
OG0000018	LOC6533164|XP_002093890.1|DYAK	LOC5495511|XP_001353833.1|DPSE
OG0000018	LOC26535124|XP_015049835.1|DYAK, LOC26536164|XP_039229759.1|DYAK	LOC4813480|XP_001353827.2|DPSE
OG0000018	LOC6533166|XP_002093892.1|DYAK	LOC4813481|XP_001353829.1|DPSE
OG0000018	LOC26534877|XP_015049829.1|DYAK, LOC26534805|XP_015049828.1|DYAK, LOC26535405|XP_015049827.1|DYAK, LOC26534941|XP_015049831.1|DYAK	LOC6900715|XP_002135078.1|DPSE, LOC6900712|XP_002135075.1|DPSE, LOC6900714|XP_002135077.1|DPSE, LOC6900713|XP_002135076.1|DPSE
OG0000019	LOC6538322|XP_039232218.1|DYAK	LOC6897057|XP_002137241.2|DPSE, LOC26533605|XP_015037040.2|DPSE, LOC6897058|XP_002137242.2|DPSE
OG0000019	LOC6538326|XP_002098853.2|DYAK	LOC4801129|XP_033235715.1|DPSE
OG0000019	LOC6538321|XP_002098848.1|DYAK, LOC6538320|XP_002098847.1|DYAK	LOC6897061|XP_002137245.2|DPSE, LOC6897060|XP_033233125.1|DPSE, LOC4801132|XP_001358274.2|DPSE
OG0000020	LOC6538082|XP_002098616.1|DYAK	LOC6896759|XP_002136966.1|DPSE
OG0000020	LOC6530655|XP_002091553.1|DYAK	LOC4803770|XP_001360432.3|DPSE
OG0000020	LOC6529647|XP_002090641.1|DYAK, LOC6528749|XP_002089784.2|DYAK, LOC6527703|XP_002088787.1|DYAK	LOC6902791|XP_002132528.2|DPSE
OG0000020	LOC6535735|XP_039231556.1|DYAK	LOC117183221|XP_033232918.1|DPSE
OG0000020	LOC6537431|XP_002097987.1|DYAK	LOC6897832|XP_002137937.1|DPSE
OG0000020	LOC6529263|XP_002090268.1|DYAK	LOC4818201|XP_033236143.1|DPSE
OG0000021	LOC6526678|XP_002087784.1|DYAK	LOC6898835|XP_002138808.1|DPSE
OG0000021	LOC6530550|XP_002091465.1|DYAK	LOC6898840|XP_002138811.3|DPSE
OG0000021	LOC6530532|XP_039228836.1|DYAK	LOC4805268|XP_001361693.2|DPSE
OG0000021	LOC6531172|XP_002092001.1|DYAK	LOC6901774|XP_002134444.3|DPSE, LOC6901777|XP_002134447.3|DPSE
OG0000021	LOC6526013|XP_039229713.1|DYAK	LOC6901473|XP_033238237.1|DPSE
OG0000021	LOC6538705|XP_002099220.3|DYAK	LOC6897478|XP_002137627.1|DPSE
OG0000021	LOC6536819|XP_002097389.1|DYAK	LOC4800831|XP_001358035.1|DPSE
OG0000021	LOC6524816|XP_002100658.1|DYAK	LOC6901811|XP_002134479.1|DPSE
OG0000022	LOC6531452|XP_002092255.1|DYAK	LOC4804646|XP_033234778.1|DPSE
OG0000022	LOC6532315|XP_002093075.1|DYAK	LOC6899947|XP_002135315.1|DPSE
OG0000022	LOC6532322|XP_002093082.1|DYAK, LOC6532321|XP_002093081.1|DYAK, LOC6532323|XP_002093083.1|DYAK, LOC6532320|XP_002093080.1|DYAK	LOC6899949|XP_002135317.2|DPSE, LOC6899956|XP_002135324.1|DPSE, LOC6899953|XP_002135321.1|DPSE
OG0000022	LOC6532325|XP_002093085.1|DYAK	LOC4812049|XP_001352467.1|DPSE
OG0000022	LOC6532324|XP_002093084.1|DYAK	LOC6899946|XP_002135314.1|DPSE
OG0000023	LOC6536027|XP_002096642.3|DYAK, LOC6536034|XP_002096649.3|DYAK	LOC6897864|XP_033232668.1|DPSE
OG0000023	LOC6539886|XP_002086766.1|DYAK	LOC4802964|XP_001359777.4|DPSE
OG0000023	LOC6531278|XP_002092087.2|DYAK	LOC4804210|XP_001360806.2|DPSE
OG0000023	LOC26536093|XP_039232188.1|DYAK	LOC6897865|XP_033232678.1|DPSE
OG0000023	LOC6536032|XP_039230972.1|DYAK	LOC4802957|XP_001359771.3|DPSE
OG0000023	LOC6536035|XP_002096650.2|DYAK	LOC5384073|XP_001359768.2|DPSE
OG0000023	LOC6540152|XP_039232191.1|DYAK	LOC4802956|XP_015038205.2|DPSE
OG0000024	LOC6530302|XP_002091229.1|DYAK	LOC5495520|XP_001361563.3|DPSE
OG0000024	LOC6530301|XP_002091228.2|DYAK	LOC4805107|XP_001361564.1|DPSE
OG0000024	LOC6529811|XP_002090793.1|DYAK	LOC6899225|XP_002136299.3|DPSE
OG0000024	LOC6530303|XP_002091230.1|DYAK	LOC5495508|XP_001361566.2|DPSE
OG0000024	LOC6529951|XP_002090905.3|DYAK	LOC4805028|XP_001361496.1|DPSE
OG0000025	LOC6527587|XP_002088675.1|DYAK	LOC6901557|XP_002134231.1|DPSE
OG0000026	LOC6525058|XP_002100897.1|DYAK	LOC4814777|XP_001354707.2|DPSE
OG0000026	LOC6528059|XP_002089126.1|DYAK	LOC4818162|XP_001357184.4|DPSE
OG0000026	LOC6525544|XP_002101379.1|DYAK	LOC4815876|XP_001355332.2|DPSE
OG0000026	LOC6535919|XP_002096535.1|DYAK	LOC4800860|XP_001358060.2|DPSE
OG0000027	LOC6526916|XP_002088015.1|DYAK	LOC6902829|XP_002132565.2|DPSE
OG0000027	LOC6526913|XP_002088012.1|DYAK	LOC4817432|XP_001356466.2|DPSE
OG0000027	LOC6526915|XP_002088014.1|DYAK	LOC4816919|XP_001356465.1|DPSE
OG0000028	LOC6534951|XP_039229813.1|DYAK	LOC6900255|XP_002135584.2|DPSE
OG0000028	LOC6535078|XP_039229703.1|DYAK	LOC6900007|XP_002135372.2|DPSE
OG0000029	LOC6528801|XP_002089833.1|DYAK, LOC6531052|XP_002091888.1|DYAK	LOC117183538|XP_033233522.1|DPSE, LOC6898458|XP_002138501.2|DPSE
OG0000029	LOC6536173|XP_002096764.1|DYAK	LOC6897267|XP_033233167.1|DPSE
OG0000029	LOC6534230|XP_002094912.1|DYAK	LOC4813458|XP_001353977.2|DPSE
OG0000030	LOC6527318|XP_002088411.1|DYAK	LOC4817563|XP_001356970.3|DPSE
OG0000030	LOC6527316|XP_002088409.2|DYAK	LOC4817564|XP_002132859.2|DPSE
OG0000030	LOC6527317|XP_002088410.1|DYAK	LOC6903157|XP_002132858.2|DPSE, LOC4817562|XP_001356969.3|DPSE
OG0000030	LOC6526597|XP_002087705.1|DYAK	LOC4816660|XP_001355989.2|DPSE
OG0000030	LOC6531827|XP_039228114.1|DYAK	LOC4804482|XP_001361038.2|DPSE
OG0000030	LOC6524424|XP_002100282.1|DYAK	LOC4816069|XP_001355235.2|DPSE
OG0000030	LOC6525109|XP_002100948.2|DYAK	LOC4815215|XP_001354948.2|DPSE
OG0000031	LOC6528958|XP_002089990.1|DYAK, LOC6528971|XP_002090003.2|DYAK, LOC6528984|XP_002090016.3|DYAK	LOC6902663|XP_015036753.2|DPSE
OG0000031	LOC6532903|XP_002093639.1|DYAK, LOC6526633|XP_002087741.1|DYAK	LOC6902656|XP_002133172.3|DPSE, LOC6902659|XP_033236257.1|DPSE, LOC6902665|XP_002133181.3|DPSE, LOC117184065|XP_033236023.1|DPSE
OG0000031	LOC6528006|XP_002089073.1|DYAK	LOC26533742|XP_033235774.1|DPSE
OG0000032	LOC6536792|XP_002097362.1|DYAK	LOC4800808|XP_001358017.2|DPSE
OG0000032	LOC6536800|XP_002097370.2|DYAK	LOC6896921|XP_033236577.1|DPSE
OG0000032	LOC6536802|XP_002097372.1|DYAK	LOC4800814|XP_001358021.1|DPSE
OG0000032	LOC6536801|XP_002097371.1|DYAK	LOC4800811|XP_001358020.3|DPSE
OG0000033	LOC6538141|XP_039231494.1|DYAK, LOC6538142|XP_002098676.1|DYAK	LOC4800626|XP_001357867.3|DPSE
OG0000033	LOC6528345|XP_002089398.1|DYAK	LOC6898089|XP_002138174.1|DPSE
OG0000033	LOC6528350|XP_002089399.1|DYAK	LOC6898093|XP_002138175.2|DPSE
OG0000033	LOC6534298|XP_002094979.1|DYAK, LOC6535950|XP_002096566.1|DYAK, LOC6531400|XP_002092203.1|DYAK, LOC6531401|XP_002092204.1|DYAK	LOC4800868|XP_001358066.3|DPSE
OG0000034	LOC6531351|XP_002092155.1|DYAK, LOC6529512|XP_002090514.1|DYAK	LOC4817450|XP_001356533.3|DPSE
OG0000034	LOC6529511|XP_002090513.2|DYAK	LOC4817037|XP_001356534.3|DPSE
OG0000034	LOC6529510|XP_002090512.1|DYAK	LOC6902878|XP_002132612.2|DPSE
OG0000034	LOC6536871|XP_002097440.2|DYAK, LOC6529821|XP_002090802.3|DYAK, LOC6536872|XP_002097441.1|DYAK	LOC6902430|XP_033236728.1|DPSE, LOC6902429|XP_002133363.2|DPSE
OG0000034	LOC6527117|XP_002088210.1|DYAK	LOC4816157|XP_001355874.3|DPSE
OG0000036	LOC6536018|XP_002096633.1|DYAK	LOC6897873|XP_002137975.2|DPSE
OG0000036	LOC6537201|XP_002097759.1|DYAK	LOC4801521|XP_033232300.1|DPSE
OG0000036	LOC6535269|XP_002095925.1|DYAK	LOC4802757|XP_001359618.3|DPSE
OG0000036	LOC6537913|XP_002098453.1|DYAK, LOC6537914|XP_039232806.1|DYAK	LOC4800563|XP_033232364.1|DPSE
OG0000037	LOC6531032|XP_002091868.2|DYAK	LOC4803745|XP_001360410.4|DPSE
OG0000037	LOC6535647|XP_002096275.2|DYAK, LOC6535648|XP_002096276.2|DYAK	LOC6896995|XP_033232723.1|DPSE, LOC6896996|XP_002137182.2|DPSE, LOC117183318|XP_033232724.1|DPSE, LOC6896994|XP_033232725.1|DPSE
OG0000038	LOC6539691|XP_002086577.2|DYAK	LOC4812152|XP_001352947.2|DPSE
OG0000038	LOC6534938|XP_039229728.1|DYAK	LOC6900265|XP_002135594.2|DPSE
OG0000039	LOC6537610|XP_002098156.2|DYAK	LOC6897556|XP_033241818.1|DPSE
OG0000039	LOC6524746|XP_002100590.1|DYAK	LOC4815394|XP_001354810.3|DPSE
OG0000039	LOC6524745|XP_002100589.2|DYAK	LOC4814563|XP_001354811.1|DPSE
OG0000039	LOC6526007|XP_002101825.1|DYAK	LOC6901668|XP_002134337.3|DPSE
OG0000040	LOC6536605|XP_002097181.1|DYAK	LOC6897940|XP_033236826.1|DPSE, LOC4803145|XP_001359935.3|DPSE, LOC13036404|XP_003736919.2|DPSE, LOC6897941|XP_002138044.3|DPSE
OG0000040	LOC6536604|XP_002097180.1|DYAK	LOC4803144|XP_001359934.2|DPSE
OG0000040	LOC6535486|XP_002096117.1|DYAK	LOC117183223|XP_033241858.1|DPSE, LOC117185673|XP_033241861.1|DPSE, LOC6897578|XP_015037767.2|DPSE, LOC13036406|XP_033241860.1|DPSE
OG0000040	LOC6535487|XP_002096118.3|DYAK	LOC6897971|XP_002138070.1|DPSE
OG0000040	LOC6535489|XP_002096120.1|DYAK	LOC4803208|XP_001359988.4|DPSE
OG0000040	LOC6539025|XP_002099527.1|DYAK	LOC4801113|XP_001358260.2|DPSE
OG0000041	LOC6538543|XP_002099065.1|DYAK, LOC6538542|XP_002099064.1|DYAK, LOC6538540|XP_002099062.1|DYAK, LOC6538541|XP_002099063.1|DYAK	LOC6897576|XP_002137721.2|DPSE, LOC6897577|XP_002137722.1|DPSE
OG0000041	LOC6538533|XP_002099055.1|DYAK	LOC4802353|XP_001359283.3|DPSE
OG0000041	LOC6538535|XP_039230997.1|DYAK, LOC6538534|XP_002099056.1|DYAK	LOC6897572|XP_033240353.1|DPSE
OG0000042	LOC6525924|XP_002101744.1|DYAK	LOC6902242|XP_002133769.2|DPSE
OG0000042	LOC6531112|XP_002091946.1|DYAK	LOC4804794|XP_001361299.3|DPSE
OG0000042	LOC6531108|XP_002091942.2|DYAK	LOC5495510|XP_001361301.4|DPSE
OG0000042	LOC6531111|XP_002091945.1|DYAK, LOC6531109|XP_039228701.1|DYAK, LOC6531110|XP_002091944.2|DYAK	LOC6898652|XP_002138657.1|DPSE, LOC4804796|XP_033234018.1|DPSE, LOC6898651|XP_033233475.1|DPSE, LOC6902899|XP_002132633.1|DPSE
OG0000042	LOC6531107|XP_002091941.2|DYAK	LOC4804792|XP_001361298.2|DPSE
OG0000043	LOC6536588|XP_002097164.1|DYAK	LOC4803128|XP_001359922.2|DPSE
OG0000043	LOC6536590|XP_002097166.1|DYAK	LOC4803135|XP_001359927.2|DPSE, LOC6897936|XP_002138038.2|DPSE
OG0000043	LOC6536589|XP_002097165.1|DYAK	LOC4803134|XP_001359926.3|DPSE
OG0000043	LOC6536584|XP_002097160.1|DYAK	LOC4803126|XP_001359920.4|DPSE
OG0000043	LOC6536592|XP_002097168.1|DYAK, LOC6536593|XP_039231638.1|DYAK, LOC6539005|XP_002099507.1|DYAK	LOC6897937|XP_002138039.2|DPSE
OG0000043	LOC6536594|XP_002097170.1|DYAK	LOC4803132|XP_001359925.3|DPSE
OG0000044	LOC6538530|XP_002099052.1|DYAK	LOC4802344|XP_001359278.1|DPSE
