Orthogroup	DFIC.longest_only	DNOV.longest_only
OG0000007	LOC108088955|XP_017042464.1|DFIC, LOC108088950|XP_017042460.1|DFIC, LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC	LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV
OG0000008	LOC108101034|XP_017060691.1|DFIC	LOC115759663|XP_030556519.1|DNOV
OG0000008	LOC108100331|XP_017059630.1|DFIC	LOC115762903|XP_030561140.1|DNOV
OG0000008	LOC108093477|XP_017049051.1|DFIC	LOC115759949|XP_030556951.1|DNOV
OG0000008	LOC108100333|XP_017059632.1|DFIC	LOC115762865|XP_030561099.1|DNOV
OG0000008	LOC108091741|XP_017046574.1|DFIC, LOC108091742|XP_017046575.1|DFIC	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV
OG0000008	LOC108091746|XP_017046577.1|DFIC	LOC115765612|XP_030565122.1|DNOV, LOC115765593|XP_030565102.1|DNOV
OG0000008	LOC108091769|XP_017046605.1|DFIC	LOC115765613|XP_030565123.1|DNOV
OG0000008	LOC108091757|XP_017046589.1|DFIC	LOC115765587|XP_030565097.1|DNOV
OG0000008	LOC108091754|XP_017046587.1|DFIC	LOC115765588|XP_030565098.1|DNOV
OG0000008	LOC108091767|XP_017046601.1|DFIC	LOC115765592|XP_030565101.1|DNOV
OG0000009	LOC108101115|XP_017060823.1|DFIC	LOC115763759|XP_030562333.1|DNOV
OG0000009	LOC108101125|XP_017060838.1|DFIC	LOC115763738|XP_030562299.1|DNOV
OG0000009	LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC, LOC108101116|XP_017060824.1|DFIC	LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV
OG0000009	LOC108101809|XP_017061774.1|DFIC	LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV
OG0000009	LOC108086769|XP_017039304.1|DFIC	LOC115760928|XP_030558363.1|DNOV
OG0000009	LOC108094178|XP_017050126.1|DFIC, LOC108086653|XP_017039126.1|DFIC, LOC108086655|XP_017039128.1|DFIC, LOC108086610|XP_017039074.1|DFIC	LOC115759272|XP_030556034.1|DNOV
OG0000010	LOC108098255|XP_017056544.1|DFIC	LOC115761999|XP_030559927.1|DNOV, LOC115770900|XP_030572194.1|DNOV, LOC115761953|XP_030559852.1|DNOV, LOC115770585|XP_030571770.1|DNOV, LOC115761848|XP_030559690.1|DNOV
OG0000010	LOC108101428|XP_017061247.1|DFIC	LOC115759945|XP_030556945.1|DNOV
OG0000011	LOC108086913|XP_017039476.1|DFIC	LOC115769277|XP_030569859.1|DNOV
OG0000011	LOC108098799|XP_017057429.1|DFIC	LOC115765906|XP_030565511.1|DNOV
OG0000012	LOC108096904|XP_017054341.1|DFIC	LOC115760603|XP_030557904.1|DNOV
OG0000012	LOC108096903|XP_017054340.1|DFIC	LOC115760694|XP_030558018.1|DNOV
OG0000012	LOC108096929|XP_017054370.1|DFIC	LOC115760695|XP_030558019.1|DNOV
OG0000012	LOC108096943|XP_017054393.1|DFIC	LOC115760604|XP_030557906.1|DNOV
OG0000012	LOC108096563|XP_017053746.1|DFIC, LOC108096571|XP_017053756.1|DFIC	LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV
OG0000012	LOC108086628|XP_017039092.1|DFIC, LOC108086618|XP_017039083.1|DFIC, LOC108086755|XP_017039283.1|DFIC, LOC108086630|XP_017039094.1|DFIC	LOC115760685|XP_030558012.1|DNOV
OG0000012	LOC108086627|XP_017039091.1|DFIC, LOC108086756|XP_017039284.1|DFIC	LOC115761057|XP_030558532.1|DNOV
OG0000013	LOC108101557|XP_017061445.1|DFIC	LOC115761021|XP_030558495.1|DNOV
OG0000013	LOC108101682|XP_017061593.1|DFIC	LOC115766810|XP_030566705.1|DNOV
OG0000013	LOC108098830|XP_017057474.1|DFIC	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV
OG0000013	LOC108086910|XP_017039470.1|DFIC	LOC115766188|XP_030565895.1|DNOV
OG0000013	LOC108087118|XP_017039788.1|DFIC	LOC115761668|XP_030559377.1|DNOV
OG0000013	LOC108091996|XP_017046910.1|DFIC	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV
OG0000013	LOC108102250|XP_017062487.1|DFIC, LOC108087940|XP_017041016.1|DFIC	LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV
OG0000016	LOC108091644|XP_017046435.1|DFIC	LOC115761678|XP_030559394.1|DNOV
OG0000016	LOC108095161|XP_017051608.1|DFIC	LOC115762276|XP_030560298.1|DNOV
OG0000016	LOC108088049|XP_017041175.1|DFIC	LOC115761707|XP_030559439.1|DNOV
OG0000016	LOC108090474|XP_017044659.1|DFIC	LOC115764479|XP_030563416.1|DNOV
OG0000016	LOC108092889|XP_017048224.1|DFIC	LOC115768679|XP_030569221.1|DNOV
OG0000016	LOC108091135|XP_017045658.1|DFIC	LOC115762287|XP_030560311.1|DNOV
OG0000016	LOC108096392|XP_017053452.1|DFIC	LOC115757701|XP_030553908.1|DNOV
OG0000016	LOC108093583|XP_017049197.1|DFIC	LOC115770022|XP_030570941.1|DNOV
OG0000017	LOC108099991|XP_017059177.1|DFIC	LOC115762311|XP_030560338.1|DNOV, LOC115762076|XP_030560028.1|DNOV
OG0000017	LOC108095642|XP_017052296.1|DFIC	LOC115759321|XP_030556091.1|DNOV, LOC115769464|XP_030570137.1|DNOV
OG0000017	LOC108087716|XP_017040726.1|DFIC	LOC115760654|XP_030557981.1|DNOV
OG0000017	LOC108099990|XP_017059176.1|DFIC	LOC115762485|XP_030560583.1|DNOV
OG0000017	LOC108094147|XP_017050074.1|DFIC, LOC108094148|XP_017050075.1|DFIC	LOC115759266|XP_030556027.1|DNOV
OG0000018	LOC108093126|XP_017048560.1|DFIC	LOC115762746|XP_030560944.1|DNOV
OG0000018	LOC108093128|XP_017048562.1|DFIC	LOC115762718|XP_030560904.1|DNOV
OG0000018	LOC108093130|XP_017048564.1|DFIC	LOC115762873|XP_030561108.1|DNOV
OG0000018	LOC108093137|XP_017048571.1|DFIC, LOC108093131|XP_017048565.1|DFIC, LOC108093271|XP_017048739.1|DFIC, LOC108093136|XP_017048569.1|DFIC	LOC115762728|XP_030560922.1|DNOV
OG0000019	LOC108086541|XP_017038967.1|DFIC	LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV
OG0000019	LOC108086535|XP_017038961.1|DFIC	LOC115771639|XP_030573299.1|DNOV
OG0000019	LOC108086543|XP_017038970.1|DFIC	LOC115771840|XP_030573582.1|DNOV
OG0000019	LOC108086538|XP_017038965.1|DFIC, LOC108086540|XP_017038966.1|DFIC	LOC115771914|XP_030573663.1|DNOV
OG0000020	LOC108086571|XP_017039016.1|DFIC	LOC115764021|XP_030562712.1|DNOV
OG0000020	LOC108087826|XP_017040886.1|DFIC	LOC115762420|XP_030560475.1|DNOV
OG0000020	LOC108100979|XP_017060622.1|DFIC	LOC115758764|XP_030555385.1|DNOV
OG0000020	LOC108101093|XP_017060792.1|DFIC	LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV
OG0000020	LOC108102060|XP_017062180.1|DFIC	LOC115767924|XP_030568152.1|DNOV, LOC115767925|XP_030568154.1|DNOV
OG0000020	LOC108089992|XP_017043983.1|DFIC, LOC108101220|XP_017060958.1|DFIC	LOC115758337|XP_030554771.1|DNOV
OG0000021	LOC108090792|XP_017045128.1|DFIC	LOC115763104|XP_030561408.1|DNOV
OG0000021	LOC108090653|XP_017044920.1|DFIC	LOC115764505|XP_030563459.1|DNOV
OG0000021	LOC108093638|XP_017049284.1|DFIC	LOC115772083|XP_030573900.1|DNOV
OG0000021	LOC108095541|XP_017052159.1|DFIC	LOC115768613|XP_030569130.1|DNOV
OG0000021	LOC108091979|XP_017046877.1|DFIC	LOC115770843|XP_030572140.1|DNOV
OG0000021	LOC108088013|XP_017041113.1|DFIC	LOC115771758|XP_030573467.1|DNOV
OG0000021	LOC108094694|XP_017050914.1|DFIC	LOC115766401|XP_030566179.1|DNOV
OG0000022	LOC108093677|XP_017049345.1|DFIC	LOC115757997|XP_030554350.1|DNOV
OG0000022	LOC108100307|XP_017059595.1|DFIC	LOC115762572|XP_030560718.1|DNOV
OG0000022	LOC108100306|XP_017059594.1|DFIC, LOC108100305|XP_017059593.1|DFIC, LOC108100300|XP_017059588.1|DFIC, LOC108100303|XP_017059590.1|DFIC, LOC108100308|XP_017059596.1|DFIC	LOC115762577|XP_030560723.1|DNOV, LOC115762574|XP_030560719.1|DNOV, LOC115762578|XP_030560724.1|DNOV, LOC115762576|XP_030560721.1|DNOV
OG0000022	LOC108100304|XP_017059591.1|DFIC, LOC108100302|XP_017059589.1|DFIC	LOC115762575|XP_030560720.1|DNOV
OG0000023	LOC108096120|XP_017052985.1|DFIC	LOC115761260|XP_030558833.1|DNOV, LOC115761261|XP_030558835.1|DNOV
OG0000023	LOC108096122|XP_017052987.1|DFIC	LOC115761508|XP_030559136.1|DNOV, LOC115761509|XP_030559137.1|DNOV
OG0000023	LOC108096128|XP_017052994.1|DFIC	LOC115761263|XP_030558837.1|DNOV
OG0000023	LOC108096606|XP_017053802.1|DFIC	LOC115761778|XP_030559575.1|DNOV
OG0000023	LOC108096129|XP_017052995.1|DFIC	LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV
OG0000023	LOC108096118|XP_017052982.1|DFIC	LOC115761262|XP_030558836.1|DNOV
OG0000023	LOC108096119|XP_017052984.1|DFIC	LOC115761326|XP_030558919.1|DNOV
OG0000023	LOC108096117|XP_017052981.1|DFIC	LOC115761659|XP_030559359.1|DNOV
OG0000023	LOC108096114|XP_017052979.1|DFIC	LOC115761434|XP_030559060.1|DNOV
OG0000024	LOC108086469|XP_017038885.1|DFIC, LOC108086411|XP_017038802.1|DFIC, LOC108086410|XP_017038801.1|DFIC, LOC108086467|XP_017038883.1|DFIC	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV, LOC115758204|XP_030554612.1|DNOV, LOC115758193|XP_030554595.1|DNOV
OG0000024	LOC108098296|XP_017056595.1|DFIC	LOC115763072|XP_030561360.1|DNOV
OG0000024	LOC108086381|XP_017038771.1|DFIC	LOC115758183|XP_030554583.1|DNOV
OG0000024	LOC108094860|XP_017051169.1|DFIC	LOC115764549|XP_030563528.1|DNOV
OG0000025	LOC108088651|XP_017042067.1|DFIC	LOC115768054|XP_030568354.1|DNOV, LOC115758436|XP_030554952.1|DNOV
OG0000026	LOC108091247|XP_017045848.1|DFIC	LOC115771353|XP_030572886.1|DNOV
OG0000026	LOC108093407|XP_017048931.1|DFIC	LOC115758902|XP_030555559.1|DNOV
OG0000026	LOC108098549|XP_017057035.1|DFIC, LOC108098463|XP_017056857.1|DFIC	LOC115764140|XP_030562874.1|DNOV
OG0000027	LOC108100821|XP_017060378.1|DFIC	LOC115765969|XP_030565582.1|DNOV
OG0000027	LOC108100820|XP_017060377.1|DFIC	LOC115765940|XP_030565545.1|DNOV
OG0000028	LOC108095285|XP_017051819.1|DFIC	LOC115769342|XP_030569963.1|DNOV
OG0000029	LOC108099785|XP_017058903.1|DFIC	LOC115767739|XP_030567914.1|DNOV
OG0000030	LOC108093480|XP_017049055.1|DFIC, LOC108100317|XP_017059651.1|DFIC	LOC115760078|XP_030557121.1|DNOV
OG0000030	LOC108092343|XP_017047369.1|DFIC, LOC108092288|XP_017047312.1|DFIC	LOC115759228|XP_030555983.1|DNOV
OG0000030	LOC108087621|XP_017040552.1|DFIC	LOC115760655|XP_030557982.1|DNOV, LOC115760698|XP_030558023.1|DNOV
OG0000030	LOC108091341|XP_017045978.1|DFIC	LOC115767988|XP_030568248.1|DNOV
OG0000030	LOC108088560|XP_017041895.1|DFIC	LOC115766352|XP_030566111.1|DNOV
OG0000031	LOC108089228|XP_017042875.1|DFIC	LOC115760051|XP_030557082.1|DNOV
OG0000032	LOC108088062|XP_017041192.1|DFIC, LOC108088048|XP_017041174.1|DFIC, LOC108088066|XP_017041199.1|DFIC	LOC115771910|XP_030573660.1|DNOV
OG0000032	LOC108087890|XP_017040957.1|DFIC	LOC115771703|XP_030573383.1|DNOV
OG0000032	LOC108087896|XP_017040963.1|DFIC, LOC108087899|XP_017040966.1|DFIC	LOC115771907|XP_030573657.1|DNOV, LOC115764177|XP_030562923.1|DNOV, LOC115771908|XP_030573658.1|DNOV
OG0000033	LOC108089808|XP_017043694.1|DFIC, LOC108089807|XP_017043693.1|DFIC, LOC108089809|XP_017043695.1|DFIC, LOC108089769|XP_017043650.1|DFIC, LOC108091266|XP_017045867.1|DFIC, LOC108089806|XP_017043692.1|DFIC, LOC108094281|XP_017050264.1|DFIC, LOC108094283|XP_017050266.1|DFIC	LOC115762530|XP_030560671.1|DNOV
OG0000033	LOC108094282|XP_017050265.1|DFIC	LOC115765180|XP_030564463.1|DNOV, LOC115765742|XP_030565266.1|DNOV, LOC115766042|XP_030565673.1|DNOV
OG0000034	LOC108098181|XP_017056403.1|DFIC, LOC108090289|XP_017044389.1|DFIC, LOC108098175|XP_017056397.1|DFIC, LOC108098172|XP_017056394.1|DFIC	LOC115758611|XP_030555202.1|DNOV
OG0000034	LOC108098179|XP_017056401.1|DFIC	LOC115759087|XP_030555781.1|DNOV
OG0000034	LOC108098285|XP_017056581.1|DFIC	LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV
OG0000034	LOC108093450|XP_017049013.1|DFIC	LOC115759323|XP_030556094.1|DNOV, LOC115758512|XP_030555064.1|DNOV
OG0000035	LOC108090828|XP_017045178.1|DFIC, LOC108096830|XP_017054224.1|DFIC, LOC108087561|XP_017040477.1|DFIC, LOC108100301|XP_017059592.1|DFIC, LOC108089887|XP_017043878.1|DFIC	LOC115769245|XP_030569818.1|DNOV, LOC115765163|XP_030564433.1|DNOV, LOC115763906|XP_030562569.1|DNOV, LOC115771444|XP_030573014.1|DNOV, LOC115768248|XP_030568637.1|DNOV, LOC115768946|XP_030569524.1|DNOV, LOC115761331|XP_030558923.1|DNOV
OG0000036	LOC108096138|XP_017053007.1|DFIC	LOC115761531|XP_030559163.1|DNOV
OG0000036	LOC108097979|XP_017056090.1|DFIC	LOC115759641|XP_030556490.1|DNOV
OG0000036	LOC108098533|XP_017057003.1|DFIC	LOC115764000|XP_030562680.1|DNOV
OG0000036	LOC108087237|XP_017040017.1|DFIC	LOC115772100|XP_030573922.1|DNOV
OG0000037	LOC108087844|XP_017040913.1|DFIC	LOC115761663|XP_030559406.1|DNOV
OG0000037	LOC108088042|XP_017041165.1|DFIC, LOC108088040|XP_017041164.1|DFIC	LOC115761932|XP_030559822.1|DNOV
OG0000038	LOC108088854|XP_017042318.1|DFIC	LOC115769340|XP_030569961.1|DNOV
OG0000038	LOC108088914|XP_017042416.1|DFIC	LOC115769427|XP_030570094.1|DNOV
OG0000039	LOC108091791|XP_017046639.1|DFIC	LOC115764701|XP_030563759.1|DNOV
OG0000039	LOC108097516|XP_017055329.1|DFIC	LOC115766337|XP_030566090.1|DNOV
OG0000039	LOC108097515|XP_017055328.1|DFIC	LOC115767237|XP_030567298.1|DNOV
OG0000039	LOC108095512|XP_017052111.1|DFIC	LOC115766288|XP_030566016.1|DNOV
OG0000040	LOC108092229|XP_017047255.1|DFIC, LOC108087305|XP_017040113.1|DFIC	LOC115764750|XP_030563834.1|DNOV
OG0000040	LOC108087307|XP_017040114.1|DFIC	LOC115764751|XP_030563835.1|DNOV
OG0000040	LOC108092211|XP_017047228.1|DFIC, LOC108092212|XP_017047230.1|DFIC	LOC115764712|XP_030563772.1|DNOV, LOC115764710|XP_030563770.1|DNOV, LOC115764711|XP_030563771.1|DNOV
OG0000040	LOC108092206|XP_017047224.1|DFIC	LOC115764684|XP_030563733.1|DNOV
OG0000040	LOC108102071|XP_017062201.1|DFIC	LOC115764805|XP_030563912.1|DNOV
OG0000040	LOC108100764|XP_017060292.1|DFIC	LOC115771625|XP_030573267.1|DNOV
OG0000041	LOC108095996|XP_017052831.1|DFIC, LOC108095711|XP_017052372.1|DFIC, LOC108095997|XP_017052832.1|DFIC, LOC108095939|XP_017052765.1|DFIC, LOC108095866|XP_017052659.1|DFIC, LOC108095867|XP_017052660.1|DFIC, LOC108095645|XP_017052300.1|DFIC	LOC115770759|XP_030572032.1|DNOV, LOC115770764|XP_030572035.1|DNOV, LOC115770708|XP_030571966.1|DNOV
OG0000042	LOC108090330|XP_017044433.1|DFIC, LOC108090327|XP_017044430.1|DFIC, LOC108090329|XP_017044432.1|DFIC, LOC108090333|XP_017044437.1|DFIC, LOC108090332|XP_017044435.1|DFIC, LOC108090338|XP_017044443.1|DFIC, LOC108090337|XP_017044441.1|DFIC, LOC108090335|XP_017044439.1|DFIC, LOC108090336|XP_017044440.1|DFIC, LOC108090328|XP_017044431.1|DFIC	LOC115761613|XP_030559276.1|DNOV, LOC115766969|XP_030566923.1|DNOV, LOC115760708|XP_030558036.1|DNOV, LOC115760858|XP_030558271.1|DNOV, LOC115760707|XP_030558035.1|DNOV, LOC115771107|XP_030572527.1|DNOV, LOC115760710|XP_030558038.1|DNOV, LOC115760709|XP_030558037.1|DNOV, LOC115760926|XP_030558361.1|DNOV, LOC115760860|XP_030558274.1|DNOV
OG0000043	LOC108087351|XP_017040180.1|DFIC	LOC115770548|XP_030571710.1|DNOV
OG0000043	LOC108092195|XP_017047211.1|DFIC	LOC115770561|XP_030571734.1|DNOV
OG0000043	LOC108087304|XP_017040112.1|DFIC, LOC108087099|XP_017039770.1|DFIC, LOC108086831|XP_017039366.1|DFIC, LOC108087388|XP_017040219.1|DFIC	LOC115770570|XP_030571745.1|DNOV
OG0000044	LOC108095953|XP_017052779.1|DFIC	LOC115770712|XP_030571969.1|DNOV
OG0000044	LOC108095656|XP_017052310.1|DFIC, LOC108095674|XP_017052331.1|DFIC, LOC108095707|XP_017052368.1|DFIC, LOC108095664|XP_017052318.1|DFIC	LOC115770724|XP_030571983.1|DNOV, LOC115770670|XP_030571898.1|DNOV
OG0000044	LOC108102017|XP_017062104.1|DFIC	LOC115766148|XP_030565844.1|DNOV
OG0000045	LOC108099782|XP_017058900.1|DFIC	LOC115771022|XP_030572403.1|DNOV
OG0000045	LOC108099776|XP_017058894.1|DFIC, LOC108099783|XP_017058901.1|DFIC	LOC115771240|XP_030572702.1|DNOV
OG0000045	LOC108089346|XP_017043016.1|DFIC	LOC115771239|XP_030572701.1|DNOV
OG0000045	LOC108089335|XP_017043004.1|DFIC	LOC115771237|XP_030572698.1|DNOV
OG0000046	LOC108097441|XP_017055199.1|DFIC, LOC108097439|XP_017055197.1|DFIC	LOC115768148|XP_030568502.1|DNOV
OG0000046	LOC108097454|XP_017055215.1|DFIC, LOC108091603|XP_017046371.1|DFIC, LOC108091584|XP_017046349.1|DFIC, LOC108091607|XP_017046377.1|DFIC, LOC108091593|XP_017046357.1|DFIC, LOC108091587|XP_017046351.1|DFIC, LOC108091594|XP_017046358.1|DFIC, LOC108091585|XP_017046350.1|DFIC	LOC115771633|XP_030573292.1|DNOV, LOC115771634|XP_030573293.1|DNOV, LOC115768146|XP_030568501.1|DNOV
OG0000047	LOC108090570|XP_017044804.1|DFIC	LOC115760745|XP_030558082.1|DNOV
OG0000047	LOC108094901|XP_017051236.1|DFIC	LOC115757956|XP_030554291.1|DNOV
OG0000047	LOC108094950|XP_017051302.1|DFIC	LOC115757840|XP_030554132.1|DNOV
OG0000048	LOC108089539|XP_017043364.1|DFIC, LOC108089337|XP_017043007.1|DFIC	LOC115762856|XP_030561091.1|DNOV
OG0000048	LOC108089537|XP_017043362.1|DFIC, LOC108089538|XP_017043363.1|DFIC	LOC115762848|XP_030561084.1|DNOV
OG0000048	LOC108089535|XP_017043361.1|DFIC	LOC115762847|XP_030561083.1|DNOV
OG0000048	LOC108089542|XP_017043368.1|DFIC	LOC115762857|XP_030561093.1|DNOV
OG0000049	LOC108091886|XP_017046759.1|DFIC	LOC115761547|XP_030559189.1|DNOV
OG0000049	LOC108091864|XP_017046732.1|DFIC	LOC115761542|XP_030559185.1|DNOV
OG0000049	LOC108091860|XP_017046729.1|DFIC	LOC115761399|XP_030559017.1|DNOV
OG0000049	LOC108091993|XP_017046906.1|DFIC	LOC115761457|XP_030559084.1|DNOV
OG0000049	LOC108092198|XP_017047214.1|DFIC	LOC115761552|XP_030559195.1|DNOV
OG0000050	LOC108093905|XP_017049757.1|DFIC	LOC115758280|XP_030554702.1|DNOV
OG0000050	LOC108088744|XP_017042181.1|DFIC	LOC115770327|XP_030571425.1|DNOV
OG0000050	LOC108088745|XP_017042182.1|DFIC	LOC115770328|XP_030571426.1|DNOV
OG0000050	LOC108088747|XP_017042184.1|DFIC	LOC115770326|XP_030571424.1|DNOV
OG0000050	LOC108088743|XP_017042180.1|DFIC	LOC115770322|XP_030571419.1|DNOV
OG0000051	LOC108099282|XP_017058161.1|DFIC	LOC115763752|XP_030562324.1|DNOV
OG0000051	LOC108087911|XP_017040982.1|DFIC	LOC115761373|XP_030558983.1|DNOV
OG0000052	LOC108087102|XP_017039773.1|DFIC, LOC108098807|XP_017057437.1|DFIC, LOC108098902|XP_017057587.1|DFIC, LOC108098776|XP_017057399.1|DFIC, LOC108098773|XP_017057394.1|DFIC	LOC115763778|XP_030562359.1|DNOV, LOC115763892|XP_030562530.1|DNOV, LOC115763891|XP_030562528.1|DNOV, LOC115763777|XP_030562358.1|DNOV
OG0000052	LOC108087760|XP_017040779.1|DFIC	LOC115771518|XP_030573117.1|DNOV
OG0000052	LOC108087818|XP_017040874.1|DFIC	LOC115771510|XP_030573105.1|DNOV
OG0000053	LOC108090322|XP_017044423.1|DFIC	LOC115771927|XP_030573689.1|DNOV
OG0000053	LOC108090310|XP_017044412.1|DFIC	LOC115771866|XP_030573609.1|DNOV
OG0000053	LOC108090321|XP_017044422.1|DFIC	LOC115771921|XP_030573679.1|DNOV
OG0000053	LOC108090309|XP_017044411.1|DFIC	LOC115771855|XP_030573599.1|DNOV
OG0000053	LOC108090323|XP_017044424.1|DFIC	LOC115771936|XP_030573699.1|DNOV
OG0000054	LOC108097528|XP_017055365.1|DFIC	LOC115766043|XP_030565674.1|DNOV
OG0000054	LOC108096334|XP_017053362.1|DFIC	LOC115770765|XP_030572036.1|DNOV
OG0000054	LOC108096244|XP_017053162.1|DFIC, LOC108097685|XP_017055644.1|DFIC	LOC115766097|XP_030565772.1|DNOV
