Orthogroup	DFIC.longest_only	DALB.longest_only
OG0000003	LOC108094289|XP_017050276.1|DFIC	LOC117572199|XP_034110745.1|DALB, LOC117572196|XP_034110742.1|DALB, LOC117572200|XP_034110747.1|DALB, LOC117572197|XP_034110743.1|DALB, LOC117572198|XP_034110744.1|DALB
OG0000003	LOC108087668|XP_017040651.1|DFIC	LOC117566350|XP_034101727.1|DALB, LOC117566352|XP_034101730.1|DALB, LOC117566353|XP_034101731.1|DALB
OG0000003	LOC108087605|XP_017040533.1|DFIC	LOC117566351|XP_034101728.1|DALB
OG0000003	LOC108090320|XP_017044421.1|DFIC	LOC117570242|XP_034107635.1|DALB
OG0000003	LOC108090319|XP_017044419.1|DFIC, LOC108090317|XP_017044417.1|DFIC, LOC108090318|XP_017044418.1|DFIC	LOC117569608|XP_034106735.1|DALB, LOC117569606|XP_034106733.1|DALB, LOC117569607|XP_034106734.1|DALB, LOC117569605|XP_034106730.1|DALB
OG0000004	LOC108098156|XP_017056380.1|DFIC	LOC117566082|XP_034101454.1|DALB, LOC117566081|XP_034101452.1|DALB, LOC117565593|XP_034100683.1|DALB, LOC117566015|XP_034101336.1|DALB, LOC117564273|XP_034098866.1|DALB, LOC117566148|XP_034101526.1|DALB, LOC117564274|XP_034098867.1|DALB
OG0000005	LOC108094052|XP_017049981.1|DFIC	LOC117564292|XP_034098881.1|DALB, LOC117566020|XP_034101339.1|DALB, LOC117565596|XP_034100687.1|DALB, LOC117564296|XP_034098886.1|DALB, LOC117564288|XP_034098878.1|DALB, LOC117564293|XP_034098882.1|DALB, LOC117566149|XP_034101527.1|DALB, LOC117564294|XP_034098883.1|DALB, LOC117564290|XP_034098880.1|DALB, LOC117564295|XP_034098885.1|DALB, LOC117564270|XP_034098864.1|DALB, LOC117566019|XP_034101338.1|DALB, LOC117564289|XP_034098879.1|DALB
OG0000006	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC	LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB
OG0000007	LOC108099856|XP_017058991.1|DFIC	LOC117572105|XP_034110613.1|DALB
OG0000007	LOC108093252|XP_017048717.1|DFIC	LOC117571630|XP_034109745.1|DALB
OG0000007	LOC108093253|XP_017048718.1|DFIC	LOC117571629|XP_034109744.1|DALB
OG0000007	LOC108093241|XP_017048705.1|DFIC, LOC108093034|XP_017048427.1|DFIC, LOC108093033|XP_017048426.1|DFIC, LOC108093169|XP_017048611.1|DFIC, LOC108093170|XP_017048612.1|DFIC, LOC108093261|XP_017048727.1|DFIC	LOC117571628|XP_034109743.1|DALB
OG0000007	LOC108090582|XP_017044820.1|DFIC	LOC117569226|XP_034106192.1|DALB, LOC117569228|XP_034106194.1|DALB
OG0000007	LOC108089778|XP_017043661.1|DFIC	LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB
OG0000007	LOC108088955|XP_017042464.1|DFIC, LOC108088950|XP_017042460.1|DFIC, LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC	LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB, LOC117569232|XP_034106197.1|DALB, LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB, LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB
OG0000008	LOC108101034|XP_017060691.1|DFIC	LOC117574613|XP_034114391.1|DALB
OG0000008	LOC108093477|XP_017049051.1|DFIC	LOC117565304|XP_034100233.1|DALB
OG0000008	LOC108100333|XP_017059632.1|DFIC	LOC117571003|XP_034108844.1|DALB
OG0000008	LOC108091741|XP_017046574.1|DFIC, LOC108091742|XP_017046575.1|DFIC	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB
OG0000008	LOC108091746|XP_017046577.1|DFIC	LOC117574116|XP_034113661.1|DALB, LOC117574376|XP_034114101.1|DALB
OG0000008	LOC108091769|XP_017046605.1|DFIC	LOC117574119|XP_034113664.1|DALB
OG0000008	LOC108091757|XP_017046589.1|DFIC	LOC117574113|XP_034113658.1|DALB
OG0000008	LOC108091754|XP_017046587.1|DFIC	LOC117574115|XP_034113660.1|DALB
OG0000008	LOC108091767|XP_017046601.1|DFIC	LOC117574118|XP_034113663.1|DALB
OG0000009	LOC108101115|XP_017060823.1|DFIC	LOC117574725|XP_034114546.1|DALB
OG0000009	LOC108101125|XP_017060838.1|DFIC	LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB
OG0000009	LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC, LOC108101116|XP_017060824.1|DFIC	LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB, LOC117563434|XP_034097659.1|DALB, LOC117563435|XP_034097660.1|DALB
OG0000009	LOC108101809|XP_017061774.1|DFIC	LOC117568811|XP_034105563.1|DALB, LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB, LOC117566724|XP_034102158.1|DALB
OG0000009	LOC108086769|XP_017039304.1|DFIC	LOC117566719|XP_034102155.1|DALB, LOC117568670|XP_034105365.1|DALB, LOC117570560|XP_034108181.1|DALB, LOC117571597|XP_034109704.1|DALB, LOC117571595|XP_034109702.1|DALB, LOC117572671|XP_034111579.1|DALB
OG0000009	LOC108094178|XP_017050126.1|DFIC, LOC108086653|XP_017039126.1|DFIC, LOC108086655|XP_017039128.1|DFIC, LOC108086610|XP_017039074.1|DFIC	LOC117565994|XP_034101304.1|DALB
OG0000010	LOC108098255|XP_017056544.1|DFIC	LOC117565598|XP_034100689.1|DALB, LOC117564301|XP_034098889.1|DALB, LOC117564305|XP_034098892.1|DALB
OG0000012	LOC108096904|XP_017054341.1|DFIC	LOC117568055|XP_034104297.1|DALB
OG0000012	LOC108096903|XP_017054340.1|DFIC	LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB
OG0000012	LOC108096929|XP_017054370.1|DFIC	LOC117569585|XP_034106704.1|DALB
OG0000012	LOC108096943|XP_017054393.1|DFIC	LOC117568054|XP_034104292.1|DALB
OG0000012	LOC108096563|XP_017053746.1|DFIC, LOC108096571|XP_017053756.1|DFIC	LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB
OG0000012	LOC108086628|XP_017039092.1|DFIC, LOC108086618|XP_017039083.1|DFIC, LOC108086755|XP_017039283.1|DFIC, LOC108086630|XP_017039094.1|DFIC	LOC117571184|XP_034109105.1|DALB
OG0000012	LOC108086627|XP_017039091.1|DFIC, LOC108086756|XP_017039284.1|DFIC	LOC117568519|XP_034105112.1|DALB
OG0000013	LOC108101557|XP_017061445.1|DFIC	LOC117571859|XP_034110145.1|DALB
OG0000013	LOC108101682|XP_017061593.1|DFIC	LOC117563213|XP_034097295.1|DALB
OG0000013	LOC108098830|XP_017057474.1|DFIC	LOC117576138|XP_034116595.1|DALB
OG0000013	LOC108086910|XP_017039470.1|DFIC	LOC117568434|XP_034104988.1|DALB
OG0000013	LOC108087118|XP_017039788.1|DFIC	LOC117573950|XP_034113367.1|DALB
OG0000013	LOC108091996|XP_017046910.1|DFIC	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB
OG0000015	LOC108094767|XP_017051032.1|DFIC, LOC108094097|XP_017050010.1|DFIC, LOC108101938|XP_017062014.1|DFIC, LOC108101948|XP_017062025.1|DFIC, LOC108091404|XP_017046083.1|DFIC, LOC108091405|XP_017046084.1|DFIC	LOC117564021|XP_034098512.1|DALB
OG0000015	LOC108086461|XP_017038876.1|DFIC, LOC108098714|XP_017057318.1|DFIC, LOC108094483|XP_017050559.1|DFIC	LOC117565200|XP_034100095.1|DALB, LOC117565000|XP_034099836.1|DALB, LOC117564017|XP_034098508.1|DALB, LOC117565199|XP_034100094.1|DALB, LOC117565001|XP_034099837.1|DALB, LOC117564018|XP_034098509.1|DALB, LOC117564364|XP_034098970.1|DALB, LOC117565647|XP_034100752.1|DALB, LOC117569869|XP_034107100.1|DALB, LOC117569271|XP_034106261.1|DALB
OG0000016	LOC108091644|XP_017046435.1|DFIC	LOC117573987|XP_034113425.1|DALB
OG0000016	LOC108095161|XP_017051608.1|DFIC	LOC117567642|XP_034103639.1|DALB
OG0000016	LOC108088049|XP_017041175.1|DFIC	LOC117574647|XP_034114439.1|DALB
OG0000016	LOC108090474|XP_017044659.1|DFIC	LOC117567926|XP_034104102.1|DALB
OG0000016	LOC108092889|XP_017048224.1|DFIC	LOC117576743|XP_034117709.1|DALB
OG0000016	LOC108091135|XP_017045658.1|DFIC	LOC117567888|XP_034104050.1|DALB
OG0000016	LOC108096392|XP_017053452.1|DFIC	LOC117573754|XP_034113029.1|DALB
OG0000016	LOC108093583|XP_017049197.1|DFIC	LOC117568261|XP_034104638.1|DALB
OG0000017	LOC108099991|XP_017059177.1|DFIC	LOC117571304|XP_034109265.1|DALB, LOC117571750|XP_034109990.1|DALB
OG0000017	LOC108095642|XP_017052296.1|DFIC	LOC117573354|XP_034112370.1|DALB, LOC117574908|XP_034114843.1|DALB, LOC117574957|XP_034114906.1|DALB, LOC117569360|XP_034106383.1|DALB
OG0000017	LOC108087716|XP_017040726.1|DFIC	LOC117568041|XP_034104279.1|DALB
OG0000017	LOC108099990|XP_017059176.1|DFIC	LOC117571751|XP_034109992.1|DALB
OG0000017	LOC108094147|XP_017050074.1|DFIC, LOC108094148|XP_017050075.1|DFIC	LOC117564917|XP_034099761.1|DALB
OG0000018	LOC108093128|XP_017048562.1|DFIC	LOC117569762|XP_034106946.1|DALB
OG0000018	LOC108093130|XP_017048564.1|DFIC	LOC117569760|XP_034106944.1|DALB
OG0000018	LOC108093137|XP_017048571.1|DFIC, LOC108093131|XP_017048565.1|DFIC, LOC108093271|XP_017048739.1|DFIC, LOC108093136|XP_017048569.1|DFIC	LOC117569729|XP_034106893.1|DALB, LOC117569764|XP_034106948.1|DALB
OG0000020	LOC108086571|XP_017039016.1|DFIC	LOC117576477|XP_034117138.1|DALB
OG0000020	LOC108087826|XP_017040886.1|DFIC	LOC117568572|XP_034105192.1|DALB
OG0000020	LOC108100979|XP_017060622.1|DFIC	LOC117565600|XP_034100691.1|DALB
OG0000020	LOC108101093|XP_017060792.1|DFIC	LOC117576162|XP_034116628.1|DALB
OG0000020	LOC108102060|XP_017062180.1|DFIC	LOC117576471|XP_034117133.1|DALB, LOC117576474|XP_034117135.1|DALB, LOC117576472|XP_034117134.1|DALB
OG0000020	LOC108089992|XP_017043983.1|DFIC, LOC108101220|XP_017060958.1|DFIC	LOC117565601|XP_034100693.1|DALB
OG0000021	LOC108090792|XP_017045128.1|DFIC	LOC117566492|XP_034101922.1|DALB
OG0000021	LOC108090653|XP_017044920.1|DFIC	LOC117570266|XP_034107672.1|DALB
OG0000021	LOC108095541|XP_017052159.1|DFIC	LOC117573953|XP_034113413.1|DALB
OG0000021	LOC108091979|XP_017046877.1|DFIC	LOC117574572|XP_034114338.1|DALB
OG0000021	LOC108088013|XP_017041113.1|DFIC	LOC117576017|XP_034116416.1|DALB
OG0000021	LOC108094694|XP_017050914.1|DFIC	LOC117575314|XP_034115363.1|DALB
OG0000022	LOC108093677|XP_017049345.1|DFIC	LOC117569951|XP_034107204.1|DALB
OG0000022	LOC108100306|XP_017059594.1|DFIC, LOC108100305|XP_017059593.1|DFIC, LOC108100300|XP_017059588.1|DFIC, LOC108100303|XP_017059590.1|DFIC, LOC108100308|XP_017059596.1|DFIC	LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB
OG0000022	LOC108100304|XP_017059591.1|DFIC, LOC108100302|XP_017059589.1|DFIC	LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB
OG0000023	LOC108096120|XP_017052985.1|DFIC	LOC117576456|XP_034117119.1|DALB
OG0000023	LOC108096122|XP_017052987.1|DFIC, LOC108096106|XP_017052971.1|DFIC	LOC117565137|XP_034099998.1|DALB
OG0000023	LOC108096606|XP_017053802.1|DFIC	LOC117568013|XP_034104228.1|DALB
OG0000023	LOC108096118|XP_017052982.1|DFIC	LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB
OG0000023	LOC108096119|XP_017052984.1|DFIC	LOC117576455|XP_034117118.1|DALB
OG0000023	LOC108096117|XP_017052981.1|DFIC	LOC117576451|XP_034117113.1|DALB
OG0000023	LOC108096114|XP_017052979.1|DFIC	LOC117576915|XP_034117947.1|DALB
OG0000024	LOC108086469|XP_017038885.1|DFIC, LOC108086411|XP_017038802.1|DFIC, LOC108086410|XP_017038801.1|DFIC, LOC108086467|XP_017038883.1|DFIC	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB
OG0000024	LOC108086472|XP_017038887.1|DFIC	LOC117569374|XP_034106395.1|DALB
OG0000024	LOC108098296|XP_017056595.1|DFIC	LOC117575969|XP_034116339.1|DALB
OG0000024	LOC108086381|XP_017038771.1|DFIC	LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB
OG0000024	LOC108094860|XP_017051169.1|DFIC	LOC117571483|XP_034109539.1|DALB
OG0000025	LOC108088651|XP_017042067.1|DFIC	LOC117563274|XP_034097393.1|DALB, LOC117563275|XP_034097395.1|DALB, LOC117570342|XP_034107792.1|DALB
OG0000026	LOC108091247|XP_017045848.1|DFIC	LOC117577993|XP_034118981.1|DALB, LOC117569252|XP_034106220.1|DALB, LOC117570089|XP_034107430.1|DALB
OG0000026	LOC108093407|XP_017048931.1|DFIC	LOC117564398|XP_034099013.1|DALB
OG0000026	LOC108098549|XP_017057035.1|DFIC, LOC108098463|XP_017056857.1|DFIC	LOC117573365|XP_034112385.1|DALB
OG0000027	LOC108100821|XP_017060378.1|DFIC	LOC117564244|XP_034098829.1|DALB
OG0000027	LOC108100820|XP_017060377.1|DFIC	LOC117565445|XP_034100427.1|DALB
OG0000028	LOC108095285|XP_017051819.1|DFIC	LOC117566511|XP_034101942.1|DALB
OG0000029	LOC108099785|XP_017058903.1|DFIC	LOC117569056|XP_034105958.1|DALB
OG0000030	LOC108093480|XP_017049055.1|DFIC, LOC108100317|XP_017059651.1|DFIC	LOC117563844|XP_034098265.1|DALB
OG0000030	LOC108092343|XP_017047369.1|DFIC, LOC108092288|XP_017047312.1|DFIC	LOC117564908|XP_034099753.1|DALB
OG0000030	LOC108087621|XP_017040552.1|DFIC	LOC117568042|XP_034104280.1|DALB, LOC117569392|XP_034106412.1|DALB
OG0000030	LOC108091341|XP_017045978.1|DFIC	LOC117568192|XP_034104545.1|DALB
OG0000030	LOC108088560|XP_017041895.1|DFIC	LOC117566924|XP_034102438.1|DALB
OG0000031	LOC108090611|XP_017044870.1|DFIC, LOC108090591|XP_017044831.1|DFIC, LOC108092296|XP_017047319.1|DFIC, LOC108092297|XP_017047321.1|DFIC	LOC117565254|XP_034100159.1|DALB, LOC117563835|XP_034098255.1|DALB
OG0000031	LOC108089228|XP_017042875.1|DFIC	LOC117565207|XP_034100106.1|DALB
OG0000032	LOC108087890|XP_017040957.1|DFIC	LOC117574485|XP_034114214.1|DALB
OG0000032	LOC108087896|XP_017040963.1|DFIC, LOC108087899|XP_017040966.1|DFIC	LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB, LOC117575800|XP_034116069.1|DALB, LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB
OG0000033	LOC108089808|XP_017043694.1|DFIC, LOC108089807|XP_017043693.1|DFIC, LOC108089809|XP_017043695.1|DFIC, LOC108089769|XP_017043650.1|DFIC, LOC108091266|XP_017045867.1|DFIC, LOC108089806|XP_017043692.1|DFIC, LOC108094281|XP_017050264.1|DFIC, LOC108094283|XP_017050266.1|DFIC	LOC117571679|XP_034109811.1|DALB
OG0000033	LOC108094282|XP_017050265.1|DFIC	LOC117573530|XP_034112668.1|DALB, LOC117566466|XP_034101888.1|DALB, LOC117575231|XP_034115252.1|DALB, LOC117565138|XP_034100000.1|DALB, LOC117564992|XP_034099828.1|DALB, LOC117565338|XP_034100279.1|DALB
OG0000034	LOC108098181|XP_017056403.1|DFIC, LOC108090289|XP_017044389.1|DFIC, LOC108098175|XP_017056397.1|DFIC, LOC108098172|XP_017056394.1|DFIC	LOC117565378|XP_034100343.1|DALB
OG0000034	LOC108098179|XP_017056401.1|DFIC	LOC117563634|XP_034097932.1|DALB, LOC117563633|XP_034097931.1|DALB, LOC117563636|XP_034097933.1|DALB
OG0000034	LOC108098285|XP_017056581.1|DFIC	LOC117563632|XP_034097930.1|DALB
OG0000034	LOC108093450|XP_017049013.1|DFIC	LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB, LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB
OG0000036	LOC108096138|XP_017053007.1|DFIC	LOC117575319|XP_034115366.1|DALB
OG0000036	LOC108097979|XP_017056090.1|DFIC	LOC117574531|XP_034114284.1|DALB
OG0000036	LOC108098533|XP_017057003.1|DFIC	LOC117574592|XP_034114366.1|DALB
OG0000036	LOC108087237|XP_017040017.1|DFIC	LOC117576608|XP_034117400.1|DALB
OG0000037	LOC108087844|XP_017040913.1|DFIC	LOC117568663|XP_034105356.1|DALB
OG0000037	LOC108088042|XP_017041165.1|DFIC, LOC108088040|XP_017041164.1|DFIC	LOC117575741|XP_034115985.1|DALB
OG0000038	LOC108088854|XP_017042318.1|DFIC	LOC117570082|XP_034107414.1|DALB
OG0000038	LOC108088914|XP_017042416.1|DFIC	LOC117570080|XP_034107411.1|DALB
OG0000039	LOC108091791|XP_017046639.1|DFIC	LOC117575707|XP_034115928.1|DALB
OG0000039	LOC108097516|XP_017055329.1|DFIC	LOC117574807|XP_034114666.1|DALB, LOC117574815|XP_034114677.1|DALB
OG0000039	LOC108097515|XP_017055328.1|DFIC	LOC117577745|XP_034118547.1|DALB
OG0000039	LOC108095512|XP_017052111.1|DFIC	LOC117565813|XP_034101004.1|DALB
OG0000040	LOC108092229|XP_017047255.1|DFIC, LOC108087305|XP_017040113.1|DFIC	LOC117573615|XP_034112803.1|DALB
OG0000040	LOC108087307|XP_017040114.1|DFIC	LOC117573619|XP_034112810.1|DALB
OG0000040	LOC108092206|XP_017047224.1|DFIC	LOC117573618|XP_034112808.1|DALB
OG0000040	LOC108102071|XP_017062201.1|DFIC	LOC117573616|XP_034112804.1|DALB
OG0000041	LOC108095996|XP_017052831.1|DFIC, LOC108095711|XP_017052372.1|DFIC, LOC108095997|XP_017052832.1|DFIC, LOC108095939|XP_017052765.1|DFIC, LOC108095866|XP_017052659.1|DFIC, LOC108095867|XP_017052660.1|DFIC, LOC108095645|XP_017052300.1|DFIC	LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB, LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB
OG0000042	LOC108090330|XP_017044433.1|DFIC, LOC108090327|XP_017044430.1|DFIC, LOC108090329|XP_017044432.1|DFIC, LOC108090333|XP_017044437.1|DFIC, LOC108090332|XP_017044435.1|DFIC, LOC108090338|XP_017044443.1|DFIC, LOC108090337|XP_017044441.1|DFIC, LOC108090335|XP_017044439.1|DFIC, LOC108090336|XP_017044440.1|DFIC, LOC108090328|XP_017044431.1|DFIC	LOC117566639|XP_034102071.1|DALB, LOC117566640|XP_034102072.1|DALB
OG0000042	LOC108090331|XP_017044434.1|DFIC	LOC117576207|XP_034116693.1|DALB, LOC117574774|XP_034114613.1|DALB, LOC117574773|XP_034114612.1|DALB, LOC117574710|XP_034114517.1|DALB, LOC117574445|XP_034114174.1|DALB
OG0000043	LOC108087351|XP_017040180.1|DFIC	LOC117574637|XP_034114425.1|DALB
OG0000043	LOC108087056|XP_017039721.1|DFIC	LOC117574639|XP_034114428.1|DALB
OG0000043	LOC108092195|XP_017047211.1|DFIC	LOC117574208|XP_034113803.1|DALB
OG0000043	LOC108087304|XP_017040112.1|DFIC, LOC108087099|XP_017039770.1|DFIC, LOC108086831|XP_017039366.1|DFIC, LOC108087388|XP_017040219.1|DFIC	LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB
OG0000044	LOC108095953|XP_017052779.1|DFIC	LOC117576108|XP_034116557.1|DALB
OG0000044	LOC108095656|XP_017052310.1|DFIC, LOC108095674|XP_017052331.1|DFIC, LOC108095707|XP_017052368.1|DFIC, LOC108095664|XP_017052318.1|DFIC	LOC117576562|XP_034117292.1|DALB, LOC117576555|XP_034117284.1|DALB, LOC117576559|XP_034117287.1|DALB, LOC117576556|XP_034117285.1|DALB, LOC117576558|XP_034117286.1|DALB, LOC117576554|XP_034117283.1|DALB, LOC117576551|XP_034117281.1|DALB, LOC117576550|XP_034117280.1|DALB
OG0000044	LOC108096011|XP_017052849.1|DFIC	LOC117576560|XP_034117290.1|DALB, LOC117576979|XP_034118049.1|DALB
OG0000044	LOC108102017|XP_017062104.1|DFIC	LOC117574699|XP_034114502.1|DALB
OG0000045	LOC108099782|XP_017058900.1|DFIC	LOC117568925|XP_034105726.1|DALB
OG0000045	LOC108099776|XP_017058894.1|DFIC, LOC108099783|XP_017058901.1|DFIC	LOC117566426|XP_034101847.1|DALB
OG0000045	LOC108089346|XP_017043016.1|DFIC	LOC117566425|XP_034101846.1|DALB
OG0000045	LOC108089335|XP_017043004.1|DFIC	LOC117572554|XP_034111317.1|DALB
OG0000046	LOC108097441|XP_017055199.1|DFIC, LOC108097439|XP_017055197.1|DFIC	LOC117577657|XP_034118436.1|DALB, LOC117577658|XP_034118437.1|DALB
OG0000046	LOC108097454|XP_017055215.1|DFIC, LOC108091603|XP_017046371.1|DFIC, LOC108091584|XP_017046349.1|DFIC, LOC108091607|XP_017046377.1|DFIC, LOC108091593|XP_017046357.1|DFIC, LOC108091587|XP_017046351.1|DFIC, LOC108091594|XP_017046358.1|DFIC, LOC108091585|XP_017046350.1|DFIC	LOC117566493|XP_034101923.1|DALB, LOC117576903|XP_034117935.1|DALB, LOC117566510|XP_034101945.1|DALB, LOC117576911|XP_034117945.1|DALB, LOC117576921|XP_034117957.1|DALB
OG0000047	LOC108090569|XP_017044803.1|DFIC	LOC117570271|XP_034107678.1|DALB
OG0000047	LOC108090570|XP_017044804.1|DFIC	LOC117570312|XP_034107745.1|DALB
OG0000047	LOC108094901|XP_017051236.1|DFIC	LOC117567370|XP_034103204.1|DALB
OG0000047	LOC108089762|XP_017043641.1|DFIC	LOC117567748|XP_034103827.1|DALB
OG0000047	LOC108094950|XP_017051302.1|DFIC	LOC117570238|XP_034107631.1|DALB
