Orthogroup	DFIC.longest_only	DBIA.longest_only
OG0000010	LOC108086289|XP_017038672.1|DFIC	LOC108035868|XP_016967106.1|DBIA, LOC108021910|XP_016946220.1|DBIA
OG0000011	LOC108101273|XP_017061049.1|DFIC	LOC108027845|XP_016954924.1|DBIA
OG0000011	LOC108100009|XP_017059202.1|DFIC	LOC108033439|XP_016963254.1|DBIA
OG0000011	LOC108101289|XP_017061078.1|DFIC	LOC108027694|XP_016954732.1|DBIA
OG0000011	LOC108100104|XP_017059339.1|DFIC	LOC108030731|XP_016959262.1|DBIA, LOC108030820|XP_016959420.1|DBIA, LOC108030017|XP_016958025.1|DBIA, LOC108025089|XP_016950839.1|DBIA, LOC108027384|XP_016954306.1|DBIA, LOC108035135|XP_016966066.1|DBIA, LOC108027385|XP_016954308.1|DBIA, LOC108028835|XP_016956315.1|DBIA, LOC108027989|XP_016955104.1|DBIA, LOC108030612|XP_016959094.1|DBIA, LOC108033420|XP_016963229.1|DBIA
OG0000011	LOC108098171|XP_017056393.1|DFIC	LOC108035164|XP_016966113.1|DBIA
OG0000011	LOC108095556|XP_017052180.1|DFIC	LOC108024287|XP_016949675.1|DBIA
OG0000011	LOC108086883|XP_017039433.1|DFIC	LOC108035648|XP_016966843.1|DBIA
OG0000011	LOC108086913|XP_017039476.1|DFIC	LOC108035647|XP_016966842.1|DBIA
OG0000011	LOC108098799|XP_017057429.1|DFIC	LOC108024710|XP_016950292.1|DBIA
OG0000012	LOC108096904|XP_017054341.1|DFIC	LOC108026825|XP_016953482.1|DBIA
OG0000012	LOC108096903|XP_017054340.1|DFIC	LOC108026824|XP_016953480.1|DBIA
OG0000012	LOC108096929|XP_017054370.1|DFIC	LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA
OG0000012	LOC108096943|XP_017054393.1|DFIC	LOC108026906|XP_016953604.1|DBIA
OG0000012	LOC108096563|XP_017053746.1|DFIC	LOC108026886|XP_016953577.1|DBIA
OG0000012	LOC108096571|XP_017053756.1|DFIC	LOC108026941|XP_016953643.1|DBIA
OG0000012	LOC108086628|XP_017039092.1|DFIC	LOC108022093|XP_016946425.1|DBIA
OG0000012	LOC108086618|XP_017039083.1|DFIC	LOC108022195|XP_016946536.1|DBIA
OG0000012	LOC108086755|XP_017039283.1|DFIC	LOC108023104|XP_016947858.1|DBIA
OG0000012	LOC108086630|XP_017039094.1|DFIC	LOC108022092|XP_016946424.1|DBIA
OG0000012	LOC108086627|XP_017039091.1|DFIC	LOC108022979|XP_016947693.1|DBIA
OG0000012	LOC108086756|XP_017039284.1|DFIC	LOC108022976|XP_016947689.1|DBIA
OG0000013	LOC108101557|XP_017061445.1|DFIC	LOC108036445|XP_016968074.1|DBIA
OG0000013	LOC108101682|XP_017061593.1|DFIC	LOC108030851|XP_016959521.1|DBIA
OG0000013	LOC108098830|XP_017057474.1|DFIC	LOC108031414|XP_016960303.1|DBIA
OG0000013	LOC108086910|XP_017039470.1|DFIC	LOC108034990|XP_016965812.1|DBIA
OG0000013	LOC108087118|XP_017039788.1|DFIC	LOC108024443|XP_016949852.1|DBIA
OG0000013	LOC108091996|XP_017046910.1|DFIC	LOC108026153|XP_016952377.1|DBIA
OG0000013	LOC108102250|XP_017062487.1|DFIC, LOC108087940|XP_017041016.1|DFIC	LOC108031653|XP_016960776.1|DBIA, LOC108022928|XP_016947668.1|DBIA, LOC108024680|XP_016950243.1|DBIA, LOC108024686|XP_016950255.1|DBIA, LOC108031441|XP_016960362.1|DBIA
OG0000015	LOC108092527|XP_017047639.1|DFIC	LOC108029004|XP_016956536.1|DBIA
OG0000015	LOC108094095|XP_017050008.1|DFIC	LOC108032335|XP_016961635.1|DBIA
OG0000015	LOC108094122|XP_017050032.1|DFIC	LOC108032334|XP_016961634.1|DBIA
OG0000015	LOC108099798|XP_017058915.1|DFIC, LOC108099788|XP_017058906.1|DFIC, LOC108099784|XP_017058902.1|DFIC, LOC108099708|XP_017058819.1|DFIC, LOC108099813|XP_017058931.1|DFIC, LOC108099796|XP_017058913.1|DFIC, LOC108099792|XP_017058910.1|DFIC, LOC108099709|XP_017058820.1|DFIC, LOC108099710|XP_017058821.1|DFIC, LOC108099711|XP_017058822.1|DFIC	LOC108034674|XP_016965104.1|DBIA
OG0000015	LOC108100911|XP_017060514.1|DFIC, LOC108100840|XP_017060402.1|DFIC	LOC108033354|XP_016963153.1|DBIA
OG0000015	LOC108086461|XP_017038876.1|DFIC	LOC108030294|XP_016958615.1|DBIA
OG0000015	LOC108094483|XP_017050559.1|DFIC	LOC108033676|XP_016963619.1|DBIA, LOC108033509|XP_016963341.1|DBIA
OG0000016	LOC108091644|XP_017046435.1|DFIC	LOC108031488|XP_016960465.1|DBIA
OG0000016	LOC108095161|XP_017051608.1|DFIC	LOC108022510|XP_016946968.1|DBIA
OG0000016	LOC108088049|XP_017041175.1|DFIC	LOC108032049|XP_016961350.1|DBIA
OG0000016	LOC108090474|XP_017044659.1|DFIC	LOC108036535|XP_016968248.1|DBIA
OG0000016	LOC108092889|XP_017048224.1|DFIC	LOC108031387|XP_016960277.1|DBIA
OG0000016	LOC108091135|XP_017045658.1|DFIC	LOC108024269|XP_016949648.1|DBIA
OG0000016	LOC108096392|XP_017053452.1|DFIC	LOC108026160|XP_016952383.1|DBIA
OG0000016	LOC108093583|XP_017049197.1|DFIC	LOC108030823|XP_016959429.1|DBIA
OG0000017	LOC108098017|XP_017056155.1|DFIC	LOC108032967|XP_016962527.1|DBIA
OG0000017	LOC108101533|XP_017061396.1|DFIC	LOC108036348|XP_016967909.1|DBIA
OG0000017	LOC108099991|XP_017059177.1|DFIC	LOC108036878|XP_016968743.1|DBIA
OG0000017	LOC108097740|XP_017055736.1|DFIC	LOC108031941|XP_016961211.1|DBIA
OG0000017	LOC108087716|XP_017040726.1|DFIC	LOC108022955|XP_016947661.1|DBIA
OG0000017	LOC108099990|XP_017059176.1|DFIC	LOC108024069|XP_016949327.1|DBIA
OG0000017	LOC108087715|XP_017040725.1|DFIC	LOC108022064|XP_016946398.1|DBIA
OG0000017	LOC108094147|XP_017050074.1|DFIC, LOC108094148|XP_017050075.1|DFIC	LOC108027769|XP_016954820.1|DBIA
OG0000018	LOC108093126|XP_017048560.1|DFIC	LOC108028400|XP_016955704.1|DBIA
OG0000018	LOC108093128|XP_017048562.1|DFIC	LOC108028081|XP_016955212.1|DBIA
OG0000018	LOC108093130|XP_017048564.1|DFIC	LOC108028402|XP_016955706.1|DBIA
OG0000018	LOC108093138|XP_017048572.1|DFIC	LOC108028409|XP_016955715.1|DBIA, LOC108028410|XP_016955716.1|DBIA
OG0000019	LOC108086541|XP_017038967.1|DFIC	LOC108025227|XP_016951062.1|DBIA
OG0000019	LOC108086542|XP_017038968.1|DFIC	LOC108025229|XP_016951064.1|DBIA
OG0000019	LOC108086544|XP_017038971.1|DFIC	LOC108025230|XP_016951066.1|DBIA
OG0000019	LOC108086535|XP_017038961.1|DFIC	LOC108025224|XP_016951060.1|DBIA
OG0000019	LOC108086543|XP_017038970.1|DFIC	LOC108025228|XP_016951063.1|DBIA
OG0000019	LOC108086538|XP_017038965.1|DFIC	LOC108025225|XP_016951061.1|DBIA
OG0000019	LOC108086540|XP_017038966.1|DFIC	LOC108025231|XP_016951067.1|DBIA
OG0000020	LOC108086571|XP_017039016.1|DFIC	LOC108026305|XP_016952678.1|DBIA
OG0000020	LOC108087826|XP_017040886.1|DFIC	LOC108026784|XP_016953432.1|DBIA
OG0000020	LOC108100979|XP_017060622.1|DFIC	LOC108036110|XP_016967573.1|DBIA
OG0000020	LOC108101093|XP_017060792.1|DFIC	LOC108031537|XP_016960562.1|DBIA
OG0000020	LOC108102060|XP_017062180.1|DFIC	LOC108024628|XP_016950157.1|DBIA
OG0000020	LOC108089992|XP_017043983.1|DFIC	LOC108034268|XP_016964616.1|DBIA
OG0000020	LOC108101220|XP_017060958.1|DFIC	LOC108033875|XP_016964007.1|DBIA
OG0000021	LOC108090792|XP_017045128.1|DFIC	LOC108022678|XP_016947238.1|DBIA
OG0000021	LOC108090653|XP_017044920.1|DFIC	LOC108022247|XP_016946595.1|DBIA
OG0000021	LOC108093638|XP_017049284.1|DFIC	LOC108022243|XP_016946590.1|DBIA
OG0000021	LOC108095541|XP_017052159.1|DFIC	LOC108025789|XP_016951907.1|DBIA
OG0000021	LOC108091979|XP_017046877.1|DFIC	LOC108026319|XP_016952697.1|DBIA
OG0000021	LOC108088013|XP_017041113.1|DFIC	LOC108027350|XP_016954258.1|DBIA
OG0000021	LOC108094694|XP_017050914.1|DFIC	LOC108026442|XP_016952872.1|DBIA
OG0000022	LOC108093677|XP_017049345.1|DFIC	LOC108022346|XP_016946698.1|DBIA
OG0000022	LOC108100202|XP_017059465.1|DFIC	LOC108030636|XP_016959139.1|DBIA
OG0000022	LOC108100308|XP_017059596.1|DFIC	LOC108029210|XP_016956886.1|DBIA, LOC108029216|XP_016956899.1|DBIA, LOC108027792|XP_016954853.1|DBIA, LOC108029236|XP_016956922.1|DBIA
OG0000022	LOC108100304|XP_017059591.1|DFIC	LOC108029246|XP_016956933.1|DBIA, LOC108029225|XP_016956911.1|DBIA
OG0000022	LOC108100302|XP_017059589.1|DFIC	LOC108029203|XP_016956872.1|DBIA
OG0000023	LOC108096122|XP_017052987.1|DFIC	LOC108027148|XP_016953858.1|DBIA
OG0000023	LOC108096128|XP_017052994.1|DFIC	LOC108027143|XP_016953853.1|DBIA
OG0000023	LOC108096606|XP_017053802.1|DFIC	LOC108026627|XP_016953132.1|DBIA
OG0000023	LOC108096129|XP_017052995.1|DFIC	LOC108027145|XP_016953854.1|DBIA
OG0000023	LOC108096118|XP_017052982.1|DFIC	LOC108027009|XP_016953696.1|DBIA
OG0000023	LOC108096119|XP_017052984.1|DFIC	LOC108027245|XP_016954086.1|DBIA
OG0000023	LOC108096117|XP_017052981.1|DFIC	LOC108027357|XP_016954268.1|DBIA
OG0000023	LOC108096114|XP_017052979.1|DFIC	LOC108027244|XP_016954083.1|DBIA
OG0000024	LOC108086469|XP_017038885.1|DFIC	LOC108022668|XP_016947226.1|DBIA
OG0000024	LOC108086411|XP_017038802.1|DFIC, LOC108086410|XP_017038801.1|DFIC	LOC108023057|XP_016947794.1|DBIA, LOC108022950|XP_016947655.1|DBIA
OG0000024	LOC108086467|XP_017038883.1|DFIC	LOC108022666|XP_016947224.1|DBIA
OG0000024	LOC108086472|XP_017038887.1|DFIC	LOC108022667|XP_016947225.1|DBIA
OG0000024	LOC108098296|XP_017056595.1|DFIC	LOC108034270|XP_016964618.1|DBIA
OG0000024	LOC108086381|XP_017038771.1|DFIC	LOC108022158|XP_016946489.1|DBIA
OG0000024	LOC108094860|XP_017051169.1|DFIC	LOC108029512|XP_016957298.1|DBIA
OG0000025	LOC108088651|XP_017042067.1|DFIC	LOC108029143|XP_016956757.1|DBIA, LOC108023228|XP_016947991.1|DBIA
OG0000026	LOC108091247|XP_017045848.1|DFIC	LOC108032654|XP_016962104.1|DBIA
OG0000026	LOC108093407|XP_017048931.1|DFIC	LOC108033571|XP_016963404.1|DBIA
OG0000026	LOC108101707|XP_017061633.1|DFIC, LOC108101666|XP_017061574.1|DFIC	LOC108036455|XP_016968112.1|DBIA
OG0000026	LOC108091826|XP_017046693.1|DFIC	LOC108027284|XP_016954161.1|DBIA
OG0000026	LOC108098549|XP_017057035.1|DFIC, LOC108098463|XP_017056857.1|DFIC	LOC108027046|XP_016953736.1|DBIA
OG0000027	LOC108100821|XP_017060378.1|DFIC	LOC108033374|XP_016963181.1|DBIA
OG0000027	LOC108100819|XP_017060376.1|DFIC	LOC108033303|XP_016963062.1|DBIA
OG0000027	LOC108100820|XP_017060377.1|DFIC	LOC108033359|XP_016963159.1|DBIA
OG0000028	LOC108095297|XP_017051846.1|DFIC, LOC108095310|XP_017051872.1|DFIC, LOC108088858|XP_017042322.1|DFIC, LOC108088859|XP_017042323.1|DFIC	LOC108035884|XP_016967128.1|DBIA, LOC108031862|XP_016961109.1|DBIA
OG0000028	LOC108095285|XP_017051819.1|DFIC	LOC108035881|XP_016967123.1|DBIA
OG0000028	LOC108089312|XP_017042978.1|DFIC	LOC108035021|XP_016965853.1|DBIA
OG0000029	LOC108090681|XP_017044956.1|DFIC	LOC108036183|XP_016967662.1|DBIA
OG0000029	LOC108100972|XP_017060614.1|DFIC	LOC108029337|XP_016957019.1|DBIA, LOC108036041|XP_016967472.1|DBIA
OG0000029	LOC108099785|XP_017058903.1|DFIC	LOC108028180|XP_016955330.1|DBIA
OG0000030	LOC108093469|XP_017049043.1|DFIC	LOC108033534|XP_016963368.1|DBIA
OG0000030	LOC108093479|XP_017049053.1|DFIC	LOC108033540|XP_016963373.1|DBIA
OG0000030	LOC108092343|XP_017047369.1|DFIC, LOC108092288|XP_017047312.1|DFIC	LOC108036692|XP_016968470.1|DBIA
OG0000030	LOC108087621|XP_017040552.1|DFIC	LOC108022382|XP_016946753.1|DBIA
OG0000030	LOC108091341|XP_017045978.1|DFIC	LOC108023610|XP_016948706.1|DBIA
OG0000030	LOC108088560|XP_017041895.1|DFIC	LOC108024286|XP_016949674.1|DBIA
OG0000031	LOC108087846|XP_017040950.1|DFIC, LOC108094523|XP_017050614.1|DFIC, LOC108100476|XP_017059897.1|DFIC	LOC108032680|XP_016962144.1|DBIA, LOC108032585|XP_016961981.1|DBIA
OG0000031	LOC108090611|XP_017044870.1|DFIC, LOC108090591|XP_017044831.1|DFIC	LOC108033238|XP_016962991.1|DBIA
OG0000031	LOC108092296|XP_017047319.1|DFIC	LOC108027702|XP_016954741.1|DBIA
OG0000031	LOC108089228|XP_017042875.1|DFIC	LOC108034241|XP_016964579.1|DBIA
OG0000032	LOC108088062|XP_017041192.1|DFIC	LOC108027269|XP_016954133.1|DBIA
OG0000032	LOC108088048|XP_017041174.1|DFIC	LOC108027231|XP_016954053.1|DBIA
OG0000032	LOC108088066|XP_017041199.1|DFIC	LOC108027230|XP_016954052.1|DBIA
OG0000032	LOC108087979|XP_017041070.1|DFIC	LOC108027165|XP_016953917.1|DBIA
OG0000032	LOC108087896|XP_017040963.1|DFIC	LOC108027028|XP_016953713.1|DBIA
OG0000032	LOC108087899|XP_017040966.1|DFIC	LOC108027267|XP_016954131.1|DBIA, LOC108027001|XP_016953689.1|DBIA
OG0000033	LOC108102066|XP_017062199.1|DFIC	LOC108024462|XP_016949869.1|DBIA, LOC108024301|XP_016949691.1|DBIA
OG0000033	LOC108089808|XP_017043694.1|DFIC	LOC108035889|XP_016967133.1|DBIA
OG0000033	LOC108089807|XP_017043693.1|DFIC, LOC108089809|XP_017043695.1|DFIC, LOC108089769|XP_017043650.1|DFIC	LOC108033536|XP_016963370.1|DBIA
OG0000033	LOC108094281|XP_017050264.1|DFIC	LOC108030100|XP_016958275.1|DBIA
OG0000033	LOC108094283|XP_017050266.1|DFIC	LOC108030101|XP_016958276.1|DBIA
OG0000033	LOC108094282|XP_017050265.1|DFIC	LOC108030098|XP_016958274.1|DBIA
OG0000033	LOC108098498|XP_017056906.1|DFIC	LOC108028439|XP_016955758.1|DBIA
OG0000033	LOC108098495|XP_017056904.1|DFIC	LOC108027435|XP_016954372.1|DBIA
OG0000034	LOC108090289|XP_017044389.1|DFIC	LOC108036384|XP_016967978.1|DBIA
OG0000034	LOC108098175|XP_017056397.1|DFIC, LOC108098172|XP_017056394.1|DFIC	LOC108035246|XP_016966273.1|DBIA
OG0000034	LOC108098179|XP_017056401.1|DFIC	LOC108035237|XP_016966261.1|DBIA
OG0000034	LOC108098285|XP_017056581.1|DFIC	LOC108034999|XP_016965831.1|DBIA
OG0000034	LOC108098386|XP_017056743.1|DFIC	LOC108033284|XP_016963038.1|DBIA
OG0000034	LOC108087083|XP_017039752.1|DFIC	LOC108023439|XP_016948422.1|DBIA
OG0000034	LOC108087380|XP_017040209.1|DFIC	LOC108023415|XP_016948374.1|DBIA
OG0000034	LOC108093450|XP_017049013.1|DFIC	LOC108036755|XP_016968570.1|DBIA
OG0000035	LOC108102183|XP_017062377.1|DFIC	LOC108027242|XP_016954085.1|DBIA
OG0000035	LOC108094809|XP_017051072.1|DFIC	LOC108036822|XP_016968657.1|DBIA, LOC108035837|XP_016967071.1|DBIA
OG0000035	LOC108093569|XP_017049153.1|DFIC	LOC108036884|XP_016968752.1|DBIA
OG0000036	LOC108096138|XP_017053007.1|DFIC	LOC108027411|XP_016954339.1|DBIA
OG0000036	LOC108097979|XP_017056090.1|DFIC	LOC108026449|XP_016952877.1|DBIA
OG0000036	LOC108098533|XP_017057003.1|DFIC	LOC108024985|XP_016950728.1|DBIA
OG0000036	LOC108087237|XP_017040017.1|DFIC	LOC108024657|XP_016950207.1|DBIA
OG0000037	LOC108087844|XP_017040913.1|DFIC	LOC108029865|XP_016957843.1|DBIA
OG0000037	LOC108088042|XP_017041165.1|DFIC	LOC108032009|XP_016961298.1|DBIA
OG0000037	LOC108088040|XP_017041164.1|DFIC	LOC108030957|XP_016959646.1|DBIA, LOC108032010|XP_016961299.1|DBIA
OG0000038	LOC108088854|XP_017042318.1|DFIC	LOC108030746|XP_016959281.1|DBIA
OG0000038	LOC108088914|XP_017042416.1|DFIC	LOC108030931|XP_016959614.1|DBIA
OG0000039	LOC108091791|XP_017046639.1|DFIC	LOC108027177|XP_016953954.1|DBIA
OG0000039	LOC108097516|XP_017055329.1|DFIC	LOC108025609|XP_016951633.1|DBIA
OG0000039	LOC108097515|XP_017055328.1|DFIC	LOC108025634|XP_016951658.1|DBIA
OG0000039	LOC108095512|XP_017052111.1|DFIC	LOC108025590|XP_016951608.1|DBIA
OG0000040	LOC108092229|XP_017047255.1|DFIC	LOC108025546|XP_016951565.1|DBIA
OG0000040	LOC108087305|XP_017040113.1|DFIC	LOC108024820|XP_016950438.1|DBIA
OG0000040	LOC108087307|XP_017040114.1|DFIC	LOC108024821|XP_016950440.1|DBIA
OG0000040	LOC108092211|XP_017047228.1|DFIC	LOC108025434|XP_016951413.1|DBIA
OG0000040	LOC108092212|XP_017047230.1|DFIC	LOC108025431|XP_016951408.1|DBIA, LOC108025433|XP_016951410.1|DBIA
OG0000040	LOC108092206|XP_017047224.1|DFIC	LOC108025485|XP_016951488.1|DBIA
OG0000040	LOC108100764|XP_017060292.1|DFIC	LOC108023851|XP_016948987.1|DBIA
OG0000041	LOC108095996|XP_017052831.1|DFIC	LOC108026015|XP_016952195.1|DBIA
OG0000041	LOC108095939|XP_017052765.1|DFIC	LOC108026380|XP_016952789.1|DBIA
OG0000041	LOC108095866|XP_017052659.1|DFIC	LOC108026021|XP_016952202.1|DBIA
OG0000041	LOC108095867|XP_017052660.1|DFIC	LOC108026443|XP_016952869.1|DBIA, LOC108026441|XP_016952867.1|DBIA
OG0000042	LOC108090330|XP_017044433.1|DFIC	LOC108029979|XP_016957976.1|DBIA
OG0000042	LOC108090327|XP_017044430.1|DFIC	LOC108029981|XP_016957978.1|DBIA
OG0000042	LOC108090329|XP_017044432.1|DFIC	LOC108029869|XP_016957848.1|DBIA
OG0000042	LOC108090333|XP_017044437.1|DFIC, LOC108090332|XP_017044435.1|DFIC, LOC108090338|XP_017044443.1|DFIC, LOC108090337|XP_017044441.1|DFIC, LOC108090335|XP_017044439.1|DFIC, LOC108090336|XP_017044440.1|DFIC, LOC108090328|XP_017044431.1|DFIC	LOC108029870|XP_016957849.1|DBIA, LOC108029978|XP_016957975.1|DBIA, LOC108029980|XP_016957977.1|DBIA
