Orthogroup	DFIC.longest_only	CQUI.longest_only
OG0000018	LOC108093137|XP_017048571.1|DFIC, LOC108093131|XP_017048565.1|DFIC, LOC108093271|XP_017048739.1|DFIC, LOC108093136|XP_017048569.1|DFIC	LOC6032081|XP_001842747.1|CQUI
OG0000019	LOC108086541|XP_017038967.1|DFIC, LOC108086542|XP_017038968.1|DFIC, LOC108086544|XP_017038971.1|DFIC, LOC108086535|XP_017038961.1|DFIC, LOC108086543|XP_017038970.1|DFIC, LOC108086538|XP_017038965.1|DFIC, LOC108086540|XP_017038966.1|DFIC	LOC6032038|XP_001842705.2|CQUI, LOC6035676|XP_001845810.2|CQUI, LOC6032037|XP_038105442.1|CQUI, LOC6035669|XP_001845803.2|CQUI, LOC6035668|XP_001845802.2|CQUI, LOC6035670|XP_001845804.2|CQUI, LOC6035671|XP_001845805.2|CQUI, LOC6035672|XP_038106248.1|CQUI, LOC6035674|XP_038108138.1|CQUI, LOC6035673|XP_001845807.2|CQUI, LOC6035725|XP_001845796.2|CQUI, LOC6050287|XP_038119254.1|CQUI, LOC6044518|XP_038116745.1|CQUI
OG0000020	LOC108086571|XP_017039016.1|DFIC, LOC108087826|XP_017040886.1|DFIC	LOC6039899|XP_001849397.1|CQUI
OG0000020	LOC108100979|XP_017060622.1|DFIC, LOC108101093|XP_017060792.1|DFIC, LOC108102060|XP_017062180.1|DFIC, LOC108089992|XP_017043983.1|DFIC, LOC108101220|XP_017060958.1|DFIC	LOC6036302|XP_038116279.1|CQUI
OG0000021	LOC108095541|XP_017052159.1|DFIC	LOC6033026|XP_038122145.1|CQUI
OG0000021	LOC108091979|XP_017046877.1|DFIC, LOC108088013|XP_017041113.1|DFIC, LOC108094694|XP_017050914.1|DFIC	LOC6039972|XP_001849462.1|CQUI
OG0000022	LOC108093677|XP_017049345.1|DFIC, LOC108100202|XP_017059465.1|DFIC, LOC108100307|XP_017059595.1|DFIC, LOC108100306|XP_017059594.1|DFIC, LOC108100305|XP_017059593.1|DFIC, LOC108100300|XP_017059588.1|DFIC, LOC108100303|XP_017059590.1|DFIC, LOC108100308|XP_017059596.1|DFIC, LOC108100304|XP_017059591.1|DFIC, LOC108100302|XP_017059589.1|DFIC	LOC6037178|XP_001847112.1|CQUI
OG0000023	LOC108096120|XP_017052985.1|DFIC, LOC108096122|XP_017052987.1|DFIC, LOC108096106|XP_017052971.1|DFIC, LOC108096128|XP_017052994.1|DFIC, LOC108096606|XP_017053802.1|DFIC, LOC108096129|XP_017052995.1|DFIC, LOC108096118|XP_017052982.1|DFIC, LOC108096119|XP_017052984.1|DFIC, LOC108096117|XP_017052981.1|DFIC, LOC108096114|XP_017052979.1|DFIC	LOC6047250|XP_001864331.2|CQUI, LOC6047249|XP_038118268.1|CQUI
OG0000024	LOC108086469|XP_017038885.1|DFIC, LOC108086411|XP_017038802.1|DFIC, LOC108086410|XP_017038801.1|DFIC, LOC108086467|XP_017038883.1|DFIC, LOC108086472|XP_017038887.1|DFIC, LOC108098296|XP_017056595.1|DFIC, LOC108086381|XP_017038771.1|DFIC, LOC108094860|XP_017051169.1|DFIC	LOC6034201|XP_001844555.2|CQUI
OG0000025	LOC108088651|XP_017042067.1|DFIC	LOC6050771|XP_038120601.1|CQUI, LOC6051248|XP_001867717.2|CQUI, LOC6042920|XP_038111850.1|CQUI
OG0000026	LOC108101707|XP_017061633.1|DFIC, LOC108101666|XP_017061574.1|DFIC, LOC108091826|XP_017046693.1|DFIC, LOC108098549|XP_017057035.1|DFIC, LOC108098463|XP_017056857.1|DFIC	LOC6050471|XP_001867076.2|CQUI, LOC6036301|XP_001846367.2|CQUI, LOC6050473|XP_001867077.2|CQUI, LOC6036297|XP_001846363.2|CQUI, LOC6050476|XP_001867079.2|CQUI, LOC6037278|XP_001847205.2|CQUI, LOC6037276|XP_038115329.1|CQUI, LOC6037277|XP_001847204.2|CQUI, LOC6032449|XP_001843045.1|CQUI, LOC6033789|XP_001844191.2|CQUI
OG0000027	LOC108100821|XP_017060378.1|DFIC, LOC108100819|XP_017060376.1|DFIC, LOC108100820|XP_017060377.1|DFIC	LOC6034839|XP_001845110.1|CQUI, LOC6034845|XP_001845116.1|CQUI, LOC6034846|XP_001845117.1|CQUI, LOC6034843|XP_001845114.1|CQUI, LOC6034842|XP_001845113.1|CQUI
OG0000028	LOC108095331|XP_017051904.1|DFIC, LOC108095316|XP_017051884.1|DFIC, LOC108088857|XP_017042321.1|DFIC, LOC108095297|XP_017051846.1|DFIC, LOC108095310|XP_017051872.1|DFIC, LOC108088858|XP_017042322.1|DFIC, LOC108088859|XP_017042323.1|DFIC, LOC108095285|XP_017051819.1|DFIC, LOC108089312|XP_017042978.1|DFIC	LOC119769830|XP_038119448.1|CQUI, LOC119770585|XP_038121681.1|CQUI
OG0000029	LOC108090681|XP_017044956.1|DFIC, LOC108100972|XP_017060614.1|DFIC, LOC108096726|XP_017054059.1|DFIC, LOC108099785|XP_017058903.1|DFIC	LOC6046540|XP_038104140.1|CQUI, LOC119770835|XP_038122320.1|CQUI, LOC6032197|XP_038121223.1|CQUI, LOC6054715|XP_001891378.1|CQUI, LOC119767641|XP_038112578.1|CQUI, LOC6036832|XP_038117253.1|CQUI, LOC119767638|XP_038112572.1|CQUI, LOC6033928|XP_001844317.2|CQUI, LOC6033925|XP_001844314.1|CQUI, LOC6033924|XP_001844313.2|CQUI, LOC6033923|XP_001844312.1|CQUI, LOC6033927|XP_001844316.1|CQUI, LOC6052046|XP_001868378.1|CQUI, LOC6052045|XP_001868377.1|CQUI, LOC6051109|XP_001867594.2|CQUI, LOC6042971|XP_001854129.2|CQUI, LOC6042962|XP_001854087.2|CQUI, LOC6042967|XP_001854113.2|CQUI, LOC6042966|XP_001854108.2|CQUI, LOC119768731|XP_038115519.1|CQUI, LOC6039478|XP_001849082.2|CQUI, LOC6039479|XP_038116652.1|CQUI, LOC119768730|XP_038115518.1|CQUI, LOC6039088|XP_001848759.2|CQUI, LOC6054282|XP_038117233.1|CQUI
OG0000031	LOC108087846|XP_017040950.1|DFIC, LOC108094523|XP_017050614.1|DFIC, LOC108100476|XP_017059897.1|DFIC, LOC108090611|XP_017044870.1|DFIC, LOC108090591|XP_017044831.1|DFIC, LOC108092296|XP_017047319.1|DFIC, LOC108092297|XP_017047321.1|DFIC	LOC6037443|XP_038110196.1|CQUI, LOC6037444|XP_001847357.2|CQUI, LOC6037442|XP_038112627.1|CQUI
OG0000032	LOC108087889|XP_017040956.1|DFIC, LOC108088062|XP_017041192.1|DFIC, LOC108088048|XP_017041174.1|DFIC, LOC108088066|XP_017041199.1|DFIC, LOC108087890|XP_017040957.1|DFIC, LOC108087979|XP_017041070.1|DFIC, LOC108087896|XP_017040963.1|DFIC, LOC108087899|XP_017040966.1|DFIC	LOC6043364|XP_038120746.1|CQUI, LOC6031025|XP_001841877.1|CQUI
OG0000034	LOC108098181|XP_017056403.1|DFIC, LOC108090289|XP_017044389.1|DFIC, LOC108098175|XP_017056397.1|DFIC, LOC108098172|XP_017056394.1|DFIC, LOC108098179|XP_017056401.1|DFIC, LOC108098285|XP_017056581.1|DFIC, LOC108101136|XP_017060848.1|DFIC, LOC108098386|XP_017056743.1|DFIC, LOC108087083|XP_017039752.1|DFIC, LOC108087380|XP_017040209.1|DFIC, LOC108093450|XP_017049013.1|DFIC	LOC6031147|XP_001841990.2|CQUI, LOC6031148|XP_038117685.1|CQUI, LOC6045701|XP_001863009.1|CQUI
OG0000036	LOC108096138|XP_017053007.1|DFIC	LOC6035433|XP_001845622.2|CQUI
OG0000037	LOC108087844|XP_017040913.1|DFIC, LOC108088042|XP_017041165.1|DFIC, LOC108088040|XP_017041164.1|DFIC	LOC6043093|XP_001855590.2|CQUI, LOC6043095|XP_001855599.1|CQUI, LOC6043092|XP_038114420.1|CQUI
OG0000038	LOC108088854|XP_017042318.1|DFIC	LOC6034620|XP_001844912.2|CQUI
OG0000038	LOC108088914|XP_017042416.1|DFIC	LOC6047259|XP_001864341.2|CQUI
OG0000039	LOC108091791|XP_017046639.1|DFIC	LOC6035422|XP_001845614.2|CQUI, LOC6035423|XP_001845615.2|CQUI, LOC6035424|XP_038106274.1|CQUI, LOC6035425|XP_038106266.1|CQUI, LOC6033015|XP_001843523.2|CQUI, LOC6046336|XP_001863555.2|CQUI, LOC6044717|XP_038115204.1|CQUI, LOC6045138|XP_001862537.2|CQUI, LOC6033345|XP_001843808.2|CQUI, LOC6048226|XP_001865174.2|CQUI, LOC6048225|XP_001865176.2|CQUI, LOC6048220|XP_038120639.1|CQUI
OG0000041	LOC108095996|XP_017052831.1|DFIC, LOC108095711|XP_017052372.1|DFIC, LOC108095997|XP_017052832.1|DFIC, LOC108095939|XP_017052765.1|DFIC, LOC108095866|XP_017052659.1|DFIC, LOC108095867|XP_017052660.1|DFIC, LOC108095645|XP_017052300.1|DFIC	LOC6043424|XP_001858991.1|CQUI, LOC6043426|XP_038116385.1|CQUI, LOC6043423|XP_001858986.2|CQUI, LOC6043427|XP_038116386.1|CQUI, LOC6043428|XP_038116387.1|CQUI
OG0000043	LOC108087389|XP_017040220.1|DFIC, LOC108087351|XP_017040180.1|DFIC, LOC108087056|XP_017039721.1|DFIC, LOC108092195|XP_017047211.1|DFIC, LOC108087304|XP_017040112.1|DFIC, LOC108087099|XP_017039770.1|DFIC, LOC108086831|XP_017039366.1|DFIC, LOC108087388|XP_017040219.1|DFIC	LOC119770262|XP_038120732.1|CQUI, LOC6035302|XP_038116309.1|CQUI, LOC6035304|XP_001845522.2|CQUI, LOC6035303|XP_038116308.1|CQUI
OG0000044	LOC108095953|XP_017052779.1|DFIC, LOC108095656|XP_017052310.1|DFIC, LOC108095674|XP_017052331.1|DFIC, LOC108095707|XP_017052368.1|DFIC, LOC108095664|XP_017052318.1|DFIC, LOC108096011|XP_017052849.1|DFIC, LOC108095670|XP_017052324.1|DFIC, LOC108095658|XP_017052312.1|DFIC, LOC108102017|XP_017062104.1|DFIC	LOC6043407|XP_038120989.1|CQUI
OG0000047	LOC108090569|XP_017044803.1|DFIC, LOC108090570|XP_017044804.1|DFIC, LOC108094901|XP_017051236.1|DFIC, LOC108089762|XP_017043641.1|DFIC, LOC108094950|XP_017051302.1|DFIC, LOC108089719|XP_017043575.1|DFIC	LOC6034913|XP_001845179.1|CQUI
OG0000048	LOC108089537|XP_017043362.1|DFIC, LOC108089538|XP_017043363.1|DFIC, LOC108089535|XP_017043361.1|DFIC, LOC108089542|XP_017043368.1|DFIC	LOC6042064|XP_001851216.1|CQUI, LOC6042091|XP_038120615.1|CQUI
OG0000049	LOC108091886|XP_017046759.1|DFIC, LOC108091864|XP_017046732.1|DFIC, LOC108091860|XP_017046729.1|DFIC, LOC108091991|XP_017046904.1|DFIC, LOC108091993|XP_017046906.1|DFIC, LOC108092198|XP_017047214.1|DFIC	LOC119770327|XP_038120923.1|CQUI, LOC6040028|XP_001849502.2|CQUI, LOC6038239|XP_001848065.2|CQUI
OG0000051	LOC108099282|XP_017058161.1|DFIC, LOC108087911|XP_017040982.1|DFIC, LOC108092094|XP_017047073.1|DFIC, LOC108087894|XP_017040960.1|DFIC, LOC108087917|XP_017040992.1|DFIC	LOC6049623|XP_001866350.2|CQUI, LOC6049624|XP_001866351.2|CQUI, LOC6049622|XP_001866349.2|CQUI, LOC6049616|XP_001866343.2|CQUI, LOC6043147|XP_038117609.1|CQUI
OG0000053	LOC108090322|XP_017044423.1|DFIC, LOC108090310|XP_017044412.1|DFIC, LOC108090321|XP_017044422.1|DFIC	LOC6042358|XP_001851486.2|CQUI, LOC6053872|XP_001869889.2|CQUI, LOC6037642|XP_001847529.2|CQUI
OG0000054	LOC108097528|XP_017055365.1|DFIC, LOC108096334|XP_017053362.1|DFIC, LOC108096244|XP_017053162.1|DFIC, LOC108097685|XP_017055644.1|DFIC	LOC6047251|XP_038118267.1|CQUI, LOC6047253|XP_001864335.2|CQUI, LOC6047252|XP_001864334.2|CQUI, LOC6047266|XP_038120120.1|CQUI, LOC6051751|XP_001868138.2|CQUI, LOC6051753|XP_038112406.1|CQUI, LOC6047254|XP_038118865.1|CQUI, LOC6050365|XP_038117140.1|CQUI, LOC6035650|XP_038104780.1|CQUI, LOC6050366|XP_038119770.1|CQUI
OG0000055	LOC108099277|XP_017058154.1|DFIC, LOC108099261|XP_017058124.1|DFIC, LOC108099262|XP_017058125.1|DFIC, LOC108099276|XP_017058153.1|DFIC, LOC108099287|XP_017058168.1|DFIC, LOC108099258|XP_017058122.1|DFIC, LOC108099260|XP_017058123.1|DFIC	LOC6036945|XP_001846918.2|CQUI, LOC6044197|XP_001861742.2|CQUI, LOC6044200|XP_001861740.1|CQUI
OG0000056	LOC108091640|XP_017046431.1|DFIC, LOC108091639|XP_017046430.1|DFIC, LOC108091643|XP_017046434.1|DFIC, LOC108091642|XP_017046433.1|DFIC, LOC108098775|XP_017057398.1|DFIC, LOC108098940|XP_017057636.1|DFIC	LOC6046589|XP_038114917.1|CQUI, LOC6046586|XP_001863762.1|CQUI, LOC6046588|XP_001863763.1|CQUI
OG0000058	LOC108099713|XP_017058824.1|DFIC, LOC108098458|XP_017056851.1|DFIC, LOC108098312|XP_017056614.1|DFIC, LOC108098300|XP_017056599.1|DFIC, LOC108093385|XP_017048892.1|DFIC, LOC108092885|XP_017048216.1|DFIC	LOC6045941|XP_001863218.2|CQUI, LOC6049584|XP_001866314.2|CQUI, LOC119770688|XP_038121949.1|CQUI, LOC6049585|XP_001866315.2|CQUI, LOC6045940|XP_001863217.1|CQUI, LOC6045939|XP_001863216.2|CQUI
OG0000060	LOC108091169|XP_017045705.1|DFIC	LOC6052719|XP_038111213.1|CQUI
OG0000060	LOC108086822|XP_017039354.1|DFIC	LOC6034874|XP_038108204.1|CQUI
OG0000061	LOC108094528|XP_017050618.1|DFIC, LOC108094524|XP_017050615.1|DFIC, LOC108094529|XP_017050620.1|DFIC, LOC108102053|XP_017062173.1|DFIC, LOC108094526|XP_017050616.1|DFIC, LOC108094527|XP_017050617.1|DFIC	LOC6034209|XP_001844562.2|CQUI
OG0000067	LOC108098544|XP_017057031.1|DFIC, LOC108089737|XP_017043607.1|DFIC	LOC6051936|XP_038110342.1|CQUI, LOC6032295|XP_038111782.1|CQUI, LOC6032296|XP_001842932.2|CQUI
OG0000067	LOC108093275|XP_017048744.1|DFIC	LOC6032826|XP_038121454.1|CQUI
OG0000068	LOC108099862|XP_017058999.1|DFIC, LOC108101069|XP_017060747.1|DFIC, LOC108086952|XP_017039554.1|DFIC, LOC108094867|XP_017051178.1|DFIC, LOC108090543|XP_017044766.1|DFIC, LOC108098038|XP_017056186.1|DFIC	LOC6036588|XP_038118645.1|CQUI, LOC6036586|XP_001846619.2|CQUI, LOC6042516|XP_001851810.2|CQUI, LOC6042515|XP_038108176.1|CQUI, LOC6042514|XP_001851807.2|CQUI, LOC6036917|XP_001846892.2|CQUI
OG0000070	LOC108093013|XP_017048405.1|DFIC, LOC108097315|XP_017055021.1|DFIC, LOC108093017|XP_017048410.1|DFIC, LOC108093018|XP_017048411.1|DFIC	LOC6037947|XP_001847798.2|CQUI, LOC6037948|XP_001847799.2|CQUI
OG0000071	LOC108100141|XP_017059383.1|DFIC	LOC119766520|XP_038107045.1|CQUI
OG0000071	LOC108095396|XP_017051968.1|DFIC, LOC108095397|XP_017051969.1|DFIC, LOC108095466|XP_017052069.1|DFIC	LOC6035460|XP_038107044.1|CQUI, LOC6035462|XP_001845648.2|CQUI, LOC6044126|XP_001861681.2|CQUI, LOC6035447|XP_001845634.1|CQUI
OG0000072	LOC108090389|XP_017044527.1|DFIC, LOC108090306|XP_017044405.1|DFIC, LOC108090388|XP_017044526.1|DFIC	LOC6046366|XP_038106922.1|CQUI, LOC6037132|XP_001847069.2|CQUI, LOC6046369|XP_001863585.1|CQUI, LOC6046367|XP_001863584.2|CQUI, LOC6046372|XP_001863588.1|CQUI, LOC6046370|XP_001863586.2|CQUI
OG0000073	LOC108093786|XP_017049554.1|DFIC	LOC6036627|XP_001846655.1|CQUI
OG0000073	LOC108097185|XP_017054817.1|DFIC	LOC6034716|XP_038105946.1|CQUI, LOC6034713|XP_038105974.1|CQUI
OG0000074	LOC108093150|XP_017048585.1|DFIC, LOC108099854|XP_017058989.1|DFIC	LOC6032868|XP_001843393.1|CQUI, LOC6032869|XP_001843394.2|CQUI, LOC6032872|XP_038117359.1|CQUI, LOC119768790|XP_038115896.1|CQUI, LOC119768789|XP_038115895.1|CQUI, LOC6049339|XP_001866118.2|CQUI, LOC119769377|XP_038117358.1|CQUI, LOC6049343|XP_038117357.1|CQUI, LOC6049341|XP_001866122.2|CQUI, LOC6032899|XP_001843424.2|CQUI, LOC6032870|XP_001843395.2|CQUI, LOC6043916|XP_001861478.2|CQUI, LOC6032877|XP_001843402.2|CQUI, LOC6032878|XP_038115901.1|CQUI, LOC119768791|XP_038115897.1|CQUI, LOC6032830|XP_001843365.2|CQUI
OG0000076	LOC108096321|XP_017053338.1|DFIC	LOC6052885|XP_038117932.1|CQUI
OG0000076	LOC108094504|XP_017050597.1|DFIC	LOC119770103|XP_038120268.1|CQUI
OG0000077	LOC108094895|XP_017051224.1|DFIC	LOC6034293|XP_038107616.1|CQUI
OG0000077	LOC108099491|XP_017058540.1|DFIC	LOC119766730|XP_038108150.1|CQUI
OG0000077	LOC108101896|XP_017061947.1|DFIC	LOC6034296|XP_038108770.1|CQUI
OG0000077	LOC108088470|XP_017041744.1|DFIC	LOC6035184|XP_038117374.1|CQUI
OG0000078	LOC108094965|XP_017051317.1|DFIC, LOC108088926|XP_017042437.1|DFIC, LOC108093529|XP_017049111.1|DFIC, LOC108098116|XP_017056325.1|DFIC, LOC108098159|XP_017056384.1|DFIC	LOC6049605|XP_038114648.1|CQUI
OG0000080	LOC108094031|XP_017049951.1|DFIC, LOC108099995|XP_017059184.1|DFIC, LOC108090461|XP_017044643.1|DFIC	LOC6039848|XP_001849353.1|CQUI, LOC6036493|XP_001846542.2|CQUI, LOC6036492|XP_001846541.1|CQUI, LOC6036497|XP_038105714.1|CQUI, LOC6036496|XP_001846545.2|CQUI
OG0000082	LOC108096757|XP_017054106.1|DFIC, LOC108095665|XP_017052319.1|DFIC, LOC108095966|XP_017052798.1|DFIC, LOC108092010|XP_017046931.1|DFIC	LOC6053936|XP_001869938.2|CQUI, LOC6035883|XP_038106135.1|CQUI, LOC6040822|XP_001850162.2|CQUI, LOC6053935|XP_038112245.1|CQUI, LOC6048581|XP_001865480.2|CQUI, LOC6041263|XP_038117473.1|CQUI, LOC6044163|XP_001861715.1|CQUI
OG0000083	LOC108089266|XP_017042925.1|DFIC, LOC108094480|XP_017050969.1|DFIC, LOC108098733|XP_017057353.1|DFIC, LOC108098736|XP_017057355.1|DFIC, LOC108098735|XP_017057354.1|DFIC, LOC108098717|XP_017057324.1|DFIC, LOC108098712|XP_017057316.1|DFIC, LOC108089245|XP_017042898.1|DFIC	LOC6049436|XP_038110738.1|CQUI, LOC6049432|XP_001866193.2|CQUI
OG0000084	LOC108087862|XP_017040935.1|DFIC	LOC6040637|XP_038118743.1|CQUI, LOC6040638|XP_038118742.1|CQUI, LOC6040643|XP_038117287.1|CQUI, LOC6040635|XP_001850003.2|CQUI, LOC6040641|XP_001850001.2|CQUI, LOC6037611|XP_038121017.1|CQUI, LOC6039554|XP_038121068.1|CQUI
OG0000084	LOC108093919|XP_017049775.1|DFIC	LOC6044981|XP_001862405.1|CQUI, LOC6050126|XP_038105300.1|CQUI, LOC6044985|XP_001862409.2|CQUI, LOC6044987|XP_038112285.1|CQUI, LOC6046173|XP_001863404.2|CQUI, LOC6044988|XP_001862412.2|CQUI, LOC6044990|XP_038121275.1|CQUI, LOC6044989|XP_001862413.2|CQUI, LOC6044991|XP_038112291.1|CQUI, LOC6035601|XP_001845751.2|CQUI
OG0000085	LOC108101594|XP_017061495.1|DFIC	LOC6043704|XP_001861330.2|CQUI
OG0000086	LOC108096752|XP_017054097.1|DFIC	LOC6046855|XP_001863974.2|CQUI
OG0000087	LOC108101150|XP_017060862.1|DFIC	LOC6046704|XP_001863865.2|CQUI, LOC6046705|XP_001863866.1|CQUI, LOC6046699|XP_038111910.1|CQUI, LOC6046707|XP_001863868.2|CQUI, LOC6046702|XP_001863863.2|CQUI, LOC6046700|XP_001863862.1|CQUI, LOC6046706|XP_001863867.2|CQUI
OG0000087	LOC108090029|XP_017044014.1|DFIC	LOC6046726|XP_001863885.1|CQUI, LOC6046725|XP_001863884.1|CQUI
OG0000088	LOC108094304|XP_017050312.1|DFIC	LOC6043654|XP_038106206.1|CQUI
OG0000088	LOC108101734|XP_017061675.1|DFIC, LOC108100188|XP_017059448.1|DFIC, LOC108093949|XP_017049834.1|DFIC, LOC108100212|XP_017059477.1|DFIC	LOC119768033|XP_038114253.1|CQUI
OG0000089	LOC108098591|XP_017057133.1|DFIC	LOC6051513|XP_001867948.1|CQUI
OG0000089	LOC108098939|XP_017057635.1|DFIC	LOC6044343|XP_001861873.1|CQUI
OG0000089	LOC108087422|XP_017040258.1|DFIC	LOC6036223|XP_001846298.2|CQUI, LOC6036139|XP_038118377.1|CQUI
OG0000090	LOC108090757|XP_017045079.1|DFIC, LOC108090961|XP_017045394.1|DFIC, LOC108096450|XP_017053542.1|DFIC, LOC108100299|XP_017059587.1|DFIC	LOC6048426|XP_038107457.1|CQUI, LOC6048423|XP_038106295.1|CQUI
OG0000091	LOC108086553|XP_017038985.1|DFIC	LOC6037334|XP_038105758.1|CQUI
OG0000091	LOC108094894|XP_017051228.1|DFIC, LOC108102111|XP_017062264.1|DFIC, LOC108087170|XP_017039900.1|DFIC, LOC108087365|XP_017040194.1|DFIC	LOC6034718|XP_038115256.1|CQUI
