Orthogroup	DFIC.longest_only	BTRY.longest_only
OG0000004	LOC108094043|XP_017049969.1|DFIC, LOC108098156|XP_017056380.1|DFIC	LOC120769473|XP_039952426.1|BTRY, LOC120767484|XP_039949512.1|BTRY, LOC120767487|XP_039949515.1|BTRY, LOC120768718|XP_039951423.1|BTRY, LOC120769475|XP_039952431.1|BTRY, LOC120767491|XP_039949517.1|BTRY, LOC120767493|XP_039949519.1|BTRY, LOC120767483|XP_039949511.1|BTRY, LOC120767488|XP_039949516.1|BTRY, LOC120767471|XP_039949495.1|BTRY, LOC120767485|XP_039949513.1|BTRY, LOC120767563|XP_039949635.1|BTRY, LOC120768722|XP_039951428.1|BTRY
OG0000005	LOC108094052|XP_017049981.1|DFIC	LOC120767520|XP_039949548.1|BTRY, LOC120767478|XP_039949502.1|BTRY, LOC120767569|XP_039949639.1|BTRY, LOC120767514|XP_039949541.1|BTRY, LOC120767522|XP_039949550.1|BTRY, LOC120767515|XP_039949542.1|BTRY, LOC120767521|XP_039949549.1|BTRY, LOC120767519|XP_039949547.1|BTRY, LOC120767523|XP_039949552.1|BTRY, LOC120767518|XP_039949546.1|BTRY, LOC120767525|XP_039949553.1|BTRY, LOC120767517|XP_039949545.1|BTRY, LOC120767516|XP_039949544.1|BTRY
OG0000006	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC	LOC120781340|XP_039969478.1|BTRY
OG0000007	LOC108099856|XP_017058991.1|DFIC	LOC120778027|XP_039965634.1|BTRY
OG0000007	LOC108093252|XP_017048717.1|DFIC	LOC120777830|XP_039965302.1|BTRY, LOC120778913|XP_039966894.1|BTRY, LOC120777887|XP_039965383.1|BTRY, LOC120777888|XP_039965385.1|BTRY, LOC120778697|XP_039966585.1|BTRY
OG0000007	LOC108093253|XP_017048718.1|DFIC, LOC108093241|XP_017048705.1|DFIC, LOC108093034|XP_017048427.1|DFIC, LOC108093033|XP_017048426.1|DFIC, LOC108093169|XP_017048611.1|DFIC, LOC108093170|XP_017048612.1|DFIC, LOC108093261|XP_017048727.1|DFIC	LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY
OG0000007	LOC108093260|XP_017048726.1|DFIC, LOC108089978|XP_017043968.1|DFIC, LOC108090582|XP_017044820.1|DFIC, LOC108099497|XP_017058547.1|DFIC, LOC108099495|XP_017058545.1|DFIC, LOC108099496|XP_017058546.1|DFIC, LOC108088540|XP_017041874.1|DFIC, LOC108089778|XP_017043661.1|DFIC, LOC108088955|XP_017042464.1|DFIC, LOC108088950|XP_017042460.1|DFIC, LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC, LOC108093152|XP_017048588.1|DFIC, LOC108093153|XP_017048589.1|DFIC	LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY
OG0000008	LOC108101034|XP_017060691.1|DFIC	LOC120782797|XP_039971208.1|BTRY
OG0000008	LOC108100331|XP_017059630.1|DFIC	LOC120778930|XP_039966911.1|BTRY
OG0000008	LOC108100333|XP_017059632.1|DFIC	LOC120778933|XP_039966914.1|BTRY
OG0000008	LOC108091741|XP_017046574.1|DFIC, LOC108091742|XP_017046575.1|DFIC	LOC120775736|XP_039961992.1|BTRY, LOC120778053|XP_039965709.1|BTRY, LOC120775708|XP_039961957.1|BTRY, LOC120775726|XP_039961980.1|BTRY, LOC120775719|XP_039961968.1|BTRY
OG0000008	LOC108091746|XP_017046577.1|DFIC	LOC120778217|XP_039965948.1|BTRY
OG0000008	LOC108091769|XP_017046605.1|DFIC	LOC120780533|XP_039968729.1|BTRY
OG0000008	LOC108091757|XP_017046589.1|DFIC	LOC120778133|XP_039965828.1|BTRY
OG0000008	LOC108091754|XP_017046587.1|DFIC	LOC120780988|XP_039969143.1|BTRY
OG0000008	LOC108091767|XP_017046601.1|DFIC	LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY
OG0000009	LOC108101115|XP_017060823.1|DFIC	LOC120780063|XP_039968275.1|BTRY
OG0000009	LOC108101125|XP_017060838.1|DFIC, LOC108093288|XP_017048753.1|DFIC, LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC, LOC108101116|XP_017060824.1|DFIC	LOC120782593|XP_039970879.1|BTRY
OG0000009	LOC108101809|XP_017061774.1|DFIC, LOC108088079|XP_017041220.1|DFIC, LOC108086769|XP_017039304.1|DFIC, LOC108094178|XP_017050126.1|DFIC, LOC108086653|XP_017039126.1|DFIC, LOC108086655|XP_017039128.1|DFIC, LOC108086610|XP_017039074.1|DFIC	LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY
OG0000010	LOC108098255|XP_017056544.1|DFIC	LOC120767529|XP_039949555.1|BTRY, LOC120767531|XP_039949557.1|BTRY
OG0000010	LOC108101428|XP_017061247.1|DFIC	LOC120767528|XP_039949554.1|BTRY
OG0000012	LOC108096904|XP_017054341.1|DFIC	LOC120772295|XP_039956737.1|BTRY
OG0000012	LOC108096903|XP_017054340.1|DFIC	LOC120771372|XP_039955267.1|BTRY
OG0000012	LOC108096929|XP_017054370.1|DFIC	LOC120772056|XP_039956371.1|BTRY
OG0000012	LOC108096943|XP_017054393.1|DFIC	LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY
OG0000012	LOC108096563|XP_017053746.1|DFIC, LOC108096571|XP_017053756.1|DFIC, LOC108086628|XP_017039092.1|DFIC, LOC108086618|XP_017039083.1|DFIC, LOC108086755|XP_017039283.1|DFIC, LOC108086630|XP_017039094.1|DFIC, LOC108086627|XP_017039091.1|DFIC, LOC108086756|XP_017039284.1|DFIC	LOC120772529|XP_039957131.1|BTRY
OG0000013	LOC108101557|XP_017061445.1|DFIC	LOC120770990|XP_039954671.1|BTRY
OG0000013	LOC108101682|XP_017061593.1|DFIC	LOC120776120|XP_039962578.1|BTRY
OG0000013	LOC108098830|XP_017057474.1|DFIC	LOC120769789|XP_039952912.1|BTRY
OG0000013	LOC108086910|XP_017039470.1|DFIC	LOC120778592|XP_039966397.1|BTRY
OG0000013	LOC108087118|XP_017039788.1|DFIC	LOC120782170|XP_039970244.1|BTRY
OG0000013	LOC108091996|XP_017046910.1|DFIC	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY
OG0000013	LOC108102250|XP_017062487.1|DFIC, LOC108087940|XP_017041016.1|DFIC	LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY
OG0000015	LOC108098206|XP_017056435.1|DFIC, LOC108098169|XP_017056391.1|DFIC, LOC108098170|XP_017056392.1|DFIC, LOC108092527|XP_017047639.1|DFIC, LOC108094767|XP_017051032.1|DFIC, LOC108094097|XP_017050010.1|DFIC, LOC108101938|XP_017062014.1|DFIC, LOC108101948|XP_017062025.1|DFIC, LOC108091404|XP_017046083.1|DFIC, LOC108091405|XP_017046084.1|DFIC, LOC108094095|XP_017050008.1|DFIC, LOC108094122|XP_017050032.1|DFIC, LOC108099798|XP_017058915.1|DFIC, LOC108099788|XP_017058906.1|DFIC, LOC108099784|XP_017058902.1|DFIC, LOC108099708|XP_017058819.1|DFIC, LOC108099813|XP_017058931.1|DFIC, LOC108099796|XP_017058913.1|DFIC, LOC108099792|XP_017058910.1|DFIC, LOC108099709|XP_017058820.1|DFIC, LOC108099710|XP_017058821.1|DFIC, LOC108099711|XP_017058822.1|DFIC, LOC108100911|XP_017060514.1|DFIC, LOC108100840|XP_017060402.1|DFIC, LOC108100786|XP_017060316.1|DFIC, LOC108100835|XP_017060395.1|DFIC, LOC108100853|XP_017060421.1|DFIC, LOC108100833|XP_017060393.1|DFIC, LOC108086461|XP_017038876.1|DFIC, LOC108098714|XP_017057318.1|DFIC, LOC108094483|XP_017050559.1|DFIC	LOC120767697|XP_039949823.1|BTRY, LOC120778736|XP_039966635.1|BTRY
OG0000016	LOC108091644|XP_017046435.1|DFIC, LOC108095161|XP_017051608.1|DFIC	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY
OG0000016	LOC108088049|XP_017041175.1|DFIC	LOC120774116|XP_039959415.1|BTRY
OG0000016	LOC108091135|XP_017045658.1|DFIC	LOC120775405|XP_039961502.1|BTRY
OG0000016	LOC108096392|XP_017053452.1|DFIC	LOC120767942|XP_039950259.1|BTRY
OG0000016	LOC108093583|XP_017049197.1|DFIC	LOC120773675|XP_039958634.1|BTRY
OG0000017	LOC108098017|XP_017056155.1|DFIC	LOC120774348|XP_039959864.1|BTRY, LOC120774347|XP_039959863.1|BTRY
OG0000017	LOC108101533|XP_017061396.1|DFIC, LOC108099991|XP_017059177.1|DFIC	LOC120780459|XP_039968667.1|BTRY, LOC120766570|XP_039948096.1|BTRY, LOC120775370|XP_039961466.1|BTRY, LOC120775369|XP_039961465.1|BTRY, LOC120773495|XP_039958373.1|BTRY, LOC120773498|XP_039958374.1|BTRY, LOC120773492|XP_039958371.1|BTRY, LOC120773493|XP_039958372.1|BTRY, LOC120771902|XP_039956113.1|BTRY, LOC120780773|XP_039968962.1|BTRY, LOC120775410|XP_039961512.1|BTRY, LOC120774945|XP_039960759.1|BTRY, LOC120774427|XP_039959995.1|BTRY, LOC120781036|XP_039969147.1|BTRY
OG0000018	LOC108093126|XP_017048560.1|DFIC	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY
OG0000018	LOC108093128|XP_017048562.1|DFIC	LOC120777489|XP_039964764.1|BTRY
OG0000018	LOC108093130|XP_017048564.1|DFIC	LOC120777549|XP_039964872.1|BTRY
OG0000018	LOC108093137|XP_017048571.1|DFIC, LOC108093131|XP_017048565.1|DFIC, LOC108093271|XP_017048739.1|DFIC, LOC108093136|XP_017048569.1|DFIC	LOC120777833|XP_039965304.1|BTRY, LOC120777929|XP_039965446.1|BTRY, LOC120777894|XP_039965399.1|BTRY
OG0000019	LOC108086541|XP_017038967.1|DFIC, LOC108086542|XP_017038968.1|DFIC, LOC108086544|XP_017038971.1|DFIC, LOC108086535|XP_017038961.1|DFIC, LOC108086543|XP_017038970.1|DFIC, LOC108086538|XP_017038965.1|DFIC, LOC108086540|XP_017038966.1|DFIC	LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY
OG0000020	LOC108086571|XP_017039016.1|DFIC	LOC120772465|XP_039957032.1|BTRY
OG0000020	LOC108100979|XP_017060622.1|DFIC	LOC120782274|XP_039970399.1|BTRY
OG0000020	LOC108101093|XP_017060792.1|DFIC	LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY
OG0000021	LOC108095541|XP_017052159.1|DFIC	LOC120776121|XP_039962581.1|BTRY
OG0000021	LOC108091979|XP_017046877.1|DFIC	LOC120780423|XP_039968662.1|BTRY
OG0000021	LOC108088013|XP_017041113.1|DFIC, LOC108094694|XP_017050914.1|DFIC	LOC120766828|XP_039948474.1|BTRY
OG0000022	LOC108093677|XP_017049345.1|DFIC	LOC120770783|XP_039954296.1|BTRY
OG0000022	LOC108100306|XP_017059594.1|DFIC, LOC108100305|XP_017059593.1|DFIC, LOC108100300|XP_017059588.1|DFIC, LOC108100303|XP_017059590.1|DFIC, LOC108100308|XP_017059596.1|DFIC	LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY
OG0000023	LOC108096128|XP_017052994.1|DFIC, LOC108096606|XP_017053802.1|DFIC, LOC108096129|XP_017052995.1|DFIC	LOC120782575|XP_039970851.1|BTRY
OG0000023	LOC108096118|XP_017052982.1|DFIC	LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY
OG0000023	LOC108096119|XP_017052984.1|DFIC	LOC120766880|XP_039948548.1|BTRY
OG0000023	LOC108096117|XP_017052981.1|DFIC	LOC120774273|XP_039959699.1|BTRY
OG0000023	LOC108096114|XP_017052979.1|DFIC	LOC120766882|XP_039948559.1|BTRY
OG0000024	LOC108086469|XP_017038885.1|DFIC, LOC108086411|XP_017038802.1|DFIC, LOC108086410|XP_017038801.1|DFIC, LOC108086467|XP_017038883.1|DFIC	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY
OG0000024	LOC108086472|XP_017038887.1|DFIC	LOC120771072|XP_039954818.1|BTRY
OG0000024	LOC108098296|XP_017056595.1|DFIC, LOC108086381|XP_017038771.1|DFIC	LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY
OG0000025	LOC108088651|XP_017042067.1|DFIC	LOC120774110|XP_039959404.1|BTRY
OG0000026	LOC108093407|XP_017048931.1|DFIC	LOC120773924|XP_039959055.1|BTRY
OG0000026	LOC108101707|XP_017061633.1|DFIC, LOC108101666|XP_017061574.1|DFIC, LOC108091826|XP_017046693.1|DFIC, LOC108098549|XP_017057035.1|DFIC, LOC108098463|XP_017056857.1|DFIC	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY
OG0000027	LOC108100821|XP_017060378.1|DFIC	LOC120768378|XP_039950978.1|BTRY
OG0000027	LOC108100819|XP_017060376.1|DFIC	LOC120768612|XP_039951313.1|BTRY
OG0000027	LOC108100820|XP_017060377.1|DFIC	LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY
OG0000028	LOC108095285|XP_017051819.1|DFIC	LOC120777924|XP_039965441.1|BTRY
OG0000028	LOC108089312|XP_017042978.1|DFIC	LOC120778200|XP_039965877.1|BTRY, LOC120779125|XP_039967253.1|BTRY, LOC120777352|XP_039964542.1|BTRY, LOC120777354|XP_039964543.1|BTRY, LOC120776936|XP_039963947.1|BTRY
OG0000029	LOC108090681|XP_017044956.1|DFIC, LOC108100972|XP_017060614.1|DFIC, LOC108096726|XP_017054059.1|DFIC, LOC108099785|XP_017058903.1|DFIC	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY
OG0000030	LOC108093480|XP_017049055.1|DFIC, LOC108100317|XP_017059651.1|DFIC, LOC108093469|XP_017049043.1|DFIC, LOC108093479|XP_017049053.1|DFIC	LOC120767592|XP_039949674.1|BTRY, LOC120767594|XP_039949677.1|BTRY
OG0000030	LOC108092343|XP_017047369.1|DFIC, LOC108092288|XP_017047312.1|DFIC	LOC120773026|XP_039957889.1|BTRY
OG0000030	LOC108087621|XP_017040552.1|DFIC	LOC120773022|XP_039957885.1|BTRY, LOC120779311|XP_039967454.1|BTRY, LOC120772876|XP_039957652.1|BTRY
OG0000030	LOC108091341|XP_017045978.1|DFIC	LOC120773099|XP_039958004.1|BTRY, LOC120773095|XP_039957997.1|BTRY, LOC120773096|XP_039957998.1|BTRY, LOC120773098|XP_039958003.1|BTRY
OG0000030	LOC108088560|XP_017041895.1|DFIC	LOC120776112|XP_039962547.1|BTRY
OG0000031	LOC108089228|XP_017042875.1|DFIC	LOC120768292|XP_039950853.1|BTRY, LOC120779992|XP_039968213.1|BTRY, LOC120779995|XP_039968216.1|BTRY
OG0000032	LOC108087889|XP_017040956.1|DFIC	LOC120779035|XP_039967132.1|BTRY
OG0000032	LOC108087896|XP_017040963.1|DFIC, LOC108087899|XP_017040966.1|DFIC	LOC120782780|XP_039971181.1|BTRY
OG0000034	LOC108098181|XP_017056403.1|DFIC, LOC108090289|XP_017044389.1|DFIC, LOC108098175|XP_017056397.1|DFIC, LOC108098172|XP_017056394.1|DFIC, LOC108098179|XP_017056401.1|DFIC, LOC108098285|XP_017056581.1|DFIC, LOC108101136|XP_017060848.1|DFIC, LOC108098386|XP_017056743.1|DFIC, LOC108087083|XP_017039752.1|DFIC, LOC108087380|XP_017040209.1|DFIC, LOC108093450|XP_017049013.1|DFIC	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY
OG0000035	LOC108090078|XP_017044070.1|DFIC	LOC120780256|XP_039968450.1|BTRY
OG0000036	LOC108096138|XP_017053007.1|DFIC	LOC120776996|XP_039964035.1|BTRY
OG0000036	LOC108097979|XP_017056090.1|DFIC	LOC120778788|XP_039966724.1|BTRY
OG0000036	LOC108098533|XP_017057003.1|DFIC	LOC120782503|XP_039970745.1|BTRY
OG0000036	LOC108087237|XP_017040017.1|DFIC	LOC120766491|XP_039947977.1|BTRY, LOC120766392|XP_039947768.1|BTRY
OG0000037	LOC108087844|XP_017040913.1|DFIC	LOC120770870|XP_039954430.1|BTRY
OG0000038	LOC108088854|XP_017042318.1|DFIC	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY
OG0000039	LOC108097516|XP_017055329.1|DFIC	LOC120775164|XP_039961145.1|BTRY, LOC120775260|XP_039961275.1|BTRY, LOC120775925|XP_039962264.1|BTRY, LOC120774821|XP_039960561.1|BTRY, LOC120774830|XP_039960575.1|BTRY, LOC120774822|XP_039960562.1|BTRY
OG0000040	LOC108092229|XP_017047255.1|DFIC, LOC108087305|XP_017040113.1|DFIC, LOC108087307|XP_017040114.1|DFIC, LOC108092211|XP_017047228.1|DFIC, LOC108092212|XP_017047230.1|DFIC, LOC108092206|XP_017047224.1|DFIC, LOC108102071|XP_017062201.1|DFIC, LOC108100764|XP_017060292.1|DFIC	LOC120782054|XP_039970140.1|BTRY, LOC120780117|XP_039968332.1|BTRY
OG0000041	LOC108095996|XP_017052831.1|DFIC, LOC108095711|XP_017052372.1|DFIC, LOC108095997|XP_017052832.1|DFIC, LOC108095939|XP_017052765.1|DFIC, LOC108095866|XP_017052659.1|DFIC, LOC108095867|XP_017052660.1|DFIC, LOC108095645|XP_017052300.1|DFIC	LOC120768580|XP_039951273.1|BTRY, LOC120768566|XP_039951251.1|BTRY, LOC120768557|XP_039951240.1|BTRY, LOC120770588|XP_039954108.1|BTRY, LOC120768406|XP_039951020.1|BTRY, LOC120771594|XP_039955600.1|BTRY, LOC120769143|XP_039951952.1|BTRY, LOC120782690|XP_039971019.1|BTRY, LOC120766331|XP_039947690.1|BTRY, LOC120780438|XP_039968650.1|BTRY, LOC120782600|XP_039970890.1|BTRY, LOC120768545|XP_039951225.1|BTRY
OG0000043	LOC108087389|XP_017040220.1|DFIC, LOC108087351|XP_017040180.1|DFIC, LOC108087056|XP_017039721.1|DFIC	LOC120768156|XP_039950653.1|BTRY, LOC120768140|XP_039950635.1|BTRY
OG0000043	LOC108092195|XP_017047211.1|DFIC, LOC108087304|XP_017040112.1|DFIC, LOC108087099|XP_017039770.1|DFIC, LOC108086831|XP_017039366.1|DFIC, LOC108087388|XP_017040219.1|DFIC	LOC120766218|XP_039947526.1|BTRY, LOC120782788|XP_039971191.1|BTRY, LOC120782185|XP_039970262.1|BTRY, LOC120782790|XP_039971196.1|BTRY, LOC120782789|XP_039971192.1|BTRY
OG0000044	LOC108095953|XP_017052779.1|DFIC	LOC120772588|XP_039957233.1|BTRY
OG0000044	LOC108095656|XP_017052310.1|DFIC, LOC108095674|XP_017052331.1|DFIC, LOC108095707|XP_017052368.1|DFIC, LOC108095664|XP_017052318.1|DFIC, LOC108096011|XP_017052849.1|DFIC, LOC108095670|XP_017052324.1|DFIC, LOC108095658|XP_017052312.1|DFIC	LOC120777147|XP_039964227.1|BTRY, LOC120772935|XP_039957773.1|BTRY, LOC120772936|XP_039957774.1|BTRY, LOC120772094|XP_039956434.1|BTRY, LOC120772937|XP_039957775.1|BTRY
OG0000044	LOC108102017|XP_017062104.1|DFIC	LOC120782367|XP_039970539.1|BTRY
OG0000045	LOC108099782|XP_017058900.1|DFIC	LOC120777594|XP_039964965.1|BTRY, LOC120778683|XP_039966553.1|BTRY, LOC120778456|XP_039966187.1|BTRY, LOC120777163|XP_039964247.1|BTRY
OG0000045	LOC108099776|XP_017058894.1|DFIC, LOC108099783|XP_017058901.1|DFIC	LOC120778581|XP_039966382.1|BTRY
OG0000045	LOC108089346|XP_017043016.1|DFIC	LOC120778222|XP_039965914.1|BTRY
OG0000045	LOC108089335|XP_017043004.1|DFIC	LOC120777964|XP_039965517.1|BTRY
OG0000047	LOC108090569|XP_017044803.1|DFIC, LOC108090570|XP_017044804.1|DFIC, LOC108094901|XP_017051236.1|DFIC, LOC108089762|XP_017043641.1|DFIC, LOC108094950|XP_017051302.1|DFIC, LOC108089719|XP_017043575.1|DFIC	LOC120775795|XP_039962073.1|BTRY
OG0000048	LOC108089539|XP_017043364.1|DFIC, LOC108089337|XP_017043007.1|DFIC	LOC120778037|XP_039965645.1|BTRY, LOC120778038|XP_039965646.1|BTRY
OG0000048	LOC108089537|XP_017043362.1|DFIC, LOC108089538|XP_017043363.1|DFIC, LOC108089535|XP_017043361.1|DFIC	LOC120770488|XP_039953937.1|BTRY, LOC120782877|XP_039971357.1|BTRY, LOC120777798|XP_039965264.1|BTRY, LOC120778212|XP_039965903.1|BTRY, LOC120777799|XP_039965266.1|BTRY, LOC120778322|XP_039966052.1|BTRY, LOC120778227|XP_039965918.1|BTRY, LOC120778460|XP_039966194.1|BTRY
OG0000048	LOC108089542|XP_017043368.1|DFIC	LOC120770486|XP_039953934.1|BTRY
OG0000049	LOC108091886|XP_017046759.1|DFIC	LOC120782870|XP_039971347.1|BTRY
OG0000049	LOC108091864|XP_017046732.1|DFIC	LOC120782209|XP_039970301.1|BTRY
OG0000049	LOC108091860|XP_017046729.1|DFIC	LOC120781673|XP_039969832.1|BTRY
OG0000049	LOC108091991|XP_017046904.1|DFIC, LOC108091993|XP_017046906.1|DFIC	LOC120782186|XP_039970263.1|BTRY, LOC120782627|XP_039970929.1|BTRY
OG0000049	LOC108092198|XP_017047214.1|DFIC	LOC120772847|XP_039957638.1|BTRY
