Orthogroup	DFIC.longest_only	DBUS.longest_only
OG0000007	LOC108093241|XP_017048705.1|DFIC, LOC108093034|XP_017048427.1|DFIC, LOC108093033|XP_017048426.1|DFIC, LOC108093169|XP_017048611.1|DFIC, LOC108093170|XP_017048612.1|DFIC, LOC108093261|XP_017048727.1|DFIC	LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS
OG0000007	LOC108093260|XP_017048726.1|DFIC	LOC108595911|XP_017836691.1|DBUS
OG0000007	LOC108088955|XP_017042464.1|DFIC, LOC108088950|XP_017042460.1|DFIC, LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC	LOC117134784|XP_033149441.1|DBUS
OG0000008	LOC108101034|XP_017060691.1|DFIC	LOC108602201|XP_017845739.1|DBUS
OG0000008	LOC108100331|XP_017059630.1|DFIC	LOC108599783|XP_017842330.1|DBUS
OG0000008	LOC108093477|XP_017049051.1|DFIC	LOC108597994|XP_017840102.1|DBUS
OG0000008	LOC108091741|XP_017046574.1|DFIC, LOC108091742|XP_017046575.1|DFIC	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS
OG0000008	LOC108091769|XP_017046605.1|DFIC	LOC108601548|XP_017844935.1|DBUS
OG0000008	LOC108091757|XP_017046589.1|DFIC	LOC108604418|XP_033150077.1|DBUS
OG0000008	LOC108091754|XP_017046587.1|DFIC	LOC108602531|XP_017846153.1|DBUS
OG0000008	LOC108091767|XP_017046601.1|DFIC	LOC108602012|XP_017845504.1|DBUS
OG0000009	LOC108101115|XP_017060823.1|DFIC	LOC108604020|XP_017848755.1|DBUS
OG0000009	LOC108101125|XP_017060838.1|DFIC	LOC108601959|XP_017845435.1|DBUS
OG0000009	LOC108093288|XP_017048753.1|DFIC	LOC108601444|XP_017844830.1|DBUS
OG0000009	LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC, LOC108101116|XP_017060824.1|DFIC	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS
OG0000009	LOC108101809|XP_017061774.1|DFIC	LOC108595579|XP_017836330.1|DBUS
OG0000009	LOC108086769|XP_017039304.1|DFIC	LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS
OG0000010	LOC108098255|XP_017056544.1|DFIC, LOC108086289|XP_017038672.1|DFIC	LOC117134729|XP_033149263.1|DBUS
OG0000011	LOC108098799|XP_017057429.1|DFIC	LOC108599014|XP_017841282.1|DBUS
OG0000012	LOC108096904|XP_017054341.1|DFIC	LOC108595899|XP_017836677.1|DBUS
OG0000012	LOC108096903|XP_017054340.1|DFIC	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS
OG0000012	LOC108096929|XP_017054370.1|DFIC	LOC108595898|XP_017836676.1|DBUS
OG0000012	LOC108096943|XP_017054393.1|DFIC	LOC108595900|XP_017836679.1|DBUS
OG0000012	LOC108096563|XP_017053746.1|DFIC, LOC108096571|XP_017053756.1|DFIC	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS
OG0000012	LOC108086628|XP_017039092.1|DFIC, LOC108086618|XP_017039083.1|DFIC, LOC108086755|XP_017039283.1|DFIC, LOC108086630|XP_017039094.1|DFIC	LOC108597255|XP_017839199.1|DBUS
OG0000012	LOC108086627|XP_017039091.1|DFIC, LOC108086756|XP_017039284.1|DFIC	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS
OG0000013	LOC108101557|XP_017061445.1|DFIC	LOC108596692|XP_017838201.1|DBUS
OG0000013	LOC108101682|XP_017061593.1|DFIC	LOC108606235|XP_017851657.1|DBUS
OG0000013	LOC108098830|XP_017057474.1|DFIC	LOC108603181|XP_017847228.1|DBUS
OG0000013	LOC108086910|XP_017039470.1|DFIC	LOC108599948|XP_017842685.1|DBUS
OG0000013	LOC108087118|XP_017039788.1|DFIC	LOC108603387|XP_017847647.1|DBUS
OG0000013	LOC108102250|XP_017062487.1|DFIC, LOC108087940|XP_017041016.1|DFIC	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS
OG0000015	LOC108098169|XP_017056391.1|DFIC, LOC108098170|XP_017056392.1|DFIC	LOC108605188|XP_017850271.1|DBUS
OG0000016	LOC108091644|XP_017046435.1|DFIC	LOC108603000|XP_017846884.1|DBUS
OG0000016	LOC108095161|XP_017051608.1|DFIC	LOC108596111|XP_017837026.1|DBUS
OG0000016	LOC108088049|XP_017041175.1|DFIC	LOC108603521|XP_017847904.1|DBUS
OG0000016	LOC108090474|XP_017044659.1|DFIC	LOC108596316|XP_017837414.1|DBUS
OG0000016	LOC108092889|XP_017048224.1|DFIC	LOC108606266|XP_017851714.1|DBUS
OG0000016	LOC108091135|XP_017045658.1|DFIC	LOC108596191|XP_017837194.1|DBUS
OG0000016	LOC108096392|XP_017053452.1|DFIC	LOC108601639|XP_017845028.2|DBUS
OG0000016	LOC108093583|XP_017049197.1|DFIC	LOC108599665|XP_017842156.1|DBUS
OG0000017	LOC108099991|XP_017059177.1|DFIC	LOC108594623|XP_017835255.1|DBUS
OG0000017	LOC108095642|XP_017052296.1|DFIC	LOC108601423|XP_017844811.1|DBUS, LOC108601498|XP_033150126.1|DBUS, LOC108601497|XP_017844884.1|DBUS
OG0000017	LOC108087716|XP_017040726.1|DFIC	LOC108594615|XP_017835248.1|DBUS
OG0000017	LOC108099990|XP_017059176.1|DFIC	LOC108595879|XP_017836658.1|DBUS
OG0000017	LOC108094147|XP_017050074.1|DFIC, LOC108094148|XP_017050075.1|DFIC	LOC108607612|XP_017854053.1|DBUS
OG0000018	LOC108093126|XP_017048560.1|DFIC	LOC108599199|XP_017841484.1|DBUS
OG0000018	LOC108093128|XP_017048562.1|DFIC	LOC108597971|XP_017840076.1|DBUS
OG0000018	LOC108093130|XP_017048564.1|DFIC	LOC108599156|XP_017841431.1|DBUS
OG0000018	LOC108093137|XP_017048571.1|DFIC, LOC108093131|XP_017048565.1|DFIC, LOC108093271|XP_017048739.1|DFIC, LOC108093136|XP_017048569.1|DFIC	LOC108599172|XP_033149319.1|DBUS, LOC108599151|XP_017841428.1|DBUS, LOC108599053|XP_017841321.1|DBUS
OG0000019	LOC108086541|XP_017038967.1|DFIC	LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS
OG0000019	LOC108086535|XP_017038961.1|DFIC	LOC108602931|XP_017846763.1|DBUS
OG0000019	LOC108086543|XP_017038970.1|DFIC	LOC108602936|XP_017846767.1|DBUS
OG0000019	LOC108086538|XP_017038965.1|DFIC, LOC108086540|XP_017038966.1|DFIC	LOC108602933|XP_017846765.1|DBUS
OG0000020	LOC108086571|XP_017039016.1|DFIC	LOC108604342|XP_017849258.1|DBUS
OG0000020	LOC108087826|XP_017040886.1|DFIC	LOC108594958|XP_017835581.1|DBUS
OG0000020	LOC108100979|XP_017060622.1|DFIC	LOC108607439|XP_017853757.2|DBUS
OG0000020	LOC108101093|XP_017060792.1|DFIC	LOC108603823|XP_017848442.1|DBUS
OG0000020	LOC108102060|XP_017062180.1|DFIC	LOC108604274|XP_033150157.1|DBUS, LOC108603677|XP_033150131.1|DBUS
OG0000020	LOC108089992|XP_017043983.1|DFIC, LOC108101220|XP_017060958.1|DFIC	LOC108607440|XP_017853760.2|DBUS
OG0000021	LOC108090792|XP_017045128.1|DFIC	LOC108595009|XP_017835632.1|DBUS
OG0000021	LOC108090653|XP_017044920.1|DFIC	LOC108595428|XP_017836145.1|DBUS
OG0000021	LOC108093638|XP_017049284.1|DFIC	LOC108594982|XP_017835604.1|DBUS
OG0000021	LOC108095541|XP_017052159.1|DFIC	LOC108605475|XP_017850651.1|DBUS
OG0000021	LOC108091979|XP_017046877.1|DFIC	LOC108602127|XP_017845643.1|DBUS
OG0000021	LOC108094694|XP_017050914.1|DFIC	LOC108606823|XP_017852795.1|DBUS
OG0000022	LOC108093677|XP_017049345.1|DFIC	LOC108595778|XP_017836559.1|DBUS
OG0000022	LOC108100306|XP_017059594.1|DFIC, LOC108100305|XP_017059593.1|DFIC, LOC108100300|XP_017059588.1|DFIC, LOC108100303|XP_017059590.1|DFIC, LOC108100308|XP_017059596.1|DFIC	LOC108599021|XP_017841291.1|DBUS, LOC108599849|XP_017842466.2|DBUS, LOC108599851|XP_017842468.2|DBUS, LOC108597894|XP_033149700.1|DBUS
OG0000023	LOC108096120|XP_017052985.1|DFIC	LOC117134624|XP_033150075.1|DBUS
OG0000023	LOC108096122|XP_017052987.1|DFIC, LOC108096106|XP_017052971.1|DFIC	LOC108601632|XP_017845020.1|DBUS
OG0000023	LOC108096128|XP_017052994.1|DFIC	LOC108604301|XP_017849208.1|DBUS
OG0000023	LOC108096606|XP_017053802.1|DFIC	LOC108596143|XP_017837125.1|DBUS
OG0000023	LOC108096129|XP_017052995.1|DFIC	LOC108604433|XP_017849396.1|DBUS
OG0000023	LOC108096118|XP_017052982.1|DFIC	LOC108601245|XP_033150074.1|DBUS
OG0000023	LOC108096119|XP_017052984.1|DFIC	LOC108602727|XP_017846368.1|DBUS
OG0000023	LOC108096117|XP_017052981.1|DFIC	LOC108602726|XP_017846367.1|DBUS
OG0000023	LOC108096114|XP_017052979.1|DFIC	LOC117134644|XP_033150071.1|DBUS
OG0000024	LOC108086472|XP_017038887.1|DFIC	LOC108595136|XP_017835788.1|DBUS
OG0000024	LOC108098296|XP_017056595.1|DFIC	LOC108596281|XP_017837347.1|DBUS
OG0000024	LOC108094860|XP_017051169.1|DFIC	LOC108594614|XP_017835247.1|DBUS, LOC108594611|XP_017835243.1|DBUS
OG0000025	LOC108088651|XP_017042067.1|DFIC	LOC108606718|XP_017852587.1|DBUS, LOC108607483|XP_017853815.1|DBUS
OG0000026	LOC108091247|XP_017045848.1|DFIC	LOC108606562|XP_017852268.1|DBUS
OG0000026	LOC108093407|XP_017048931.1|DFIC	LOC108597443|XP_017839499.1|DBUS
OG0000026	LOC108101707|XP_017061633.1|DFIC, LOC108101666|XP_017061574.1|DFIC, LOC108091826|XP_017046693.1|DFIC	LOC108606994|XP_017853058.1|DBUS, LOC108606996|XP_017853059.2|DBUS, LOC108606997|XP_017853060.1|DBUS
OG0000026	LOC108098549|XP_017057035.1|DFIC, LOC108098463|XP_017056857.1|DFIC	LOC108602219|XP_017845755.1|DBUS
OG0000027	LOC108100821|XP_017060378.1|DFIC	LOC108600961|XP_017844639.1|DBUS
OG0000027	LOC108100819|XP_017060376.1|DFIC	LOC108608302|XP_017855118.1|DBUS
OG0000027	LOC108100820|XP_017060377.1|DFIC	LOC108600155|XP_017843044.1|DBUS
OG0000028	LOC108095285|XP_017051819.1|DFIC	LOC108598250|XP_017840354.1|DBUS
OG0000028	LOC108089312|XP_017042978.1|DFIC	LOC108597900|XP_017840008.2|DBUS
OG0000029	LOC108099785|XP_017058903.1|DFIC	LOC108599285|XP_017841572.1|DBUS
OG0000030	LOC108093480|XP_017049055.1|DFIC, LOC108100317|XP_017059651.1|DFIC	LOC108608102|XP_033150830.1|DBUS
OG0000030	LOC108092343|XP_017047369.1|DFIC, LOC108092288|XP_017047312.1|DFIC	LOC108595036|XP_017835704.1|DBUS, LOC108595111|XP_017835820.1|DBUS
OG0000030	LOC108087621|XP_017040552.1|DFIC	LOC108594814|XP_017835442.1|DBUS, LOC108594815|XP_017835443.1|DBUS, LOC108594821|XP_033149207.1|DBUS, LOC108594803|XP_033149218.1|DBUS, LOC108594804|XP_033149217.1|DBUS
OG0000030	LOC108091341|XP_017045978.1|DFIC	LOC108605352|XP_017850510.1|DBUS
OG0000031	LOC108087846|XP_017040950.1|DFIC, LOC108094523|XP_017050614.1|DFIC, LOC108100476|XP_017059897.1|DFIC	LOC108603962|XP_017848657.1|DBUS, LOC108603979|XP_017848698.2|DBUS
OG0000031	LOC108090611|XP_017044870.1|DFIC, LOC108090591|XP_017044831.1|DFIC, LOC108092296|XP_017047319.1|DFIC, LOC108092297|XP_017047321.1|DFIC	LOC108600689|XP_033150743.1|DBUS, LOC108603988|XP_033150741.1|DBUS, LOC108594975|XP_017835600.2|DBUS
OG0000031	LOC108089228|XP_017042875.1|DFIC	LOC108596350|XP_017837498.1|DBUS
OG0000032	LOC108087889|XP_017040956.1|DFIC, LOC108088062|XP_017041192.1|DFIC, LOC108088048|XP_017041174.1|DFIC, LOC108088066|XP_017041199.1|DFIC, LOC108087890|XP_017040957.1|DFIC, LOC108087979|XP_017041070.1|DFIC	LOC108601631|XP_017845019.1|DBUS
OG0000032	LOC108087896|XP_017040963.1|DFIC, LOC108087899|XP_017040966.1|DFIC	LOC108601658|XP_017845046.1|DBUS, LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS
OG0000033	LOC108089808|XP_017043694.1|DFIC, LOC108089807|XP_017043693.1|DFIC, LOC108089809|XP_017043695.1|DFIC, LOC108089769|XP_017043650.1|DFIC, LOC108091266|XP_017045867.1|DFIC, LOC108089806|XP_017043692.1|DFIC, LOC108094281|XP_017050264.1|DFIC, LOC108094283|XP_017050266.1|DFIC	LOC108596493|XP_017837798.1|DBUS
OG0000033	LOC108094282|XP_017050265.1|DFIC	LOC108594868|XP_017835496.1|DBUS
OG0000034	LOC108098181|XP_017056403.1|DFIC, LOC108090289|XP_017044389.1|DFIC, LOC108098175|XP_017056397.1|DFIC, LOC108098172|XP_017056394.1|DFIC	LOC108600656|XP_017843844.2|DBUS
OG0000034	LOC108098179|XP_017056401.1|DFIC	LOC108597722|XP_017839907.2|DBUS
OG0000034	LOC108098285|XP_017056581.1|DFIC	LOC108608325|XP_017855153.2|DBUS
OG0000034	LOC108093450|XP_017049013.1|DFIC	LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS, LOC108597047|XP_017838843.1|DBUS
OG0000035	LOC108093569|XP_017049153.1|DFIC	LOC117134686|XP_033149074.1|DBUS, LOC108602071|XP_017845580.2|DBUS, LOC108604409|XP_017849365.2|DBUS, LOC108597433|XP_017839480.2|DBUS
OG0000036	LOC108096138|XP_017053007.1|DFIC	LOC108601814|XP_017845240.1|DBUS
OG0000036	LOC108097979|XP_017056090.1|DFIC	LOC108604642|XP_017849680.1|DBUS
OG0000036	LOC108098533|XP_017057003.1|DFIC	LOC108602327|XP_017845903.1|DBUS, LOC108603042|XP_017846950.1|DBUS
OG0000036	LOC108087237|XP_017040017.1|DFIC	LOC108601330|XP_033149802.1|DBUS, LOC117134637|XP_033149940.1|DBUS
OG0000037	LOC108088042|XP_017041165.1|DFIC, LOC108088040|XP_017041164.1|DFIC	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS
OG0000038	LOC108088854|XP_017042318.1|DFIC	LOC108598255|XP_017840359.1|DBUS
OG0000038	LOC108088914|XP_017042416.1|DFIC	LOC108599609|XP_017842054.2|DBUS
OG0000039	LOC108091791|XP_017046639.1|DFIC	LOC108602969|XP_017846840.2|DBUS, LOC108601491|XP_017844877.1|DBUS
OG0000039	LOC108097516|XP_017055329.1|DFIC	LOC108605767|XP_017851059.1|DBUS, LOC108605331|XP_017850490.1|DBUS
OG0000039	LOC108095512|XP_017052111.1|DFIC	LOC108605392|XP_017850551.1|DBUS
OG0000040	LOC108092229|XP_017047255.1|DFIC, LOC108087305|XP_017040113.1|DFIC	LOC108601310|XP_017844699.1|DBUS
OG0000040	LOC108087307|XP_017040114.1|DFIC	LOC108603822|XP_017848441.1|DBUS
OG0000040	LOC108092211|XP_017047228.1|DFIC, LOC108092212|XP_017047230.1|DFIC	LOC108604808|XP_017849901.1|DBUS
OG0000040	LOC108092206|XP_017047224.1|DFIC	LOC108601313|XP_017844701.1|DBUS, LOC108604809|XP_017849902.1|DBUS
OG0000040	LOC108100764|XP_017060292.1|DFIC	LOC117134625|XP_033150105.1|DBUS
OG0000041	LOC108095996|XP_017052831.1|DFIC, LOC108095711|XP_017052372.1|DFIC, LOC108095997|XP_017052832.1|DFIC, LOC108095939|XP_017052765.1|DFIC, LOC108095866|XP_017052659.1|DFIC, LOC108095867|XP_017052660.1|DFIC, LOC108095645|XP_017052300.1|DFIC	LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS
OG0000042	LOC108090330|XP_017044433.1|DFIC, LOC108090327|XP_017044430.1|DFIC, LOC108090329|XP_017044432.1|DFIC, LOC108090333|XP_017044437.1|DFIC, LOC108090332|XP_017044435.1|DFIC, LOC108090338|XP_017044443.1|DFIC, LOC108090337|XP_017044441.1|DFIC, LOC108090335|XP_017044439.1|DFIC, LOC108090336|XP_017044440.1|DFIC, LOC108090328|XP_017044431.1|DFIC	LOC117134763|XP_033149297.1|DBUS, LOC108594910|XP_017835536.1|DBUS, LOC108595933|XP_017836709.1|DBUS, LOC108595930|XP_017836706.1|DBUS, LOC108594909|XP_017835535.1|DBUS, LOC108595936|XP_017836712.1|DBUS, LOC108594913|XP_017835540.1|DBUS, LOC108594912|XP_017835539.1|DBUS, LOC108594911|XP_017835537.1|DBUS, LOC108595931|XP_017836707.1|DBUS, LOC108595934|XP_017836710.1|DBUS, LOC108595935|XP_017836711.1|DBUS, LOC108595932|XP_017836708.1|DBUS
OG0000042	LOC108090331|XP_017044434.1|DFIC	LOC108601375|XP_033149906.1|DBUS
OG0000043	LOC108087056|XP_017039721.1|DFIC	LOC108602016|XP_033149810.1|DBUS
OG0000043	LOC108092195|XP_017047211.1|DFIC	LOC108602049|XP_017845549.1|DBUS
OG0000043	LOC108087304|XP_017040112.1|DFIC, LOC108087099|XP_017039770.1|DFIC, LOC108086831|XP_017039366.1|DFIC, LOC108087388|XP_017040219.1|DFIC	LOC117134835|XP_033149811.1|DBUS
OG0000044	LOC108095953|XP_017052779.1|DFIC	LOC108602073|XP_017845582.1|DBUS
OG0000044	LOC108095656|XP_017052310.1|DFIC, LOC108095674|XP_017052331.1|DFIC, LOC108095707|XP_017052368.1|DFIC, LOC108095664|XP_017052318.1|DFIC	LOC108601821|XP_017845247.1|DBUS
OG0000045	LOC108099782|XP_017058900.1|DFIC	LOC108599876|XP_017842521.1|DBUS
OG0000045	LOC108099776|XP_017058894.1|DFIC, LOC108099783|XP_017058901.1|DFIC	LOC108598309|XP_017840414.1|DBUS, LOC108599339|XP_017841631.2|DBUS
OG0000045	LOC108089346|XP_017043016.1|DFIC	LOC108598310|XP_017840415.1|DBUS
OG0000045	LOC108089335|XP_017043004.1|DFIC	LOC108598311|XP_017840416.1|DBUS
OG0000046	LOC108097441|XP_017055199.1|DFIC, LOC108097439|XP_017055197.1|DFIC	LOC108605644|XP_017850916.1|DBUS, LOC108607283|XP_017853469.1|DBUS
OG0000046	LOC108097454|XP_017055215.1|DFIC, LOC108091603|XP_017046371.1|DFIC, LOC108091584|XP_017046349.1|DFIC, LOC108091607|XP_017046377.1|DFIC, LOC108091593|XP_017046357.1|DFIC, LOC108091587|XP_017046351.1|DFIC, LOC108091594|XP_017046358.1|DFIC, LOC108091585|XP_017046350.1|DFIC	LOC108605353|XP_017850511.2|DBUS
OG0000047	LOC108090569|XP_017044803.1|DFIC	LOC108595113|XP_033148899.1|DBUS
OG0000047	LOC108090570|XP_017044804.1|DFIC	LOC108595086|XP_017835725.1|DBUS
OG0000047	LOC108094901|XP_017051236.1|DFIC	LOC108595112|XP_017835761.1|DBUS
OG0000047	LOC108089762|XP_017043641.1|DFIC	LOC108601150|XP_033149649.1|DBUS
OG0000047	LOC108094950|XP_017051302.1|DFIC	LOC108597760|XP_017839960.1|DBUS
OG0000048	LOC108089539|XP_017043364.1|DFIC, LOC108089337|XP_017043007.1|DFIC	LOC108599705|XP_017842191.2|DBUS, LOC108599704|XP_017842190.2|DBUS
OG0000048	LOC108089537|XP_017043362.1|DFIC, LOC108089538|XP_017043363.1|DFIC	LOC108599708|XP_017842194.1|DBUS, LOC108599701|XP_017842186.2|DBUS
OG0000048	LOC108089535|XP_017043361.1|DFIC	LOC108599702|XP_017842187.2|DBUS
OG0000048	LOC108089542|XP_017043368.1|DFIC	LOC108599709|XP_017842195.1|DBUS
OG0000049	LOC108091886|XP_017046759.1|DFIC	LOC108604094|XP_017848864.1|DBUS
OG0000049	LOC108091864|XP_017046732.1|DFIC	LOC108604092|XP_017848863.1|DBUS
OG0000049	LOC108091860|XP_017046729.1|DFIC	LOC108602189|XP_017845724.1|DBUS
OG0000049	LOC108091993|XP_017046906.1|DFIC	LOC108602386|XP_017845985.1|DBUS
OG0000049	LOC108092198|XP_017047214.1|DFIC	LOC108601428|XP_017844815.1|DBUS
OG0000050	LOC108088745|XP_017042182.1|DFIC	LOC108598030|XP_017840133.2|DBUS
OG0000050	LOC108088743|XP_017042180.1|DFIC	LOC108598031|XP_017840135.1|DBUS
OG0000051	LOC108099282|XP_017058161.1|DFIC	LOC108602122|XP_017845638.1|DBUS
OG0000051	LOC108087911|XP_017040982.1|DFIC	LOC108603519|XP_017847901.1|DBUS
OG0000051	LOC108092094|XP_017047073.1|DFIC, LOC108087894|XP_017040960.1|DFIC, LOC108087917|XP_017040992.1|DFIC	LOC108601326|XP_017844713.1|DBUS
OG0000052	LOC108087102|XP_017039773.1|DFIC, LOC108098807|XP_017057437.1|DFIC, LOC108098902|XP_017057587.1|DFIC, LOC108098776|XP_017057399.1|DFIC, LOC108098773|XP_017057394.1|DFIC	LOC108602705|XP_017846348.1|DBUS, LOC108602704|XP_017846347.1|DBUS
OG0000052	LOC108087760|XP_017040779.1|DFIC	LOC108595895|XP_017836674.1|DBUS, LOC108594866|XP_017835493.1|DBUS, LOC108595449|XP_017836175.2|DBUS, LOC108595766|XP_017836545.1|DBUS, LOC108596993|XP_017838752.1|DBUS
OG0000052	LOC108087818|XP_017040874.1|DFIC	LOC108595795|XP_017836575.1|DBUS, LOC108595759|XP_017836537.1|DBUS
OG0000053	LOC108090322|XP_017044423.1|DFIC	LOC108596657|XP_017838132.1|DBUS
OG0000053	LOC108090310|XP_017044412.1|DFIC	LOC108596656|XP_017838131.1|DBUS
OG0000053	LOC108090321|XP_017044422.1|DFIC	LOC108596363|XP_017837514.1|DBUS
OG0000053	LOC108090309|XP_017044411.1|DFIC	LOC108596359|XP_017837509.1|DBUS
OG0000053	LOC108090323|XP_017044424.1|DFIC	LOC108596165|XP_017837161.1|DBUS
OG0000054	LOC108097528|XP_017055365.1|DFIC	LOC108604220|XP_017849074.1|DBUS, LOC108604256|XP_033150124.1|DBUS, LOC117134982|XP_033150557.1|DBUS
OG0000054	LOC108096334|XP_017053362.1|DFIC	LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS
OG0000055	LOC108099258|XP_017058122.1|DFIC	LOC108602318|XP_017845891.1|DBUS
OG0000055	LOC108099260|XP_017058123.1|DFIC	LOC108602326|XP_017845902.1|DBUS, LOC108602376|XP_017845970.1|DBUS, LOC108602375|XP_017845969.1|DBUS
OG0000056	LOC108091640|XP_017046431.1|DFIC	LOC108603613|XP_017848051.1|DBUS, LOC108603612|XP_017848050.1|DBUS
OG0000056	LOC108091643|XP_017046434.1|DFIC, LOC108091642|XP_017046433.1|DFIC	LOC108602080|XP_017845593.1|DBUS
OG0000056	LOC108098775|XP_017057398.1|DFIC, LOC108098940|XP_017057636.1|DFIC	LOC108598485|XP_017840632.1|DBUS
OG0000058	LOC108099713|XP_017058824.1|DFIC, LOC108098458|XP_017056851.1|DFIC, LOC108098312|XP_017056614.1|DFIC, LOC108098300|XP_017056599.1|DFIC	LOC108602861|XP_017846639.2|DBUS, LOC108603814|XP_017848423.2|DBUS
OG0000058	LOC108093385|XP_017048892.1|DFIC	LOC117135039|XP_033150759.1|DBUS
OG0000058	LOC108092885|XP_017048216.1|DFIC	LOC108606881|XP_017852895.1|DBUS
OG0000059	LOC108095914|XP_017052731.1|DFIC, LOC108095915|XP_017052732.1|DFIC	LOC108601365|XP_017844754.1|DBUS, LOC108601366|XP_017844755.1|DBUS
OG0000059	LOC108095912|XP_017052729.1|DFIC	LOC108602589|XP_017846217.1|DBUS
OG0000059	LOC108096013|XP_017052851.1|DFIC	LOC108602779|XP_017846474.2|DBUS, LOC108601372|XP_017844761.1|DBUS, LOC108602778|XP_017846473.2|DBUS
OG0000060	LOC108091169|XP_017045705.1|DFIC	LOC108605501|XP_017850738.1|DBUS
OG0000060	LOC108090629|XP_017044896.1|DFIC	LOC108596314|XP_017837413.1|DBUS
OG0000060	LOC108090119|XP_017044139.1|DFIC	LOC108602170|XP_017845695.1|DBUS
OG0000060	LOC108086822|XP_017039354.1|DFIC	LOC108604124|XP_017848902.1|DBUS
OG0000060	LOC108101966|XP_017062037.1|DFIC	LOC108605927|XP_017851236.1|DBUS
OG0000060	LOC108092553|XP_017047676.1|DFIC	LOC108594930|XP_033150017.1|DBUS
OG0000061	LOC108094528|XP_017050618.1|DFIC	LOC108602145|XP_017845670.1|DBUS
OG0000061	LOC108094524|XP_017050615.1|DFIC	LOC108594753|XP_017835384.1|DBUS
OG0000061	LOC108094527|XP_017050617.1|DFIC	LOC108603702|XP_017848228.1|DBUS, LOC108599637|XP_017842101.2|DBUS
OG0000062	LOC108094292|XP_017050285.1|DFIC	LOC108606274|XP_017851741.1|DBUS
