Orthogroup	DFIC.longest_only	DPER.longest_only
OG0000007	LOC108093152|XP_017048588.1|DFIC	LOC6601483|XP_026847920.1|DPER
OG0000007	LOC108093153|XP_017048589.1|DFIC	LOC6601458|XP_026847765.1|DPER
OG0000008	LOC108101034|XP_017060691.1|DFIC	LOC6594328|XP_026850351.1|DPER
OG0000008	LOC108100331|XP_017059630.1|DFIC	LOC6601898|XP_002026947.1|DPER
OG0000008	LOC108093477|XP_017049051.1|DFIC	LOC6595506|XP_002020611.1|DPER
OG0000008	LOC108100333|XP_017059632.1|DFIC	LOC113566715|XP_026849382.1|DPER
OG0000008	LOC108091741|XP_017046574.1|DFIC, LOC108091742|XP_017046575.1|DFIC	LOC6591821|XP_002016971.2|DPER, LOC6591446|XP_026851133.1|DPER
OG0000008	LOC108091769|XP_017046605.1|DFIC	LOC6591826|XP_002016976.2|DPER
OG0000008	LOC108091757|XP_017046589.1|DFIC	LOC6591822|XP_002016972.1|DPER
OG0000008	LOC108091754|XP_017046587.1|DFIC	LOC6591825|XP_026846385.1|DPER
OG0000008	LOC108091767|XP_017046601.1|DFIC	LOC6591827|XP_002016977.1|DPER
OG0000009	LOC108101115|XP_017060823.1|DFIC	LOC6594636|XP_026850331.1|DPER
OG0000009	LOC108101125|XP_017060838.1|DFIC	LOC6594634|XP_002019930.1|DPER
OG0000009	LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC, LOC108101116|XP_017060824.1|DFIC	LOC6594633|XP_002019929.1|DPER, LOC6594635|XP_026850255.1|DPER, LOC6594558|XP_026850291.1|DPER
OG0000009	LOC108101809|XP_017061774.1|DFIC	LOC6601280|XP_026841960.1|DPER
OG0000009	LOC108088079|XP_017041220.1|DFIC	LOC6591389|XP_002017359.1|DPER
OG0000009	LOC108086769|XP_017039304.1|DFIC	LOC6590982|XP_002016547.1|DPER
OG0000009	LOC108094178|XP_017050126.1|DFIC, LOC108086653|XP_017039126.1|DFIC, LOC108086655|XP_017039128.1|DFIC, LOC108086610|XP_017039074.1|DFIC	LOC6590981|XP_002016546.2|DPER
OG0000010	LOC108098255|XP_017056544.1|DFIC	LOC113567388|XP_026850893.1|DPER, LOC113567422|XP_026850961.1|DPER, LOC113567406|XP_026850934.1|DPER, LOC6587263|XP_002013118.1|DPER, LOC113567240|XP_026850210.1|DPER, LOC113567398|XP_026850915.1|DPER, LOC113567415|XP_026850950.1|DPER, LOC113567414|XP_026850949.1|DPER
OG0000011	LOC108101273|XP_017061049.1|DFIC, LOC108100009|XP_017059202.1|DFIC, LOC108101289|XP_017061078.1|DFIC, LOC108100104|XP_017059339.1|DFIC, LOC108098171|XP_017056393.1|DFIC, LOC108095556|XP_017052180.1|DFIC	LOC113565949|XP_026845159.1|DPER, LOC113565829|XP_026844915.1|DPER, LOC113565667|XP_026844172.1|DPER, LOC6593932|XP_026844170.1|DPER, LOC113565666|XP_026844171.1|DPER, LOC6599995|XP_026849180.1|DPER, LOC6595356|XP_026844919.1|DPER, LOC113565950|XP_026845160.1|DPER, LOC113565828|XP_026844914.1|DPER, LOC6595358|XP_026845178.1|DPER, LOC113565831|XP_026844923.1|DPER, LOC113565733|XP_026844523.1|DPER, LOC6595426|XP_002020848.1|DPER, LOC6595439|XP_002020860.2|DPER, LOC113565830|XP_026844917.1|DPER, LOC6595395|XP_026844752.1|DPER, LOC6595396|XP_026844748.1|DPER, LOC6595365|XP_002020801.1|DPER, LOC6595397|XP_026844754.1|DPER, LOC6595392|XP_026844750.1|DPER, LOC6595366|XP_002020802.2|DPER, LOC6595391|XP_026844351.1|DPER
OG0000011	LOC108086883|XP_017039433.1|DFIC	LOC6591700|XP_002017271.1|DPER, LOC6599732|XP_002024837.1|DPER
OG0000011	LOC108086913|XP_017039476.1|DFIC	LOC6599733|XP_002024838.2|DPER
OG0000011	LOC108098799|XP_017057429.1|DFIC	LOC6591544|XP_002017188.1|DPER
OG0000012	LOC108096904|XP_017054341.1|DFIC	LOC6589910|XP_026840670.1|DPER
OG0000012	LOC108096903|XP_017054340.1|DFIC	LOC6589909|XP_002016518.1|DPER
OG0000012	LOC108096929|XP_017054370.1|DFIC	LOC6589908|XP_026841658.1|DPER
OG0000012	LOC108096943|XP_017054393.1|DFIC	LOC6589911|XP_026840671.1|DPER
OG0000012	LOC108096563|XP_017053746.1|DFIC	LOC113565188|XP_026842345.1|DPER, LOC6589913|XP_026842148.1|DPER, LOC6590584|XP_026841794.1|DPER
OG0000012	LOC108096571|XP_017053756.1|DFIC	LOC6589912|XP_002016521.1|DPER
OG0000012	LOC108086628|XP_017039092.1|DFIC	LOC6590586|XP_002016525.1|DPER
OG0000012	LOC108086618|XP_017039083.1|DFIC	LOC6590587|XP_002016526.1|DPER
OG0000012	LOC108086755|XP_017039283.1|DFIC, LOC108086630|XP_017039094.1|DFIC	LOC6590588|XP_002016527.1|DPER
OG0000012	LOC108086627|XP_017039091.1|DFIC	LOC6590215|XP_002016528.1|DPER
OG0000012	LOC108086756|XP_017039284.1|DFIC	LOC6590216|XP_002016529.1|DPER
OG0000013	LOC108101557|XP_017061445.1|DFIC	LOC6600889|XP_026840828.1|DPER
OG0000013	LOC108101682|XP_017061593.1|DFIC	LOC6598353|XP_002023428.2|DPER
OG0000013	LOC108098830|XP_017057474.1|DFIC	LOC6594205|XP_002019664.1|DPER, LOC6594496|XP_002019695.1|DPER
OG0000013	LOC108086910|XP_017039470.1|DFIC	LOC6602278|XP_002027327.1|DPER
OG0000013	LOC108087118|XP_017039788.1|DFIC	LOC113564954|XP_026840479.1|DPER
OG0000013	LOC108091996|XP_017046910.1|DFIC	LOC6587278|XP_002013456.1|DPER, LOC6588391|XP_002013455.2|DPER
OG0000013	LOC108102250|XP_017062487.1|DFIC, LOC108087940|XP_017041016.1|DFIC	LOC6598714|XP_002023893.1|DPER, LOC6598715|XP_026850871.1|DPER
OG0000015	LOC108086461|XP_017038876.1|DFIC	LOC113565410|XP_026843113.1|DPER, LOC6593385|XP_002019084.1|DPER
OG0000016	LOC108091644|XP_017046435.1|DFIC	LOC6587871|XP_002013173.2|DPER
OG0000016	LOC108095161|XP_017051608.1|DFIC	LOC6593077|XP_002017890.1|DPER
OG0000016	LOC108088049|XP_017041175.1|DFIC	LOC6587678|XP_002013954.1|DPER
OG0000016	LOC108090474|XP_017044659.1|DFIC	LOC6601585|XP_002026606.2|DPER
OG0000016	LOC108092889|XP_017048224.1|DFIC	LOC6599243|XP_002024300.1|DPER
OG0000016	LOC108091135|XP_017045658.1|DFIC	LOC6592910|XP_002018578.1|DPER
OG0000016	LOC108096392|XP_017053452.1|DFIC	LOC6587745|XP_026840230.1|DPER
OG0000016	LOC108093583|XP_017049197.1|DFIC	LOC6602189|XP_026848039.1|DPER
OG0000017	LOC108098017|XP_017056155.1|DFIC	LOC6598163|XP_026846248.1|DPER
OG0000017	LOC108101533|XP_017061396.1|DFIC	LOC6590466|XP_002016652.1|DPER
OG0000017	LOC108099991|XP_017059177.1|DFIC	LOC6602148|XP_002027095.1|DPER, LOC6602132|XP_002027094.1|DPER
OG0000017	LOC108095642|XP_017052296.1|DFIC	LOC6591189|XP_002015913.2|DPER, LOC6594928|XP_002020025.1|DPER
OG0000017	LOC108087716|XP_017040726.1|DFIC	LOC6592612|XP_002018160.1|DPER
OG0000017	LOC108099990|XP_017059176.1|DFIC	LOC6602127|XP_002027093.1|DPER
OG0000017	LOC108087715|XP_017040725.1|DFIC	LOC6592611|XP_002018159.1|DPER
OG0000017	LOC108094147|XP_017050074.1|DFIC, LOC108094148|XP_017050075.1|DFIC	LOC6595669|XP_002020729.1|DPER, LOC6595691|XP_002020717.1|DPER
OG0000018	LOC108093126|XP_017048560.1|DFIC	LOC6601448|XP_002026450.1|DPER
OG0000018	LOC108093128|XP_017048562.1|DFIC	LOC6601451|XP_002026453.1|DPER
OG0000018	LOC108093130|XP_017048564.1|DFIC	LOC6601450|XP_002026452.1|DPER
OG0000018	LOC108093138|XP_017048572.1|DFIC, LOC108093140|XP_017048574.1|DFIC	LOC6601447|XP_002026449.1|DPER, LOC6601443|XP_002026445.1|DPER, LOC6601446|XP_002026448.1|DPER, LOC6601444|XP_002026446.1|DPER
OG0000018	LOC108093137|XP_017048571.1|DFIC, LOC108093131|XP_017048565.1|DFIC, LOC108093271|XP_017048739.1|DFIC, LOC108093136|XP_017048569.1|DFIC	LOC6601454|XP_026847893.1|DPER, LOC6601453|XP_002026455.1|DPER
OG0000019	LOC108086541|XP_017038967.1|DFIC	LOC6587177|XP_002013000.1|DPER, LOC6587211|XP_002013001.2|DPER, LOC113564910|XP_026840077.1|DPER
OG0000019	LOC108086535|XP_017038961.1|DFIC	LOC6588514|XP_002012998.2|DPER
OG0000019	LOC108086543|XP_017038970.1|DFIC	LOC6587186|XP_002012999.1|DPER
OG0000019	LOC108086538|XP_017038965.1|DFIC, LOC108086540|XP_017038966.1|DFIC	LOC6587637|XP_002013003.2|DPER, LOC6587295|XP_002013004.1|DPER, LOC6587205|XP_002013002.1|DPER
OG0000020	LOC108086571|XP_017039016.1|DFIC	LOC6594838|XP_002020242.2|DPER
OG0000020	LOC108087826|XP_017040886.1|DFIC	LOC6590666|XP_002015941.1|DPER
OG0000020	LOC108100979|XP_017060622.1|DFIC	LOC6589657|XP_002014518.1|DPER
OG0000020	LOC108101093|XP_017060792.1|DFIC	LOC6594627|XP_026850533.1|DPER
OG0000020	LOC108102060|XP_017062180.1|DFIC	LOC6594128|XP_002019432.1|DPER
OG0000020	LOC108089992|XP_017043983.1|DFIC	LOC6593366|XP_002018585.1|DPER
OG0000020	LOC108101220|XP_017060958.1|DFIC	LOC6589656|XP_026844645.1|DPER
OG0000021	LOC108090792|XP_017045128.1|DFIC	LOC6592588|XP_002018070.2|DPER
OG0000021	LOC108090653|XP_017044920.1|DFIC	LOC6592233|XP_002018052.1|DPER
OG0000021	LOC108093638|XP_017049284.1|DFIC	LOC6597480|XP_002022716.1|DPER, LOC6597528|XP_002022710.1|DPER
OG0000021	LOC108095541|XP_017052159.1|DFIC	LOC6599244|XP_026848260.1|DPER
OG0000021	LOC108091979|XP_017046877.1|DFIC	LOC113565817|XP_026844838.1|DPER
OG0000021	LOC108088013|XP_017041113.1|DFIC	LOC6598730|XP_026840231.1|DPER
OG0000021	LOC108094694|XP_017050914.1|DFIC	LOC6597578|XP_026848930.1|DPER
OG0000022	LOC108093677|XP_017049345.1|DFIC	LOC6593244|XP_026840814.1|DPER
OG0000022	LOC108100202|XP_017059465.1|DFIC	LOC6601032|XP_002026120.1|DPER
OG0000022	LOC108100306|XP_017059594.1|DFIC, LOC108100305|XP_017059593.1|DFIC, LOC108100300|XP_017059588.1|DFIC, LOC108100303|XP_017059590.1|DFIC, LOC108100308|XP_017059596.1|DFIC	LOC6601031|XP_002026119.1|DPER, LOC6601062|XP_002026117.2|DPER, LOC6601060|XP_002026115.1|DPER
OG0000022	LOC108100304|XP_017059591.1|DFIC	LOC113566793|XP_026849743.1|DPER
OG0000022	LOC108100302|XP_017059589.1|DFIC	LOC113566797|XP_026849748.1|DPER
OG0000023	LOC108096120|XP_017052985.1|DFIC	LOC6594351|XP_026840807.1|DPER
OG0000023	LOC108096122|XP_017052987.1|DFIC, LOC108096106|XP_017052971.1|DFIC	LOC6594350|XP_002019529.2|DPER
OG0000023	LOC108096128|XP_017052994.1|DFIC	LOC6594114|XP_002019536.2|DPER
OG0000023	LOC108096606|XP_017053802.1|DFIC	LOC6590773|XP_002016461.1|DPER
OG0000023	LOC108096129|XP_017052995.1|DFIC	LOC6594113|XP_002019535.2|DPER
OG0000023	LOC108096119|XP_017052984.1|DFIC	LOC6594346|XP_002019525.2|DPER
OG0000023	LOC108096117|XP_017052981.1|DFIC	LOC6594348|XP_002019527.1|DPER
OG0000023	LOC108096114|XP_017052979.1|DFIC	LOC6594344|XP_002019523.1|DPER
OG0000024	LOC108086467|XP_017038883.1|DFIC	LOC6592579|XP_002017744.1|DPER
OG0000024	LOC108086472|XP_017038887.1|DFIC	LOC6592578|XP_002017743.2|DPER
OG0000024	LOC108098296|XP_017056595.1|DFIC	LOC6593580|XP_002018871.1|DPER
OG0000024	LOC108086381|XP_017038771.1|DFIC	LOC6592580|XP_002017745.1|DPER
OG0000024	LOC108094860|XP_017051169.1|DFIC	LOC6591036|XP_002016629.1|DPER
OG0000025	LOC108088651|XP_017042067.1|DFIC	LOC6596516|XP_002021511.1|DPER, LOC6599955|XP_002025032.1|DPER
OG0000026	LOC108091247|XP_017045848.1|DFIC	LOC6598208|XP_002023333.1|DPER
OG0000026	LOC108093407|XP_017048931.1|DFIC	LOC6589226|XP_002014215.1|DPER
OG0000026	LOC108101707|XP_017061633.1|DFIC, LOC108101666|XP_017061574.1|DFIC	LOC6600343|XP_026848406.1|DPER
OG0000026	LOC108091826|XP_017046693.1|DFIC	LOC6587226|XP_002013258.1|DPER, LOC6587539|XP_002013259.1|DPER, LOC6587439|XP_026847477.1|DPER
OG0000026	LOC108098549|XP_017057035.1|DFIC, LOC108098463|XP_017056857.1|DFIC	LOC6598768|XP_002023910.1|DPER
OG0000027	LOC108100821|XP_017060378.1|DFIC	LOC6589175|XP_002014624.1|DPER
OG0000027	LOC108100819|XP_017060376.1|DFIC	LOC6589890|XP_026844932.1|DPER
OG0000027	LOC108100820|XP_017060377.1|DFIC	LOC6589176|XP_002014625.1|DPER
OG0000028	LOC108095285|XP_017051819.1|DFIC	LOC6602374|XP_026848578.1|DPER
OG0000028	LOC108089312|XP_017042978.1|DFIC	LOC6599696|XP_002024949.1|DPER
OG0000029	LOC108090681|XP_017044956.1|DFIC, LOC108100972|XP_017060614.1|DFIC	LOC6592269|XP_002017847.2|DPER
OG0000029	LOC108096726|XP_017054059.1|DFIC	LOC6590423|XP_002016595.1|DPER
OG0000029	LOC108099785|XP_017058903.1|DFIC	LOC6599019|XP_002024136.1|DPER
OG0000030	LOC108093480|XP_017049055.1|DFIC, LOC108100317|XP_017059651.1|DFIC	LOC6595505|XP_002020610.1|DPER
OG0000030	LOC108093469|XP_017049043.1|DFIC	LOC6595503|XP_002020608.1|DPER
OG0000030	LOC108093479|XP_017049053.1|DFIC	LOC6595502|XP_002020607.1|DPER, LOC6595504|XP_002020609.1|DPER
OG0000030	LOC108092343|XP_017047369.1|DFIC, LOC108092288|XP_017047312.1|DFIC	LOC6596396|XP_002021549.2|DPER
OG0000030	LOC108087621|XP_017040552.1|DFIC	LOC6592616|XP_002018164.1|DPER
OG0000030	LOC108091341|XP_017045978.1|DFIC	LOC6600142|XP_002025259.1|DPER
OG0000030	LOC108088560|XP_017041895.1|DFIC	LOC6597331|XP_002022519.1|DPER
OG0000031	LOC108087846|XP_017040950.1|DFIC, LOC108094523|XP_017050614.1|DFIC, LOC108100476|XP_017059897.1|DFIC	LOC6603379|XP_002028365.1|DPER
OG0000031	LOC108092296|XP_017047319.1|DFIC	LOC6596433|XP_002021831.1|DPER, LOC6596572|XP_002021833.1|DPER, LOC6596432|XP_002021830.2|DPER
OG0000031	LOC108089228|XP_017042875.1|DFIC	LOC6589468|XP_002014413.1|DPER
OG0000032	LOC108088062|XP_017041192.1|DFIC	LOC6598613|XP_002023858.2|DPER
OG0000032	LOC108087979|XP_017041070.1|DFIC	LOC6598611|XP_026840271.1|DPER
OG0000032	LOC108087896|XP_017040963.1|DFIC	LOC6598616|XP_002023861.1|DPER
OG0000032	LOC108087899|XP_017040966.1|DFIC	LOC6598615|XP_002023860.1|DPER
OG0000033	LOC108102066|XP_017062199.1|DFIC	LOC6594755|XP_002020092.1|DPER
OG0000033	LOC108094281|XP_017050264.1|DFIC	LOC6590958|XP_002015543.1|DPER
OG0000033	LOC108094282|XP_017050265.1|DFIC	LOC6590962|XP_002015544.1|DPER
OG0000033	LOC108098498|XP_017056906.1|DFIC, LOC108098495|XP_017056904.1|DFIC	LOC6598819|XP_002023931.1|DPER
OG0000034	LOC108098181|XP_017056403.1|DFIC, LOC108090289|XP_017044389.1|DFIC, LOC108098175|XP_017056397.1|DFIC, LOC108098172|XP_017056394.1|DFIC	LOC6589244|XP_002014736.2|DPER
OG0000034	LOC108098179|XP_017056401.1|DFIC	LOC6589243|XP_002014735.1|DPER
OG0000034	LOC108098285|XP_017056581.1|DFIC	LOC6589242|XP_002014734.1|DPER
OG0000034	LOC108098386|XP_017056743.1|DFIC, LOC108087083|XP_017039752.1|DFIC, LOC108087380|XP_017040209.1|DFIC	LOC6593810|XP_002019277.1|DPER, LOC6593809|XP_002019276.1|DPER
OG0000034	LOC108093450|XP_017049013.1|DFIC	LOC6593808|XP_026844827.1|DPER
OG0000036	LOC108096138|XP_017053007.1|DFIC	LOC6594433|XP_002019545.1|DPER
OG0000036	LOC108097979|XP_017056090.1|DFIC	LOC6587691|XP_002013731.1|DPER
OG0000036	LOC108098533|XP_017057003.1|DFIC	LOC6594383|XP_002019297.1|DPER
OG0000036	LOC108087237|XP_017040017.1|DFIC	LOC6594996|XP_002020162.1|DPER
OG0000037	LOC108087844|XP_017040913.1|DFIC	LOC6590968|XP_002015904.2|DPER
OG0000037	LOC108088042|XP_017041165.1|DFIC, LOC108088040|XP_017041164.1|DFIC	LOC6588198|XP_002012851.2|DPER, LOC6588191|XP_002012852.1|DPER, LOC6588222|XP_002012850.1|DPER, LOC6587269|XP_002012849.2|DPER
OG0000038	LOC108088854|XP_017042318.1|DFIC	LOC6602410|XP_002027415.1|DPER
OG0000038	LOC108088914|XP_017042416.1|DFIC	LOC6602412|XP_026848529.1|DPER
OG0000039	LOC108091791|XP_017046639.1|DFIC	LOC6591968|XP_026846968.1|DPER
OG0000039	LOC108097516|XP_017055329.1|DFIC	LOC6598396|XP_002023519.1|DPER
OG0000039	LOC108097515|XP_017055328.1|DFIC	LOC6598397|XP_002023520.1|DPER
OG0000039	LOC108095512|XP_017052111.1|DFIC	LOC6599449|XP_026847206.1|DPER
OG0000040	LOC108092229|XP_017047255.1|DFIC	LOC113566301|XP_026847173.1|DPER
OG0000040	LOC108087305|XP_017040113.1|DFIC	LOC6594423|XP_002019755.2|DPER, LOC6594424|XP_002019756.1|DPER, LOC6594425|XP_026850325.1|DPER, LOC113567269|XP_026850340.1|DPER
OG0000040	LOC108087307|XP_017040114.1|DFIC	LOC6594422|XP_002019754.1|DPER
OG0000040	LOC108092211|XP_017047228.1|DFIC	LOC113566662|XP_026849040.1|DPER, LOC6591887|XP_026849046.1|DPER, LOC113566659|XP_026849033.1|DPER, LOC6591886|XP_026849059.1|DPER
OG0000040	LOC108092212|XP_017047230.1|DFIC	LOC6594617|XP_002019840.1|DPER
OG0000040	LOC108092206|XP_017047224.1|DFIC	LOC6594616|XP_002019839.1|DPER
OG0000040	LOC108100764|XP_017060292.1|DFIC	LOC6587705|XP_002012978.2|DPER
OG0000041	LOC108095996|XP_017052831.1|DFIC, LOC108095711|XP_017052372.1|DFIC, LOC108095997|XP_017052832.1|DFIC, LOC108095939|XP_017052765.1|DFIC	LOC6591525|XP_002017073.1|DPER, LOC6591526|XP_002017074.1|DPER
OG0000041	LOC108095866|XP_017052659.1|DFIC	LOC6591518|XP_002017066.1|DPER
OG0000041	LOC108095867|XP_017052660.1|DFIC, LOC108095645|XP_017052300.1|DFIC	LOC6591551|XP_002017060.1|DPER
OG0000042	LOC108097744|XP_017055741.1|DFIC	LOC6597209|XP_002022617.2|DPER
OG0000042	LOC108090330|XP_017044433.1|DFIC	LOC6592870|XP_026842041.1|DPER
OG0000042	LOC108090327|XP_017044430.1|DFIC	LOC6592873|XP_002018540.1|DPER
OG0000042	LOC108090329|XP_017044432.1|DFIC, LOC108090333|XP_017044437.1|DFIC, LOC108090332|XP_017044435.1|DFIC, LOC108090338|XP_017044443.1|DFIC, LOC108090337|XP_017044441.1|DFIC, LOC108090335|XP_017044439.1|DFIC, LOC108090336|XP_017044440.1|DFIC, LOC108090328|XP_017044431.1|DFIC	LOC6592872|XP_002018539.1|DPER, LOC6592871|XP_002018538.1|DPER, LOC113565032|XP_026840750.1|DPER, LOC6589097|XP_002014784.1|DPER
OG0000042	LOC108090331|XP_017044434.1|DFIC	LOC6592874|XP_002018541.2|DPER
OG0000043	LOC108087389|XP_017040220.1|DFIC	LOC6594473|XP_002019739.2|DPER
OG0000043	LOC108087351|XP_017040180.1|DFIC	LOC6594475|XP_002019741.1|DPER, LOC6594476|XP_002019742.1|DPER, LOC113567252|XP_026850237.1|DPER
OG0000043	LOC108087056|XP_017039721.1|DFIC	LOC6594474|XP_002019740.1|DPER
OG0000043	LOC108092195|XP_017047211.1|DFIC	LOC6594076|XP_002019736.1|DPER
OG0000043	LOC108087304|XP_017040112.1|DFIC, LOC108087099|XP_017039770.1|DFIC, LOC108086831|XP_017039366.1|DFIC	LOC6594478|XP_002019744.1|DPER
OG0000043	LOC108087388|XP_017040219.1|DFIC	LOC6594479|XP_002019745.1|DPER
OG0000044	LOC108095953|XP_017052779.1|DFIC	LOC6591553|XP_026847828.1|DPER
OG0000044	LOC108095656|XP_017052310.1|DFIC, LOC108095674|XP_017052331.1|DFIC, LOC108095707|XP_017052368.1|DFIC, LOC108095664|XP_017052318.1|DFIC	LOC6591547|XP_002017056.1|DPER, LOC6591548|XP_026843232.1|DPER
OG0000044	LOC108096011|XP_017052849.1|DFIC, LOC108095670|XP_017052324.1|DFIC, LOC108095658|XP_017052312.1|DFIC	LOC6591549|XP_002017058.1|DPER, LOC6591550|XP_002017059.1|DPER
OG0000044	LOC108102017|XP_017062104.1|DFIC	LOC113564933|XP_026840246.1|DPER
OG0000045	LOC108099782|XP_017058900.1|DFIC	LOC6603693|XP_002028666.1|DPER
OG0000045	LOC108099776|XP_017058894.1|DFIC, LOC108099783|XP_017058901.1|DFIC	LOC6601537|XP_002026551.1|DPER
OG0000045	LOC108089346|XP_017043016.1|DFIC	LOC6595948|XP_002021076.1|DPER
OG0000045	LOC108089335|XP_017043004.1|DFIC	LOC113565382|XP_026842979.1|DPER, LOC6595949|XP_026845634.1|DPER
OG0000046	LOC108098480|XP_017056880.1|DFIC	LOC6598792|XP_002023903.1|DPER
OG0000046	LOC108097441|XP_017055199.1|DFIC, LOC108097439|XP_017055197.1|DFIC	LOC6602909|XP_002027932.2|DPER, LOC6602912|XP_026849662.1|DPER
OG0000046	LOC108097454|XP_017055215.1|DFIC	LOC6591074|XP_002015712.2|DPER
