Orthogroup	DFIC.longest_only	DPSE.longest_only
OG0000021	LOC108091979|XP_017046877.1|DFIC	LOC6897478|XP_002137627.1|DPSE
OG0000021	LOC108088013|XP_017041113.1|DFIC	LOC4800831|XP_001358035.1|DPSE
OG0000021	LOC108094694|XP_017050914.1|DFIC	LOC6901811|XP_002134479.1|DPSE
OG0000022	LOC108093677|XP_017049345.1|DFIC	LOC4804646|XP_033234778.1|DPSE
OG0000022	LOC108100202|XP_017059465.1|DFIC	LOC6899947|XP_002135315.1|DPSE
OG0000022	LOC108100306|XP_017059594.1|DFIC, LOC108100305|XP_017059593.1|DFIC, LOC108100300|XP_017059588.1|DFIC, LOC108100303|XP_017059590.1|DFIC, LOC108100308|XP_017059596.1|DFIC	LOC6899949|XP_002135317.2|DPSE, LOC6899956|XP_002135324.1|DPSE, LOC6899953|XP_002135321.1|DPSE
OG0000022	LOC108100304|XP_017059591.1|DFIC	LOC4812049|XP_001352467.1|DPSE
OG0000022	LOC108100302|XP_017059589.1|DFIC	LOC6899946|XP_002135314.1|DPSE
OG0000023	LOC108096122|XP_017052987.1|DFIC, LOC108096106|XP_017052971.1|DFIC	LOC6897864|XP_033232668.1|DPSE
OG0000023	LOC108096128|XP_017052994.1|DFIC	LOC4802964|XP_001359777.4|DPSE
OG0000023	LOC108096606|XP_017053802.1|DFIC	LOC4804210|XP_001360806.2|DPSE
OG0000023	LOC108096129|XP_017052995.1|DFIC	LOC6897865|XP_033232678.1|DPSE
OG0000023	LOC108096118|XP_017052982.1|DFIC	LOC4802957|XP_001359771.3|DPSE
OG0000023	LOC108096119|XP_017052984.1|DFIC	LOC5495505|XP_001359769.4|DPSE
OG0000023	LOC108096117|XP_017052981.1|DFIC	LOC5384073|XP_001359768.2|DPSE
OG0000023	LOC108096114|XP_017052979.1|DFIC	LOC4802956|XP_015038205.2|DPSE
OG0000024	LOC108086467|XP_017038883.1|DFIC	LOC5495520|XP_001361563.3|DPSE
OG0000024	LOC108086472|XP_017038887.1|DFIC	LOC4805107|XP_001361564.1|DPSE
OG0000024	LOC108098296|XP_017056595.1|DFIC	LOC6899225|XP_002136299.3|DPSE
OG0000024	LOC108086381|XP_017038771.1|DFIC	LOC5495508|XP_001361566.2|DPSE
OG0000024	LOC108094860|XP_017051169.1|DFIC	LOC4805028|XP_001361496.1|DPSE
OG0000025	LOC108088651|XP_017042067.1|DFIC	LOC4816320|XP_001355964.1|DPSE, LOC6901557|XP_002134231.1|DPSE
OG0000026	LOC108091247|XP_017045848.1|DFIC	LOC4814777|XP_001354707.2|DPSE
OG0000026	LOC108093407|XP_017048931.1|DFIC	LOC4818162|XP_001357184.4|DPSE
OG0000026	LOC108101707|XP_017061633.1|DFIC, LOC108101666|XP_017061574.1|DFIC	LOC4815876|XP_001355332.2|DPSE
OG0000026	LOC108091826|XP_017046693.1|DFIC	LOC4801930|XP_001358948.3|DPSE, LOC6897388|XP_002137540.2|DPSE
OG0000026	LOC108098549|XP_017057035.1|DFIC, LOC108098463|XP_017056857.1|DFIC	LOC4800860|XP_001358060.2|DPSE
OG0000027	LOC108100821|XP_017060378.1|DFIC	LOC6902829|XP_002132565.2|DPSE
OG0000027	LOC108100819|XP_017060376.1|DFIC	LOC4817432|XP_001356466.2|DPSE
OG0000027	LOC108100820|XP_017060377.1|DFIC	LOC4816919|XP_001356465.1|DPSE
OG0000028	LOC108095285|XP_017051819.1|DFIC	LOC6900255|XP_002135584.2|DPSE
OG0000028	LOC108089312|XP_017042978.1|DFIC	LOC6900007|XP_002135372.2|DPSE
OG0000029	LOC108090681|XP_017044956.1|DFIC, LOC108100972|XP_017060614.1|DFIC	LOC117183538|XP_033233522.1|DPSE, LOC6898458|XP_002138501.2|DPSE
OG0000029	LOC108096726|XP_017054059.1|DFIC	LOC26533066|XP_015039817.2|DPSE
OG0000029	LOC108099785|XP_017058903.1|DFIC	LOC4813458|XP_001353977.2|DPSE
OG0000030	LOC108093480|XP_017049055.1|DFIC, LOC108100317|XP_017059651.1|DFIC	LOC4817563|XP_001356970.3|DPSE
OG0000030	LOC108093469|XP_017049043.1|DFIC	LOC4817564|XP_002132859.2|DPSE
OG0000030	LOC108093479|XP_017049053.1|DFIC	LOC6903157|XP_002132858.2|DPSE, LOC4817562|XP_001356969.3|DPSE
OG0000030	LOC108092343|XP_017047369.1|DFIC, LOC108092288|XP_017047312.1|DFIC	LOC4816660|XP_001355989.2|DPSE
OG0000030	LOC108087621|XP_017040552.1|DFIC	LOC4804482|XP_001361038.2|DPSE
OG0000030	LOC108091341|XP_017045978.1|DFIC	LOC4816069|XP_001355235.2|DPSE
OG0000030	LOC108088560|XP_017041895.1|DFIC	LOC4815215|XP_001354948.2|DPSE
OG0000031	LOC108087846|XP_017040950.1|DFIC, LOC108094523|XP_017050614.1|DFIC, LOC108100476|XP_017059897.1|DFIC	LOC6902663|XP_015036753.2|DPSE
OG0000031	LOC108092296|XP_017047319.1|DFIC	LOC6902656|XP_002133172.3|DPSE, LOC6902659|XP_033236257.1|DPSE, LOC6902665|XP_002133181.3|DPSE, LOC117184065|XP_033236023.1|DPSE
OG0000031	LOC108089228|XP_017042875.1|DFIC	LOC26533742|XP_033235774.1|DPSE
OG0000032	LOC108088062|XP_017041192.1|DFIC	LOC6896921|XP_033236577.1|DPSE
OG0000032	LOC108087896|XP_017040963.1|DFIC	LOC4800814|XP_001358021.1|DPSE
OG0000032	LOC108087899|XP_017040966.1|DFIC	LOC4800811|XP_001358020.3|DPSE
OG0000033	LOC108102066|XP_017062199.1|DFIC	LOC4800626|XP_001357867.3|DPSE
OG0000033	LOC108094281|XP_017050264.1|DFIC	LOC6898089|XP_002138174.1|DPSE
OG0000033	LOC108094282|XP_017050265.1|DFIC	LOC6898093|XP_002138175.2|DPSE
OG0000033	LOC108098498|XP_017056906.1|DFIC, LOC108098495|XP_017056904.1|DFIC	LOC4800868|XP_001358066.3|DPSE
OG0000034	LOC108098181|XP_017056403.1|DFIC, LOC108090289|XP_017044389.1|DFIC, LOC108098175|XP_017056397.1|DFIC, LOC108098172|XP_017056394.1|DFIC	LOC4817450|XP_001356533.3|DPSE
OG0000034	LOC108098179|XP_017056401.1|DFIC	LOC4817037|XP_001356534.3|DPSE
OG0000034	LOC108098285|XP_017056581.1|DFIC	LOC6902878|XP_002132612.2|DPSE
OG0000034	LOC108098386|XP_017056743.1|DFIC, LOC108087083|XP_017039752.1|DFIC, LOC108087380|XP_017040209.1|DFIC	LOC6902430|XP_033236728.1|DPSE, LOC6902429|XP_002133363.2|DPSE
OG0000034	LOC108093450|XP_017049013.1|DFIC	LOC4816157|XP_001355874.3|DPSE
OG0000036	LOC108096138|XP_017053007.1|DFIC	LOC6897873|XP_002137975.2|DPSE
OG0000036	LOC108097979|XP_017056090.1|DFIC	LOC4801521|XP_033232300.1|DPSE
OG0000036	LOC108098533|XP_017057003.1|DFIC	LOC4802757|XP_001359618.3|DPSE
OG0000036	LOC108087237|XP_017040017.1|DFIC	LOC4800563|XP_033232364.1|DPSE
OG0000037	LOC108087844|XP_017040913.1|DFIC	LOC4803745|XP_001360410.4|DPSE
OG0000037	LOC108088042|XP_017041165.1|DFIC, LOC108088040|XP_017041164.1|DFIC	LOC6896995|XP_033232723.1|DPSE, LOC6896996|XP_002137182.2|DPSE, LOC117183318|XP_033232724.1|DPSE, LOC6896994|XP_033232725.1|DPSE
OG0000038	LOC108088854|XP_017042318.1|DFIC	LOC4812152|XP_001352947.2|DPSE
OG0000038	LOC108088914|XP_017042416.1|DFIC	LOC6900265|XP_002135594.2|DPSE
OG0000039	LOC108091791|XP_017046639.1|DFIC	LOC6897556|XP_033241818.1|DPSE
OG0000039	LOC108097516|XP_017055329.1|DFIC	LOC4815394|XP_001354810.3|DPSE
OG0000039	LOC108097515|XP_017055328.1|DFIC	LOC4814563|XP_001354811.1|DPSE
OG0000039	LOC108095512|XP_017052111.1|DFIC	LOC6901668|XP_002134337.3|DPSE
OG0000040	LOC108087305|XP_017040113.1|DFIC	LOC6897940|XP_033236826.1|DPSE, LOC4803145|XP_001359935.3|DPSE, LOC13036404|XP_003736919.2|DPSE, LOC6897941|XP_002138044.3|DPSE
OG0000040	LOC108087307|XP_017040114.1|DFIC	LOC4803144|XP_001359934.2|DPSE
OG0000040	LOC108092211|XP_017047228.1|DFIC	LOC117183223|XP_033241858.1|DPSE, LOC117185673|XP_033241861.1|DPSE, LOC6897578|XP_015037767.2|DPSE, LOC13036406|XP_033241860.1|DPSE
OG0000040	LOC108092212|XP_017047230.1|DFIC	LOC6897971|XP_002138070.1|DPSE
OG0000040	LOC108092206|XP_017047224.1|DFIC	LOC4803208|XP_001359988.4|DPSE
OG0000040	LOC108100764|XP_017060292.1|DFIC	LOC4801113|XP_001358260.2|DPSE
OG0000041	LOC108095996|XP_017052831.1|DFIC, LOC108095711|XP_017052372.1|DFIC, LOC108095997|XP_017052832.1|DFIC, LOC108095939|XP_017052765.1|DFIC	LOC6897576|XP_002137721.2|DPSE, LOC6897577|XP_002137722.1|DPSE
OG0000041	LOC108095866|XP_017052659.1|DFIC	LOC4802353|XP_001359283.3|DPSE
OG0000041	LOC108095867|XP_017052660.1|DFIC, LOC108095645|XP_017052300.1|DFIC	LOC6897572|XP_033240353.1|DPSE
OG0000042	LOC108097744|XP_017055741.1|DFIC	LOC6902242|XP_002133769.2|DPSE
OG0000042	LOC108090330|XP_017044433.1|DFIC	LOC4804794|XP_001361299.3|DPSE
OG0000042	LOC108090327|XP_017044430.1|DFIC	LOC5495510|XP_001361301.4|DPSE
OG0000042	LOC108090329|XP_017044432.1|DFIC, LOC108090333|XP_017044437.1|DFIC, LOC108090332|XP_017044435.1|DFIC, LOC108090338|XP_017044443.1|DFIC, LOC108090337|XP_017044441.1|DFIC, LOC108090335|XP_017044439.1|DFIC, LOC108090336|XP_017044440.1|DFIC, LOC108090328|XP_017044431.1|DFIC	LOC6898652|XP_002138657.1|DPSE, LOC4804796|XP_033234018.1|DPSE, LOC6898651|XP_033233475.1|DPSE, LOC6902899|XP_002132633.1|DPSE
OG0000042	LOC108090331|XP_017044434.1|DFIC	LOC4804792|XP_001361298.2|DPSE
OG0000043	LOC108087389|XP_017040220.1|DFIC	LOC4803128|XP_001359922.2|DPSE
OG0000043	LOC108087351|XP_017040180.1|DFIC	LOC4803135|XP_001359927.2|DPSE, LOC6897936|XP_002138038.2|DPSE
OG0000043	LOC108087056|XP_017039721.1|DFIC	LOC4803134|XP_001359926.3|DPSE
OG0000043	LOC108092195|XP_017047211.1|DFIC	LOC4803126|XP_001359920.4|DPSE
OG0000043	LOC108087304|XP_017040112.1|DFIC, LOC108087099|XP_017039770.1|DFIC, LOC108086831|XP_017039366.1|DFIC	LOC6897937|XP_002138039.2|DPSE
OG0000043	LOC108087388|XP_017040219.1|DFIC	LOC4803132|XP_001359925.3|DPSE
OG0000044	LOC108095953|XP_017052779.1|DFIC	LOC4802344|XP_001359278.1|DPSE
OG0000044	LOC108095656|XP_017052310.1|DFIC, LOC108095674|XP_017052331.1|DFIC, LOC108095707|XP_017052368.1|DFIC, LOC108095664|XP_017052318.1|DFIC	LOC6897570|XP_033232296.1|DPSE, LOC6899656|XP_033239795.1|DPSE
OG0000044	LOC108096011|XP_017052849.1|DFIC, LOC108095670|XP_017052324.1|DFIC, LOC108095658|XP_017052312.1|DFIC	LOC6897571|XP_033232533.1|DPSE, LOC4802345|XP_001359279.2|DPSE
OG0000044	LOC108102017|XP_017062104.1|DFIC	LOC4802849|XP_001359684.3|DPSE
OG0000045	LOC108099782|XP_017058900.1|DFIC	LOC4812813|XP_033238456.1|DPSE
OG0000045	LOC108099776|XP_017058894.1|DFIC, LOC108099783|XP_017058901.1|DFIC	LOC4813084|XP_001353641.2|DPSE
OG0000045	LOC108089346|XP_017043016.1|DFIC	LOC6900434|XP_002134825.3|DPSE
OG0000045	LOC108089335|XP_017043004.1|DFIC	LOC4816274|XP_001355928.3|DPSE, LOC6900435|XP_002134826.1|DPSE
OG0000046	LOC108098480|XP_017056880.1|DFIC	LOC4800854|XP_001358055.2|DPSE
