Orthogroup	DFIC.longest_only	DYAK.longest_only
OG0000012	LOC108096904|XP_017054341.1|DFIC	LOC6530957|XP_002091795.1|DYAK
OG0000012	LOC108096903|XP_017054340.1|DFIC	LOC6530958|XP_002091796.1|DYAK
OG0000012	LOC108096929|XP_017054370.1|DFIC	LOC6530959|XP_015051811.1|DYAK
OG0000012	LOC108096943|XP_017054393.1|DFIC	LOC6530956|XP_002091794.1|DYAK
OG0000012	LOC108096563|XP_017053746.1|DFIC	LOC6530954|XP_002091792.1|DYAK
OG0000012	LOC108096571|XP_017053756.1|DFIC	LOC6530955|XP_002091793.1|DYAK
OG0000012	LOC108086628|XP_017039092.1|DFIC	LOC6530135|XP_002091081.1|DYAK
OG0000012	LOC108086618|XP_017039083.1|DFIC	LOC6530133|XP_002091079.2|DYAK
OG0000012	LOC108086755|XP_017039283.1|DFIC	LOC6530132|XP_002091078.1|DYAK
OG0000012	LOC108086630|XP_017039094.1|DFIC	LOC6530131|XP_002091077.2|DYAK
OG0000012	LOC108086627|XP_017039091.1|DFIC	LOC6530130|XP_002091076.1|DYAK
OG0000012	LOC108086756|XP_017039284.1|DFIC	LOC6530129|XP_002091075.1|DYAK
OG0000013	LOC108101557|XP_017061445.1|DFIC	LOC6530359|XP_002091285.1|DYAK
OG0000013	LOC108101682|XP_017061593.1|DFIC	LOC6525539|XP_002101374.1|DYAK
OG0000013	LOC108098830|XP_017057474.1|DFIC	LOC6537221|XP_002097779.1|DYAK
OG0000013	LOC108086910|XP_017039470.1|DFIC	LOC6534055|XP_002094741.1|DYAK
OG0000013	LOC108087118|XP_017039788.1|DFIC	LOC6536907|XP_002097476.1|DYAK
OG0000013	LOC108091996|XP_017046910.1|DFIC	LOC6538786|XP_002099299.1|DYAK
OG0000013	LOC108102250|XP_017062487.1|DFIC, LOC108087940|XP_017041016.1|DFIC	LOC6536836|XP_039232142.1|DYAK, LOC6536837|XP_039232350.1|DYAK, LOC6536733|XP_039231378.1|DYAK, LOC26536199|XP_039231379.1|DYAK, LOC26535865|XP_039231377.1|DYAK
OG0000015	LOC108094095|XP_017050008.1|DFIC	LOC6526496|XP_039227173.1|DYAK
OG0000015	LOC108094122|XP_017050032.1|DFIC	LOC120320869|XP_039227770.1|DYAK
OG0000015	LOC108100911|XP_017060514.1|DFIC, LOC108100840|XP_017060402.1|DFIC	LOC6526950|XP_002088046.2|DYAK
OG0000015	LOC108100786|XP_017060316.1|DFIC, LOC108100835|XP_017060395.1|DFIC, LOC108100853|XP_017060421.1|DFIC, LOC108100833|XP_017060393.1|DFIC	LOC6526894|XP_002087993.1|DYAK
OG0000015	LOC108086461|XP_017038876.1|DFIC	LOC6530275|XP_002091207.2|DYAK
OG0000015	LOC108098714|XP_017057318.1|DFIC, LOC108094483|XP_017050559.1|DFIC	LOC6538477|XP_002099001.3|DYAK
OG0000016	LOC108091644|XP_017046435.1|DFIC	LOC6536965|XP_002097534.1|DYAK
OG0000016	LOC108095161|XP_017051608.1|DFIC	LOC6530731|XP_002091621.1|DYAK
OG0000016	LOC108088049|XP_017041175.1|DFIC	LOC6536862|XP_002097431.1|DYAK
OG0000016	LOC108090474|XP_017044659.1|DFIC	LOC6531360|XP_002092163.2|DYAK
OG0000016	LOC108092889|XP_017048224.1|DFIC	LOC6525488|XP_002101323.1|DYAK
OG0000016	LOC108091135|XP_017045658.1|DFIC	LOC6529087|XP_002090100.1|DYAK
OG0000016	LOC108096392|XP_017053452.1|DFIC	LOC6537169|XP_002097730.1|DYAK
OG0000016	LOC108093583|XP_017049197.1|DFIC	LOC6535129|XP_039230803.1|DYAK
OG0000017	LOC108098017|XP_017056155.1|DFIC	LOC6525337|XP_002101173.1|DYAK
OG0000017	LOC108101533|XP_017061396.1|DFIC	LOC6528495|XP_002089541.2|DYAK
OG0000017	LOC108099991|XP_017059177.1|DFIC	LOC6539128|XP_002086029.1|DYAK
OG0000017	LOC108097740|XP_017055736.1|DFIC	LOC6536204|XP_002096795.1|DYAK
OG0000017	LOC108095642|XP_017052296.1|DFIC	LOC6538220|XP_039231078.1|DYAK
OG0000017	LOC108087716|XP_017040726.1|DFIC	LOC6531831|XP_002092618.3|DYAK
OG0000017	LOC108099990|XP_017059176.1|DFIC	LOC6529100|XP_002090113.1|DYAK
OG0000017	LOC108087715|XP_017040725.1|DFIC	LOC6531832|XP_002092619.1|DYAK
OG0000017	LOC108094147|XP_017050074.1|DFIC, LOC108094148|XP_017050075.1|DFIC	LOC6526432|XP_002087551.1|DYAK
OG0000018	LOC108093126|XP_017048560.1|DFIC	LOC6533164|XP_002093890.1|DYAK
OG0000018	LOC108093128|XP_017048562.1|DFIC	LOC26535774|XP_015049832.1|DYAK
OG0000018	LOC108093130|XP_017048564.1|DFIC	LOC6533166|XP_002093892.1|DYAK
OG0000018	LOC108093138|XP_017048572.1|DFIC, LOC108093140|XP_017048574.1|DFIC	LOC26534941|XP_015049831.1|DYAK
OG0000019	LOC108086541|XP_017038967.1|DFIC	LOC6538322|XP_039232218.1|DYAK
OG0000019	LOC108086542|XP_017038968.1|DFIC	LOC6538324|XP_002098851.2|DYAK
OG0000019	LOC108086544|XP_017038971.1|DFIC	LOC6538323|XP_002098850.2|DYAK
OG0000019	LOC108086535|XP_017038961.1|DFIC	LOC6538326|XP_002098853.2|DYAK
OG0000019	LOC108086538|XP_017038965.1|DFIC	LOC6538321|XP_002098848.1|DYAK
OG0000019	LOC108086540|XP_017038966.1|DFIC	LOC6538320|XP_002098847.1|DYAK
OG0000020	LOC108086571|XP_017039016.1|DFIC	LOC6538082|XP_002098616.1|DYAK
OG0000020	LOC108087826|XP_017040886.1|DFIC	LOC6530655|XP_002091553.1|DYAK
OG0000020	LOC108100979|XP_017060622.1|DFIC	LOC6527703|XP_002088787.1|DYAK
OG0000020	LOC108101093|XP_017060792.1|DFIC	LOC6535735|XP_039231556.1|DYAK
OG0000020	LOC108102060|XP_017062180.1|DFIC	LOC6537431|XP_002097987.1|DYAK
OG0000020	LOC108089992|XP_017043983.1|DFIC	LOC6529263|XP_002090268.1|DYAK
OG0000020	LOC108101220|XP_017060958.1|DFIC	LOC6529648|XP_002090642.1|DYAK
OG0000021	LOC108090792|XP_017045128.1|DFIC	LOC6530550|XP_002091465.1|DYAK
OG0000021	LOC108090653|XP_017044920.1|DFIC	LOC6530532|XP_039228836.1|DYAK
OG0000021	LOC108093638|XP_017049284.1|DFIC	LOC6531172|XP_002092001.1|DYAK
OG0000021	LOC108095541|XP_017052159.1|DFIC	LOC6526013|XP_039229713.1|DYAK
OG0000021	LOC108091979|XP_017046877.1|DFIC	LOC6538705|XP_002099220.3|DYAK
OG0000021	LOC108088013|XP_017041113.1|DFIC	LOC6536819|XP_002097389.1|DYAK
OG0000021	LOC108094694|XP_017050914.1|DFIC	LOC6524816|XP_002100658.1|DYAK
OG0000022	LOC108093677|XP_017049345.1|DFIC	LOC6531452|XP_002092255.1|DYAK
OG0000022	LOC108100202|XP_017059465.1|DFIC	LOC6532315|XP_002093075.1|DYAK
OG0000022	LOC108100308|XP_017059596.1|DFIC	LOC6532322|XP_002093082.1|DYAK, LOC6532321|XP_002093081.1|DYAK, LOC6532323|XP_002093083.1|DYAK, LOC6532320|XP_002093080.1|DYAK
OG0000022	LOC108100304|XP_017059591.1|DFIC	LOC6532325|XP_002093085.1|DYAK
OG0000022	LOC108100302|XP_017059589.1|DFIC	LOC6532324|XP_002093084.1|DYAK
OG0000023	LOC108096120|XP_017052985.1|DFIC	LOC6536030|XP_002096645.2|DYAK
OG0000023	LOC108096122|XP_017052987.1|DFIC	LOC6536027|XP_002096642.3|DYAK, LOC6536034|XP_002096649.3|DYAK
OG0000023	LOC108096128|XP_017052994.1|DFIC	LOC6539886|XP_002086766.1|DYAK
OG0000023	LOC108096606|XP_017053802.1|DFIC	LOC6531278|XP_002092087.2|DYAK
OG0000023	LOC108096129|XP_017052995.1|DFIC	LOC26536093|XP_039232188.1|DYAK
OG0000023	LOC108096118|XP_017052982.1|DFIC	LOC6536032|XP_039230972.1|DYAK
OG0000023	LOC108096117|XP_017052981.1|DFIC	LOC6536035|XP_002096650.2|DYAK
OG0000023	LOC108096114|XP_017052979.1|DFIC	LOC6540152|XP_039232191.1|DYAK
OG0000024	LOC108086469|XP_017038885.1|DFIC	LOC6530300|XP_002091227.1|DYAK
OG0000024	LOC108086411|XP_017038802.1|DFIC, LOC108086410|XP_017038801.1|DFIC	LOC6530298|XP_002091225.1|DYAK, LOC6530299|XP_002091226.1|DYAK
OG0000024	LOC108086467|XP_017038883.1|DFIC	LOC6530302|XP_002091229.1|DYAK
OG0000024	LOC108086472|XP_017038887.1|DFIC	LOC6530301|XP_002091228.2|DYAK
OG0000024	LOC108098296|XP_017056595.1|DFIC	LOC6529811|XP_002090793.1|DYAK
OG0000024	LOC108086381|XP_017038771.1|DFIC	LOC6530303|XP_002091230.1|DYAK
OG0000024	LOC108094860|XP_017051169.1|DFIC	LOC6529951|XP_002090905.3|DYAK
OG0000025	LOC108088651|XP_017042067.1|DFIC	LOC6525230|XP_002101068.1|DYAK, LOC6527587|XP_002088675.1|DYAK
OG0000026	LOC108091247|XP_017045848.1|DFIC	LOC6525058|XP_002100897.1|DYAK
OG0000026	LOC108093407|XP_017048931.1|DFIC	LOC6528059|XP_002089126.1|DYAK
OG0000026	LOC108101707|XP_017061633.1|DFIC, LOC108101666|XP_017061574.1|DFIC	LOC6525544|XP_002101379.1|DYAK
OG0000026	LOC108098549|XP_017057035.1|DFIC, LOC108098463|XP_017056857.1|DFIC	LOC6535919|XP_002096535.1|DYAK
OG0000027	LOC108100821|XP_017060378.1|DFIC	LOC6526916|XP_002088015.1|DYAK
OG0000027	LOC108100819|XP_017060376.1|DFIC	LOC6526913|XP_002088012.1|DYAK
OG0000027	LOC108100820|XP_017060377.1|DFIC	LOC6526915|XP_002088014.1|DYAK
OG0000028	LOC108095285|XP_017051819.1|DFIC	LOC6534951|XP_039229813.1|DYAK
OG0000028	LOC108089312|XP_017042978.1|DFIC	LOC6535078|XP_039229703.1|DYAK
OG0000029	LOC108090681|XP_017044956.1|DFIC	LOC6528801|XP_002089833.1|DYAK
OG0000029	LOC108100972|XP_017060614.1|DFIC	LOC6531052|XP_002091888.1|DYAK
OG0000029	LOC108099785|XP_017058903.1|DFIC	LOC6534230|XP_002094912.1|DYAK
OG0000030	LOC108093480|XP_017049055.1|DFIC, LOC108100317|XP_017059651.1|DFIC	LOC6527318|XP_002088411.1|DYAK
OG0000030	LOC108093469|XP_017049043.1|DFIC	LOC6527316|XP_002088409.2|DYAK
OG0000030	LOC108093479|XP_017049053.1|DFIC	LOC6527317|XP_002088410.1|DYAK
OG0000030	LOC108092343|XP_017047369.1|DFIC, LOC108092288|XP_017047312.1|DFIC	LOC6526597|XP_002087705.1|DYAK
OG0000030	LOC108087621|XP_017040552.1|DFIC	LOC6531827|XP_039228114.1|DYAK
OG0000030	LOC108091341|XP_017045978.1|DFIC	LOC6524424|XP_002100282.1|DYAK
OG0000030	LOC108088560|XP_017041895.1|DFIC	LOC6525109|XP_002100948.2|DYAK
OG0000031	LOC108087846|XP_017040950.1|DFIC, LOC108094523|XP_017050614.1|DFIC, LOC108100476|XP_017059897.1|DFIC	LOC6528958|XP_002089990.1|DYAK, LOC6528971|XP_002090003.2|DYAK, LOC6528984|XP_002090016.3|DYAK
OG0000031	LOC108090611|XP_017044870.1|DFIC, LOC108090591|XP_017044831.1|DFIC	LOC6529463|XP_002090465.2|DYAK
OG0000031	LOC108092296|XP_017047319.1|DFIC	LOC6526633|XP_002087741.1|DYAK
OG0000031	LOC108089228|XP_017042875.1|DFIC	LOC6528006|XP_002089073.1|DYAK
OG0000032	LOC108088062|XP_017041192.1|DFIC	LOC6536800|XP_002097370.2|DYAK
OG0000032	LOC108087979|XP_017041070.1|DFIC	LOC6536793|XP_002097363.1|DYAK
OG0000032	LOC108087896|XP_017040963.1|DFIC	LOC6536802|XP_002097372.1|DYAK
OG0000032	LOC108087899|XP_017040966.1|DFIC	LOC6536801|XP_002097371.1|DYAK
OG0000033	LOC108102066|XP_017062199.1|DFIC	LOC6538142|XP_002098676.1|DYAK
OG0000033	LOC108089807|XP_017043693.1|DFIC, LOC108089809|XP_017043695.1|DFIC, LOC108089769|XP_017043650.1|DFIC	LOC6530309|XP_039228670.1|DYAK
OG0000033	LOC108089806|XP_017043692.1|DFIC	LOC6530310|XP_039228063.1|DYAK
OG0000033	LOC108094281|XP_017050264.1|DFIC	LOC6528345|XP_002089398.1|DYAK
OG0000033	LOC108094283|XP_017050266.1|DFIC	LOC6528344|XP_002089397.2|DYAK
OG0000033	LOC108094282|XP_017050265.1|DFIC	LOC6528350|XP_002089399.1|DYAK
OG0000033	LOC108098498|XP_017056906.1|DFIC	LOC6534298|XP_002094979.1|DYAK
OG0000033	LOC108098495|XP_017056904.1|DFIC	LOC6535950|XP_002096566.1|DYAK
OG0000034	LOC108090289|XP_017044389.1|DFIC	LOC6531351|XP_002092155.1|DYAK
OG0000034	LOC108098175|XP_017056397.1|DFIC, LOC108098172|XP_017056394.1|DFIC	LOC6529512|XP_002090514.1|DYAK
OG0000034	LOC108098179|XP_017056401.1|DFIC	LOC6529511|XP_002090513.2|DYAK
OG0000034	LOC108098285|XP_017056581.1|DFIC	LOC6529510|XP_002090512.1|DYAK
OG0000034	LOC108098386|XP_017056743.1|DFIC	LOC6529821|XP_002090802.3|DYAK
OG0000034	LOC108087083|XP_017039752.1|DFIC	LOC6536872|XP_002097441.1|DYAK
OG0000034	LOC108093450|XP_017049013.1|DFIC	LOC6527117|XP_002088210.1|DYAK
OG0000035	LOC108102183|XP_017062377.1|DFIC	LOC120321795|XP_039231657.1|DYAK, LOC120321194|XP_039229093.1|DYAK, LOC120321943|XP_039232216.1|DYAK, LOC120321792|XP_039231639.1|DYAK
OG0000035	LOC108093569|XP_017049153.1|DFIC	LOC120321774|XP_039231579.1|DYAK, LOC120322270|XP_039233255.1|DYAK, LOC120321976|XP_039232324.1|DYAK, LOC120321184|XP_039228961.1|DYAK, LOC120320507|XP_039226197.1|DYAK
OG0000036	LOC108096138|XP_017053007.1|DFIC	LOC6536018|XP_002096633.1|DYAK
OG0000036	LOC108097979|XP_017056090.1|DFIC	LOC6537201|XP_002097759.1|DYAK
OG0000036	LOC108098533|XP_017057003.1|DFIC	LOC6535269|XP_002095925.1|DYAK
OG0000036	LOC108087237|XP_017040017.1|DFIC	LOC6537913|XP_002098453.1|DYAK, LOC6537914|XP_039232806.1|DYAK
OG0000037	LOC108087844|XP_017040913.1|DFIC	LOC6531032|XP_002091868.2|DYAK
OG0000037	LOC108088042|XP_017041165.1|DFIC	LOC6535647|XP_002096275.2|DYAK
OG0000037	LOC108088040|XP_017041164.1|DFIC	LOC6535648|XP_002096276.2|DYAK
OG0000038	LOC108088854|XP_017042318.1|DFIC	LOC6539691|XP_002086577.2|DYAK
OG0000038	LOC108088914|XP_017042416.1|DFIC	LOC6534938|XP_039229728.1|DYAK
OG0000039	LOC108091791|XP_017046639.1|DFIC	LOC6537610|XP_002098156.2|DYAK
OG0000039	LOC108097516|XP_017055329.1|DFIC	LOC6524746|XP_002100590.1|DYAK
OG0000039	LOC108097515|XP_017055328.1|DFIC	LOC6524745|XP_002100589.2|DYAK
OG0000039	LOC108095512|XP_017052111.1|DFIC	LOC6526007|XP_002101825.1|DYAK
OG0000040	LOC108092229|XP_017047255.1|DFIC	LOC6535485|XP_002096116.3|DYAK
OG0000040	LOC108087305|XP_017040113.1|DFIC	LOC6536605|XP_002097181.1|DYAK
OG0000040	LOC108087307|XP_017040114.1|DFIC	LOC6536604|XP_002097180.1|DYAK
OG0000040	LOC108092211|XP_017047228.1|DFIC	LOC6535486|XP_002096117.1|DYAK
OG0000040	LOC108092212|XP_017047230.1|DFIC	LOC6535487|XP_002096118.3|DYAK
OG0000040	LOC108092206|XP_017047224.1|DFIC	LOC6535489|XP_002096120.1|DYAK
OG0000040	LOC108100764|XP_017060292.1|DFIC	LOC6539025|XP_002099527.1|DYAK
OG0000041	LOC108095996|XP_017052831.1|DFIC	LOC6538543|XP_002099065.1|DYAK
OG0000041	LOC108095939|XP_017052765.1|DFIC	LOC6538540|XP_002099062.1|DYAK
OG0000041	LOC108095866|XP_017052659.1|DFIC	LOC6538533|XP_002099055.1|DYAK
OG0000041	LOC108095867|XP_017052660.1|DFIC	LOC6538535|XP_039230997.1|DYAK, LOC6538534|XP_002099056.1|DYAK
OG0000042	LOC108097744|XP_017055741.1|DFIC	LOC6525924|XP_002101744.1|DYAK
OG0000042	LOC108090330|XP_017044433.1|DFIC	LOC6531112|XP_002091946.1|DYAK
OG0000042	LOC108090327|XP_017044430.1|DFIC	LOC6531108|XP_002091942.2|DYAK
OG0000042	LOC108090329|XP_017044432.1|DFIC	LOC6531111|XP_002091945.1|DYAK
OG0000042	LOC108090333|XP_017044437.1|DFIC, LOC108090332|XP_017044435.1|DFIC, LOC108090338|XP_017044443.1|DFIC, LOC108090337|XP_017044441.1|DFIC, LOC108090335|XP_017044439.1|DFIC, LOC108090336|XP_017044440.1|DFIC, LOC108090328|XP_017044431.1|DFIC	LOC6531110|XP_002091944.2|DYAK
OG0000042	LOC108090331|XP_017044434.1|DFIC	LOC6531107|XP_002091941.2|DYAK
OG0000043	LOC108087389|XP_017040220.1|DFIC	LOC6536588|XP_002097164.1|DYAK
OG0000043	LOC108087351|XP_017040180.1|DFIC	LOC6536590|XP_002097166.1|DYAK
OG0000043	LOC108087056|XP_017039721.1|DFIC	LOC6536589|XP_002097165.1|DYAK
OG0000043	LOC108092195|XP_017047211.1|DFIC	LOC6536584|XP_002097160.1|DYAK
OG0000043	LOC108087304|XP_017040112.1|DFIC	LOC6536592|XP_002097168.1|DYAK
