Group_ID	AAEG.longest_only.faa	AALB.longest_only.faa	AEAL.longest_only.faa	ASTE.longest_only.faa	BCOP.longest_only.faa	BTRY.longest_only.faa	CCAP.longest_only.faa	CPIP.longest_only.faa	CQUI.longest_only.faa	DALB.longest_only.faa	DANA.longest_only.faa	DBIA.longest_only.faa	DBUS.longest_only.faa	DELE.longest_only.faa	DERE.longest_only.faa	DEUG.longest_only.faa	DFIC.longest_only.faa	DGUA.longest_only.faa	DHYD.longest_only.faa	DKIK.longest_only.faa	DMAU.longest_only.faa	DMEL.longest_only.faa	DMIR.longest_only.faa	DNOV.longest_only.faa	DPER.longest_only.faa	DPSE.longest_only.faa	DSAN.longest_only.faa	DSEC.longest_only.faa	DSER.longest_only.faa	DSIM.longest_only.faa	DSUB.longest_only.faa	DSUP.longest_only.faa	DSUZ.longest_only.faa	DVIR.longest_only.faa	DYAK.longest_only.faa	HILL.longest_only.faa	SLEB.longest_only.faa	total
11	17	12	15	19	6	11	8	16	17	18	12	16	8	10	11	16	13	8	7	15	12	10	12	7	10	10	13	10	14	11	8	14	14	7	14	80	8	509
12	21	2	56	3	3	2	3	18	17	19	13	33	5	19	8	14	26	5	6	29	9	8	9	3	6	8	9	10	14	10	5	16	22	4	9	0	3	447
13	5	2	86	38	13	6	7	124	82	1	1	0	2	0	0	0	5	1	0	0	6	0	4	0	0	4	1	5	0	3	1	5	5	0	4	31	4	446
14	2	2	2	2	5	6	7	3	3	18	17	14	10	14	12	14	12	12	16	17	12	11	15	12	13	13	11	12	15	12	12	16	15	13	12	6	8	396
15	3	20	19	2	34	0	7	87	68	3	3	5	2	5	2	3	8	3	2	6	3	3	7	3	6	6	5	3	3	3	6	5	5	2	4	3	4	353
16	2	1	5	2	0	9	7	1	1	10	11	9	6	6	8	10	10	10	12	11	8	7	15	8	13	13	9	7	9	9	10	9	9	12	8	49	15	341
17	6	2	9	2	2	1	0	15	18	8	7	15	3	12	11	17	13	5	8	14	13	13	9	5	7	7	11	13	10	13	5	18	22	5	12	0	9	340
18	10	4	22	8	6	12	8	10	10	12	8	7	8	7	6	8	9	13	8	7	7	6	9	8	9	8	6	7	7	7	10	7	7	8	6	35	6	336
19	16	10	31	14	14	11	3	18	17	7	7	6	8	6	6	6	6	7	8	7	6	6	8	6	6	7	6	6	6	6	7	6	6	7	6	22	9	334
20	30	12	50	11	13	12	7	36	32	7	5	4	3	4	6	6	4	5	5	4	5	6	5	3	4	4	5	5	3	4	5	5	7	3	6	0	4	330
21	3	2	8	3	116	19	7	3	4	2	3	3	11	4	4	4	3	3	5	4	4	3	4	2	5	6	4	3	4	3	4	3	3	2	4	41	7	313
22	9	3	14	5	22	11	6	11	11	0	5	7	9	7	12	8	7	5	5	7	7	7	8	7	8	8	7	7	7	7	6	7	8	6	6	23	7	300
23	5	5	6	4	7	8	6	5	5	7	5	6	6	5	5	5	5	7	5	7	5	5	71	5	11	8	5	5	7	5	7	6	6	5	5	20	6	296
24	8	5	14	5	9	11	9	7	7	10	9	9	6	9	7	8	7	7	6	8	4	6	7	8	7	7	7	5	9	7	7	8	7	8	9	10	6	283
25	6	3	9	4	13	12	7	8	6	6	9	7	7	6	7	8	8	5	12	7	7	7	7	8	8	8	7	7	7	7	8	8	8	8	7	10	10	282
26	18	10	16	11	1	2	3	8	7	8	6	7	8	8	7	8	7	7	6	7	7	7	9	6	7	7	6	7	7	7	7	7	7	6	7	12	6	277
27	21	16	42	16	1	4	7	31	28	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	24	3	271
28	9	9	11	8	13	4	2	5	5	8	5	6	7	6	6	6	6	5	4	5	6	8	7	6	5	5	6	4	6	6	5	6	7	10	6	41	4	268
29	8	1	5	1	2	10	10	2	4	15	8	6	5	5	5	7	8	8	6	4	8	8	6	5	8	10	9	7	5	8	6	15	24	5	9	10	4	267
30	20	10	20	10	42	6	4	32	35	6	3	4	4	3	2	2	2	2	4	4	2	2	2	4	2	2	2	2	5	2	2	2	2	3	2	7	6	264
31	4	4	8	3	6	8	6	6	2	17	7	11	6	5	6	9	8	7	6	11	6	10	6	6	6	4	7	7	14	6	9	7	8	7	6	6	2	257
32	3	3	6	2	0	6	6	3	2	14	8	8	4	9	8	8	10	7	10	10	8	8	6	6	6	6	8	8	10	8	7	7	6	6	8	14	7	256
33	3	3	3	4	12	3	1	4	3	13	12	10	6	5	3	8	10	6	4	8	7	8	6	7	6	6	9	6	6	8	6	7	8	8	8	15	8	250
34	11	8	23	9	2	7	4	9	9	4	5	5	5	5	5	5	5	4	4	5	6	5	5	4	5	5	5	5	7	6	4	5	5	4	5	30	4	244
35	0	0	1	0	0	4	3	2	0	7	13	3	3	0	0	1	3	0	0	8	17	0	57	7	1	18	24	5	0	8	0	12	26	0	11	0	3	237
36	3	2	4	2	3	12	8	7	7	12	6	7	3	5	7	8	6	3	9	7	6	7	4	6	3	3	6	5	8	9	5	5	4	7	7	20	2	228
37	6	4	9	4	8	63	18	0	0	2	1	2	3	1	1	1	6	1	1	2	1	1	63	1	3	5	1	1	1	0	1	1	2	1	1	2	2	220
38	15	4	23	3	5	7	8	6	7	5	4	4	5	5	5	5	4	4	5	4	5	5	3	5	4	4	5	6	5	5	4	5	5	5	5	14	5	218
39	3	2	6	2	9	5	1	2	3	7	7	7	4	7	7	7	7	5	6	7	7	7	5	6	5	5	7	7	7	7	5	9	7	6	7	4	7	212
40	7	2	25	1	10	82	1	1	0	5	1	2	2	2	1	1	4	2	3	3	2	2	13	3	5	3	2	2	2	2	3	2	3	3	1	0	3	206
41	2	1	1	1	1	3	3	3	2	5	6	9	4	9	5	7	7	6	6	7	6	6	6	5	5	6	6	7	6	8	6	11	12	5	7	9	6	205
42	1	3	1	6	6	2	6	76	69	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	4	24	203
43	13	0	2	0	5	0	0	3	1	0	2	5	2	3	3	5	1	9	2	20	3	2	20	5	23	18	4	3	5	3	7	11	10	4	3	4	0	201
44	0	5	1	3	0	14	2	4	4	6	3	5	5	5	4	6	7	8	4	5	3	4	6	5	7	5	4	4	5	3	7	5	4	4	5	34	3	199
45	0	3	6	11	2	27	1	21	31	3	0	2	0	0	0	2	1	0	0	0	6	0	39	3	1	13	2	0	0	1	0	2	14	2	3	0	3	199
46	13	3	22	2	1	4	3	7	6	3	4	4	4	4	4	3	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	31	4	196
47	1	1	1	1	1	1	0	1	1	6	6	6	6	6	6	6	6	7	4	5	6	6	38	3	3	8	6	6	6	6	6	6	6	6	6	1	5	196
48	4	2	5	3	1	3	2	8	7	10	5	6	7	6	3	6	6	5	6	4	5	6	4	5	5	5	5	6	6	6	5	7	6	7	5	8	5	195
49	21	9	44	17	1	4	6	11	10	4	2	4	2	3	2	3	5	2	2	2	2	2	2	2	2	2	2	2	4	2	2	5	5	2	2	1	2	195
50	1	1	69	31	1	3	5	14	35	0	0	3	0	8	0	1	6	0	0	2	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	9	1	194
51	7	6	10	7	9	5	2	13	9	2	6	5	4	5	4	5	4	4	3	5	4	4	6	3	6	7	4	4	4	4	5	5	5	4	4	4	4	192
52	27	1	27	13	7	29	1	4	3	1	2	2	2	1	2	1	1	4	2	4	1	1	5	2	3	3	1	1	3	1	4	2	2	2	1	20	4	190
53	5	1	20	5	3	6	5	3	0	2	6	6	3	4	7	5	3	3	5	3	4	7	6	7	4	4	5	4	4	5	4	7	2	11	6	9	5	189
54	0	0	10	12	0	2	2	0	5	1	1	2	0	1	0	4	2	1	0	6	3	0	26	1	12	21	3	27	1	3	2	8	6	0	3	0	14	179
55	8	7	18	8	6	4	6	10	9	4	4	4	3	4	4	4	4	3	3	4	4	4	4	3	3	3	4	4	4	4	3	4	4	3	4	3	3	178
56	8	4	12	5	9	1	1	6	5	4	5	4	3	5	5	5	5	3	3	6	7	3	4	3	3	4	5	4	6	5	4	5	5	4	4	8	5	178
57	4	3	9	6	3	4	3	5	4	8	6	6	1	5	6	8	6	5	4	4	5	6	5	4	5	5	4	5	5	5	6	5	5	4	4	1	1	175
58	2	2	0	2	1	7	0	1	2	5	4	5	5	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	8	4	5	5	5	4	4	38	4	172
59	0	0	0	0	0	2	2	0	0	7	6	5	3	6	6	7	7	5	3	9	5	6	7	9	7	7	6	5	6	5	5	8	8	8	6	0	6	172
60	8	5	10	4	5	4	3	8	6	6	4	4	4	3	4	4	5	4	3	4	4	4	3	4	3	3	4	4	4	4	4	4	4	3	4	7	3	164
61	1	1	2	1	1	2	0	2	1	8	4	5	7	5	5	5	5	5	6	5	5	5	8	7	7	7	5	5	5	5	6	5	5	7	5	1	5	164
62	1	1	1	1	2	1	0	1	1	4	6	6	4	6	6	6	6	5	4	8	6	6	6	5	6	6	6	6	5	6	6	6	6	5	6	1	5	163
63	11	2	11	5	12	3	2	9	7	5	5	4	3	4	3	6	4	3	3	6	3	3	3	3	3	3	3	2	4	3	3	4	5	3	3	3	3	162
64	6	3	7	3	5	6	4	5	5	5	3	4	4	4	4	4	5	3	4	5	4	4	4	5	5	5	4	4	5	4	4	4	4	5	4	2	2	158
65	9	5	23	4	2	5	3	7	6	3	4	4	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	4	3	3	3	3	2	3	3	3	151
66	9	4	17	3	1	2	2	3	3	3	4	4	3	4	4	4	4	4	3	4	4	4	4	3	4	4	4	4	4	4	4	4	4	3	4	4	3	150
67	0	0	0	0	0	11	8	0	0	5	4	4	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	4	0	5	149
68	20	4	30	4	13	1	2	12	14	4	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1	2	1	12	1	146
69	0	0	0	0	4	2	3	0	0	3	8	10	1	6	4	8	9	3	3	6	6	5	3	4	3	3	4	5	7	5	4	8	7	4	4	3	1	146
70	2	1	22	1	32	1	2	21	17	1	1	1	1	1	1	1	3	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	14	1	144
71	7	5	27	7	1	4	1	5	6	3	3	2	4	4	3	4	3	3	3	2	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	2	1	144
72	0	2	0	0	0	57	18	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	10	14	0	1	28	0	0	2	0	5	0	0	144
73	4	3	6	5	6	5	3	4	3	3	4	4	3	4	4	4	4	4	3	4	4	4	4	3	5	4	4	4	4	4	2	4	4	3	4	1	4	142
74	1	3	1	11	0	2	1	33	23	3	2	1	4	8	2	4	2	1	2	1	3	2	5	1	2	2	2	3	2	3	1	2	2	1	2	0	3	141
75	2	9	9	8	0	3	3	9	9	3	3	3	3	4	3	4	3	3	3	4	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	1	2	137
76	6	3	9	4	2	3	5	4	4	7	3	3	3	3	3	5	6	2	3	3	3	3	3	1	3	3	3	3	4	3	4	3	3	4	4	6	2	136
77	1	1	1	1	0	1	0	1	1	4	2	4	8	3	4	4	4	4	4	3	4	4	5	11	4	4	4	4	4	4	4	4	4	8	4	4	8	135
78	0	0	0	0	6	8	4	5	0	5	3	6	1	4	5	8	5	2	2	6	5	4	2	1	2	2	6	5	4	6	2	8	8	1	6	2	1	135
79	7	1	10	4	4	2	1	4	7	6	4	5	3	4	3	3	3	2	3	6	2	3	2	3	2	2	3	3	6	2	2	4	4	3	3	6	2	134
80	13	0	51	9	0	1	8	11	4	0	1	0	0	0	1	0	0	0	0	0	0	0	5	0	1	2	9	0	1	2	2	0	3	1	3	4	1	133
81	2	1	1	1	0	3	3	1	1	5	4	6	4	4	4	8	6	3	6	5	4	4	3	4	3	3	3	6	3	4	5	5	8	4	3	0	3	133
82	0	0	4	1	2	1	1	1	3	7	4	4	8	4	2	4	4	4	6	4	4	4	4	7	4	4	4	4	4	4	4	4	4	6	4	1	3	133
83	2	0	39	1	0	14	1	1	0	4	2	2	1	3	2	2	5	2	2	3	1	1	2	2	2	1	1	1	3	2	2	6	12	1	1	8	0	132
84	1	1	1	1	3	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1	2	1	87	2	1	1	1	1	1	1	1	1	1	2	1	1	1	131
85	20	3	44	2	1	5	10	3	5	0	0	2	0	0	1	0	0	0	0	0	3	0	0	0	0	1	1	1	0	3	0	1	6	1	5	12	0	130
86	0	0	0	0	0	18	6	0	0	7	2	4	4	2	1	3	3	1	4	8	1	1	6	7	5	4	1	1	4	1	1	16	8	5	1	0	5	130
87	1	1	0	1	1	4	1	4	3	1	2	5	2	5	2	2	7	3	2	0	2	6	2	4	2	2	2	2	2	2	1	32	14	4	2	0	2	128
88	2	2	2	2	1	4	4	2	2	3	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	3	2	4	128
89	15	0	41	3	9	0	0	20	14	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	1	0	9	2	1	1	3	0	127
90	24	1	49	1	4	10	2	8	5	0	0	1	1	0	0	0	2	1	0	1	0	0	1	0	1	1	0	0	0	0	1	7	4	0	0	0	1	126
91	1	1	4	1	1	2	1	1	1	4	4	4	4	5	4	5	5	3	4	6	4	4	4	4	4	4	4	5	4	4	3	4	4	4	4	1	4	126
92	10	3	18	4	3	4	2	14	8	6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	125
93	33	1	32	2	6	29	1	7	8	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	124
94	3	3	11	2	3	3	0	5	5	2	4	3	3	3	2	3	3	3	3	4	2	3	5	4	4	4	2	2	5	2	3	3	3	5	3	2	3	123
95	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	2	2	0	0	1	0	28	0	9	3	1	2	0	2	0	25	36	0	6	0	0	123
96	1	1	2	1	3	2	3	1	1	9	5	6	3	7	3	4	5	2	3	7	4	4	4	2	2	2	4	4	4	4	2	4	4	2	4	1	1	121
97	1	2	57	1	3	9	3	6	4	1	1	1	2	1	1	1	2	1	1	1	1	1	3	1	1	2	1	1	1	1	1	1	2	2	1	1	1	121
98	0	0	0	0	0	2	0	0	0	8	5	4	3	3	4	6	5	3	3	3	5	5	2	2	2	2	4	4	3	5	3	4	4	5	5	14	2	120
99	1	6	2	0	0	1	1	1	1	2	4	4	3	4	4	3	3	3	2	5	3	4	9	2	4	6	5	3	4	4	6	5	4	2	5	1	2	119
100	2	3	2	2	14	4	5	4	3	2	3	3	1	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	2	3	4	3	119
101	0	0	0	0	0	2	4	0	0	1	3	5	2	3	5	5	12	4	1	4	6	5	4	1	4	4	6	6	6	6	4	4	3	1	6	0	2	119
102	17	7	10	10	3	1	1	17	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11	1	118
103	1	0	1	0	32	6	2	1	1	4	3	3	4	1	2	3	2	1	3	3	2	2	5	5	1	1	0	2	2	2	1	5	5	5	0	2	3	116
104	0	0	0	0	0	0	2	24	21	4	3	3	1	4	1	1	4	3	2	5	1	1	1	4	1	1	3	1	3	1	4	3	3	4	3	0	4	116
105	3	3	6	2	2	9	6	3	3	2	2	3	3	3	2	2	3	2	2	3	3	3	5	2	4	4	3	3	3	2	3	3	2	2	2	5	2	115
106	1	1	2	1	6	2	0	16	16	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	3	2	2	2	13	2	115
107	10	1	23	5	1	15	7	7	8	1	1	1	0	0	1	2	2	1	0	1	1	1	3	1	2	2	1	1	1	1	1	1	1	1	1	7	1	114
108	5	3	21	4	2	9	0	4	3	5	1	2	2	2	1	2	2	1	3	2	2	2	1	3	1	1	2	2	2	2	1	2	2	3	2	10	2	114
109	5	4	7	4	2	2	1	5	4	2	3	3	2	3	3	3	3	2	2	3	3	3	3	2	3	3	3	3	3	3	3	3	3	2	3	5	3	114
110	1	1	5	1	5	4	0	4	3	7	3	3	5	3	2	2	3	3	5	3	2	2	3	3	3	3	2	3	5	3	3	3	3	4	3	2	3	113
111	3	4	12	3	2	3	3	3	3	5	2	3	4	2	2	2	3	2	5	2	2	2	4	5	2	2	2	2	2	2	2	5	3	5	2	1	2	113
112	0	3	43	7	4	2	0	7	5	2	1	2	1	2	2	2	2	1	1	1	2	2	1	1	1	1	2	2	1	2	1	2	3	1	2	0	1	113
113	8	4	13	6	9	2	2	4	5	2	3	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	3	2	2	2	3	2	2	2	4	2	112
114	5	7	8	6	8	3	3	5	5	5	2	2	4	3	2	2	3	2	2	3	2	2	2	2	2	2	2	2	3	2	2	2	2	2	1	1	1	112
115	10	4	15	6	4	2	10	15	11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	2	111
116	2	1	3	1	1	3	5	1	3	4	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	7	3	110
117	2	2	4	2	1	2	2	5	2	4	3	3	4	3	3	3	3	5	4	3	3	3	6	3	3	3	2	3	3	3	3	2	3	3	3	0	3	109
118	2	2	4	2	2	3	3	2	2	3	3	3	3	3	3	3	3	3	3	2	3	3	2	4	3	3	3	3	3	3	3	3	3	4	3	4	3	107
119	1	3	2	2	7	3	3	2	3	3	3	3	2	2	2	3	4	3	2	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	4	2	106
120	10	2	45	0	11	1	2	3	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	105
121	1	1	2	1	3	3	4	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	4	105
122	3	1	5	2	7	2	2	3	4	2	3	2	3	2	3	3	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	1	2	104
123	1	1	3	3	4	1	1	3	1	3	3	3	8	2	4	3	3	2	3	3	3	3	2	3	2	3	3	3	3	4	3	3	3	3	4	0	3	103
124	0	0	0	0	0	12	1	0	0	2	4	3	2	1	2	0	7	0	0	3	3	2	10	1	2	6	8	1	3	4	1	12	6	1	6	0	0	103
125	2	2	4	2	1	2	2	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	102
126	0	1	0	1	0	3	1	0	1	2	2	2	5	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	3	2	5	4	2	4	2	27	4	102
127	1	1	1	2	1	3	3	0	1	3	3	3	3	3	3	3	3	3	3	4	3	3	4	3	3	3	3	7	3	3	3	3	3	3	3	1	3	101
128	3	2	4	2	3	2	1	3	2	2	3	2	0	2	3	2	3	3	2	3	3	3	4	1	5	4	3	3	2	3	4	3	3	2	3	3	4	100
129	8	2	3	5	1	1	1	10	10	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	4	2	100
130	9	4	11	3	2	2	2	7	6	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	100
131	0	0	0	0	0	0	0	1	2	4	3	6	3	4	2	3	3	4	2	3	2	2	6	5	3	4	3	3	4	2	4	6	7	5	2	0	2	100
132	10	3	22	4	2	1	1	18	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
133	1	1	2	1	1	1	2	1	1	3	4	4	3	3	3	3	4	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	1	4	99
134	1	1	2	1	1	1	1	1	1	2	1	3	3	1	1	1	1	8	5	1	1	1	9	5	9	11	1	1	1	1	9	2	2	5	1	1	1	98
135	5	4	13	3	4	2	2	2	7	3	1	2	8	4	1	2	2	1	1	6	1	1	2	3	1	1	1	1	2	1	1	2	1	4	1	0	2	98
136	0	0	0	0	1	1	1	0	0	5	4	3	4	3	3	3	3	2	6	3	3	3	3	7	3	3	3	3	3	3	2	3	3	7	3	2	2	98
137	0	0	0	0	0	4	5	0	0	0	3	2	5	3	2	4	4	4	2	4	3	3	3	5	3	4	3	3	4	3	3	4	4	6	3	0	2	98
138	21	0	35	0	0	3	1	9	6	2	0	0	1	0	0	1	1	0	0	1	0	0	1	0	1	2	0	0	1	0	0	1	7	0	1	0	2	97
139	1	2	1	4	2	1	1	1	1	5	3	2	5	3	2	2	3	3	7	5	2	2	3	4	3	3	2	2	4	2	3	2	2	5	2	0	2	97
140	2	0	5	0	9	9	2	7	6	2	1	2	9	2	3	2	2	1	1	1	2	2	2	2	1	1	2	2	1	2	1	2	3	2	2	1	3	97
141	3	3	4	3	4	1	1	4	4	2	3	3	2	2	3	3	3	2	1	3	3	3	2	2	2	2	3	3	3	3	2	2	2	2	3	3	3	97
142	1	1	2	1	1	2	3	2	2	4	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	97
143	0	0	0	0	3	2	1	0	0	3	3	3	3	3	3	3	3	3	2	3	3	3	3	2	3	3	3	3	3	4	3	4	3	2	3	11	3	97
144	1	1	2	1	1	3	2	1	1	2	4	5	2	3	3	4	2	2	2	5	3	3	2	2	2	2	3	3	3	3	2	7	5	2	3	2	2	96
145	8	10	24	7	0	6	3	20	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	95
146	0	0	0	0	0	3	3	0	0	19	2	2	4	3	2	2	2	2	8	2	2	2	5	5	2	2	2	2	2	2	2	2	2	5	2	0	2	95
147	3	2	8	3	1	3	3	5	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	2	2	2	2	4	3	94
148	0	0	0	1	0	2	2	0	0	1	4	2	1	2	3	3	3	1	1	3	3	2	3	1	3	3	3	3	3	3	2	2	2	1	3	26	2	94
149	4	3	12	14	11	1	2	7	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	93
150	1	2	1	1	2	1	1	1	1	10	3	2	3	2	2	2	2	4	5	1	2	2	3	5	3	3	2	2	1	2	6	2	2	7	2	1	1	93
151	5	3	5	4	2	3	1	5	5	2	2	2	1	2	2	4	2	2	1	2	2	2	3	2	3	3	2	2	2	2	3	2	2	2	2	3	1	93
152	1	1	3	1	1	1	1	1	1	1	6	5	1	4	5	3	4	1	1	4	4	2	1	1	1	1	6	3	4	4	1	5	5	1	5	1	1	92
153	4	3	12	3	4	2	1	3	3	2	2	2	1	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	92
154	1	1	1	1	1	1	1	1	1	3	3	3	2	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	1	3	92
155	3	3	6	3	4	3	2	4	6	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	92
156	2	0	2	0	0	4	5	0	0	3	2	3	2	3	3	3	2	4	2	2	3	2	4	3	3	3	2	2	4	3	4	4	3	3	2	4	1	92
157	8	6	12	3	0	0	1	13	11	11	5	0	0	0	0	0	0	0	1	0	0	0	0	8	1	0	0	0	0	0	0	1	0	10	0	0	0	91
158	13	18	19	15	0	0	0	13	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	91
159	1	1	1	1	2	7	10	1	1	2	2	3	1	2	2	2	5	2	1	3	2	2	2	3	2	2	2	2	3	2	2	2	2	3	2	5	3	91
160	0	0	0	0	0	0	0	0	0	7	3	3	1	2	2	4	3	2	5	4	2	3	2	7	2	2	3	3	4	3	2	5	5	7	3	0	2	91
161	3	1	22	2	4	23	1	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2	13	0	90
162	0	0	1	0	0	14	1	0	0	2	2	3	2	3	3	3	3	2	2	3	3	3	2	2	2	2	3	3	3	3	2	3	3	2	3	5	2	90
163	0	0	0	0	0	0	0	0	0	3	6	6	1	2	4	3	2	2	4	4	4	4	2	2	3	3	4	4	2	4	2	6	6	2	4	0	1	90
164	10	1	15	8	3	1	1	9	9	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	4	1	89
165	3	1	8	2	0	0	1	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	7	2	7	6	2	2	2	2	2	2	2	2	2	1	1	89
166	2	0	4	0	10	2	0	2	2	3	4	1	1	4	2	1	1	2	2	1	2	2	2	2	2	14	2	2	1	2	2	1	4	2	2	1	2	89
167	3	0	4	0	0	1	2	2	2	2	2	3	3	3	3	3	3	3	2	3	3	3	3	1	3	3	3	3	3	2	3	3	3	3	3	2	1	89
