Orthogroup	DSER.longest_only	DBUS.longest_only
OG0000051	LOC110176579|XP_020798652.1|DSER	LOC108601326|XP_017844713.1|DBUS
OG0000052	LOC110191159|XP_020817576.1|DSER, LOC110185541|XP_020810108.1|DSER, LOC110188577|XP_020814000.1|DSER, LOC110188482|XP_020813871.1|DSER, LOC110188395|XP_020813776.1|DSER	LOC108602705|XP_017846348.1|DBUS, LOC108602704|XP_017846347.1|DBUS
OG0000052	LOC110178467|XP_020801266.1|DSER	LOC108595895|XP_017836674.1|DBUS, LOC108594866|XP_017835493.1|DBUS, LOC108595449|XP_017836175.2|DBUS, LOC108595766|XP_017836545.1|DBUS, LOC108596993|XP_017838752.1|DBUS
OG0000052	LOC110178444|XP_020801237.1|DSER	LOC108595795|XP_017836575.1|DBUS, LOC108595759|XP_017836537.1|DBUS
OG0000053	LOC110176132|XP_020798030.1|DSER	LOC108596657|XP_017838132.1|DBUS
OG0000053	LOC110176120|XP_020798020.1|DSER	LOC108596656|XP_017838131.1|DBUS
OG0000053	LOC110176110|XP_020798009.1|DSER	LOC108596363|XP_017837514.1|DBUS
OG0000053	LOC110176101|XP_020798000.1|DSER	LOC108596359|XP_017837509.1|DBUS
OG0000053	LOC110176153|XP_020798053.1|DSER	LOC108596165|XP_017837161.1|DBUS
OG0000054	LOC110191806|XP_020818417.1|DSER	LOC108604220|XP_017849074.1|DBUS, LOC108604256|XP_033150124.1|DBUS, LOC117134982|XP_033150557.1|DBUS
OG0000054	LOC110191860|XP_020818499.1|DSER	LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS
OG0000055	LOC110186692|XP_020811619.1|DSER	LOC108602326|XP_017845902.1|DBUS, LOC108602376|XP_017845970.1|DBUS, LOC108602375|XP_017845969.1|DBUS
OG0000056	LOC110191245|XP_020817684.1|DSER	LOC108603613|XP_017848051.1|DBUS, LOC108603612|XP_017848050.1|DBUS
OG0000056	LOC110191246|XP_020817685.1|DSER, LOC110191243|XP_020817681.1|DSER, LOC110191244|XP_020817682.1|DSER	LOC108602080|XP_017845593.1|DBUS
OG0000056	LOC110191006|XP_020817383.1|DSER, LOC110191004|XP_020817381.1|DSER, LOC110191023|XP_020817399.1|DSER, LOC110191359|XP_020817866.1|DSER	LOC108598485|XP_017840632.1|DBUS
OG0000058	LOC110185667|XP_020810288.1|DSER, LOC110183409|XP_020807348.1|DSER, LOC110185666|XP_020810287.1|DSER, LOC110183419|XP_020807360.1|DSER	LOC108602861|XP_017846639.2|DBUS, LOC108603814|XP_017848423.2|DBUS
OG0000058	LOC110185668|XP_020810289.1|DSER	LOC117135039|XP_033150759.1|DBUS
OG0000058	LOC110182841|XP_020806632.1|DSER	LOC108606881|XP_017852895.1|DBUS
OG0000059	LOC110186820|XP_020811767.1|DSER, LOC110186812|XP_020811757.1|DSER	LOC108601365|XP_017844754.1|DBUS, LOC108601366|XP_017844755.1|DBUS
OG0000059	LOC110186800|XP_020811738.1|DSER	LOC108602589|XP_017846217.1|DBUS
OG0000059	LOC110186808|XP_020811749.1|DSER	LOC108602779|XP_017846474.2|DBUS, LOC108601372|XP_017844761.1|DBUS, LOC108602778|XP_017846473.2|DBUS
OG0000060	LOC110178856|XP_020801778.1|DSER	LOC108605501|XP_017850738.1|DBUS
