Orthogroup	DSER.longest_only	DMIR.longest_only
OG0000006	LOC110182434|XP_020806128.1|DSER, LOC110182140|XP_020805810.1|DSER, LOC110181333|XP_020804710.1|DSER, LOC110182413|XP_020806109.1|DSER, LOC110182153|XP_020805818.1|DSER, LOC110181334|XP_020804711.1|DSER	LOC108156704|XP_017143842.2|DMIR
OG0000007	LOC110184727|XP_020809014.1|DSER	LOC108153675|XP_017139280.1|DMIR, LOC108165331|XP_017156854.2|DMIR
OG0000007	LOC110184726|XP_020809013.1|DSER	LOC108152481|XP_017137344.1|DMIR
OG0000007	LOC110184728|XP_020809015.1|DSER, LOC110184729|XP_020809016.1|DSER, LOC110184693|XP_020808964.1|DSER, LOC110184736|XP_020809022.1|DSER, LOC110184730|XP_020809017.1|DSER	LOC108152482|XP_017137345.1|DMIR
OG0000007	LOC110182363|XP_020806064.1|DSER	LOC108163948|XP_017154978.1|DMIR
OG0000007	LOC110182364|XP_020806065.1|DSER	LOC108164248|XP_017155372.1|DMIR
OG0000007	LOC110190669|XP_020816933.1|DSER	LOC108165521|XP_017157067.1|DMIR
OG0000007	LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER	LOC108164169|XP_017155268.2|DMIR
OG0000007	LOC110184731|XP_020809018.1|DSER	LOC108152483|XP_017137346.1|DMIR
OG0000007	LOC110184732|XP_020809019.1|DSER	LOC108152484|XP_017137347.1|DMIR
OG0000008	LOC110188534|XP_020813940.1|DSER	LOC108154982|XP_017141010.1|DMIR
OG0000008	LOC110183610|XP_020807586.1|DSER	LOC108151537|XP_017135681.1|DMIR
OG0000008	LOC110183609|XP_020807585.1|DSER	LOC108151536|XP_017135679.1|DMIR
OG0000008	LOC110183997|XP_020808013.1|DSER	LOC108161577|XP_017151355.1|DMIR
OG0000008	LOC110183613|XP_020807591.1|DSER	LOC108151539|XP_017135683.2|DMIR
OG0000008	LOC110191723|XP_020818300.1|DSER, LOC110191724|XP_020818301.1|DSER	LOC108154402|XP_017140161.1|DMIR
OG0000008	LOC110191819|XP_020818443.1|DSER	LOC108153895|XP_033244232.1|DMIR
OG0000008	LOC110191725|XP_020818302.1|DSER	LOC108154515|XP_017140305.2|DMIR
OG0000008	LOC110191899|XP_020818544.1|DSER	LOC108153896|XP_017139483.1|DMIR
OG0000008	LOC110191820|XP_020818444.1|DSER	LOC108154491|XP_017140280.1|DMIR
OG0000009	LOC110188739|XP_020814232.1|DSER	LOC108157813|XP_017145500.1|DMIR
OG0000009	LOC110188430|XP_020813815.1|DSER	LOC108154360|XP_017140115.1|DMIR
OG0000009	LOC110188741|XP_020814234.1|DSER, LOC110188740|XP_020814233.1|DSER	LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR
OG0000009	LOC110181065|XP_020804398.1|DSER	LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR
OG0000009	LOC110176644|XP_020798730.1|DSER	LOC108154377|XP_017140130.1|DMIR
OG0000009	LOC110178269|XP_020800994.1|DSER	LOC108160943|XP_017150721.1|DMIR
OG0000009	LOC110189524|XP_020815309.1|DSER, LOC110189486|XP_020815231.1|DSER, LOC110178372|XP_020801168.1|DSER, LOC110178373|XP_020801169.1|DSER, LOC110178375|XP_020801170.1|DSER, LOC110189711|XP_020815559.1|DSER, LOC110178304|XP_020801053.1|DSER, LOC110178309|XP_020801061.1|DSER, LOC110178386|XP_020801181.1|DSER	LOC108158336|XP_017146065.1|DMIR
OG0000010	LOC110182164|XP_020805826.1|DSER	LOC117187310|XP_033245574.1|DMIR, LOC108156705|XP_033245573.1|DMIR
OG0000010	LOC110180662|XP_020804012.1|DSER, LOC110183810|XP_020807821.1|DSER	LOC117187315|XP_033245579.1|DMIR, LOC108156795|XP_017143963.1|DMIR
OG0000010	LOC110176508|XP_020798542.1|DSER, LOC110182165|XP_020805827.1|DSER	LOC117187316|XP_033245580.1|DMIR
OG0000011	LOC110178138|XP_020800825.1|DSER, LOC110185094|XP_020809444.1|DSER, LOC110183280|XP_020807170.1|DSER, LOC110182663|XP_020806400.1|DSER, LOC110187551|XP_020812598.1|DSER, LOC110187412|XP_020812458.1|DSER, LOC110182662|XP_020806399.1|DSER, LOC110183170|XP_020807021.1|DSER, LOC110182672|XP_020806412.1|DSER, LOC110185813|XP_020810477.1|DSER, LOC110182278|XP_020805955.1|DSER	LOC117185695|XP_017152271.2|DMIR, LOC108163065|XP_017153628.2|DMIR, LOC117188829|XP_033249173.1|DMIR, LOC108161855|XP_033249172.1|DMIR, LOC108164675|XP_017156017.1|DMIR, LOC108162189|XP_033249910.1|DMIR, LOC108162187|XP_017152275.1|DMIR, LOC108162186|XP_017152273.1|DMIR, LOC117188852|XP_033249240.1|DMIR, LOC108161557|XP_017151330.1|DMIR, LOC108163629|XP_017154523.1|DMIR, LOC108162188|XP_017152278.1|DMIR, LOC108163972|XP_017155018.1|DMIR, LOC117185693|XP_017154036.1|DMIR, LOC117188957|XP_033249531.1|DMIR, LOC108162812|XP_017153212.1|DMIR, LOC108163322|XP_033249532.1|DMIR, LOC108162815|XP_017153219.1|DMIR
OG0000011	LOC110191403|XP_020817919.1|DSER	LOC108165384|XP_017156911.1|DMIR
OG0000011	LOC110185215|XP_020809607.1|DSER	LOC108154131|XP_017139754.1|DMIR
OG0000012	LOC110178863|XP_020801799.1|DSER	LOC108159199|XP_017147755.1|DMIR
OG0000012	LOC110178859|XP_020801786.1|DSER	LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR
OG0000012	LOC110190967|XP_020817320.1|DSER	LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR
OG0000012	LOC110176037|XP_020797910.1|DSER	LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR
OG0000012	LOC110181698|XP_020805203.1|DSER, LOC110180096|XP_020803382.1|DSER	LOC108161008|XP_017150804.1|DMIR, LOC117185969|XP_033248320.1|DMIR, LOC108157993|XP_033248087.1|DMIR
OG0000012	LOC110181688|XP_020805193.1|DSER, LOC110176319|XP_020798300.1|DSER	LOC108160910|XP_017150675.1|DMIR
OG0000012	LOC110178311|XP_020801063.1|DSER	LOC108158925|XP_017147218.1|DMIR
OG0000012	LOC110178377|XP_020801172.1|DSER	LOC108158929|XP_017147224.1|DMIR
OG0000012	LOC110178312|XP_020801065.1|DSER, LOC110178270|XP_020800995.1|DSER, LOC110178283|XP_020801014.1|DSER	LOC108158928|XP_017147221.1|DMIR
OG0000012	LOC110178292|XP_020801024.1|DSER	LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR
OG0000012	LOC110178324|XP_020801093.1|DSER	LOC108158927|XP_017147219.1|DMIR
OG0000013	LOC110189766|XP_020815644.1|DSER	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR
OG0000013	LOC110179613|XP_020802873.1|DSER	LOC108152903|XP_017138042.1|DMIR
OG0000013	LOC110188689|XP_020814151.1|DSER	LOC108157123|XP_017144495.1|DMIR, LOC108156384|XP_017143289.1|DMIR
OG0000013	LOC110188838|XP_020814394.1|DSER	LOC108151516|XP_033243870.1|DMIR
OG0000013	LOC110191421|XP_020817937.1|DSER, LOC110191071|XP_020817464.1|DSER	LOC108154911|XP_017140853.2|DMIR, LOC117187087|XP_033244842.1|DMIR
OG0000013	LOC110191200|XP_020817626.1|DSER, LOC110191337|XP_020817840.1|DSER	LOC117187120|XP_033245008.1|DMIR, LOC117187121|XP_033245009.1|DMIR, LOC108154243|XP_017139966.2|DMIR, LOC108154002|XP_033245010.1|DMIR
OG0000015	LOC110188001|XP_020813183.1|DSER, LOC110188000|XP_020813182.1|DSER	LOC108154428|XP_017140186.1|DMIR
OG0000015	LOC110179364|XP_020802537.1|DSER	LOC117189153|XP_033250113.1|DMIR, LOC108162329|XP_017152508.1|DMIR, LOC108162330|XP_017152509.1|DMIR
OG0000016	LOC110185112|XP_020809466.1|DSER	LOC108156024|XP_017142762.1|DMIR
OG0000016	LOC110182974|XP_020806826.1|DSER	LOC108160302|XP_017149703.1|DMIR, LOC117190705|XP_033251658.1|DMIR
OG0000016	LOC110186803|XP_020811744.1|DSER	LOC108155657|XP_017142098.1|DMIR
OG0000016	LOC110187883|XP_020813027.1|DSER	LOC108162328|XP_017152507.1|DMIR
OG0000016	LOC110181494|XP_020804920.1|DSER	LOC108154361|XP_017140118.1|DMIR
OG0000016	LOC110189526|XP_020815315.1|DSER	LOC117193102|XP_033253716.1|DMIR, LOC117194496|XP_033254943.1|DMIR, LOC117195216|XP_033255740.1|DMIR, LOC108159228|XP_017147821.1|DMIR
OG0000016	LOC110191952|XP_020818633.1|DSER	LOC108156493|XP_017143475.1|DMIR
OG0000016	LOC110179844|XP_020803110.1|DSER	LOC108150995|XP_017134834.1|DMIR
OG0000017	LOC110179704|XP_020802972.1|DSER	LOC108153009|XP_017138281.1|DMIR
OG0000017	LOC110182944|XP_020806786.1|DSER	LOC108160150|XP_017149453.1|DMIR
OG0000017	LOC110189651|XP_020815456.1|DSER	LOC108159969|XP_017149141.1|DMIR, LOC108158038|XP_017145672.2|DMIR
OG0000017	LOC110177433|XP_020799815.1|DSER, LOC110177434|XP_020799816.1|DSER	LOC108154022|XP_017139603.2|DMIR, LOC117191555|XP_033252276.1|DMIR
OG0000017	LOC110178450|XP_020801244.1|DSER, LOC110178456|XP_020801250.1|DSER	LOC108160759|XP_017150448.1|DMIR
OG0000017	LOC110189689|XP_020815522.1|DSER	LOC108159970|XP_017149142.1|DMIR
OG0000017	LOC110178449|XP_020801243.1|DSER	LOC108157934|XP_017145566.1|DMIR
OG0000017	LOC110183096|XP_020806947.1|DSER, LOC110183098|XP_020806949.1|DSER, LOC110183097|XP_020806948.1|DSER	LOC108161535|XP_017151304.1|DMIR, LOC108161536|XP_017151305.1|DMIR, LOC108161534|XP_017151303.1|DMIR
OG0000018	LOC110184702|XP_020808977.1|DSER	LOC108150828|XP_017134625.1|DMIR
OG0000018	LOC110184746|XP_020809033.1|DSER	LOC108150791|XP_017134583.1|DMIR
OG0000018	LOC110184752|XP_020809041.1|DSER	LOC108150854|XP_017134645.1|DMIR
OG0000018	LOC110184705|XP_020808980.1|DSER, LOC110184704|XP_020808979.1|DSER, LOC110184742|XP_020809030.1|DSER, LOC110184753|XP_020809042.1|DSER, LOC110184714|XP_020808993.1|DSER, LOC110184703|XP_020808978.1|DSER	LOC108150808|XP_017134601.1|DMIR, LOC108165552|XP_017157116.1|DMIR, LOC108165550|XP_017157115.1|DMIR, LOC108150800|XP_017134593.1|DMIR
OG0000019	LOC110186753|XP_020811674.1|DSER	LOC108157046|XP_017144351.1|DMIR, LOC108157045|XP_017144349.1|DMIR, LOC108157044|XP_017144348.1|DMIR
OG0000019	LOC110186746|XP_020811668.1|DSER	LOC108157037|XP_017144339.1|DMIR
OG0000019	LOC110186754|XP_020811675.1|DSER	LOC108157043|XP_017144347.2|DMIR
OG0000019	LOC110186749|XP_020811671.1|DSER, LOC110186750|XP_020811672.1|DSER	LOC108157041|XP_017144346.1|DMIR, LOC108153982|XP_033245000.1|DMIR, LOC108157040|XP_017144345.2|DMIR
OG0000020	LOC110186419|XP_020811254.1|DSER	LOC108156412|XP_017143346.1|DMIR
OG0000020	LOC110179314|XP_020802461.1|DSER	LOC108159642|XP_033248178.1|DMIR
OG0000020	LOC110178058|XP_020800723.1|DSER, LOC110183820|XP_020807830.1|DSER	LOC108163672|XP_017154587.1|DMIR
OG0000020	LOC110188252|XP_020813584.1|DSER	LOC108155178|XP_017141337.1|DMIR
OG0000020	LOC110186984|XP_020811998.1|DSER	LOC108156137|XP_017142939.1|DMIR
OG0000020	LOC110187270|XP_020812316.1|DSER	LOC108163835|XP_033249247.1|DMIR
OG0000020	LOC110183751|XP_020807766.1|DSER	LOC108163643|XP_017154542.1|DMIR
OG0000021	LOC110180622|XP_020803965.1|DSER	LOC108159771|XP_017148818.1|DMIR, LOC117193201|XP_033253843.1|DMIR
OG0000021	LOC110177674|XP_020800156.1|DSER	LOC108159581|XP_017148519.1|DMIR
OG0000021	LOC110177755|XP_020800276.1|DSER	LOC108160670|XP_017150305.2|DMIR, LOC117188150|XP_033247446.1|DMIR
OG0000021	LOC110177907|XP_020800536.1|DSER	LOC117185989|XP_033241901.1|DMIR, LOC108162397|XP_033252470.1|DMIR
OG0000021	LOC110181842|XP_020805408.1|DSER	LOC108164567|XP_033246575.1|DMIR
OG0000021	LOC110184678|XP_020808951.1|DSER	LOC108156061|XP_017142833.1|DMIR
OG0000021	LOC110190995|XP_020817366.1|DSER	LOC108156847|XP_017144055.1|DMIR
OG0000021	LOC110189278|XP_020814959.1|DSER	LOC108164951|XP_017156435.1|DMIR
OG0000022	LOC110176354|XP_020798342.1|DSER	LOC108158428|XP_017146199.1|DMIR, LOC117193272|XP_033253907.1|DMIR, LOC117193269|XP_033253905.1|DMIR
OG0000022	LOC110178658|XP_020801510.1|DSER	LOC108152468|XP_017137324.1|DMIR
OG0000022	LOC110178668|XP_020801523.1|DSER, LOC110178669|XP_020801524.1|DSER, LOC110178663|XP_020801518.1|DSER, LOC110178665|XP_020801519.1|DSER	LOC108152465|XP_017137322.1|DMIR, LOC108152467|XP_017137323.2|DMIR, LOC108152472|XP_017137329.2|DMIR, LOC108152476|XP_017137336.1|DMIR, LOC108152473|XP_017137331.1|DMIR
OG0000022	LOC110178662|XP_020801517.1|DSER	LOC108152470|XP_017137327.1|DMIR
OG0000023	LOC110188311|XP_020813678.1|DSER	LOC108155686|XP_017142144.1|DMIR
OG0000023	LOC110188309|XP_020813677.1|DSER, LOC110188457|XP_020813846.1|DSER	LOC108155685|XP_017142143.1|DMIR
OG0000023	LOC110180829|XP_020804169.1|DSER	LOC108158830|XP_017147022.1|DMIR
OG0000023	LOC110188308|XP_020813675.1|DSER, LOC110188456|XP_020813844.1|DSER	LOC108153856|XP_033244802.1|DMIR
OG0000023	LOC110188454|XP_020813842.1|DSER	LOC108157164|XP_017144562.1|DMIR
OG0000023	LOC110188692|XP_020814155.1|DSER	LOC108156708|XP_017143845.1|DMIR
OG0000023	LOC110188691|XP_020814154.1|DSER	LOC108156707|XP_017143844.1|DMIR
OG0000023	LOC110188690|XP_020814152.1|DSER	LOC108156709|XP_033245059.1|DMIR
OG0000024	LOC110179294|XP_020802438.1|DSER, LOC110179366|XP_020802540.1|DSER, LOC110179298|XP_020802443.1|DSER, LOC110179367|XP_020802541.1|DSER	LOC108160883|XP_017150641.1|DMIR
OG0000024	LOC110179365|XP_020802539.1|DSER	LOC117194102|XP_033254634.1|DMIR, LOC108160812|XP_017150524.1|DMIR
OG0000024	LOC110185697|XP_020810324.1|DSER	LOC108161382|XP_017151119.1|DMIR
OG0000024	LOC110179322|XP_020802473.1|DSER	LOC117194080|XP_033254609.1|DMIR, LOC108160979|XP_017150769.1|DMIR
OG0000024	LOC110180569|XP_020803926.1|DSER	LOC108159455|XP_017148242.1|DMIR
OG0000025	LOC110182356|XP_020806054.1|DSER	LOC108157728|XP_017145391.1|DMIR
OG0000025	LOC110182432|XP_020806127.1|DSER	LOC108156793|XP_017143960.1|DMIR
OG0000026	LOC110176041|XP_020797911.1|DSER	LOC108150850|XP_017134646.1|DMIR
OG0000026	LOC110182689|XP_020806441.1|DSER	LOC108162957|XP_033248732.1|DMIR
OG0000026	LOC110179505|XP_020802740.1|DSER	LOC108165129|XP_017156683.1|DMIR
OG0000026	LOC110189572|XP_020815365.1|DSER	LOC108157803|XP_017145484.1|DMIR, LOC108155726|XP_017142223.1|DMIR, LOC108154308|XP_017140053.1|DMIR
OG0000026	LOC110188271|XP_020813620.1|DSER	LOC108157162|XP_017144561.1|DMIR
OG0000027	LOC110176950|XP_020799111.1|DSER	LOC108162948|XP_017153432.1|DMIR
OG0000027	LOC110176976|XP_020799142.1|DSER	LOC108162949|XP_017153433.1|DMIR
OG0000027	LOC110176929|XP_020799084.1|DSER	LOC108162947|XP_017153431.1|DMIR
OG0000028	LOC110190400|XP_020816511.1|DSER, LOC110190401|XP_020816513.1|DSER, LOC110190052|XP_020816017.1|DSER	LOC117186464|XP_033243221.1|DMIR, LOC108165418|XP_033243407.1|DMIR, LOC108165419|XP_017156946.1|DMIR, LOC108165421|XP_017156949.1|DMIR
OG0000028	LOC110190608|XP_020816860.1|DSER	LOC108151302|XP_017135327.1|DMIR
OG0000029	LOC110181434|XP_020804839.1|DSER, LOC110177071|XP_020799247.1|DSER	LOC117191657|XP_033252354.1|DMIR, LOC108158000|XP_017145632.1|DMIR
OG0000029	LOC110185765|XP_020810430.1|DSER	LOC108154578|XP_017140369.1|DMIR
OG0000029	LOC110178924|XP_020801869.1|DSER	LOC108150820|XP_017134616.1|DMIR
OG0000030	LOC110183999|XP_020808015.1|DSER	LOC108161306|XP_017151015.1|DMIR
OG0000030	LOC110184000|XP_020808016.1|DSER	LOC108161303|XP_017151011.1|DMIR, LOC108161305|XP_017151014.1|DMIR
OG0000030	LOC110184885|XP_020809189.1|DSER	LOC108161162|XP_017150872.2|DMIR
OG0000030	LOC110178494|XP_020801301.1|DSER, LOC110178495|XP_020801302.1|DSER	LOC108160793|XP_017150492.1|DMIR
OG0000030	LOC110180192|XP_020803508.1|DSER	LOC108151546|XP_033246807.1|DMIR
OG0000030	LOC110184177|XP_020808247.1|DSER	LOC108154542|XP_017140365.1|DMIR
OG0000031	LOC110185921|XP_020810593.1|DSER	LOC108163859|XP_017154864.1|DMIR
OG0000031	LOC110185929|XP_020810602.1|DSER	LOC108161143|XP_033248838.1|DMIR, LOC108161141|XP_033248476.1|DMIR
OG0000031	LOC110183330|XP_020807237.1|DSER	LOC108161610|XP_017151398.1|DMIR
OG0000032	LOC110191017|XP_020817393.1|DSER	LOC108156619|XP_017143664.1|DMIR
OG0000032	LOC110189627|XP_020815431.1|DSER	LOC108157651|XP_017145290.1|DMIR
OG0000032	LOC110189708|XP_020815547.1|DSER	LOC108156621|XP_017143666.1|DMIR
OG0000032	LOC110188628|XP_020814064.1|DSER	LOC108156620|XP_017143665.1|DMIR
OG0000032	LOC110190425|XP_020816566.1|DSER	LOC108157634|XP_017145264.1|DMIR
OG0000032	LOC110191021|XP_020817396.1|DSER, LOC110179845|XP_020803112.1|DSER, LOC110190965|XP_020817315.1|DSER, LOC110191414|XP_020817930.1|DSER, LOC110190900|XP_020817217.1|DSER, LOC110188663|XP_020814116.1|DSER, LOC110191408|XP_020817925.1|DSER, LOC110191413|XP_020817929.1|DSER	LOC108156618|XP_017143663.1|DMIR
OG0000033	LOC110184954|XP_020809264.1|DSER, LOC110185945|XP_020810623.1|DSER	LOC108156558|XP_017143572.1|DMIR
OG0000033	LOC110189687|XP_020815520.1|DSER	LOC117189759|XP_033250731.1|DMIR, LOC108159420|XP_017148176.1|DMIR
OG0000033	LOC110189686|XP_020815519.1|DSER	LOC117187710|XP_033246345.1|DMIR, LOC108159419|XP_017148175.2|DMIR
OG0000033	LOC110188470|XP_020813858.1|DSER, LOC110188471|XP_020813859.1|DSER, LOC110188478|XP_020813866.1|DSER	LOC108153999|XP_033244121.1|DMIR
OG0000034	LOC110184859|XP_020809159.1|DSER	LOC108164271|XP_017155403.1|DMIR
OG0000034	LOC110184890|XP_020809195.1|DSER	LOC108164069|XP_033249364.1|DMIR
OG0000034	LOC110185580|XP_020810168.1|DSER, LOC110185578|XP_020810167.1|DSER	LOC117185901|XP_033249912.1|DMIR, LOC108162133|XP_017152203.1|DMIR, LOC108162132|XP_017152201.1|DMIR
OG0000034	LOC110185768|XP_020810429.1|DSER	LOC108162131|XP_017152200.1|DMIR
OG0000036	LOC110188341|XP_020813708.1|DSER	LOC108157733|XP_017145397.1|DMIR
OG0000036	LOC110191887|XP_020818531.1|DSER	LOC117187198|XP_033245230.1|DMIR
OG0000036	LOC110187659|XP_020812737.1|DSER	LOC108157106|XP_017144468.1|DMIR
OG0000036	LOC110186335|XP_020811144.1|DSER	LOC108155635|XP_017142061.1|DMIR
OG0000037	LOC110178458|XP_020801255.1|DSER	LOC108160263|XP_017149626.1|DMIR
