Orthogroup	DSER.longest_only	DMEL.longest_only
OG0000004	LOC110181335|XP_020804713.1|DSER, LOC110183807|XP_020807818.1|DSER, LOC110180697|XP_020804038.1|DSER	His1_CG33834|NP_001027334.1|DMEL, His1_CG33813|NP_001027299.1|DMEL, His1_CG33852|NP_001027364.1|DMEL, His1_CG33846|NP_001027354.1|DMEL, His1_CG33828|NP_001027324.1|DMEL, His1_CG33819|NP_001027309.1|DMEL, His1_CG33855|NP_001027369.1|DMEL, His1_CG33837|NP_001027339.1|DMEL, His1_CG33861|NP_001027379.1|DMEL, His1_CG33831|NP_001027329.1|DMEL, His1_CG33843|NP_001027349.1|DMEL, His1_CG33864|NP_001027384.1|DMEL, His1_CG33858|NP_001027374.1|DMEL, His1_CG33810|NP_001027295.1|DMEL, His1_CG33840|NP_001027344.1|DMEL, His1_CG33804|NP_001027286.1|DMEL, His1_CG33801|NP_001027282.1|DMEL, His1_CG33807|NP_001027290.1|DMEL, His1_CG33816|NP_001027304.1|DMEL, His1_CG33822|NP_001027314.1|DMEL, His1_CG33825|NP_001027319.1|DMEL, His1_CG33849|NP_001027359.1|DMEL, His1_CG31617|NP_724341.1|DMEL
OG0000006	LOC110182161|XP_020805824.1|DSER, LOC110185948|XP_020810624.1|DSER	His2A_CG33850|NP_001027361.1|DMEL
OG0000006	LOC110182132|XP_020805800.1|DSER	His2A_CG33832|NP_001027331.1|DMEL
OG0000006	LOC110182133|XP_020805802.1|DSER	His2A_CG33820|NP_001027311.1|DMEL
OG0000006	LOC110181334|XP_020804711.1|DSER	His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL
OG0000007	LOC110184727|XP_020809014.1|DSER	Jon65Aiv|NP_648012.1|DMEL
OG0000007	LOC110184726|XP_020809013.1|DSER	Jon65Aiii|NP_648013.1|DMEL
OG0000007	LOC110182363|XP_020806064.1|DSER	Jon25Bii|NP_608882.1|DMEL
OG0000007	LOC110189366|XP_020815075.1|DSER	Jon99Fi|NP_651800.2|DMEL, Jon99Fii|NP_651799.1|DMEL
OG0000007	LOC110186676|XP_020811602.1|DSER, LOC110186433|XP_020811275.1|DSER	Jon99Cii|NP_524554.1|DMEL, Jon99Ciii|NP_733330.1|DMEL
OG0000007	LOC110182364|XP_020806065.1|DSER	Jon25Bi|NP_001033873.1|DMEL
OG0000007	LOC110190669|XP_020816933.1|DSER	Jon66Ci|NP_729372.1|DMEL
OG0000007	LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER	Jon25Biii|NP_608881.1|DMEL
OG0000007	LOC110184731|XP_020809018.1|DSER	Jon65Aii|NP_648014.1|DMEL
OG0000007	LOC110184732|XP_020809019.1|DSER	Jon65Ai|NP_648015.1|DMEL
OG0000008	LOC110188534|XP_020813940.1|DSER	Cpr92A|NP_650813.2|DMEL
OG0000008	LOC110183610|XP_020807586.1|DSER	Cpr64Aa|NP_647872.1|DMEL
OG0000008	LOC110183609|XP_020807585.1|DSER	Cpr64Ad|NP_647875.1|DMEL
OG0000008	LOC110183997|XP_020808013.1|DSER	Crys|NP_476906.1|DMEL
OG0000008	LOC110183613|XP_020807591.1|DSER	Cpr64Ab|NP_647873.2|DMEL
OG0000008	LOC110182844|XP_020806635.1|DSER	Cpr5C|NP_572266.1|DMEL
OG0000008	LOC110191723|XP_020818300.1|DSER, LOC110191724|XP_020818301.1|DSER	Ccp84Aa|NP_649683.1|DMEL, Ccp84Ab|NP_649682.1|DMEL
OG0000008	LOC110191898|XP_020818543.1|DSER	Ccp84Ad|NP_649680.1|DMEL
OG0000008	LOC110191819|XP_020818443.1|DSER	Ccp84Af|NP_649678.1|DMEL
OG0000008	LOC110191725|XP_020818302.1|DSER	Ccp84Ac|NP_649681.1|DMEL
OG0000008	LOC110191899|XP_020818544.1|DSER	Ccp84Ae|NP_649679.1|DMEL
OG0000008	LOC110191820|XP_020818444.1|DSER	Ccp84Ag|NP_649677.1|DMEL
OG0000009	LOC110188739|XP_020814232.1|DSER	CG11453|NP_650832.1|DMEL
OG0000009	LOC110188430|XP_020813815.1|DSER	CG11391|NP_650830.1|DMEL
OG0000009	LOC110188741|XP_020814234.1|DSER	CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL
OG0000009	LOC110188740|XP_020814233.1|DSER	CG11407|NP_650831.1|DMEL
OG0000009	LOC110181065|XP_020804398.1|DSER	CG4563|NP_611913.1|DMEL
OG0000009	LOC110176644|XP_020798730.1|DSER	CG4830|NP_650160.1|DMEL
OG0000009	LOC110178269|XP_020800994.1|DSER	CG8834|NP_610779.1|DMEL
OG0000010	LOC110182164|XP_020805826.1|DSER	His4_CG33881|NP_001027352.1|DMEL, His4_CG33877|NP_001027362.1|DMEL, His4_CG33869|NP_001027382.1|DMEL, His4_CG33879|NP_001027357.1|DMEL
OG0000010	LOC110182441|XP_020806135.1|DSER	His4_CG33871|NP_001027377.1|DMEL
OG0000010	LOC110180662|XP_020804012.1|DSER, LOC110183810|XP_020807821.1|DSER	His4_CG33885|NP_001027342.1|DMEL
OG0000011	LOC110183280|XP_020807170.1|DSER	CG15436|NP_608840.1|DMEL
OG0000011	LOC110182663|XP_020806400.1|DSER, LOC110187551|XP_020812598.1|DSER, LOC110187412|XP_020812458.1|DSER, LOC110182662|XP_020806399.1|DSER	Neu2|NP_649316.1|DMEL
OG0000011	LOC110182278|XP_020805955.1|DSER	CG4318|NP_572860.2|DMEL
OG0000011	LOC110191403|XP_020817919.1|DSER	CG17361|NP_648678.3|DMEL
OG0000011	LOC110185215|XP_020809607.1|DSER	CG8319|NP_649920.2|DMEL
OG0000012	LOC110178863|XP_020801799.1|DSER	CG9416|NP_611415.2|DMEL
OG0000012	LOC110178859|XP_020801786.1|DSER	CG10051|NP_611414.1|DMEL
OG0000012	LOC110190967|XP_020817320.1|DSER	CG11961|NP_725876.1|DMEL
OG0000012	LOC110176037|XP_020797910.1|DSER	CG10062|NP_001261089.1|DMEL
OG0000012	LOC110180096|XP_020803382.1|DSER	CG10081|NP_611418.1|DMEL
OG0000012	LOC110176319|XP_020798300.1|DSER	CG10073|NP_001261090.1|DMEL
OG0000012	LOC110178311|XP_020801063.1|DSER	CG30047|NP_725141.1|DMEL
OG0000012	LOC110178377|XP_020801172.1|DSER	CG30049|NP_725142.3|DMEL
OG0000012	LOC110178312|XP_020801065.1|DSER	CG30043|NP_725143.1|DMEL
OG0000012	LOC110178292|XP_020801024.1|DSER	CG33012|NP_788335.2|DMEL
OG0000012	LOC110178324|XP_020801093.1|DSER	CG13160|NP_001260918.1|DMEL
OG0000013	LOC110189766|XP_020815644.1|DSER	Hsc70-5|NP_523741.2|DMEL
OG0000013	LOC110179613|XP_020802873.1|DSER	Hsc70-3|NP_727563.1|DMEL
OG0000013	LOC110188689|XP_020814151.1|DSER	Hsc70-4|NP_524356.1|DMEL
OG0000013	LOC110188838|XP_020814394.1|DSER	Hsc70-1|NP_524063.1|DMEL
OG0000013	LOC110188074|XP_020813284.1|DSER	Hsc70-2|NP_524339.1|DMEL
OG0000013	LOC110191421|XP_020817937.1|DSER, LOC110191071|XP_020817464.1|DSER	Hsp68|NP_524474.1|DMEL
OG0000013	LOC110191200|XP_020817626.1|DSER, LOC110191337|XP_020817840.1|DSER	Hsp70Bb|NP_524927.2|DMEL, Hsp70Bc|NP_650209.1|DMEL, Hsp70Ba|NP_731716.1|DMEL, Hsp70Bbb|NP_788663.1|DMEL, Hsp70Ab|NP_524798.2|DMEL, Hsp70Aa|NP_731651.1|DMEL
OG0000015	LOC110181407|XP_020804802.1|DSER	lectin-37Db|NP_001188847.1|DMEL
OG0000015	LOC110187200|XP_020812259.1|DSER, LOC110182170|XP_020805830.1|DSER, LOC110187202|XP_020812260.1|DSER	CG15818|NP_609116.1|DMEL
OG0000015	LOC110179364|XP_020802537.1|DSER	CG7763|NP_001356891.1|DMEL
OG0000016	LOC110185112|XP_020809466.1|DSER	Act87E|NP_477091.1|DMEL
OG0000016	LOC110182974|XP_020806826.1|DSER	Act57B|NP_523800.1|DMEL
OG0000016	LOC110186803|XP_020811744.1|DSER	Arp1|NP_524331.2|DMEL
OG0000016	LOC110181494|XP_020804920.1|DSER	Act5C|NP_511052.1|DMEL
OG0000016	LOC110189526|XP_020815315.1|DSER	Act42A|NP_523625.1|DMEL
OG0000016	LOC110191952|XP_020818633.1|DSER	Act88F|NP_524367.1|DMEL
OG0000016	LOC110179844|XP_020803110.1|DSER	Act79B|NP_524210.1|DMEL
OG0000017	LOC110179704|XP_020802972.1|DSER	Or7a|NP_511081.1|DMEL
OG0000017	LOC110182944|XP_020806786.1|DSER	Or43b|NP_523656.2|DMEL
OG0000017	LOC110189651|XP_020815456.1|DSER	Or42a|NP_523622.2|DMEL
OG0000017	LOC110186415|XP_020811251.1|DSER	Or85a|NP_524277.1|DMEL
OG0000017	LOC110177433|XP_020799815.1|DSER, LOC110177434|XP_020799816.1|DSER	Or98a|NP_524536.2|DMEL
OG0000017	LOC110178450|XP_020801244.1|DSER, LOC110178456|XP_020801250.1|DSER	Or59b|NP_523822.1|DMEL
OG0000017	LOC110189689|XP_020815522.1|DSER	Or42b|NP_523624.2|DMEL
OG0000017	LOC110178449|XP_020801243.1|DSER	Or59c|NP_523823.1|DMEL
OG0000017	LOC110183096|XP_020806947.1|DSER, LOC110183098|XP_020806949.1|DSER, LOC110183097|XP_020806948.1|DSER	Or22b|NP_477425.1|DMEL, Or22a|NP_523453.1|DMEL
OG0000018	LOC110184702|XP_020808977.1|DSER	Cpr65Av|NP_729146.1|DMEL
OG0000018	LOC110184746|XP_020809033.1|DSER	Lcp65Ac|NP_477279.1|DMEL
OG0000018	LOC110184752|XP_020809041.1|DSER	Lcp65Ad|NP_477278.1|DMEL
OG0000018	LOC110184753|XP_020809042.1|DSER, LOC110184714|XP_020808993.1|DSER	Lcp65Ag1|NP_477273.1|DMEL, Lcp65Ag2|NP_477272.1|DMEL, Lcp65Ag3|NP_652662.1|DMEL
OG0000019	LOC110186753|XP_020811674.1|DSER	CG6283|NP_651524.1|DMEL
OG0000019	LOC110186755|XP_020811676.1|DSER, LOC110186756|XP_020811677.1|DSER	CG17192|NP_651522.1|DMEL, CG17191|NP_651523.1|DMEL
OG0000019	LOC110186746|XP_020811668.1|DSER	CG6296|NP_651520.1|DMEL
OG0000019	LOC110186754|XP_020811675.1|DSER	CG6295|NP_651521.1|DMEL
OG0000019	LOC110186749|XP_020811671.1|DSER, LOC110186750|XP_020811672.1|DSER	CG6277|NP_651525.1|DMEL, CG6271|NP_651526.1|DMEL
OG0000020	LOC110186419|XP_020811254.1|DSER	rdog|NP_651678.1|DMEL
OG0000020	LOC110179314|XP_020802461.1|DSER	CG10505|NP_611571.2|DMEL
OG0000020	LOC110178058|XP_020800723.1|DSER	l_2_03659|NP_001260823.1|DMEL
OG0000020	LOC110183820|XP_020807830.1|DSER	CG7627|NP_001245943.1|DMEL
OG0000020	LOC110188252|XP_020813584.1|DSER	CG4562|NP_001262747.1|DMEL
OG0000020	LOC110186984|XP_020811998.1|DSER	Mrp4|NP_650086.2|DMEL
OG0000020	LOC110187270|XP_020812316.1|DSER	CG9270|NP_995741.2|DMEL
OG0000020	LOC110183751|XP_020807766.1|DSER	CG31793|NP_609930.4|DMEL
OG0000021	LOC110180622|XP_020803965.1|DSER	Pp1-Y1|NP_001104152.3|DMEL
OG0000021	LOC110177674|XP_020800156.1|DSER	PpN58A|NP_477384.1|DMEL
OG0000021	LOC110177755|XP_020800276.1|DSER	PpD5|NP_524707.1|DMEL
OG0000021	LOC110177907|XP_020800536.1|DSER	PpY-55A|NP_476689.1|DMEL
OG0000021	LOC110181842|XP_020805408.1|DSER	flw|NP_727418.1|DMEL
OG0000021	LOC110184678|XP_020808951.1|DSER	Pp1alpha-96A|NP_524484.1|DMEL
OG0000021	LOC110190995|XP_020817366.1|DSER	Pp1-87B|NP_524937.1|DMEL
OG0000021	LOC110189278|XP_020814959.1|DSER	Pp1-13C|NP_524921.1|DMEL
OG0000022	LOC110176354|XP_020798342.1|DSER	CG7798|NP_611098.1|DMEL
OG0000022	LOC110178658|XP_020801510.1|DSER	LysX|NP_523881.1|DMEL
OG0000022	LOC110178662|XP_020801517.1|DSER	LysS|NP_476829.1|DMEL
OG0000023	LOC110188311|XP_020813678.1|DSER	alpha-Est3|NP_524267.2|DMEL
OG0000023	LOC110188309|XP_020813677.1|DSER, LOC110188457|XP_020813846.1|DSER	alpha-Est2|NP_524268.3|DMEL
OG0000023	LOC110180829|XP_020804169.1|DSER	gas|NP_611678.1|DMEL
OG0000023	LOC110188308|XP_020813675.1|DSER	alpha-Est1|NP_524269.3|DMEL
OG0000023	LOC110188454|XP_020813842.1|DSER	alpha-Est7|NP_524261.1|DMEL
OG0000023	LOC110188692|XP_020814155.1|DSER	alpha-Est9|NP_731165.2|DMEL
OG0000023	LOC110188691|XP_020814154.1|DSER	alpha-Est8|NP_524259.2|DMEL
OG0000023	LOC110188690|XP_020814152.1|DSER	alpha-Est10|NP_001246962.1|DMEL
OG0000024	LOC110179294|XP_020802438.1|DSER, LOC110179366|XP_020802540.1|DSER, LOC110179298|XP_020802443.1|DSER, LOC110179367|XP_020802541.1|DSER	alphaTry|NP_476771.1|DMEL
OG0000024	LOC110179365|XP_020802539.1|DSER	epsilonTry|NP_525112.1|DMEL
OG0000024	LOC110185697|XP_020810324.1|DSER	CG17571|NP_610109.1|DMEL
OG0000024	LOC110179322|XP_020802473.1|DSER	thetaTry|NP_523693.1|DMEL
OG0000024	LOC110180569|XP_020803926.1|DSER	Ser8|NP_610874.1|DMEL
OG0000025	LOC110182356|XP_020806054.1|DSER	His3.3A|NP_523479.1|DMEL
OG0000025	LOC110182432|XP_020806127.1|DSER	His3_CG33866|NP_001027387.1|DMEL, His3_CG33839|NP_001027343.1|DMEL
OG0000025	LOC110181330|XP_020804708.1|DSER	His3_CG33842|NP_001027348.1|DMEL
OG0000025	LOC110180699|XP_020804039.1|DSER	His3_CG33845|NP_001027353.1|DMEL
OG0000026	LOC110176041|XP_020797911.1|DSER	antdh|NP_572695.2|DMEL
OG0000026	LOC110182689|XP_020806441.1|DSER	CG9150|NP_608991.2|DMEL
OG0000026	LOC110179505|XP_020802740.1|DSER	CG9360|NP_572746.1|DMEL
OG0000026	LOC110188271|XP_020813620.1|DSER	CG3301|NP_650964.1|DMEL
OG0000027	LOC110176950|XP_020799111.1|DSER	Acp1|NP_477115.1|DMEL
OG0000027	LOC110176976|XP_020799142.1|DSER	CG7203|NP_609143.2|DMEL
OG0000027	LOC110176929|XP_020799084.1|DSER	CG7214|NP_609141.1|DMEL
OG0000028	LOC110190400|XP_020816511.1|DSER, LOC110190401|XP_020816513.1|DSER, LOC110190052|XP_020816017.1|DSER	CG32214|NP_730409.2|DMEL, 825-Oak|NP_730410.2|DMEL, CG32213|NP_730413.2|DMEL, CG14095|NP_649112.1|DMEL
OG0000028	LOC110190608|XP_020816860.1|DSER	CG13068|NP_648856.1|DMEL
OG0000029	LOC110181434|XP_020804839.1|DSER, LOC110177071|XP_020799247.1|DSER	CheA46a|NP_001027399.1|DMEL
OG0000029	LOC110185765|XP_020810430.1|DSER	CheA84a|NP_001027150.1|DMEL
OG0000029	LOC110178924|XP_020801869.1|DSER	CheA75a|NP_649035.2|DMEL
OG0000030	LOC110183999|XP_020808015.1|DSER	Or33c|NP_523555.1|DMEL
OG0000030	LOC110184000|XP_020808016.1|DSER	Or33b|NP_523554.1|DMEL
OG0000030	LOC110184885|XP_020809189.1|DSER	Or23a|NP_523458.3|DMEL
OG0000030	LOC110178495|XP_020801302.1|DSER	Or59a|NP_523821.1|DMEL
OG0000030	LOC110180192|XP_020803508.1|DSER	Or2a|NP_525046.1|DMEL
OG0000030	LOC110184177|XP_020808247.1|DSER	Or19b|NP_728315.1|DMEL, Or19a|NP_525013.2|DMEL
OG0000031	LOC110185921|XP_020810593.1|DSER	CG4793|NP_723941.2|DMEL, CG18477|NP_609763.1|DMEL, CG31780|NP_723920.1|DMEL
OG0000031	LOC110183330|XP_020807237.1|DSER	CG5390|NP_609374.1|DMEL
OG0000032	LOC110191017|XP_020817393.1|DSER	GstD1|NP_524326.1|DMEL
OG0000032	LOC110189627|XP_020815431.1|DSER	GstD10|NP_652713.1|DMEL
OG0000032	LOC110188628|XP_020814064.1|DSER	GstD9|NP_650181.1|DMEL
OG0000032	LOC110190425|XP_020816566.1|DSER	GstD8|NP_524916.1|DMEL
OG0000032	LOC110191021|XP_020817396.1|DSER	GstD4|NP_524913.1|DMEL
OG0000032	LOC110179845|XP_020803112.1|DSER	GstD2|NP_524912.1|DMEL
OG0000032	LOC110190965|XP_020817315.1|DSER	GstD5|NP_524914.3|DMEL
OG0000032	LOC110190900|XP_020817217.1|DSER	GstD3|NP_788656.1|DMEL
OG0000032	LOC110188663|XP_020814116.1|DSER	GstD7|NP_525114.1|DMEL
OG0000032	LOC110191408|XP_020817925.1|DSER, LOC110191413|XP_020817929.1|DSER	GstD6|NP_524915.1|DMEL
OG0000033	LOC110184954|XP_020809264.1|DSER, LOC110185945|XP_020810623.1|DSER	CheB98a|NP_652269.3|DMEL
OG0000033	LOC110189687|XP_020815520.1|DSER	CheB42c|NP_995764.2|DMEL
OG0000033	LOC110189316|XP_020815019.1|DSER, LOC110189317|XP_020815020.1|DSER	CheB42b|NP_995763.1|DMEL
OG0000033	LOC110189686|XP_020815519.1|DSER	CheB42a|NP_995765.1|DMEL
OG0000033	LOC110188470|XP_020813858.1|DSER, LOC110188471|XP_020813859.1|DSER	CheB74a|NP_001027134.1|DMEL
OG0000034	LOC110184859|XP_020809159.1|DSER	Ugt37C1|NP_525007.1|DMEL, Ugt37C2|NP_652629.1|DMEL
OG0000034	LOC110184879|XP_020809185.1|DSER	Ugt37E1|NP_652628.2|DMEL
OG0000034	LOC110184890|XP_020809195.1|DSER	Ugt37D1|NP_652627.2|DMEL
OG0000034	LOC110185580|XP_020810168.1|DSER, LOC110185578|XP_020810167.1|DSER	Ugt37A1|NP_523607.2|DMEL, Ugt37A3|NP_650229.2|DMEL, Ugt37A2|NP_650228.1|DMEL
OG0000034	LOC110185768|XP_020810429.1|DSER	Ugt37B1|NP_525008.2|DMEL
OG0000036	LOC110188341|XP_020813708.1|DSER	Sp7|NP_649734.2|DMEL
OG0000036	LOC110191887|XP_020818531.1|DSER	ea|NP_524362.2|DMEL
OG0000036	LOC110187659|XP_020812737.1|DSER	MP1|NP_001303421.1|DMEL
OG0000036	LOC110186335|XP_020811144.1|DSER	SPE|NP_651168.1|DMEL
OG0000037	LOC110178458|XP_020801255.1|DSER	Cyp12b2|NP_611370.2|DMEL
OG0000037	LOC110188328|XP_020813694.1|DSER	Cyp12a5|NP_650782.1|DMEL
OG0000037	LOC110188288|XP_020813646.1|DSER	Cyp12a4|NP_650783.2|DMEL
OG0000038	LOC110187819|XP_020812959.1|DSER, LOC110190399|XP_020816510.1|DSER	Cpr76Bb|NP_649121.1|DMEL
OG0000038	LOC110189906|XP_020815830.1|DSER	Cpr76Bd|NP_001262052.1|DMEL
OG0000039	LOC110181782|XP_020805320.1|DSER	Ag5r|NP_524770.1|DMEL
OG0000039	LOC110181861|XP_020805441.1|DSER	Ag5r2|NP_524689.2|DMEL
OG0000039	LOC110181937|XP_020805533.1|DSER	CG32679|NP_727412.2|DMEL
OG0000040	LOC110177295|XP_020799616.1|DSER	CG17803|NP_650657.2|DMEL
OG0000040	LOC110190225|XP_020816248.1|DSER	CG6689|NP_650051.1|DMEL
OG0000040	LOC110190236|XP_020816258.1|DSER	CG4820|NP_001097748.1|DMEL
OG0000040	LOC110177298|XP_020799618.1|DSER, LOC110177453|XP_020799846.1|DSER	CG17806|NP_650658.1|DMEL
OG0000040	LOC110177296|XP_020799617.1|DSER	CG17802|NP_650659.2|DMEL
OG0000040	LOC110177417|XP_020799793.1|DSER	Odj|NP_650661.1|DMEL
OG0000040	LOC110186252|XP_020810992.1|DSER	CG1792|NP_651878.1|DMEL
OG0000041	LOC110186567|XP_020811434.1|DSER	CG31300|NP_651373.2|DMEL
OG0000041	LOC110186484|XP_020811330.1|DSER	CG11893|NP_651375.1|DMEL
OG0000041	LOC110186805|XP_020811746.1|DSER, LOC110186801|XP_020811741.1|DSER, LOC110186551|XP_020811415.1|DSER	CG31436|NP_733096.1|DMEL
OG0000041	LOC110186535|XP_020811395.1|DSER, LOC110186667|XP_020811591.1|DSER	CG13659|NP_651378.1|DMEL, CG31370|NP_733095.2|DMEL
OG0000042	LOC110191593|XP_020818136.1|DSER	CG14502|NP_611311.1|DMEL
OG0000042	LOC110191603|XP_020818147.1|DSER, LOC110191604|XP_020818149.1|DSER	CG18539|NP_611315.3|DMEL
OG0000042	LOC110191595|XP_020818140.1|DSER	CG18536|NP_611312.1|DMEL
OG0000042	LOC110191594|XP_020818138.1|DSER, LOC110191596|XP_020818141.1|DSER, LOC110191698|XP_020818273.1|DSER, LOC110191696|XP_020818271.1|DSER, LOC110191597|XP_020818142.1|DSER	CG18538|NP_611314.2|DMEL, CG18537|NP_611313.1|DMEL
OG0000042	LOC110191697|XP_020818272.1|DSER, LOC110191695|XP_020818269.1|DSER	CG18540|NP_611316.2|DMEL
OG0000043	LOC110187856|XP_020813000.1|DSER	Ugt302K1|NP_652620.1|DMEL
OG0000043	LOC110188004|XP_020813185.1|DSER	Ugt302C1|NP_652626.1|DMEL
OG0000043	LOC110187858|XP_020813002.1|DSER	Ugt35E2|NP_652623.2|DMEL
OG0000043	LOC110191369|XP_020817880.1|DSER	Ugt35D1|NP_651866.1|DMEL
OG0000043	LOC110187786|XP_020812917.1|DSER	Ugt35B1|NP_524313.2|DMEL
OG0000044	LOC110186554|XP_020811416.1|DSER, LOC110186305|XP_020811085.1|DSER	CG31087|NP_733100.1|DMEL
OG0000044	LOC110186559|XP_020811423.1|DSER, LOC110186558|XP_020811422.1|DSER	CG10562|NP_651385.3|DMEL
OG0000044	LOC110186306|XP_020811086.1|DSER, LOC110186581|XP_020811453.1|DSER	CHKov1|NP_001097918.1|DMEL
OG0000044	LOC110186555|XP_020811417.1|DSER	CG10559|NP_651382.2|DMEL
OG0000044	LOC110186661|XP_020811584.1|DSER	CG10560|NP_651384.2|DMEL
OG0000044	LOC110186693|XP_020811620.1|DSER	CG6908|NP_650105.1|DMEL
OG0000045	LOC110178672|XP_020801529.1|DSER	Cpr67Fb|NP_648420.1|DMEL
OG0000045	LOC110178605|XP_020801449.1|DSER, LOC110178606|XP_020801450.1|DSER	Cpr67Fa1|NP_648418.1|DMEL, Cpr67Fa2|NP_648419.1|DMEL
OG0000045	LOC110186854|XP_020811804.1|DSER, LOC110176386|XP_020798377.1|DSER, LOC110186862|XP_020811816.1|DSER	Cpr65Ec|NP_648077.1|DMEL
OG0000045	LOC110187537|XP_020812593.1|DSER	Cpr65Eb|NP_648076.3|DMEL
OG0000046	LOC110188408|XP_020813792.1|DSER	CG5892|NP_650959.2|DMEL
OG0000046	LOC110180077|XP_020803358.1|DSER	CG14219|NP_608322.1|DMEL
OG0000046	LOC110180079|XP_020803360.1|DSER	CG14205|NP_608323.1|DMEL
OG0000046	LOC110180089|XP_020803371.1|DSER, LOC110180088|XP_020803370.1|DSER	CG14204|NP_608321.1|DMEL
OG0000046	LOC110185913|XP_020810588.1|DSER	CG16723|NP_651159.3|DMEL
OG0000046	LOC110185924|XP_020810599.1|DSER	CG10183|NP_651160.3|DMEL
OG0000046	LOC110184743|XP_020809034.1|DSER	CG33337|NP_996269.2|DMEL
OG0000046	LOC110184620|XP_020808877.1|DSER, LOC110184815|XP_020809118.1|DSER	CG10182|NP_651158.1|DMEL, CG13325|NP_610836.1|DMEL
OG0000047	LOC110180463|XP_020803800.1|DSER	loopin-1|NP_001097338.1|DMEL
OG0000047	LOC110176287|XP_020798269.1|DSER	S-Lap8|NP_611132.1|DMEL
OG0000047	LOC110189583|XP_020815375.1|DSER	S-Lap5|NP_610892.1|DMEL
OG0000047	LOC110184762|XP_020809052.1|DSER	S-Lap3|NP_648394.1|DMEL
OG0000047	LOC110189698|XP_020815532.1|DSER	S-Lap7|NP_610900.1|DMEL
OG0000047	LOC110184679|XP_020808950.1|DSER	S-Lap4|NP_729613.1|DMEL
