Orthogroup	DSER.longest_only	DSUZ.longest_only
OG0000013	LOC110188838|XP_020814394.1|DSER	LOC108012921|XP_016933934.1|DSUZ
OG0000013	LOC110188074|XP_020813284.1|DSER	LOC108018484|XP_016941530.2|DSUZ
OG0000013	LOC110191421|XP_020817937.1|DSER, LOC110191071|XP_020817464.1|DSER	LOC108015759|XP_036673283.1|DSUZ
OG0000013	LOC110191200|XP_020817626.1|DSER, LOC110191337|XP_020817840.1|DSER	LOC108007391|XP_016926534.2|DSUZ
OG0000015	LOC110181407|XP_020804802.1|DSER	LOC108016959|XP_016939387.2|DSUZ
OG0000015	LOC110182685|XP_020806436.1|DSER	LOC108008179|XP_016927458.2|DSUZ, LOC108008180|XP_016927459.1|DSUZ, LOC108015638|XP_016937623.1|DSUZ
OG0000015	LOC110187200|XP_020812259.1|DSER, LOC110182170|XP_020805830.1|DSER, LOC110187202|XP_020812260.1|DSER	LOC108009429|XP_016929253.1|DSUZ, LOC108018082|XP_016941013.1|DSUZ, LOC108018900|XP_016941980.1|DSUZ
OG0000015	LOC110179364|XP_020802537.1|DSER	LOC108010103|XP_016930413.1|DSUZ
OG0000016	LOC110185112|XP_020809466.1|DSER	LOC118877550|XP_036672553.1|DSUZ, LOC108019413|XP_016942724.1|DSUZ
OG0000016	LOC110182974|XP_020806826.1|DSER	LOC108009286|XP_016929004.1|DSUZ
OG0000016	LOC110186803|XP_020811744.1|DSER	LOC108008079|XP_016927358.2|DSUZ
OG0000016	LOC110181494|XP_020804920.1|DSER	LOC108011133|XP_016931695.1|DSUZ
OG0000016	LOC110189526|XP_020815315.1|DSER	LOC108010965|XP_016931470.1|DSUZ
OG0000016	LOC110191952|XP_020818633.1|DSER	LOC108006430|XP_016925443.1|DSUZ
OG0000016	LOC110179844|XP_020803110.1|DSER	LOC108007764|XP_016927008.1|DSUZ
OG0000017	LOC110179704|XP_020802972.1|DSER	LOC108018993|XP_036676279.1|DSUZ
OG0000017	LOC110182944|XP_020806786.1|DSER	LOC108009448|XP_016929291.1|DSUZ
OG0000017	LOC110189651|XP_020815456.1|DSER	LOC108016443|XP_036678346.1|DSUZ, LOC108016442|XP_036678332.1|DSUZ, LOC108016444|XP_016938585.2|DSUZ
OG0000017	LOC110186415|XP_020811251.1|DSER	LOC108006071|XP_036673105.1|DSUZ
OG0000017	LOC110177433|XP_020799815.1|DSER, LOC110177434|XP_020799816.1|DSER	LOC108015782|XP_016937825.2|DSUZ
OG0000017	LOC110178450|XP_020801244.1|DSER, LOC110178456|XP_020801250.1|DSER	LOC108009905|XP_016930117.1|DSUZ
OG0000017	LOC110189689|XP_020815522.1|DSER	LOC108019403|XP_016942713.1|DSUZ
OG0000017	LOC110178449|XP_020801243.1|DSER	LOC108009903|XP_016930115.2|DSUZ, LOC108009904|XP_036669180.1|DSUZ
OG0000017	LOC110183096|XP_020806947.1|DSER, LOC110183098|XP_020806949.1|DSER, LOC110183097|XP_020806948.1|DSER	LOC108010173|XP_036669903.1|DSUZ, LOC108019602|XP_016942950.1|DSUZ
OG0000018	LOC110184702|XP_020808977.1|DSER	LOC108012738|XP_016933660.1|DSUZ
OG0000018	LOC110184746|XP_020809033.1|DSER	LOC108012644|XP_016933559.1|DSUZ
OG0000018	LOC110184752|XP_020809041.1|DSER	LOC108012663|XP_016933579.1|DSUZ
OG0000018	LOC110184704|XP_020808979.1|DSER, LOC110184742|XP_020809030.1|DSER	LOC108013584|XP_036671249.1|DSUZ, LOC108013583|XP_016935000.1|DSUZ
OG0000018	LOC110184753|XP_020809042.1|DSER, LOC110184714|XP_020808993.1|DSER	LOC108012675|XP_016933591.2|DSUZ
OG0000018	LOC110184703|XP_020808978.1|DSER	LOC108012710|XP_016933628.2|DSUZ, LOC118877292|XP_036671250.1|DSUZ
OG0000019	LOC110186753|XP_020811674.1|DSER	LOC108016142|XP_016938246.1|DSUZ
OG0000019	LOC110186755|XP_020811676.1|DSER, LOC110186756|XP_020811677.1|DSER	LOC108016122|XP_036675619.1|DSUZ, LOC118878133|XP_036675618.1|DSUZ, LOC108016148|XP_016938252.2|DSUZ
OG0000019	LOC110186746|XP_020811668.1|DSER	LOC108016158|XP_036675606.1|DSUZ
OG0000019	LOC110186754|XP_020811675.1|DSER	LOC108016141|XP_016938245.1|DSUZ
OG0000019	LOC110186749|XP_020811671.1|DSER, LOC110186750|XP_020811672.1|DSER	LOC108016139|XP_016938240.1|DSUZ, LOC108016146|XP_016938250.2|DSUZ
OG0000020	LOC110186419|XP_020811254.1|DSER	LOC108007025|XP_016926120.1|DSUZ, LOC108007202|XP_036674589.1|DSUZ
OG0000020	LOC110179314|XP_020802461.1|DSER	LOC108009233|XP_016928887.1|DSUZ
OG0000020	LOC110178058|XP_020800723.1|DSER	LOC108010328|XP_016930743.1|DSUZ
OG0000020	LOC110183820|XP_020807830.1|DSER	LOC108021143|XP_036673557.1|DSUZ
OG0000020	LOC110188252|XP_020813584.1|DSER	LOC108015714|XP_036672549.1|DSUZ
OG0000020	LOC110186984|XP_020811998.1|DSER	LOC108010610|XP_036674725.1|DSUZ
OG0000020	LOC110187270|XP_020812316.1|DSER	LOC108021708|XP_016946031.1|DSUZ
OG0000020	LOC110183751|XP_020807766.1|DSER	LOC108021147|XP_016945207.1|DSUZ
OG0000021	LOC110177674|XP_020800156.1|DSER	LOC108009589|XP_016929550.1|DSUZ
OG0000021	LOC110177755|XP_020800276.1|DSER	LOC108009874|XP_016930066.1|DSUZ
OG0000021	LOC110177907|XP_020800536.1|DSER	LOC108008720|XP_016928109.1|DSUZ
OG0000021	LOC110181842|XP_020805408.1|DSER	LOC108012220|XP_036675724.1|DSUZ
OG0000021	LOC110184678|XP_020808951.1|DSER	LOC108006427|XP_036673222.1|DSUZ
OG0000021	LOC110190995|XP_020817366.1|DSER	LOC108018719|XP_036672548.1|DSUZ
OG0000021	LOC110189278|XP_020814959.1|DSER	LOC108005418|XP_036676931.1|DSUZ
OG0000022	LOC110176354|XP_020798342.1|DSER	LOC108008926|XP_016928324.1|DSUZ
OG0000022	LOC110178658|XP_020801510.1|DSER	LOC108012621|XP_016933529.1|DSUZ
OG0000022	LOC110178662|XP_020801517.1|DSER	LOC108013021|XP_016934101.1|DSUZ, LOC108013023|XP_016934102.2|DSUZ
OG0000023	LOC110188311|XP_020813678.1|DSER	LOC108013952|XP_016935450.2|DSUZ
OG0000023	LOC110188309|XP_020813677.1|DSER, LOC110188457|XP_020813846.1|DSER	LOC108019337|XP_016942646.2|DSUZ
OG0000023	LOC110180829|XP_020804169.1|DSER	LOC108009166|XP_016928770.1|DSUZ
OG0000023	LOC110188308|XP_020813675.1|DSER	LOC108018731|XP_036675082.1|DSUZ
OG0000023	LOC110188454|XP_020813842.1|DSER	LOC108013954|XP_016935453.2|DSUZ
OG0000023	LOC110188692|XP_020814155.1|DSER	LOC108013962|XP_016935466.1|DSUZ
OG0000023	LOC110188691|XP_020814154.1|DSER	LOC108013947|XP_036675218.1|DSUZ
OG0000023	LOC110188690|XP_020814152.1|DSER	LOC108013965|XP_016935470.1|DSUZ
OG0000024	LOC110179294|XP_020802438.1|DSER, LOC110179366|XP_020802540.1|DSER, LOC110179298|XP_020802443.1|DSER, LOC110179367|XP_020802541.1|DSER	LOC108010252|XP_016930594.2|DSUZ
OG0000024	LOC110179365|XP_020802539.1|DSER	LOC108010071|XP_016930374.1|DSUZ
OG0000024	LOC110185697|XP_020810324.1|DSER	LOC108021416|XP_016945617.2|DSUZ, LOC108021417|XP_016945618.1|DSUZ, LOC108021415|XP_016945616.1|DSUZ
OG0000024	LOC110180569|XP_020803926.1|DSER	LOC108019756|XP_016943207.1|DSUZ
OG0000025	LOC110184425|XP_020808619.1|DSER, LOC110178949|XP_020801906.1|DSER	LOC108018019|XP_016940867.1|DSUZ, LOC108017891|XP_016940550.2|DSUZ
OG0000025	LOC110182356|XP_020806054.1|DSER	LOC108016763|XP_016939005.1|DSUZ
OG0000025	LOC110182432|XP_020806127.1|DSER	LOC108016331|XP_036678431.1|DSUZ
OG0000026	LOC110176041|XP_020797911.1|DSER	LOC108004556|XP_016922979.1|DSUZ
OG0000026	LOC110182689|XP_020806441.1|DSER	LOC108010503|XP_036668665.1|DSUZ
OG0000026	LOC110179505|XP_020802740.1|DSER	LOC108005489|XP_016924284.1|DSUZ
OG0000026	LOC110189572|XP_020815365.1|DSER	LOC108014363|XP_016935943.1|DSUZ
OG0000026	LOC110188271|XP_020813620.1|DSER	LOC108013851|XP_016935328.2|DSUZ
OG0000027	LOC110176950|XP_020799111.1|DSER	LOC118879783|XP_036678676.1|DSUZ
OG0000027	LOC110176976|XP_020799142.1|DSER	LOC108021423|XP_016945624.1|DSUZ
OG0000027	LOC110176929|XP_020799084.1|DSER	LOC108015770|XP_036678674.1|DSUZ
OG0000028	LOC110190400|XP_020816511.1|DSER, LOC110190401|XP_020816513.1|DSER, LOC110190052|XP_020816017.1|DSER	LOC118877530|XP_036672475.1|DSUZ, LOC108006594|XP_016925608.2|DSUZ, LOC118876756|XP_036670662.1|DSUZ, LOC108017018|XP_016939463.2|DSUZ, LOC118877233|XP_036670663.1|DSUZ, LOC118877238|XP_036670669.1|DSUZ, LOC118877536|XP_036672481.1|DSUZ, LOC108017017|XP_036670659.1|DSUZ, LOC108017016|XP_036672473.1|DSUZ, LOC118877237|XP_036670668.1|DSUZ, LOC118877232|XP_036670660.1|DSUZ, LOC118877535|XP_036672480.1|DSUZ
OG0000028	LOC110190608|XP_020816860.1|DSER	LOC118877366|XP_036671777.1|DSUZ
OG0000029	LOC110181434|XP_020804839.1|DSER, LOC110177071|XP_020799247.1|DSER	LOC108008251|XP_016927530.2|DSUZ
OG0000029	LOC110185765|XP_020810430.1|DSER	LOC108018480|XP_016941526.2|DSUZ
OG0000029	LOC110178924|XP_020801869.1|DSER	LOC108019543|XP_016942870.2|DSUZ
OG0000030	LOC110183999|XP_020808015.1|DSER	LOC108013240|XP_036677776.1|DSUZ
OG0000030	LOC110184000|XP_020808016.1|DSER	LOC108012924|XP_016933943.1|DSUZ
OG0000030	LOC110184885|XP_020809189.1|DSER	LOC108008732|XP_016928155.2|DSUZ, LOC108008937|XP_016928378.2|DSUZ, LOC108008635|XP_016928046.1|DSUZ
OG0000030	LOC110178495|XP_020801302.1|DSER	LOC108008957|XP_016928357.1|DSUZ
OG0000030	LOC110180192|XP_020803508.1|DSER	LOC108016627|XP_016938811.1|DSUZ
OG0000030	LOC110184177|XP_020808247.1|DSER	LOC108005272|XP_016923949.2|DSUZ, LOC108005153|XP_016923816.2|DSUZ
OG0000031	LOC110185921|XP_020810593.1|DSER	LOC108004553|XP_016923012.1|DSUZ, LOC108020876|XP_016944764.1|DSUZ, LOC108016065|XP_016938150.1|DSUZ
OG0000031	LOC110183330|XP_020807237.1|DSER	LOC108017973|XP_016940764.1|DSUZ
OG0000032	LOC110191017|XP_020817393.1|DSER	LOC108018357|XP_036672791.1|DSUZ
OG0000032	LOC110189708|XP_020815547.1|DSER	LOC108018355|XP_036672792.1|DSUZ
OG0000032	LOC110190425|XP_020816566.1|DSER	LOC108018408|XP_016941455.1|DSUZ
OG0000032	LOC110190900|XP_020817217.1|DSER	LOC108007771|XP_016927017.1|DSUZ
OG0000032	LOC110188663|XP_020814116.1|DSER	LOC118877584|XP_036672749.1|DSUZ
OG0000033	LOC110184954|XP_020809264.1|DSER, LOC110185945|XP_020810623.1|DSER	LOC108007608|XP_016926802.1|DSUZ, LOC118877727|XP_036673586.1|DSUZ, LOC108007624|XP_036673594.1|DSUZ, LOC108007609|XP_016926803.2|DSUZ
OG0000033	LOC110189687|XP_020815520.1|DSER	LOC108017678|XP_016940276.1|DSUZ
OG0000033	LOC110189316|XP_020815019.1|DSER, LOC110189317|XP_020815020.1|DSER	LOC108017971|XP_016940757.1|DSUZ
OG0000033	LOC110189686|XP_020815519.1|DSER	LOC108017970|XP_016940756.2|DSUZ
OG0000033	LOC110188470|XP_020813858.1|DSER, LOC110188471|XP_020813859.1|DSER	LOC108010515|XP_016930878.2|DSUZ
OG0000034	LOC110184859|XP_020809159.1|DSER	LOC108021477|XP_016945708.1|DSUZ
OG0000034	LOC110184879|XP_020809185.1|DSER	LOC108021476|XP_016945707.1|DSUZ
OG0000034	LOC110184890|XP_020809195.1|DSER	LOC108021724|XP_016946052.1|DSUZ
OG0000034	LOC110185580|XP_020810168.1|DSER, LOC110185578|XP_020810167.1|DSER	LOC108009317|XP_016929074.1|DSUZ, LOC108007509|XP_016926684.2|DSUZ, LOC108005694|XP_016924510.2|DSUZ, LOC108005688|XP_016924502.2|DSUZ
OG0000034	LOC110185768|XP_020810429.1|DSER	LOC108011927|XP_016932664.1|DSUZ
OG0000036	LOC110188341|XP_020813708.1|DSER	LOC108019328|XP_036675087.1|DSUZ
OG0000036	LOC110191887|XP_020818531.1|DSER	LOC108006404|XP_016925415.2|DSUZ
OG0000036	LOC110187659|XP_020812737.1|DSER	LOC108011658|XP_016932343.2|DSUZ
OG0000036	LOC110186335|XP_020811144.1|DSER	LOC108007854|XP_036674140.1|DSUZ
OG0000037	LOC110178458|XP_020801255.1|DSER	LOC108018132|XP_016941074.1|DSUZ
OG0000037	LOC110188328|XP_020813694.1|DSER	LOC108017560|XP_036672906.1|DSUZ
OG0000037	LOC110188288|XP_020813646.1|DSER	LOC108013828|XP_016935296.2|DSUZ, LOC108013829|XP_016935299.2|DSUZ
OG0000038	LOC110187819|XP_020812959.1|DSER, LOC110190399|XP_020816510.1|DSER	LOC108020759|XP_016944626.2|DSUZ
OG0000038	LOC110189906|XP_020815830.1|DSER	LOC108010653|XP_036670653.1|DSUZ
OG0000039	LOC110181782|XP_020805320.1|DSER	LOC108006280|XP_016925226.1|DSUZ
OG0000039	LOC110181861|XP_020805441.1|DSER	LOC108006287|XP_016925235.1|DSUZ
OG0000039	LOC110181937|XP_020805533.1|DSER	LOC108019017|XP_016942120.1|DSUZ
OG0000040	LOC110177295|XP_020799616.1|DSER	LOC108016198|XP_036675321.1|DSUZ
OG0000040	LOC110190225|XP_020816248.1|DSER	LOC108006036|XP_036674433.1|DSUZ
OG0000040	LOC110190236|XP_020816258.1|DSER	LOC108006007|XP_036674432.1|DSUZ
OG0000040	LOC110177298|XP_020799618.1|DSER, LOC110177453|XP_020799846.1|DSER	LOC108011397|XP_016932008.2|DSUZ, LOC108011398|XP_036675473.1|DSUZ
OG0000040	LOC110177296|XP_020799617.1|DSER	LOC108007390|XP_036675323.1|DSUZ, LOC108007385|XP_016926531.2|DSUZ
OG0000040	LOC110177417|XP_020799793.1|DSER	LOC108007382|XP_016926528.2|DSUZ
OG0000040	LOC110186252|XP_020810992.1|DSER	LOC108010783|XP_016931200.1|DSUZ
OG0000041	LOC110186567|XP_020811434.1|DSER	LOC108012086|XP_016932852.2|DSUZ
OG0000041	LOC110186484|XP_020811330.1|DSER	LOC108007889|XP_036674680.1|DSUZ
OG0000041	LOC110186805|XP_020811746.1|DSER, LOC110186801|XP_020811741.1|DSER, LOC110186551|XP_020811415.1|DSER	LOC108007918|XP_016927178.2|DSUZ
OG0000042	LOC110191593|XP_020818136.1|DSER	LOC108017900|XP_016940559.1|DSUZ
OG0000042	LOC110191603|XP_020818147.1|DSER, LOC110191604|XP_020818149.1|DSER	LOC108017907|XP_016940566.1|DSUZ
OG0000042	LOC110191595|XP_020818140.1|DSER	LOC108017901|XP_016940560.1|DSUZ
OG0000042	LOC110191594|XP_020818138.1|DSER, LOC110191596|XP_020818141.1|DSER, LOC110191698|XP_020818273.1|DSER, LOC110191696|XP_020818271.1|DSER, LOC110191597|XP_020818142.1|DSER	LOC108017904|XP_036669901.1|DSUZ, LOC108017721|XP_016940320.2|DSUZ, LOC108017910|XP_016940568.2|DSUZ, LOC108017722|XP_016940321.2|DSUZ
