Orthogroup	DSER.longest_only	DANA.longest_only
OG0000016	LOC110185112|XP_020809466.1|DSER	LOC6500386|XP_001953106.1|DANA
OG0000016	LOC110182974|XP_020806826.1|DSER	LOC6495063|XP_001959144.1|DANA
OG0000016	LOC110186803|XP_020811744.1|DSER	LOC6499904|XP_001953662.1|DANA
OG0000016	LOC110181494|XP_020804920.1|DSER	LOC6504746|XP_032309021.1|DANA
OG0000016	LOC110189526|XP_020815315.1|DSER	LOC6496662|XP_001961354.1|DANA
OG0000016	LOC110191952|XP_020818633.1|DSER	LOC6501076|XP_001954513.1|DANA
OG0000016	LOC110179844|XP_020803110.1|DSER	LOC6493807|XP_014764542.1|DANA
OG0000017	LOC110179704|XP_020802972.1|DSER	LOC6503036|XP_001963366.1|DANA
OG0000017	LOC110182944|XP_020806786.1|DSER	LOC6494096|XP_001960985.1|DANA
OG0000017	LOC110189651|XP_020815456.1|DSER	LOC6493898|XP_001961368.1|DANA
OG0000017	LOC110177433|XP_020799815.1|DSER, LOC110177434|XP_020799816.1|DSER	LOC6499101|XP_001955295.3|DANA, LOC6499102|XP_001955294.1|DANA
OG0000017	LOC110178450|XP_020801244.1|DSER, LOC110178456|XP_020801250.1|DSER	LOC6494709|XP_001959816.1|DANA
OG0000017	LOC110189689|XP_020815522.1|DSER	LOC6496668|XP_001961367.1|DANA
OG0000017	LOC110178449|XP_020801243.1|DSER	LOC6494707|XP_001959817.2|DANA
OG0000017	LOC110183096|XP_020806947.1|DSER, LOC110183098|XP_020806949.1|DSER, LOC110183097|XP_020806948.1|DSER	LOC6498649|XP_001963243.2|DANA
OG0000018	LOC110184702|XP_020808977.1|DSER	LOC6493787|XP_001958436.1|DANA
OG0000018	LOC110184746|XP_020809033.1|DSER	LOC6506162|XP_001958433.1|DANA
OG0000018	LOC110184752|XP_020809041.1|DSER	LOC6506161|XP_001958434.1|DANA
OG0000018	LOC110184703|XP_020808978.1|DSER	LOC6493789|XP_001958438.1|DANA
OG0000019	LOC110186753|XP_020811674.1|DSER	LOC6505609|XP_001964601.1|DANA
OG0000019	LOC110186755|XP_020811676.1|DSER, LOC110186756|XP_020811677.1|DSER	LOC6505610|XP_001964600.1|DANA
OG0000019	LOC110186746|XP_020811668.1|DSER	LOC6505613|XP_032305481.1|DANA
OG0000019	LOC110186754|XP_020811675.1|DSER	LOC6505612|XP_001964599.1|DANA
OG0000019	LOC110186749|XP_020811671.1|DSER, LOC110186750|XP_020811672.1|DSER	LOC6505608|XP_001964602.1|DANA
OG0000020	LOC110186419|XP_020811254.1|DSER	LOC6499398|XP_032312200.1|DANA
OG0000020	LOC110179314|XP_020802461.1|DSER	LOC6494967|XP_001959313.1|DANA
OG0000020	LOC110178058|XP_020800723.1|DSER	LOC6497509|XP_001961936.3|DANA, LOC26514839|XP_032307435.1|DANA, LOC26514326|XP_014762314.1|DANA
OG0000020	LOC110183820|XP_020807830.1|DSER	LOC6497508|XP_032307386.1|DANA
OG0000020	LOC110188252|XP_020813584.1|DSER	LOC6500139|XP_032312147.1|DANA
OG0000020	LOC110186984|XP_020811998.1|DSER	LOC6501153|XP_001954651.1|DANA
OG0000020	LOC110187270|XP_020812316.1|DSER	LOC6506852|XP_001965261.1|DANA
OG0000020	LOC110183751|XP_020807766.1|DSER	LOC6497510|XP_032307412.1|DANA
OG0000021	LOC110180622|XP_020803965.1|DSER	LOC6502914|XP_001967640.3|DANA
OG0000021	LOC110177674|XP_020800156.1|DSER	LOC6494472|XP_001960263.1|DANA
OG0000021	LOC110177755|XP_020800276.1|DSER	LOC6494465|XP_001960278.1|DANA
OG0000021	LOC110177907|XP_020800536.1|DSER	LOC6496057|XP_001960127.1|DANA
OG0000021	LOC110184678|XP_020808951.1|DSER	LOC6503446|XP_001967498.1|DANA
OG0000021	LOC110190995|XP_020817366.1|DSER	LOC6499833|XP_001953817.3|DANA
OG0000021	LOC110189278|XP_020814959.1|DSER	LOC6503731|XP_032308490.1|DANA
OG0000022	LOC110176354|XP_020798342.1|DSER	LOC6495509|XP_001959002.1|DANA
OG0000022	LOC110178658|XP_020801510.1|DSER	LOC6492952|XP_001956727.1|DANA
OG0000022	LOC110178663|XP_020801518.1|DSER, LOC110178665|XP_020801519.1|DSER	LOC116655906|XP_032310747.1|DANA, LOC116655745|XP_032309535.1|DANA, LOC6492947|XP_032309534.1|DANA, LOC6492949|XP_001956722.1|DANA
OG0000022	LOC110178662|XP_020801517.1|DSER	LOC6507069|XP_001956716.1|DANA
OG0000023	LOC110188311|XP_020813678.1|DSER	LOC6500077|XP_001953265.1|DANA
OG0000023	LOC110188309|XP_020813677.1|DSER, LOC110188457|XP_020813846.1|DSER	LOC6500461|XP_001953266.1|DANA
OG0000023	LOC110180829|XP_020804169.1|DSER	LOC6494760|XP_001959725.1|DANA
OG0000023	LOC110188308|XP_020813675.1|DSER	LOC6500076|XP_001953267.1|DANA
OG0000023	LOC110188454|XP_020813842.1|DSER	LOC6500083|XP_001953259.2|DANA
OG0000023	LOC110188692|XP_020814155.1|DSER	LOC6500087|XP_001953255.2|DANA
OG0000023	LOC110188691|XP_020814154.1|DSER	LOC6500085|XP_032312233.1|DANA
OG0000023	LOC110188690|XP_020814152.1|DSER	LOC6500088|XP_014766376.1|DANA
OG0000024	LOC110179294|XP_020802438.1|DSER, LOC110179366|XP_020802540.1|DSER, LOC110179298|XP_020802443.1|DSER, LOC110179367|XP_020802541.1|DSER	LOC6495396|XP_001958754.1|DANA, LOC6495253|XP_001958752.1|DANA
OG0000024	LOC110179365|XP_020802539.1|DSER	LOC6495252|XP_001958753.1|DANA
OG0000024	LOC110185697|XP_020810324.1|DSER	LOC6498256|XP_001962412.1|DANA
OG0000024	LOC110179322|XP_020802473.1|DSER	LOC6495254|XP_001958751.1|DANA
OG0000024	LOC110180569|XP_020803926.1|DSER	LOC6496529|XP_001961079.1|DANA
OG0000025	LOC110182356|XP_020806054.1|DSER	LOC6498525|XP_001962995.1|DANA
OG0000025	LOC110182432|XP_020806127.1|DSER	LOC26513707|XP_032309216.1|DANA
OG0000025	LOC110180688|XP_020804032.1|DSER, LOC110182443|XP_020806137.1|DSER	LOC6498725|XP_001967729.1|DANA
OG0000026	LOC110176041|XP_020797911.1|DSER	LOC6505023|XP_001965614.1|DANA
OG0000026	LOC110182689|XP_020806441.1|DSER	LOC6498214|XP_001962316.1|DANA
OG0000026	LOC110179505|XP_020802740.1|DSER	LOC6502964|XP_001963504.1|DANA
OG0000026	LOC110189572|XP_020815365.1|DSER	LOC6499160|XP_001955195.1|DANA, LOC6499161|XP_001955194.1|DANA
OG0000026	LOC110188271|XP_020813620.1|DSER	LOC6500045|XP_001953325.1|DANA
OG0000027	LOC110176950|XP_020799111.1|DSER	LOC6497408|XP_001962144.1|DANA
OG0000027	LOC110176976|XP_020799142.1|DSER	LOC6497406|XP_001962147.2|DANA
OG0000027	LOC110176929|XP_020799084.1|DSER	LOC6497407|XP_001962145.1|DANA
OG0000028	LOC110190402|XP_020816516.1|DSER	LOC6506315|XP_001958127.1|DANA, LOC116655856|XP_032310373.1|DANA
OG0000028	LOC110190400|XP_020816511.1|DSER, LOC110190401|XP_020816513.1|DSER, LOC110190052|XP_020816017.1|DSER	LOC6493628|XP_001958129.1|DANA, LOC6493626|XP_001958124.2|DANA, LOC6506316|XP_001958125.1|DANA, LOC116655895|XP_032310688.1|DANA, LOC26514521|XP_014765635.1|DANA, LOC6506314|XP_001958128.1|DANA
OG0000028	LOC110190608|XP_020816860.1|DSER	LOC6506803|XP_001957208.1|DANA
OG0000029	LOC110181434|XP_020804839.1|DSER, LOC110177071|XP_020799247.1|DSER	LOC116655417|XP_032309201.1|DANA
OG0000029	LOC110185765|XP_020810430.1|DSER	LOC26514560|XP_014767301.1|DANA, LOC6502609|XP_001955595.2|DANA
OG0000029	LOC110178924|XP_020801869.1|DSER	LOC6506262|XP_014764698.1|DANA
OG0000030	LOC110183999|XP_020808015.1|DSER	LOC6504294|XP_001965069.1|DANA
OG0000030	LOC110184000|XP_020808016.1|DSER	LOC6504293|XP_001965070.2|DANA, LOC6504292|XP_001965072.2|DANA, LOC6504291|XP_001965073.2|DANA
OG0000030	LOC110184885|XP_020809189.1|DSER	LOC6496715|XP_001967320.2|DANA, LOC116655435|XP_032309226.1|DANA
OG0000030	LOC110178494|XP_020801301.1|DSER, LOC110178495|XP_020801302.1|DSER	LOC6494711|XP_001959810.1|DANA
OG0000030	LOC110180192|XP_020803508.1|DSER	LOC6504640|XP_001966489.1|DANA
OG0000030	LOC110184177|XP_020808247.1|DSER	LOC6503160|XP_001963545.1|DANA
OG0000031	LOC110185921|XP_020810593.1|DSER	LOC6493999|XP_001961166.1|DANA, LOC6496566|XP_001961169.2|DANA
OG0000031	LOC110185929|XP_020810602.1|DSER	LOC6502572|XP_001959893.2|DANA, LOC6502573|XP_001959894.2|DANA
OG0000031	LOC110183330|XP_020807237.1|DSER	LOC6496944|XP_001963083.2|DANA
OG0000032	LOC110191017|XP_020817393.1|DSER	LOC6499841|XP_001953793.1|DANA
OG0000032	LOC110189708|XP_020815547.1|DSER	LOC6500725|XP_032312300.1|DANA
OG0000032	LOC110190954|XP_020817297.1|DSER	LOC6500722|XP_032312297.1|DANA
OG0000032	LOC110190425|XP_020816566.1|DSER	LOC6500728|XP_001953801.1|DANA
OG0000032	LOC110188663|XP_020814116.1|DSER	LOC6500726|XP_032305502.1|DANA
OG0000033	LOC110189687|XP_020815520.1|DSER	LOC6494619|XP_001959999.1|DANA
OG0000033	LOC110189316|XP_020815019.1|DSER, LOC110189317|XP_020815020.1|DSER	LOC6494622|XP_001959998.3|DANA
OG0000033	LOC110189686|XP_020815519.1|DSER	LOC6495993|XP_001960000.1|DANA
OG0000033	LOC110188478|XP_020813866.1|DSER	LOC6502622|XP_032305620.1|DANA, LOC116656581|XP_032312240.1|DANA
OG0000034	LOC110184859|XP_020809159.1|DSER	LOC6498174|XP_001962232.1|DANA
OG0000034	LOC110184879|XP_020809185.1|DSER	LOC6498176|XP_001962234.2|DANA, LOC6498175|XP_001962233.1|DANA
OG0000034	LOC110184890|XP_020809195.1|DSER	LOC6498177|XP_001962235.2|DANA, LOC26515374|XP_014762427.1|DANA, LOC6498178|XP_001962236.1|DANA
OG0000034	LOC110185580|XP_020810168.1|DSER, LOC110185578|XP_020810167.1|DSER	LOC6498552|XP_001963046.3|DANA
OG0000034	LOC110185768|XP_020810429.1|DSER	LOC6498487|XP_032311321.1|DANA, LOC116656026|XP_032311054.1|DANA, LOC6497780|XP_001961435.2|DANA
OG0000036	LOC110188341|XP_020813708.1|DSER	LOC6500465|XP_001953274.1|DANA
OG0000036	LOC110191887|XP_020818531.1|DSER	LOC6505844|XP_001964473.1|DANA
OG0000036	LOC110187659|XP_020812737.1|DSER	LOC6500980|XP_001954293.1|DANA
OG0000036	LOC110186335|XP_020811144.1|DSER	LOC6499049|XP_001955412.1|DANA
OG0000037	LOC110178458|XP_020801255.1|DSER	LOC6493979|XP_001961214.2|DANA
OG0000037	LOC110188328|XP_020813694.1|DSER, LOC110188288|XP_020813646.1|DSER	LOC6498848|XP_001955809.2|DANA
OG0000038	LOC110187819|XP_020812959.1|DSER, LOC110190399|XP_020816510.1|DSER	LOC6506319|XP_001958116.1|DANA
OG0000038	LOC110189906|XP_020815830.1|DSER	LOC6492929|XP_032310430.1|DANA
OG0000039	LOC110181782|XP_020805320.1|DSER	LOC6502398|XP_001967387.3|DANA
OG0000039	LOC110181861|XP_020805441.1|DSER	LOC6504273|XP_001967388.1|DANA
OG0000039	LOC110182039|XP_020805628.1|DSER	LOC6504271|XP_032308876.1|DANA
OG0000039	LOC110181937|XP_020805533.1|DSER	LOC6503200|XP_032311880.1|DANA
OG0000040	LOC110177295|XP_020799616.1|DSER	LOC6500947|XP_014766809.1|DANA
OG0000040	LOC110190225|XP_020816248.1|DSER	LOC6501033|XP_001954424.1|DANA
OG0000040	LOC110190236|XP_020816258.1|DSER	LOC6499533|XP_001954425.2|DANA
OG0000040	LOC110177298|XP_020799618.1|DSER, LOC110177453|XP_020799846.1|DSER	LOC6500946|XP_001954224.1|DANA
OG0000040	LOC110177417|XP_020799793.1|DSER	LOC6500944|XP_001954222.1|DANA
OG0000040	LOC110186252|XP_020810992.1|DSER	LOC6505623|XP_001964581.1|DANA
OG0000041	LOC110186639|XP_020811558.1|DSER	LOC6500349|XP_001953018.1|DANA
OG0000041	LOC110186484|XP_020811330.1|DSER	LOC6500350|XP_001953019.1|DANA, LOC6500351|XP_001953020.1|DANA
OG0000041	LOC110186805|XP_020811746.1|DSER, LOC110186801|XP_020811741.1|DSER, LOC110186551|XP_020811415.1|DSER	LOC6500352|XP_001953027.2|DANA
OG0000041	LOC110186535|XP_020811395.1|DSER, LOC110186667|XP_020811591.1|DSER	LOC26513865|XP_032307158.1|DANA
OG0000042	LOC110191593|XP_020818136.1|DSER	LOC6495008|XP_001959230.2|DANA
OG0000042	LOC110191603|XP_020818147.1|DSER, LOC110191604|XP_020818149.1|DSER	LOC6495010|XP_001959228.2|DANA
OG0000042	LOC110191595|XP_020818140.1|DSER	LOC6495011|XP_001959229.1|DANA
OG0000042	LOC110191697|XP_020818272.1|DSER, LOC110191695|XP_020818269.1|DSER	LOC6495009|XP_001959227.2|DANA
OG0000043	LOC110187856|XP_020813000.1|DSER	LOC6501040|XP_001954441.3|DANA
OG0000043	LOC110188004|XP_020813185.1|DSER	LOC6499525|XP_001954440.1|DANA
OG0000043	LOC110187778|XP_020812905.1|DSER, LOC110187703|XP_020812796.1|DSER, LOC110187702|XP_020812795.1|DSER	LOC6499523|XP_032311279.1|DANA
OG0000043	LOC110187858|XP_020813002.1|DSER, LOC110191369|XP_020817880.1|DSER	LOC6501039|XP_001954437.1|DANA
OG0000043	LOC110187786|XP_020812917.1|DSER	LOC6502673|XP_001954436.1|DANA
OG0000044	LOC110186554|XP_020811416.1|DSER, LOC110186305|XP_020811085.1|DSER	LOC6500203|XP_032305729.1|DANA
OG0000044	LOC110186559|XP_020811423.1|DSER, LOC110186558|XP_020811422.1|DSER	LOC6500197|XP_001953036.1|DANA
OG0000044	LOC110186306|XP_020811086.1|DSER, LOC110186581|XP_020811453.1|DSER	LOC26515569|XP_014767439.1|DANA
OG0000044	LOC110186555|XP_020811417.1|DSER	LOC6500202|XP_001953032.2|DANA
OG0000044	LOC110186661|XP_020811584.1|DSER	LOC6500199|XP_001953034.1|DANA, LOC6500198|XP_001953035.1|DANA
OG0000044	LOC110186693|XP_020811620.1|DSER	LOC6499418|XP_001954679.1|DANA
OG0000045	LOC110178672|XP_020801529.1|DSER	LOC6493486|XP_001957849.1|DANA
OG0000045	LOC110178605|XP_020801449.1|DSER, LOC110178606|XP_020801450.1|DSER	LOC6493484|XP_001957847.1|DANA, LOC6493485|XP_001957848.1|DANA
OG0000045	LOC110186854|XP_020811804.1|DSER, LOC110176386|XP_020798377.1|DSER, LOC110186862|XP_020811816.1|DSER	LOC6507632|XP_001956043.1|DANA
OG0000045	LOC110187537|XP_020812593.1|DSER	LOC6507423|XP_032310209.1|DANA
OG0000046	LOC110188408|XP_020813792.1|DSER	LOC6501716|XP_001955838.3|DANA
OG0000046	LOC110180077|XP_020803358.1|DSER	LOC6503183|XP_001963600.1|DANA
OG0000046	LOC110180079|XP_020803360.1|DSER	LOC6502915|XP_001963599.1|DANA
OG0000046	LOC110180089|XP_020803371.1|DSER, LOC110180088|XP_020803370.1|DSER	LOC6503185|XP_032311857.1|DANA
OG0000046	LOC110185913|XP_020810588.1|DSER	LOC26514371|XP_014767278.1|DANA, LOC6501525|XP_014767090.2|DANA
OG0000046	LOC110185924|XP_020810599.1|DSER	LOC6501523|XP_001955420.3|DANA
OG0000046	LOC110184743|XP_020809034.1|DSER, LOC110184620|XP_020808877.1|DSER, LOC110184815|XP_020809118.1|DSER	LOC116654466|XP_032311125.1|DANA, LOC6501526|XP_001955423.1|DANA
OG0000047	LOC110180463|XP_020803800.1|DSER	LOC6496443|XP_001960921.1|DANA
OG0000047	LOC110176287|XP_020798269.1|DSER	LOC6496440|XP_001960917.1|DANA
OG0000047	LOC110189583|XP_020815375.1|DSER	LOC6496543|XP_001961111.1|DANA
OG0000047	LOC110184762|XP_020809052.1|DSER	LOC6493464|XP_001957813.1|DANA
OG0000047	LOC110189698|XP_020815532.1|DSER	LOC6494029|XP_001961117.1|DANA
OG0000047	LOC110184679|XP_020808950.1|DSER	LOC6493465|XP_001957814.1|DANA
OG0000048	LOC110190450|XP_020816610.1|DSER, LOC110190451|XP_020816611.1|DSER	LOC6506814|XP_001957186.1|DANA, LOC6493168|XP_001957188.1|DANA
OG0000048	LOC110190447|XP_020816607.1|DSER	LOC6493171|XP_001957195.2|DANA
