Orthogroup	DSER.longest_only	DALB.longest_only
OG0000008	LOC110191723|XP_020818300.1|DSER, LOC110191724|XP_020818301.1|DSER	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB
OG0000008	LOC110191898|XP_020818543.1|DSER	LOC117574116|XP_034113661.1|DALB, LOC117574376|XP_034114101.1|DALB
OG0000008	LOC110191819|XP_020818443.1|DSER	LOC117574119|XP_034113664.1|DALB
OG0000008	LOC110191725|XP_020818302.1|DSER	LOC117574113|XP_034113658.1|DALB
OG0000008	LOC110191899|XP_020818544.1|DSER	LOC117574115|XP_034113660.1|DALB
OG0000008	LOC110191820|XP_020818444.1|DSER	LOC117574118|XP_034113663.1|DALB
OG0000009	LOC110188739|XP_020814232.1|DSER	LOC117574725|XP_034114546.1|DALB
OG0000009	LOC110188430|XP_020813815.1|DSER	LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB
OG0000009	LOC110188741|XP_020814234.1|DSER, LOC110188740|XP_020814233.1|DSER	LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB, LOC117563434|XP_034097659.1|DALB, LOC117563435|XP_034097660.1|DALB
OG0000009	LOC110181065|XP_020804398.1|DSER	LOC117568811|XP_034105563.1|DALB, LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB, LOC117566724|XP_034102158.1|DALB
OG0000009	LOC110178269|XP_020800994.1|DSER	LOC117566719|XP_034102155.1|DALB, LOC117568670|XP_034105365.1|DALB, LOC117570560|XP_034108181.1|DALB, LOC117571597|XP_034109704.1|DALB, LOC117571595|XP_034109702.1|DALB, LOC117572671|XP_034111579.1|DALB
OG0000009	LOC110189524|XP_020815309.1|DSER, LOC110189486|XP_020815231.1|DSER, LOC110178372|XP_020801168.1|DSER, LOC110178373|XP_020801169.1|DSER, LOC110178375|XP_020801170.1|DSER, LOC110189711|XP_020815559.1|DSER, LOC110178304|XP_020801053.1|DSER, LOC110178309|XP_020801061.1|DSER, LOC110178386|XP_020801181.1|DSER	LOC117565994|XP_034101304.1|DALB
OG0000010	LOC110183810|XP_020807821.1|DSER	LOC117564301|XP_034098889.1|DALB
OG0000012	LOC110178863|XP_020801799.1|DSER	LOC117568055|XP_034104297.1|DALB
OG0000012	LOC110178859|XP_020801786.1|DSER	LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB
OG0000012	LOC110190967|XP_020817320.1|DSER	LOC117569585|XP_034106704.1|DALB
OG0000012	LOC110176037|XP_020797910.1|DSER	LOC117568054|XP_034104292.1|DALB
OG0000012	LOC110181698|XP_020805203.1|DSER, LOC110180096|XP_020803382.1|DSER, LOC110181688|XP_020805193.1|DSER, LOC110176319|XP_020798300.1|DSER	LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB
OG0000012	LOC110178311|XP_020801063.1|DSER, LOC110178377|XP_020801172.1|DSER, LOC110178312|XP_020801065.1|DSER, LOC110178270|XP_020800995.1|DSER, LOC110178283|XP_020801014.1|DSER	LOC117571184|XP_034109105.1|DALB
OG0000012	LOC110178292|XP_020801024.1|DSER, LOC110178324|XP_020801093.1|DSER	LOC117568519|XP_034105112.1|DALB
OG0000013	LOC110189766|XP_020815644.1|DSER	LOC117571859|XP_034110145.1|DALB
OG0000013	LOC110179613|XP_020802873.1|DSER	LOC117563213|XP_034097295.1|DALB
OG0000013	LOC110188689|XP_020814151.1|DSER	LOC117576138|XP_034116595.1|DALB
OG0000013	LOC110188838|XP_020814394.1|DSER	LOC117568434|XP_034104988.1|DALB
OG0000013	LOC110188074|XP_020813284.1|DSER	LOC117573950|XP_034113367.1|DALB
OG0000013	LOC110191421|XP_020817937.1|DSER, LOC110191071|XP_020817464.1|DSER	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB
OG0000015	LOC110188001|XP_020813183.1|DSER, LOC110188000|XP_020813182.1|DSER	LOC117575381|XP_034115447.1|DALB, LOC117575264|XP_034115291.1|DALB, LOC117574089|XP_034113616.1|DALB, LOC117574087|XP_034113614.1|DALB, LOC117574088|XP_034113615.1|DALB
OG0000015	LOC110181407|XP_020804802.1|DSER	LOC117565931|XP_034101209.1|DALB
OG0000015	LOC110179364|XP_020802537.1|DSER, LOC110181374|XP_020804762.1|DSER	LOC117565200|XP_034100095.1|DALB, LOC117565000|XP_034099836.1|DALB, LOC117564017|XP_034098508.1|DALB, LOC117565199|XP_034100094.1|DALB, LOC117565001|XP_034099837.1|DALB, LOC117564018|XP_034098509.1|DALB, LOC117564364|XP_034098970.1|DALB, LOC117565647|XP_034100752.1|DALB, LOC117569869|XP_034107100.1|DALB, LOC117569271|XP_034106261.1|DALB
OG0000016	LOC110185112|XP_020809466.1|DSER	LOC117573987|XP_034113425.1|DALB
OG0000016	LOC110182974|XP_020806826.1|DSER	LOC117567642|XP_034103639.1|DALB
OG0000016	LOC110186803|XP_020811744.1|DSER	LOC117574647|XP_034114439.1|DALB
OG0000016	LOC110181494|XP_020804920.1|DSER	LOC117576743|XP_034117709.1|DALB
OG0000016	LOC110189526|XP_020815315.1|DSER	LOC117567888|XP_034104050.1|DALB
OG0000016	LOC110191952|XP_020818633.1|DSER	LOC117573754|XP_034113029.1|DALB
OG0000016	LOC110179844|XP_020803110.1|DSER	LOC117568261|XP_034104638.1|DALB
OG0000017	LOC110189651|XP_020815456.1|DSER	LOC117571304|XP_034109265.1|DALB, LOC117571750|XP_034109990.1|DALB
OG0000017	LOC110177433|XP_020799815.1|DSER, LOC110177434|XP_020799816.1|DSER	LOC117573354|XP_034112370.1|DALB, LOC117574908|XP_034114843.1|DALB, LOC117574957|XP_034114906.1|DALB, LOC117569360|XP_034106383.1|DALB
OG0000017	LOC110178450|XP_020801244.1|DSER, LOC110178456|XP_020801250.1|DSER	LOC117568041|XP_034104279.1|DALB
OG0000017	LOC110189689|XP_020815522.1|DSER	LOC117571751|XP_034109992.1|DALB
OG0000017	LOC110183096|XP_020806947.1|DSER, LOC110183098|XP_020806949.1|DSER, LOC110183097|XP_020806948.1|DSER	LOC117564917|XP_034099761.1|DALB
OG0000018	LOC110184746|XP_020809033.1|DSER	LOC117569762|XP_034106946.1|DALB
OG0000018	LOC110184752|XP_020809041.1|DSER	LOC117569760|XP_034106944.1|DALB
OG0000018	LOC110184704|XP_020808979.1|DSER, LOC110184742|XP_020809030.1|DSER	LOC117569766|XP_034106951.1|DALB
OG0000020	LOC110186419|XP_020811254.1|DSER	LOC117576477|XP_034117138.1|DALB
OG0000020	LOC110179314|XP_020802461.1|DSER	LOC117568572|XP_034105192.1|DALB
OG0000020	LOC110178058|XP_020800723.1|DSER, LOC110183820|XP_020807830.1|DSER	LOC117565600|XP_034100691.1|DALB
OG0000020	LOC110188252|XP_020813584.1|DSER	LOC117576162|XP_034116628.1|DALB
OG0000020	LOC110186984|XP_020811998.1|DSER	LOC117576471|XP_034117133.1|DALB, LOC117576474|XP_034117135.1|DALB, LOC117576472|XP_034117134.1|DALB
OG0000020	LOC110187270|XP_020812316.1|DSER, LOC110183751|XP_020807766.1|DSER	LOC117565601|XP_034100693.1|DALB
OG0000021	LOC110180622|XP_020803965.1|DSER	LOC117570907|XP_034108703.1|DALB
OG0000021	LOC110177674|XP_020800156.1|DSER	LOC117566492|XP_034101922.1|DALB
OG0000021	LOC110177755|XP_020800276.1|DSER	LOC117570266|XP_034107672.1|DALB
OG0000021	LOC110181842|XP_020805408.1|DSER	LOC117573953|XP_034113413.1|DALB
OG0000021	LOC110184678|XP_020808951.1|DSER	LOC117574572|XP_034114338.1|DALB
OG0000021	LOC110190995|XP_020817366.1|DSER	LOC117576017|XP_034116416.1|DALB
OG0000021	LOC110189278|XP_020814959.1|DSER	LOC117575314|XP_034115363.1|DALB
OG0000022	LOC110176354|XP_020798342.1|DSER	LOC117569951|XP_034107204.1|DALB
OG0000022	LOC110178666|XP_020801520.1|DSER, LOC110178667|XP_020801521.1|DSER, LOC110178668|XP_020801523.1|DSER, LOC110178669|XP_020801524.1|DSER, LOC110178663|XP_020801518.1|DSER, LOC110178665|XP_020801519.1|DSER	LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB
OG0000022	LOC110178662|XP_020801517.1|DSER	LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB
OG0000023	LOC110180829|XP_020804169.1|DSER	LOC117568013|XP_034104228.1|DALB
OG0000023	LOC110188454|XP_020813842.1|DSER	LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB
OG0000023	LOC110188692|XP_020814155.1|DSER	LOC117576455|XP_034117118.1|DALB
OG0000023	LOC110188691|XP_020814154.1|DSER	LOC117576451|XP_034117113.1|DALB
OG0000023	LOC110188690|XP_020814152.1|DSER	LOC117576915|XP_034117947.1|DALB
OG0000024	LOC110179294|XP_020802438.1|DSER, LOC110179366|XP_020802540.1|DSER, LOC110179298|XP_020802443.1|DSER, LOC110179367|XP_020802541.1|DSER	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB
OG0000024	LOC110179365|XP_020802539.1|DSER	LOC117569374|XP_034106395.1|DALB
OG0000024	LOC110185697|XP_020810324.1|DSER	LOC117575969|XP_034116339.1|DALB
OG0000024	LOC110179322|XP_020802473.1|DSER	LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB
OG0000024	LOC110180569|XP_020803926.1|DSER	LOC117571483|XP_034109539.1|DALB
OG0000025	LOC110182356|XP_020806054.1|DSER	LOC117563275|XP_034097395.1|DALB, LOC117570342|XP_034107792.1|DALB
OG0000025	LOC110182432|XP_020806127.1|DSER	LOC117566085|XP_034101455.1|DALB
OG0000025	LOC110182443|XP_020806137.1|DSER	LOC117563559|XP_034097830.1|DALB
OG0000026	LOC110176041|XP_020797911.1|DSER	LOC117577993|XP_034118981.1|DALB, LOC117569252|XP_034106220.1|DALB, LOC117570089|XP_034107430.1|DALB
OG0000026	LOC110182689|XP_020806441.1|DSER	LOC117564398|XP_034099013.1|DALB
OG0000026	LOC110188271|XP_020813620.1|DSER	LOC117573365|XP_034112385.1|DALB
OG0000027	LOC110176950|XP_020799111.1|DSER	LOC117564244|XP_034098829.1|DALB
OG0000027	LOC110176929|XP_020799084.1|DSER	LOC117565445|XP_034100427.1|DALB
OG0000028	LOC110190400|XP_020816511.1|DSER, LOC110190401|XP_020816513.1|DSER, LOC110190052|XP_020816017.1|DSER	LOC117568836|XP_034105602.1|DALB, LOC117568837|XP_034105603.1|DALB, LOC117568843|XP_034105610.1|DALB, LOC117566512|XP_034101943.1|DALB, LOC117568838|XP_034105604.1|DALB, LOC117568840|XP_034105607.1|DALB, LOC117568839|XP_034105606.1|DALB, LOC117568844|XP_034105611.1|DALB, LOC117568834|XP_034105601.1|DALB, LOC117568841|XP_034105608.1|DALB, LOC117568833|XP_034105600.1|DALB, LOC117568842|XP_034105609.1|DALB, LOC117568831|XP_034105597.1|DALB, LOC117568832|XP_034105599.1|DALB, LOC117566511|XP_034101942.1|DALB
OG0000029	LOC110185765|XP_020810430.1|DSER	LOC117566595|XP_034102028.1|DALB, LOC117564897|XP_034099738.1|DALB
OG0000029	LOC110178924|XP_020801869.1|DSER	LOC117569056|XP_034105958.1|DALB
OG0000030	LOC110183999|XP_020808015.1|DSER	LOC117563844|XP_034098265.1|DALB
OG0000030	LOC110184885|XP_020809189.1|DSER	LOC117564908|XP_034099753.1|DALB
OG0000030	LOC110178494|XP_020801301.1|DSER, LOC110178495|XP_020801302.1|DSER	LOC117568042|XP_034104280.1|DALB, LOC117569392|XP_034106412.1|DALB
OG0000030	LOC110180192|XP_020803508.1|DSER	LOC117568192|XP_034104545.1|DALB
OG0000030	LOC110184177|XP_020808247.1|DSER	LOC117566924|XP_034102438.1|DALB
OG0000031	LOC110185929|XP_020810602.1|DSER	LOC117565254|XP_034100159.1|DALB, LOC117563835|XP_034098255.1|DALB
OG0000031	LOC110183330|XP_020807237.1|DSER	LOC117565207|XP_034100106.1|DALB
OG0000032	LOC110191017|XP_020817393.1|DSER	LOC117574198|XP_034113792.1|DALB
OG0000032	LOC110190425|XP_020816566.1|DSER, LOC110191021|XP_020817396.1|DSER, LOC110179845|XP_020803112.1|DSER, LOC110190965|XP_020817315.1|DSER, LOC110191414|XP_020817930.1|DSER, LOC110190900|XP_020817217.1|DSER, LOC110188663|XP_020814116.1|DSER, LOC110191408|XP_020817925.1|DSER, LOC110191413|XP_020817929.1|DSER	LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB, LOC117575800|XP_034116069.1|DALB, LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB
OG0000033	LOC110189687|XP_020815520.1|DSER, LOC110189316|XP_020815019.1|DSER, LOC110189317|XP_020815020.1|DSER	LOC117571679|XP_034109811.1|DALB
OG0000033	LOC110189686|XP_020815519.1|DSER	LOC117573530|XP_034112668.1|DALB, LOC117566466|XP_034101888.1|DALB, LOC117575231|XP_034115252.1|DALB, LOC117565138|XP_034100000.1|DALB, LOC117564992|XP_034099828.1|DALB, LOC117565338|XP_034100279.1|DALB
OG0000034	LOC110184859|XP_020809159.1|DSER	LOC117565378|XP_034100343.1|DALB
OG0000034	LOC110184879|XP_020809185.1|DSER	LOC117563634|XP_034097932.1|DALB, LOC117563633|XP_034097931.1|DALB, LOC117563636|XP_034097933.1|DALB
OG0000034	LOC110184890|XP_020809195.1|DSER	LOC117563632|XP_034097930.1|DALB
OG0000034	LOC110185768|XP_020810429.1|DSER	LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB, LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB
OG0000036	LOC110188341|XP_020813708.1|DSER	LOC117575319|XP_034115366.1|DALB
OG0000036	LOC110191887|XP_020818531.1|DSER	LOC117574531|XP_034114284.1|DALB
OG0000036	LOC110187659|XP_020812737.1|DSER	LOC117574592|XP_034114366.1|DALB
OG0000036	LOC110186335|XP_020811144.1|DSER	LOC117576608|XP_034117400.1|DALB
OG0000037	LOC110178458|XP_020801255.1|DSER	LOC117568663|XP_034105356.1|DALB
OG0000037	LOC110188328|XP_020813694.1|DSER, LOC110188288|XP_020813646.1|DSER	LOC117575741|XP_034115985.1|DALB
OG0000038	LOC110187819|XP_020812959.1|DSER, LOC110190399|XP_020816510.1|DSER	LOC117570082|XP_034107414.1|DALB
OG0000038	LOC110189906|XP_020815830.1|DSER	LOC117570080|XP_034107411.1|DALB
OG0000039	LOC110181782|XP_020805320.1|DSER	LOC117574807|XP_034114666.1|DALB, LOC117574815|XP_034114677.1|DALB
OG0000039	LOC110181861|XP_020805441.1|DSER	LOC117577745|XP_034118547.1|DALB
OG0000039	LOC110182039|XP_020805628.1|DSER	LOC117574799|XP_034114654.1|DALB
OG0000039	LOC110181937|XP_020805533.1|DSER	LOC117565813|XP_034101004.1|DALB
OG0000040	LOC110177295|XP_020799616.1|DSER, LOC110190225|XP_020816248.1|DSER	LOC117573615|XP_034112803.1|DALB
OG0000040	LOC110190236|XP_020816258.1|DSER	LOC117573619|XP_034112810.1|DALB
OG0000040	LOC110177417|XP_020799793.1|DSER	LOC117573618|XP_034112808.1|DALB
OG0000041	LOC110186567|XP_020811434.1|DSER, LOC110186639|XP_020811558.1|DSER, LOC110186484|XP_020811330.1|DSER, LOC110186805|XP_020811746.1|DSER, LOC110186801|XP_020811741.1|DSER, LOC110186551|XP_020811415.1|DSER, LOC110186535|XP_020811395.1|DSER, LOC110186667|XP_020811591.1|DSER	LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB, LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB
OG0000042	LOC110191593|XP_020818136.1|DSER, LOC110191603|XP_020818147.1|DSER, LOC110191604|XP_020818149.1|DSER, LOC110191595|XP_020818140.1|DSER, LOC110191594|XP_020818138.1|DSER, LOC110191596|XP_020818141.1|DSER, LOC110191698|XP_020818273.1|DSER, LOC110191696|XP_020818271.1|DSER, LOC110191597|XP_020818142.1|DSER	LOC117566639|XP_034102071.1|DALB, LOC117566640|XP_034102072.1|DALB
OG0000042	LOC110191697|XP_020818272.1|DSER, LOC110191695|XP_020818269.1|DSER	LOC117576207|XP_034116693.1|DALB, LOC117574774|XP_034114613.1|DALB, LOC117574773|XP_034114612.1|DALB, LOC117574710|XP_034114517.1|DALB, LOC117574445|XP_034114174.1|DALB
OG0000043	LOC110188004|XP_020813185.1|DSER	LOC117574637|XP_034114425.1|DALB
OG0000043	LOC110187778|XP_020812905.1|DSER, LOC110187703|XP_020812796.1|DSER, LOC110187702|XP_020812795.1|DSER	LOC117574208|XP_034113803.1|DALB
OG0000043	LOC110187858|XP_020813002.1|DSER, LOC110191369|XP_020817880.1|DSER, LOC110187786|XP_020812917.1|DSER	LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB
OG0000044	LOC110186554|XP_020811416.1|DSER, LOC110186305|XP_020811085.1|DSER	LOC117576108|XP_034116557.1|DALB
OG0000044	LOC110186559|XP_020811423.1|DSER, LOC110186558|XP_020811422.1|DSER, LOC110186306|XP_020811086.1|DSER, LOC110186581|XP_020811453.1|DSER	LOC117576562|XP_034117292.1|DALB, LOC117576555|XP_034117284.1|DALB, LOC117576559|XP_034117287.1|DALB, LOC117576556|XP_034117285.1|DALB, LOC117576558|XP_034117286.1|DALB, LOC117576554|XP_034117283.1|DALB, LOC117576551|XP_034117281.1|DALB, LOC117576550|XP_034117280.1|DALB
OG0000044	LOC110186555|XP_020811417.1|DSER	LOC117576560|XP_034117290.1|DALB, LOC117576979|XP_034118049.1|DALB
OG0000044	LOC110186693|XP_020811620.1|DSER	LOC117574699|XP_034114502.1|DALB
OG0000045	LOC110178672|XP_020801529.1|DSER	LOC117568925|XP_034105726.1|DALB
OG0000045	LOC110178605|XP_020801449.1|DSER, LOC110178606|XP_020801450.1|DSER	LOC117566426|XP_034101847.1|DALB
OG0000045	LOC110186854|XP_020811804.1|DSER, LOC110176386|XP_020798377.1|DSER, LOC110186862|XP_020811816.1|DSER	LOC117566425|XP_034101846.1|DALB
OG0000045	LOC110187537|XP_020812593.1|DSER	LOC117572554|XP_034111317.1|DALB
OG0000046	LOC110180077|XP_020803358.1|DSER, LOC110180079|XP_020803360.1|DSER	LOC117577657|XP_034118436.1|DALB, LOC117577658|XP_034118437.1|DALB
OG0000046	LOC110180089|XP_020803371.1|DSER, LOC110180088|XP_020803370.1|DSER, LOC110185913|XP_020810588.1|DSER, LOC110185924|XP_020810599.1|DSER, LOC110184743|XP_020809034.1|DSER, LOC110184620|XP_020808877.1|DSER, LOC110184815|XP_020809118.1|DSER	LOC117566493|XP_034101923.1|DALB, LOC117576903|XP_034117935.1|DALB, LOC117566510|XP_034101945.1|DALB, LOC117576911|XP_034117945.1|DALB, LOC117576921|XP_034117957.1|DALB
OG0000047	LOC110180463|XP_020803800.1|DSER	LOC117570271|XP_034107678.1|DALB
OG0000047	LOC110176287|XP_020798269.1|DSER	LOC117570312|XP_034107745.1|DALB
