Orthogroup	DSER.longest_only	DVIR.longest_only
OG0000010	LOC110180673|XP_020804019.1|DSER, LOC110176508|XP_020798542.1|DSER, LOC110182165|XP_020805827.1|DSER	LOC6637029|XP_002060450.1|DVIR
OG0000011	LOC110185215|XP_020809607.1|DSER	LOC6635697|XP_002059270.2|DVIR
OG0000012	LOC110178863|XP_020801799.1|DSER	LOC6624922|XP_002050777.1|DVIR
OG0000012	LOC110178859|XP_020801786.1|DSER	LOC6625019|XP_002050778.1|DVIR
OG0000012	LOC110190967|XP_020817320.1|DSER	LOC6625021|XP_002050780.1|DVIR
OG0000012	LOC110176037|XP_020797910.1|DSER	LOC6624921|XP_015029085.1|DVIR
OG0000012	LOC110181698|XP_020805203.1|DSER, LOC110180096|XP_020803382.1|DSER, LOC110181688|XP_020805193.1|DSER, LOC110176319|XP_020798300.1|DSER	LOC6625066|XP_002049213.2|DVIR, LOC6625067|XP_032293151.1|DVIR, LOC6624920|XP_002050775.2|DVIR, LOC6624919|XP_002050774.2|DVIR, LOC26531760|XP_015030363.1|DVIR, LOC6627007|XP_032292288.1|DVIR, LOC6627006|XP_002050772.1|DVIR
OG0000012	LOC110178311|XP_020801063.1|DSER, LOC110178377|XP_020801172.1|DSER, LOC110178312|XP_020801065.1|DSER, LOC110178270|XP_020800995.1|DSER, LOC110178283|XP_020801014.1|DSER	LOC6627005|XP_002050771.1|DVIR
OG0000012	LOC110178292|XP_020801024.1|DSER, LOC110178324|XP_020801093.1|DSER	LOC6627004|XP_002050770.1|DVIR
OG0000013	LOC110189766|XP_020815644.1|DSER	LOC6626677|XP_002050872.1|DVIR
OG0000013	LOC110179613|XP_020802873.1|DSER	LOC6633411|XP_015025597.1|DVIR
OG0000013	LOC110188689|XP_020814151.1|DSER	LOC6630204|XP_002053707.1|DVIR
OG0000013	LOC110188838|XP_020814394.1|DSER	LOC6622085|XP_002048525.1|DVIR
OG0000013	LOC110188074|XP_020813284.1|DSER	LOC6632892|XP_002056192.1|DVIR
OG0000013	LOC110191421|XP_020817937.1|DSER, LOC110191071|XP_020817464.1|DSER	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR
OG0000013	LOC110191200|XP_020817626.1|DSER, LOC110191337|XP_020817840.1|DSER	LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR
OG0000015	LOC110181407|XP_020804802.1|DSER	LOC6633997|XP_032293758.1|DVIR
OG0000015	LOC110179364|XP_020802537.1|DSER, LOC110181374|XP_020804762.1|DSER	LOC26531562|XP_032293636.1|DVIR
OG0000016	LOC110185112|XP_020809466.1|DSER	LOC6633127|XP_002056070.1|DVIR
OG0000016	LOC110182974|XP_020806826.1|DSER	LOC116650918|XP_032291957.1|DVIR
OG0000016	LOC110186803|XP_020811744.1|DSER	LOC6630423|XP_002053735.1|DVIR
OG0000016	LOC110181494|XP_020804920.1|DSER	LOC6636049|XP_002059576.1|DVIR
OG0000016	LOC110189526|XP_020815315.1|DSER	LOC6635861|XP_002059335.1|DVIR
OG0000016	LOC110191952|XP_020818633.1|DSER	LOC6631018|XP_002054294.1|DVIR
OG0000016	LOC110179844|XP_020803110.1|DSER	LOC6623693|XP_002048319.1|DVIR
OG0000017	LOC110189651|XP_020815456.1|DSER	LOC6635873|XP_002059346.1|DVIR, LOC6636383|XP_032292047.1|DVIR, LOC6636382|XP_032292048.1|DVIR
OG0000017	LOC110177433|XP_020799815.1|DSER, LOC110177434|XP_020799816.1|DSER	LOC6628970|XP_032293497.1|DVIR, LOC6623565|XP_032291328.1|DVIR, LOC116651590|XP_032294188.1|DVIR
OG0000017	LOC110178450|XP_020801244.1|DSER, LOC110178456|XP_020801250.1|DSER	LOC6627049|XP_002050830.3|DVIR
OG0000017	LOC110189689|XP_020815522.1|DSER	LOC6635871|XP_002059345.1|DVIR
OG0000017	LOC110183096|XP_020806947.1|DSER, LOC110183098|XP_020806949.1|DSER, LOC110183097|XP_020806948.1|DSER	LOC6627836|XP_032294331.1|DVIR
OG0000018	LOC110184702|XP_020808977.1|DSER	LOC6623414|XP_002046136.1|DVIR
OG0000018	LOC110184746|XP_020809033.1|DSER	LOC6623369|XP_002046140.1|DVIR
OG0000018	LOC110184752|XP_020809041.1|DSER	LOC6623326|XP_002046138.1|DVIR
OG0000018	LOC110184705|XP_020808980.1|DSER, LOC110184704|XP_020808979.1|DSER, LOC110184742|XP_020809030.1|DSER, LOC110184753|XP_020809042.1|DSER, LOC110184714|XP_020808993.1|DSER, LOC110184703|XP_020808978.1|DSER	LOC6623391|XP_002046158.1|DVIR
OG0000019	LOC110186753|XP_020811674.1|DSER	LOC6630453|XP_002053914.1|DVIR, LOC6630456|XP_002053917.1|DVIR
OG0000019	LOC110186746|XP_020811668.1|DSER	LOC6630458|XP_002053919.1|DVIR
OG0000019	LOC110186754|XP_020811675.1|DSER	LOC6630457|XP_002053918.1|DVIR
OG0000019	LOC110186749|XP_020811671.1|DSER, LOC110186750|XP_020811672.1|DSER	LOC6630452|XP_002053913.1|DVIR
OG0000020	LOC110186419|XP_020811254.1|DSER	LOC6634957|XP_002058591.1|DVIR
OG0000020	LOC110179314|XP_020802461.1|DSER	LOC6635984|XP_002059302.2|DVIR
OG0000020	LOC110178058|XP_020800723.1|DSER, LOC110183820|XP_020807830.1|DSER	LOC6628903|XP_002051547.2|DVIR
OG0000020	LOC110188252|XP_020813584.1|DSER	LOC6632501|XP_032289762.1|DVIR
OG0000020	LOC110186984|XP_020811998.1|DSER	LOC6632573|XP_015026213.1|DVIR
OG0000020	LOC110187270|XP_020812316.1|DSER, LOC110183751|XP_020807766.1|DSER	LOC6628471|XP_002051546.1|DVIR
OG0000021	LOC110180622|XP_020803965.1|DSER	LOC6627016|XP_002049726.1|DVIR
OG0000021	LOC110177674|XP_020800156.1|DSER	LOC6627164|XP_002049737.1|DVIR
OG0000021	LOC110177755|XP_020800276.1|DSER	LOC6625700|XP_015029837.1|DVIR
OG0000021	LOC110177907|XP_020800536.1|DSER	LOC6625029|XP_002050452.1|DVIR
OG0000021	LOC110181842|XP_020805408.1|DSER	LOC6636003|XP_002059503.1|DVIR
OG0000021	LOC110184678|XP_020808951.1|DSER	LOC6629522|XP_002053324.1|DVIR
OG0000021	LOC110190995|XP_020817366.1|DSER	LOC6629847|XP_002054468.1|DVIR
OG0000021	LOC110189278|XP_020814959.1|DSER	LOC26531416|XP_015025728.1|DVIR
OG0000022	LOC110176354|XP_020798342.1|DSER	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR
OG0000022	LOC110178666|XP_020801520.1|DSER, LOC110178667|XP_020801521.1|DSER, LOC110178668|XP_020801523.1|DSER, LOC110178669|XP_020801524.1|DSER, LOC110178663|XP_020801518.1|DSER, LOC110178665|XP_020801519.1|DSER	LOC6622522|XP_002046428.1|DVIR, LOC116650757|XP_032291322.1|DVIR, LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR, LOC6622546|XP_002046431.1|DVIR
OG0000022	LOC110178662|XP_020801517.1|DSER	LOC116650066|XP_032289307.1|DVIR, LOC6622553|XP_002046434.2|DVIR
OG0000023	LOC110188311|XP_020813678.1|DSER	LOC6632668|XP_002056437.2|DVIR
OG0000023	LOC110188309|XP_020813677.1|DSER, LOC110188457|XP_020813846.1|DSER	LOC6632669|XP_002056438.1|DVIR
OG0000023	LOC110180829|XP_020804169.1|DSER	LOC6626291|XP_002050067.1|DVIR
OG0000023	LOC110188308|XP_020813675.1|DSER, LOC110188456|XP_020813844.1|DSER	LOC6632665|XP_002056434.1|DVIR, LOC6632664|XP_002056433.1|DVIR
OG0000023	LOC110188454|XP_020813842.1|DSER	LOC6632533|XP_002056431.1|DVIR
OG0000023	LOC110188692|XP_020814155.1|DSER	LOC6632529|XP_002056427.2|DVIR
OG0000023	LOC110188691|XP_020814154.1|DSER	LOC6632531|XP_002056429.1|DVIR
OG0000023	LOC110188690|XP_020814152.1|DSER	LOC6632528|XP_032289545.1|DVIR
OG0000024	LOC110179294|XP_020802438.1|DSER, LOC110179366|XP_020802540.1|DSER, LOC110179298|XP_020802443.1|DSER, LOC110179367|XP_020802541.1|DSER	LOC6625432|XP_002049269.3|DVIR, LOC6625433|XP_015029714.1|DVIR, LOC6625430|XP_002049267.1|DVIR, LOC6625436|XP_002049273.1|DVIR, LOC6625435|XP_002049272.1|DVIR, LOC6625434|XP_002049271.1|DVIR
OG0000024	LOC110179365|XP_020802539.1|DSER	LOC6625431|XP_002049268.3|DVIR
OG0000024	LOC110185697|XP_020810324.1|DSER	LOC6634081|XP_002057902.1|DVIR
OG0000024	LOC110179322|XP_020802473.1|DSER	LOC6625429|XP_002049266.1|DVIR
OG0000024	LOC110180569|XP_020803926.1|DSER	LOC6625162|XP_002048929.1|DVIR
OG0000025	LOC110182356|XP_020806054.1|DSER	LOC6635606|XP_002058949.1|DVIR
OG0000025	LOC110182432|XP_020806127.1|DSER, LOC110181330|XP_020804708.1|DSER	LOC6637233|XP_002060537.1|DVIR
OG0000026	LOC110176041|XP_020797911.1|DSER	LOC6631803|XP_002055737.1|DVIR
OG0000026	LOC110182689|XP_020806441.1|DSER	LOC6628165|XP_002051461.1|DVIR
OG0000026	LOC110188271|XP_020813620.1|DSER	LOC6635194|XP_002058469.1|DVIR
OG0000027	LOC110176950|XP_020799111.1|DSER	LOC6629148|XP_002052895.1|DVIR
OG0000027	LOC110176929|XP_020799084.1|DSER	LOC6627465|XP_002052896.1|DVIR
OG0000028	LOC110190400|XP_020816511.1|DSER, LOC110190401|XP_020816513.1|DSER, LOC110190052|XP_020816017.1|DSER	LOC6622578|XP_032291308.1|DVIR, LOC116650753|XP_032291253.1|DVIR, LOC6622591|XP_032290503.1|DVIR, LOC6622560|XP_032290501.1|DVIR, LOC6622574|XP_002047517.1|DVIR
OG0000029	LOC110185765|XP_020810430.1|DSER	LOC6625353|XP_002050320.1|DVIR, LOC6625686|XP_002050319.2|DVIR
OG0000029	LOC110178924|XP_020801869.1|DSER	LOC6624236|XP_002048359.1|DVIR
OG0000030	LOC110183999|XP_020808015.1|DSER	LOC6627555|XP_002052289.1|DVIR
OG0000030	LOC110184885|XP_020809189.1|DSER	LOC6628998|XP_002052101.1|DVIR
OG0000030	LOC110178494|XP_020801301.1|DSER, LOC110178495|XP_020801302.1|DSER	LOC6627051|XP_002050832.1|DVIR, LOC6626964|XP_002050828.1|DVIR, LOC6626963|XP_002050827.1|DVIR
OG0000030	LOC110180192|XP_020803508.1|DSER	LOC6633403|XP_002057213.1|DVIR
OG0000030	LOC110184177|XP_020808247.1|DSER	LOC6632190|XP_002055645.1|DVIR
OG0000031	LOC110185921|XP_020810593.1|DSER	LOC6634268|XP_002057550.2|DVIR
OG0000031	LOC110185929|XP_020810602.1|DSER	LOC6634269|XP_002057551.2|DVIR, LOC6634303|XP_032293402.1|DVIR
OG0000031	LOC110183330|XP_020807237.1|DSER	LOC6629125|XP_002052391.1|DVIR
OG0000032	LOC110191017|XP_020817393.1|DSER	LOC6629979|XP_002054337.1|DVIR
OG0000032	LOC110189708|XP_020815547.1|DSER, LOC110190954|XP_020817297.1|DSER, LOC110188628|XP_020814064.1|DSER	LOC6629980|XP_032294917.1|DVIR
OG0000032	LOC110190425|XP_020816566.1|DSER, LOC110191021|XP_020817396.1|DSER, LOC110179845|XP_020803112.1|DSER, LOC110190965|XP_020817315.1|DSER, LOC110191414|XP_020817930.1|DSER, LOC110190900|XP_020817217.1|DSER, LOC110188663|XP_020814116.1|DSER, LOC110191408|XP_020817925.1|DSER, LOC110191413|XP_020817929.1|DSER	LOC6629978|XP_032294961.1|DVIR, LOC6634892|XP_002058480.2|DVIR, LOC6629977|XP_002054335.1|DVIR, LOC6629932|XP_002054333.2|DVIR, LOC6629933|XP_002054334.2|DVIR
OG0000033	LOC110189687|XP_020815520.1|DSER, LOC110189316|XP_020815019.1|DSER, LOC110189317|XP_020815020.1|DSER	LOC6635949|XP_002059391.1|DVIR
OG0000033	LOC110189686|XP_020815519.1|DSER	LOC6630139|XP_002053622.1|DVIR, LOC6630138|XP_002053621.1|DVIR, LOC6629617|XP_002053590.1|DVIR
OG0000034	LOC110184859|XP_020809159.1|DSER	LOC6627930|XP_002051996.1|DVIR
OG0000034	LOC110184879|XP_020809185.1|DSER	LOC6627931|XP_002051997.2|DVIR
OG0000034	LOC110184890|XP_020809195.1|DSER	LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR
OG0000034	LOC110185768|XP_020810429.1|DSER	LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR, LOC6628688|XP_002051352.1|DVIR
OG0000036	LOC110188341|XP_020813708.1|DSER	LOC6632491|XP_002056444.1|DVIR
OG0000036	LOC110191887|XP_020818531.1|DSER	LOC116651951|XP_032295383.1|DVIR
OG0000036	LOC110187659|XP_020812737.1|DSER	LOC6634881|XP_002058500.1|DVIR
OG0000036	LOC110186335|XP_020811144.1|DSER	LOC6630607|XP_002054482.2|DVIR
OG0000037	LOC110178458|XP_020801255.1|DSER	LOC6627126|XP_032291548.1|DVIR
OG0000037	LOC110188328|XP_020813694.1|DSER, LOC110188288|XP_020813646.1|DSER	LOC6629970|XP_002053079.1|DVIR
OG0000038	LOC110187819|XP_020812959.1|DSER, LOC110190399|XP_020816510.1|DSER	LOC6622648|XP_002047530.1|DVIR
OG0000038	LOC110189906|XP_020815830.1|DSER	LOC6624649|XP_002047532.2|DVIR
OG0000039	LOC110181782|XP_020805320.1|DSER	LOC6631924|XP_002055751.1|DVIR
OG0000039	LOC110181861|XP_020805441.1|DSER	LOC6636063|XP_002059594.1|DVIR
OG0000039	LOC110182039|XP_020805628.1|DSER	LOC6632395|XP_002056631.2|DVIR, LOC6631925|XP_002055752.1|DVIR, LOC116652072|XP_032295834.1|DVIR
OG0000039	LOC110181937|XP_020805533.1|DSER	LOC6636702|XP_002060175.3|DVIR
OG0000040	LOC110177295|XP_020799616.1|DSER, LOC110190225|XP_020816248.1|DSER	LOC6629625|XP_002054865.1|DVIR
OG0000040	LOC110190236|XP_020816258.1|DSER	LOC6629626|XP_002054866.2|DVIR
OG0000040	LOC110177298|XP_020799618.1|DSER, LOC110177453|XP_020799846.1|DSER, LOC110177296|XP_020799617.1|DSER	LOC116651842|XP_032294845.1|DVIR, LOC6629623|XP_032294844.1|DVIR
OG0000040	LOC110177417|XP_020799793.1|DSER	LOC6629621|XP_002054861.1|DVIR
OG0000040	LOC110186252|XP_020810992.1|DSER	LOC6629744|XP_002053886.1|DVIR
OG0000041	LOC110186567|XP_020811434.1|DSER, LOC110186639|XP_020811558.1|DSER, LOC110186484|XP_020811330.1|DSER, LOC110186805|XP_020811746.1|DSER, LOC110186801|XP_020811741.1|DSER, LOC110186551|XP_020811415.1|DSER, LOC110186535|XP_020811395.1|DSER, LOC110186667|XP_020811591.1|DSER	LOC6630744|XP_032290585.1|DVIR, LOC116651238|XP_032293093.1|DVIR, LOC6630745|XP_032292365.1|DVIR
OG0000042	LOC110191593|XP_020818136.1|DSER, LOC110191603|XP_020818147.1|DSER, LOC110191604|XP_020818149.1|DSER, LOC110191595|XP_020818140.1|DSER, LOC110191594|XP_020818138.1|DSER, LOC110191596|XP_020818141.1|DSER, LOC110191698|XP_020818273.1|DSER, LOC110191696|XP_020818271.1|DSER, LOC110191597|XP_020818142.1|DSER	LOC6630880|XP_002053792.2|DVIR, LOC6636545|XP_002060049.1|DVIR, LOC6625347|XP_002051000.3|DVIR, LOC6625529|XP_002051023.1|DVIR, LOC6625448|XP_002050998.1|DVIR, LOC6623106|XP_002046713.1|DVIR, LOC6625348|XP_002051001.1|DVIR, LOC6625349|XP_002051002.1|DVIR
OG0000043	LOC110188004|XP_020813185.1|DSER	LOC6630320|XP_002053430.1|DVIR
OG0000043	LOC110187778|XP_020812905.1|DSER, LOC110187703|XP_020812796.1|DSER, LOC110187702|XP_020812795.1|DSER	LOC6630323|XP_002053433.1|DVIR
OG0000043	LOC110187858|XP_020813002.1|DSER, LOC110191369|XP_020817880.1|DSER, LOC110187786|XP_020812917.1|DSER	LOC6630318|XP_002053428.2|DVIR
OG0000044	LOC110186554|XP_020811416.1|DSER, LOC110186305|XP_020811085.1|DSER	LOC6630493|XP_002053200.1|DVIR
OG0000044	LOC110186559|XP_020811423.1|DSER, LOC110186558|XP_020811422.1|DSER, LOC110186306|XP_020811086.1|DSER, LOC110186581|XP_020811453.1|DSER	LOC6630492|XP_002053199.1|DVIR, LOC6630491|XP_002053198.1|DVIR
OG0000045	LOC110178672|XP_020801529.1|DSER	LOC6624147|XP_002046895.1|DVIR
OG0000045	LOC110178605|XP_020801449.1|DSER, LOC110178606|XP_020801450.1|DSER	LOC6622199|XP_002046894.1|DVIR
OG0000045	LOC110186854|XP_020811804.1|DSER, LOC110176386|XP_020798377.1|DSER, LOC110186862|XP_020811816.1|DSER	LOC6624099|XP_002046893.1|DVIR
OG0000045	LOC110187537|XP_020812593.1|DSER	LOC6623107|XP_002046892.1|DVIR
OG0000046	LOC110180077|XP_020803358.1|DSER, LOC110180079|XP_020803360.1|DSER	LOC116652288|XP_032296485.1|DVIR, LOC6634418|XP_032296332.1|DVIR
OG0000046	LOC110180089|XP_020803371.1|DSER, LOC110180088|XP_020803370.1|DSER, LOC110185913|XP_020810588.1|DSER, LOC110185924|XP_020810599.1|DSER, LOC110184743|XP_020809034.1|DSER, LOC110184620|XP_020808877.1|DSER, LOC110184815|XP_020809118.1|DSER	LOC6629466|XP_032291044.1|DVIR, LOC6629465|XP_032291038.1|DVIR, LOC6629467|XP_002053883.2|DVIR, LOC6634417|XP_032296431.1|DVIR, LOC116652297|XP_032296495.1|DVIR
OG0000047	LOC110180463|XP_020803800.1|DSER	LOC6624851|XP_002050852.1|DVIR
OG0000047	LOC110176287|XP_020798269.1|DSER	LOC6624848|XP_002050849.2|DVIR
OG0000047	LOC110189583|XP_020815375.1|DSER	LOC6626318|XP_002049525.1|DVIR
OG0000047	LOC110184762|XP_020809052.1|DSER	LOC6623898|XP_015031386.1|DVIR
OG0000047	LOC110189698|XP_020815532.1|DSER	LOC6626924|XP_002049538.1|DVIR
OG0000048	LOC110190450|XP_020816610.1|DSER, LOC110190451|XP_020816611.1|DSER	LOC6623128|XP_002046219.1|DVIR
OG0000048	LOC110190448|XP_020816608.1|DSER, LOC110190459|XP_020816619.1|DSER	LOC6623801|XP_002046214.1|DVIR
OG0000048	LOC110190447|XP_020816607.1|DSER	LOC6623780|XP_002046212.1|DVIR
OG0000048	LOC110190454|XP_020816613.1|DSER	LOC6623749|XP_002046215.1|DVIR
OG0000049	LOC110188535|XP_020813941.1|DSER	LOC6632699|XP_002056032.2|DVIR
OG0000049	LOC110188465|XP_020813853.1|DSER	LOC6632702|XP_002056035.3|DVIR
OG0000049	LOC110188330|XP_020813697.1|DSER	LOC6632698|XP_002056031.1|DVIR
OG0000049	LOC110188331|XP_020813698.1|DSER	LOC116650324|XP_032289598.1|DVIR
OG0000049	LOC110188656|XP_020814093.1|DSER	LOC6632703|XP_002056036.2|DVIR
OG0000050	LOC110180270|XP_020803585.1|DSER	LOC116651245|XP_032293110.1|DVIR
OG0000050	LOC110190383|XP_020816472.1|DSER	LOC116650744|XP_032291206.1|DVIR
OG0000050	LOC110190030|XP_020815992.1|DSER	LOC6622355|XP_002047925.1|DVIR
OG0000050	LOC110190392|XP_020816504.1|DSER	LOC6622345|XP_002047924.2|DVIR
OG0000050	LOC110190033|XP_020815994.1|DSER	LOC6622312|XP_002047926.2|DVIR
OG0000050	LOC110190029|XP_020815991.1|DSER	LOC6622403|XP_002047934.2|DVIR
