Orthogroup	DSER.longest_only	DERE.longest_only
OG0000006	LOC110180689|XP_020804033.1|DSER, LOC110182434|XP_020806128.1|DSER, LOC110182140|XP_020805810.1|DSER, LOC110181333|XP_020804710.1|DSER, LOC110182413|XP_020806109.1|DSER, LOC110182153|XP_020805818.1|DSER, LOC110181334|XP_020804711.1|DSER	LOC6548691|XP_001974010.1|DERE
OG0000007	LOC110184727|XP_020809014.1|DSER	LOC6545298|XP_001972056.1|DERE
OG0000007	LOC110184726|XP_020809013.1|DSER	LOC6545299|XP_001972057.1|DERE
OG0000007	LOC110184693|XP_020808964.1|DSER	LOC6545101|XP_001972052.1|DERE
OG0000007	LOC110182363|XP_020806064.1|DSER	LOC6540938|XP_001968734.1|DERE
OG0000007	LOC110189366|XP_020815075.1|DSER	LOC6555344|XP_001981194.1|DERE, LOC6555345|XP_001981195.1|DERE
OG0000007	LOC110186676|XP_020811602.1|DSER, LOC110186433|XP_020811275.1|DSER	LOC6554433|XP_001981284.1|DERE, LOC6554432|XP_001981283.1|DERE
OG0000007	LOC110182364|XP_020806065.1|DSER	LOC6540876|XP_001968735.1|DERE
OG0000007	LOC110190669|XP_020816933.1|DSER	LOC6545660|XP_001971664.1|DERE
OG0000007	LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER	LOC6540935|XP_001968733.1|DERE
OG0000007	LOC110184731|XP_020809018.1|DSER	LOC6545300|XP_001972058.2|DERE
OG0000007	LOC110184732|XP_020809019.1|DSER	LOC6545301|XP_001972059.1|DERE
OG0000008	LOC110188534|XP_020813940.1|DSER	LOC6553905|XP_001979522.1|DERE
OG0000008	LOC110183610|XP_020807586.1|DSER	LOC6543716|XP_001971859.1|DERE
OG0000008	LOC110183609|XP_020807585.1|DSER	LOC6543719|XP_001971862.1|DERE
OG0000008	LOC110183997|XP_020808013.1|DSER	LOC6541660|XP_001969797.3|DERE
OG0000008	LOC110183613|XP_020807591.1|DSER	LOC6543717|XP_001971860.3|DERE
OG0000008	LOC110182844|XP_020806635.1|DSER	LOC6551209|XP_001977016.1|DERE
OG0000008	LOC110191723|XP_020818300.1|DSER, LOC110191724|XP_020818301.1|DSER	LOC6553020|XP_001979111.1|DERE, LOC6553021|XP_001979112.1|DERE
OG0000008	LOC110191898|XP_020818543.1|DSER	LOC6553018|XP_001979109.1|DERE
OG0000008	LOC110191819|XP_020818443.1|DSER	LOC6553016|XP_001979107.1|DERE
OG0000008	LOC110191725|XP_020818302.1|DSER	LOC6553019|XP_001979110.3|DERE
OG0000008	LOC110191899|XP_020818544.1|DSER	LOC6553017|XP_001979108.1|DERE
OG0000008	LOC110191820|XP_020818444.1|DSER	LOC6553015|XP_001979106.1|DERE
OG0000009	LOC110188739|XP_020814232.1|DSER	LOC6554105|XP_001979501.1|DERE
OG0000009	LOC110188430|XP_020813815.1|DSER	LOC6554107|XP_001979503.1|DERE
OG0000009	LOC110188741|XP_020814234.1|DSER	LOC6554108|XP_001979504.1|DERE
OG0000009	LOC110188740|XP_020814233.1|DSER	LOC6554106|XP_001979502.1|DERE
OG0000009	LOC110181065|XP_020804398.1|DSER	LOC6548094|XP_001976600.1|DERE
OG0000009	LOC110176644|XP_020798730.1|DSER	LOC6553884|XP_001980458.1|DERE
OG0000009	LOC110178269|XP_020800994.1|DSER	LOC6546804|XP_001975914.1|DERE
OG0000009	LOC110178304|XP_020801053.1|DSER, LOC110178309|XP_020801061.1|DSER	LOC6546805|XP_001975915.1|DERE
OG0000010	LOC110182164|XP_020805826.1|DSER	LOC6556039|XP_015008608.2|DERE
OG0000010	LOC110182137|XP_020805806.1|DSER, LOC110180684|XP_020804028.1|DSER, LOC110180662|XP_020804012.1|DSER, LOC110183810|XP_020807821.1|DSER	LOC113564802|XP_026839451.1|DERE
OG0000010	LOC110180673|XP_020804019.1|DSER, LOC110176508|XP_020798542.1|DSER, LOC110182165|XP_020805827.1|DSER	LOC6556049|XP_001982909.3|DERE
OG0000011	LOC110178138|XP_020800825.1|DSER, LOC110185094|XP_020809444.1|DSER	LOC6550533|XP_001977930.3|DERE
OG0000011	LOC110183280|XP_020807170.1|DSER	LOC6543446|XP_001968684.2|DERE
OG0000011	LOC110182663|XP_020806400.1|DSER, LOC110187551|XP_020812598.1|DSER, LOC110187412|XP_020812458.1|DSER, LOC110182662|XP_020806399.1|DSER	LOC6543815|XP_001973630.3|DERE, LOC6555031|XP_001981173.1|DERE
OG0000011	LOC110185813|XP_020810477.1|DSER	LOC113564144|XP_026835345.1|DERE, LOC113564056|XP_026834236.1|DERE
OG0000011	LOC110182278|XP_020805955.1|DSER	LOC6547227|XP_026836974.1|DERE, LOC113564269|XP_026836076.1|DERE, LOC6547226|XP_026836976.1|DERE, LOC6547233|XP_026836236.1|DERE, LOC6551039|XP_001978306.1|DERE
OG0000011	LOC110191403|XP_020817919.1|DSER	LOC6545632|XP_001972694.2|DERE
OG0000011	LOC110185215|XP_020809607.1|DSER	LOC6552127|XP_001980788.1|DERE
OG0000012	LOC110178863|XP_020801799.1|DSER	LOC6547483|XP_015011854.1|DERE
OG0000012	LOC110178859|XP_020801786.1|DSER	LOC6547482|XP_001974798.1|DERE
OG0000012	LOC110190967|XP_020817320.1|DSER	LOC6547337|XP_015012184.1|DERE
OG0000012	LOC110176037|XP_020797910.1|DSER	LOC6547484|XP_026836781.1|DERE
OG0000012	LOC110180096|XP_020803382.1|DSER	LOC6547486|XP_001974802.1|DERE
OG0000012	LOC110176319|XP_020798300.1|DSER	LOC6547485|XP_015012185.1|DERE
OG0000012	LOC110178311|XP_020801063.1|DSER	LOC6546830|XP_026836193.1|DERE
OG0000012	LOC110178377|XP_020801172.1|DSER	LOC6546691|XP_001975936.3|DERE
OG0000012	LOC110178312|XP_020801065.1|DSER	LOC6546690|XP_001975935.1|DERE
OG0000012	LOC110178270|XP_020800995.1|DSER, LOC110178283|XP_020801014.1|DSER	LOC26526953|XP_026835974.1|DERE
OG0000012	LOC110178292|XP_020801024.1|DSER	LOC6546689|XP_001975934.2|DERE
OG0000012	LOC110178324|XP_020801093.1|DSER	LOC6546688|XP_001975933.1|DERE
OG0000013	LOC110189766|XP_020815644.1|DSER	LOC6549620|XP_001975657.1|DERE
OG0000013	LOC110179613|XP_020802873.1|DSER	LOC6551261|XP_026838843.1|DERE
OG0000013	LOC110188689|XP_020814151.1|DSER	LOC6553110|XP_001980016.1|DERE
OG0000013	LOC110188838|XP_020814394.1|DSER	LOC6545627|XP_026832753.1|DERE
OG0000013	LOC110188074|XP_020813284.1|DSER	LOC6553734|XP_001980320.1|DERE
OG0000013	LOC110191421|XP_020817937.1|DSER, LOC110191071|XP_020817464.1|DSER	LOC6554353|XP_001982051.1|DERE
OG0000013	LOC110191200|XP_020817626.1|DSER, LOC110191337|XP_020817840.1|DSER	LOC6553767|XP_001980392.1|DERE, LOC6553763|XP_026839524.1|DERE, LOC113564842|XP_026839519.1|DERE, LOC6553724|XP_001980393.1|DERE, LOC6554050|XP_001980491.1|DERE, LOC6554051|XP_001980492.1|DERE
OG0000015	LOC110181407|XP_020804802.1|DSER	LOC6549487|XP_001974261.3|DERE
OG0000015	LOC110187200|XP_020812259.1|DSER, LOC110182170|XP_020805830.1|DSER, LOC110187202|XP_020812260.1|DSER	LOC6542316|XP_001970154.1|DERE, LOC6541306|XP_001970208.1|DERE
OG0000015	LOC110181374|XP_020804762.1|DSER	LOC6554572|XP_026839568.1|DERE
OG0000016	LOC110185112|XP_020809466.1|DSER	LOC6553473|XP_001980267.1|DERE
OG0000016	LOC110182974|XP_020806826.1|DSER	LOC6547825|XP_001974973.1|DERE
OG0000016	LOC110186803|XP_020811744.1|DSER	LOC6553744|XP_001980362.1|DERE
OG0000016	LOC110181494|XP_020804920.1|DSER	LOC6551195|XP_001977029.1|DERE
OG0000016	LOC110189526|XP_020815315.1|DSER	LOC6542573|XP_026835446.1|DERE
OG0000016	LOC110191952|XP_020818633.1|DSER	LOC6553157|XP_026831618.1|DERE
OG0000016	LOC110179844|XP_020803110.1|DSER	LOC6544283|XP_001973711.1|DERE
OG0000017	LOC110179704|XP_020802972.1|DSER	LOC6550521|XP_001977911.1|DERE
OG0000017	LOC110182944|XP_020806786.1|DSER	LOC6540975|XP_001970557.1|DERE
OG0000017	LOC110189651|XP_020815456.1|DSER	LOC6542635|XP_001970806.1|DERE
OG0000017	LOC110186415|XP_020811251.1|DSER	LOC6552914|XP_001980977.1|DERE
OG0000017	LOC110177433|XP_020799815.1|DSER, LOC110177434|XP_020799816.1|DSER	LOC6544876|XP_001973836.1|DERE, LOC6556262|XP_026839527.1|DERE
OG0000017	LOC110178450|XP_020801244.1|DSER, LOC110178456|XP_020801250.1|DSER	LOC6547791|XP_001976408.1|DERE
OG0000017	LOC110189689|XP_020815522.1|DSER	LOC6542668|XP_001970804.1|DERE
OG0000017	LOC110178449|XP_020801243.1|DSER	LOC6547792|XP_001976409.1|DERE
OG0000017	LOC110183096|XP_020806947.1|DSER, LOC110183098|XP_020806949.1|DSER, LOC110183097|XP_020806948.1|DSER	LOC6543081|XP_001968299.1|DERE
OG0000018	LOC110184702|XP_020808977.1|DSER	LOC6545112|XP_001972081.1|DERE
OG0000018	LOC110184746|XP_020809033.1|DSER	LOC6545115|XP_001972084.1|DERE
OG0000018	LOC110184752|XP_020809041.1|DSER	LOC6545114|XP_001972083.1|DERE
OG0000019	LOC110186753|XP_020811674.1|DSER	LOC113564308|XP_026836578.1|DERE
OG0000019	LOC110186755|XP_020811676.1|DSER, LOC110186756|XP_020811677.1|DSER	LOC113564837|XP_026839515.1|DERE
OG0000019	LOC110186746|XP_020811668.1|DSER	LOC6555070|XP_001981612.1|DERE
OG0000019	LOC110186754|XP_020811675.1|DSER	LOC6555069|XP_001981611.1|DERE
OG0000019	LOC110186749|XP_020811671.1|DSER, LOC110186750|XP_020811672.1|DSER	LOC113564283|XP_026836268.1|DERE, LOC6555065|XP_001981607.1|DERE, LOC113563849|XP_026832170.1|DERE, LOC113563848|XP_026832169.1|DERE, LOC113563851|XP_026832173.1|DERE, LOC113563850|XP_026832172.1|DERE, LOC6555062|XP_001981604.2|DERE, LOC6555064|XP_026839386.1|DERE
OG0000020	LOC110186419|XP_020811254.1|DSER	LOC6555052|XP_026839769.1|DERE
OG0000020	LOC110179314|XP_020802461.1|DSER	LOC6547855|XP_001975038.1|DERE
OG0000020	LOC110178058|XP_020800723.1|DSER	LOC6540649|XP_026834533.1|DERE
OG0000020	LOC110183820|XP_020807830.1|DSER	LOC6543425|XP_026834766.1|DERE
OG0000020	LOC110188252|XP_020813584.1|DSER	LOC6553828|XP_026839892.1|DERE
OG0000020	LOC110186984|XP_020811998.1|DSER	LOC6554060|XP_001980549.1|DERE
OG0000020	LOC110187270|XP_020812316.1|DSER	LOC6548804|XP_001974084.1|DERE
OG0000020	LOC110183751|XP_020807766.1|DSER	LOC6549412|XP_001974317.1|DERE
OG0000021	LOC110180622|XP_020803965.1|DSER	LOC6556017|XP_001982880.1|DERE
OG0000021	LOC110177674|XP_020800156.1|DSER	LOC6547978|XP_001975124.1|DERE
OG0000021	LOC110177755|XP_020800276.1|DSER	LOC6548381|XP_001975140.1|DERE
OG0000021	LOC110177907|XP_020800536.1|DSER	LOC6546948|XP_001974598.1|DERE
OG0000021	LOC110181842|XP_020805408.1|DSER	LOC6551659|XP_001977237.1|DERE
OG0000021	LOC110184678|XP_020808951.1|DSER	LOC6554651|XP_001981975.1|DERE
OG0000021	LOC110190995|XP_020817366.1|DSER	LOC6553703|XP_001980409.1|DERE
OG0000021	LOC110189278|XP_020814959.1|DSER	LOC26526932|XP_026837924.1|DERE
OG0000022	LOC110176354|XP_020798342.1|DSER	LOC6548724|XP_001975398.1|DERE
OG0000022	LOC110178658|XP_020801510.1|DSER	LOC6543861|XP_001971088.1|DERE
OG0000022	LOC110178662|XP_020801517.1|DSER	LOC6545495|XP_001971097.1|DERE
OG0000023	LOC110188309|XP_020813677.1|DSER, LOC110188457|XP_020813846.1|DSER	LOC6553285|XP_001979203.1|DERE
OG0000023	LOC110180829|XP_020804169.1|DSER	LOC6546697|XP_026836761.1|DERE
OG0000023	LOC110188308|XP_020813675.1|DSER, LOC110188456|XP_020813844.1|DSER	LOC6553284|XP_026831910.1|DERE
OG0000023	LOC110188454|XP_020813842.1|DSER	LOC6553277|XP_001979195.2|DERE
OG0000023	LOC110188692|XP_020814155.1|DSER	LOC6553329|XP_001979191.2|DERE
OG0000023	LOC110188691|XP_020814154.1|DSER	LOC6553331|XP_001979193.1|DERE
OG0000023	LOC110188690|XP_020814152.1|DSER	LOC6553328|XP_001979190.1|DERE
OG0000024	LOC110179294|XP_020802438.1|DSER, LOC110179366|XP_020802540.1|DSER, LOC110179298|XP_020802443.1|DSER, LOC110179367|XP_020802541.1|DSER	LOC6547183|XP_001976081.1|DERE
OG0000024	LOC110179365|XP_020802539.1|DSER	LOC6547182|XP_001976080.1|DERE
OG0000024	LOC110185697|XP_020810324.1|DSER	LOC6549069|XP_001974169.1|DERE
OG0000024	LOC110179322|XP_020802473.1|DSER	LOC6547184|XP_001976082.1|DERE
OG0000024	LOC110180569|XP_020803926.1|DSER	LOC6549473|XP_001975764.1|DERE
OG0000025	LOC110182356|XP_020806054.1|DSER	LOC6540718|XP_001968765.1|DERE
OG0000026	LOC110176041|XP_020797911.1|DSER	LOC6551694|XP_001977155.1|DERE
OG0000026	LOC110182689|XP_020806441.1|DSER	LOC6543477|XP_001969495.1|DERE
OG0000026	LOC110179505|XP_020802740.1|DSER	LOC6551346|XP_001977080.1|DERE
OG0000026	LOC110188271|XP_020813620.1|DSER	LOC6553336|XP_001979309.1|DERE
OG0000027	LOC110176950|XP_020799111.1|DSER	LOC6541432|XP_001970185.1|DERE
OG0000027	LOC110176976|XP_020799142.1|DSER	LOC6541563|XP_001970188.1|DERE
OG0000027	LOC110176929|XP_020799084.1|DSER	LOC6541340|XP_001970186.1|DERE
OG0000028	LOC110190402|XP_020816516.1|DSER	LOC6545328|XP_001973336.1|DERE, LOC6545326|XP_026833776.1|DERE
OG0000028	LOC110190400|XP_020816511.1|DSER, LOC110190401|XP_020816513.1|DSER, LOC110190052|XP_020816017.1|DSER	LOC6545325|XP_026832190.1|DERE, LOC6545324|XP_026833774.1|DERE, LOC6545516|XP_001973330.1|DERE
OG0000028	LOC110190608|XP_020816860.1|DSER	LOC6545103|XP_001973211.1|DERE
OG0000029	LOC110181434|XP_020804839.1|DSER, LOC110177071|XP_020799247.1|DSER	LOC6541177|XP_001969159.1|DERE
OG0000029	LOC110185765|XP_020810430.1|DSER	LOC6552797|XP_001981008.1|DERE
OG0000029	LOC110178924|XP_020801869.1|DSER	LOC6546309|XP_026833134.1|DERE
OG0000030	LOC110183999|XP_020808015.1|DSER	LOC6540832|XP_001969798.1|DERE
OG0000030	LOC110184000|XP_020808016.1|DSER	LOC6543200|XP_001969799.1|DERE
OG0000030	LOC110184885|XP_020809189.1|DSER	LOC6542410|XP_001968441.1|DERE
OG0000030	LOC110178495|XP_020801302.1|DSER	LOC6547811|XP_001976404.1|DERE
OG0000030	LOC110180192|XP_020803508.1|DSER	LOC6555505|XP_026838381.1|DERE
OG0000030	LOC110184177|XP_020808247.1|DSER	LOC6550371|XP_001977852.1|DERE
OG0000031	LOC110185921|XP_020810593.1|DSER	LOC6541519|XP_001969009.2|DERE, LOC6543250|XP_001968986.1|DERE
OG0000031	LOC110183330|XP_020807237.1|DSER	LOC6542615|XP_001969442.1|DERE
OG0000032	LOC110191017|XP_020817393.1|DSER	LOC6553974|XP_015009875.1|DERE
OG0000032	LOC110189708|XP_020815547.1|DSER	LOC6553916|XP_015010087.1|DERE
OG0000032	LOC110190954|XP_020817297.1|DSER	LOC6553973|XP_026831770.1|DERE
OG0000032	LOC110188628|XP_020814064.1|DSER	LOC6553975|XP_026831724.1|DERE
OG0000032	LOC110190425|XP_020816566.1|DSER	LOC113564299|XP_026836470.1|DERE
OG0000033	LOC110184954|XP_020809264.1|DSER, LOC110185945|XP_020810623.1|DSER	LOC6555354|XP_026839686.1|DERE, LOC6555355|XP_001981434.1|DERE
OG0000033	LOC110189687|XP_020815520.1|DSER	LOC6541653|XP_001970703.1|DERE
OG0000033	LOC110189316|XP_020815019.1|DSER, LOC110189317|XP_020815020.1|DSER	LOC6542775|XP_001970704.2|DERE
OG0000033	LOC110189686|XP_020815519.1|DSER	LOC6541460|XP_001970702.1|DERE
OG0000033	LOC110188470|XP_020813858.1|DSER, LOC110188471|XP_020813859.1|DSER	LOC6546216|XP_001972911.1|DERE
OG0000034	LOC110184859|XP_020809159.1|DSER	LOC6547752|XP_001976261.2|DERE
OG0000034	LOC110184890|XP_020809195.1|DSER	LOC6547627|XP_001976262.1|DERE
OG0000034	LOC110185580|XP_020810168.1|DSER, LOC110185578|XP_020810167.1|DSER	LOC113564268|XP_026836067.1|DERE, LOC6553711|XP_001980355.1|DERE
OG0000036	LOC110188341|XP_020813708.1|DSER	LOC6553210|XP_001979212.1|DERE
OG0000036	LOC110191887|XP_020818531.1|DSER	LOC6553049|XP_001980037.3|DERE
OG0000036	LOC110187659|XP_020812737.1|DSER	LOC6552090|XP_001978801.1|DERE
OG0000036	LOC110186335|XP_020811144.1|DSER	LOC6554160|XP_026832544.1|DERE, LOC113563885|XP_026832533.1|DERE
OG0000037	LOC110178458|XP_020801255.1|DSER	LOC6547304|XP_026836461.1|DERE
OG0000037	LOC110188328|XP_020813694.1|DSER	LOC6553809|XP_001979566.1|DERE
OG0000037	LOC110188288|XP_020813646.1|DSER	LOC6553808|XP_001979565.1|DERE
OG0000038	LOC110187819|XP_020812959.1|DSER, LOC110190399|XP_020816510.1|DSER	LOC6545503|XP_001973343.1|DERE
OG0000038	LOC110189906|XP_020815830.1|DSER	LOC6545505|XP_026833772.1|DERE
OG0000039	LOC110181782|XP_020805320.1|DSER	LOC6550737|XP_001978160.1|DERE
OG0000039	LOC110181861|XP_020805441.1|DSER	LOC6550622|XP_026837736.1|DERE
OG0000039	LOC110181937|XP_020805533.1|DSER	LOC6551666|XP_001977244.1|DERE
OG0000040	LOC110177295|XP_020799616.1|DSER	LOC6551893|XP_026835202.1|DERE
OG0000040	LOC110190225|XP_020816248.1|DSER	LOC6551780|XP_001980593.1|DERE
OG0000040	LOC110190236|XP_020816258.1|DSER	LOC6551781|XP_001980594.1|DERE
OG0000040	LOC110177298|XP_020799618.1|DSER, LOC110177453|XP_020799846.1|DSER	LOC6551892|XP_001979714.2|DERE
OG0000040	LOC110177296|XP_020799617.1|DSER	LOC6551891|XP_001979713.1|DERE
OG0000040	LOC110177417|XP_020799793.1|DSER	LOC6551889|XP_001979711.1|DERE
OG0000040	LOC110186252|XP_020810992.1|DSER	LOC6554299|XP_001981067.1|DERE
OG0000041	LOC110186567|XP_020811434.1|DSER	LOC6554981|XP_001981824.1|DERE
OG0000041	LOC110186484|XP_020811330.1|DSER	LOC6554997|XP_001981822.1|DERE
OG0000041	LOC110186805|XP_020811746.1|DSER, LOC110186801|XP_020811741.1|DSER, LOC110186551|XP_020811415.1|DSER	LOC6554990|XP_001981815.1|DERE
OG0000041	LOC110186535|XP_020811395.1|DSER, LOC110186667|XP_020811591.1|DSER	LOC6554992|XP_001981817.1|DERE, LOC6554991|XP_001981816.2|DERE
OG0000042	LOC110191593|XP_020818136.1|DSER	LOC6547072|XP_001974652.1|DERE
OG0000042	LOC110191603|XP_020818147.1|DSER, LOC110191604|XP_020818149.1|DSER	LOC6547084|XP_001974656.1|DERE
OG0000042	LOC110191595|XP_020818140.1|DSER	LOC6547081|XP_026835970.1|DERE
OG0000042	LOC110191594|XP_020818138.1|DSER, LOC110191596|XP_020818141.1|DSER, LOC110191698|XP_020818273.1|DSER, LOC110191696|XP_020818271.1|DSER, LOC110191597|XP_020818142.1|DSER	LOC6547083|XP_026836041.1|DERE, LOC6547082|XP_001974654.1|DERE
OG0000042	LOC110191697|XP_020818272.1|DSER, LOC110191695|XP_020818269.1|DSER	LOC6547085|XP_001974657.2|DERE
OG0000043	LOC110187856|XP_020813000.1|DSER	LOC6551884|XP_001980608.2|DERE
OG0000043	LOC110188004|XP_020813185.1|DSER	LOC6551882|XP_001980606.1|DERE
OG0000043	LOC110187778|XP_020812905.1|DSER, LOC110187703|XP_020812796.1|DSER, LOC110187702|XP_020812795.1|DSER	LOC6551896|XP_001980611.1|DERE
OG0000043	LOC110191369|XP_020817880.1|DSER	LOC6554744|XP_001981087.1|DERE
OG0000043	LOC110187786|XP_020812917.1|DSER	LOC6549065|XP_026836066.1|DERE, LOC6551880|XP_001980604.1|DERE
OG0000044	LOC110186554|XP_020811416.1|DSER, LOC110186305|XP_020811085.1|DSER	LOC6554933|XP_001981812.1|DERE
OG0000044	LOC110186559|XP_020811423.1|DSER, LOC110186558|XP_020811422.1|DSER	LOC6554929|XP_001981808.1|DERE
OG0000044	LOC110186306|XP_020811086.1|DSER, LOC110186581|XP_020811453.1|DSER	LOC6554928|XP_001981807.1|DERE
OG0000044	LOC110186555|XP_020811417.1|DSER	LOC6554932|XP_026836683.1|DERE
OG0000044	LOC110186661|XP_020811584.1|DSER	LOC6554930|XP_001981809.1|DERE
OG0000044	LOC110186693|XP_020811620.1|DSER	LOC6553968|XP_001980526.3|DERE
OG0000045	LOC110178672|XP_020801529.1|DSER	LOC6543777|XP_001972312.1|DERE
OG0000045	LOC110178605|XP_020801449.1|DSER, LOC110178606|XP_020801450.1|DSER	LOC6543776|XP_001972311.2|DERE, LOC6543775|XP_001972310.1|DERE
OG0000045	LOC110186854|XP_020811804.1|DSER, LOC110176386|XP_020798377.1|DSER, LOC110186862|XP_020811816.1|DSER	LOC6544619|XP_001971501.1|DERE
OG0000045	LOC110187537|XP_020812593.1|DSER	LOC6544620|XP_001971502.1|DERE
OG0000046	LOC110188408|XP_020813792.1|DSER	LOC6553418|XP_001979316.1|DERE
OG0000046	LOC110180079|XP_020803360.1|DSER	LOC6550460|XP_001977787.1|DERE
OG0000046	LOC110185913|XP_020810588.1|DSER	LOC6554301|XP_001982125.2|DERE
OG0000046	LOC110184620|XP_020808877.1|DSER, LOC110184815|XP_020809118.1|DSER	LOC6554302|XP_001982126.1|DERE
OG0000047	LOC110180463|XP_020803800.1|DSER	LOC6548915|XP_026836112.1|DERE
OG0000047	LOC110176287|XP_020798269.1|DSER	LOC6548919|XP_001975347.1|DERE
OG0000047	LOC110189583|XP_020815375.1|DSER	LOC6549604|XP_001975737.1|DERE
OG0000047	LOC110184762|XP_020809052.1|DSER	LOC6546188|XP_001972281.1|DERE
OG0000047	LOC110189698|XP_020815532.1|DSER	LOC6549507|XP_001975729.1|DERE
OG0000047	LOC110184679|XP_020808950.1|DSER	LOC6546189|XP_001972282.1|DERE
