Orthogroup	DSER.longest_only	CQUI.longest_only
OG0000009	LOC110188739|XP_020814232.1|DSER, LOC110188430|XP_020813815.1|DSER, LOC110186309|XP_020811090.1|DSER, LOC110188741|XP_020814234.1|DSER, LOC110188740|XP_020814233.1|DSER, LOC110181065|XP_020804398.1|DSER, LOC110176644|XP_020798730.1|DSER, LOC110178269|XP_020800994.1|DSER, LOC110189524|XP_020815309.1|DSER, LOC110189486|XP_020815231.1|DSER, LOC110178372|XP_020801168.1|DSER, LOC110178373|XP_020801169.1|DSER, LOC110178375|XP_020801170.1|DSER, LOC110189711|XP_020815559.1|DSER, LOC110178304|XP_020801053.1|DSER, LOC110178309|XP_020801061.1|DSER, LOC110178386|XP_020801181.1|DSER	LOC6048808|XP_001865675.2|CQUI, LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI, LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI, LOC6053772|XP_001869801.2|CQUI, LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI
OG0000010	LOC110182136|XP_020805805.1|DSER, LOC110180708|XP_020804048.1|DSER, LOC110180685|XP_020804029.1|DSER, LOC110183811|XP_020807822.1|DSER, LOC110182163|XP_020805825.1|DSER, LOC110182420|XP_020806116.1|DSER, LOC110182144|XP_020805814.1|DSER, LOC110182164|XP_020805826.1|DSER, LOC110182441|XP_020806135.1|DSER, LOC110182421|XP_020806117.1|DSER, LOC110180707|XP_020804047.1|DSER, LOC110180709|XP_020804049.1|DSER, LOC110181329|XP_020804707.1|DSER, LOC110182137|XP_020805806.1|DSER, LOC110180684|XP_020804028.1|DSER, LOC110180662|XP_020804012.1|DSER, LOC110183810|XP_020807821.1|DSER	LOC6054618|XP_038112552.1|CQUI
OG0000010	LOC110176508|XP_020798542.1|DSER, LOC110182165|XP_020805827.1|DSER	LOC6048602|XP_038111058.1|CQUI
OG0000012	LOC110178863|XP_020801799.1|DSER, LOC110178859|XP_020801786.1|DSER, LOC110190967|XP_020817320.1|DSER, LOC110176037|XP_020797910.1|DSER, LOC110181698|XP_020805203.1|DSER, LOC110180096|XP_020803382.1|DSER, LOC110181688|XP_020805193.1|DSER, LOC110176319|XP_020798300.1|DSER, LOC110178311|XP_020801063.1|DSER, LOC110178377|XP_020801172.1|DSER, LOC110178312|XP_020801065.1|DSER, LOC110178270|XP_020800995.1|DSER, LOC110178283|XP_020801014.1|DSER, LOC110178292|XP_020801024.1|DSER, LOC110178324|XP_020801093.1|DSER	LOC6046845|XP_001863980.2|CQUI, LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI
OG0000013	LOC110189766|XP_020815644.1|DSER	LOC6035930|XP_001846040.1|CQUI
OG0000013	LOC110179613|XP_020802873.1|DSER	LOC6034961|XP_038118728.1|CQUI
OG0000013	LOC110188689|XP_020814151.1|DSER	LOC6041235|XP_001850527.1|CQUI
OG0000013	LOC110188838|XP_020814394.1|DSER	LOC6038413|XP_001848218.2|CQUI
OG0000013	LOC110188074|XP_020813284.1|DSER	LOC6047700|XP_038117441.1|CQUI
OG0000013	LOC110191421|XP_020817937.1|DSER, LOC110191071|XP_020817464.1|DSER, LOC110191200|XP_020817626.1|DSER, LOC110191337|XP_020817840.1|DSER	LOC6047923|XP_001864910.2|CQUI
OG0000016	LOC110185112|XP_020809466.1|DSER, LOC110182974|XP_020806826.1|DSER	LOC6037346|XP_001847269.1|CQUI
OG0000016	LOC110186803|XP_020811744.1|DSER	LOC6032259|XP_001842896.1|CQUI
OG0000016	LOC110181494|XP_020804920.1|DSER	LOC6042744|XP_038105438.1|CQUI
OG0000016	LOC110179844|XP_020803110.1|DSER	LOC6045438|XP_001862809.2|CQUI, LOC6045432|XP_038109584.1|CQUI
OG0000018	LOC110184702|XP_020808977.1|DSER	LOC6049793|XP_038119134.1|CQUI
OG0000019	LOC110186753|XP_020811674.1|DSER, LOC110186755|XP_020811676.1|DSER, LOC110186756|XP_020811677.1|DSER, LOC110186746|XP_020811668.1|DSER, LOC110186754|XP_020811675.1|DSER, LOC110186749|XP_020811671.1|DSER, LOC110186750|XP_020811672.1|DSER	LOC6032038|XP_001842705.2|CQUI, LOC6035676|XP_001845810.2|CQUI, LOC6032037|XP_038105442.1|CQUI, LOC6035669|XP_001845803.2|CQUI, LOC6035668|XP_001845802.2|CQUI, LOC6035670|XP_001845804.2|CQUI, LOC6035671|XP_001845805.2|CQUI, LOC6035672|XP_038106248.1|CQUI, LOC6035674|XP_038108138.1|CQUI, LOC6035673|XP_001845807.2|CQUI, LOC6035725|XP_001845796.2|CQUI, LOC6050287|XP_038119254.1|CQUI, LOC6044518|XP_038116745.1|CQUI
OG0000020	LOC110186419|XP_020811254.1|DSER, LOC110179314|XP_020802461.1|DSER	LOC6039899|XP_001849397.1|CQUI
OG0000020	LOC110178058|XP_020800723.1|DSER, LOC110183820|XP_020807830.1|DSER, LOC110188252|XP_020813584.1|DSER, LOC110186984|XP_020811998.1|DSER, LOC110187270|XP_020812316.1|DSER, LOC110183751|XP_020807766.1|DSER	LOC6036302|XP_038116279.1|CQUI
OG0000021	LOC110181842|XP_020805408.1|DSER	LOC6033026|XP_038122145.1|CQUI
OG0000021	LOC110184678|XP_020808951.1|DSER, LOC110190995|XP_020817366.1|DSER, LOC110189278|XP_020814959.1|DSER, LOC110178105|XP_020800778.1|DSER	LOC6039972|XP_001849462.1|CQUI
OG0000022	LOC110176354|XP_020798342.1|DSER, LOC110178658|XP_020801510.1|DSER, LOC110178666|XP_020801520.1|DSER, LOC110178667|XP_020801521.1|DSER, LOC110178668|XP_020801523.1|DSER, LOC110178669|XP_020801524.1|DSER, LOC110178663|XP_020801518.1|DSER, LOC110178665|XP_020801519.1|DSER, LOC110178662|XP_020801517.1|DSER	LOC6037178|XP_001847112.1|CQUI
OG0000023	LOC110188311|XP_020813678.1|DSER, LOC110188309|XP_020813677.1|DSER, LOC110188457|XP_020813846.1|DSER, LOC110180829|XP_020804169.1|DSER, LOC110188308|XP_020813675.1|DSER, LOC110188456|XP_020813844.1|DSER, LOC110188454|XP_020813842.1|DSER, LOC110188692|XP_020814155.1|DSER, LOC110188691|XP_020814154.1|DSER, LOC110188690|XP_020814152.1|DSER	LOC6047250|XP_001864331.2|CQUI, LOC6047249|XP_038118268.1|CQUI
OG0000024	LOC110179294|XP_020802438.1|DSER, LOC110179366|XP_020802540.1|DSER, LOC110179298|XP_020802443.1|DSER, LOC110179367|XP_020802541.1|DSER, LOC110179365|XP_020802539.1|DSER, LOC110185697|XP_020810324.1|DSER, LOC110179322|XP_020802473.1|DSER, LOC110180569|XP_020803926.1|DSER	LOC6034201|XP_001844555.2|CQUI
OG0000025	LOC110184425|XP_020808619.1|DSER, LOC110178949|XP_020801906.1|DSER	LOC6041036|XP_001850347.1|CQUI
OG0000025	LOC110182356|XP_020806054.1|DSER	LOC6051248|XP_001867717.2|CQUI, LOC6042920|XP_038111850.1|CQUI
OG0000026	LOC110179505|XP_020802740.1|DSER, LOC110189572|XP_020815365.1|DSER, LOC110188271|XP_020813620.1|DSER	LOC6050471|XP_001867076.2|CQUI, LOC6036301|XP_001846367.2|CQUI, LOC6050473|XP_001867077.2|CQUI, LOC6036297|XP_001846363.2|CQUI, LOC6050476|XP_001867079.2|CQUI, LOC6037278|XP_001847205.2|CQUI, LOC6037276|XP_038115329.1|CQUI, LOC6037277|XP_001847204.2|CQUI, LOC6032449|XP_001843045.1|CQUI, LOC6033789|XP_001844191.2|CQUI
OG0000027	LOC110176950|XP_020799111.1|DSER, LOC110176976|XP_020799142.1|DSER, LOC110176929|XP_020799084.1|DSER	LOC6034839|XP_001845110.1|CQUI, LOC6034845|XP_001845116.1|CQUI, LOC6034846|XP_001845117.1|CQUI, LOC6034843|XP_001845114.1|CQUI, LOC6034842|XP_001845113.1|CQUI
OG0000028	LOC110190053|XP_020816018.1|DSER, LOC110190402|XP_020816516.1|DSER, LOC110190400|XP_020816511.1|DSER, LOC110190401|XP_020816513.1|DSER, LOC110190052|XP_020816017.1|DSER, LOC110190608|XP_020816860.1|DSER	LOC119769830|XP_038119448.1|CQUI, LOC119770585|XP_038121681.1|CQUI
OG0000029	LOC110181434|XP_020804839.1|DSER, LOC110177071|XP_020799247.1|DSER, LOC110185765|XP_020810430.1|DSER, LOC110178924|XP_020801869.1|DSER	LOC6046540|XP_038104140.1|CQUI, LOC119770835|XP_038122320.1|CQUI, LOC6032197|XP_038121223.1|CQUI, LOC6054715|XP_001891378.1|CQUI, LOC119767641|XP_038112578.1|CQUI, LOC6036832|XP_038117253.1|CQUI, LOC119767638|XP_038112572.1|CQUI, LOC6033928|XP_001844317.2|CQUI, LOC6033925|XP_001844314.1|CQUI, LOC6033924|XP_001844313.2|CQUI, LOC6033923|XP_001844312.1|CQUI, LOC6033927|XP_001844316.1|CQUI, LOC6052046|XP_001868378.1|CQUI, LOC6052045|XP_001868377.1|CQUI, LOC6051109|XP_001867594.2|CQUI, LOC6042971|XP_001854129.2|CQUI, LOC6042962|XP_001854087.2|CQUI, LOC6042967|XP_001854113.2|CQUI, LOC6042966|XP_001854108.2|CQUI, LOC119768731|XP_038115519.1|CQUI, LOC6039478|XP_001849082.2|CQUI, LOC6039479|XP_038116652.1|CQUI, LOC119768730|XP_038115518.1|CQUI, LOC6039088|XP_001848759.2|CQUI, LOC6054282|XP_038117233.1|CQUI
OG0000031	LOC110185921|XP_020810593.1|DSER, LOC110185929|XP_020810602.1|DSER	LOC6037443|XP_038110196.1|CQUI, LOC6037444|XP_001847357.2|CQUI, LOC6037442|XP_038112627.1|CQUI
OG0000032	LOC110191017|XP_020817393.1|DSER, LOC110189627|XP_020815431.1|DSER, LOC110189708|XP_020815547.1|DSER, LOC110190954|XP_020817297.1|DSER, LOC110188628|XP_020814064.1|DSER, LOC110190425|XP_020816566.1|DSER, LOC110191021|XP_020817396.1|DSER, LOC110179845|XP_020803112.1|DSER, LOC110190965|XP_020817315.1|DSER, LOC110191414|XP_020817930.1|DSER, LOC110190900|XP_020817217.1|DSER, LOC110188663|XP_020814116.1|DSER, LOC110191408|XP_020817925.1|DSER, LOC110191413|XP_020817929.1|DSER	LOC6043364|XP_038120746.1|CQUI, LOC6031025|XP_001841877.1|CQUI
OG0000034	LOC110184859|XP_020809159.1|DSER, LOC110184879|XP_020809185.1|DSER, LOC110184890|XP_020809195.1|DSER, LOC110185580|XP_020810168.1|DSER, LOC110185578|XP_020810167.1|DSER, LOC110185768|XP_020810429.1|DSER	LOC6031147|XP_001841990.2|CQUI, LOC6031148|XP_038117685.1|CQUI, LOC6045701|XP_001863009.1|CQUI
OG0000036	LOC110188341|XP_020813708.1|DSER	LOC6035433|XP_001845622.2|CQUI
OG0000037	LOC110178458|XP_020801255.1|DSER, LOC110188328|XP_020813694.1|DSER, LOC110188288|XP_020813646.1|DSER	LOC6043093|XP_001855590.2|CQUI, LOC6043095|XP_001855599.1|CQUI, LOC6043092|XP_038114420.1|CQUI
OG0000038	LOC110187819|XP_020812959.1|DSER, LOC110190399|XP_020816510.1|DSER	LOC6034620|XP_001844912.2|CQUI
OG0000038	LOC110189906|XP_020815830.1|DSER	LOC6047259|XP_001864341.2|CQUI
OG0000041	LOC110186567|XP_020811434.1|DSER, LOC110186639|XP_020811558.1|DSER, LOC110186484|XP_020811330.1|DSER, LOC110186805|XP_020811746.1|DSER, LOC110186801|XP_020811741.1|DSER, LOC110186551|XP_020811415.1|DSER, LOC110186535|XP_020811395.1|DSER, LOC110186667|XP_020811591.1|DSER	LOC6043424|XP_001858991.1|CQUI, LOC6043426|XP_038116385.1|CQUI, LOC6043423|XP_001858986.2|CQUI, LOC6043427|XP_038116386.1|CQUI, LOC6043428|XP_038116387.1|CQUI
OG0000043	LOC110187856|XP_020813000.1|DSER, LOC110188004|XP_020813185.1|DSER, LOC110187778|XP_020812905.1|DSER, LOC110187703|XP_020812796.1|DSER, LOC110187702|XP_020812795.1|DSER, LOC110187858|XP_020813002.1|DSER, LOC110191369|XP_020817880.1|DSER, LOC110187786|XP_020812917.1|DSER	LOC119770262|XP_038120732.1|CQUI, LOC6035302|XP_038116309.1|CQUI, LOC6035304|XP_001845522.2|CQUI, LOC6035303|XP_038116308.1|CQUI
OG0000044	LOC110186554|XP_020811416.1|DSER, LOC110186305|XP_020811085.1|DSER, LOC110186559|XP_020811423.1|DSER, LOC110186558|XP_020811422.1|DSER, LOC110186306|XP_020811086.1|DSER, LOC110186581|XP_020811453.1|DSER, LOC110186555|XP_020811417.1|DSER, LOC110186661|XP_020811584.1|DSER, LOC110186693|XP_020811620.1|DSER	LOC6043407|XP_038120989.1|CQUI
OG0000047	LOC110180463|XP_020803800.1|DSER, LOC110176287|XP_020798269.1|DSER, LOC110189583|XP_020815375.1|DSER, LOC110184762|XP_020809052.1|DSER, LOC110189698|XP_020815532.1|DSER, LOC110184679|XP_020808950.1|DSER	LOC6034913|XP_001845179.1|CQUI
OG0000048	LOC110190448|XP_020816608.1|DSER, LOC110190459|XP_020816619.1|DSER, LOC110190447|XP_020816607.1|DSER, LOC110190454|XP_020816613.1|DSER	LOC6042064|XP_001851216.1|CQUI, LOC6042091|XP_038120615.1|CQUI
OG0000049	LOC110188535|XP_020813941.1|DSER, LOC110188465|XP_020813853.1|DSER, LOC110188330|XP_020813697.1|DSER, LOC110188568|XP_020813987.1|DSER, LOC110188331|XP_020813698.1|DSER, LOC110188656|XP_020814093.1|DSER	LOC119770327|XP_038120923.1|CQUI, LOC6040028|XP_001849502.2|CQUI, LOC6038239|XP_001848065.2|CQUI
OG0000051	LOC110187927|XP_020813097.1|DSER, LOC110186721|XP_020811651.1|DSER, LOC110176579|XP_020798652.1|DSER	LOC6049623|XP_001866350.2|CQUI, LOC6049624|XP_001866351.2|CQUI, LOC6049622|XP_001866349.2|CQUI, LOC6049616|XP_001866343.2|CQUI, LOC6043147|XP_038117609.1|CQUI
OG0000053	LOC110176132|XP_020798030.1|DSER, LOC110176120|XP_020798020.1|DSER, LOC110176110|XP_020798009.1|DSER	LOC6042358|XP_001851486.2|CQUI, LOC6053872|XP_001869889.2|CQUI, LOC6037642|XP_001847529.2|CQUI
OG0000054	LOC110191806|XP_020818417.1|DSER, LOC110191860|XP_020818499.1|DSER, LOC110191877|XP_020818520.1|DSER, LOC110191876|XP_020818519.1|DSER	LOC6047251|XP_038118267.1|CQUI, LOC6047253|XP_001864335.2|CQUI, LOC6047252|XP_001864334.2|CQUI, LOC6047266|XP_038120120.1|CQUI, LOC6051751|XP_001868138.2|CQUI, LOC6051753|XP_038112406.1|CQUI, LOC6047254|XP_038118865.1|CQUI, LOC6050365|XP_038117140.1|CQUI, LOC6035650|XP_038104780.1|CQUI, LOC6050366|XP_038119770.1|CQUI
OG0000055	LOC110186659|XP_020811582.1|DSER, LOC110186437|XP_020811278.1|DSER, LOC110186438|XP_020811279.1|DSER, LOC110186635|XP_020811553.1|DSER, LOC110186692|XP_020811619.1|DSER	LOC6036945|XP_001846918.2|CQUI, LOC6044197|XP_001861742.2|CQUI, LOC6044200|XP_001861740.1|CQUI
OG0000056	LOC110191245|XP_020817684.1|DSER, LOC110191242|XP_020817680.1|DSER, LOC110191246|XP_020817685.1|DSER, LOC110191243|XP_020817681.1|DSER, LOC110191244|XP_020817682.1|DSER, LOC110191006|XP_020817383.1|DSER, LOC110191004|XP_020817381.1|DSER, LOC110191023|XP_020817399.1|DSER, LOC110191359|XP_020817866.1|DSER	LOC6046589|XP_038114917.1|CQUI, LOC6046586|XP_001863762.1|CQUI, LOC6046588|XP_001863763.1|CQUI
OG0000058	LOC110185667|XP_020810288.1|DSER, LOC110183409|XP_020807348.1|DSER, LOC110185666|XP_020810287.1|DSER, LOC110183419|XP_020807360.1|DSER, LOC110185668|XP_020810289.1|DSER, LOC110182841|XP_020806632.1|DSER	LOC6045941|XP_001863218.2|CQUI, LOC6049584|XP_001866314.2|CQUI, LOC119770688|XP_038121949.1|CQUI, LOC6049585|XP_001866315.2|CQUI, LOC6045940|XP_001863217.1|CQUI, LOC6045939|XP_001863216.2|CQUI
OG0000060	LOC110178856|XP_020801778.1|DSER	LOC6052719|XP_038111213.1|CQUI
OG0000060	LOC110186504|XP_020811358.1|DSER	LOC6034874|XP_038108204.1|CQUI
OG0000061	LOC110182375|XP_020806074.1|DSER, LOC110182380|XP_020806081.1|DSER, LOC110182395|XP_020806094.1|DSER, LOC110182350|XP_020806049.1|DSER, LOC110182379|XP_020806080.1|DSER, LOC110182385|XP_020806085.1|DSER	LOC6034209|XP_001844562.2|CQUI
OG0000067	LOC110177234|XP_020799524.1|DSER, LOC110176240|XP_020798198.1|DSER	LOC6051936|XP_038110342.1|CQUI, LOC6032295|XP_038111782.1|CQUI, LOC6032296|XP_001842932.2|CQUI
OG0000067	LOC110191355|XP_020817861.1|DSER	LOC6032826|XP_038121454.1|CQUI
OG0000068	LOC110185266|XP_020809672.1|DSER, LOC110185265|XP_020809670.1|DSER, LOC110182060|XP_020805682.1|DSER, LOC110175923|XP_020797759.1|DSER	LOC6036588|XP_038118645.1|CQUI, LOC6036586|XP_001846619.2|CQUI, LOC6042516|XP_001851810.2|CQUI, LOC6042515|XP_038108176.1|CQUI, LOC6042514|XP_001851807.2|CQUI, LOC6036917|XP_001846892.2|CQUI
OG0000070	LOC110185753|XP_020810411.1|DSER, LOC110183288|XP_020807181.1|DSER, LOC110182504|XP_020806211.1|DSER, LOC110185866|XP_020810535.1|DSER, LOC110183296|XP_020807193.1|DSER, LOC110185982|XP_020810665.1|DSER, LOC110183355|XP_020807278.1|DSER, LOC110183303|XP_020807205.1|DSER	LOC6037947|XP_001847798.2|CQUI, LOC6037948|XP_001847799.2|CQUI
OG0000071	LOC110179007|XP_020802002.1|DSER	LOC119766520|XP_038107045.1|CQUI
OG0000071	LOC110179838|XP_020803105.1|DSER, LOC110179839|XP_020803106.1|DSER, LOC110179837|XP_020803104.1|DSER	LOC6035460|XP_038107044.1|CQUI, LOC6035462|XP_001845648.2|CQUI, LOC6044126|XP_001861681.2|CQUI, LOC6035447|XP_001845634.1|CQUI
OG0000072	LOC110181580|XP_020805035.1|DSER, LOC110181287|XP_020804670.1|DSER, LOC110181570|XP_020805024.1|DSER	LOC6046366|XP_038106922.1|CQUI, LOC6037132|XP_001847069.2|CQUI, LOC6046369|XP_001863585.1|CQUI, LOC6046367|XP_001863584.2|CQUI, LOC6046372|XP_001863588.1|CQUI, LOC6046370|XP_001863586.2|CQUI
OG0000073	LOC110176360|XP_020798348.1|DSER	LOC6036627|XP_001846655.1|CQUI
OG0000073	LOC110182177|XP_020805838.1|DSER, LOC110182195|XP_020805867.1|DSER	LOC6034716|XP_038105946.1|CQUI, LOC6034713|XP_038105974.1|CQUI
OG0000074	LOC110184734|XP_020809020.1|DSER, LOC110185176|XP_020809553.1|DSER	LOC6032868|XP_001843393.1|CQUI, LOC6032869|XP_001843394.2|CQUI, LOC6032872|XP_038117359.1|CQUI, LOC119768790|XP_038115896.1|CQUI, LOC119768789|XP_038115895.1|CQUI, LOC6049339|XP_001866118.2|CQUI, LOC119769377|XP_038117358.1|CQUI, LOC6049343|XP_038117357.1|CQUI, LOC6049341|XP_001866122.2|CQUI, LOC6032899|XP_001843424.2|CQUI, LOC6032870|XP_001843395.2|CQUI, LOC6043916|XP_001861478.2|CQUI, LOC6032877|XP_001843402.2|CQUI, LOC6032878|XP_038115901.1|CQUI, LOC119768791|XP_038115897.1|CQUI, LOC6032830|XP_001843365.2|CQUI
OG0000076	LOC110190420|XP_020816550.1|DSER	LOC6052885|XP_038117932.1|CQUI
OG0000076	LOC110181877|XP_020805462.1|DSER	LOC119770103|XP_038120268.1|CQUI
OG0000077	LOC110182629|XP_020806354.1|DSER	LOC6034293|XP_038107616.1|CQUI
OG0000077	LOC110189410|XP_020815129.1|DSER	LOC119766730|XP_038108150.1|CQUI
OG0000077	LOC110177149|XP_020799390.1|DSER	LOC6034296|XP_038108770.1|CQUI
OG0000077	LOC110176398|XP_020798389.1|DSER	LOC6035184|XP_038117374.1|CQUI
OG0000078	LOC110180108|XP_020803404.1|DSER, LOC110190038|XP_020816001.1|DSER, LOC110188466|XP_020813854.1|DSER, LOC110175994|XP_020797848.1|DSER, LOC110184416|XP_020808610.1|DSER	LOC6049605|XP_038114648.1|CQUI
OG0000080	LOC110179883|XP_020803143.1|DSER, LOC110189756|XP_020815629.1|DSER, LOC110186649|XP_020811608.1|DSER	LOC6039848|XP_001849353.1|CQUI, LOC6036493|XP_001846542.2|CQUI, LOC6036492|XP_001846541.1|CQUI, LOC6036497|XP_038105714.1|CQUI, LOC6036496|XP_001846545.2|CQUI
OG0000082	LOC110191132|XP_020817548.1|DSER, LOC110177382|XP_020799743.1|DSER, LOC110187734|XP_020812849.1|DSER, LOC110191363|XP_020817871.1|DSER	LOC6053936|XP_001869938.2|CQUI, LOC6035883|XP_038106135.1|CQUI, LOC6040822|XP_001850162.2|CQUI, LOC6053935|XP_038112245.1|CQUI, LOC6048581|XP_001865480.2|CQUI, LOC6041263|XP_038117473.1|CQUI, LOC6044163|XP_001861715.1|CQUI
OG0000083	LOC110183381|XP_020807303.1|DSER, LOC110183898|XP_020807898.1|DSER, LOC110183901|XP_020807903.1|DSER, LOC110183902|XP_020807904.1|DSER, LOC110183364|XP_020807285.1|DSER	LOC6049436|XP_038110738.1|CQUI, LOC6049432|XP_001866193.2|CQUI
OG0000084	LOC110178501|XP_020801310.1|DSER	LOC6040637|XP_038118743.1|CQUI, LOC6040638|XP_038118742.1|CQUI, LOC6040643|XP_038117287.1|CQUI, LOC6040635|XP_001850003.2|CQUI, LOC6040641|XP_001850001.2|CQUI, LOC6037611|XP_038121017.1|CQUI, LOC6039554|XP_038121068.1|CQUI
