Orthogroup	DSIM.longest_only	AAEG.longest_only
OG0000010	LOC120285280|XP_039152696.1|DSIM	LOC110678359|XP_021706812.1|AAEG
OG0000010	LOC120285282|XP_039152699.1|DSIM	LOC110679751|XP_021711173.1|AAEG
OG0000012	LOC6735247|XP_016028572.1|DSIM, LOC6735246|XP_016028570.1|DSIM, LOC6735245|XP_016028569.1|DSIM, LOC6735248|XP_016028574.1|DSIM, LOC6735250|XP_002082223.1|DSIM, LOC6735249|XP_016028575.1|DSIM, LOC6734131|XP_002081160.1|DSIM, LOC6734132|XP_016027145.1|DSIM, LOC6734133|XP_002081162.3|DSIM, LOC6734134|XP_016027146.1|DSIM, LOC6734135|XP_002081164.1|DSIM, LOC6734136|XP_016027147.1|DSIM	LOC5575907|XP_021696041.1|AAEG, LOC5575913|XP_001662283.2|AAEG
OG0000013	LOC6734455|XP_002081474.1|DSIM	LOC110679353|XP_021709456.1|AAEG
OG0000013	LOC6725717|XP_016038992.1|DSIM	LOC23687769|XP_021707218.1|AAEG, LOC110680223|XP_021711729.1|AAEG, LOC110678530|XP_021707216.1|AAEG, LOC110680222|XP_021711727.1|AAEG
OG0000013	LOC6728006|XP_016034604.1|DSIM	LOC110678734|XP_021707697.1|AAEG
OG0000013	LOC6737992|XP_016031791.1|DSIM	LOC110676139|XP_021698547.1|AAEG
OG0000013	LOC6728269|XP_002103618.2|DSIM	LOC110679299|XP_021709332.1|AAEG
OG0000013	LOC6729335|XP_016035977.1|DSIM, LOC120284969|XP_039150774.1|DSIM, LOC6728340|XP_016022730.2|DSIM, LOC6728451|XP_039151887.1|DSIM, LOC27206470|XP_016035065.1|DSIM	LOC110674153|XP_021693655.1|AAEG, LOC110681562|XP_021713333.1|AAEG, LOC110674150|XP_021693651.1|AAEG, LOC110674148|XP_021693649.1|AAEG, LOC110674151|XP_021693653.1|AAEG, LOC110674152|XP_021693654.1|AAEG
OG0000016	LOC6728214|XP_016034853.1|DSIM, LOC6735456|XP_002082396.1|DSIM	LOC5565155|XP_001649530.1|AAEG
OG0000016	LOC6728317|XP_002103666.1|DSIM	LOC5577991|XP_001656729.1|AAEG
OG0000016	LOC6725225|XP_016038239.1|DSIM	LOC5574526|XP_001655175.1|AAEG
OG0000016	LOC6739089|XP_016032930.1|DSIM	LOC5567310|XP_001651745.1|AAEG, LOC5572986|XP_001654313.1|AAEG
OG0000018	LOC6736980|XP_002083827.1|DSIM	LOC5578131|XP_001663702.2|AAEG
OG0000019	LOC6729811|XP_002105114.1|DSIM, LOC6729810|XP_002105113.1|DSIM, LOC27208716|XP_016036498.1|DSIM, LOC6729806|XP_002105109.2|DSIM, LOC6729809|XP_002105112.1|DSIM, LOC6729812|XP_002105115.1|DSIM, LOC6729813|XP_002105116.1|DSIM	LOC23687711|XP_021707253.1|AAEG, LOC5568699|XP_001652523.2|AAEG, LOC5568700|XP_001652524.1|AAEG, LOC5568692|XP_021707252.1|AAEG, LOC5568702|XP_001652526.1|AAEG, LOC5568701|XP_001652525.1|AAEG, LOC5568703|XP_001652527.2|AAEG, LOC5568704|XP_001652528.2|AAEG, LOC5568697|XP_001652520.1|AAEG, LOC5570298|XP_021708318.1|AAEG, LOC110679382|XP_021709531.1|AAEG, LOC5576804|XP_001662930.2|AAEG
OG0000020	LOC6730019|XP_002105313.2|DSIM, LOC6735524|XP_016028869.1|DSIM	LOC5576192|XP_021693721.1|AAEG, LOC5575949|XP_021693723.1|AAEG
OG0000020	LOC27207807|XP_039147183.1|DSIM, LOC6733705|XP_002080752.3|DSIM, LOC6731489|XP_016024167.1|DSIM, LOC6727407|XP_016033953.2|DSIM, LOC6728507|XP_016035147.1|DSIM, LOC6733023|XP_016025710.1|DSIM, LOC6732748|XP_016025473.2|DSIM	LOC5578230|XP_021697387.1|AAEG
OG0000021	LOC6725592|XP_039153232.1|DSIM	LOC5577439|XP_021709141.1|AAEG
OG0000021	LOC6729419|XP_002104734.2|DSIM, LOC6728358|XP_016034980.1|DSIM, LOC6726014|XP_016039394.1|DSIM	LOC5571745|XP_021708635.1|AAEG
OG0000023	LOC6727100|XP_002102493.1|DSIM, LOC6727104|XP_002102497.2|DSIM, LOC6727107|XP_016033584.1|DSIM, LOC6735713|XP_002082629.1|DSIM, LOC6727106|XP_039151383.1|DSIM, LOC6727099|XP_002102492.1|DSIM, LOC6727095|XP_016033580.1|DSIM, LOC6727097|XP_002102490.1|DSIM, LOC6727094|XP_016033578.1|DSIM	LOC23687491|XP_011493543.2|AAEG, LOC5573293|XP_001654509.1|AAEG
OG0000024	LOC6733991|XP_002081035.1|DSIM, LOC120284488|XP_039148839.1|DSIM, LOC6739389|XP_002076289.1|DSIM, LOC27209398|XP_016027021.1|DSIM, LOC6733990|XP_002081034.2|DSIM, LOC6732909|XP_002080014.1|DSIM, LOC6733989|XP_002081033.1|DSIM, LOC6739427|XP_002076329.1|DSIM	LOC5574946|XP_001655419.1|AAEG
OG0000025	LOC27207833|XP_016038650.1|DSIM	LOC5574772|XP_001655332.2|AAEG, LOC5567559|XP_001657554.1|AAEG
OG0000025	LOC120285797|XP_039154346.1|DSIM	LOC110678303|XP_021706666.1|AAEG, LOC110679736|XP_021711157.1|AAEG, LOC110679744|XP_021711165.1|AAEG, LOC110679739|XP_021711160.1|AAEG, LOC5578783|XP_021701440.1|AAEG, LOC110678738|XP_021707704.1|AAEG
OG0000025	LOC120285798|XP_039154348.1|DSIM	LOC110679738|XP_021711159.1|AAEG
OG0000026	LOC6725713|XP_002106716.1|DSIM, LOC6726897|XP_002102299.1|DSIM, LOC6727211|XP_002102603.1|DSIM	LOC23687599|XP_011493633.2|AAEG, LOC110674007|XP_021708437.1|AAEG, LOC23687740|XP_011492953.2|AAEG, LOC23687722|XP_011492954.2|AAEG, LOC5570715|XP_001659308.2|AAEG, LOC23687872|XP_011492952.2|AAEG, LOC5573680|XP_001661002.2|AAEG, LOC5573679|XP_001661001.2|AAEG, LOC110680302|XP_021711830.1|AAEG, LOC5572855|XP_001660615.1|AAEG
OG0000027	LOC6731383|XP_002078536.1|DSIM, LOC6731386|XP_002078539.1|DSIM, LOC6731384|XP_002078537.1|DSIM	LOC110677060|XP_021703346.1|AAEG, LOC23687822|XP_011493565.1|AAEG, LOC110677062|XP_021703350.1|AAEG, LOC110677063|XP_021703351.1|AAEG, LOC5573904|XP_021698223.1|AAEG
OG0000028	LOC120284825|XP_039150147.1|DSIM, LOC120284826|XP_039150148.1|DSIM, LOC6738682|XP_016032507.2|DSIM, LOC120284824|XP_039150146.1|DSIM, LOC27207609|XP_039150149.1|DSIM, LOC6738680|XP_039149230.1|DSIM, LOC6738681|XP_016032508.2|DSIM, LOC120284827|XP_039150150.1|DSIM, LOC120284696|XP_039148939.1|DSIM	LOC110675725|XP_021697126.1|AAEG, LOC110675724|XP_021697125.1|AAEG, LOC110675728|XP_021697129.1|AAEG, LOC110677266|XP_021704094.1|AAEG, LOC110677263|XP_021704092.1|AAEG, LOC110677264|XP_021704093.1|AAEG, LOC110675722|XP_021697123.1|AAEG, LOC110675102|XP_021695179.1|AAEG, LOC110676609|XP_021700847.1|AAEG
OG0000029	LOC6739710|XP_002076603.1|DSIM, LOC6733757|XP_002080801.1|DSIM, LOC6735151|XP_002082126.1|DSIM, LOC6731526|XP_002078674.1|DSIM, LOC6731962|XP_016024641.1|DSIM, LOC6728974|XP_002104302.1|DSIM, LOC27208471|XP_016032409.1|DSIM	LOC5575791|XP_001662213.2|AAEG, LOC5569555|XP_001658613.2|AAEG, LOC5565113|XP_001649460.2|AAEG, LOC5565691|XP_001650048.2|AAEG, LOC5572841|XP_001660601.1|AAEG
OG0000031	LOC6732472|XP_016025109.1|DSIM, LOC27206502|XP_016025100.2|DSIM, LOC6732447|XP_002079568.2|DSIM, LOC6736718|XP_002083574.1|DSIM, LOC6730782|XP_002077950.2|DSIM, LOC6733504|XP_016026473.1|DSIM	LOC5574171|XP_001661226.1|AAEG, LOC5574170|XP_001661225.1|AAEG
OG0000032	LOC6728385|XP_016034993.2|DSIM, LOC6728379|XP_016034990.1|DSIM, LOC6728383|XP_002103731.2|DSIM, LOC6728381|XP_016034991.1|DSIM, LOC6728387|XP_039151488.1|DSIM, LOC6728378|XP_002103726.1|DSIM	LOC5573538|XP_001654674.2|AAEG, LOC5568353|XP_001658007.2|AAEG, LOC5568354|XP_021693938.1|AAEG, LOC5568355|XP_001658009.2|AAEG
OG0000034	LOC6734824|XP_002081826.2|DSIM, LOC6732560|XP_002079679.3|DSIM, LOC6732561|XP_002079680.1|DSIM, LOC27209034|XP_016025242.1|DSIM, LOC6732919|XP_002080023.2|DSIM, LOC6728308|XP_016034943.1|DSIM, LOC6728309|XP_016034944.1|DSIM, LOC6731186|XP_002078345.3|DSIM	LOC5571297|XP_021695840.1|AAEG, LOC5571109|XP_001659549.2|AAEG
OG0000036	LOC6727116|XP_002102509.1|DSIM	LOC5578693|XP_021711058.1|AAEG, LOC5578694|XP_021711004.1|AAEG, LOC110679707|XP_021711014.1|AAEG
OG0000036	LOC6727985|XP_002103337.2|DSIM	LOC5565959|XP_001650301.1|AAEG
OG0000037	LOC6735171|XP_016028454.1|DSIM, LOC6727491|XP_002102871.2|DSIM, LOC6727490|XP_002102870.2|DSIM	LOC5573113|XP_021703204.1|AAEG, LOC5573117|XP_001660726.1|AAEG, LOC5568413|XP_001658065.2|AAEG, LOC5573116|XP_021703205.1|AAEG
OG0000038	LOC6738693|XP_002085495.1|DSIM	LOC5571376|XP_001659658.1|AAEG
OG0000039	LOC6726964|XP_002102366.2|DSIM	LOC5575658|XP_001662117.1|AAEG, LOC5568094|XP_021703967.1|AAEG, LOC5575657|XP_001662120.1|AAEG, LOC5574822|XP_021705274.1|AAEG, LOC5566624|XP_001651000.1|AAEG, LOC5571707|XP_001659852.1|AAEG, LOC5575399|XP_001661919.1|AAEG, LOC5575393|XP_001661917.1|AAEG, LOC5575400|XP_001661920.1|AAEG, LOC5575401|XP_001661921.1|AAEG
OG0000041	LOC6729586|XP_002104894.1|DSIM, LOC6740781|XP_016036235.1|DSIM, LOC6729587|XP_002104895.1|DSIM, LOC6729591|XP_002104899.1|DSIM, LOC6729588|XP_016036234.1|DSIM, LOC6729589|XP_002104897.1|DSIM, LOC6729598|XP_002104906.1|DSIM, LOC6729596|XP_002104904.1|DSIM, LOC6729597|XP_016036238.1|DSIM	LOC5572970|XP_001654300.2|AAEG, LOC5572971|XP_021705648.1|AAEG
OG0000043	LOC27207593|XP_016035207.2|DSIM, LOC6728570|XP_016035206.2|DSIM, LOC6728571|XP_002103912.1|DSIM, LOC6728574|XP_002103915.1|DSIM, LOC6728568|XP_002103909.1|DSIM, LOC6728566|XP_002103907.3|DSIM, LOC6730335|XP_016037102.1|DSIM	LOC5573284|XP_021699050.1|AAEG, LOC5577070|XP_001663167.2|AAEG, LOC5571298|XP_001653602.1|AAEG
OG0000044	LOC6729601|XP_016036243.1|DSIM, LOC6729605|XP_002104913.1|DSIM, LOC6729606|XP_002104914.1|DSIM, LOC6729602|XP_016036244.1|DSIM, LOC6729604|XP_002104912.1|DSIM, LOC6729603|XP_016036245.1|DSIM, LOC6728484|XP_016035123.1|DSIM	LOC5567605|XP_021704850.1|AAEG
OG0000045	LOC6737583|XP_039149017.1|DSIM, LOC120284704|XP_039149018.1|DSIM, LOC120284202|XP_002084415.1|DSIM, LOC6737082|XP_002083929.1|DSIM, LOC6737081|XP_002083928.1|DSIM	LOC5565204|XP_001649560.1|AAEG
OG0000047	LOC6734785|XP_039147648.1|DSIM, LOC6734782|XP_002081785.2|DSIM, LOC6734347|XP_002081368.2|DSIM, LOC27206290|XP_016031336.1|DSIM, LOC6734356|XP_002081377.1|DSIM, LOC6737553|XP_016031338.1|DSIM	LOC5568625|XP_021702746.1|AAEG
OG0000048	LOC6738290|XP_002085101.1|DSIM, LOC6738287|XP_039149226.1|DSIM, LOC6738291|XP_002085102.1|DSIM	LOC5571813|XP_001659945.1|AAEG, LOC5571812|XP_001659944.1|AAEG
OG0000049	LOC6727737|XP_002103099.1|DSIM, LOC6727734|XP_002103096.1|DSIM, LOC6727738|XP_002103100.1|DSIM, LOC6727740|XP_002103102.1|DSIM, LOC6727739|XP_002103101.1|DSIM, LOC6727733|XP_002103095.1|DSIM	LOC5574352|XP_021698905.1|AAEG, LOC5574353|XP_001661388.1|AAEG, LOC23687877|XP_021698904.1|AAEG, LOC5570784|XP_021698609.1|AAEG
OG0000051	LOC6728912|XP_016035601.1|DSIM, LOC6728321|XP_002103670.1|DSIM, LOC6728085|XP_002103437.1|DSIM, LOC6728404|XP_039151489.1|DSIM	LOC5575191|XP_021704581.1|AAEG, LOC5576782|XP_021706946.1|AAEG, LOC5575361|XP_021709352.1|AAEG, LOC5576776|XP_021707901.1|AAEG, LOC5576781|XP_001662868.2|AAEG, LOC5576789|XP_001662865.3|AAEG, LOC5576783|XP_001662870.1|AAEG
OG0000053	LOC6733546|XP_002080601.2|DSIM, LOC6733544|XP_016026500.1|DSIM, LOC6733543|XP_002080598.2|DSIM	LOC5578089|XP_001656785.2|AAEG, LOC5565450|XP_001649788.1|AAEG, LOC5565420|XP_001649783.1|AAEG, LOC5565454|XP_001649786.1|AAEG, LOC5565449|XP_001649787.1|AAEG
OG0000054	LOC6727939|XP_039151973.1|DSIM, LOC6727938|XP_016034544.1|DSIM, LOC6727936|XP_002103291.1|DSIM, LOC6727937|XP_016034543.1|DSIM	LOC5573294|XP_001654510.2|AAEG, LOC5573296|XP_021699063.1|AAEG, LOC5573295|XP_001654511.2|AAEG, LOC5573297|XP_021699065.1|AAEG, LOC23687731|XP_011493547.2|AAEG, LOC5573282|XP_021695235.1|AAEG, LOC5573280|XP_021699040.1|AAEG
OG0000056	LOC6729191|XP_016035843.1|DSIM, LOC6729192|XP_016035844.1|DSIM, LOC6729193|XP_002104514.1|DSIM, LOC6729195|XP_002104516.1|DSIM, LOC6729194|XP_002104515.1|DSIM, LOC6728632|XP_002103973.1|DSIM, LOC6728631|XP_016035267.1|DSIM	LOC5574529|XP_001655182.1|AAEG
OG0000058	LOC6735235|XP_016028557.1|DSIM, LOC6732889|XP_002079994.1|DSIM, LOC6735234|XP_002082207.1|DSIM, LOC6735232|XP_002082205.1|DSIM, LOC6731187|XP_002078346.1|DSIM, LOC6725215|XP_002106238.1|DSIM	LOC5565079|XP_001649422.1|AAEG, LOC5574102|XP_001661173.1|AAEG, LOC5565546|XP_001649915.2|AAEG
OG0000060	LOC6740094|XP_016039113.1|DSIM	LOC5569466|XP_021694640.1|AAEG
OG0000060	LOC27206381|XP_016037061.1|DSIM	LOC5573939|XP_021703386.1|AAEG
OG0000061	LOC6732437|XP_002079558.1|DSIM, LOC6732443|XP_002079564.1|DSIM, LOC6732439|XP_002079560.1|DSIM, LOC6732440|XP_002079561.1|DSIM	LOC5577972|XP_001663642.2|AAEG, LOC5564567|XP_001648915.2|AAEG
OG0000067	LOC6727258|XP_016033773.1|DSIM, LOC6736894|XP_016030541.1|DSIM	LOC5577761|XP_001663535.2|AAEG, LOC5577760|XP_001663534.2|AAEG, LOC5577763|XP_021704689.1|AAEG
OG0000067	LOC6733725|XP_016026693.1|DSIM, LOC6736893|XP_002083746.1|DSIM	LOC5577759|XP_021704690.1|AAEG
OG0000067	LOC6738999|XP_016032827.1|DSIM	LOC5571448|XP_021695477.1|AAEG
OG0000068	LOC6738497|XP_016032344.1|DSIM, LOC6727391|XP_016033933.1|DSIM, LOC120284775|XP_039149541.1|DSIM, LOC6738508|XP_039149536.1|DSIM, LOC6735356|XP_016028689.1|DSIM, LOC6726193|XP_016040252.1|DSIM	LOC5576672|XP_001662813.2|AAEG, LOC5576674|XP_021697249.1|AAEG, LOC5576676|XP_021697250.1|AAEG, LOC5570567|XP_021709756.1|AAEG, LOC5570566|XP_021709760.1|AAEG, LOC5572988|XP_001654315.1|AAEG, LOC5576678|XP_001662815.2|AAEG
OG0000070	LOC6731198|XP_002078357.1|DSIM, LOC6724811|XP_016037593.1|DSIM, LOC6731197|XP_016023746.1|DSIM, LOC6739846|XP_002076739.1|DSIM	LOC5576475|XP_001662668.2|AAEG, LOC5576476|XP_001662669.2|AAEG
OG0000071	LOC6737710|XP_039150099.1|DSIM	LOC5575314|XP_001655688.2|AAEG
OG0000071	LOC6737960|XP_016031706.1|DSIM, LOC6737959|XP_039149304.1|DSIM, LOC6737961|XP_002084777.1|DSIM	LOC5571116|XP_001659558.1|AAEG, LOC5575313|XP_001655687.1|AAEG, LOC5574694|XP_001661593.2|AAEG, LOC5575306|XP_001655680.1|AAEG, LOC23687487|XP_021708065.1|AAEG, LOC5575311|XP_001655685.1|AAEG
OG0000072	LOC6734771|XP_002081774.1|DSIM, LOC6734779|XP_002081782.1|DSIM, LOC6734773|XP_016027978.1|DSIM	LOC5578246|XP_001663772.2|AAEG, LOC5574120|XP_001661186.2|AAEG, LOC5574117|XP_021698234.1|AAEG, LOC110676814|XP_021701762.1|AAEG, LOC110674006|XP_021712126.1|AAEG, LOC5573347|XP_021701761.1|AAEG, LOC5578244|XP_001663776.1|AAEG, LOC5573346|XP_001660827.1|AAEG, LOC5573345|XP_021701760.1|AAEG, LOC5571577|XP_001659784.2|AAEG, LOC5577277|XP_001656378.1|AAEG, LOC5577275|XP_001656375.1|AAEG, LOC5577276|XP_021701763.1|AAEG
OG0000073	LOC6735060|XP_016028345.1|DSIM	LOC5573060|XP_021711274.1|AAEG
OG0000073	LOC27206379|XP_039153085.1|DSIM	LOC5570618|XP_021706389.1|AAEG
OG0000073	LOC6739755|XP_039150533.1|DSIM	LOC5573536|XP_021693962.1|AAEG
OG0000074	LOC6736960|XP_002083807.1|DSIM, LOC27206301|XP_016032324.1|DSIM	LOC5570263|XP_001659044.1|AAEG, LOC5570265|XP_021695509.1|AAEG, LOC5570267|XP_001659048.1|AAEG, LOC5570260|XP_001659041.2|AAEG, LOC5570259|XP_001659040.1|AAEG, LOC5570261|XP_021695511.1|AAEG, LOC5570262|XP_001659043.2|AAEG, LOC5570266|XP_001659047.1|AAEG, LOC5570270|XP_001659051.1|AAEG
OG0000076	LOC6736800|XP_016030455.1|DSIM	LOC5569019|XP_021698411.1|AAEG
OG0000076	LOC6726415|XP_002107372.3|DSIM	LOC5575395|XP_021710181.1|AAEG
OG0000077	LOC6735263|XP_002082233.1|DSIM	LOC5576244|XP_001656025.1|AAEG
OG0000077	LOC6728793|XP_002104128.1|DSIM	LOC110676765|XP_021701591.1|AAEG
OG0000077	LOC27208378|XP_016029441.1|DSIM	LOC5576245|XP_001656026.2|AAEG
OG0000077	LOC6739786|XP_016036667.1|DSIM	LOC5565954|XP_001650331.1|AAEG, LOC5565955|XP_001650332.1|AAEG
OG0000078	LOC6735299|XP_002082259.1|DSIM, LOC6739023|XP_002085818.1|DSIM, LOC6727087|XP_002102484.1|DSIM, LOC6727351|XP_016040222.1|DSIM, LOC6726287|XP_002107248.2|DSIM	LOC5575539|XP_021703479.1|AAEG
OG0000080	LOC6734869|XP_002081870.3|DSIM, LOC6734871|XP_039147232.1|DSIM, LOC6734800|XP_002081803.1|DSIM	LOC5570646|XP_001653282.2|AAEG, LOC5577944|XP_001663616.1|AAEG, LOC5570640|XP_001653284.2|AAEG, LOC5570644|XP_001653283.2|AAEG
OG0000082	LOC6735734|XP_016029105.1|DSIM, LOC6729147|XP_002104468.1|DSIM, LOC6728152|XP_002103502.1|DSIM	LOC5571544|XP_021703132.1|AAEG, LOC5571542|XP_001653689.3|AAEG, LOC5571541|XP_001653688.1|AAEG, LOC5571543|XP_001653690.1|AAEG, LOC5564964|XP_001649312.1|AAEG, LOC110679581|XP_021710387.1|AAEG, LOC5564963|XP_001649311.2|AAEG, LOC5571193|XP_001653509.1|AAEG
OG0000083	LOC6731833|XP_002078968.2|DSIM, LOC6731564|XP_002078705.1|DSIM, LOC6731563|XP_016024230.1|DSIM, LOC6731560|XP_002078701.1|DSIM, LOC6731562|XP_016024229.1|DSIM, LOC6731834|XP_002078969.1|DSIM	LOC5567014|XP_021703510.1|AAEG, LOC5567009|XP_001651411.2|AAEG, LOC5567015|XP_001651410.1|AAEG
OG0000084	LOC6735164|XP_016028449.1|DSIM	LOC5578641|XP_001663979.1|AAEG, LOC5575485|XP_001662002.2|AAEG, LOC5574084|XP_001661156.1|AAEG, LOC5574114|XP_021696129.1|AAEG
OG0000084	LOC6734690|XP_002081697.1|DSIM	LOC5570769|XP_001659359.1|AAEG, LOC5570751|XP_001659340.2|AAEG, LOC5570753|XP_021693814.1|AAEG, LOC5570770|XP_021693924.1|AAEG, LOC5580060|XP_021699290.1|AAEG, LOC5580059|XP_021699285.1|AAEG, LOC5580124|XP_021699296.1|AAEG, LOC110676296|XP_021699310.1|AAEG, LOC5574979|XP_021697768.1|AAEG, LOC5574981|XP_021697749.1|AAEG
OG0000085	LOC6733406|XP_039148680.1|DSIM	LOC5574792|XP_001655347.2|AAEG
OG0000086	LOC6735244|XP_002082217.1|DSIM	LOC5575040|XP_001661772.2|AAEG
OG0000087	LOC6731703|XP_002078839.2|DSIM	LOC5565379|XP_001649705.1|AAEG, LOC5565357|XP_001649701.1|AAEG, LOC5565382|XP_001649702.1|AAEG, LOC5565390|XP_001649703.1|AAEG, LOC5565391|XP_001649704.1|AAEG, LOC5565356|XP_001649700.1|AAEG, LOC5565381|XP_001649699.1|AAEG, LOC5565397|XP_001649698.1|AAEG, LOC5565363|XP_001649697.1|AAEG
OG0000087	LOC6732326|XP_002079454.1|DSIM, LOC6731729|XP_002078864.1|DSIM	LOC5565393|XP_001649714.1|AAEG, LOC5565362|XP_001649713.1|AAEG
OG0000088	LOC6733235|XP_016026114.1|DSIM	LOC5573732|XP_001654757.1|AAEG
OG0000089	LOC6727037|XP_002102435.1|DSIM, LOC6727103|XP_002102496.1|DSIM	LOC5577489|XP_001663407.1|AAEG
OG0000089	LOC6728738|XP_002104073.1|DSIM	LOC5575826|XP_021694449.1|AAEG
OG0000089	LOC6737468|XP_002084304.1|DSIM	LOC110676106|XP_021698339.1|AAEG, LOC5564238|XP_021698338.1|AAEG
OG0000090	LOC6733740|XP_002080786.2|DSIM, LOC6733746|XP_016026706.1|DSIM, LOC6736772|XP_002083628.1|DSIM, LOC6736298|XP_016029779.1|DSIM	LOC5570363|XP_001659077.2|AAEG, LOC5570364|XP_001659080.1|AAEG, LOC5570370|XP_021706827.1|AAEG
OG0000091	LOC6730014|XP_016036778.1|DSIM	LOC5578943|XP_021693136.1|AAEG
OG0000091	LOC6732003|XP_016024679.1|DSIM, LOC6727564|XP_016034162.1|DSIM, LOC6727565|XP_016034164.1|DSIM	LOC5579216|XP_021706364.1|AAEG
OG0000094	LOC6737538|XP_002084373.2|DSIM, LOC6726915|XP_002102317.1|DSIM	LOC5564844|XP_001649199.1|AAEG, LOC5564847|XP_001649198.1|AAEG, LOC5564843|XP_001649200.2|AAEG, LOC110675627|XP_021696812.1|AAEG, LOC23687714|XP_011493336.1|AAEG, LOC5568023|XP_001657845.3|AAEG, LOC23687647|XP_011493754.2|AAEG, LOC110681164|XP_021712629.1|AAEG, LOC5576885|XP_001662985.3|AAEG, LOC5564832|XP_021703017.1|AAEG
OG0000099	LOC6724923|XP_016037782.1|DSIM	LOC5569661|XP_001652925.2|AAEG, LOC5569664|XP_001652928.1|AAEG, LOC5569665|XP_021705200.1|AAEG, LOC5569662|XP_001652926.3|AAEG, LOC5569663|XP_001652927.1|AAEG
OG0000101	LOC27207534|XP_016032499.1|DSIM, LOC27207047|XP_016032497.2|DSIM, LOC6738674|XP_016032493.2|DSIM, LOC120284835|XP_039150176.1|DSIM	LOC5567622|XP_021696506.1|AAEG
