Orthogroup	DSIM.longest_only	CCAP.longest_only
OG0000023	LOC6727107|XP_016033584.1|DSIM, LOC6735713|XP_002082629.1|DSIM, LOC6727106|XP_039151383.1|DSIM	CCAP1982_LOCUS4737|CAD6996031.1|CCAP
OG0000023	LOC6727099|XP_002102492.1|DSIM	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP
OG0000023	LOC6727095|XP_016033580.1|DSIM	CCAP1982_LOCUS4752|CAD6996046.1|CCAP
OG0000023	LOC6727097|XP_002102490.1|DSIM	CCAP1982_LOCUS4751|CAD6996045.1|CCAP
OG0000023	LOC6727094|XP_016033578.1|DSIM	CCAP1982_LOCUS4754|CAD6996047.1|CCAP
OG0000024	LOC6732909|XP_002080014.1|DSIM, LOC6733989|XP_002081033.1|DSIM	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP
OG0000025	LOC120285797|XP_039154346.1|DSIM	CCAP1982_LOCUS6236|CAD6997600.1|CCAP
OG0000026	LOC6725713|XP_002106716.1|DSIM, LOC6726897|XP_002102299.1|DSIM, LOC6727211|XP_002102603.1|DSIM	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP
OG0000027	LOC6731383|XP_002078536.1|DSIM	CCAP1982_LOCUS8299|CAD6999776.1|CCAP
OG0000027	LOC6731386|XP_002078539.1|DSIM	CCAP1982_LOCUS8293|CAD6999770.1|CCAP
OG0000027	LOC6731384|XP_002078537.1|DSIM	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP
OG0000028	LOC6738680|XP_039149230.1|DSIM	CCAP1982_LOCUS11984|CAD7003534.1|CCAP
OG0000028	LOC120284696|XP_039148939.1|DSIM	CCAP1982_LOCUS11988|CAD7003538.1|CCAP, CCAP1982_LOCUS11989|CAD7003539.1|CCAP, CCAP1982_LOCUS11981|CAD7003531.1|CCAP, CCAP1982_LOCUS11977|CAD7003527.1|CCAP, CCAP1982_LOCUS11980|CAD7003530.1|CCAP, CCAP1982_LOCUS11979|CAD7003529.1|CCAP, CCAP1982_LOCUS11978|CAD7003528.1|CCAP
OG0000029	LOC6739710|XP_002076603.1|DSIM, LOC6733757|XP_002080801.1|DSIM, LOC6735151|XP_002082126.1|DSIM, LOC6731526|XP_002078674.1|DSIM, LOC6731962|XP_016024641.1|DSIM, LOC6728974|XP_002104302.1|DSIM, LOC27208471|XP_016032409.1|DSIM	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP
OG0000030	LOC6732024|XP_016024722.1|DSIM, LOC6732022|XP_002079155.1|DSIM, LOC6732023|XP_002079156.1|DSIM	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP
OG0000030	LOC6730745|XP_002077913.2|DSIM, LOC6735876|XP_002082786.1|DSIM	CCAP1982_LOCUS21173|CAD7013099.1|CCAP
OG0000031	LOC6731777|XP_016024472.1|DSIM	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP
OG0000032	LOC6728385|XP_016034993.2|DSIM	CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP
OG0000032	LOC6728378|XP_002103726.1|DSIM	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP
OG0000034	LOC6734824|XP_002081826.2|DSIM, LOC6732560|XP_002079679.3|DSIM, LOC6732561|XP_002079680.1|DSIM, LOC27209034|XP_016025242.1|DSIM, LOC6732919|XP_002080023.2|DSIM, LOC6728308|XP_016034943.1|DSIM, LOC6728309|XP_016034944.1|DSIM, LOC6731186|XP_002078345.3|DSIM	CCAP1982_LOCUS7893|CAD6999366.1|CCAP
OG0000036	LOC6727116|XP_002102509.1|DSIM	CCAP1982_LOCUS4712|CAD6996006.1|CCAP
OG0000036	LOC6727985|XP_002103337.2|DSIM	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP
OG0000036	LOC6726665|XP_039151600.1|DSIM	CCAP1982_LOCUS1595|CAD6992752.1|CCAP
OG0000036	LOC6729259|XP_016035909.1|DSIM, LOC6729260|XP_002104580.2|DSIM	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP
OG0000037	LOC6735171|XP_016028454.1|DSIM	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP
OG0000037	LOC6727491|XP_002102871.2|DSIM, LOC6727490|XP_002102870.2|DSIM	CCAP1982_LOCUS2613|CAD6993815.1|CCAP
OG0000038	LOC6738693|XP_002085495.1|DSIM	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP
OG0000041	LOC6729586|XP_002104894.1|DSIM, LOC6740781|XP_016036235.1|DSIM, LOC6729587|XP_002104895.1|DSIM, LOC6729591|XP_002104899.1|DSIM, LOC6729588|XP_016036234.1|DSIM, LOC6729589|XP_002104897.1|DSIM, LOC6729598|XP_002104906.1|DSIM, LOC6729596|XP_002104904.1|DSIM, LOC6729597|XP_016036238.1|DSIM	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP
OG0000043	LOC27207593|XP_016035207.2|DSIM, LOC6728570|XP_016035206.2|DSIM, LOC6728571|XP_002103912.1|DSIM	CCAP1982_LOCUS4613|CAD6995911.1|CCAP
OG0000043	LOC6728574|XP_002103915.1|DSIM, LOC6728568|XP_002103909.1|DSIM, LOC6728566|XP_002103907.3|DSIM, LOC6730335|XP_016037102.1|DSIM	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP
OG0000044	LOC6729601|XP_016036243.1|DSIM	CCAP1982_LOCUS840|CAD6991952.1|CCAP
OG0000044	LOC6729605|XP_002104913.1|DSIM, LOC6729606|XP_002104914.1|DSIM, LOC6729602|XP_016036244.1|DSIM, LOC6729604|XP_002104912.1|DSIM, LOC6729603|XP_016036245.1|DSIM	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP
OG0000044	LOC6728484|XP_016035123.1|DSIM	CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP
OG0000045	LOC27207701|XP_016031376.1|DSIM	CCAP1982_LOCUS11539|CAD7003076.1|CCAP
OG0000045	LOC6737583|XP_039149017.1|DSIM, LOC120284704|XP_039149018.1|DSIM, LOC120284202|XP_002084415.1|DSIM	CCAP1982_LOCUS11540|CAD7003077.1|CCAP
OG0000045	LOC6737082|XP_002083929.1|DSIM	CCAP1982_LOCUS11541|CAD7003078.1|CCAP
OG0000045	LOC6737081|XP_002083928.1|DSIM	CCAP1982_LOCUS11542|CAD7003079.1|CCAP
OG0000047	LOC6734347|XP_002081368.2|DSIM	CCAP1982_LOCUS9943|CAD7001446.1|CCAP
OG0000048	LOC6738296|XP_002085107.2|DSIM, LOC6738295|XP_002085106.1|DSIM	CCAP1982_LOCUS14846|CAD7006532.1|CCAP, CCAP1982_LOCUS14847|CAD7006533.1|CCAP
OG0000048	LOC6738290|XP_002085101.1|DSIM, LOC6738287|XP_039149226.1|DSIM	CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP
OG0000048	LOC6738291|XP_002085102.1|DSIM	CCAP1982_LOCUS14852|CAD7006538.1|CCAP
OG0000049	LOC6727734|XP_002103096.1|DSIM	CCAP1982_LOCUS3089|CAD6994333.1|CCAP
OG0000049	LOC6727738|XP_002103100.1|DSIM	CCAP1982_LOCUS3087|CAD6994331.1|CCAP
OG0000049	LOC6727740|XP_002103102.1|DSIM, LOC6727739|XP_002103101.1|DSIM	CCAP1982_LOCUS3086|CAD6994330.1|CCAP
OG0000049	LOC6727733|XP_002103095.1|DSIM	CCAP1982_LOCUS3090|CAD6994334.1|CCAP
OG0000050	LOC6734037|XP_002081073.1|DSIM	CCAP1982_LOCUS13741|CAD7005381.1|CCAP
OG0000050	LOC6739122|XP_002085915.1|DSIM, LOC6739125|XP_002085918.1|DSIM, LOC6739124|XP_002085917.1|DSIM, LOC27208454|XP_016032970.1|DSIM, LOC6739126|XP_002085919.1|DSIM, LOC6739123|XP_016032971.1|DSIM	CCAP1982_LOCUS13740|CAD7005380.1|CCAP
OG0000051	LOC6728912|XP_016035601.1|DSIM	CCAP1982_LOCUS274|CAD6991345.1|CCAP
OG0000051	LOC6728321|XP_002103670.1|DSIM	CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP
OG0000051	LOC6728085|XP_002103437.1|DSIM, LOC6728404|XP_039151489.1|DSIM	CCAP1982_LOCUS4223|CAD6995510.1|CCAP, CCAP1982_LOCUS170|CAD6991233.1|CCAP, CCAP1982_LOCUS4233|CAD6995520.1|CCAP
OG0000052	LOC6728714|XP_002104050.1|DSIM, LOC6729302|XP_002104619.1|DSIM, LOC6728715|XP_016035378.1|DSIM, LOC6728716|XP_002104052.1|DSIM, LOC6728712|XP_002104048.2|DSIM, LOC6728713|XP_002104049.1|DSIM, LOC6735169|XP_016028453.1|DSIM, LOC6735168|XP_002082143.1|DSIM	CCAP1982_LOCUS19453|CAD7011350.1|CCAP, CCAP1982_LOCUS12190|CAD7003754.1|CCAP, CCAP1982_LOCUS12192|CAD7003756.1|CCAP, CCAP1982_LOCUS12191|CAD7003755.1|CCAP
OG0000053	LOC6733546|XP_002080601.2|DSIM, LOC6733544|XP_016026500.1|DSIM	CCAP1982_LOCUS20953|CAD7012854.1|CCAP
OG0000053	LOC6733543|XP_002080598.2|DSIM	CCAP1982_LOCUS20955|CAD7012856.1|CCAP
OG0000053	LOC6733541|XP_002080596.2|DSIM	CCAP1982_LOCUS20956|CAD7012857.1|CCAP
OG0000053	LOC6733535|XP_002080590.2|DSIM	CCAP1982_LOCUS20959|CAD7012860.1|CCAP, CCAP1982_LOCUS21332|CAD7013261.1|CCAP, CCAP1982_LOCUS20960|CAD7012861.1|CCAP
OG0000054	LOC6727939|XP_039151973.1|DSIM	CCAP1982_LOCUS1028|CAD6992150.1|CCAP
OG0000054	LOC6727938|XP_016034544.1|DSIM, LOC6727936|XP_002103291.1|DSIM, LOC6727937|XP_016034543.1|DSIM	CCAP1982_LOCUS1030|CAD6992152.1|CCAP, CCAP1982_LOCUS626|CAD6991713.1|CCAP
OG0000058	LOC6735235|XP_016028557.1|DSIM, LOC6732889|XP_002079994.1|DSIM, LOC6735234|XP_002082207.1|DSIM, LOC6735232|XP_002082205.1|DSIM, LOC6731187|XP_002078346.1|DSIM, LOC6725215|XP_002106238.1|DSIM	CCAP1982_LOCUS13059|CAD7004664.1|CCAP, CCAP1982_LOCUS14675|CAD7006353.1|CCAP
