Orthogroup	DSIM.longest_only	DNOV.longest_only
OG0000009	LOC6734155|XP_002081184.1|DSIM, LOC6734156|XP_002081185.1|DSIM	LOC115759272|XP_030556034.1|DNOV
OG0000010	LOC6740547|XP_039154362.1|DSIM	LOC115761857|XP_030559704.1|DNOV
OG0000010	LOC120285280|XP_039152696.1|DSIM	LOC115770894|XP_030572189.1|DNOV
OG0000010	LOC120285282|XP_039152699.1|DSIM	LOC115761953|XP_030559852.1|DNOV
OG0000010	LOC6728075|XP_016034694.1|DSIM	LOC115759945|XP_030556945.1|DNOV
OG0000011	LOC27206230|XP_016031794.1|DSIM	LOC115769277|XP_030569859.1|DNOV
OG0000011	LOC6728756|XP_002104091.1|DSIM	LOC115765906|XP_030565511.1|DNOV
OG0000012	LOC6735247|XP_016028572.1|DSIM	LOC115760603|XP_030557904.1|DNOV
OG0000012	LOC6735246|XP_016028570.1|DSIM	LOC115760694|XP_030558018.1|DNOV
OG0000012	LOC6735245|XP_016028569.1|DSIM	LOC115760695|XP_030558019.1|DNOV
OG0000012	LOC6735248|XP_016028574.1|DSIM	LOC115760604|XP_030557906.1|DNOV
OG0000012	LOC6735250|XP_002082223.1|DSIM, LOC6735249|XP_016028575.1|DSIM	LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV
OG0000012	LOC6734131|XP_002081160.1|DSIM, LOC6734132|XP_016027145.1|DSIM, LOC6734133|XP_002081162.3|DSIM, LOC6734134|XP_016027146.1|DSIM	LOC115760685|XP_030558012.1|DNOV
OG0000012	LOC6734135|XP_002081164.1|DSIM, LOC6734136|XP_016027147.1|DSIM	LOC115761057|XP_030558532.1|DNOV
OG0000013	LOC6734455|XP_002081474.1|DSIM	LOC115761021|XP_030558495.1|DNOV
OG0000013	LOC6725717|XP_016038992.1|DSIM	LOC115766810|XP_030566705.1|DNOV
OG0000013	LOC6728006|XP_016034604.1|DSIM	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV
OG0000013	LOC6737992|XP_016031791.1|DSIM	LOC115766188|XP_030565895.1|DNOV
OG0000013	LOC6728269|XP_002103618.2|DSIM	LOC115761668|XP_030559377.1|DNOV
OG0000013	LOC6729335|XP_016035977.1|DSIM	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV
OG0000013	LOC120284969|XP_039150774.1|DSIM, LOC6728340|XP_016022730.2|DSIM, LOC6728451|XP_039151887.1|DSIM, LOC27206470|XP_016035065.1|DSIM	LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV
OG0000015	LOC6732807|XP_002079920.3|DSIM	LOC115763530|XP_030562001.1|DNOV
OG0000016	LOC6728214|XP_016034853.1|DSIM	LOC115761678|XP_030559394.1|DNOV
OG0000016	LOC6735456|XP_002082396.1|DSIM	LOC115762276|XP_030560298.1|DNOV
OG0000016	LOC6728317|XP_002103666.1|DSIM	LOC115761707|XP_030559439.1|DNOV
OG0000016	LOC6734815|XP_016028043.1|DSIM	LOC115764479|XP_030563416.1|DNOV
OG0000016	LOC6725225|XP_016038239.1|DSIM	LOC115768679|XP_030569221.1|DNOV
OG0000016	LOC6733183|XP_016026067.1|DSIM	LOC115762287|XP_030560311.1|DNOV
OG0000016	LOC6727955|XP_016034553.1|DSIM	LOC115757701|XP_030553908.1|DNOV
OG0000016	LOC6739089|XP_016032930.1|DSIM	LOC115770022|XP_030570941.1|DNOV
OG0000017	LOC6733173|XP_002080249.1|DSIM	LOC115762311|XP_030560338.1|DNOV, LOC115762076|XP_030560028.1|DNOV
OG0000017	LOC6729887|XP_002105190.2|DSIM	LOC115759321|XP_030556091.1|DNOV, LOC115769464|XP_030570137.1|DNOV
OG0000017	LOC6735880|XP_002082790.1|DSIM	LOC115760654|XP_030557981.1|DNOV
OG0000017	LOC6733175|XP_002080251.2|DSIM	LOC115762485|XP_030560583.1|DNOV
OG0000017	LOC6730585|XP_016023026.1|DSIM, LOC6730584|XP_002077763.1|DSIM	LOC115759266|XP_030556027.1|DNOV
OG0000018	LOC6736980|XP_002083827.1|DSIM	LOC115762746|XP_030560944.1|DNOV
OG0000018	LOC6736983|XP_002083830.1|DSIM	LOC115762718|XP_030560904.1|DNOV
OG0000018	LOC6736982|XP_002083829.1|DSIM	LOC115762873|XP_030561108.1|DNOV
OG0000019	LOC6729811|XP_002105114.1|DSIM	LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV
OG0000019	LOC6729806|XP_002105109.2|DSIM	LOC115771639|XP_030573299.1|DNOV
OG0000019	LOC6729809|XP_002105112.1|DSIM	LOC115771840|XP_030573582.1|DNOV
OG0000019	LOC6729812|XP_002105115.1|DSIM, LOC6729813|XP_002105116.1|DSIM	LOC115771914|XP_030573663.1|DNOV
OG0000020	LOC6730019|XP_002105313.2|DSIM	LOC115764021|XP_030562712.1|DNOV
OG0000020	LOC6735524|XP_016028869.1|DSIM	LOC115762420|XP_030560475.1|DNOV
OG0000020	LOC27207807|XP_039147183.1|DSIM, LOC6733705|XP_002080752.3|DSIM, LOC6731489|XP_016024167.1|DSIM	LOC115758764|XP_030555385.1|DNOV
OG0000020	LOC6727407|XP_016033953.2|DSIM	LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV
OG0000020	LOC6728507|XP_016035147.1|DSIM	LOC115767924|XP_030568152.1|DNOV, LOC115767925|XP_030568154.1|DNOV
OG0000020	LOC6733023|XP_016025710.1|DSIM, LOC6732748|XP_016025473.2|DSIM	LOC115758337|XP_030554771.1|DNOV
OG0000021	LOC6730820|XP_002077987.1|DSIM	LOC115762362|XP_030560400.1|DNOV
OG0000021	LOC6735639|XP_002082557.1|DSIM	LOC115763104|XP_030561408.1|DNOV
OG0000021	LOC6739483|XP_002076381.1|DSIM	LOC115764505|XP_030563459.1|DNOV
OG0000021	LOC27206609|XP_016028304.1|DSIM	LOC115772083|XP_030573900.1|DNOV
OG0000021	LOC6725592|XP_039153232.1|DSIM	LOC115768613|XP_030569130.1|DNOV
OG0000021	LOC6729419|XP_002104734.2|DSIM	LOC115770843|XP_030572140.1|DNOV
OG0000021	LOC6728358|XP_016034980.1|DSIM	LOC115771758|XP_030573467.1|DNOV
OG0000021	LOC6726014|XP_016039394.1|DSIM	LOC115766401|XP_030566179.1|DNOV
OG0000022	LOC27206614|XP_039147853.1|DSIM	LOC115757997|XP_030554350.1|DNOV
OG0000022	LOC6736297|XP_002083181.2|DSIM, LOC27207162|XP_016029777.2|DSIM, LOC120284703|XP_039149016.1|DSIM, LOC6736296|XP_002083180.1|DSIM	LOC115762577|XP_030560723.1|DNOV, LOC115762574|XP_030560719.1|DNOV, LOC115762578|XP_030560724.1|DNOV, LOC115762576|XP_030560721.1|DNOV
OG0000022	LOC27206641|XP_016022646.2|DSIM, LOC6739595|XP_002076490.1|DSIM, LOC27207148|XP_016029776.1|DSIM	LOC115762575|XP_030560720.1|DNOV
OG0000023	LOC6727100|XP_002102493.1|DSIM	LOC115761260|XP_030558833.1|DNOV, LOC115761261|XP_030558835.1|DNOV
OG0000023	LOC6727104|XP_002102497.2|DSIM	LOC115761508|XP_030559136.1|DNOV, LOC115761509|XP_030559137.1|DNOV
OG0000023	LOC6727107|XP_016033584.1|DSIM	LOC115761263|XP_030558837.1|DNOV
OG0000023	LOC6735713|XP_002082629.1|DSIM	LOC115761778|XP_030559575.1|DNOV
OG0000023	LOC6727106|XP_039151383.1|DSIM	LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV
OG0000023	LOC6727099|XP_002102492.1|DSIM	LOC115761262|XP_030558836.1|DNOV
OG0000023	LOC6727095|XP_016033580.1|DSIM	LOC115761326|XP_030558919.1|DNOV
OG0000023	LOC6727097|XP_002102490.1|DSIM	LOC115761659|XP_030559359.1|DNOV
OG0000023	LOC6727094|XP_016033578.1|DSIM	LOC115761434|XP_030559060.1|DNOV
OG0000024	LOC6733991|XP_002081035.1|DSIM, LOC120284488|XP_039148839.1|DSIM, LOC6739389|XP_002076289.1|DSIM, LOC27209398|XP_016027021.1|DSIM	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV, LOC115758204|XP_030554612.1|DNOV, LOC115758193|XP_030554595.1|DNOV
OG0000024	LOC6732909|XP_002080014.1|DSIM	LOC115763072|XP_030561360.1|DNOV
OG0000024	LOC6733989|XP_002081033.1|DSIM	LOC115758183|XP_030554583.1|DNOV
OG0000024	LOC6739427|XP_002076329.1|DSIM	LOC115764549|XP_030563528.1|DNOV
OG0000025	LOC27207833|XP_016038650.1|DSIM	LOC115758436|XP_030554952.1|DNOV
OG0000025	LOC120285797|XP_039154346.1|DSIM	LOC115770696|XP_030571951.1|DNOV
OG0000025	LOC120285798|XP_039154348.1|DSIM	LOC115762028|XP_030559953.1|DNOV
OG0000026	LOC6725654|XP_002106661.1|DSIM	LOC115771353|XP_030572886.1|DNOV
OG0000026	LOC6731167|XP_002078325.1|DSIM	LOC115758902|XP_030555559.1|DNOV
OG0000026	LOC6727211|XP_002102603.1|DSIM	LOC115764140|XP_030562874.1|DNOV
OG0000027	LOC6731383|XP_002078536.1|DSIM	LOC115765969|XP_030565582.1|DNOV
OG0000027	LOC6731384|XP_002078537.1|DSIM	LOC115765940|XP_030565545.1|DNOV
OG0000028	LOC6738680|XP_039149230.1|DSIM	LOC115769342|XP_030569963.1|DNOV
OG0000029	LOC6731962|XP_016024641.1|DSIM, LOC6728974|XP_002104302.1|DSIM	LOC115763803|XP_030562410.1|DNOV, LOC115763796|XP_030562398.1|DNOV
OG0000029	LOC27208471|XP_016032409.1|DSIM	LOC115767739|XP_030567914.1|DNOV
OG0000030	LOC6732024|XP_016024722.1|DSIM	LOC115760078|XP_030557121.1|DNOV
OG0000030	LOC6730745|XP_002077913.2|DSIM	LOC115759228|XP_030555983.1|DNOV
OG0000030	LOC6735876|XP_002082786.1|DSIM	LOC115760655|XP_030557982.1|DNOV, LOC115760698|XP_030558023.1|DNOV
OG0000030	LOC27208281|XP_039152536.1|DSIM	LOC115767988|XP_030568248.1|DNOV
OG0000030	LOC6740355|XP_002077222.1|DSIM	LOC115766352|XP_030566111.1|DNOV
OG0000031	LOC6731777|XP_016024472.1|DSIM	LOC115760051|XP_030557082.1|DNOV
OG0000032	LOC6728385|XP_016034993.2|DSIM	LOC115771909|XP_030573659.1|DNOV
OG0000032	LOC6728379|XP_016034990.1|DSIM, LOC6728383|XP_002103731.2|DSIM, LOC6728381|XP_016034991.1|DSIM	LOC115771910|XP_030573660.1|DNOV
OG0000032	LOC6728387|XP_039151488.1|DSIM	LOC115771703|XP_030573383.1|DNOV
OG0000032	LOC6728378|XP_002103726.1|DSIM	LOC115771907|XP_030573657.1|DNOV, LOC115764177|XP_030562923.1|DNOV, LOC115771908|XP_030573658.1|DNOV
OG0000033	LOC6732999|XP_002080078.1|DSIM, LOC6733000|XP_016025683.2|DSIM, LOC6732998|XP_016025682.1|DSIM, LOC6733292|XP_016026219.1|DSIM, LOC6733291|XP_002080354.2|DSIM	LOC115762530|XP_030560671.1|DNOV
OG0000033	LOC6733297|XP_016026220.1|DSIM	LOC115765180|XP_030564463.1|DNOV, LOC115765742|XP_030565266.1|DNOV, LOC115766042|XP_030565673.1|DNOV
OG0000034	LOC6734824|XP_002081826.2|DSIM, LOC6732560|XP_002079679.3|DSIM	LOC115758611|XP_030555202.1|DNOV
OG0000034	LOC6732561|XP_002079680.1|DSIM	LOC115759087|XP_030555781.1|DNOV
OG0000034	LOC27209034|XP_016025242.1|DSIM	LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV
OG0000034	LOC6731186|XP_002078345.3|DSIM	LOC115759323|XP_030556094.1|DNOV, LOC115758512|XP_030555064.1|DNOV
OG0000036	LOC6727116|XP_002102509.1|DSIM	LOC115761531|XP_030559163.1|DNOV
OG0000036	LOC6727985|XP_002103337.2|DSIM	LOC115759641|XP_030556490.1|DNOV
OG0000036	LOC6726665|XP_039151600.1|DSIM	LOC115764000|XP_030562680.1|DNOV
OG0000036	LOC6729259|XP_016035909.1|DSIM, LOC6729260|XP_002104580.2|DSIM	LOC115772100|XP_030573922.1|DNOV
OG0000037	LOC6735171|XP_016028454.1|DSIM	LOC115761663|XP_030559406.1|DNOV
OG0000037	LOC6727491|XP_002102871.2|DSIM, LOC6727490|XP_002102870.2|DSIM	LOC115761932|XP_030559822.1|DNOV
OG0000038	LOC6738693|XP_002085495.1|DSIM	LOC115769340|XP_030569961.1|DNOV
OG0000038	LOC6738696|XP_016032514.1|DSIM	LOC115769427|XP_030570094.1|DNOV
OG0000039	LOC6726964|XP_002102366.2|DSIM	LOC115764701|XP_030563759.1|DNOV
OG0000039	LOC27207643|XP_016039311.1|DSIM	LOC115766337|XP_030566090.1|DNOV
OG0000039	LOC6740324|XP_002077196.2|DSIM	LOC115767237|XP_030567298.1|DNOV
OG0000039	LOC6725586|XP_039153235.1|DSIM	LOC115766288|XP_030566016.1|DNOV
OG0000040	LOC6727642|XP_002103019.1|DSIM, LOC6728556|XP_002103897.1|DSIM	LOC115764750|XP_030563834.1|DNOV
OG0000040	LOC6728557|XP_002103898.1|DSIM	LOC115764751|XP_030563835.1|DNOV
OG0000040	LOC6727641|XP_002103018.1|DSIM, LOC6727640|XP_016034235.1|DSIM	LOC115764712|XP_030563772.1|DNOV, LOC115764710|XP_030563770.1|DNOV, LOC115764711|XP_030563771.1|DNOV
OG0000040	LOC6727638|XP_002103015.1|DSIM	LOC115764684|XP_030563733.1|DNOV
OG0000040	LOC6730355|XP_002105637.2|DSIM	LOC115771625|XP_030573267.1|DNOV
OG0000041	LOC6729586|XP_002104894.1|DSIM, LOC6740781|XP_016036235.1|DSIM, LOC6729587|XP_002104895.1|DSIM, LOC6729591|XP_002104899.1|DSIM, LOC6729588|XP_016036234.1|DSIM, LOC6729589|XP_002104897.1|DSIM, LOC6729598|XP_002104906.1|DSIM, LOC6729596|XP_002104904.1|DSIM, LOC6729597|XP_016036238.1|DSIM	LOC115770759|XP_030572032.1|DNOV, LOC115770764|XP_030572035.1|DNOV, LOC115770708|XP_030571966.1|DNOV
OG0000042	LOC6735085|XP_039148041.1|DSIM, LOC6735089|XP_039148042.1|DSIM, LOC6735086|XP_002082063.1|DSIM, LOC120284425|XP_039148040.1|DSIM, LOC6735088|XP_039148043.1|DSIM, LOC120284426|XP_039148044.1|DSIM, LOC6735087|XP_002082064.1|DSIM	LOC115761613|XP_030559276.1|DNOV, LOC115766969|XP_030566923.1|DNOV, LOC115760708|XP_030558036.1|DNOV, LOC115760858|XP_030558271.1|DNOV, LOC115760707|XP_030558035.1|DNOV, LOC115771107|XP_030572527.1|DNOV, LOC115760710|XP_030558038.1|DNOV, LOC115760709|XP_030558037.1|DNOV, LOC115760926|XP_030558361.1|DNOV, LOC115760860|XP_030558274.1|DNOV
OG0000043	LOC6728570|XP_016035206.2|DSIM	LOC115770548|XP_030571710.1|DNOV
OG0000043	LOC6728574|XP_002103915.1|DSIM	LOC115770561|XP_030571734.1|DNOV
OG0000043	LOC6728568|XP_002103909.1|DSIM, LOC6728566|XP_002103907.3|DSIM, LOC6730335|XP_016037102.1|DSIM	LOC115770570|XP_030571745.1|DNOV
OG0000044	LOC6729601|XP_016036243.1|DSIM	LOC115770712|XP_030571969.1|DNOV
OG0000044	LOC6729605|XP_002104913.1|DSIM, LOC6729606|XP_002104914.1|DSIM	LOC115770724|XP_030571983.1|DNOV, LOC115770670|XP_030571898.1|DNOV
OG0000044	LOC6728484|XP_016035123.1|DSIM	LOC115766148|XP_030565844.1|DNOV
OG0000045	LOC27207701|XP_016031376.1|DSIM	LOC115771022|XP_030572403.1|DNOV
OG0000045	LOC6737583|XP_039149017.1|DSIM, LOC120284704|XP_039149018.1|DSIM, LOC120284202|XP_002084415.1|DSIM	LOC115771240|XP_030572702.1|DNOV
OG0000045	LOC6737082|XP_002083929.1|DSIM	LOC115771239|XP_030572701.1|DNOV
OG0000045	LOC6737081|XP_002083928.1|DSIM	LOC115771237|XP_030572698.1|DNOV
OG0000046	LOC27208258|XP_039152751.1|DSIM, LOC6726461|XP_002107418.1|DSIM	LOC115768148|XP_030568502.1|DNOV
OG0000046	LOC6726459|XP_016040040.1|DSIM, LOC6729249|XP_002104570.1|DSIM, LOC6729250|XP_016035903.2|DSIM, LOC6729248|XP_016035902.2|DSIM, LOC6729247|XP_039150891.1|DSIM, LOC6736058|XP_016029460.1|DSIM, LOC6729246|XP_002104567.2|DSIM, LOC6734258|XP_016027304.1|DSIM	LOC115771633|XP_030573292.1|DNOV, LOC115771634|XP_030573293.1|DNOV, LOC115768146|XP_030568501.1|DNOV
OG0000047	LOC6734782|XP_002081785.2|DSIM	LOC115760745|XP_030558082.1|DNOV
OG0000047	LOC6734347|XP_002081368.2|DSIM	LOC115757956|XP_030554291.1|DNOV
OG0000047	LOC6734356|XP_002081377.1|DSIM	LOC115757840|XP_030554132.1|DNOV
OG0000048	LOC6738296|XP_002085107.2|DSIM, LOC6738295|XP_002085106.1|DSIM	LOC115762856|XP_030561091.1|DNOV
OG0000048	LOC6738290|XP_002085101.1|DSIM	LOC115762848|XP_030561084.1|DNOV
OG0000048	LOC6738287|XP_039149226.1|DSIM	LOC115762847|XP_030561083.1|DNOV
OG0000048	LOC6738291|XP_002085102.1|DSIM	LOC115762857|XP_030561093.1|DNOV
OG0000049	LOC6727737|XP_002103099.1|DSIM	LOC115761547|XP_030559189.1|DNOV
OG0000049	LOC6727734|XP_002103096.1|DSIM	LOC115761542|XP_030559185.1|DNOV
OG0000049	LOC6727738|XP_002103100.1|DSIM	LOC115761399|XP_030559017.1|DNOV
OG0000049	LOC6727739|XP_002103101.1|DSIM	LOC115761457|XP_030559084.1|DNOV
OG0000049	LOC6727733|XP_002103095.1|DSIM	LOC115761552|XP_030559195.1|DNOV
OG0000050	LOC6734037|XP_002081073.1|DSIM	LOC115758280|XP_030554702.1|DNOV
OG0000050	LOC6739125|XP_002085918.1|DSIM	LOC115770327|XP_030571425.1|DNOV
OG0000050	LOC6739124|XP_002085917.1|DSIM	LOC115770328|XP_030571426.1|DNOV
OG0000050	LOC27208454|XP_016032970.1|DSIM	LOC115770326|XP_030571424.1|DNOV
OG0000050	LOC6739126|XP_002085919.1|DSIM	LOC115770322|XP_030571419.1|DNOV
OG0000051	LOC6728912|XP_016035601.1|DSIM	LOC115763752|XP_030562324.1|DNOV
OG0000051	LOC6728321|XP_002103670.1|DSIM	LOC115761373|XP_030558983.1|DNOV
OG0000052	LOC6728714|XP_002104050.1|DSIM, LOC6729302|XP_002104619.1|DSIM, LOC6728715|XP_016035378.1|DSIM, LOC6728716|XP_002104052.1|DSIM, LOC6728712|XP_002104048.2|DSIM, LOC6728713|XP_002104049.1|DSIM	LOC115763778|XP_030562359.1|DNOV, LOC115763892|XP_030562530.1|DNOV, LOC115763891|XP_030562528.1|DNOV, LOC115763777|XP_030562358.1|DNOV
OG0000052	LOC6735169|XP_016028453.1|DSIM	LOC115771518|XP_030573117.1|DNOV
OG0000052	LOC6735168|XP_002082143.1|DSIM	LOC115771510|XP_030573105.1|DNOV
OG0000053	LOC6733546|XP_002080601.2|DSIM	LOC115771927|XP_030573689.1|DNOV
OG0000053	LOC6733544|XP_016026500.1|DSIM	LOC115771866|XP_030573609.1|DNOV
OG0000053	LOC6733543|XP_002080598.2|DSIM	LOC115771921|XP_030573679.1|DNOV
OG0000053	LOC6733541|XP_002080596.2|DSIM	LOC115771855|XP_030573599.1|DNOV
OG0000053	LOC6733535|XP_002080590.2|DSIM	LOC115771936|XP_030573699.1|DNOV
OG0000054	LOC6727939|XP_039151973.1|DSIM	LOC115766043|XP_030565674.1|DNOV
OG0000054	LOC6727938|XP_016034544.1|DSIM	LOC115770765|XP_030572036.1|DNOV
OG0000054	LOC6727936|XP_002103291.1|DSIM, LOC6727937|XP_016034543.1|DSIM	LOC115766097|XP_030565772.1|DNOV
OG0000055	LOC6730202|XP_002105487.1|DSIM	LOC115761443|XP_030559069.1|DNOV, LOC115761430|XP_030559056.1|DNOV, LOC115761433|XP_030559059.1|DNOV, LOC115761408|XP_030559028.1|DNOV
OG0000056	LOC6729191|XP_016035843.1|DSIM	LOC115764820|XP_030563929.1|DNOV
OG0000056	LOC6729193|XP_002104514.1|DSIM, LOC6729195|XP_002104516.1|DSIM, LOC6729194|XP_002104515.1|DSIM	LOC115764821|XP_030563930.1|DNOV
