Orthogroup	DSIM.longest_only	DALB.longest_only
OG0000002	LOC6731201|XP_002078360.1|DSIM	LOC117563399|XP_034097624.1|DALB, LOC117563790|XP_034098211.1|DALB
OG0000003	LOC6734558|XP_002081567.1|DSIM, LOC6734560|XP_016027665.1|DSIM	LOC117570013|XP_034107320.1|DALB, LOC117566349|XP_034101726.1|DALB
OG0000003	LOC6733269|XP_002080332.1|DSIM	LOC117572199|XP_034110745.1|DALB, LOC117572196|XP_034110742.1|DALB, LOC117572200|XP_034110747.1|DALB, LOC117572197|XP_034110743.1|DALB, LOC117572198|XP_034110744.1|DALB
OG0000003	LOC6734555|XP_002081564.3|DSIM	LOC117566350|XP_034101727.1|DALB, LOC117566352|XP_034101730.1|DALB, LOC117566353|XP_034101731.1|DALB
OG0000003	LOC6734554|XP_039147555.1|DSIM	LOC117566351|XP_034101728.1|DALB
OG0000003	LOC6733557|XP_016026506.1|DSIM	LOC117570242|XP_034107635.1|DALB
OG0000003	LOC6733555|XP_039148197.1|DSIM	LOC117569608|XP_034106735.1|DALB, LOC117569606|XP_034106733.1|DALB, LOC117569607|XP_034106734.1|DALB, LOC117569605|XP_034106730.1|DALB
OG0000003	LOC6731100|XP_002078257.3|DSIM	LOC117564506|XP_034099214.1|DALB, LOC117563737|XP_034098107.1|DALB, LOC117564505|XP_034099213.1|DALB
OG0000005	LOC120285806|XP_039154356.1|DSIM, LOC120285548|XP_039154138.1|DSIM, LOC120285275|XP_039152669.1|DSIM, LOC120285808|XP_039154358.1|DSIM, LOC120285276|XP_039152679.1|DSIM, LOC120285549|XP_039154139.1|DSIM, LOC27207875|XP_039154141.1|DSIM, LOC120285271|XP_039152664.1|DSIM, LOC120285267|XP_039152656.1|DSIM, LOC120285804|XP_039154354.1|DSIM, LOC6740385|XP_002077244.1|DSIM, LOC120285805|XP_039154355.1|DSIM, LOC120285550|XP_039154140.1|DSIM, LOC120285279|XP_039152693.1|DSIM, LOC120285268|XP_039152661.1|DSIM, LOC120285547|XP_039154137.1|DSIM, LOC120285807|XP_039154357.1|DSIM	LOC117564270|XP_034098864.1|DALB
OG0000006	LOC120285545|XP_039154135.1|DSIM	LOC117564284|XP_034098874.1|DALB, LOC117563579|XP_034097856.1|DALB
OG0000006	LOC120285544|XP_039154134.1|DSIM, LOC27208095|XP_016025859.1|DSIM	LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB
OG0000007	LOC6738477|XP_016032322.1|DSIM	LOC117572105|XP_034110613.1|DALB
OG0000007	LOC6736955|XP_002083802.1|DSIM	LOC117571630|XP_034109745.1|DALB
OG0000007	LOC6736956|XP_002083803.1|DSIM	LOC117571629|XP_034109744.1|DALB
OG0000007	LOC6736953|XP_002083800.1|DSIM, LOC6736951|XP_016030595.1|DSIM, LOC6736948|XP_039149135.1|DSIM, LOC120284722|XP_039149134.1|DSIM, LOC6736949|XP_002083796.1|DSIM, LOC6736952|XP_002083799.1|DSIM, LOC6736950|XP_039149136.1|DSIM, LOC120284734|XP_039149214.1|DSIM	LOC117571628|XP_034109743.1|DALB
OG0000007	LOC6733581|XP_002080635.1|DSIM	LOC117569226|XP_034106192.1|DALB, LOC117569228|XP_034106194.1|DALB
OG0000007	LOC6731021|XP_002078182.1|DSIM	LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB
OG0000007	LOC6737273|XP_039149649.1|DSIM, LOC27206286|XP_016030986.1|DSIM, LOC6731019|XP_002078180.2|DSIM	LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB, LOC117569232|XP_034106197.1|DALB, LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB, LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB
OG0000008	LOC6727443|XP_016034017.1|DSIM	LOC117574613|XP_034114391.1|DALB
OG0000008	LOC6736741|XP_002083597.1|DSIM	LOC117570995|XP_034108835.1|DALB
OG0000008	LOC6732025|XP_039148682.1|DSIM	LOC117565304|XP_034100233.1|DALB
OG0000008	LOC6736742|XP_002083598.1|DSIM	LOC117571003|XP_034108844.1|DALB
OG0000008	LOC6726999|XP_039151364.1|DSIM, LOC120285030|XP_039151250.1|DSIM	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB
OG0000008	LOC6726998|XP_016033494.2|DSIM	LOC117574116|XP_034113661.1|DALB, LOC117574376|XP_034114101.1|DALB
OG0000008	LOC6726996|XP_002102397.1|DSIM	LOC117574119|XP_034113664.1|DALB
OG0000008	LOC6726997|XP_002102398.2|DSIM	LOC117574115|XP_034113660.1|DALB
OG0000008	LOC6726995|XP_002102396.1|DSIM	LOC117574118|XP_034113663.1|DALB
OG0000009	LOC6727419|XP_002102801.1|DSIM	LOC117574725|XP_034114546.1|DALB
OG0000009	LOC6727422|XP_002102804.2|DSIM	LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB
OG0000009	LOC6727423|XP_016033975.1|DSIM, LOC6727420|XP_002102802.1|DSIM	LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB, LOC117563434|XP_034097659.1|DALB, LOC117563435|XP_034097660.1|DALB
OG0000009	LOC6736925|XP_002083772.1|DSIM, LOC6736926|XP_002083773.1|DSIM	LOC117565287|XP_034100206.1|DALB
OG0000009	LOC6736062|XP_002082963.1|DSIM	LOC117568811|XP_034105563.1|DALB, LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB, LOC117566724|XP_034102158.1|DALB
OG0000009	LOC6734157|XP_002081186.1|DSIM	LOC117566719|XP_034102155.1|DALB, LOC117568670|XP_034105365.1|DALB, LOC117570560|XP_034108181.1|DALB, LOC117571597|XP_034109704.1|DALB, LOC117571595|XP_034109702.1|DALB, LOC117572671|XP_034111579.1|DALB
OG0000009	LOC6734155|XP_002081184.1|DSIM, LOC6734156|XP_002081185.1|DSIM	LOC117565994|XP_034101304.1|DALB
OG0000010	LOC120285282|XP_039152699.1|DSIM	LOC117564301|XP_034098889.1|DALB
OG0000010	LOC120285813|XP_039154363.1|DSIM	LOC117566095|XP_034101458.1|DALB
OG0000012	LOC6735247|XP_016028572.1|DSIM	LOC117568055|XP_034104297.1|DALB
OG0000012	LOC6735246|XP_016028570.1|DSIM	LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB
OG0000012	LOC6735245|XP_016028569.1|DSIM	LOC117569585|XP_034106704.1|DALB
OG0000012	LOC6735248|XP_016028574.1|DSIM	LOC117568054|XP_034104292.1|DALB
OG0000012	LOC6735250|XP_002082223.1|DSIM, LOC6735249|XP_016028575.1|DSIM	LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB
OG0000012	LOC6734131|XP_002081160.1|DSIM, LOC6734132|XP_016027145.1|DSIM, LOC6734133|XP_002081162.3|DSIM, LOC6734134|XP_016027146.1|DSIM	LOC117571184|XP_034109105.1|DALB
OG0000012	LOC6734135|XP_002081164.1|DSIM, LOC6734136|XP_016027147.1|DSIM	LOC117568519|XP_034105112.1|DALB
OG0000013	LOC6734455|XP_002081474.1|DSIM	LOC117571859|XP_034110145.1|DALB
OG0000013	LOC6725717|XP_016038992.1|DSIM	LOC117563213|XP_034097295.1|DALB
OG0000013	LOC6728006|XP_016034604.1|DSIM	LOC117576138|XP_034116595.1|DALB
OG0000013	LOC6737992|XP_016031791.1|DSIM	LOC117568434|XP_034104988.1|DALB
OG0000013	LOC6728269|XP_002103618.2|DSIM	LOC117573950|XP_034113367.1|DALB
OG0000013	LOC6729335|XP_016035977.1|DSIM	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB
OG0000015	LOC6732807|XP_002079920.3|DSIM	LOC117565931|XP_034101209.1|DALB
OG0000015	LOC27208270|XP_016038606.1|DSIM	LOC117564021|XP_034098512.1|DALB
OG0000015	LOC27206160|XP_016027033.1|DSIM, LOC27207583|XP_016036303.1|DSIM	LOC117565200|XP_034100095.1|DALB, LOC117565000|XP_034099836.1|DALB, LOC117564017|XP_034098508.1|DALB, LOC117565199|XP_034100094.1|DALB, LOC117565001|XP_034099837.1|DALB, LOC117564018|XP_034098509.1|DALB, LOC117564364|XP_034098970.1|DALB, LOC117565647|XP_034100752.1|DALB, LOC117569869|XP_034107100.1|DALB, LOC117569271|XP_034106261.1|DALB
OG0000016	LOC6728214|XP_016034853.1|DSIM	LOC117573987|XP_034113425.1|DALB
OG0000016	LOC6735456|XP_002082396.1|DSIM	LOC117567642|XP_034103639.1|DALB
OG0000016	LOC6728317|XP_002103666.1|DSIM	LOC117574647|XP_034114439.1|DALB
OG0000016	LOC6734815|XP_016028043.1|DSIM	LOC117567926|XP_034104102.1|DALB
OG0000016	LOC6725225|XP_016038239.1|DSIM	LOC117576743|XP_034117709.1|DALB
OG0000016	LOC6733183|XP_016026067.1|DSIM	LOC117567888|XP_034104050.1|DALB
OG0000016	LOC6727955|XP_016034553.1|DSIM	LOC117573754|XP_034113029.1|DALB
OG0000016	LOC6739089|XP_016032930.1|DSIM	LOC117568261|XP_034104638.1|DALB
OG0000017	LOC6733173|XP_002080249.1|DSIM	LOC117571304|XP_034109265.1|DALB, LOC117571750|XP_034109990.1|DALB
OG0000017	LOC6729887|XP_002105190.2|DSIM	LOC117573354|XP_034112370.1|DALB, LOC117574908|XP_034114843.1|DALB, LOC117574957|XP_034114906.1|DALB, LOC117569360|XP_034106383.1|DALB
OG0000017	LOC6735880|XP_002082790.1|DSIM	LOC117568041|XP_034104279.1|DALB
OG0000017	LOC6733175|XP_002080251.2|DSIM	LOC117571751|XP_034109992.1|DALB
OG0000017	LOC6730585|XP_016023026.1|DSIM, LOC6730584|XP_002077763.1|DSIM	LOC117564917|XP_034099761.1|DALB
OG0000018	LOC6736983|XP_002083830.1|DSIM	LOC117569762|XP_034106946.1|DALB
OG0000018	LOC6736982|XP_002083829.1|DSIM	LOC117569760|XP_034106944.1|DALB
OG0000020	LOC6730019|XP_002105313.2|DSIM	LOC117576477|XP_034117138.1|DALB
OG0000020	LOC6735524|XP_016028869.1|DSIM	LOC117568572|XP_034105192.1|DALB
OG0000020	LOC27207807|XP_039147183.1|DSIM, LOC6733705|XP_002080752.3|DSIM, LOC6731489|XP_016024167.1|DSIM	LOC117565600|XP_034100691.1|DALB
OG0000020	LOC6727407|XP_016033953.2|DSIM	LOC117576162|XP_034116628.1|DALB
OG0000020	LOC6728507|XP_016035147.1|DSIM	LOC117576471|XP_034117133.1|DALB, LOC117576474|XP_034117135.1|DALB, LOC117576472|XP_034117134.1|DALB
OG0000020	LOC6733023|XP_016025710.1|DSIM, LOC6732748|XP_016025473.2|DSIM	LOC117565601|XP_034100693.1|DALB
OG0000021	LOC6730820|XP_002077987.1|DSIM	LOC117570905|XP_034108701.1|DALB
OG0000021	LOC6735639|XP_002082557.1|DSIM	LOC117566492|XP_034101922.1|DALB
OG0000021	LOC6739483|XP_002076381.1|DSIM	LOC117570266|XP_034107672.1|DALB
OG0000021	LOC6725592|XP_039153232.1|DSIM	LOC117573953|XP_034113413.1|DALB
OG0000021	LOC6729419|XP_002104734.2|DSIM	LOC117574572|XP_034114338.1|DALB
OG0000021	LOC6728358|XP_016034980.1|DSIM	LOC117576017|XP_034116416.1|DALB
OG0000021	LOC6726014|XP_016039394.1|DSIM	LOC117575314|XP_034115363.1|DALB
OG0000022	LOC27206614|XP_039147853.1|DSIM	LOC117569951|XP_034107204.1|DALB
OG0000022	LOC6736297|XP_002083181.2|DSIM, LOC27207162|XP_016029777.2|DSIM, LOC120284703|XP_039149016.1|DSIM, LOC6736296|XP_002083180.1|DSIM	LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB
OG0000022	LOC27206641|XP_016022646.2|DSIM, LOC6739595|XP_002076490.1|DSIM, LOC27207148|XP_016029776.1|DSIM	LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB
OG0000023	LOC6727100|XP_002102493.1|DSIM	LOC117576456|XP_034117119.1|DALB
OG0000023	LOC6727104|XP_002102497.2|DSIM	LOC117565137|XP_034099998.1|DALB
OG0000023	LOC6735713|XP_002082629.1|DSIM	LOC117568013|XP_034104228.1|DALB
OG0000023	LOC6727099|XP_002102492.1|DSIM	LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB
OG0000023	LOC6727095|XP_016033580.1|DSIM	LOC117576455|XP_034117118.1|DALB
OG0000023	LOC6727097|XP_002102490.1|DSIM	LOC117576451|XP_034117113.1|DALB
OG0000023	LOC6727094|XP_016033578.1|DSIM	LOC117576915|XP_034117947.1|DALB
OG0000024	LOC6733991|XP_002081035.1|DSIM, LOC120284488|XP_039148839.1|DSIM, LOC6739389|XP_002076289.1|DSIM, LOC27209398|XP_016027021.1|DSIM	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB
OG0000024	LOC6733990|XP_002081034.2|DSIM	LOC117569374|XP_034106395.1|DALB
OG0000024	LOC6732909|XP_002080014.1|DSIM	LOC117575969|XP_034116339.1|DALB
OG0000024	LOC6733989|XP_002081033.1|DSIM	LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB
OG0000024	LOC6739427|XP_002076329.1|DSIM	LOC117571483|XP_034109539.1|DALB
OG0000025	LOC27207833|XP_016038650.1|DSIM	LOC117563274|XP_034097393.1|DALB, LOC117563275|XP_034097395.1|DALB, LOC117570342|XP_034107792.1|DALB
OG0000025	LOC120285797|XP_039154346.1|DSIM	LOC117566085|XP_034101455.1|DALB
OG0000025	LOC120285798|XP_039154348.1|DSIM	LOC117563559|XP_034097830.1|DALB
OG0000026	LOC6725654|XP_002106661.1|DSIM	LOC117577993|XP_034118981.1|DALB, LOC117569252|XP_034106220.1|DALB, LOC117570089|XP_034107430.1|DALB
OG0000026	LOC6731167|XP_002078325.1|DSIM	LOC117564398|XP_034099013.1|DALB
OG0000026	LOC6727211|XP_002102603.1|DSIM	LOC117573365|XP_034112385.1|DALB
OG0000027	LOC6731383|XP_002078536.1|DSIM	LOC117564244|XP_034098829.1|DALB
OG0000027	LOC6731384|XP_002078537.1|DSIM	LOC117565445|XP_034100427.1|DALB
OG0000028	LOC6738680|XP_039149230.1|DSIM	LOC117566511|XP_034101942.1|DALB
OG0000029	LOC6731962|XP_016024641.1|DSIM, LOC6728974|XP_002104302.1|DSIM	LOC117566595|XP_034102028.1|DALB, LOC117564897|XP_034099738.1|DALB
OG0000029	LOC27208471|XP_016032409.1|DSIM	LOC117569056|XP_034105958.1|DALB
OG0000030	LOC6732024|XP_016024722.1|DSIM	LOC117563844|XP_034098265.1|DALB
OG0000030	LOC6730745|XP_002077913.2|DSIM	LOC117564908|XP_034099753.1|DALB
OG0000030	LOC6735876|XP_002082786.1|DSIM	LOC117568042|XP_034104280.1|DALB, LOC117569392|XP_034106412.1|DALB
OG0000030	LOC27208281|XP_039152536.1|DSIM	LOC117568192|XP_034104545.1|DALB
OG0000030	LOC6740355|XP_002077222.1|DSIM	LOC117566924|XP_034102438.1|DALB
OG0000031	LOC6736718|XP_002083574.1|DSIM, LOC6730782|XP_002077950.2|DSIM, LOC6733504|XP_016026473.1|DSIM	LOC117565254|XP_034100159.1|DALB, LOC117563835|XP_034098255.1|DALB
OG0000031	LOC6731777|XP_016024472.1|DSIM	LOC117565207|XP_034100106.1|DALB
OG0000032	LOC6728385|XP_016034993.2|DSIM	LOC117574198|XP_034113792.1|DALB
OG0000032	LOC6728387|XP_039151488.1|DSIM	LOC117574485|XP_034114214.1|DALB
OG0000032	LOC6728378|XP_002103726.1|DSIM	LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB, LOC117575800|XP_034116069.1|DALB, LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB
OG0000033	LOC6732999|XP_002080078.1|DSIM, LOC6733000|XP_016025683.2|DSIM, LOC6732998|XP_016025682.1|DSIM, LOC6733292|XP_016026219.1|DSIM, LOC6733291|XP_002080354.2|DSIM	LOC117571679|XP_034109811.1|DALB
OG0000033	LOC6733297|XP_016026220.1|DSIM	LOC117573530|XP_034112668.1|DALB, LOC117566466|XP_034101888.1|DALB, LOC117575231|XP_034115252.1|DALB, LOC117565138|XP_034100000.1|DALB, LOC117564992|XP_034099828.1|DALB, LOC117565338|XP_034100279.1|DALB
OG0000034	LOC6734824|XP_002081826.2|DSIM, LOC6732560|XP_002079679.3|DSIM	LOC117565378|XP_034100343.1|DALB
OG0000034	LOC6732561|XP_002079680.1|DSIM	LOC117563634|XP_034097932.1|DALB, LOC117563633|XP_034097931.1|DALB, LOC117563636|XP_034097933.1|DALB
OG0000034	LOC27209034|XP_016025242.1|DSIM	LOC117563632|XP_034097930.1|DALB
OG0000034	LOC6731186|XP_002078345.3|DSIM	LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB, LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB
OG0000036	LOC6727116|XP_002102509.1|DSIM	LOC117575319|XP_034115366.1|DALB
OG0000036	LOC6727985|XP_002103337.2|DSIM	LOC117574531|XP_034114284.1|DALB
OG0000036	LOC6726665|XP_039151600.1|DSIM	LOC117574592|XP_034114366.1|DALB
OG0000036	LOC6729259|XP_016035909.1|DSIM, LOC6729260|XP_002104580.2|DSIM	LOC117576608|XP_034117400.1|DALB
OG0000037	LOC6735171|XP_016028454.1|DSIM	LOC117568663|XP_034105356.1|DALB
OG0000037	LOC6727491|XP_002102871.2|DSIM, LOC6727490|XP_002102870.2|DSIM	LOC117575741|XP_034115985.1|DALB
OG0000038	LOC6738693|XP_002085495.1|DSIM	LOC117570082|XP_034107414.1|DALB
OG0000038	LOC6738696|XP_016032514.1|DSIM	LOC117570080|XP_034107411.1|DALB
OG0000039	LOC6726964|XP_002102366.2|DSIM	LOC117575707|XP_034115928.1|DALB
OG0000039	LOC27207643|XP_016039311.1|DSIM	LOC117574807|XP_034114666.1|DALB, LOC117574815|XP_034114677.1|DALB
OG0000039	LOC6740324|XP_002077196.2|DSIM	LOC117577745|XP_034118547.1|DALB
OG0000039	LOC6725586|XP_039153235.1|DSIM	LOC117565813|XP_034101004.1|DALB
OG0000040	LOC6727642|XP_002103019.1|DSIM, LOC6728556|XP_002103897.1|DSIM	LOC117573615|XP_034112803.1|DALB
OG0000040	LOC6728557|XP_002103898.1|DSIM	LOC117573619|XP_034112810.1|DALB
OG0000040	LOC6727638|XP_002103015.1|DSIM	LOC117573618|XP_034112808.1|DALB
OG0000041	LOC6729586|XP_002104894.1|DSIM, LOC6740781|XP_016036235.1|DSIM, LOC6729587|XP_002104895.1|DSIM, LOC6729591|XP_002104899.1|DSIM, LOC6729588|XP_016036234.1|DSIM, LOC6729589|XP_002104897.1|DSIM, LOC6729598|XP_002104906.1|DSIM, LOC6729596|XP_002104904.1|DSIM, LOC6729597|XP_016036238.1|DSIM	LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB, LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB
OG0000042	LOC6735085|XP_039148041.1|DSIM, LOC6735089|XP_039148042.1|DSIM, LOC6735086|XP_002082063.1|DSIM, LOC120284425|XP_039148040.1|DSIM, LOC6735088|XP_039148043.1|DSIM, LOC120284426|XP_039148044.1|DSIM, LOC6735087|XP_002082064.1|DSIM	LOC117566639|XP_034102071.1|DALB, LOC117566640|XP_034102072.1|DALB
OG0000042	LOC6735090|XP_016028363.1|DSIM	LOC117576207|XP_034116693.1|DALB, LOC117574774|XP_034114613.1|DALB, LOC117574773|XP_034114612.1|DALB, LOC117574710|XP_034114517.1|DALB, LOC117574445|XP_034114174.1|DALB
OG0000043	LOC6728570|XP_016035206.2|DSIM	LOC117574637|XP_034114425.1|DALB
OG0000043	LOC6728571|XP_002103912.1|DSIM	LOC117574639|XP_034114428.1|DALB
OG0000043	LOC6728574|XP_002103915.1|DSIM	LOC117574208|XP_034113803.1|DALB
OG0000043	LOC6728568|XP_002103909.1|DSIM, LOC6728566|XP_002103907.3|DSIM, LOC6730335|XP_016037102.1|DSIM	LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB
OG0000044	LOC6729601|XP_016036243.1|DSIM	LOC117576108|XP_034116557.1|DALB
OG0000044	LOC6729605|XP_002104913.1|DSIM, LOC6729606|XP_002104914.1|DSIM	LOC117576562|XP_034117292.1|DALB, LOC117576555|XP_034117284.1|DALB, LOC117576559|XP_034117287.1|DALB, LOC117576556|XP_034117285.1|DALB, LOC117576558|XP_034117286.1|DALB, LOC117576554|XP_034117283.1|DALB, LOC117576551|XP_034117281.1|DALB, LOC117576550|XP_034117280.1|DALB
OG0000044	LOC6729602|XP_016036244.1|DSIM	LOC117576560|XP_034117290.1|DALB, LOC117576979|XP_034118049.1|DALB
OG0000044	LOC6728484|XP_016035123.1|DSIM	LOC117574699|XP_034114502.1|DALB
OG0000045	LOC27207701|XP_016031376.1|DSIM	LOC117568925|XP_034105726.1|DALB
OG0000045	LOC6737583|XP_039149017.1|DSIM, LOC120284704|XP_039149018.1|DSIM, LOC120284202|XP_002084415.1|DSIM	LOC117566426|XP_034101847.1|DALB
OG0000045	LOC6737082|XP_002083929.1|DSIM	LOC117566425|XP_034101846.1|DALB
OG0000045	LOC6737081|XP_002083928.1|DSIM	LOC117572554|XP_034111317.1|DALB
OG0000046	LOC27208258|XP_039152751.1|DSIM, LOC6726461|XP_002107418.1|DSIM	LOC117577657|XP_034118436.1|DALB, LOC117577658|XP_034118437.1|DALB
OG0000046	LOC6726459|XP_016040040.1|DSIM, LOC6729249|XP_002104570.1|DSIM, LOC6729250|XP_016035903.2|DSIM, LOC6729248|XP_016035902.2|DSIM, LOC6729247|XP_039150891.1|DSIM, LOC6736058|XP_016029460.1|DSIM, LOC6729246|XP_002104567.2|DSIM, LOC6734258|XP_016027304.1|DSIM	LOC117566493|XP_034101923.1|DALB, LOC117576903|XP_034117935.1|DALB, LOC117566510|XP_034101945.1|DALB, LOC117576911|XP_034117945.1|DALB, LOC117576921|XP_034117957.1|DALB
OG0000047	LOC6734785|XP_039147648.1|DSIM	LOC117570271|XP_034107678.1|DALB
OG0000047	LOC6734782|XP_002081785.2|DSIM	LOC117570312|XP_034107745.1|DALB
OG0000047	LOC6734347|XP_002081368.2|DSIM	LOC117567370|XP_034103204.1|DALB
OG0000047	LOC27206290|XP_016031336.1|DSIM	LOC117567748|XP_034103827.1|DALB
OG0000047	LOC6734356|XP_002081377.1|DSIM	LOC117570238|XP_034107631.1|DALB
OG0000048	LOC6738296|XP_002085107.2|DSIM, LOC6738295|XP_002085106.1|DSIM	LOC117570722|XP_034108424.1|DALB, LOC117570720|XP_034108423.1|DALB
OG0000048	LOC6738287|XP_039149226.1|DSIM	LOC117572034|XP_034110480.1|DALB
OG0000048	LOC6738291|XP_002085102.1|DSIM	LOC117569405|XP_034106432.1|DALB
OG0000049	LOC6727737|XP_002103099.1|DSIM	LOC117574804|XP_034114660.1|DALB
OG0000049	LOC6727734|XP_002103096.1|DSIM	LOC117574253|XP_034113873.1|DALB
OG0000049	LOC6727738|XP_002103100.1|DSIM	LOC117574270|XP_034113907.1|DALB
OG0000049	LOC6727739|XP_002103101.1|DSIM	LOC117576198|XP_034116681.1|DALB
OG0000049	LOC6727733|XP_002103095.1|DSIM	LOC117574439|XP_034114168.1|DALB
