Orthogroup	DSIM.longest_only	ASTE.longest_only
OG0000013	LOC6728006|XP_016034604.1|DSIM	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE
OG0000013	LOC6729335|XP_016035977.1|DSIM, LOC120284969|XP_039150774.1|DSIM, LOC6728340|XP_016022730.2|DSIM, LOC6728451|XP_039151887.1|DSIM, LOC27206470|XP_016035065.1|DSIM	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE
OG0000016	LOC6728214|XP_016034853.1|DSIM, LOC6735456|XP_002082396.1|DSIM	LOC118502962|XP_035891619.1|ASTE
OG0000016	LOC6728317|XP_002103666.1|DSIM	LOC118503654|XP_035893068.1|ASTE
OG0000016	LOC6725225|XP_016038239.1|DSIM	LOC118505170|XP_035896494.1|ASTE
OG0000016	LOC6739089|XP_016032930.1|DSIM	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE
OG0000018	LOC6736980|XP_002083827.1|DSIM	LOC118513024|XP_035914194.1|ASTE
OG0000019	LOC6729811|XP_002105114.1|DSIM, LOC6729810|XP_002105113.1|DSIM, LOC27208716|XP_016036498.1|DSIM, LOC6729806|XP_002105109.2|DSIM, LOC6729809|XP_002105112.1|DSIM, LOC6729812|XP_002105115.1|DSIM, LOC6729813|XP_002105116.1|DSIM	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE, LOC118506335|XP_035899208.1|ASTE, LOC118506986|XP_035900751.1|ASTE
OG0000020	LOC6730019|XP_002105313.2|DSIM, LOC6735524|XP_016028869.1|DSIM	LOC118507513|XP_035901949.1|ASTE
OG0000020	LOC27207807|XP_039147183.1|DSIM, LOC6733705|XP_002080752.3|DSIM, LOC6731489|XP_016024167.1|DSIM, LOC6727407|XP_016033953.2|DSIM, LOC6728507|XP_016035147.1|DSIM, LOC6733023|XP_016025710.1|DSIM, LOC6732748|XP_016025473.2|DSIM	LOC118509588|XP_035906253.1|ASTE
OG0000021	LOC6725592|XP_039153232.1|DSIM	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE
OG0000021	LOC6729419|XP_002104734.2|DSIM, LOC6728358|XP_016034980.1|DSIM, LOC6726014|XP_016039394.1|DSIM	LOC118505796|XP_035898023.1|ASTE
OG0000022	LOC27206614|XP_039147853.1|DSIM, LOC6736292|XP_002083176.1|DSIM, LOC6736297|XP_002083181.2|DSIM, LOC27207162|XP_016029777.2|DSIM, LOC120284703|XP_039149016.1|DSIM, LOC6736296|XP_002083180.1|DSIM, LOC27206641|XP_016022646.2|DSIM, LOC6739595|XP_002076490.1|DSIM, LOC27207148|XP_016029776.1|DSIM	LOC118510588|XP_035908481.1|ASTE
OG0000023	LOC6727100|XP_002102493.1|DSIM, LOC6727104|XP_002102497.2|DSIM, LOC6727107|XP_016033584.1|DSIM, LOC6735713|XP_002082629.1|DSIM, LOC6727106|XP_039151383.1|DSIM, LOC6727099|XP_002102492.1|DSIM, LOC6727095|XP_016033580.1|DSIM, LOC6727097|XP_002102490.1|DSIM, LOC6727094|XP_016033578.1|DSIM	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE
OG0000024	LOC6733991|XP_002081035.1|DSIM, LOC120284488|XP_039148839.1|DSIM, LOC6739389|XP_002076289.1|DSIM, LOC27209398|XP_016027021.1|DSIM, LOC6733990|XP_002081034.2|DSIM, LOC6732909|XP_002080014.1|DSIM, LOC6733989|XP_002081033.1|DSIM, LOC6739427|XP_002076329.1|DSIM	LOC118507315|XP_035901591.1|ASTE
OG0000025	LOC27207833|XP_016038650.1|DSIM	LOC118503683|XP_035893118.1|ASTE, LOC118514136|XP_035916629.1|ASTE
OG0000025	LOC120285797|XP_039154346.1|DSIM	LOC118509777|XP_035906810.1|ASTE
OG0000026	LOC6725713|XP_002106716.1|DSIM, LOC6726897|XP_002102299.1|DSIM, LOC6727211|XP_002102603.1|DSIM	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE, LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE
OG0000027	LOC6731383|XP_002078536.1|DSIM, LOC6731386|XP_002078539.1|DSIM, LOC6731384|XP_002078537.1|DSIM	LOC118509266|XP_035905509.1|ASTE, LOC118512970|XP_035914090.1|ASTE, LOC118509804|XP_035906835.1|ASTE, LOC118509855|XP_035906957.1|ASTE
OG0000028	LOC120284825|XP_039150147.1|DSIM, LOC120284826|XP_039150148.1|DSIM, LOC6738682|XP_016032507.2|DSIM, LOC120284824|XP_039150146.1|DSIM, LOC27207609|XP_039150149.1|DSIM, LOC6738680|XP_039149230.1|DSIM, LOC6738681|XP_016032508.2|DSIM, LOC120284827|XP_039150150.1|DSIM, LOC120284696|XP_039148939.1|DSIM	LOC118513512|XP_035915261.1|ASTE
OG0000029	LOC6739710|XP_002076603.1|DSIM, LOC6733757|XP_002080801.1|DSIM, LOC6735151|XP_002082126.1|DSIM, LOC6731526|XP_002078674.1|DSIM, LOC6731962|XP_016024641.1|DSIM, LOC6728974|XP_002104302.1|DSIM, LOC27208471|XP_016032409.1|DSIM	LOC118509963|XP_035907235.1|ASTE, LOC118504435|XP_035894769.1|ASTE, LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE, LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE
OG0000031	LOC6732472|XP_016025109.1|DSIM, LOC27206502|XP_016025100.2|DSIM, LOC6732447|XP_002079568.2|DSIM, LOC6736718|XP_002083574.1|DSIM, LOC6730782|XP_002077950.2|DSIM, LOC6733504|XP_016026473.1|DSIM	LOC118503726|XP_035893229.1|ASTE, LOC118504892|XP_035895844.1|ASTE, LOC118503724|XP_035893221.1|ASTE
OG0000032	LOC6728385|XP_016034993.2|DSIM, LOC6728379|XP_016034990.1|DSIM, LOC6728383|XP_002103731.2|DSIM, LOC6728381|XP_016034991.1|DSIM, LOC6728387|XP_039151488.1|DSIM, LOC6728378|XP_002103726.1|DSIM	LOC118503124|XP_035891971.1|ASTE, LOC118503002|XP_035891706.1|ASTE, LOC118503126|XP_035891972.1|ASTE, LOC118503003|XP_035891707.1|ASTE, LOC118503000|XP_035891703.1|ASTE, LOC118502999|XP_035891702.1|ASTE, LOC118504242|XP_035894357.1|ASTE
OG0000034	LOC6734824|XP_002081826.2|DSIM, LOC6732560|XP_002079679.3|DSIM, LOC6732561|XP_002079680.1|DSIM, LOC27209034|XP_016025242.1|DSIM, LOC6732919|XP_002080023.2|DSIM, LOC6728308|XP_016034943.1|DSIM, LOC6728309|XP_016034944.1|DSIM, LOC6731186|XP_002078345.3|DSIM	LOC118512083|XP_035911935.1|ASTE, LOC118512076|XP_035911906.1|ASTE, LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE
OG0000036	LOC6727116|XP_002102509.1|DSIM	LOC118505450|XP_035897142.1|ASTE
OG0000036	LOC6727985|XP_002103337.2|DSIM	LOC118502424|XP_035890544.1|ASTE
OG0000037	LOC6735171|XP_016028454.1|DSIM, LOC6727491|XP_002102871.2|DSIM, LOC6727490|XP_002102870.2|DSIM	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE
OG0000038	LOC6738693|XP_002085495.1|DSIM	LOC118510894|XP_035909171.1|ASTE
OG0000038	LOC6738696|XP_016032514.1|DSIM	LOC118510898|XP_035909176.1|ASTE
OG0000039	LOC6726964|XP_002102366.2|DSIM	LOC118509581|XP_035906243.1|ASTE, LOC118509576|XP_035906238.1|ASTE, LOC118509578|XP_035906240.1|ASTE, LOC118509580|XP_035906242.1|ASTE, LOC118509577|XP_035906239.1|ASTE, LOC118509579|XP_035906241.1|ASTE, LOC118509582|XP_035906245.1|ASTE, LOC118512924|XP_035913974.1|ASTE, LOC118504616|XP_035895189.1|ASTE, LOC118504617|XP_035895190.1|ASTE
OG0000041	LOC6729586|XP_002104894.1|DSIM, LOC6740781|XP_016036235.1|DSIM, LOC6729587|XP_002104895.1|DSIM, LOC6729591|XP_002104899.1|DSIM, LOC6729588|XP_016036234.1|DSIM, LOC6729589|XP_002104897.1|DSIM, LOC6729598|XP_002104906.1|DSIM, LOC6729596|XP_002104904.1|DSIM, LOC6729597|XP_016036238.1|DSIM	LOC118502651|XP_035890993.1|ASTE
OG0000043	LOC27207593|XP_016035207.2|DSIM, LOC6728570|XP_016035206.2|DSIM, LOC6728571|XP_002103912.1|DSIM, LOC6728574|XP_002103915.1|DSIM, LOC6728568|XP_002103909.1|DSIM, LOC6728566|XP_002103907.3|DSIM, LOC6730335|XP_016037102.1|DSIM	LOC118514201|XP_035916783.1|ASTE
OG0000047	LOC6734785|XP_039147648.1|DSIM, LOC6734782|XP_002081785.2|DSIM, LOC6734347|XP_002081368.2|DSIM, LOC27206290|XP_016031336.1|DSIM, LOC6734356|XP_002081377.1|DSIM, LOC6737553|XP_016031338.1|DSIM	LOC118514097|XP_035916530.1|ASTE
OG0000048	LOC6738290|XP_002085101.1|DSIM, LOC6738287|XP_039149226.1|DSIM, LOC6738291|XP_002085102.1|DSIM	LOC118510295|XP_035907813.1|ASTE
OG0000049	LOC6727737|XP_002103099.1|DSIM, LOC6727734|XP_002103096.1|DSIM, LOC6727738|XP_002103100.1|DSIM, LOC6727740|XP_002103102.1|DSIM, LOC6727739|XP_002103101.1|DSIM, LOC6727733|XP_002103095.1|DSIM	LOC118510116|XP_035907473.1|ASTE, LOC118516340|XP_035918044.1|ASTE, LOC118511361|XP_035910216.1|ASTE, LOC118511360|XP_035910215.1|ASTE, LOC118516348|XP_035918056.1|ASTE
OG0000051	LOC6728912|XP_016035601.1|DSIM, LOC6728321|XP_002103670.1|DSIM, LOC6728085|XP_002103437.1|DSIM, LOC6728404|XP_039151489.1|DSIM	LOC118504525|XP_035894960.1|ASTE, LOC118504587|XP_035895135.1|ASTE, LOC118504592|XP_035895145.1|ASTE, LOC118504595|XP_035895149.1|ASTE
OG0000053	LOC6733546|XP_002080601.2|DSIM, LOC6733544|XP_016026500.1|DSIM, LOC6733543|XP_002080598.2|DSIM	LOC118503243|XP_035892157.1|ASTE, LOC118503347|XP_035892412.1|ASTE, LOC118503346|XP_035892410.1|ASTE
OG0000054	LOC6727939|XP_039151973.1|DSIM, LOC6727938|XP_016034544.1|DSIM, LOC6727936|XP_002103291.1|DSIM, LOC6727937|XP_016034543.1|DSIM	LOC118511291|XP_035910092.1|ASTE, LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE, LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE, LOC118512788|XP_035913599.1|ASTE, LOC118512789|XP_035913600.1|ASTE
OG0000055	LOC6730204|XP_002105489.1|DSIM, LOC6730202|XP_002105487.1|DSIM, LOC6730203|XP_002105488.1|DSIM	LOC118508181|XP_035903635.1|ASTE, LOC118509864|XP_035906979.1|ASTE
OG0000056	LOC6729191|XP_016035843.1|DSIM, LOC6729192|XP_016035844.1|DSIM, LOC6729193|XP_002104514.1|DSIM, LOC6729195|XP_002104516.1|DSIM, LOC6729194|XP_002104515.1|DSIM, LOC6728632|XP_002103973.1|DSIM, LOC6728631|XP_016035267.1|DSIM	LOC118507841|XP_035902865.1|ASTE
OG0000058	LOC6735235|XP_016028557.1|DSIM, LOC6732889|XP_002079994.1|DSIM, LOC6735234|XP_002082207.1|DSIM, LOC6735232|XP_002082205.1|DSIM, LOC6731187|XP_002078346.1|DSIM, LOC6725215|XP_002106238.1|DSIM	LOC118513234|XP_035914678.1|ASTE, LOC118509609|XP_035906312.1|ASTE
OG0000060	LOC6740094|XP_016039113.1|DSIM	LOC118506293|XP_035899121.1|ASTE
OG0000060	LOC27206381|XP_016037061.1|DSIM	LOC118514292|XP_035916947.1|ASTE
OG0000060	LOC6725775|XP_002106774.1|DSIM, LOC6730742|XP_002077910.1|DSIM	LOC118509485|XP_035906030.1|ASTE
OG0000062	LOC6740030|XP_002076916.1|DSIM, LOC6732805|XP_002079918.1|DSIM, LOC6726783|XP_002102191.1|DSIM, LOC6732806|XP_002079919.1|DSIM, LOC27208526|XP_016023428.1|DSIM, LOC27209077|XP_016023423.1|DSIM	LOC118512947|XP_035914059.1|ASTE
OG0000067	LOC6727258|XP_016033773.1|DSIM, LOC6736894|XP_016030541.1|DSIM	LOC118517599|XP_035919781.1|ASTE, LOC118517600|XP_035919782.1|ASTE, LOC118517598|XP_035919779.1|ASTE
OG0000067	LOC6738999|XP_016032827.1|DSIM	LOC118509032|XP_035904963.1|ASTE
OG0000068	LOC6738497|XP_016032344.1|DSIM, LOC6727391|XP_016033933.1|DSIM, LOC120284775|XP_039149541.1|DSIM, LOC6738508|XP_039149536.1|DSIM, LOC6735356|XP_016028689.1|DSIM, LOC6726193|XP_016040252.1|DSIM	LOC118509544|XP_035906185.1|ASTE, LOC118509545|XP_035906187.1|ASTE, LOC118512181|XP_035912164.1|ASTE, LOC118504040|XP_035893930.1|ASTE, LOC118504041|XP_035893931.1|ASTE, LOC118505785|XP_035897988.1|ASTE
OG0000070	LOC6731198|XP_002078357.1|DSIM, LOC6724811|XP_016037593.1|DSIM, LOC6731197|XP_016023746.1|DSIM, LOC6739846|XP_002076739.1|DSIM	LOC118514552|XP_035917436.1|ASTE, LOC118514553|XP_035917437.1|ASTE
OG0000071	LOC6737710|XP_039150099.1|DSIM	LOC118507755|XP_035902660.1|ASTE
OG0000071	LOC6737960|XP_016031706.1|DSIM, LOC6737959|XP_039149304.1|DSIM, LOC6737961|XP_002084777.1|DSIM	LOC118508078|XP_035903435.1|ASTE, LOC118512339|XP_035912519.1|ASTE, LOC118508073|XP_035903430.1|ASTE, LOC118508077|XP_035903434.1|ASTE, LOC118508075|XP_035903432.1|ASTE, LOC118508072|XP_035903428.1|ASTE
OG0000072	LOC6734771|XP_002081774.1|DSIM, LOC6734779|XP_002081782.1|DSIM, LOC6734773|XP_016027978.1|DSIM	LOC118515883|XP_035917965.1|ASTE, LOC118514335|XP_035917037.1|ASTE, LOC118511004|XP_035909412.1|ASTE, LOC118509229|XP_035905431.1|ASTE
OG0000073	LOC6735060|XP_016028345.1|DSIM	LOC118508175|XP_035903617.1|ASTE
OG0000073	LOC27206379|XP_039153085.1|DSIM	LOC118504541|XP_035895010.1|ASTE, LOC118504546|XP_035895042.1|ASTE
OG0000073	LOC6739755|XP_039150533.1|DSIM	LOC118506813|XP_035900364.1|ASTE
OG0000074	LOC6736960|XP_002083807.1|DSIM, LOC27206301|XP_016032324.1|DSIM	LOC118516380|XP_035918125.1|ASTE, LOC118512784|XP_035913591.1|ASTE, LOC118510203|XP_035907633.1|ASTE, LOC118512755|XP_035913538.1|ASTE, LOC118516368|XP_035918114.1|ASTE, LOC118512757|XP_035913540.1|ASTE, LOC118512754|XP_035913537.1|ASTE, LOC118516371|XP_035918117.1|ASTE, LOC118516372|XP_035918118.1|ASTE, LOC118516374|XP_035918120.1|ASTE, LOC118512758|XP_035913541.1|ASTE, LOC118516373|XP_035918119.1|ASTE, LOC118512753|XP_035913536.1|ASTE, LOC118512756|XP_035913539.1|ASTE, LOC118516369|XP_035918115.1|ASTE, LOC118512737|XP_035913495.1|ASTE, LOC118513110|XP_035914403.1|ASTE, LOC118513102|XP_035914396.1|ASTE, LOC118513101|XP_035914395.1|ASTE, LOC118513100|XP_035914394.1|ASTE
OG0000076	LOC6736800|XP_016030455.1|DSIM	LOC118512277|XP_035912363.1|ASTE, LOC118517163|XP_035918937.1|ASTE
OG0000076	LOC6726415|XP_002107372.3|DSIM	LOC118504620|XP_035895194.1|ASTE
OG0000077	LOC6735263|XP_002082233.1|DSIM	LOC118507281|XP_035901485.1|ASTE
OG0000077	LOC6728793|XP_002104128.1|DSIM	LOC118512454|XP_035912813.1|ASTE
OG0000077	LOC27208378|XP_016029441.1|DSIM	LOC118506025|XP_035898529.1|ASTE
OG0000077	LOC6739786|XP_016036667.1|DSIM	LOC118511962|XP_035911578.1|ASTE
OG0000078	LOC6735299|XP_002082259.1|DSIM, LOC6739023|XP_002085818.1|DSIM, LOC6727087|XP_002102484.1|DSIM, LOC6727351|XP_016040222.1|DSIM, LOC6726287|XP_002107248.2|DSIM	LOC118506363|XP_035899271.1|ASTE
OG0000080	LOC6734869|XP_002081870.3|DSIM, LOC6734871|XP_039147232.1|DSIM, LOC6734800|XP_002081803.1|DSIM	LOC118508460|XP_035904157.1|ASTE, LOC118508462|XP_035904160.1|ASTE
OG0000082	LOC6735734|XP_016029105.1|DSIM, LOC6729147|XP_002104468.1|DSIM, LOC6728152|XP_002103502.1|DSIM	LOC118507692|XP_035902418.1|ASTE, LOC118513643|XP_035915603.1|ASTE, LOC118517141|XP_035918892.1|ASTE, LOC118513644|XP_035915604.1|ASTE, LOC118513645|XP_035915605.1|ASTE
OG0000083	LOC6731833|XP_002078968.2|DSIM, LOC6731564|XP_002078705.1|DSIM, LOC6731563|XP_016024230.1|DSIM, LOC6731560|XP_002078701.1|DSIM, LOC6731562|XP_016024229.1|DSIM, LOC6731834|XP_002078969.1|DSIM	LOC118512490|XP_035912888.1|ASTE, LOC118512492|XP_035912890.1|ASTE, LOC118512491|XP_035912889.1|ASTE
OG0000084	LOC6735164|XP_016028449.1|DSIM	LOC118507487|XP_035901904.1|ASTE, LOC118509025|XP_035904952.1|ASTE, LOC118504703|XP_035895429.1|ASTE, LOC118508829|XP_035904468.1|ASTE, LOC118509024|XP_035904951.1|ASTE, LOC118509023|XP_035904949.1|ASTE, LOC118513092|XP_035914386.1|ASTE
OG0000084	LOC6734690|XP_002081697.1|DSIM	LOC118503417|XP_035892550.1|ASTE
OG0000085	LOC6733406|XP_039148680.1|DSIM	LOC118513044|XP_035914229.1|ASTE
OG0000086	LOC6735244|XP_002082217.1|DSIM	LOC118508907|XP_035904661.1|ASTE
OG0000087	LOC6731703|XP_002078839.2|DSIM	LOC118511163|XP_035909795.1|ASTE, LOC118511165|XP_035909796.1|ASTE, LOC118511162|XP_035909794.1|ASTE, LOC118511161|XP_035909793.1|ASTE
OG0000088	LOC6733235|XP_016026114.1|DSIM	LOC118503330|XP_035892383.1|ASTE
OG0000089	LOC6727037|XP_002102435.1|DSIM, LOC6727103|XP_002102496.1|DSIM	LOC118505310|XP_035896841.1|ASTE
OG0000089	LOC6737468|XP_002084304.1|DSIM	LOC118511372|XP_035910259.1|ASTE, LOC118511382|XP_035910282.1|ASTE
OG0000090	LOC6733740|XP_002080786.2|DSIM, LOC6733746|XP_016026706.1|DSIM, LOC6736772|XP_002083628.1|DSIM, LOC6736298|XP_016029779.1|DSIM	LOC118506264|XP_035899059.1|ASTE
OG0000091	LOC6730014|XP_016036778.1|DSIM	LOC118507859|XP_035902942.1|ASTE
OG0000091	LOC6732003|XP_016024679.1|DSIM, LOC6727564|XP_016034162.1|DSIM, LOC6727565|XP_016034164.1|DSIM	LOC118505600|XP_035897520.1|ASTE, LOC118516561|XP_035918412.1|ASTE
OG0000093	LOC6731455|XP_016024109.1|DSIM	LOC118510780|XP_035908957.1|ASTE
OG0000094	LOC6737538|XP_002084373.2|DSIM, LOC6726915|XP_002102317.1|DSIM	LOC118502720|XP_035891168.1|ASTE, LOC118506771|XP_035900263.1|ASTE, LOC118514681|XP_035917717.1|ASTE, LOC118516006|XP_035918152.1|ASTE
OG0000096	LOC6732786|XP_016025498.1|DSIM, LOC6732455|XP_002079575.1|DSIM, LOC6728671|XP_016035335.1|DSIM, LOC6732853|XP_002079963.2|DSIM	LOC118514595|XP_035917485.1|ASTE
OG0000098	LOC6728369|XP_002103717.1|DSIM	LOC118506462|XP_035899533.1|ASTE
OG0000099	LOC6724923|XP_016037782.1|DSIM	LOC118502385|XP_035890500.1|ASTE, LOC118506916|XP_035900604.1|ASTE, LOC118506914|XP_035900601.1|ASTE
OG0000101	LOC27207534|XP_016032499.1|DSIM, LOC27207047|XP_016032497.2|DSIM, LOC6738674|XP_016032493.2|DSIM, LOC120284835|XP_039150176.1|DSIM	LOC118510504|XP_035908303.1|ASTE
OG0000102	LOC6735023|XP_002082004.1|DSIM	LOC118509466|XP_035905987.1|ASTE, LOC118511833|XP_035911269.1|ASTE, LOC118509016|XP_035904927.1|ASTE, LOC118509017|XP_035904928.1|ASTE, LOC118511825|XP_035911262.1|ASTE, LOC118511824|XP_035911261.1|ASTE
OG0000102	LOC6733641|XP_016026602.1|DSIM, LOC6735806|XP_002082719.1|DSIM	LOC118504365|XP_035894655.1|ASTE
OG0000103	LOC6737362|XP_002084200.1|DSIM, LOC6738500|XP_002085306.1|DSIM, LOC27207409|XP_016032345.1|DSIM, LOC6733940|XP_016026992.1|DSIM	LOC118508203|XP_035903666.1|ASTE
OG0000105	LOC6727357|XP_002102742.2|DSIM, LOC6737448|XP_039150302.1|DSIM, LOC6737449|XP_002084285.3|DSIM, LOC6728924|XP_002104252.1|DSIM, LOC6728929|XP_002104257.2|DSIM, LOC6728930|XP_002104258.1|DSIM	LOC118506605|XP_035899865.1|ASTE
OG0000108	LOC120284850|XP_039150333.1|DSIM, LOC120285215|XP_039152117.1|DSIM, LOC120284823|XP_039150137.1|DSIM	LOC118509668|XP_035906547.1|ASTE, LOC118509663|XP_035906533.1|ASTE
OG0000109	LOC6731858|XP_002078993.1|DSIM, LOC6731857|XP_016024540.1|DSIM	LOC118505426|XP_035897081.1|ASTE, LOC118502869|XP_035891469.1|ASTE
OG0000109	LOC6731848|XP_016024531.1|DSIM, LOC27208206|XP_016024529.1|DSIM	LOC118504419|XP_035894746.1|ASTE
OG0000110	LOC6737135|XP_002083982.1|DSIM, LOC6737136|XP_002083983.2|DSIM, LOC6737137|XP_002083984.1|DSIM, LOC6737138|XP_002083985.1|DSIM	LOC118511309|XP_035910114.1|ASTE, LOC118511304|XP_035910107.1|ASTE
OG0000111	LOC6735301|XP_002082261.1|DSIM, LOC6735304|XP_002082264.1|DSIM, LOC6739475|XP_002076375.1|DSIM	LOC118504874|XP_035895818.1|ASTE, LOC118503662|XP_035893080.1|ASTE, LOC118503161|XP_035892015.1|ASTE, LOC118504876|XP_035895821.1|ASTE, LOC118507965|XP_035903187.1|ASTE, LOC118507089|XP_035900970.1|ASTE, LOC118503024|XP_035891741.1|ASTE
OG0000112	LOC6726584|XP_002107536.1|DSIM, LOC6726167|XP_002107143.1|DSIM, LOC6726553|XP_002107507.1|DSIM, LOC6726552|XP_002107506.1|DSIM	LOC118509575|XP_035906237.1|ASTE, LOC118516425|XP_035918189.1|ASTE, LOC118509754|XP_035906778.1|ASTE
OG0000113	LOC6732644|XP_016025356.2|DSIM, LOC6731264|XP_002078422.2|DSIM, LOC6734348|XP_002081369.1|DSIM, LOC6726892|XP_002102294.1|DSIM	LOC118512990|XP_035914139.1|ASTE
OG0000114	LOC27208211|XP_016024714.1|DSIM, LOC27207189|XP_016024713.1|DSIM, LOC27207795|XP_016024715.1|DSIM	LOC118509008|XP_035904916.1|ASTE
OG0000117	LOC6732271|XP_016024938.1|DSIM, LOC6732270|XP_002079399.2|DSIM, LOC27208966|XP_016024937.1|DSIM, LOC6732269|XP_002079398.1|DSIM	LOC118502432|XP_035890553.1|ASTE, LOC118506535|XP_035899700.1|ASTE
OG0000118	LOC6731055|XP_039150598.1|DSIM, LOC6732291|XP_002079420.1|DSIM	LOC118502409|XP_035890526.1|ASTE
OG0000119	LOC6728692|XP_002104028.2|DSIM, LOC6728690|XP_016035360.2|DSIM, LOC6728691|XP_002104027.1|DSIM	LOC118504397|XP_035894696.1|ASTE, LOC118507360|XP_035901665.1|ASTE, LOC118510253|XP_035907732.1|ASTE, LOC118504396|XP_035894695.1|ASTE
OG0000120	LOC6724797|XP_002105838.1|DSIM	LOC118509359|XP_035905774.1|ASTE
OG0000120	LOC6734025|XP_016027044.1|DSIM	LOC118512861|XP_035913838.1|ASTE
OG0000121	LOC6725520|XP_002106533.1|DSIM, LOC6728083|XP_002103435.1|DSIM, LOC6728081|XP_002103433.1|DSIM, LOC6728082|XP_002103434.1|DSIM	LOC118504430|XP_035894762.1|ASTE
