Orthogroup	DSIM.longest_only	DMIR.longest_only
OG0000002	LOC6731201|XP_002078360.1|DSIM	LOC108161232|XP_017150945.1|DMIR
OG0000003	LOC6734558|XP_002081567.1|DSIM, LOC6734560|XP_016027665.1|DSIM	LOC108160528|XP_017150077.1|DMIR
OG0000003	LOC6729847|XP_016036585.1|DSIM, LOC6734561|XP_002081570.1|DSIM	LOC108160529|XP_017150078.1|DMIR
OG0000003	LOC6733269|XP_002080332.1|DSIM	LOC108160375|XP_017149841.1|DMIR
OG0000003	LOC6734555|XP_002081564.3|DSIM	LOC108160594|XP_033252769.1|DMIR, LOC117187951|XP_033246844.1|DMIR, LOC108158057|XP_033247543.1|DMIR
OG0000003	LOC6734559|XP_002081568.1|DSIM	LOC108160818|XP_017150534.1|DMIR
OG0000003	LOC6734554|XP_039147555.1|DSIM	LOC108160275|XP_017149646.1|DMIR
OG0000003	LOC6733557|XP_016026506.1|DSIM	LOC117193381|XP_033253996.1|DMIR, LOC108160276|XP_017149647.1|DMIR
OG0000003	LOC6733555|XP_039148197.1|DSIM	LOC108160277|XP_033246842.1|DMIR, LOC108160733|XP_017150409.1|DMIR
OG0000003	LOC6731100|XP_002078257.3|DSIM	LOC108163634|XP_017154532.1|DMIR
OG0000006	LOC120285545|XP_039154135.1|DSIM	LOC117187301|XP_033245562.1|DMIR
OG0000006	LOC120285265|XP_039152650.1|DSIM	LOC117187297|XP_033245558.1|DMIR
OG0000006	LOC120285799|XP_039154349.1|DSIM, LOC120285544|XP_039154134.1|DSIM, LOC27208095|XP_016025859.1|DSIM, LOC120285266|XP_039152652.1|DSIM	LOC108156704|XP_017143842.2|DMIR
OG0000007	LOC6738477|XP_016032322.1|DSIM	LOC108153040|XP_017138288.1|DMIR
OG0000007	LOC6736955|XP_002083802.1|DSIM	LOC108153675|XP_017139280.1|DMIR, LOC108165331|XP_017156854.2|DMIR
OG0000007	LOC6736956|XP_002083803.1|DSIM	LOC108152481|XP_017137344.1|DMIR
OG0000007	LOC6736953|XP_002083800.1|DSIM, LOC6736951|XP_016030595.1|DSIM, LOC6736948|XP_039149135.1|DSIM, LOC120284722|XP_039149134.1|DSIM, LOC6736949|XP_002083796.1|DSIM, LOC6736952|XP_002083799.1|DSIM, LOC6736950|XP_039149136.1|DSIM, LOC120284734|XP_039149214.1|DSIM	LOC108152482|XP_017137345.1|DMIR
OG0000007	LOC6731020|XP_002078181.1|DSIM	LOC108163948|XP_017154978.1|DMIR
OG0000007	LOC6733581|XP_002080635.1|DSIM	LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR
OG0000007	LOC6731021|XP_002078182.1|DSIM	LOC108164248|XP_017155372.1|DMIR
OG0000007	LOC27206286|XP_016030986.1|DSIM	LOC108165521|XP_017157067.1|DMIR
OG0000007	LOC6731019|XP_002078180.2|DSIM	LOC108164169|XP_017155268.2|DMIR
OG0000007	LOC6736957|XP_016030597.1|DSIM	LOC108152483|XP_017137346.1|DMIR
OG0000007	LOC27207276|XP_016030598.2|DSIM	LOC108152484|XP_017137347.1|DMIR
OG0000008	LOC6727443|XP_016034017.1|DSIM	LOC108154982|XP_017141010.1|DMIR
OG0000008	LOC6736741|XP_002083597.1|DSIM	LOC108151537|XP_017135681.1|DMIR
OG0000008	LOC6736744|XP_016030372.1|DSIM	LOC108151536|XP_017135679.1|DMIR
OG0000008	LOC6732025|XP_039148682.1|DSIM	LOC108161577|XP_017151355.1|DMIR
OG0000008	LOC6736742|XP_002083598.1|DSIM	LOC108151539|XP_017135683.2|DMIR
OG0000008	LOC6726999|XP_039151364.1|DSIM, LOC120285030|XP_039151250.1|DSIM	LOC108154402|XP_017140161.1|DMIR
OG0000008	LOC6726996|XP_002102397.1|DSIM	LOC108153895|XP_033244232.1|DMIR
OG0000008	LOC6726997|XP_002102398.2|DSIM	LOC108153896|XP_017139483.1|DMIR
OG0000008	LOC6726995|XP_002102396.1|DSIM	LOC108154491|XP_017140280.1|DMIR
OG0000009	LOC6727419|XP_002102801.1|DSIM	LOC108157813|XP_017145500.1|DMIR
OG0000009	LOC6727422|XP_002102804.2|DSIM	LOC108154360|XP_017140115.1|DMIR
OG0000009	LOC6727423|XP_016033975.1|DSIM, LOC6727420|XP_002102802.1|DSIM	LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR
OG0000009	LOC6736925|XP_002083772.1|DSIM, LOC6736926|XP_002083773.1|DSIM	LOC108157842|XP_017145534.1|DMIR, LOC108157418|XP_017144958.2|DMIR, LOC108157419|XP_017144960.2|DMIR, LOC108154524|XP_017140312.1|DMIR
OG0000009	LOC6736062|XP_002082963.1|DSIM	LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR
OG0000009	LOC6728414|XP_016035007.1|DSIM	LOC108154377|XP_017140130.1|DMIR
OG0000009	LOC6734157|XP_002081186.1|DSIM	LOC108160943|XP_017150721.1|DMIR
OG0000009	LOC6734155|XP_002081184.1|DSIM, LOC6734156|XP_002081185.1|DSIM	LOC108158336|XP_017146065.1|DMIR
OG0000010	LOC120285280|XP_039152696.1|DSIM	LOC108156705|XP_033245573.1|DMIR
OG0000010	LOC120285281|XP_039152698.1|DSIM, LOC120285287|XP_039152722.1|DSIM, LOC120285553|XP_039154144.1|DSIM, LOC120285282|XP_039152699.1|DSIM	LOC117187315|XP_033245579.1|DMIR, LOC108156795|XP_017143963.1|DMIR
OG0000010	LOC6728075|XP_016034694.1|DSIM	LOC117187316|XP_033245580.1|DMIR
OG0000011	LOC6730832|XP_016023246.1|DSIM, LOC6730831|XP_002077997.2|DSIM, LOC27207823|XP_016023441.1|DSIM, LOC27206207|XP_039149631.1|DSIM, LOC27208543|XP_016037023.1|DSIM, LOC27207879|XP_016023440.1|DSIM, LOC27208182|XP_016025194.2|DSIM, LOC6732545|XP_016025201.1|DSIM, LOC6725826|XP_016039150.1|DSIM, LOC27206349|XP_016039152.1|DSIM	LOC117185695|XP_017152271.2|DMIR, LOC108163065|XP_017153628.2|DMIR, LOC117188829|XP_033249173.1|DMIR, LOC108161855|XP_033249172.1|DMIR, LOC108164675|XP_017156017.1|DMIR, LOC108162189|XP_033249910.1|DMIR, LOC108162187|XP_017152275.1|DMIR, LOC108162186|XP_017152273.1|DMIR, LOC117188852|XP_033249240.1|DMIR, LOC108161557|XP_017151330.1|DMIR, LOC108163629|XP_017154523.1|DMIR, LOC108162188|XP_017152278.1|DMIR, LOC108163972|XP_017155018.1|DMIR, LOC117185693|XP_017154036.1|DMIR, LOC117188957|XP_033249531.1|DMIR, LOC108162812|XP_017153212.1|DMIR, LOC108163322|XP_033249532.1|DMIR, LOC108162815|XP_017153219.1|DMIR
OG0000011	LOC6737998|XP_002084813.2|DSIM	LOC108165384|XP_017156911.1|DMIR
OG0000011	LOC27206230|XP_016031794.1|DSIM	LOC108153161|XP_017138453.1|DMIR
OG0000011	LOC6728756|XP_002104091.1|DSIM	LOC108154131|XP_017139754.1|DMIR
OG0000012	LOC6735247|XP_016028572.1|DSIM	LOC108159199|XP_017147755.1|DMIR
OG0000012	LOC6735246|XP_016028570.1|DSIM	LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR
OG0000012	LOC6735245|XP_016028569.1|DSIM	LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR
OG0000012	LOC6735248|XP_016028574.1|DSIM	LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR
OG0000012	LOC6735250|XP_002082223.1|DSIM	LOC108161008|XP_017150804.1|DMIR, LOC117185969|XP_033248320.1|DMIR, LOC108157993|XP_033248087.1|DMIR
OG0000012	LOC6735249|XP_016028575.1|DSIM	LOC108160910|XP_017150675.1|DMIR
OG0000012	LOC6734131|XP_002081160.1|DSIM	LOC108158925|XP_017147218.1|DMIR
OG0000012	LOC6734132|XP_016027145.1|DSIM	LOC108158929|XP_017147224.1|DMIR
OG0000012	LOC6734133|XP_002081162.3|DSIM, LOC6734134|XP_016027146.1|DSIM	LOC108158928|XP_017147221.1|DMIR
OG0000012	LOC6734135|XP_002081164.1|DSIM	LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR
OG0000012	LOC6734136|XP_016027147.1|DSIM	LOC108158927|XP_017147219.1|DMIR
OG0000013	LOC6734455|XP_002081474.1|DSIM	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR
OG0000013	LOC6725717|XP_016038992.1|DSIM	LOC108152903|XP_017138042.1|DMIR
OG0000013	LOC6728006|XP_016034604.1|DSIM	LOC108157123|XP_017144495.1|DMIR, LOC108156384|XP_017143289.1|DMIR
OG0000013	LOC6737992|XP_016031791.1|DSIM	LOC108151516|XP_033243870.1|DMIR
OG0000013	LOC6729335|XP_016035977.1|DSIM	LOC108154911|XP_017140853.2|DMIR, LOC117187087|XP_033244842.1|DMIR
OG0000013	LOC120284969|XP_039150774.1|DSIM, LOC6728340|XP_016022730.2|DSIM, LOC6728451|XP_039151887.1|DSIM, LOC27206470|XP_016035065.1|DSIM	LOC117187120|XP_033245008.1|DMIR, LOC117187121|XP_033245009.1|DMIR, LOC108154243|XP_017139966.2|DMIR, LOC108154002|XP_033245010.1|DMIR
OG0000014	LOC120285345|XP_039153408.1|DSIM	LOC117186505|XP_033243277.1|DMIR
OG0000014	LOC120285375|XP_039153883.1|DSIM	LOC117193488|XP_033254130.1|DMIR
OG0000014	LOC120284347|XP_039147384.1|DSIM	LOC117187335|XP_033245659.1|DMIR
OG0000015	LOC27206160|XP_016027033.1|DSIM	LOC117189153|XP_033250113.1|DMIR, LOC108162329|XP_017152508.1|DMIR, LOC108162330|XP_017152509.1|DMIR
OG0000016	LOC6728214|XP_016034853.1|DSIM	LOC108156024|XP_017142762.1|DMIR
OG0000016	LOC6735456|XP_002082396.1|DSIM	LOC108160302|XP_017149703.1|DMIR, LOC117190705|XP_033251658.1|DMIR
OG0000016	LOC6728317|XP_002103666.1|DSIM	LOC108155657|XP_017142098.1|DMIR
OG0000016	LOC6734815|XP_016028043.1|DSIM	LOC108159552|XP_017148467.1|DMIR, LOC117192977|XP_033253595.1|DMIR
OG0000016	LOC6725225|XP_016038239.1|DSIM	LOC108154361|XP_017140118.1|DMIR
OG0000016	LOC6733183|XP_016026067.1|DSIM	LOC117193102|XP_033253716.1|DMIR, LOC117194496|XP_033254943.1|DMIR, LOC117195216|XP_033255740.1|DMIR, LOC108159228|XP_017147821.1|DMIR
OG0000016	LOC6727955|XP_016034553.1|DSIM	LOC108156493|XP_017143475.1|DMIR
OG0000016	LOC6739089|XP_016032930.1|DSIM	LOC108150995|XP_017134834.1|DMIR
OG0000017	LOC6740020|XP_002076907.2|DSIM	LOC108153009|XP_017138281.1|DMIR
OG0000017	LOC6733445|XP_002080502.2|DSIM	LOC108160150|XP_017149453.1|DMIR
OG0000017	LOC6733173|XP_002080249.1|DSIM	LOC108159969|XP_017149141.1|DMIR, LOC108158038|XP_017145672.2|DMIR
OG0000017	LOC6729887|XP_002105190.2|DSIM	LOC108154022|XP_017139603.2|DMIR, LOC117191555|XP_033252276.1|DMIR
OG0000017	LOC6735880|XP_002082790.1|DSIM	LOC108160759|XP_017150448.1|DMIR
OG0000017	LOC6733175|XP_002080251.2|DSIM	LOC108159970|XP_017149142.1|DMIR
OG0000017	LOC6735881|XP_002082791.1|DSIM	LOC108157934|XP_017145566.1|DMIR
OG0000017	LOC6730585|XP_016023026.1|DSIM, LOC6730584|XP_002077763.1|DSIM	LOC108161535|XP_017151304.1|DMIR, LOC108161536|XP_017151305.1|DMIR, LOC108161534|XP_017151303.1|DMIR
OG0000018	LOC6736980|XP_002083827.1|DSIM	LOC108150828|XP_017134625.1|DMIR
OG0000018	LOC6736987|XP_002083834.1|DSIM	LOC108165544|XP_017157106.1|DMIR
OG0000018	LOC6736983|XP_002083830.1|DSIM	LOC108150791|XP_017134583.1|DMIR
OG0000018	LOC6736982|XP_002083829.1|DSIM	LOC108150854|XP_017134645.1|DMIR
OG0000018	LOC6736975|XP_002083822.1|DSIM, LOC120284721|XP_039149126.1|DSIM, LOC6736977|XP_016030614.1|DSIM, LOC120284720|XP_039149125.1|DSIM	LOC108150808|XP_017134601.1|DMIR, LOC108165552|XP_017157116.1|DMIR, LOC108165550|XP_017157115.1|DMIR, LOC108150800|XP_017134593.1|DMIR
OG0000019	LOC6729811|XP_002105114.1|DSIM	LOC108157046|XP_017144351.1|DMIR, LOC108157045|XP_017144349.1|DMIR, LOC108157044|XP_017144348.1|DMIR
OG0000019	LOC6729806|XP_002105109.2|DSIM	LOC108157037|XP_017144339.1|DMIR
OG0000019	LOC6729809|XP_002105112.1|DSIM	LOC108157043|XP_017144347.2|DMIR
OG0000019	LOC6729812|XP_002105115.1|DSIM, LOC6729813|XP_002105116.1|DSIM	LOC108157041|XP_017144346.1|DMIR, LOC108153982|XP_033245000.1|DMIR, LOC108157040|XP_017144345.2|DMIR
OG0000020	LOC6730019|XP_002105313.2|DSIM	LOC108156412|XP_017143346.1|DMIR
OG0000020	LOC6735524|XP_016028869.1|DSIM	LOC108159642|XP_033248178.1|DMIR
OG0000020	LOC27207807|XP_039147183.1|DSIM, LOC6733705|XP_002080752.3|DSIM, LOC6731489|XP_016024167.1|DSIM	LOC108163672|XP_017154587.1|DMIR
OG0000020	LOC6727407|XP_016033953.2|DSIM	LOC108155178|XP_017141337.1|DMIR
OG0000020	LOC6728507|XP_016035147.1|DSIM	LOC108156137|XP_017142939.1|DMIR
OG0000020	LOC6733023|XP_016025710.1|DSIM	LOC108163835|XP_033249247.1|DMIR
OG0000020	LOC6732748|XP_016025473.2|DSIM	LOC108163643|XP_017154542.1|DMIR
OG0000021	LOC6730820|XP_002077987.1|DSIM	LOC117188002|XP_033246994.1|DMIR, LOC108160898|XP_017150659.2|DMIR
OG0000021	LOC6735639|XP_002082557.1|DSIM	LOC108159581|XP_017148519.1|DMIR
OG0000021	LOC6739483|XP_002076381.1|DSIM	LOC108160670|XP_017150305.2|DMIR, LOC117188150|XP_033247446.1|DMIR
OG0000021	LOC27206609|XP_016028304.1|DSIM	LOC117185989|XP_033241901.1|DMIR, LOC108162397|XP_033252470.1|DMIR
OG0000021	LOC6725592|XP_039153232.1|DSIM	LOC108164567|XP_033246575.1|DMIR
OG0000021	LOC6729419|XP_002104734.2|DSIM	LOC108156061|XP_017142833.1|DMIR
OG0000021	LOC6728358|XP_016034980.1|DSIM	LOC108156847|XP_017144055.1|DMIR
OG0000021	LOC6726014|XP_016039394.1|DSIM	LOC108164951|XP_017156435.1|DMIR
OG0000022	LOC27206614|XP_039147853.1|DSIM	LOC108158428|XP_017146199.1|DMIR, LOC117193272|XP_033253907.1|DMIR, LOC117193269|XP_033253905.1|DMIR
OG0000022	LOC6736292|XP_002083176.1|DSIM	LOC108152468|XP_017137324.1|DMIR
OG0000022	LOC6736297|XP_002083181.2|DSIM, LOC27207162|XP_016029777.2|DSIM, LOC120284703|XP_039149016.1|DSIM, LOC6736296|XP_002083180.1|DSIM	LOC108152474|XP_017137333.2|DMIR, LOC117186204|XP_033242420.1|DMIR, LOC108152475|XP_017137334.2|DMIR
OG0000022	LOC27206641|XP_016022646.2|DSIM, LOC6739595|XP_002076490.1|DSIM	LOC108152470|XP_017137327.1|DMIR
OG0000022	LOC27207148|XP_016029776.1|DSIM	LOC108152469|XP_017137325.1|DMIR
OG0000023	LOC6727104|XP_002102497.2|DSIM	LOC108153857|XP_033244801.1|DMIR
OG0000023	LOC6727107|XP_016033584.1|DSIM	LOC108155685|XP_017142143.1|DMIR
OG0000023	LOC6735713|XP_002082629.1|DSIM	LOC108158830|XP_017147022.1|DMIR
OG0000023	LOC6727106|XP_039151383.1|DSIM	LOC108153856|XP_033244802.1|DMIR
OG0000023	LOC6727099|XP_002102492.1|DSIM	LOC108157164|XP_017144562.1|DMIR
OG0000023	LOC6727095|XP_016033580.1|DSIM	LOC108156708|XP_017143845.1|DMIR
OG0000023	LOC6727097|XP_002102490.1|DSIM	LOC108156707|XP_017143844.1|DMIR
OG0000023	LOC6727094|XP_016033578.1|DSIM	LOC108156709|XP_033245059.1|DMIR
OG0000024	LOC27209398|XP_016027021.1|DSIM	LOC108160883|XP_017150641.1|DMIR
OG0000024	LOC6733990|XP_002081034.2|DSIM	LOC117194102|XP_033254634.1|DMIR, LOC108160812|XP_017150524.1|DMIR
OG0000024	LOC6732909|XP_002080014.1|DSIM	LOC108161382|XP_017151119.1|DMIR
OG0000024	LOC6733989|XP_002081033.1|DSIM	LOC117194080|XP_033254609.1|DMIR, LOC108160979|XP_017150769.1|DMIR
OG0000024	LOC6739427|XP_002076329.1|DSIM	LOC108159455|XP_017148242.1|DMIR
OG0000025	LOC27207833|XP_016038650.1|DSIM	LOC108162357|XP_017152552.1|DMIR, LOC108157728|XP_017145391.1|DMIR
OG0000025	LOC120285797|XP_039154346.1|DSIM	LOC108156793|XP_017143960.1|DMIR
OG0000026	LOC6725654|XP_002106661.1|DSIM	LOC108150850|XP_017134646.1|DMIR
OG0000026	LOC6731167|XP_002078325.1|DSIM	LOC108162957|XP_033248732.1|DMIR
OG0000026	LOC6725713|XP_002106716.1|DSIM	LOC108165129|XP_017156683.1|DMIR
OG0000026	LOC6726897|XP_002102299.1|DSIM	LOC108157803|XP_017145484.1|DMIR, LOC108155726|XP_017142223.1|DMIR, LOC108154308|XP_017140053.1|DMIR
OG0000026	LOC6727211|XP_002102603.1|DSIM	LOC108157162|XP_017144561.1|DMIR
OG0000027	LOC6731383|XP_002078536.1|DSIM	LOC108162948|XP_017153432.1|DMIR
OG0000027	LOC6731386|XP_002078539.1|DSIM	LOC108162949|XP_017153433.1|DMIR
OG0000027	LOC6731384|XP_002078537.1|DSIM	LOC108162947|XP_017153431.1|DMIR
OG0000028	LOC6738680|XP_039149230.1|DSIM	LOC108165421|XP_017156949.1|DMIR
OG0000028	LOC120284696|XP_039148939.1|DSIM	LOC108151302|XP_017135327.1|DMIR
OG0000029	LOC6733757|XP_002080801.1|DSIM, LOC6735151|XP_002082126.1|DSIM, LOC6731526|XP_002078674.1|DSIM	LOC117191657|XP_033252354.1|DMIR, LOC108158000|XP_017145632.1|DMIR
OG0000029	LOC6731962|XP_016024641.1|DSIM, LOC6728974|XP_002104302.1|DSIM	LOC108154578|XP_017140369.1|DMIR
OG0000029	LOC27208471|XP_016032409.1|DSIM	LOC108150820|XP_017134616.1|DMIR
OG0000030	LOC6732024|XP_016024722.1|DSIM	LOC108161306|XP_017151015.1|DMIR
OG0000030	LOC6732022|XP_002079155.1|DSIM	LOC108161304|XP_017151013.1|DMIR
OG0000030	LOC6732023|XP_002079156.1|DSIM	LOC108161303|XP_017151011.1|DMIR, LOC108161305|XP_017151014.1|DMIR
OG0000030	LOC6730745|XP_002077913.2|DSIM	LOC108161162|XP_017150872.2|DMIR
OG0000030	LOC6735876|XP_002082786.1|DSIM	LOC108160793|XP_017150492.1|DMIR
OG0000030	LOC27208281|XP_039152536.1|DSIM	LOC108151546|XP_033246807.1|DMIR
OG0000030	LOC6740355|XP_002077222.1|DSIM	LOC108154542|XP_017140365.1|DMIR
OG0000031	LOC6732472|XP_016025109.1|DSIM, LOC27206502|XP_016025100.2|DSIM, LOC6732447|XP_002079568.2|DSIM	LOC108163859|XP_017154864.1|DMIR
OG0000031	LOC6736718|XP_002083574.1|DSIM, LOC6730782|XP_002077950.2|DSIM	LOC108161143|XP_033248838.1|DMIR, LOC108161141|XP_033248476.1|DMIR
OG0000031	LOC6731777|XP_016024472.1|DSIM	LOC108161610|XP_017151398.1|DMIR
OG0000032	LOC6728385|XP_016034993.2|DSIM	LOC108156619|XP_017143664.1|DMIR
OG0000032	LOC6728379|XP_016034990.1|DSIM	LOC108156621|XP_017143666.1|DMIR
OG0000032	LOC6728378|XP_002103726.1|DSIM	LOC108157634|XP_017145264.1|DMIR
OG0000033	LOC6729955|XP_039150847.1|DSIM	LOC108156558|XP_017143572.1|DMIR
OG0000033	LOC6733292|XP_016026219.1|DSIM	LOC117189759|XP_033250731.1|DMIR, LOC108159420|XP_017148176.1|DMIR
OG0000033	LOC6733297|XP_016026220.1|DSIM	LOC117187710|XP_033246345.1|DMIR, LOC108159419|XP_017148175.2|DMIR
OG0000033	LOC6738496|XP_002085302.1|DSIM, LOC6727186|XP_002102578.1|DSIM, LOC6727187|XP_002102579.2|DSIM, LOC6734776|XP_002081779.1|DSIM, LOC6734775|XP_016027979.1|DSIM	LOC108153999|XP_033244121.1|DMIR
OG0000034	LOC6734824|XP_002081826.2|DSIM, LOC6732560|XP_002079679.3|DSIM	LOC108164271|XP_017155403.1|DMIR
OG0000034	LOC27209034|XP_016025242.1|DSIM	LOC108164069|XP_033249364.1|DMIR
OG0000034	LOC6732919|XP_002080023.2|DSIM, LOC6728308|XP_016034943.1|DSIM, LOC6728309|XP_016034944.1|DSIM	LOC117185901|XP_033249912.1|DMIR, LOC108162133|XP_017152203.1|DMIR, LOC108162132|XP_017152201.1|DMIR
OG0000034	LOC6731186|XP_002078345.3|DSIM	LOC108162131|XP_017152200.1|DMIR
OG0000035	LOC120285681|XP_039154261.1|DSIM, LOC120285680|XP_039154260.1|DSIM, LOC120284386|XP_039147746.1|DSIM	LOC117186697|XP_033243671.1|DMIR, LOC117186386|XP_033243001.1|DMIR, LOC117186599|XP_033243470.1|DMIR
OG0000036	LOC6727116|XP_002102509.1|DSIM	LOC108157733|XP_017145397.1|DMIR
OG0000036	LOC6727985|XP_002103337.2|DSIM	LOC117187198|XP_033245230.1|DMIR
OG0000036	LOC6726665|XP_039151600.1|DSIM	LOC108157106|XP_017144468.1|DMIR
OG0000036	LOC6729259|XP_016035909.1|DSIM, LOC6729260|XP_002104580.2|DSIM	LOC108155635|XP_017142061.1|DMIR
OG0000037	LOC6735171|XP_016028454.1|DSIM	LOC108160263|XP_017149626.1|DMIR
