Orthogroup	DVIR.longest_only	DMIR.longest_only
OG0000003	LOC6627946|XP_002051419.1|DVIR	LOC108163634|XP_017154532.1|DMIR
OG0000004	LOC116649797|XP_032288819.1|DVIR, LOC6636964|XP_002060406.2|DVIR, LOC6630109|XP_002053102.1|DVIR, LOC6637028|XP_032296768.1|DVIR, LOC6630078|XP_032288808.1|DVIR, LOC6630104|XP_002053097.1|DVIR, LOC6630838|XP_002053114.1|DVIR, LOC26531848|XP_015023755.2|DVIR, LOC116651593|XP_032294196.1|DVIR, LOC6627875|XP_002052272.1|DVIR, LOC6627872|XP_002052269.1|DVIR, LOC6627867|XP_002052264.1|DVIR, LOC26530598|XP_015027811.1|DVIR, LOC116649798|XP_032288820.1|DVIR	LOC108156703|XP_017143841.1|DMIR, LOC117187288|XP_033245550.1|DMIR, LOC117187289|XP_033245551.1|DMIR, LOC117187287|XP_033245549.1|DMIR, LOC117187293|XP_033245555.1|DMIR, LOC117187292|XP_033245554.1|DMIR, LOC117187295|XP_033245557.1|DMIR, LOC117187291|XP_033245553.1|DMIR, LOC117187294|XP_033245556.1|DMIR, LOC117187290|XP_033245552.1|DMIR
OG0000006	LOC6637262|XP_032288828.1|DVIR	LOC117187301|XP_033245562.1|DMIR
OG0000006	LOC6630844|XP_032294583.1|DVIR, LOC116649802|XP_032288824.1|DVIR, LOC6636961|XP_015023643.1|DVIR, LOC6636997|XP_032288831.1|DVIR, LOC6630084|XP_002053094.1|DVIR	LOC108156704|XP_017143842.2|DMIR
OG0000007	LOC6623030|XP_002046517.1|DVIR	LOC108153675|XP_017139280.1|DMIR, LOC108165331|XP_017156854.2|DMIR
OG0000007	LOC6622991|XP_032290827.1|DVIR, LOC6623031|XP_002046519.1|DVIR	LOC108152482|XP_017137345.1|DMIR
OG0000007	LOC116650729|XP_032291101.1|DVIR	LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR
OG0000007	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR	LOC108164248|XP_017155372.1|DMIR
OG0000007	LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR	LOC108165521|XP_017157067.1|DMIR, LOC108164169|XP_017155268.2|DMIR
OG0000008	LOC6629514|XP_002054585.2|DVIR	LOC108154982|XP_017141010.1|DMIR
OG0000008	LOC6623720|XP_002046325.3|DVIR	LOC108151537|XP_017135681.1|DMIR
OG0000008	LOC6622211|XP_002046327.1|DVIR	LOC108151536|XP_017135679.1|DMIR
OG0000008	LOC6627554|XP_002052288.1|DVIR	LOC108161577|XP_017151355.1|DMIR
OG0000008	LOC26531283|XP_015031719.1|DVIR	LOC108151539|XP_017135683.2|DMIR
OG0000008	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR	LOC108154402|XP_017140161.1|DMIR
OG0000008	LOC6631289|XP_002053528.2|DVIR	LOC108153895|XP_033244232.1|DMIR
OG0000008	LOC6631285|XP_002053524.1|DVIR	LOC108154515|XP_017140305.2|DMIR
OG0000008	LOC6631288|XP_002053527.1|DVIR	LOC108153896|XP_017139483.1|DMIR
OG0000008	LOC6631290|XP_002053529.1|DVIR	LOC108154491|XP_017140280.1|DMIR
OG0000009	LOC6632445|XP_002056511.1|DVIR	LOC108157813|XP_017145500.1|DMIR
OG0000009	LOC6632323|XP_002056506.1|DVIR	LOC108154360|XP_017140115.1|DMIR
OG0000009	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR	LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR
OG0000009	LOC6635767|XP_032294717.1|DVIR	LOC108157842|XP_017145534.1|DMIR, LOC108157418|XP_017144958.2|DMIR, LOC108157419|XP_017144960.2|DMIR, LOC108154524|XP_017140312.1|DMIR
OG0000009	LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR	LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR
OG0000009	LOC6626542|XP_002050752.1|DVIR	LOC108160943|XP_017150721.1|DMIR
OG0000009	LOC6628883|XP_002051663.1|DVIR	LOC108158336|XP_017146065.1|DMIR
OG0000010	LOC6637070|XP_002060485.1|DVIR, LOC116649828|XP_032288865.1|DVIR	LOC108156705|XP_033245573.1|DMIR
OG0000010	LOC116649829|XP_032288866.1|DVIR, LOC6630837|XP_002053113.1|DVIR, LOC6637215|XP_002060533.1|DVIR, LOC116649823|XP_032288859.1|DVIR, LOC6636962|XP_002060409.1|DVIR	LOC117187315|XP_033245579.1|DMIR, LOC108156795|XP_017143963.1|DMIR
OG0000010	LOC116649824|XP_032288860.1|DVIR	LOC117187312|XP_033245576.1|DMIR
OG0000010	LOC6637029|XP_002060450.1|DVIR	LOC117187316|XP_033245580.1|DMIR
OG0000011	LOC6623065|XP_002048503.2|DVIR	LOC108153161|XP_017138453.1|DMIR
OG0000011	LOC6635697|XP_002059270.2|DVIR	LOC108154131|XP_017139754.1|DMIR
OG0000012	LOC6624922|XP_002050777.1|DVIR	LOC108159199|XP_017147755.1|DMIR
OG0000012	LOC6625019|XP_002050778.1|DVIR	LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR
OG0000012	LOC6625021|XP_002050780.1|DVIR	LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR
OG0000012	LOC6624921|XP_015029085.1|DVIR	LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR
OG0000012	LOC6625066|XP_002049213.2|DVIR, LOC6625067|XP_032293151.1|DVIR, LOC6624920|XP_002050775.2|DVIR, LOC6624919|XP_002050774.2|DVIR, LOC26531760|XP_015030363.1|DVIR, LOC6627007|XP_032292288.1|DVIR, LOC6627006|XP_002050772.1|DVIR	LOC108161008|XP_017150804.1|DMIR, LOC117185969|XP_033248320.1|DMIR, LOC108157993|XP_033248087.1|DMIR, LOC108160910|XP_017150675.1|DMIR
OG0000012	LOC6627005|XP_002050771.1|DVIR	LOC108158925|XP_017147218.1|DMIR, LOC108158929|XP_017147224.1|DMIR, LOC108158928|XP_017147221.1|DMIR
OG0000012	LOC6627004|XP_002050770.1|DVIR	LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR, LOC108158927|XP_017147219.1|DMIR
OG0000013	LOC6626677|XP_002050872.1|DVIR	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR
OG0000013	LOC6633411|XP_015025597.1|DVIR	LOC108152903|XP_017138042.1|DMIR
OG0000013	LOC6630204|XP_002053707.1|DVIR	LOC108157123|XP_017144495.1|DMIR, LOC108156384|XP_017143289.1|DMIR
OG0000013	LOC6622085|XP_002048525.1|DVIR	LOC108151516|XP_033243870.1|DMIR
OG0000013	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR	LOC108154911|XP_017140853.2|DMIR, LOC117187087|XP_033244842.1|DMIR
OG0000013	LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR	LOC117187120|XP_033245008.1|DMIR, LOC117187121|XP_033245009.1|DMIR, LOC108154243|XP_017139966.2|DMIR, LOC108154002|XP_033245010.1|DMIR
OG0000014	LOC116652015|XP_032295550.1|DVIR	LOC117194202|XP_033254747.1|DMIR
OG0000014	LOC116650074|XP_032289316.1|DVIR	LOC117186505|XP_033243277.1|DMIR
OG0000014	LOC116649966|XP_032289172.1|DVIR, LOC116649899|XP_032289057.1|DVIR	LOC117193488|XP_033254130.1|DMIR
OG0000015	LOC26531562|XP_032293636.1|DVIR	LOC117189153|XP_033250113.1|DMIR, LOC108162329|XP_017152508.1|DMIR, LOC108162330|XP_017152509.1|DMIR
OG0000016	LOC6633127|XP_002056070.1|DVIR	LOC108156024|XP_017142762.1|DMIR
OG0000016	LOC116650918|XP_032291957.1|DVIR	LOC108160302|XP_017149703.1|DMIR, LOC117190705|XP_033251658.1|DMIR
OG0000016	LOC6630423|XP_002053735.1|DVIR	LOC108155657|XP_017142098.1|DMIR
OG0000016	LOC6625554|XP_002049004.2|DVIR	LOC108159552|XP_017148467.1|DMIR, LOC117192977|XP_033253595.1|DMIR
OG0000016	LOC6636049|XP_002059576.1|DVIR	LOC108154361|XP_017140118.1|DMIR
OG0000016	LOC6635861|XP_002059335.1|DVIR	LOC117193102|XP_033253716.1|DMIR, LOC117194496|XP_033254943.1|DMIR, LOC117195216|XP_033255740.1|DMIR, LOC108159228|XP_017147821.1|DMIR
OG0000016	LOC6631018|XP_002054294.1|DVIR	LOC108156493|XP_017143475.1|DMIR
OG0000016	LOC6623693|XP_002048319.1|DVIR	LOC108150995|XP_017134834.1|DMIR
OG0000017	LOC6635873|XP_002059346.1|DVIR, LOC6636383|XP_032292047.1|DVIR, LOC6636382|XP_032292048.1|DVIR	LOC108159969|XP_017149141.1|DMIR, LOC108158038|XP_017145672.2|DMIR
OG0000017	LOC6628970|XP_032293497.1|DVIR, LOC6623565|XP_032291328.1|DVIR, LOC116651590|XP_032294188.1|DVIR	LOC108154022|XP_017139603.2|DMIR, LOC117191555|XP_033252276.1|DMIR
OG0000017	LOC6627049|XP_002050830.3|DVIR	LOC108160759|XP_017150448.1|DMIR
OG0000017	LOC6635871|XP_002059345.1|DVIR	LOC108159970|XP_017149142.1|DMIR
OG0000017	LOC6627836|XP_032294331.1|DVIR	LOC108161535|XP_017151304.1|DMIR, LOC108161536|XP_017151305.1|DMIR, LOC108161534|XP_017151303.1|DMIR
OG0000018	LOC6623414|XP_002046136.1|DVIR	LOC108150828|XP_017134625.1|DMIR
OG0000018	LOC6623369|XP_002046140.1|DVIR	LOC108150791|XP_017134583.1|DMIR
OG0000018	LOC6623326|XP_002046138.1|DVIR	LOC108150854|XP_017134645.1|DMIR
OG0000018	LOC6623104|XP_002046157.1|DVIR, LOC6623391|XP_002046158.1|DVIR	LOC108150808|XP_017134601.1|DMIR, LOC108165552|XP_017157116.1|DMIR, LOC108165550|XP_017157115.1|DMIR, LOC108150800|XP_017134593.1|DMIR
OG0000018	LOC6623443|XP_002046145.1|DVIR	LOC108150838|XP_017134636.2|DMIR, LOC108165543|XP_017157105.1|DMIR
OG0000019	LOC6630453|XP_002053914.1|DVIR, LOC6630456|XP_002053917.1|DVIR	LOC108157046|XP_017144351.1|DMIR, LOC108157045|XP_017144349.1|DMIR, LOC108157044|XP_017144348.1|DMIR
OG0000019	LOC6630458|XP_002053919.1|DVIR	LOC108157037|XP_017144339.1|DMIR
OG0000019	LOC6630457|XP_002053918.1|DVIR	LOC108157043|XP_017144347.2|DMIR
OG0000019	LOC6630452|XP_002053913.1|DVIR	LOC108157041|XP_017144346.1|DMIR, LOC108153982|XP_033245000.1|DMIR, LOC108157040|XP_017144345.2|DMIR
OG0000020	LOC6634957|XP_002058591.1|DVIR	LOC108156412|XP_017143346.1|DMIR
OG0000020	LOC6635984|XP_002059302.2|DVIR	LOC108159642|XP_033248178.1|DMIR
OG0000020	LOC6628903|XP_002051547.2|DVIR	LOC108163672|XP_017154587.1|DMIR
OG0000020	LOC6632501|XP_032289762.1|DVIR	LOC108155178|XP_017141337.1|DMIR
OG0000020	LOC6632573|XP_015026213.1|DVIR	LOC108156137|XP_017142939.1|DMIR
OG0000020	LOC6628471|XP_002051546.1|DVIR	LOC108163835|XP_033249247.1|DMIR, LOC108163643|XP_017154542.1|DMIR
OG0000021	LOC6624373|XP_002047473.1|DVIR	LOC108153591|XP_017139161.1|DMIR
OG0000021	LOC6627017|XP_002049727.2|DVIR	LOC117185775|XP_033246995.1|DMIR
OG0000021	LOC6627018|XP_002049728.2|DVIR	LOC117188002|XP_033246994.1|DMIR, LOC108160898|XP_017150659.2|DMIR
OG0000021	LOC6627016|XP_002049726.1|DVIR	LOC108159771|XP_017148818.1|DMIR, LOC117193201|XP_033253843.1|DMIR
OG0000021	LOC6627164|XP_002049737.1|DVIR	LOC108159581|XP_017148519.1|DMIR
OG0000021	LOC6625700|XP_015029837.1|DVIR	LOC108160670|XP_017150305.2|DMIR, LOC117188150|XP_033247446.1|DMIR
OG0000021	LOC6625029|XP_002050452.1|DVIR	LOC117185989|XP_033241901.1|DMIR, LOC108162397|XP_033252470.1|DMIR
OG0000021	LOC6627019|XP_002049729.1|DVIR	LOC108160899|XP_017150660.1|DMIR, LOC117193202|XP_033253844.1|DMIR
OG0000021	LOC6636003|XP_002059503.1|DVIR	LOC108164567|XP_033246575.1|DMIR
OG0000021	LOC6629522|XP_002053324.1|DVIR	LOC108156061|XP_017142833.1|DMIR
OG0000021	LOC6629847|XP_002054468.1|DVIR	LOC108156847|XP_017144055.1|DMIR
OG0000021	LOC26531416|XP_015025728.1|DVIR	LOC108164951|XP_017156435.1|DMIR
OG0000022	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR	LOC108158428|XP_017146199.1|DMIR, LOC117193272|XP_033253907.1|DMIR, LOC117193269|XP_033253905.1|DMIR
OG0000022	LOC6622522|XP_002046428.1|DVIR, LOC116650757|XP_032291322.1|DVIR, LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR, LOC6622546|XP_002046431.1|DVIR	LOC108152474|XP_017137333.2|DMIR, LOC117186204|XP_033242420.1|DMIR, LOC108152475|XP_017137334.2|DMIR, LOC108152465|XP_017137322.1|DMIR, LOC108152467|XP_017137323.2|DMIR, LOC108152472|XP_017137329.2|DMIR, LOC108152476|XP_017137336.1|DMIR, LOC108152473|XP_017137331.1|DMIR
OG0000022	LOC116650066|XP_032289307.1|DVIR, LOC6622553|XP_002046434.2|DVIR	LOC108152470|XP_017137327.1|DMIR, LOC108152469|XP_017137325.1|DMIR
OG0000023	LOC6632666|XP_032289605.1|DVIR	LOC108153857|XP_033244801.1|DMIR
OG0000023	LOC6632668|XP_002056437.2|DVIR	LOC108155686|XP_017142144.1|DMIR
OG0000023	LOC6632669|XP_002056438.1|DVIR	LOC108155685|XP_017142143.1|DMIR
OG0000023	LOC6626291|XP_002050067.1|DVIR	LOC108158830|XP_017147022.1|DMIR
OG0000023	LOC6632665|XP_002056434.1|DVIR, LOC6632664|XP_002056433.1|DVIR	LOC108153856|XP_033244802.1|DMIR
OG0000023	LOC6632533|XP_002056431.1|DVIR	LOC108157164|XP_017144562.1|DMIR
OG0000023	LOC6632529|XP_002056427.2|DVIR	LOC108156708|XP_017143845.1|DMIR
OG0000023	LOC6632531|XP_002056429.1|DVIR	LOC108156707|XP_017143844.1|DMIR
OG0000023	LOC6632528|XP_032289545.1|DVIR	LOC108156709|XP_033245059.1|DMIR
OG0000024	LOC6625432|XP_002049269.3|DVIR, LOC6625433|XP_015029714.1|DVIR, LOC6625430|XP_002049267.1|DVIR, LOC6625436|XP_002049273.1|DVIR, LOC6625435|XP_002049272.1|DVIR, LOC6625434|XP_002049271.1|DVIR	LOC108160774|XP_017150465.1|DMIR, LOC117193757|XP_033254378.1|DMIR, LOC108160813|XP_017150525.2|DMIR, LOC108160883|XP_017150641.1|DMIR
OG0000024	LOC6625431|XP_002049268.3|DVIR	LOC117194102|XP_033254634.1|DMIR, LOC108160812|XP_017150524.1|DMIR
OG0000024	LOC6634081|XP_002057902.1|DVIR	LOC108161382|XP_017151119.1|DMIR
OG0000024	LOC6625429|XP_002049266.1|DVIR	LOC117194080|XP_033254609.1|DMIR, LOC108160979|XP_017150769.1|DMIR
OG0000024	LOC6625162|XP_002048929.1|DVIR	LOC108159455|XP_017148242.1|DMIR
OG0000025	LOC6635606|XP_002058949.1|DVIR	LOC108157728|XP_017145391.1|DMIR
OG0000025	LOC6637233|XP_002060537.1|DVIR	LOC108156793|XP_017143960.1|DMIR
OG0000026	LOC6631803|XP_002055737.1|DVIR	LOC108150850|XP_017134646.1|DMIR
OG0000026	LOC6628165|XP_002051461.1|DVIR	LOC108162957|XP_033248732.1|DMIR
OG0000026	LOC6635194|XP_002058469.1|DVIR	LOC108157162|XP_017144561.1|DMIR
OG0000027	LOC6629148|XP_002052895.1|DVIR	LOC108162948|XP_017153432.1|DMIR
OG0000027	LOC6627465|XP_002052896.1|DVIR	LOC108162947|XP_017153431.1|DMIR
OG0000028	LOC6622578|XP_032291308.1|DVIR, LOC116650753|XP_032291253.1|DVIR, LOC6622591|XP_032290503.1|DVIR	LOC117186464|XP_033243221.1|DMIR, LOC108165418|XP_033243407.1|DMIR, LOC108165419|XP_017156946.1|DMIR
OG0000028	LOC6622560|XP_032290501.1|DVIR, LOC6622574|XP_002047517.1|DVIR	LOC108165421|XP_017156949.1|DMIR
OG0000029	LOC6625353|XP_002050320.1|DVIR, LOC6625686|XP_002050319.2|DVIR	LOC108154578|XP_017140369.1|DMIR
OG0000029	LOC6624236|XP_002048359.1|DVIR	LOC108150820|XP_017134616.1|DMIR
OG0000030	LOC6627555|XP_002052289.1|DVIR	LOC108161306|XP_017151015.1|DMIR
OG0000030	LOC6628998|XP_002052101.1|DVIR	LOC108161162|XP_017150872.2|DMIR
OG0000030	LOC6627051|XP_002050832.1|DVIR, LOC6626964|XP_002050828.1|DVIR, LOC6626963|XP_002050827.1|DVIR	LOC108160793|XP_017150492.1|DMIR
OG0000030	LOC6633403|XP_002057213.1|DVIR	LOC108151546|XP_033246807.1|DMIR
OG0000030	LOC6632190|XP_002055645.1|DVIR	LOC108154542|XP_017140365.1|DMIR
OG0000031	LOC6634268|XP_002057550.2|DVIR	LOC108163859|XP_017154864.1|DMIR
OG0000031	LOC6634269|XP_002057551.2|DVIR, LOC6634303|XP_032293402.1|DVIR	LOC108161143|XP_033248838.1|DMIR, LOC108161141|XP_033248476.1|DMIR
OG0000031	LOC6629125|XP_002052391.1|DVIR	LOC108161610|XP_017151398.1|DMIR
OG0000032	LOC6629979|XP_002054337.1|DVIR	LOC108156619|XP_017143664.1|DMIR
OG0000032	LOC6629980|XP_032294917.1|DVIR	LOC108156621|XP_017143666.1|DMIR, LOC108156620|XP_017143665.1|DMIR
OG0000032	LOC6629978|XP_032294961.1|DVIR, LOC6634892|XP_002058480.2|DVIR, LOC6629977|XP_002054335.1|DVIR, LOC6629932|XP_002054333.2|DVIR, LOC6629933|XP_002054334.2|DVIR	LOC108157634|XP_017145264.1|DMIR, LOC108156618|XP_017143663.1|DMIR
OG0000033	LOC6635949|XP_002059391.1|DVIR	LOC117189759|XP_033250731.1|DMIR, LOC108159420|XP_017148176.1|DMIR
OG0000033	LOC6630139|XP_002053622.1|DVIR, LOC6630138|XP_002053621.1|DVIR, LOC6629617|XP_002053590.1|DVIR	LOC117187710|XP_033246345.1|DMIR, LOC108159419|XP_017148175.2|DMIR
OG0000034	LOC6627930|XP_002051996.1|DVIR	LOC108164271|XP_017155403.1|DMIR
OG0000034	LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR	LOC108164069|XP_033249364.1|DMIR
OG0000034	LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR, LOC6628688|XP_002051352.1|DVIR	LOC108162131|XP_017152200.1|DMIR
OG0000036	LOC6632491|XP_002056444.1|DVIR	LOC108157733|XP_017145397.1|DMIR
OG0000036	LOC116651951|XP_032295383.1|DVIR	LOC117187198|XP_033245230.1|DMIR
OG0000036	LOC6634881|XP_002058500.1|DVIR	LOC108157106|XP_017144468.1|DMIR
OG0000036	LOC6630607|XP_002054482.2|DVIR	LOC108155636|XP_017142064.1|DMIR, LOC108155635|XP_017142061.1|DMIR
OG0000037	LOC6627126|XP_032291548.1|DVIR	LOC108160263|XP_017149626.1|DMIR
OG0000037	LOC6629970|XP_002053079.1|DVIR	LOC117195094|XP_033255640.1|DMIR, LOC117191092|XP_033251946.1|DMIR, LOC117194615|XP_033255034.1|DMIR, LOC117194588|XP_033255015.1|DMIR, LOC117194655|XP_033255061.1|DMIR, LOC117190599|XP_033251536.1|DMIR, LOC117194833|XP_033255201.1|DMIR, LOC117191511|XP_033252248.1|DMIR, LOC117191510|XP_033252247.1|DMIR, LOC117194839|XP_033255205.1|DMIR, LOC117191523|XP_033252256.1|DMIR, LOC117190815|XP_033251747.1|DMIR, LOC117194824|XP_033255196.1|DMIR, LOC117194825|XP_033255197.1|DMIR, LOC117195091|XP_033255638.1|DMIR, LOC117194549|XP_033254988.1|DMIR, LOC117194837|XP_033255204.1|DMIR, LOC117194807|XP_033255181.1|DMIR, LOC117194573|XP_033255006.1|DMIR, LOC117194587|XP_033255014.1|DMIR, LOC117194750|XP_033255142.1|DMIR, LOC117194591|XP_033255018.1|DMIR, LOC117194574|XP_033255007.1|DMIR, LOC117195092|XP_033255639.1|DMIR, LOC117194597|XP_033255024.1|DMIR, LOC117195100|XP_033255645.1|DMIR, LOC117194819|XP_033255192.1|DMIR, LOC117194975|XP_033255339.1|DMIR, LOC108153987|XP_033244827.1|DMIR, LOC117194660|XP_033255064.1|DMIR, LOC117194818|XP_033255191.1|DMIR, LOC117194604|XP_033255027.1|DMIR, LOC117194596|XP_033255023.1|DMIR, LOC117194601|XP_033255025.1|DMIR, LOC117195095|XP_033255641.1|DMIR, LOC117194843|XP_033255207.1|DMIR, LOC117191506|XP_033252242.1|DMIR, LOC117194661|XP_033255065.1|DMIR, LOC117194657|XP_033255062.1|DMIR, LOC117190601|XP_033251538.1|DMIR, LOC117194841|XP_033255206.1|DMIR, LOC117191508|XP_033252244.1|DMIR, LOC117194658|XP_033255063.1|DMIR, LOC117194702|XP_033255103.1|DMIR, LOC117194796|XP_033255174.1|DMIR, LOC117190600|XP_033251537.1|DMIR, LOC117194589|XP_033255016.1|DMIR, LOC117194409|XP_033254874.1|DMIR, LOC117194829|XP_033255199.1|DMIR, LOC117194605|XP_033255028.1|DMIR, LOC117194822|XP_033255195.1|DMIR, LOC117194333|XP_033254795.1|DMIR, LOC117194609|XP_033255031.1|DMIR, LOC117194407|XP_033254872.1|DMIR, LOC117195096|XP_033255642.1|DMIR, LOC117194649|XP_033255056.1|DMIR, LOC117190597|XP_033251535.1|DMIR, LOC117194650|XP_033255057.1|DMIR, LOC117190125|XP_033251100.1|DMIR, LOC108156646|XP_017143737.2|DMIR, LOC117190111|XP_033251090.1|DMIR, LOC117194816|XP_033255190.1|DMIR, LOC117194767|XP_033255155.1|DMIR, LOC117194745|XP_033255132.1|DMIR, LOC117194463|XP_033254917.1|DMIR, LOC117190114|XP_033251091.1|DMIR, LOC117194862|XP_033255219.1|DMIR, LOC117194858|XP_033255216.1|DMIR, LOC117194857|XP_033255215.1|DMIR, LOC117194328|XP_033254789.1|DMIR, LOC108156982|XP_017144263.2|DMIR, LOC117194327|XP_033254788.1|DMIR, LOC117194594|XP_033255020.1|DMIR, LOC117194845|XP_033255209.1|DMIR
OG0000037	LOC6630819|XP_002054726.2|DVIR	LOC117194606|XP_033255029.1|DMIR, LOC117194821|XP_033255194.1|DMIR, LOC117191507|XP_033252243.1|DMIR, LOC117194844|XP_033255208.1|DMIR, LOC117194584|XP_033255013.1|DMIR, LOC117194610|XP_033255032.1|DMIR
OG0000038	LOC6622648|XP_002047530.1|DVIR	LOC108165231|XP_017156759.1|DMIR
