Orthogroup	DVIR.longest_only	DERE.longest_only
OG0000020	LOC6635984|XP_002059302.2|DVIR	LOC6547855|XP_001975038.1|DERE
OG0000020	LOC6628903|XP_002051547.2|DVIR	LOC6549413|XP_026836257.1|DERE, LOC6540649|XP_026834533.1|DERE, LOC6543425|XP_026834766.1|DERE
OG0000020	LOC6632501|XP_032289762.1|DVIR	LOC6553828|XP_026839892.1|DERE
OG0000020	LOC6632573|XP_015026213.1|DVIR	LOC6554060|XP_001980549.1|DERE
OG0000020	LOC6628471|XP_002051546.1|DVIR	LOC6548804|XP_001974084.1|DERE, LOC6549412|XP_001974317.1|DERE
OG0000021	LOC6627018|XP_002049728.2|DVIR	LOC6543194|XP_001968524.1|DERE
OG0000021	LOC6627016|XP_002049726.1|DVIR	LOC6556017|XP_001982880.1|DERE
OG0000021	LOC6627164|XP_002049737.1|DVIR	LOC6547978|XP_001975124.1|DERE
OG0000021	LOC6625700|XP_015029837.1|DVIR	LOC6548381|XP_001975140.1|DERE
OG0000021	LOC6625029|XP_002050452.1|DVIR	LOC6546948|XP_001974598.1|DERE
OG0000021	LOC6627019|XP_002049729.1|DVIR	LOC6556217|XP_001983050.1|DERE
OG0000021	LOC6636003|XP_002059503.1|DVIR	LOC6551659|XP_001977237.1|DERE
OG0000021	LOC6629522|XP_002053324.1|DVIR	LOC6554651|XP_001981975.1|DERE
OG0000021	LOC6629847|XP_002054468.1|DVIR	LOC6553703|XP_001980409.1|DERE
OG0000021	LOC26531416|XP_015025728.1|DVIR	LOC26526932|XP_026837924.1|DERE
OG0000022	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR	LOC6548724|XP_001975398.1|DERE
OG0000022	LOC6622522|XP_002046428.1|DVIR, LOC116650757|XP_032291322.1|DVIR, LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR, LOC6622546|XP_002046431.1|DVIR	LOC6556144|XP_001982999.1|DERE, LOC6545492|XP_001971094.1|DERE, LOC6545493|XP_026833569.1|DERE, LOC6556143|XP_001982998.1|DERE
OG0000022	LOC116650066|XP_032289307.1|DVIR, LOC6622553|XP_002046434.2|DVIR	LOC6545495|XP_001971097.1|DERE, LOC6545494|XP_001971096.1|DERE
OG0000023	LOC6632666|XP_032289605.1|DVIR	LOC113563731|XP_026831631.1|DERE
OG0000023	LOC6632669|XP_002056438.1|DVIR	LOC6553285|XP_001979203.1|DERE
OG0000023	LOC6626291|XP_002050067.1|DVIR	LOC6546697|XP_026836761.1|DERE
OG0000023	LOC6632665|XP_002056434.1|DVIR, LOC6632664|XP_002056433.1|DVIR	LOC6553284|XP_026831910.1|DERE
OG0000023	LOC6632533|XP_002056431.1|DVIR	LOC6553277|XP_001979195.2|DERE
OG0000023	LOC6632529|XP_002056427.2|DVIR	LOC6553329|XP_001979191.2|DERE
OG0000023	LOC6632531|XP_002056429.1|DVIR	LOC6553331|XP_001979193.1|DERE
OG0000023	LOC6632528|XP_032289545.1|DVIR	LOC6553328|XP_001979190.1|DERE
OG0000024	LOC6625432|XP_002049269.3|DVIR, LOC6625433|XP_015029714.1|DVIR, LOC6625430|XP_002049267.1|DVIR, LOC6625436|XP_002049273.1|DVIR, LOC6625435|XP_002049272.1|DVIR, LOC6625434|XP_002049271.1|DVIR	LOC6547181|XP_001976079.1|DERE, LOC6547180|XP_001976078.1|DERE, LOC6547179|XP_001976077.1|DERE, LOC6547183|XP_001976081.1|DERE
OG0000024	LOC6625431|XP_002049268.3|DVIR	LOC6547182|XP_001976080.1|DERE
OG0000024	LOC6634081|XP_002057902.1|DVIR	LOC6549069|XP_001974169.1|DERE
OG0000024	LOC6625429|XP_002049266.1|DVIR	LOC6547184|XP_001976082.1|DERE
OG0000024	LOC6625162|XP_002048929.1|DVIR	LOC6549473|XP_001975764.1|DERE
OG0000025	LOC6635606|XP_002058949.1|DVIR	LOC6540718|XP_001968765.1|DERE
OG0000026	LOC6631803|XP_002055737.1|DVIR	LOC6551694|XP_001977155.1|DERE
OG0000026	LOC6628165|XP_002051461.1|DVIR	LOC6543477|XP_001969495.1|DERE
OG0000026	LOC6635194|XP_002058469.1|DVIR	LOC6553336|XP_001979309.1|DERE
OG0000027	LOC6629148|XP_002052895.1|DVIR	LOC6541432|XP_001970185.1|DERE
OG0000027	LOC6627465|XP_002052896.1|DVIR	LOC6541340|XP_001970186.1|DERE
OG0000028	LOC6622574|XP_002047517.1|DVIR	LOC6545516|XP_001973330.1|DERE
OG0000029	LOC6625353|XP_002050320.1|DVIR, LOC6625686|XP_002050319.2|DVIR	LOC6552797|XP_001981008.1|DERE
OG0000029	LOC6624236|XP_002048359.1|DVIR	LOC6546309|XP_026833134.1|DERE
OG0000030	LOC6627555|XP_002052289.1|DVIR	LOC6540832|XP_001969798.1|DERE
OG0000030	LOC6628998|XP_002052101.1|DVIR	LOC6542410|XP_001968441.1|DERE
OG0000030	LOC6627051|XP_002050832.1|DVIR, LOC6626964|XP_002050828.1|DVIR, LOC6626963|XP_002050827.1|DVIR	LOC6547811|XP_001976404.1|DERE
OG0000030	LOC6633403|XP_002057213.1|DVIR	LOC6555505|XP_026838381.1|DERE
OG0000030	LOC6632190|XP_002055645.1|DVIR	LOC6550371|XP_001977852.1|DERE
OG0000031	LOC6634268|XP_002057550.2|DVIR	LOC6541519|XP_001969009.2|DERE, LOC6543250|XP_001968986.1|DERE
OG0000031	LOC6634269|XP_002057551.2|DVIR, LOC6634303|XP_032293402.1|DVIR	LOC113563971|XP_026833917.1|DERE
OG0000031	LOC6629125|XP_002052391.1|DVIR	LOC6542615|XP_001969442.1|DERE
OG0000032	LOC6629979|XP_002054337.1|DVIR	LOC6553974|XP_015009875.1|DERE
OG0000032	LOC6629980|XP_032294917.1|DVIR	LOC6553916|XP_015010087.1|DERE, LOC6553973|XP_026831770.1|DERE, LOC6553976|XP_001980433.2|DERE, LOC6553975|XP_026831724.1|DERE
OG0000032	LOC6629978|XP_032294961.1|DVIR, LOC6634892|XP_002058480.2|DVIR, LOC6629977|XP_002054335.1|DVIR, LOC6629932|XP_002054333.2|DVIR, LOC6629933|XP_002054334.2|DVIR	LOC113564299|XP_026836470.1|DERE
OG0000033	LOC6635949|XP_002059391.1|DVIR	LOC6548262|XP_001974108.1|DERE, LOC6548263|XP_001974109.1|DERE, LOC6541653|XP_001970703.1|DERE, LOC6542775|XP_001970704.2|DERE
OG0000033	LOC6630139|XP_002053622.1|DVIR, LOC6630138|XP_002053621.1|DVIR, LOC6629617|XP_002053590.1|DVIR	LOC6541460|XP_001970702.1|DERE
OG0000034	LOC6627930|XP_002051996.1|DVIR	LOC6547752|XP_001976261.2|DERE
OG0000034	LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR	LOC6547627|XP_001976262.1|DERE
OG0000036	LOC6632491|XP_002056444.1|DVIR	LOC6553210|XP_001979212.1|DERE
OG0000036	LOC116651951|XP_032295383.1|DVIR	LOC6553049|XP_001980037.3|DERE
OG0000036	LOC6634881|XP_002058500.1|DVIR	LOC6552090|XP_001978801.1|DERE
OG0000036	LOC6630607|XP_002054482.2|DVIR	LOC6554160|XP_026832544.1|DERE, LOC113563885|XP_026832533.1|DERE
OG0000037	LOC6627126|XP_032291548.1|DVIR	LOC6547304|XP_026836461.1|DERE
OG0000037	LOC6629970|XP_002053079.1|DVIR	LOC6553809|XP_001979566.1|DERE, LOC6553808|XP_001979565.1|DERE
OG0000038	LOC6622648|XP_002047530.1|DVIR	LOC6545503|XP_001973343.1|DERE
OG0000038	LOC6624649|XP_002047532.2|DVIR	LOC6545505|XP_026833772.1|DERE
OG0000039	LOC6630003|XP_002054716.2|DVIR	LOC6553078|XP_001979073.2|DERE
OG0000039	LOC6631924|XP_002055751.1|DVIR	LOC6550737|XP_001978160.1|DERE
OG0000039	LOC6636063|XP_002059594.1|DVIR	LOC6550622|XP_026837736.1|DERE
OG0000039	LOC6636702|XP_002060175.3|DVIR	LOC6551666|XP_001977244.1|DERE
OG0000040	LOC6629625|XP_002054865.1|DVIR	LOC6551893|XP_026835202.1|DERE, LOC6551780|XP_001980593.1|DERE
OG0000040	LOC6629626|XP_002054866.2|DVIR	LOC6551781|XP_001980594.1|DERE
OG0000040	LOC116651842|XP_032294845.1|DVIR, LOC6629623|XP_032294844.1|DVIR	LOC6551892|XP_001979714.2|DERE, LOC6551891|XP_001979713.1|DERE
OG0000040	LOC6629621|XP_002054861.1|DVIR	LOC6551889|XP_001979711.1|DERE
OG0000040	LOC6629744|XP_002053886.1|DVIR	LOC6554299|XP_001981067.1|DERE
OG0000041	LOC6630744|XP_032290585.1|DVIR, LOC116651238|XP_032293093.1|DVIR, LOC6630745|XP_032292365.1|DVIR	LOC6554981|XP_001981824.1|DERE, LOC26526627|XP_015009397.2|DERE, LOC6554997|XP_001981822.1|DERE, LOC6554980|XP_001981823.2|DERE, LOC6554990|XP_001981815.1|DERE, LOC6554992|XP_001981817.1|DERE, LOC6554991|XP_001981816.2|DERE
OG0000042	LOC6630880|XP_002053792.2|DVIR, LOC6636545|XP_002060049.1|DVIR, LOC6625347|XP_002051000.3|DVIR, LOC6625529|XP_002051023.1|DVIR, LOC6625448|XP_002050998.1|DVIR, LOC6623106|XP_002046713.1|DVIR, LOC6625348|XP_002051001.1|DVIR, LOC6625349|XP_002051002.1|DVIR	LOC6547072|XP_001974652.1|DERE, LOC6547084|XP_001974656.1|DERE, LOC6547081|XP_026835970.1|DERE, LOC6547083|XP_026836041.1|DERE, LOC6547082|XP_001974654.1|DERE
OG0000043	LOC6630320|XP_002053430.1|DVIR	LOC6551882|XP_001980606.1|DERE
OG0000043	LOC6630321|XP_002053431.1|DVIR	LOC6551883|XP_001980607.1|DERE
OG0000043	LOC6630323|XP_002053433.1|DVIR	LOC6551896|XP_001980611.1|DERE
OG0000043	LOC6630318|XP_002053428.2|DVIR	LOC6554744|XP_001981087.1|DERE, LOC6549065|XP_026836066.1|DERE, LOC6551880|XP_001980604.1|DERE
OG0000044	LOC6630493|XP_002053200.1|DVIR	LOC6554933|XP_001981812.1|DERE
OG0000044	LOC6630492|XP_002053199.1|DVIR, LOC6630491|XP_002053198.1|DVIR	LOC6554929|XP_001981808.1|DERE, LOC6554928|XP_001981807.1|DERE
OG0000045	LOC6624147|XP_002046895.1|DVIR	LOC6543777|XP_001972312.1|DERE
OG0000045	LOC6622199|XP_002046894.1|DVIR	LOC6543776|XP_001972311.2|DERE, LOC6543775|XP_001972310.1|DERE
OG0000045	LOC6624099|XP_002046893.1|DVIR	LOC6544619|XP_001971501.1|DERE
OG0000045	LOC6623107|XP_002046892.1|DVIR	LOC6544620|XP_001971502.1|DERE
OG0000046	LOC116652288|XP_032296485.1|DVIR, LOC6634418|XP_032296332.1|DVIR	LOC6550460|XP_001977787.1|DERE
OG0000046	LOC6629466|XP_032291044.1|DVIR, LOC6629465|XP_032291038.1|DVIR, LOC6629467|XP_002053883.2|DVIR, LOC6634417|XP_032296431.1|DVIR, LOC116652297|XP_032296495.1|DVIR	LOC6554301|XP_001982125.2|DERE, LOC6554302|XP_001982126.1|DERE
OG0000047	LOC6624851|XP_002050852.1|DVIR	LOC6548915|XP_026836112.1|DERE
OG0000047	LOC6624848|XP_002050849.2|DVIR	LOC6548919|XP_001975347.1|DERE
OG0000047	LOC6626318|XP_002049525.1|DVIR	LOC6549604|XP_001975737.1|DERE
OG0000047	LOC6623898|XP_015031386.1|DVIR	LOC6546188|XP_001972281.1|DERE
OG0000047	LOC6626924|XP_002049538.1|DVIR	LOC6549507|XP_001975729.1|DERE
OG0000048	LOC6623128|XP_002046219.1|DVIR	LOC6544966|XP_001973233.1|DERE, LOC6544967|XP_001973234.1|DERE
OG0000048	LOC6623801|XP_002046214.1|DVIR	LOC6545047|XP_001973229.1|DERE
OG0000048	LOC6623780|XP_002046212.1|DVIR	LOC6545045|XP_001973227.2|DERE
OG0000048	LOC6623749|XP_002046215.1|DVIR	LOC6544963|XP_001973230.1|DERE
OG0000049	LOC6632699|XP_002056032.2|DVIR	LOC6552334|XP_001979793.1|DERE
OG0000049	LOC6632702|XP_002056035.3|DVIR	LOC6552331|XP_001979790.1|DERE
OG0000049	LOC6632698|XP_002056031.1|DVIR	LOC6552229|XP_001979794.1|DERE
OG0000049	LOC116650324|XP_032289598.1|DVIR	LOC6552230|XP_001979795.1|DERE
OG0000049	LOC6632703|XP_002056036.2|DVIR	LOC6552330|XP_001979789.1|DERE
OG0000050	LOC6622355|XP_002047925.1|DVIR	LOC6544231|XP_001973747.1|DERE
OG0000050	LOC6622345|XP_002047924.2|DVIR	LOC6544204|XP_026833494.1|DERE
OG0000050	LOC6622312|XP_002047926.2|DVIR	LOC26526578|XP_026833595.1|DERE
OG0000050	LOC6622403|XP_002047934.2|DVIR	LOC6544232|XP_026833594.1|DERE
OG0000051	LOC6633160|XP_002056609.1|DVIR	LOC6552520|XP_001980945.1|DERE
OG0000051	LOC6630427|XP_002053739.1|DVIR	LOC6553748|XP_001980366.1|DERE
OG0000052	LOC6633117|XP_002056591.1|DVIR, LOC6633119|XP_002056593.1|DVIR, LOC6633120|XP_032289606.1|DVIR, LOC6633118|XP_002056592.2|DVIR	LOC6552258|XP_001980739.1|DERE, LOC6555308|XP_001982081.1|DERE, LOC6552259|XP_001980740.3|DERE, LOC6552256|XP_001980737.2|DERE, LOC6552257|XP_001980738.1|DERE
OG0000052	LOC6626909|XP_002050284.2|DVIR, LOC6626910|XP_002050285.2|DVIR	LOC6547302|XP_001974728.1|DERE
OG0000052	LOC6626911|XP_002050286.2|DVIR	LOC6547301|XP_001974727.1|DERE
OG0000053	LOC6625282|XP_002049664.3|DVIR	LOC6541123|XP_001970454.1|DERE
OG0000053	LOC6624847|XP_002049663.1|DVIR	LOC6542707|XP_001970455.1|DERE
OG0000053	LOC6624846|XP_002049662.1|DVIR	LOC6542876|XP_001970456.1|DERE
OG0000053	LOC6624845|XP_002049661.1|DVIR	LOC6542254|XP_001970457.1|DERE
OG0000053	LOC6624806|XP_002049656.1|DVIR	LOC6542856|XP_001970461.3|DERE
OG0000054	LOC6633223|XP_002056282.1|DVIR	LOC6553130|XP_001980075.1|DERE
OG0000054	LOC6629800|XP_002053376.1|DVIR	LOC6553131|XP_001980076.1|DERE
OG0000054	LOC6633224|XP_002056283.1|DVIR, LOC116650298|XP_032289550.1|DVIR	LOC6553059|XP_001980078.1|DERE, LOC6553132|XP_026836543.1|DERE
OG0000055	LOC6632627|XP_002056104.1|DVIR, LOC6632628|XP_002056105.1|DVIR, LOC6632630|XP_002056107.2|DVIR, LOC6632629|XP_002056106.2|DVIR	LOC26527116|XP_015009429.1|DERE, LOC6555464|XP_001981222.1|DERE
OG0000056	LOC6630824|XP_002054731.1|DVIR	LOC6554751|XP_001982187.1|DERE
OG0000056	LOC26531774|XP_032295287.1|DVIR, LOC6630956|XP_002054733.1|DVIR	LOC6554782|XP_001982185.1|DERE, LOC6554781|XP_001982184.3|DERE
OG0000056	LOC6627508|XP_002052791.1|DVIR	LOC6551980|XP_001980665.2|DERE
OG0000058	LOC6628288|XP_002051345.2|DVIR, LOC6628289|XP_032293797.1|DVIR, LOC6637243|XP_002060538.2|DVIR	LOC6548959|XP_001974191.1|DERE, LOC6548960|XP_001974192.1|DERE
OG0000058	LOC6628292|XP_002051349.1|DVIR, LOC6628291|XP_002051348.1|DVIR, LOC6628290|XP_002051347.1|DVIR	LOC6543269|XP_001969993.1|DERE
OG0000059	LOC6635045|XP_002058688.1|DVIR	LOC6555431|XP_001981657.1|DERE
OG0000059	LOC6635047|XP_002058690.1|DVIR	LOC6555433|XP_001981659.1|DERE, LOC6555434|XP_001981660.1|DERE
OG0000059	LOC6635046|XP_032295222.1|DVIR	LOC6555432|XP_001981658.1|DERE
OG0000059	LOC6635049|XP_002058692.2|DVIR, LOC6635050|XP_002058693.1|DVIR, LOC6634861|XP_002058696.1|DVIR	LOC6555439|XP_001981665.1|DERE
OG0000060	LOC6634791|XP_002058127.1|DVIR	LOC6551123|XP_026838344.1|DERE
OG0000060	LOC6625933|XP_002048901.1|DVIR	LOC6549244|XP_001974429.1|DERE
