Orthogroup	DVIR.longest_only	DKIK.longest_only
OG0000032	LOC6629978|XP_032294961.1|DVIR, LOC6634892|XP_002058480.2|DVIR, LOC6629977|XP_002054335.1|DVIR, LOC6629932|XP_002054333.2|DVIR, LOC6629933|XP_002054334.2|DVIR	LOC108077846|XP_017026865.1|DKIK, LOC108074977|XP_017022699.1|DKIK, LOC108077827|XP_017026841.1|DKIK, LOC108077828|XP_017026842.1|DKIK, LOC108077628|XP_017026527.1|DKIK
OG0000033	LOC6635949|XP_002059391.1|DVIR	LOC108080716|XP_017031056.1|DKIK, LOC108080717|XP_017031057.1|DKIK
OG0000033	LOC6630139|XP_002053622.1|DVIR, LOC6630138|XP_002053621.1|DVIR, LOC6629617|XP_002053590.1|DVIR	LOC108080718|XP_017031058.1|DKIK
OG0000034	LOC6627930|XP_002051996.1|DVIR	LOC108076887|XP_017025407.1|DKIK, LOC108076912|XP_017025444.1|DKIK
OG0000034	LOC6627931|XP_002051997.2|DVIR	LOC108076836|XP_017025354.1|DKIK
OG0000034	LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR	LOC108076909|XP_017025438.1|DKIK, LOC108077295|XP_017026063.1|DKIK
OG0000034	LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR, LOC6628688|XP_002051352.1|DVIR	LOC108082755|XP_017033759.1|DKIK
OG0000036	LOC6632491|XP_002056444.1|DVIR	LOC108084034|XP_017035539.1|DKIK
OG0000036	LOC116651951|XP_032295383.1|DVIR	LOC108081215|XP_017031778.1|DKIK
OG0000036	LOC6634881|XP_002058500.1|DVIR	LOC108080827|XP_017031220.1|DKIK
OG0000036	LOC6630607|XP_002054482.2|DVIR	LOC108081087|XP_017031565.1|DKIK
OG0000037	LOC6627126|XP_032291548.1|DVIR	LOC108082568|XP_017033513.1|DKIK
OG0000037	LOC6629970|XP_002053079.1|DVIR	LOC108073148|XP_017020150.1|DKIK, LOC108073159|XP_017020158.1|DKIK
OG0000038	LOC6622648|XP_002047530.1|DVIR	LOC108083255|XP_017034451.1|DKIK
OG0000038	LOC6624649|XP_002047532.2|DVIR	LOC108083246|XP_017034442.1|DKIK
OG0000039	LOC6630003|XP_002054716.2|DVIR	LOC108081169|XP_017031714.1|DKIK
OG0000039	LOC6631924|XP_002055751.1|DVIR	LOC108071695|XP_017017998.1|DKIK
OG0000039	LOC6636063|XP_002059594.1|DVIR	LOC108071709|XP_017018018.1|DKIK
OG0000039	LOC6632395|XP_002056631.2|DVIR, LOC6631925|XP_002055752.1|DVIR, LOC116652072|XP_032295834.1|DVIR	LOC108071673|XP_017017967.1|DKIK
OG0000039	LOC6636702|XP_002060175.3|DVIR	LOC108082955|XP_017034059.1|DKIK
OG0000040	LOC6629625|XP_002054865.1|DVIR	LOC108070642|XP_017016699.1|DKIK, LOC108084882|XP_017036766.1|DKIK
OG0000040	LOC6629626|XP_002054866.2|DVIR	LOC108084883|XP_017036767.1|DKIK
OG0000040	LOC116651842|XP_032294845.1|DVIR, LOC6629623|XP_032294844.1|DVIR	LOC108070735|XP_017016822.1|DKIK, LOC108070736|XP_017016823.1|DKIK, LOC108070662|XP_017016722.1|DKIK
OG0000040	LOC6629621|XP_002054861.1|DVIR	LOC108070710|XP_017016793.1|DKIK
OG0000040	LOC6629744|XP_002053886.1|DVIR	LOC108084976|XP_017036887.1|DKIK
OG0000041	LOC6630744|XP_032290585.1|DVIR, LOC116651238|XP_032293093.1|DVIR, LOC6630745|XP_032292365.1|DVIR	LOC108071265|XP_017017445.1|DKIK, LOC108071273|XP_017017453.1|DKIK, LOC108071358|XP_017017589.1|DKIK, LOC108072005|XP_017018471.1|DKIK, LOC108072016|XP_017018485.1|DKIK, LOC108072162|XP_017018696.1|DKIK, LOC108071355|XP_017017584.1|DKIK
OG0000042	LOC6630880|XP_002053792.2|DVIR, LOC6636545|XP_002060049.1|DVIR, LOC6625347|XP_002051000.3|DVIR, LOC6625529|XP_002051023.1|DVIR, LOC6625448|XP_002050998.1|DVIR, LOC6623106|XP_002046713.1|DVIR, LOC6625348|XP_002051001.1|DVIR, LOC6625349|XP_002051002.1|DVIR	LOC108076653|XP_017025076.1|DKIK, LOC108076654|XP_017025077.1|DKIK, LOC108076655|XP_017025078.1|DKIK, LOC108076549|XP_017024949.1|DKIK, LOC108076658|XP_017025082.1|DKIK, LOC108076656|XP_017025079.1|DKIK, LOC108076652|XP_017025074.1|DKIK, LOC108076661|XP_017025084.1|DKIK, LOC108076660|XP_017025083.1|DKIK
OG0000043	LOC6630320|XP_002053430.1|DVIR	LOC108081508|XP_017032216.1|DKIK
OG0000043	LOC6630321|XP_002053431.1|DVIR	LOC108081485|XP_017032173.1|DKIK
OG0000043	LOC6630323|XP_002053433.1|DVIR	LOC108081478|XP_017032164.1|DKIK, LOC108081500|XP_017032208.1|DKIK
OG0000043	LOC6630318|XP_002053428.2|DVIR	LOC108081483|XP_017032171.1|DKIK, LOC108086038|XP_017038347.1|DKIK, LOC108081480|XP_017032168.1|DKIK
OG0000044	LOC6630493|XP_002053200.1|DVIR	LOC108071988|XP_017018451.1|DKIK
OG0000044	LOC6630492|XP_002053199.1|DVIR, LOC6630491|XP_002053198.1|DVIR	LOC108072003|XP_017018467.1|DKIK, LOC108072022|XP_017018491.1|DKIK, LOC108072004|XP_017018470.1|DKIK, LOC108072010|XP_017018477.1|DKIK
OG0000045	LOC6624147|XP_002046895.1|DVIR	LOC108073518|XP_017020682.1|DKIK
OG0000045	LOC6622199|XP_002046894.1|DVIR	LOC108073353|XP_017020405.1|DKIK, LOC108073350|XP_017020403.1|DKIK
OG0000045	LOC6624099|XP_002046893.1|DVIR	LOC108073894|XP_017021172.1|DKIK
OG0000045	LOC6623107|XP_002046892.1|DVIR	LOC108073882|XP_017021156.1|DKIK
OG0000046	LOC116652288|XP_032296485.1|DVIR, LOC6634418|XP_032296332.1|DVIR	LOC108083339|XP_017034572.1|DKIK, LOC108083340|XP_017034573.1|DKIK
OG0000046	LOC6629466|XP_032291044.1|DVIR, LOC6629465|XP_032291038.1|DVIR, LOC6629467|XP_002053883.2|DVIR, LOC6634417|XP_032296431.1|DVIR, LOC116652297|XP_032296495.1|DVIR	LOC108083611|XP_017034972.1|DKIK, LOC108083337|XP_017034570.1|DKIK, LOC108080985|XP_017031400.1|DKIK, LOC108080931|XP_017031324.1|DKIK, LOC108080891|XP_017031283.1|DKIK, LOC108080893|XP_017031285.1|DKIK, LOC108080892|XP_017031284.1|DKIK, LOC108080934|XP_017031327.1|DKIK, LOC108080984|XP_017031399.1|DKIK, LOC108080895|XP_017031286.1|DKIK, LOC108080933|XP_017031326.1|DKIK
OG0000047	LOC6624851|XP_002050852.1|DVIR	LOC108076173|XP_017024393.1|DKIK
OG0000047	LOC6624848|XP_002050849.2|DVIR	LOC108076538|XP_017024940.1|DKIK
OG0000047	LOC6626318|XP_002049525.1|DVIR	LOC108080858|XP_017031251.1|DKIK
OG0000047	LOC6626924|XP_002049538.1|DVIR	LOC108078780|XP_017028320.1|DKIK
OG0000048	LOC6623128|XP_002046219.1|DVIR	LOC108084399|XP_017036085.1|DKIK, LOC108084435|XP_017036132.1|DKIK
OG0000048	LOC6623801|XP_002046214.1|DVIR	LOC108084438|XP_017036136.1|DKIK, LOC108084434|XP_017036131.1|DKIK
OG0000048	LOC6623780|XP_002046212.1|DVIR	LOC108084433|XP_017036130.1|DKIK
OG0000048	LOC6623749|XP_002046215.1|DVIR	LOC108084436|XP_017036133.1|DKIK
OG0000049	LOC6632699|XP_002056032.2|DVIR	LOC108084080|XP_017035590.1|DKIK
OG0000049	LOC6632702|XP_002056035.3|DVIR	LOC108084068|XP_017035576.1|DKIK
OG0000049	LOC6632698|XP_002056031.1|DVIR	LOC108084077|XP_017035587.1|DKIK
OG0000049	LOC116650324|XP_032289598.1|DVIR	LOC108084023|XP_017035525.1|DKIK
OG0000049	LOC6632703|XP_002056036.2|DVIR	LOC108084019|XP_017035520.1|DKIK
OG0000050	LOC116651245|XP_032293110.1|DVIR	LOC108073068|XP_017020022.1|DKIK
OG0000050	LOC116650744|XP_032291206.1|DVIR	LOC108072577|XP_017019276.1|DKIK, LOC108072587|XP_017019288.1|DKIK
OG0000050	LOC6622355|XP_002047925.1|DVIR	LOC108072753|XP_017019515.1|DKIK, LOC108072610|XP_017019326.1|DKIK
OG0000050	LOC6622345|XP_002047924.2|DVIR	LOC108072709|XP_017019438.1|DKIK, LOC108072761|XP_017019527.1|DKIK, LOC108072698|XP_017019426.1|DKIK
