Orthogroup	DVIR.longest_only	DPER.longest_only
OG0000004	LOC116649797|XP_032288819.1|DVIR, LOC6636964|XP_002060406.2|DVIR, LOC6630109|XP_002053102.1|DVIR, LOC6637028|XP_032296768.1|DVIR, LOC6630078|XP_032288808.1|DVIR, LOC6630104|XP_002053097.1|DVIR, LOC6630838|XP_002053114.1|DVIR, LOC26531848|XP_015023755.2|DVIR, LOC116651593|XP_032294196.1|DVIR, LOC6627875|XP_002052272.1|DVIR, LOC6627872|XP_002052269.1|DVIR, LOC6627867|XP_002052264.1|DVIR, LOC26530598|XP_015027811.1|DVIR, LOC116649798|XP_032288820.1|DVIR	LOC113567408|XP_026850942.1|DPER, LOC113567409|XP_026850943.1|DPER, LOC113567399|XP_026850927.1|DPER, LOC113565362|XP_026842912.1|DPER, LOC6587537|XP_002013115.1|DPER, LOC6587316|XP_002013131.1|DPER, LOC113567243|XP_026850214.1|DPER, LOC113567235|XP_026850206.1|DPER, LOC6587397|XP_002013126.1|DPER, LOC113567242|XP_026850212.1|DPER, LOC113567391|XP_026850908.1|DPER, LOC113567026|XP_026850037.1|DPER, LOC113567027|XP_026850038.1|DPER, LOC113567400|XP_026850928.1|DPER, LOC6587650|XP_002013120.1|DPER, LOC113564935|XP_026840262.1|DPER, LOC113567383|XP_026850888.1|DPER, LOC113567241|XP_026850211.1|DPER, LOC6604119|XP_002029056.2|DPER, LOC113565361|XP_026842911.1|DPER, LOC113567390|XP_026850907.1|DPER, LOC6587454|XP_002013136.2|DPER, LOC113566634|XP_026848945.1|DPER
OG0000005	LOC6636998|XP_002060428.1|DVIR	LOC6587310|XP_002013132.1|DPER
OG0000005	LOC26530621|XP_015023595.2|DVIR	LOC6587387|XP_002013127.1|DPER
OG0000005	LOC116649813|XP_032288842.1|DVIR	LOC6604167|XP_026842916.1|DPER
OG0000005	LOC116649820|XP_032288853.1|DVIR	LOC113567403|XP_026850931.1|DPER
OG0000006	LOC116649808|XP_032288834.1|DVIR	LOC113567419|XP_026850958.1|DPER
OG0000006	LOC6637262|XP_032288828.1|DVIR	LOC113567411|XP_026850946.1|DPER
OG0000006	LOC116649810|XP_032288837.1|DVIR	LOC113567418|XP_026850957.1|DPER
OG0000006	LOC6637059|XP_002060475.1|DVIR	LOC6604120|XP_002029058.1|DPER
OG0000006	LOC6630844|XP_032294583.1|DVIR, LOC116649802|XP_032288824.1|DVIR, LOC6636961|XP_015023643.1|DVIR, LOC6636997|XP_032288831.1|DVIR, LOC6630084|XP_002053094.1|DVIR	LOC113567402|XP_026850930.1|DPER
OG0000006	LOC6630840|XP_032288832.1|DVIR	LOC113567386|XP_026850891.1|DPER
OG0000007	LOC6623030|XP_002046517.1|DVIR	LOC6601481|XP_002026421.1|DPER, LOC6601476|XP_002026420.1|DPER
OG0000007	LOC116650729|XP_032291101.1|DVIR	LOC6592462|XP_002017797.1|DPER
OG0000007	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR	LOC6596310|XP_002021480.2|DPER
OG0000007	LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR	LOC6601214|XP_002026310.2|DPER, LOC6589529|XP_002015017.1|DPER
OG0000008	LOC6629514|XP_002054585.2|DVIR	LOC6594328|XP_026850351.1|DPER
OG0000008	LOC6623720|XP_002046325.3|DVIR	LOC6601897|XP_026849381.1|DPER
OG0000008	LOC6622211|XP_002046327.1|DVIR	LOC6601898|XP_002026947.1|DPER
OG0000008	LOC6627554|XP_002052288.1|DVIR	LOC6595506|XP_002020611.1|DPER
OG0000008	LOC26531283|XP_015031719.1|DVIR	LOC113566715|XP_026849382.1|DPER
OG0000008	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR	LOC6591821|XP_002016971.2|DPER, LOC6591446|XP_026851133.1|DPER
OG0000008	LOC6631289|XP_002053528.2|DVIR	LOC6591826|XP_002016976.2|DPER
OG0000008	LOC6631285|XP_002053524.1|DVIR	LOC6591822|XP_002016972.1|DPER
OG0000008	LOC6631288|XP_002053527.1|DVIR	LOC6591825|XP_026846385.1|DPER
OG0000008	LOC6631290|XP_002053529.1|DVIR	LOC6591827|XP_002016977.1|DPER
OG0000009	LOC6632445|XP_002056511.1|DVIR	LOC6594636|XP_026850331.1|DPER
OG0000009	LOC6632323|XP_002056506.1|DVIR	LOC6594634|XP_002019930.1|DPER
OG0000009	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR	LOC6594633|XP_002019929.1|DPER, LOC6594635|XP_026850255.1|DPER, LOC6594558|XP_026850291.1|DPER
OG0000009	LOC6635767|XP_032294717.1|DVIR	LOC6591365|XP_002017250.2|DPER, LOC6604573|XP_026840043.1|DPER, LOC6591362|XP_002017247.1|DPER, LOC6591562|XP_002017111.1|DPER
OG0000009	LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR	LOC6601280|XP_026841960.1|DPER
OG0000009	LOC6626542|XP_002050752.1|DVIR	LOC6590982|XP_002016547.1|DPER
OG0000009	LOC6628883|XP_002051663.1|DVIR	LOC6590981|XP_002016546.2|DPER
OG0000010	LOC116649833|XP_032288875.1|DVIR, LOC6630085|XP_002053095.1|DVIR, LOC116649822|XP_032288857.1|DVIR, LOC6637070|XP_002060485.1|DVIR, LOC116649828|XP_032288865.1|DVIR	LOC113567423|XP_026850962.1|DPER
OG0000010	LOC6636962|XP_002060409.1|DVIR	LOC113567415|XP_026850950.1|DPER
OG0000010	LOC116649824|XP_032288860.1|DVIR	LOC113567250|XP_026850220.1|DPER
OG0000011	LOC6623065|XP_002048503.2|DVIR	LOC6599733|XP_002024838.2|DPER
OG0000011	LOC6635697|XP_002059270.2|DVIR	LOC6591544|XP_002017188.1|DPER
OG0000012	LOC6624922|XP_002050777.1|DVIR	LOC6589910|XP_026840670.1|DPER
OG0000012	LOC6625019|XP_002050778.1|DVIR	LOC6589909|XP_002016518.1|DPER
OG0000012	LOC6625021|XP_002050780.1|DVIR	LOC6589908|XP_026841658.1|DPER
OG0000012	LOC6624921|XP_015029085.1|DVIR	LOC6589911|XP_026840671.1|DPER
OG0000012	LOC6625066|XP_002049213.2|DVIR, LOC6625067|XP_032293151.1|DVIR, LOC6624920|XP_002050775.2|DVIR, LOC6624919|XP_002050774.2|DVIR, LOC26531760|XP_015030363.1|DVIR, LOC6627007|XP_032292288.1|DVIR, LOC6627006|XP_002050772.1|DVIR	LOC113565188|XP_026842345.1|DPER, LOC6589913|XP_026842148.1|DPER, LOC6590584|XP_026841794.1|DPER, LOC6589912|XP_002016521.1|DPER
OG0000012	LOC6627005|XP_002050771.1|DVIR	LOC6590586|XP_002016525.1|DPER, LOC6590587|XP_002016526.1|DPER, LOC6590588|XP_002016527.1|DPER
OG0000012	LOC6627004|XP_002050770.1|DVIR	LOC6590215|XP_002016528.1|DPER, LOC6590216|XP_002016529.1|DPER
OG0000013	LOC6626677|XP_002050872.1|DVIR	LOC6600889|XP_026840828.1|DPER
OG0000013	LOC6633411|XP_015025597.1|DVIR	LOC6598353|XP_002023428.2|DPER
OG0000013	LOC6630204|XP_002053707.1|DVIR	LOC6594205|XP_002019664.1|DPER, LOC6594496|XP_002019695.1|DPER
OG0000013	LOC6622085|XP_002048525.1|DVIR	LOC6602278|XP_002027327.1|DPER
OG0000013	LOC6632892|XP_002056192.1|DVIR	LOC113564954|XP_026840479.1|DPER
OG0000013	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR	LOC6587278|XP_002013456.1|DPER, LOC6588391|XP_002013455.2|DPER
OG0000013	LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR	LOC6598714|XP_002023893.1|DPER, LOC6598715|XP_026850871.1|DPER
OG0000015	LOC26531562|XP_032293636.1|DVIR	LOC113565410|XP_026843113.1|DPER, LOC6593385|XP_002019084.1|DPER
OG0000016	LOC6633127|XP_002056070.1|DVIR	LOC6587871|XP_002013173.2|DPER
OG0000016	LOC116650918|XP_032291957.1|DVIR	LOC6593077|XP_002017890.1|DPER
OG0000016	LOC6630423|XP_002053735.1|DVIR	LOC6587678|XP_002013954.1|DPER
OG0000016	LOC6625554|XP_002049004.2|DVIR	LOC6601585|XP_002026606.2|DPER
OG0000016	LOC6636049|XP_002059576.1|DVIR	LOC6599243|XP_002024300.1|DPER
OG0000016	LOC6635861|XP_002059335.1|DVIR	LOC6592910|XP_002018578.1|DPER
OG0000016	LOC6631018|XP_002054294.1|DVIR	LOC6587745|XP_026840230.1|DPER
OG0000016	LOC6623693|XP_002048319.1|DVIR	LOC6602189|XP_026848039.1|DPER
OG0000017	LOC6635873|XP_002059346.1|DVIR, LOC6636383|XP_032292047.1|DVIR, LOC6636382|XP_032292048.1|DVIR	LOC6602148|XP_002027095.1|DPER, LOC6602132|XP_002027094.1|DPER
OG0000017	LOC6628970|XP_032293497.1|DVIR, LOC6623565|XP_032291328.1|DVIR, LOC116651590|XP_032294188.1|DVIR	LOC6591189|XP_002015913.2|DPER, LOC6594928|XP_002020025.1|DPER
OG0000017	LOC6627049|XP_002050830.3|DVIR	LOC6592612|XP_002018160.1|DPER
OG0000017	LOC6635871|XP_002059345.1|DVIR	LOC6602127|XP_002027093.1|DPER
OG0000017	LOC6627836|XP_032294331.1|DVIR	LOC6595695|XP_026843975.1|DPER, LOC6595669|XP_002020729.1|DPER, LOC6595691|XP_002020717.1|DPER
OG0000018	LOC6623414|XP_002046136.1|DVIR	LOC6601448|XP_002026450.1|DPER
OG0000018	LOC6623369|XP_002046140.1|DVIR	LOC6601451|XP_002026453.1|DPER
OG0000018	LOC6623326|XP_002046138.1|DVIR	LOC6601450|XP_002026452.1|DPER
OG0000018	LOC6623104|XP_002046157.1|DVIR, LOC6623391|XP_002046158.1|DVIR	LOC6601447|XP_002026449.1|DPER, LOC6601443|XP_002026445.1|DPER, LOC6601446|XP_002026448.1|DPER, LOC6601444|XP_002026446.1|DPER
OG0000018	LOC6623443|XP_002046145.1|DVIR	LOC6601454|XP_026847893.1|DPER, LOC6601453|XP_002026455.1|DPER
OG0000019	LOC6630453|XP_002053914.1|DVIR, LOC6630456|XP_002053917.1|DVIR	LOC6587177|XP_002013000.1|DPER, LOC6587211|XP_002013001.2|DPER, LOC113564910|XP_026840077.1|DPER
OG0000019	LOC6630458|XP_002053919.1|DVIR	LOC6588514|XP_002012998.2|DPER
OG0000019	LOC6630457|XP_002053918.1|DVIR	LOC6587186|XP_002012999.1|DPER
OG0000019	LOC6630452|XP_002053913.1|DVIR	LOC6587637|XP_002013003.2|DPER, LOC6587295|XP_002013004.1|DPER, LOC6587205|XP_002013002.1|DPER
OG0000020	LOC6634957|XP_002058591.1|DVIR	LOC6594838|XP_002020242.2|DPER
OG0000020	LOC6635984|XP_002059302.2|DVIR	LOC6590666|XP_002015941.1|DPER
OG0000020	LOC6628903|XP_002051547.2|DVIR	LOC6589657|XP_002014518.1|DPER
OG0000020	LOC6632501|XP_032289762.1|DVIR	LOC6594627|XP_026850533.1|DPER
OG0000020	LOC6632573|XP_015026213.1|DVIR	LOC6594128|XP_002019432.1|DPER
OG0000020	LOC6628471|XP_002051546.1|DVIR	LOC6593366|XP_002018585.1|DPER, LOC6589656|XP_026844645.1|DPER
OG0000021	LOC6624373|XP_002047473.1|DVIR	LOC6603691|XP_002028659.1|DPER
OG0000021	LOC6627017|XP_002049727.2|DVIR	LOC6592715|XP_002018082.1|DPER
OG0000021	LOC6627018|XP_002049728.2|DVIR	LOC6592713|XP_002018080.1|DPER
OG0000021	LOC6627016|XP_002049726.1|DVIR	LOC6592714|XP_026841677.1|DPER
OG0000021	LOC6627164|XP_002049737.1|DVIR	LOC6592588|XP_002018070.2|DPER
OG0000021	LOC6625700|XP_015029837.1|DVIR	LOC6592233|XP_002018052.1|DPER
OG0000021	LOC6625029|XP_002050452.1|DVIR	LOC6597480|XP_002022716.1|DPER, LOC6597528|XP_002022710.1|DPER
OG0000021	LOC6627019|XP_002049729.1|DVIR	LOC6592712|XP_002018079.1|DPER
OG0000021	LOC6636003|XP_002059503.1|DVIR	LOC6599244|XP_026848260.1|DPER
OG0000021	LOC6629522|XP_002053324.1|DVIR	LOC113565817|XP_026844838.1|DPER
OG0000021	LOC6629847|XP_002054468.1|DVIR	LOC6598730|XP_026840231.1|DPER
OG0000021	LOC26531416|XP_015025728.1|DVIR	LOC6597578|XP_026848930.1|DPER
OG0000022	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR	LOC6593244|XP_026840814.1|DPER
OG0000022	LOC6622522|XP_002046428.1|DVIR, LOC116650757|XP_032291322.1|DVIR, LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR, LOC6622546|XP_002046431.1|DVIR	LOC6601031|XP_002026119.1|DPER, LOC6601062|XP_002026117.2|DPER, LOC6601060|XP_002026115.1|DPER, LOC6601030|XP_002026118.2|DPER, LOC6604616|XP_002029500.2|DPER, LOC113566795|XP_026849746.1|DPER, LOC6601061|XP_002026116.1|DPER, LOC113566796|XP_026849747.1|DPER
OG0000022	LOC116650066|XP_032289307.1|DVIR, LOC6622553|XP_002046434.2|DVIR	LOC113566793|XP_026849743.1|DPER, LOC113566797|XP_026849748.1|DPER
OG0000023	LOC26530945|XP_015026270.1|DVIR	LOC6594351|XP_026840807.1|DPER
OG0000023	LOC6632666|XP_032289605.1|DVIR	LOC6594350|XP_002019529.2|DPER
OG0000023	LOC6632668|XP_002056437.2|DVIR	LOC6594355|XP_002019534.1|DPER
OG0000023	LOC6632669|XP_002056438.1|DVIR	LOC6594114|XP_002019536.2|DPER
OG0000023	LOC6626291|XP_002050067.1|DVIR	LOC6590773|XP_002016461.1|DPER
OG0000023	LOC6632665|XP_002056434.1|DVIR, LOC6632664|XP_002056433.1|DVIR	LOC6594113|XP_002019535.2|DPER
OG0000023	LOC6632529|XP_002056427.2|DVIR	LOC6594346|XP_002019525.2|DPER
OG0000023	LOC6632531|XP_002056429.1|DVIR	LOC6594348|XP_002019527.1|DPER
OG0000023	LOC6632528|XP_032289545.1|DVIR	LOC6594344|XP_002019523.1|DPER
OG0000024	LOC6625432|XP_002049269.3|DVIR, LOC6625433|XP_015029714.1|DVIR, LOC6625430|XP_002049267.1|DVIR, LOC6625436|XP_002049273.1|DVIR, LOC6625435|XP_002049272.1|DVIR, LOC6625434|XP_002049271.1|DVIR	LOC6592576|XP_002017741.1|DPER, LOC6592577|XP_002017742.1|DPER, LOC6592579|XP_002017744.1|DPER
OG0000024	LOC6625431|XP_002049268.3|DVIR	LOC6592578|XP_002017743.2|DPER
OG0000024	LOC6634081|XP_002057902.1|DVIR	LOC6593580|XP_002018871.1|DPER
OG0000024	LOC6625429|XP_002049266.1|DVIR	LOC6592580|XP_002017745.1|DPER
OG0000024	LOC6625162|XP_002048929.1|DVIR	LOC6591036|XP_002016629.1|DPER
OG0000025	LOC6635606|XP_002058949.1|DVIR	LOC6599955|XP_002025032.1|DPER
OG0000025	LOC6637233|XP_002060537.1|DVIR	LOC6604122|XP_002029055.1|DPER, LOC113567416|XP_026850955.1|DPER
OG0000026	LOC6631803|XP_002055737.1|DVIR	LOC6598208|XP_002023333.1|DPER
OG0000026	LOC6628165|XP_002051461.1|DVIR	LOC6589226|XP_002014215.1|DPER
OG0000026	LOC6635194|XP_002058469.1|DVIR	LOC6598768|XP_002023910.1|DPER
OG0000027	LOC6629148|XP_002052895.1|DVIR	LOC6589175|XP_002014624.1|DPER
OG0000027	LOC6627465|XP_002052896.1|DVIR	LOC6589176|XP_002014625.1|DPER
OG0000028	LOC6622578|XP_032291308.1|DVIR, LOC116650753|XP_032291253.1|DVIR, LOC6622591|XP_032290503.1|DVIR	LOC6602403|XP_002027408.2|DPER, LOC113566574|XP_026848581.1|DPER, LOC113566575|XP_026848582.1|DPER
OG0000028	LOC6622560|XP_032290501.1|DVIR, LOC6622574|XP_002047517.1|DVIR	LOC6602374|XP_026848578.1|DPER
OG0000029	LOC6625353|XP_002050320.1|DVIR, LOC6625686|XP_002050319.2|DVIR	LOC6587627|XP_026841612.1|DPER
OG0000029	LOC6624236|XP_002048359.1|DVIR	LOC6599019|XP_002024136.1|DPER
OG0000030	LOC6627555|XP_002052289.1|DVIR	LOC6595505|XP_002020610.1|DPER
OG0000030	LOC6628998|XP_002052101.1|DVIR	LOC6596396|XP_002021549.2|DPER
OG0000030	LOC6627051|XP_002050832.1|DVIR, LOC6626964|XP_002050828.1|DVIR, LOC6626963|XP_002050827.1|DVIR	LOC6592616|XP_002018164.1|DPER
OG0000030	LOC6633403|XP_002057213.1|DVIR	LOC6600142|XP_002025259.1|DPER
OG0000030	LOC6632190|XP_002055645.1|DVIR	LOC6597331|XP_002022519.1|DPER
OG0000031	LOC6634268|XP_002057550.2|DVIR	LOC6603379|XP_002028365.1|DPER
OG0000031	LOC6634269|XP_002057551.2|DVIR, LOC6634303|XP_032293402.1|DVIR	LOC6596433|XP_002021831.1|DPER, LOC6596572|XP_002021833.1|DPER, LOC6596432|XP_002021830.2|DPER
OG0000031	LOC6629125|XP_002052391.1|DVIR	LOC6589468|XP_002014413.1|DPER
OG0000032	LOC6629979|XP_002054337.1|DVIR	LOC6598612|XP_002023857.1|DPER
OG0000032	LOC6629980|XP_032294917.1|DVIR	LOC6598613|XP_002023858.2|DPER, LOC6598611|XP_026840271.1|DPER
OG0000032	LOC6629978|XP_032294961.1|DVIR, LOC6634892|XP_002058480.2|DVIR, LOC6629977|XP_002054335.1|DVIR, LOC6629932|XP_002054333.2|DVIR, LOC6629933|XP_002054334.2|DVIR	LOC6598616|XP_002023861.1|DPER, LOC6598615|XP_002023860.1|DPER
OG0000033	LOC6635949|XP_002059391.1|DVIR	LOC6590958|XP_002015543.1|DPER
OG0000033	LOC6630139|XP_002053622.1|DVIR, LOC6630138|XP_002053621.1|DVIR, LOC6629617|XP_002053590.1|DVIR	LOC6590962|XP_002015544.1|DPER
OG0000034	LOC6627930|XP_002051996.1|DVIR	LOC6589244|XP_002014736.2|DPER
OG0000034	LOC6627931|XP_002051997.2|DVIR	LOC6589243|XP_002014735.1|DPER
OG0000034	LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR	LOC6589242|XP_002014734.1|DPER
OG0000034	LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR, LOC6628688|XP_002051352.1|DVIR	LOC6593808|XP_026844827.1|DPER
OG0000036	LOC6632491|XP_002056444.1|DVIR	LOC6594433|XP_002019545.1|DPER
OG0000036	LOC116651951|XP_032295383.1|DVIR	LOC6587691|XP_002013731.1|DPER
OG0000036	LOC6634881|XP_002058500.1|DVIR	LOC6594383|XP_002019297.1|DPER
OG0000036	LOC6630607|XP_002054482.2|DVIR	LOC6594997|XP_002020163.1|DPER, LOC6594996|XP_002020162.1|DPER
OG0000037	LOC6627126|XP_032291548.1|DVIR	LOC6590968|XP_002015904.2|DPER
OG0000037	LOC6629970|XP_002053079.1|DVIR	LOC6588198|XP_002012851.2|DPER, LOC6588191|XP_002012852.1|DPER, LOC6588222|XP_002012850.1|DPER, LOC6587269|XP_002012849.2|DPER
OG0000038	LOC6622648|XP_002047530.1|DVIR	LOC6602410|XP_002027415.1|DPER
OG0000038	LOC6624649|XP_002047532.2|DVIR	LOC6602412|XP_026848529.1|DPER
OG0000039	LOC6630003|XP_002054716.2|DVIR	LOC6591968|XP_026846968.1|DPER
OG0000039	LOC6631924|XP_002055751.1|DVIR	LOC6598396|XP_002023519.1|DPER
OG0000039	LOC6636063|XP_002059594.1|DVIR	LOC6598397|XP_002023520.1|DPER
OG0000039	LOC6632395|XP_002056631.2|DVIR, LOC6631925|XP_002055752.1|DVIR, LOC116652072|XP_032295834.1|DVIR	LOC6598395|XP_002023518.2|DPER
OG0000039	LOC6636702|XP_002060175.3|DVIR	LOC6599449|XP_026847206.1|DPER
OG0000040	LOC6629625|XP_002054865.1|DVIR	LOC113566301|XP_026847173.1|DPER, LOC6594423|XP_002019755.2|DPER, LOC6594424|XP_002019756.1|DPER, LOC6594425|XP_026850325.1|DPER, LOC113567269|XP_026850340.1|DPER
OG0000040	LOC6629626|XP_002054866.2|DVIR	LOC6594422|XP_002019754.1|DPER
OG0000040	LOC116651842|XP_032294845.1|DVIR, LOC6629623|XP_032294844.1|DVIR	LOC113566662|XP_026849040.1|DPER, LOC6591887|XP_026849046.1|DPER, LOC113566659|XP_026849033.1|DPER, LOC6591886|XP_026849059.1|DPER, LOC6594617|XP_002019840.1|DPER
OG0000040	LOC6629621|XP_002054861.1|DVIR	LOC6594616|XP_002019839.1|DPER
OG0000040	LOC6629744|XP_002053886.1|DVIR	LOC6587705|XP_002012978.2|DPER
OG0000041	LOC6630744|XP_032290585.1|DVIR, LOC116651238|XP_032293093.1|DVIR, LOC6630745|XP_032292365.1|DVIR	LOC6591525|XP_002017073.1|DPER, LOC6591526|XP_002017074.1|DPER, LOC6591518|XP_002017066.1|DPER, LOC6591551|XP_002017060.1|DPER
OG0000042	LOC6630880|XP_002053792.2|DVIR, LOC6636545|XP_002060049.1|DVIR, LOC6625347|XP_002051000.3|DVIR, LOC6625529|XP_002051023.1|DVIR, LOC6625448|XP_002050998.1|DVIR, LOC6623106|XP_002046713.1|DVIR, LOC6625348|XP_002051001.1|DVIR, LOC6625349|XP_002051002.1|DVIR	LOC6592870|XP_026842041.1|DPER, LOC6592873|XP_002018540.1|DPER, LOC6592872|XP_002018539.1|DPER, LOC6592871|XP_002018538.1|DPER, LOC113565032|XP_026840750.1|DPER, LOC6589097|XP_002014784.1|DPER
OG0000043	LOC6630320|XP_002053430.1|DVIR	LOC6594475|XP_002019741.1|DPER, LOC6594476|XP_002019742.1|DPER, LOC113567252|XP_026850237.1|DPER
OG0000043	LOC6630321|XP_002053431.1|DVIR	LOC6594474|XP_002019740.1|DPER
OG0000043	LOC6630323|XP_002053433.1|DVIR	LOC6594076|XP_002019736.1|DPER
OG0000043	LOC6630318|XP_002053428.2|DVIR	LOC6594478|XP_002019744.1|DPER, LOC6594479|XP_002019745.1|DPER
OG0000044	LOC6630493|XP_002053200.1|DVIR	LOC6591553|XP_026847828.1|DPER
OG0000044	LOC6630492|XP_002053199.1|DVIR, LOC6630491|XP_002053198.1|DVIR	LOC6591547|XP_002017056.1|DPER, LOC6591548|XP_026843232.1|DPER
OG0000045	LOC6624147|XP_002046895.1|DVIR	LOC6603693|XP_002028666.1|DPER
OG0000045	LOC6622199|XP_002046894.1|DVIR	LOC6601537|XP_002026551.1|DPER
OG0000045	LOC6624099|XP_002046893.1|DVIR	LOC6595948|XP_002021076.1|DPER
OG0000045	LOC6623107|XP_002046892.1|DVIR	LOC113565382|XP_026842979.1|DPER, LOC6595949|XP_026845634.1|DPER
OG0000046	LOC116652288|XP_032296485.1|DVIR, LOC6634418|XP_032296332.1|DVIR	LOC6602909|XP_002027932.2|DPER, LOC6602912|XP_026849662.1|DPER
OG0000046	LOC6629466|XP_032291044.1|DVIR, LOC6629465|XP_032291038.1|DVIR, LOC6629467|XP_002053883.2|DVIR, LOC6634417|XP_032296431.1|DVIR, LOC116652297|XP_032296495.1|DVIR	LOC6591074|XP_002015712.2|DPER, LOC6595022|XP_026847277.1|DPER, LOC6595021|XP_026847265.1|DPER, LOC6595020|XP_026847261.1|DPER
OG0000047	LOC6624848|XP_002050849.2|DVIR	LOC6589933|XP_002015961.2|DPER
OG0000047	LOC6626318|XP_002049525.1|DVIR	LOC6592655|XP_026842447.1|DPER
OG0000047	LOC6626924|XP_002049538.1|DVIR	LOC6592377|XP_002017999.1|DPER
OG0000048	LOC6623128|XP_002046219.1|DVIR	LOC6599875|XP_002024929.1|DPER, LOC6599876|XP_002024930.2|DPER
OG0000048	LOC6623780|XP_002046212.1|DVIR	LOC6599882|XP_002024936.1|DPER
OG0000048	LOC6623749|XP_002046215.1|DVIR	LOC6599879|XP_002024933.1|DPER
OG0000049	LOC6632704|XP_002056037.1|DVIR	LOC6598737|XP_002023806.2|DPER
OG0000049	LOC6632699|XP_002056032.2|DVIR	LOC6598767|XP_002023801.1|DPER, LOC113564913|XP_026840082.1|DPER
OG0000049	LOC6632702|XP_002056035.3|DVIR	LOC6598735|XP_002023804.1|DPER
OG0000049	LOC116650324|XP_032289598.1|DVIR	LOC6598765|XP_002023799.1|DPER
OG0000049	LOC6632703|XP_002056036.2|DVIR	LOC6598736|XP_026840083.1|DPER
OG0000050	LOC116651245|XP_032293110.1|DVIR	LOC6600939|XP_002026041.2|DPER
OG0000050	LOC116650744|XP_032291206.1|DVIR	LOC6603416|XP_002028421.2|DPER
OG0000050	LOC6622355|XP_002047925.1|DVIR	LOC6603438|XP_026848195.1|DPER
OG0000050	LOC6622345|XP_002047924.2|DVIR	LOC6603412|XP_002028417.1|DPER, LOC6603413|XP_026848216.1|DPER
OG0000050	LOC6622312|XP_002047926.2|DVIR	LOC113566500|XP_026848194.1|DPER, LOC6603415|XP_026848193.1|DPER
OG0000050	LOC6622403|XP_002047934.2|DVIR	LOC6603437|XP_002028415.2|DPER
