Orthogroup	DVIR.longest_only	ASTE.longest_only
OG0000010	LOC116649822|XP_032288857.1|DVIR, LOC6637070|XP_002060485.1|DVIR, LOC116649828|XP_032288865.1|DVIR	LOC118503730|XP_035893236.1|ASTE
OG0000010	LOC116649824|XP_032288860.1|DVIR	LOC118509785|XP_035906820.1|ASTE
OG0000012	LOC6624922|XP_002050777.1|DVIR, LOC6625019|XP_002050778.1|DVIR, LOC6625021|XP_002050780.1|DVIR, LOC6624921|XP_015029085.1|DVIR, LOC6625066|XP_002049213.2|DVIR, LOC6625067|XP_032293151.1|DVIR, LOC6624920|XP_002050775.2|DVIR, LOC6624919|XP_002050774.2|DVIR, LOC26531760|XP_015030363.1|DVIR, LOC6627007|XP_032292288.1|DVIR, LOC6627006|XP_002050772.1|DVIR, LOC6627005|XP_002050771.1|DVIR, LOC6627004|XP_002050770.1|DVIR	LOC118508901|XP_035904653.1|ASTE, LOC118508903|XP_035904655.1|ASTE
OG0000013	LOC6626677|XP_002050872.1|DVIR	LOC118507210|XP_035901192.1|ASTE
OG0000013	LOC6633411|XP_015025597.1|DVIR	LOC118503015|XP_035891731.1|ASTE
OG0000013	LOC6630204|XP_002053707.1|DVIR	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE
OG0000013	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR, LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE
OG0000016	LOC6633127|XP_002056070.1|DVIR, LOC6635889|XP_002059414.1|DVIR, LOC116650918|XP_032291957.1|DVIR	LOC118502962|XP_035891619.1|ASTE
OG0000016	LOC6630423|XP_002053735.1|DVIR	LOC118503654|XP_035893068.1|ASTE
OG0000016	LOC6636049|XP_002059576.1|DVIR	LOC118505170|XP_035896494.1|ASTE
OG0000016	LOC6623693|XP_002048319.1|DVIR	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE
OG0000018	LOC6623414|XP_002046136.1|DVIR	LOC118513024|XP_035914194.1|ASTE
OG0000019	LOC6630455|XP_032294460.1|DVIR, LOC6630454|XP_032294467.1|DVIR, LOC6630453|XP_002053914.1|DVIR, LOC6630456|XP_002053917.1|DVIR, LOC6630458|XP_002053919.1|DVIR, LOC6630457|XP_002053918.1|DVIR, LOC6630452|XP_002053913.1|DVIR	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE, LOC118506335|XP_035899208.1|ASTE, LOC118506986|XP_035900751.1|ASTE
OG0000020	LOC6634957|XP_002058591.1|DVIR, LOC6635984|XP_002059302.2|DVIR	LOC118507513|XP_035901949.1|ASTE
OG0000020	LOC6628903|XP_002051547.2|DVIR, LOC6632501|XP_032289762.1|DVIR, LOC6632573|XP_015026213.1|DVIR, LOC6628471|XP_002051546.1|DVIR	LOC118509588|XP_035906253.1|ASTE
OG0000021	LOC6636003|XP_002059503.1|DVIR	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE
OG0000021	LOC6629522|XP_002053324.1|DVIR, LOC6629847|XP_002054468.1|DVIR, LOC26531416|XP_015025728.1|DVIR	LOC118505796|XP_035898023.1|ASTE
OG0000022	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR, LOC6622533|XP_002046430.1|DVIR, LOC6622042|XP_002046436.1|DVIR, LOC116650060|XP_032289303.1|DVIR, LOC6622522|XP_002046428.1|DVIR, LOC116650757|XP_032291322.1|DVIR, LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR, LOC6622546|XP_002046431.1|DVIR, LOC116650066|XP_032289307.1|DVIR, LOC6622553|XP_002046434.2|DVIR	LOC118510588|XP_035908481.1|ASTE
OG0000023	LOC26530945|XP_015026270.1|DVIR, LOC6632666|XP_032289605.1|DVIR, LOC6632668|XP_002056437.2|DVIR, LOC6632669|XP_002056438.1|DVIR, LOC6626291|XP_002050067.1|DVIR, LOC6632665|XP_002056434.1|DVIR, LOC6632664|XP_002056433.1|DVIR, LOC6632533|XP_002056431.1|DVIR, LOC6632529|XP_002056427.2|DVIR, LOC6632531|XP_002056429.1|DVIR, LOC6632528|XP_032289545.1|DVIR	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE
OG0000024	LOC6625432|XP_002049269.3|DVIR, LOC6625433|XP_015029714.1|DVIR, LOC6625430|XP_002049267.1|DVIR, LOC6625436|XP_002049273.1|DVIR, LOC6625435|XP_002049272.1|DVIR, LOC6625434|XP_002049271.1|DVIR, LOC6625431|XP_002049268.3|DVIR, LOC6634081|XP_002057902.1|DVIR, LOC6625429|XP_002049266.1|DVIR, LOC6625162|XP_002048929.1|DVIR, LOC6626889|XP_002049423.1|DVIR, LOC6628415|XP_002052328.1|DVIR	LOC118507315|XP_035901591.1|ASTE
OG0000025	LOC6635606|XP_002058949.1|DVIR	LOC118514136|XP_035916629.1|ASTE
OG0000025	LOC6637233|XP_002060537.1|DVIR	LOC118509777|XP_035906810.1|ASTE
OG0000026	LOC6631256|XP_002053244.1|DVIR, LOC6636025|XP_002059549.1|DVIR, LOC6636164|XP_002059550.1|DVIR, LOC6635194|XP_002058469.1|DVIR	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE, LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE
OG0000027	LOC6629148|XP_002052895.1|DVIR, LOC6627465|XP_002052896.1|DVIR, LOC6635631|XP_002059236.1|DVIR	LOC118509266|XP_035905509.1|ASTE, LOC118512970|XP_035914090.1|ASTE, LOC118509804|XP_035906835.1|ASTE, LOC118509855|XP_035906957.1|ASTE
OG0000028	LOC6622578|XP_032291308.1|DVIR, LOC116650753|XP_032291253.1|DVIR, LOC6622591|XP_032290503.1|DVIR, LOC6622560|XP_032290501.1|DVIR, LOC6622574|XP_002047517.1|DVIR	LOC118513512|XP_035915261.1|ASTE
OG0000029	LOC6625353|XP_002050320.1|DVIR, LOC6625686|XP_002050319.2|DVIR, LOC6624236|XP_002048359.1|DVIR	LOC118509963|XP_035907235.1|ASTE, LOC118504435|XP_035894769.1|ASTE, LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE, LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE
OG0000031	LOC6634268|XP_002057550.2|DVIR, LOC6634269|XP_002057551.2|DVIR, LOC6634303|XP_032293402.1|DVIR	LOC118503726|XP_035893229.1|ASTE, LOC118504892|XP_035895844.1|ASTE, LOC118503724|XP_035893221.1|ASTE
OG0000032	LOC6629979|XP_002054337.1|DVIR, LOC6629980|XP_032294917.1|DVIR, LOC6629978|XP_032294961.1|DVIR, LOC6634892|XP_002058480.2|DVIR, LOC6629977|XP_002054335.1|DVIR, LOC6629932|XP_002054333.2|DVIR, LOC6629933|XP_002054334.2|DVIR	LOC118503124|XP_035891971.1|ASTE, LOC118503002|XP_035891706.1|ASTE, LOC118503126|XP_035891972.1|ASTE, LOC118503003|XP_035891707.1|ASTE, LOC118503000|XP_035891703.1|ASTE, LOC118502999|XP_035891702.1|ASTE, LOC118504242|XP_035894357.1|ASTE
OG0000034	LOC6627930|XP_002051996.1|DVIR, LOC6627931|XP_002051997.2|DVIR, LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR, LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR, LOC6628688|XP_002051352.1|DVIR	LOC118512083|XP_035911935.1|ASTE, LOC118512076|XP_035911906.1|ASTE, LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE
OG0000036	LOC6632491|XP_002056444.1|DVIR	LOC118505450|XP_035897142.1|ASTE
OG0000036	LOC116651951|XP_032295383.1|DVIR	LOC118502424|XP_035890544.1|ASTE
OG0000036	LOC6631850|XP_002055586.3|DVIR	LOC118502387|XP_035890502.1|ASTE, LOC118502388|XP_035890503.1|ASTE, LOC118506977|XP_035900729.1|ASTE, LOC118505354|XP_035896919.1|ASTE, LOC118506976|XP_035900728.1|ASTE, LOC118506974|XP_035900726.1|ASTE
OG0000037	LOC6627126|XP_032291548.1|DVIR, LOC6629970|XP_002053079.1|DVIR, LOC6630819|XP_002054726.2|DVIR, LOC26531412|XP_015030326.1|DVIR	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE
OG0000038	LOC6622648|XP_002047530.1|DVIR	LOC118510894|XP_035909171.1|ASTE
OG0000038	LOC6624649|XP_002047532.2|DVIR	LOC118510898|XP_035909176.1|ASTE
OG0000039	LOC6630003|XP_002054716.2|DVIR	LOC118509581|XP_035906243.1|ASTE, LOC118509576|XP_035906238.1|ASTE, LOC118509578|XP_035906240.1|ASTE, LOC118509580|XP_035906242.1|ASTE, LOC118509577|XP_035906239.1|ASTE, LOC118509579|XP_035906241.1|ASTE, LOC118509582|XP_035906245.1|ASTE, LOC118512924|XP_035913974.1|ASTE, LOC118504616|XP_035895189.1|ASTE, LOC118504617|XP_035895190.1|ASTE
OG0000041	LOC6630636|XP_002053634.1|DVIR, LOC6630746|XP_002053207.1|DVIR, LOC6630637|XP_002053635.1|DVIR, LOC6630748|XP_002053209.1|DVIR, LOC6630744|XP_032290585.1|DVIR, LOC116651238|XP_032293093.1|DVIR, LOC6630745|XP_032292365.1|DVIR	LOC118502651|XP_035890993.1|ASTE
OG0000043	LOC6630320|XP_002053430.1|DVIR, LOC6630321|XP_002053431.1|DVIR, LOC6630323|XP_002053433.1|DVIR, LOC6630318|XP_002053428.2|DVIR	LOC118514201|XP_035916783.1|ASTE
OG0000047	LOC6624851|XP_002050852.1|DVIR, LOC6624848|XP_002050849.2|DVIR, LOC6626318|XP_002049525.1|DVIR, LOC6623898|XP_015031386.1|DVIR, LOC6624041|XP_002047846.1|DVIR, LOC6626924|XP_002049538.1|DVIR	LOC118514097|XP_035916530.1|ASTE
OG0000048	LOC6623801|XP_002046214.1|DVIR, LOC6623780|XP_002046212.1|DVIR, LOC6623749|XP_002046215.1|DVIR	LOC118510295|XP_035907813.1|ASTE
OG0000049	LOC6632699|XP_002056032.2|DVIR, LOC6632702|XP_002056035.3|DVIR, LOC6632698|XP_002056031.1|DVIR, LOC116650324|XP_032289598.1|DVIR, LOC6632703|XP_002056036.2|DVIR	LOC118510116|XP_035907473.1|ASTE, LOC118516340|XP_035918044.1|ASTE, LOC118511361|XP_035910216.1|ASTE, LOC118511360|XP_035910215.1|ASTE, LOC118516348|XP_035918056.1|ASTE
OG0000051	LOC6633160|XP_002056609.1|DVIR, LOC6632364|XP_002056725.1|DVIR, LOC6630427|XP_002053739.1|DVIR	LOC118504525|XP_035894960.1|ASTE, LOC118504587|XP_035895135.1|ASTE, LOC118504592|XP_035895145.1|ASTE, LOC118504595|XP_035895149.1|ASTE
OG0000053	LOC6625282|XP_002049664.3|DVIR, LOC6624847|XP_002049663.1|DVIR, LOC6624846|XP_002049662.1|DVIR	LOC118503243|XP_035892157.1|ASTE, LOC118503347|XP_035892412.1|ASTE, LOC118503346|XP_035892410.1|ASTE
OG0000054	LOC6633223|XP_002056282.1|DVIR, LOC6629800|XP_002053376.1|DVIR, LOC6633224|XP_002056283.1|DVIR, LOC116650298|XP_032289550.1|DVIR	LOC118511291|XP_035910092.1|ASTE, LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE, LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE, LOC118512788|XP_035913599.1|ASTE, LOC118512789|XP_035913600.1|ASTE
OG0000055	LOC6632627|XP_002056104.1|DVIR, LOC6632628|XP_002056105.1|DVIR, LOC6632630|XP_002056107.2|DVIR, LOC6632629|XP_002056106.2|DVIR	LOC118508181|XP_035903635.1|ASTE, LOC118509864|XP_035906979.1|ASTE
OG0000056	LOC6630825|XP_002054732.1|DVIR, LOC6630824|XP_002054731.1|DVIR, LOC26531774|XP_032295287.1|DVIR, LOC6630956|XP_002054733.1|DVIR, LOC6627508|XP_002052791.1|DVIR	LOC118507841|XP_035902865.1|ASTE
OG0000057	LOC116651248|XP_032293116.1|DVIR	LOC118502375|XP_035890488.1|ASTE, LOC118505467|XP_035897214.1|ASTE, LOC118505227|XP_035896692.1|ASTE
OG0000058	LOC6628288|XP_002051345.2|DVIR, LOC6628289|XP_032293797.1|DVIR, LOC6637243|XP_002060538.2|DVIR, LOC6628292|XP_002051349.1|DVIR, LOC6628291|XP_002051348.1|DVIR, LOC6628290|XP_002051347.1|DVIR, LOC6633609|XP_002056917.1|DVIR	LOC118513234|XP_035914678.1|ASTE, LOC118509609|XP_035906312.1|ASTE
OG0000060	LOC6634792|XP_002058128.1|DVIR, LOC6634791|XP_002058127.1|DVIR	LOC118506293|XP_035899121.1|ASTE
OG0000060	LOC6632878|XP_032289764.1|DVIR	LOC118514292|XP_035916947.1|ASTE
OG0000060	LOC6633466|XP_002057057.1|DVIR, LOC6628994|XP_002052097.1|DVIR	LOC118509485|XP_035906030.1|ASTE
OG0000062	LOC6630621|XP_002053750.1|DVIR, LOC6632062|XP_002055617.1|DVIR, LOC6634206|XP_002057799.2|DVIR	LOC118512947|XP_035914059.1|ASTE
OG0000064	LOC6628665|XP_002051821.1|DVIR	LOC118503143|XP_035892009.1|ASTE
OG0000067	LOC6632379|XP_002056002.1|DVIR, LOC6623824|XP_002047391.1|DVIR	LOC118517599|XP_035919781.1|ASTE, LOC118517600|XP_035919782.1|ASTE, LOC118517598|XP_035919779.1|ASTE
OG0000067	LOC6623911|XP_002046867.1|DVIR	LOC118509032|XP_035904963.1|ASTE
OG0000068	LOC6626486|XP_015029513.1|DVIR, LOC6631686|XP_032295536.1|DVIR	LOC118509544|XP_035906185.1|ASTE, LOC118509545|XP_035906187.1|ASTE, LOC118512181|XP_035912164.1|ASTE, LOC118504040|XP_035893930.1|ASTE, LOC118504041|XP_035893931.1|ASTE, LOC118505785|XP_035897988.1|ASTE
OG0000070	LOC6628714|XP_002051332.1|DVIR, LOC6631435|XP_002054957.2|DVIR, LOC6628614|XP_002051334.1|DVIR, LOC6628613|XP_002051333.1|DVIR	LOC118514552|XP_035917436.1|ASTE, LOC118514553|XP_035917437.1|ASTE
OG0000071	LOC6623560|XP_002048623.2|DVIR	LOC118507755|XP_035902660.1|ASTE
OG0000071	LOC6622067|XP_002047717.2|DVIR, LOC6622389|XP_032290781.1|DVIR, LOC116650646|XP_032290782.1|DVIR	LOC118508078|XP_035903435.1|ASTE, LOC118512339|XP_035912519.1|ASTE, LOC118508073|XP_035903430.1|ASTE, LOC118508077|XP_035903434.1|ASTE, LOC118508075|XP_035903432.1|ASTE, LOC118508072|XP_035903428.1|ASTE
OG0000072	LOC6635857|XP_002059479.1|DVIR, LOC6627108|XP_002050848.2|DVIR, LOC6627106|XP_002050846.1|DVIR	LOC118515883|XP_035917965.1|ASTE, LOC118514335|XP_035917037.1|ASTE, LOC118511004|XP_035909412.1|ASTE, LOC118509229|XP_035905431.1|ASTE
OG0000073	LOC6625785|XP_002049583.1|DVIR	LOC118508175|XP_035903617.1|ASTE
OG0000073	LOC6634684|XP_032289237.1|DVIR	LOC118504541|XP_035895010.1|ASTE, LOC118504546|XP_035895042.1|ASTE
OG0000073	LOC6635019|XP_015024910.1|DVIR	LOC118506813|XP_035900364.1|ASTE
OG0000074	LOC116650728|XP_032291099.1|DVIR, LOC6624120|XP_002046531.3|DVIR, LOC6623893|XP_002046826.2|DVIR	LOC118516380|XP_035918125.1|ASTE, LOC118512784|XP_035913591.1|ASTE, LOC118510203|XP_035907633.1|ASTE, LOC118512755|XP_035913538.1|ASTE, LOC118516368|XP_035918114.1|ASTE, LOC118512757|XP_035913540.1|ASTE, LOC118512754|XP_035913537.1|ASTE, LOC118516371|XP_035918117.1|ASTE, LOC118516372|XP_035918118.1|ASTE, LOC118516374|XP_035918120.1|ASTE, LOC118512758|XP_035913541.1|ASTE, LOC118516373|XP_035918119.1|ASTE, LOC118512753|XP_035913536.1|ASTE, LOC118512756|XP_035913539.1|ASTE, LOC118516369|XP_035918115.1|ASTE, LOC118512737|XP_035913495.1|ASTE, LOC118513110|XP_035914403.1|ASTE, LOC118513102|XP_035914396.1|ASTE, LOC118513101|XP_035914395.1|ASTE, LOC118513100|XP_035914394.1|ASTE
OG0000076	LOC6636598|XP_015023834.1|DVIR	LOC118512277|XP_035912363.1|ASTE, LOC118517163|XP_035918937.1|ASTE
OG0000076	LOC6632148|XP_002055757.3|DVIR	LOC118504620|XP_035895194.1|ASTE
OG0000077	LOC6627101|XP_002049944.1|DVIR	LOC118507281|XP_035901485.1|ASTE
OG0000077	LOC6629945|XP_002053003.1|DVIR	LOC118512454|XP_035912813.1|ASTE
OG0000077	LOC6624992|XP_002049450.1|DVIR	LOC118506025|XP_035898529.1|ASTE
OG0000077	LOC6631157|XP_002054511.2|DVIR	LOC118511962|XP_035911578.1|ASTE
OG0000078	LOC6625190|XP_002049123.3|DVIR, LOC26531397|XP_015030323.1|DVIR, LOC6625191|XP_002049124.2|DVIR, LOC6622767|XP_002048006.1|DVIR, LOC6632525|XP_002056424.2|DVIR, LOC6632017|XP_002055232.3|DVIR, LOC6631517|XP_002055314.1|DVIR	LOC118506363|XP_035899271.1|ASTE
OG0000080	LOC6635875|XP_002059348.1|DVIR, LOC6625499|XP_002049016.1|DVIR	LOC118508460|XP_035904157.1|ASTE, LOC118508462|XP_035904160.1|ASTE
OG0000082	LOC6624944|XP_002050224.1|DVIR, LOC6631012|XP_032295246.1|DVIR, LOC6634864|XP_002058699.1|DVIR	LOC118507692|XP_035902418.1|ASTE, LOC118513643|XP_035915603.1|ASTE, LOC118517141|XP_035918892.1|ASTE, LOC118513644|XP_035915604.1|ASTE, LOC118513645|XP_035915605.1|ASTE
OG0000083	LOC6624533|XP_002047646.1|DVIR, LOC6627816|XP_002051141.2|DVIR	LOC118512490|XP_035912888.1|ASTE, LOC118512492|XP_035912890.1|ASTE, LOC118512491|XP_035912889.1|ASTE
OG0000084	LOC6625031|XP_002050290.1|DVIR	LOC118507487|XP_035901904.1|ASTE, LOC118509025|XP_035904952.1|ASTE, LOC118504703|XP_035895429.1|ASTE, LOC118508829|XP_035904468.1|ASTE, LOC118509024|XP_035904951.1|ASTE, LOC118509023|XP_035904949.1|ASTE, LOC118513092|XP_035914386.1|ASTE
OG0000084	LOC6627277|XP_002050654.1|DVIR	LOC118503417|XP_035892550.1|ASTE
OG0000085	LOC6625945|XP_015029990.1|DVIR	LOC118513044|XP_035914229.1|ASTE
OG0000086	LOC6625022|XP_002050781.1|DVIR, LOC6637034|XP_032292292.1|DVIR	LOC118508907|XP_035904661.1|ASTE
OG0000087	LOC6627342|XP_002052453.1|DVIR	LOC118511163|XP_035909795.1|ASTE, LOC118511165|XP_035909796.1|ASTE, LOC118511162|XP_035909794.1|ASTE, LOC118511161|XP_035909793.1|ASTE
OG0000088	LOC6624854|XP_002049202.1|DVIR	LOC118503330|XP_035892383.1|ASTE
OG0000089	LOC6630704|XP_002054644.1|DVIR	LOC118505310|XP_035896841.1|ASTE
OG0000089	LOC6623346|XP_002047269.1|DVIR	LOC118511372|XP_035910259.1|ASTE, LOC118511382|XP_035910282.1|ASTE
OG0000090	LOC6625113|XP_002049287.1|DVIR, LOC6625413|XP_002049290.1|DVIR, LOC6622878|XP_002046497.1|DVIR, LOC6623278|XP_002048567.1|DVIR, LOC6622829|XP_002047055.2|DVIR	LOC118506264|XP_035899059.1|ASTE
OG0000091	LOC6630750|XP_032294848.1|DVIR	LOC118507859|XP_035902942.1|ASTE
OG0000091	LOC6627714|XP_002051636.1|DVIR, LOC6632846|XP_002056244.1|DVIR, LOC6632847|XP_002056245.1|DVIR	LOC118505600|XP_035897520.1|ASTE, LOC118516561|XP_035918412.1|ASTE
OG0000093	LOC6627672|XP_002051948.1|DVIR	LOC118510780|XP_035908957.1|ASTE
OG0000094	LOC6623745|XP_002047834.1|DVIR, LOC116651603|XP_032294227.1|DVIR, LOC6628121|XP_032296013.1|DVIR	LOC118502720|XP_035891168.1|ASTE, LOC118506771|XP_035900263.1|ASTE, LOC118514681|XP_035917717.1|ASTE, LOC118516006|XP_035918152.1|ASTE
OG0000096	LOC6633088|XP_002056271.1|DVIR, LOC6633047|XP_002056270.1|DVIR, LOC6633089|XP_002056272.1|DVIR, LOC6628330|XP_002051202.1|DVIR	LOC118514595|XP_035917485.1|ASTE
OG0000098	LOC6632457|XP_002056303.1|DVIR, LOC6634916|XP_002058676.1|DVIR	LOC118506462|XP_035899533.1|ASTE
OG0000099	LOC6633490|XP_015025434.1|DVIR	LOC118502385|XP_035890500.1|ASTE, LOC118506916|XP_035900604.1|ASTE, LOC118506914|XP_035900601.1|ASTE
OG0000101	LOC6622499|XP_032291169.1|DVIR, LOC6622530|XP_015030654.1|DVIR, LOC26531878|XP_032290505.1|DVIR, LOC116650581|XP_032290504.1|DVIR, LOC6622479|XP_015030655.1|DVIR, LOC6622519|XP_015030651.1|DVIR	LOC118510504|XP_035908303.1|ASTE
OG0000102	LOC6626051|XP_002050456.1|DVIR	LOC118509466|XP_035905987.1|ASTE, LOC118511833|XP_035911269.1|ASTE, LOC118509016|XP_035904927.1|ASTE, LOC118509017|XP_035904928.1|ASTE, LOC118511825|XP_035911262.1|ASTE, LOC118511824|XP_035911261.1|ASTE
OG0000102	LOC6627172|XP_002048695.1|DVIR	LOC118504365|XP_035894655.1|ASTE
OG0000103	LOC6623591|XP_002046807.1|DVIR, LOC6623698|XP_002046808.1|DVIR, LOC6623703|XP_002046809.1|DVIR, LOC6636437|XP_032291286.1|DVIR, LOC116649737|XP_032291663.1|DVIR	LOC118508203|XP_035903666.1|ASTE
OG0000105	LOC6634229|XP_002057740.1|DVIR, LOC6631244|XP_002053645.1|DVIR, LOC6631241|XP_032293557.1|DVIR	LOC118506605|XP_035899865.1|ASTE
OG0000109	LOC6628484|XP_002052031.2|DVIR	LOC118505426|XP_035897081.1|ASTE, LOC118502869|XP_035891469.1|ASTE
OG0000109	LOC6628432|XP_002052040.2|DVIR, LOC6628433|XP_032294226.1|DVIR	LOC118504419|XP_035894746.1|ASTE
OG0000110	LOC6622405|XP_002046654.1|DVIR, LOC6622336|XP_032291383.1|DVIR, LOC6622410|XP_002046655.1|DVIR, LOC6622454|XP_002046656.2|DVIR, LOC6622494|XP_002046657.1|DVIR	LOC118511309|XP_035910114.1|ASTE, LOC118511304|XP_035910107.1|ASTE
OG0000111	LOC6625186|XP_002049119.1|DVIR, LOC6624898|XP_002049116.1|DVIR, LOC6624897|XP_002049115.1|DVIR	LOC118504874|XP_035895818.1|ASTE, LOC118503662|XP_035893080.1|ASTE, LOC118503161|XP_035892015.1|ASTE, LOC118504876|XP_035895821.1|ASTE, LOC118507965|XP_035903187.1|ASTE, LOC118507089|XP_035900970.1|ASTE, LOC118503024|XP_035891741.1|ASTE
OG0000112	LOC6631730|XP_002055577.1|DVIR, LOC6631731|XP_002055578.1|DVIR, LOC6632015|XP_002055230.1|DVIR, LOC6632116|XP_002055254.1|DVIR	LOC118509575|XP_035906237.1|ASTE, LOC118516425|XP_035918189.1|ASTE, LOC118509754|XP_035906778.1|ASTE
OG0000113	LOC26530946|XP_015024980.1|DVIR, LOC6622156|XP_002048476.2|DVIR, LOC6631790|XP_002055369.2|DVIR, LOC6633853|XP_002057376.2|DVIR	LOC118512990|XP_035914139.1|ASTE
OG0000114	LOC6627890|XP_002052296.1|DVIR	LOC118509008|XP_035904916.1|ASTE
