Orthogroup	DVIR.longest_only	DSEC.longest_only
OG0000009	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR	LOC116802676|XP_032582933.1|DSEC, LOC6619044|XP_002043286.1|DSEC, LOC6619042|XP_032576485.1|DSEC
OG0000009	LOC6635767|XP_032294717.1|DVIR	LOC6610926|XP_032574591.1|DSEC, LOC116801150|XP_032574906.1|DSEC
OG0000009	LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR	LOC6618810|XP_002043059.1|DSEC
OG0000009	LOC6626542|XP_002050752.1|DVIR	LOC6608841|XP_002033555.1|DSEC
OG0000009	LOC6628883|XP_002051663.1|DVIR	LOC6608840|XP_002033554.1|DSEC
OG0000010	LOC6630112|XP_002053105.1|DVIR, LOC116649825|XP_032288861.1|DVIR, LOC116649824|XP_032288860.1|DVIR, LOC6637029|XP_002060450.1|DVIR, LOC6630116|XP_032288858.1|DVIR	LOC6606375|XP_032579311.1|DSEC
OG0000011	LOC6623065|XP_002048503.2|DVIR	LOC6605627|XP_002030445.2|DSEC
OG0000011	LOC6635697|XP_002059270.2|DVIR	LOC6607077|XP_002031865.1|DSEC
OG0000012	LOC6624922|XP_002050777.1|DVIR	LOC6609925|XP_002034575.2|DSEC
OG0000012	LOC6625019|XP_002050778.1|DVIR	LOC6609924|XP_002034574.2|DSEC
OG0000012	LOC6625021|XP_002050780.1|DVIR	LOC6609923|XP_032571611.1|DSEC
OG0000012	LOC6624921|XP_015029085.1|DVIR	LOC6609926|XP_002034576.1|DSEC
OG0000012	LOC6625066|XP_002049213.2|DVIR, LOC6625067|XP_032293151.1|DVIR, LOC6624920|XP_002050775.2|DVIR, LOC6624919|XP_002050774.2|DVIR, LOC26531760|XP_015030363.1|DVIR, LOC6627007|XP_032292288.1|DVIR, LOC6627006|XP_002050772.1|DVIR	LOC6609929|XP_032571342.1|DSEC, LOC6609927|XP_002034577.1|DSEC
OG0000012	LOC6627005|XP_002050771.1|DVIR	LOC6608817|XP_032571423.1|DSEC, LOC6608818|XP_032571424.1|DSEC, LOC6608819|XP_002033533.2|DSEC, LOC6608820|XP_032571616.1|DSEC
OG0000012	LOC6627004|XP_002050770.1|DVIR	LOC6608821|XP_032571618.1|DSEC, LOC6608822|XP_032571615.1|DSEC
OG0000013	LOC6626677|XP_002050872.1|DVIR	LOC6609116|XP_002033818.1|DSEC
OG0000013	LOC6633411|XP_015025597.1|DVIR	LOC6619913|XP_032582274.1|DSEC
OG0000013	LOC6630204|XP_002053707.1|DVIR	LOC6606301|XP_002031106.1|DSEC
OG0000013	LOC6622085|XP_002048525.1|DVIR	LOC6605619|XP_032575697.1|DSEC
OG0000013	LOC6632892|XP_002056192.1|DVIR	LOC6606578|XP_002031379.1|DSEC
OG0000013	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR	LOC6607674|XP_002032439.2|DSEC
OG0000013	LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR	LOC116801751|XP_032578918.1|DSEC, LOC6606753|XP_002031550.1|DSEC, LOC6606754|XP_002031551.1|DSEC
OG0000014	LOC116652015|XP_032295550.1|DVIR	LOC116802439|XP_032582809.1|DSEC
OG0000014	LOC116649966|XP_032289172.1|DVIR, LOC116649899|XP_032289057.1|DVIR	LOC116800565|XP_032572118.1|DSEC, LOC116802202|XP_032581775.1|DSEC
OG0000015	LOC6633997|XP_032293758.1|DVIR	LOC6614679|XP_002039106.1|DSEC
OG0000015	LOC26531562|XP_032293636.1|DVIR	LOC6608675|XP_002033404.2|DSEC, LOC116801741|XP_032578887.1|DSEC
OG0000016	LOC6633127|XP_002056070.1|DVIR	LOC6606525|XP_002031326.2|DSEC
OG0000016	LOC116650918|XP_032291957.1|DVIR	LOC6615268|XP_002039673.2|DSEC
OG0000016	LOC6630423|XP_002053735.1|DVIR	LOC6606623|XP_002031424.1|DSEC
OG0000016	LOC6625554|XP_002049004.2|DVIR	LOC6609492|XP_032572820.1|DSEC
OG0000016	LOC6636049|XP_002059576.1|DVIR	LOC6612339|XP_002036849.1|DSEC
OG0000016	LOC6635861|XP_002059335.1|DVIR	LOC6619144|XP_002043384.1|DSEC
OG0000016	LOC6631018|XP_002054294.1|DVIR	LOC6606248|XP_002031056.2|DSEC
OG0000016	LOC6623693|XP_002048319.1|DVIR	LOC6616531|XP_002040890.1|DSEC
OG0000017	LOC6635873|XP_002059346.1|DVIR, LOC6636383|XP_032292047.1|DVIR, LOC6636382|XP_032292048.1|DVIR	LOC6619131|XP_002043371.1|DSEC
OG0000017	LOC6628970|XP_032293497.1|DVIR, LOC6623565|XP_032291328.1|DVIR, LOC116651590|XP_032294188.1|DVIR	LOC6618718|XP_002042977.1|DSEC
OG0000017	LOC6627049|XP_002050830.3|DVIR	LOC6615716|XP_032571357.1|DSEC
OG0000017	LOC6635871|XP_002059345.1|DVIR	LOC6619133|XP_002043373.1|DSEC
OG0000017	LOC6627836|XP_032294331.1|DVIR	LOC6617387|XP_032577559.1|DSEC
OG0000018	LOC6623414|XP_002046136.1|DVIR	LOC6610980|XP_002035537.1|DSEC
OG0000018	LOC6623369|XP_002046140.1|DVIR	LOC6610983|XP_002035540.1|DSEC
OG0000018	LOC6623326|XP_002046138.1|DVIR	LOC6621634|XP_002045742.2|DSEC
OG0000018	LOC6623391|XP_002046158.1|DVIR	LOC6610978|XP_002035535.1|DSEC, LOC6610976|XP_002035533.2|DSEC
OG0000019	LOC6630453|XP_002053914.1|DVIR, LOC6630456|XP_002053917.1|DVIR	LOC6617118|XP_002041445.1|DSEC
OG0000019	LOC6630458|XP_002053919.1|DVIR	LOC6617113|XP_002041440.2|DSEC
OG0000019	LOC6630457|XP_002053918.1|DVIR	LOC6617114|XP_002041441.1|DSEC
OG0000019	LOC6630452|XP_002053913.1|DVIR	LOC6617119|XP_002041446.1|DSEC, LOC6617120|XP_032579359.1|DSEC
OG0000020	LOC6634957|XP_002058591.1|DVIR	LOC116801805|XP_032579403.1|DSEC
OG0000020	LOC6635984|XP_002059302.2|DVIR	LOC6615344|XP_002039742.1|DSEC
OG0000020	LOC6628903|XP_002051547.2|DVIR	LOC6614620|XP_002039048.1|DSEC, LOC6608343|XP_032571142.1|DSEC, LOC6611665|XP_032583373.1|DSEC
OG0000020	LOC6632501|XP_032289762.1|DVIR	LOC6619030|XP_032578205.1|DSEC
OG0000020	LOC6632573|XP_015026213.1|DVIR	LOC6606811|XP_002031608.2|DSEC
OG0000020	LOC6628471|XP_002051546.1|DVIR	LOC6618224|XP_032583413.1|DSEC, LOC6614621|XP_002039049.1|DSEC
OG0000021	LOC6627018|XP_002049728.2|DVIR	LOC6613204|XP_002037684.1|DSEC
OG0000021	LOC6627016|XP_002049726.1|DVIR	LOC116803465|XP_032583061.1|DSEC
OG0000021	LOC6627164|XP_002049737.1|DVIR	LOC6615454|XP_002039834.1|DSEC
OG0000021	LOC6625700|XP_015029837.1|DVIR	LOC6615468|XP_002039848.1|DSEC
OG0000021	LOC6625029|XP_002050452.1|DVIR	LOC6609714|XP_002034371.1|DSEC
OG0000021	LOC6627019|XP_002049729.1|DVIR	LOC116803406|XP_032583029.1|DSEC
OG0000021	LOC6636003|XP_002059503.1|DVIR	LOC6617550|XP_032580648.1|DSEC
OG0000021	LOC6629522|XP_002053324.1|DVIR	LOC6607757|XP_002032520.1|DSEC
OG0000021	LOC6629847|XP_002054468.1|DVIR	LOC6606667|XP_002031467.1|DSEC
OG0000021	LOC26531416|XP_015025728.1|DVIR	LOC6620369|XP_002044577.1|DSEC
OG0000022	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR	LOC6609401|XP_002034086.1|DSEC
OG0000022	LOC6622522|XP_002046428.1|DVIR, LOC116650757|XP_032291322.1|DVIR, LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR, LOC6622546|XP_002046431.1|DVIR	LOC6610278|XP_002034873.2|DSEC, LOC6610275|XP_002034870.1|DSEC, LOC6610276|XP_002034871.1|DSEC, LOC6610274|XP_002034869.1|DSEC
OG0000022	LOC116650066|XP_032289307.1|DVIR, LOC6622553|XP_002046434.2|DVIR	LOC116801300|XP_032575946.1|DSEC
OG0000023	LOC26530945|XP_015026270.1|DVIR	LOC6614266|XP_002038706.1|DSEC
OG0000023	LOC6632666|XP_032289605.1|DVIR	LOC6614270|XP_002038710.2|DSEC
OG0000023	LOC6632669|XP_002056438.1|DVIR	LOC6614272|XP_002038712.1|DSEC
OG0000023	LOC6626291|XP_002050067.1|DVIR	LOC6615538|XP_002039917.1|DSEC
OG0000023	LOC6632665|XP_002056434.1|DVIR, LOC6632664|XP_002056433.1|DVIR	LOC6614271|XP_032578446.1|DSEC
OG0000023	LOC6632533|XP_002056431.1|DVIR	LOC6614265|XP_002038705.1|DSEC
OG0000023	LOC6632529|XP_002056427.2|DVIR	LOC6614261|XP_032579066.1|DSEC
OG0000023	LOC6632531|XP_002056429.1|DVIR	LOC6614263|XP_002038703.1|DSEC
OG0000023	LOC6632528|XP_032289545.1|DVIR	LOC6614259|XP_032579064.1|DSEC
OG0000024	LOC6625432|XP_002049269.3|DVIR, LOC6625433|XP_015029714.1|DVIR, LOC6625430|XP_002049267.1|DVIR, LOC6625436|XP_002049273.1|DVIR, LOC6625435|XP_002049272.1|DVIR, LOC6625434|XP_002049271.1|DVIR	LOC116800706|XP_032573066.1|DSEC, LOC6608650|XP_002033384.1|DSEC
OG0000024	LOC6625431|XP_002049268.3|DVIR	LOC6608651|XP_032573063.1|DSEC
OG0000024	LOC6634081|XP_002057902.1|DVIR	LOC6618118|XP_002042417.2|DSEC
OG0000024	LOC6625429|XP_002049266.1|DVIR	LOC6608649|XP_032571742.1|DSEC
OG0000024	LOC6625162|XP_002048929.1|DVIR	LOC6609002|XP_002033708.1|DSEC
OG0000025	LOC6635606|XP_002058949.1|DVIR	LOC6613440|XP_002037914.1|DSEC
OG0000026	LOC6631803|XP_002055737.1|DVIR	LOC6617640|XP_002041953.1|DSEC
OG0000026	LOC6628165|XP_002051461.1|DVIR	LOC6613582|XP_002038050.1|DSEC
OG0000026	LOC6635194|XP_002058469.1|DVIR	LOC6620024|XP_002044237.2|DSEC
OG0000027	LOC6629148|XP_002052895.1|DVIR	LOC6611562|XP_002036100.1|DSEC
OG0000027	LOC6627465|XP_002052896.1|DVIR	LOC6611563|XP_002036101.1|DSEC
OG0000029	LOC6625353|XP_002050320.1|DVIR, LOC6625686|XP_002050319.2|DVIR	LOC6607309|XP_002032088.1|DSEC
OG0000029	LOC6624236|XP_002048359.1|DVIR	LOC6618299|XP_002042572.1|DSEC
OG0000030	LOC6627555|XP_002052289.1|DVIR	LOC6617677|XP_032583255.1|DSEC
OG0000030	LOC6628998|XP_002052101.1|DVIR	LOC6613129|XP_002037610.2|DSEC
OG0000030	LOC6627051|XP_002050832.1|DVIR, LOC6626964|XP_002050828.1|DVIR, LOC6626963|XP_002050827.1|DVIR	LOC6615712|XP_002040083.1|DSEC
OG0000030	LOC6633403|XP_002057213.1|DVIR	LOC6616124|XP_002040489.1|DSEC
OG0000030	LOC6632190|XP_002055645.1|DVIR	LOC6615087|XP_032581969.1|DSEC
OG0000031	LOC6634268|XP_002057550.2|DVIR	LOC6613654|XP_002038124.2|DSEC, LOC6613642|XP_032571112.1|DSEC, LOC6611386|XP_002035931.1|DSEC
OG0000031	LOC6634269|XP_002057551.2|DVIR, LOC6634303|XP_032293402.1|DVIR	LOC116803563|XP_032583263.1|DSEC, LOC6610715|XP_032575982.1|DSEC, LOC6613163|XP_002037644.1|DSEC, LOC6608128|XP_002032876.2|DSEC
OG0000031	LOC6629125|XP_002052391.1|DVIR	LOC6611956|XP_002036473.1|DSEC
OG0000032	LOC6629979|XP_002054337.1|DVIR	LOC6606692|XP_002031492.2|DSEC
OG0000032	LOC6629980|XP_032294917.1|DVIR	LOC6606686|XP_002031486.2|DSEC, LOC6606689|XP_002031489.2|DSEC, LOC6606693|XP_002031493.1|DSEC
OG0000032	LOC6629978|XP_032294961.1|DVIR, LOC6634892|XP_002058480.2|DVIR, LOC6629977|XP_002054335.1|DVIR, LOC6629932|XP_002054333.2|DVIR, LOC6629933|XP_002054334.2|DVIR	LOC6606685|XP_002031485.1|DSEC, LOC6606688|XP_002031488.1|DSEC
OG0000033	LOC6635949|XP_002059391.1|DVIR	LOC6618199|XP_032571400.1|DSEC, LOC6618200|XP_032577814.1|DSEC, LOC6618198|XP_002042473.1|DSEC, LOC6607913|XP_002032667.1|DSEC, LOC6607912|XP_002032666.2|DSEC
OG0000033	LOC6630139|XP_002053622.1|DVIR, LOC6630138|XP_002053621.1|DVIR, LOC6629617|XP_002053590.1|DVIR	LOC6607918|XP_002032668.1|DSEC
OG0000034	LOC6627930|XP_002051996.1|DVIR	LOC6609502|XP_032572499.1|DSEC, LOC6614428|XP_002038861.1|DSEC
OG0000034	LOC6627931|XP_002051997.2|DVIR	LOC6614429|XP_032583720.1|DSEC
OG0000034	LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR	LOC6614430|XP_002038863.1|DSEC
OG0000034	LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR, LOC6628688|XP_002051352.1|DVIR	LOC6613602|XP_002038072.1|DSEC
OG0000036	LOC6632491|XP_002056444.1|DVIR	LOC6614280|XP_002038720.1|DSEC
OG0000036	LOC116651951|XP_032295383.1|DVIR	LOC6606280|XP_032578992.1|DSEC
OG0000036	LOC6634881|XP_002058500.1|DVIR	LOC6613804|XP_032577945.1|DSEC
OG0000036	LOC6630607|XP_002054482.2|DVIR	LOC6607601|XP_002032369.2|DSEC
OG0000037	LOC6627126|XP_032291548.1|DVIR	LOC6609848|XP_002034500.1|DSEC
OG0000037	LOC6629970|XP_002053079.1|DVIR	LOC6619109|XP_002043349.1|DSEC, LOC6619108|XP_002043348.1|DSEC
OG0000038	LOC6622648|XP_002047530.1|DVIR	LOC6619358|XP_002043575.1|DSEC
OG0000038	LOC6624649|XP_002047532.2|DVIR	LOC6619360|XP_032575071.1|DSEC
OG0000039	LOC6630003|XP_002054716.2|DVIR	LOC6614108|XP_032577608.1|DSEC
OG0000039	LOC6631924|XP_002055751.1|DVIR	LOC6619553|XP_002043768.1|DSEC
OG0000039	LOC6636063|XP_002059594.1|DVIR	LOC6619552|XP_002043767.1|DSEC
OG0000039	LOC6636702|XP_002060175.3|DVIR	LOC6617545|XP_032581966.1|DSEC
OG0000040	LOC6629625|XP_002054865.1|DVIR	LOC6616682|XP_002041037.1|DSEC, LOC6606863|XP_002031657.1|DSEC
OG0000040	LOC6629626|XP_002054866.2|DVIR	LOC6606864|XP_002031658.1|DSEC
OG0000040	LOC116651842|XP_032294845.1|DVIR, LOC6629623|XP_032294844.1|DVIR	LOC6616681|XP_002041036.1|DSEC, LOC6616680|XP_002041035.2|DSEC
OG0000040	LOC6629621|XP_002054861.1|DVIR	LOC6616678|XP_002041033.1|DSEC
OG0000040	LOC6629744|XP_002053886.1|DVIR	LOC6619507|XP_002043722.1|DSEC
OG0000041	LOC6630744|XP_032290585.1|DVIR, LOC116651238|XP_032293093.1|DVIR, LOC6630745|XP_032292365.1|DVIR	LOC6619701|XP_002043916.1|DSEC, LOC6619702|XP_002043917.1|DSEC, LOC6619703|XP_032579544.1|DSEC, LOC6619709|XP_002043924.1|DSEC, LOC6619708|XP_032579543.1|DSEC, LOC116801819|XP_032579546.1|DSEC, LOC116801818|XP_032579545.1|DSEC
OG0000042	LOC6630880|XP_002053792.2|DVIR, LOC6636545|XP_002060049.1|DVIR, LOC6625347|XP_002051000.3|DVIR, LOC6625529|XP_002051023.1|DVIR, LOC6625448|XP_002050998.1|DVIR, LOC6623106|XP_002046713.1|DVIR, LOC6625348|XP_002051001.1|DVIR, LOC6625349|XP_002051002.1|DVIR	LOC6609765|XP_002034419.1|DSEC, LOC6609768|XP_002034422.2|DSEC, LOC6609766|XP_032571746.1|DSEC, LOC6609767|XP_032571748.1|DSEC, LOC116800694|XP_032572982.1|DSEC
OG0000043	LOC6630320|XP_002053430.1|DVIR	LOC6606880|XP_002031674.2|DSEC
OG0000043	LOC6630321|XP_002053431.1|DVIR	LOC6606881|XP_032578763.1|DSEC
OG0000043	LOC6630323|XP_002053433.1|DVIR	LOC6606886|XP_002031680.1|DSEC
OG0000043	LOC6630318|XP_002053428.2|DVIR	LOC6606877|XP_032576948.1|DSEC, LOC6606875|XP_002031669.2|DSEC, LOC6612980|XP_002037471.1|DSEC, LOC6606874|XP_002031668.1|DSEC
OG0000044	LOC6630493|XP_002053200.1|DVIR	LOC6619712|XP_032578272.1|DSEC
OG0000044	LOC6630492|XP_002053199.1|DVIR, LOC6630491|XP_002053198.1|DVIR	LOC6619716|XP_002043931.1|DSEC, LOC6619717|XP_002043932.1|DSEC
OG0000045	LOC6624147|XP_002046895.1|DVIR	LOC6605191|XP_002030030.1|DSEC
OG0000045	LOC6622199|XP_002046894.1|DVIR	LOC6605189|XP_002030028.1|DSEC, LOC6605190|XP_002030029.1|DSEC
OG0000045	LOC6624099|XP_002046893.1|DVIR	LOC6611095|XP_002035652.1|DSEC
OG0000045	LOC6623107|XP_002046892.1|DVIR	LOC6611094|XP_002035651.1|DSEC
OG0000046	LOC116652288|XP_032296485.1|DVIR, LOC6634418|XP_032296332.1|DVIR	LOC6615012|XP_002039429.1|DSEC, LOC6615013|XP_002039430.2|DSEC
OG0000046	LOC6629466|XP_032291044.1|DVIR, LOC6629465|XP_032291038.1|DVIR, LOC6629467|XP_002053883.2|DVIR, LOC6634417|XP_032296431.1|DVIR, LOC116652297|XP_032296495.1|DVIR	LOC6615011|XP_032581038.1|DSEC, LOC6607592|XP_032578892.1|DSEC, LOC6618806|XP_002043055.1|DSEC, LOC6607590|XP_002032359.1|DSEC, LOC6608938|XP_002033652.1|DSEC
OG0000047	LOC6624851|XP_002050852.1|DVIR	LOC6609458|XP_002034143.1|DSEC
OG0000047	LOC6624848|XP_002050849.2|DVIR	LOC6609455|XP_002034140.1|DSEC
OG0000047	LOC6626318|XP_002049525.1|DVIR	LOC6609036|XP_032573031.1|DSEC
OG0000047	LOC6623898|XP_015031386.1|DVIR	LOC6605158|XP_002029997.1|DSEC
OG0000047	LOC6626924|XP_002049538.1|DVIR	LOC6609046|XP_032572064.1|DSEC
OG0000048	LOC6623128|XP_002046219.1|DVIR	LOC6605929|XP_002030742.1|DSEC, LOC6605928|XP_002030741.1|DSEC
OG0000048	LOC6623801|XP_002046214.1|DVIR	LOC6605924|XP_002030737.1|DSEC, LOC6605925|XP_002030738.1|DSEC
OG0000048	LOC6623780|XP_002046212.1|DVIR	LOC6605923|XP_002030736.1|DSEC
OG0000048	LOC6623749|XP_002046215.1|DVIR	LOC6605926|XP_002030739.1|DSEC
OG0000049	LOC6632699|XP_002056032.2|DVIR	LOC6616787|XP_002041124.1|DSEC
OG0000049	LOC6632702|XP_002056035.3|DVIR	LOC6616784|XP_002041121.1|DSEC
OG0000049	LOC6632698|XP_002056031.1|DVIR	LOC6616788|XP_002041125.1|DSEC
OG0000049	LOC116650324|XP_032289598.1|DVIR	LOC6616789|XP_002041126.1|DSEC
OG0000049	LOC6632703|XP_002056036.2|DVIR	LOC6616783|XP_002041120.1|DSEC
OG0000050	LOC116651245|XP_032293110.1|DVIR	LOC6608707|XP_002033431.1|DSEC
OG0000050	LOC116650744|XP_032291206.1|DVIR	LOC6616568|XP_002040927.1|DSEC
OG0000050	LOC6622355|XP_002047925.1|DVIR	LOC6616571|XP_032575631.1|DSEC
OG0000050	LOC6622345|XP_002047924.2|DVIR	LOC6616570|XP_002040929.1|DSEC
OG0000050	LOC6622312|XP_002047926.2|DVIR	LOC116800887|XP_032573137.1|DSEC
OG0000050	LOC6622403|XP_002047934.2|DVIR	LOC6616572|XP_002040931.1|DSEC
OG0000051	LOC6633160|XP_002056609.1|DVIR	LOC6607242|XP_032578378.1|DSEC
OG0000051	LOC6630427|XP_002053739.1|DVIR	LOC6606627|XP_002031428.1|DSEC
OG0000052	LOC6633117|XP_002056591.1|DVIR, LOC6633119|XP_002056593.1|DVIR, LOC6633120|XP_032289606.1|DVIR, LOC6633118|XP_002056592.2|DVIR	LOC6607024|XP_002031813.1|DSEC, LOC6607642|XP_002032407.1|DSEC, LOC6607025|XP_002031814.1|DSEC, LOC6607026|XP_002031815.1|DSEC, LOC6607022|XP_002031811.2|DSEC, LOC6607023|XP_002031812.1|DSEC
OG0000052	LOC6626909|XP_002050284.2|DVIR, LOC6626910|XP_002050285.2|DVIR	LOC6609846|XP_002034498.1|DSEC
OG0000052	LOC6626911|XP_002050286.2|DVIR	LOC6609845|XP_002034497.1|DSEC
OG0000053	LOC6625282|XP_002049664.3|DVIR	LOC6608189|XP_002032934.2|DSEC
OG0000053	LOC6624847|XP_002049663.1|DVIR	LOC6608187|XP_002032932.1|DSEC
OG0000053	LOC6624846|XP_002049662.1|DVIR	LOC6608186|XP_002032931.2|DSEC
OG0000053	LOC6624845|XP_002049661.1|DVIR	LOC6608184|XP_002032929.1|DSEC
OG0000053	LOC6624806|XP_002049656.1|DVIR	LOC6608180|XP_002032925.1|DSEC
OG0000054	LOC6633223|XP_002056282.1|DVIR	LOC6606233|XP_002031041.1|DSEC
OG0000054	LOC6629800|XP_002053376.1|DVIR	LOC6606232|XP_002031040.1|DSEC
OG0000054	LOC6633224|XP_002056283.1|DVIR, LOC116650298|XP_032289550.1|DVIR	LOC6606230|XP_002031038.1|DSEC, LOC6606231|XP_032576779.1|DSEC
OG0000055	LOC6632627|XP_002056104.1|DVIR, LOC6632628|XP_002056105.1|DVIR, LOC6632630|XP_002056107.2|DVIR, LOC6632629|XP_002056106.2|DVIR	LOC6612845|XP_002037339.1|DSEC
OG0000056	LOC6630824|XP_002054731.1|DVIR	LOC6607531|XP_002032300.1|DSEC
OG0000056	LOC26531774|XP_032295287.1|DVIR, LOC6630956|XP_002054733.1|DVIR	LOC6607533|XP_002032302.1|DSEC, LOC6607534|XP_002032303.1|DSEC
OG0000056	LOC6627508|XP_002052791.1|DVIR	LOC6606941|XP_002031735.1|DSEC, LOC6606940|XP_002031734.1|DSEC
OG0000058	LOC6628288|XP_002051345.2|DVIR, LOC6628289|XP_032293797.1|DVIR, LOC6637243|XP_002060538.2|DVIR	LOC6609913|XP_002034563.1|DSEC, LOC6614763|XP_002039182.2|DSEC, LOC6609912|XP_002034562.2|DSEC, LOC6609909|XP_032572423.1|DSEC
OG0000058	LOC6628292|XP_002051349.1|DVIR, LOC6628291|XP_002051348.1|DVIR, LOC6628290|XP_002051347.1|DVIR	LOC6613603|XP_002038073.1|DSEC
OG0000058	LOC6633609|XP_002056917.1|DVIR	LOC6612350|XP_002036859.1|DSEC
