Orthogroup	DVIR.longest_only	DFIC.longest_only
OG0000003	LOC6625465|XP_032292893.1|DVIR	LOC108087605|XP_017040533.1|DFIC
OG0000003	LOC6625464|XP_002049668.1|DVIR	LOC108090320|XP_017044421.1|DFIC
OG0000003	LOC6625463|XP_002049667.1|DVIR	LOC108090319|XP_017044419.1|DFIC, LOC108090317|XP_017044417.1|DFIC, LOC108090318|XP_017044418.1|DFIC
OG0000005	LOC6630839|XP_002053115.1|DVIR, LOC116649812|XP_032288841.1|DVIR, LOC6630083|XP_002053093.1|DVIR, LOC26530712|XP_032288873.1|DVIR, LOC116649821|XP_032288854.1|DVIR, LOC116649778|XP_032288855.1|DVIR, LOC6637055|XP_002060474.1|DVIR, LOC116649811|XP_032288840.1|DVIR, LOC6630110|XP_002053103.1|DVIR, LOC116649814|XP_032288843.1|DVIR, LOC6637086|XP_002060498.1|DVIR, LOC116649818|XP_032288848.1|DVIR, LOC116649815|XP_032288845.1|DVIR, LOC6636998|XP_002060428.1|DVIR, LOC26530621|XP_015023595.2|DVIR, LOC116649813|XP_032288842.1|DVIR, LOC116649820|XP_032288853.1|DVIR, LOC116649817|XP_032288847.1|DVIR, LOC6630835|XP_002053111.1|DVIR, LOC116649819|XP_032288852.1|DVIR, LOC116649816|XP_032288846.1|DVIR	LOC108094052|XP_017049981.1|DFIC
OG0000006	LOC6630084|XP_002053094.1|DVIR	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC
OG0000007	LOC6623030|XP_002046517.1|DVIR	LOC108093252|XP_017048717.1|DFIC
OG0000007	LOC6622991|XP_032290827.1|DVIR, LOC6623031|XP_002046519.1|DVIR	LOC108093241|XP_017048705.1|DFIC, LOC108093034|XP_017048427.1|DFIC, LOC108093033|XP_017048426.1|DFIC, LOC108093169|XP_017048611.1|DFIC, LOC108093170|XP_017048612.1|DFIC, LOC108093261|XP_017048727.1|DFIC
OG0000007	LOC6625661|XP_002050782.1|DVIR	LOC108093260|XP_017048726.1|DFIC
OG0000007	LOC116650729|XP_032291101.1|DVIR	LOC108090582|XP_017044820.1|DFIC
OG0000007	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR	LOC108089778|XP_017043661.1|DFIC
OG0000007	LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR	LOC108088955|XP_017042464.1|DFIC, LOC108088950|XP_017042460.1|DFIC, LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC
OG0000008	LOC6629514|XP_002054585.2|DVIR	LOC108101034|XP_017060691.1|DFIC
OG0000008	LOC6622211|XP_002046327.1|DVIR	LOC108100331|XP_017059630.1|DFIC
OG0000008	LOC6627554|XP_002052288.1|DVIR	LOC108093477|XP_017049051.1|DFIC
OG0000008	LOC26531283|XP_015031719.1|DVIR	LOC108100333|XP_017059632.1|DFIC
OG0000008	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR	LOC108091741|XP_017046574.1|DFIC, LOC108091742|XP_017046575.1|DFIC
OG0000008	LOC6631286|XP_002053525.1|DVIR, LOC6631287|XP_002053526.1|DVIR	LOC108091746|XP_017046577.1|DFIC
OG0000008	LOC6631289|XP_002053528.2|DVIR	LOC108091769|XP_017046605.1|DFIC
OG0000008	LOC6631285|XP_002053524.1|DVIR	LOC108091757|XP_017046589.1|DFIC
OG0000008	LOC6631288|XP_002053527.1|DVIR	LOC108091754|XP_017046587.1|DFIC
OG0000008	LOC6631290|XP_002053529.1|DVIR	LOC108091767|XP_017046601.1|DFIC
OG0000009	LOC6632445|XP_002056511.1|DVIR	LOC108101115|XP_017060823.1|DFIC
OG0000009	LOC6632323|XP_002056506.1|DVIR	LOC108101125|XP_017060838.1|DFIC
OG0000009	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR	LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC, LOC108101116|XP_017060824.1|DFIC
OG0000009	LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR	LOC108101809|XP_017061774.1|DFIC
OG0000009	LOC6626542|XP_002050752.1|DVIR	LOC108086769|XP_017039304.1|DFIC
OG0000009	LOC6628883|XP_002051663.1|DVIR	LOC108094178|XP_017050126.1|DFIC, LOC108086653|XP_017039126.1|DFIC, LOC108086655|XP_017039128.1|DFIC, LOC108086610|XP_017039074.1|DFIC
OG0000010	LOC116649829|XP_032288866.1|DVIR, LOC6630837|XP_002053113.1|DVIR, LOC6637215|XP_002060533.1|DVIR, LOC116649823|XP_032288859.1|DVIR, LOC6636962|XP_002060409.1|DVIR	LOC108098255|XP_017056544.1|DFIC
OG0000010	LOC6637029|XP_002060450.1|DVIR	LOC108101428|XP_017061247.1|DFIC
OG0000011	LOC6623065|XP_002048503.2|DVIR	LOC108086913|XP_017039476.1|DFIC
OG0000011	LOC6635697|XP_002059270.2|DVIR	LOC108098799|XP_017057429.1|DFIC
OG0000012	LOC6624922|XP_002050777.1|DVIR	LOC108096904|XP_017054341.1|DFIC
OG0000012	LOC6625019|XP_002050778.1|DVIR	LOC108096903|XP_017054340.1|DFIC
OG0000012	LOC6625021|XP_002050780.1|DVIR	LOC108096929|XP_017054370.1|DFIC
OG0000012	LOC6624921|XP_015029085.1|DVIR	LOC108096943|XP_017054393.1|DFIC
OG0000012	LOC6625066|XP_002049213.2|DVIR, LOC6625067|XP_032293151.1|DVIR, LOC6624920|XP_002050775.2|DVIR, LOC6624919|XP_002050774.2|DVIR, LOC26531760|XP_015030363.1|DVIR, LOC6627007|XP_032292288.1|DVIR, LOC6627006|XP_002050772.1|DVIR	LOC108096563|XP_017053746.1|DFIC, LOC108096571|XP_017053756.1|DFIC
OG0000012	LOC6627005|XP_002050771.1|DVIR	LOC108086628|XP_017039092.1|DFIC, LOC108086618|XP_017039083.1|DFIC, LOC108086755|XP_017039283.1|DFIC, LOC108086630|XP_017039094.1|DFIC
OG0000012	LOC6627004|XP_002050770.1|DVIR	LOC108086627|XP_017039091.1|DFIC, LOC108086756|XP_017039284.1|DFIC
OG0000013	LOC6626677|XP_002050872.1|DVIR	LOC108101557|XP_017061445.1|DFIC
OG0000013	LOC6633411|XP_015025597.1|DVIR	LOC108101682|XP_017061593.1|DFIC
OG0000013	LOC6630204|XP_002053707.1|DVIR	LOC108098830|XP_017057474.1|DFIC
OG0000013	LOC6622085|XP_002048525.1|DVIR	LOC108086910|XP_017039470.1|DFIC
OG0000013	LOC6632892|XP_002056192.1|DVIR	LOC108087118|XP_017039788.1|DFIC
OG0000013	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR	LOC108091996|XP_017046910.1|DFIC
OG0000013	LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR	LOC108102250|XP_017062487.1|DFIC, LOC108087940|XP_017041016.1|DFIC
OG0000015	LOC26531562|XP_032293636.1|DVIR	LOC108086461|XP_017038876.1|DFIC, LOC108098714|XP_017057318.1|DFIC, LOC108094483|XP_017050559.1|DFIC
OG0000016	LOC6633127|XP_002056070.1|DVIR	LOC108091644|XP_017046435.1|DFIC
OG0000016	LOC116650918|XP_032291957.1|DVIR	LOC108095161|XP_017051608.1|DFIC
OG0000016	LOC6630423|XP_002053735.1|DVIR	LOC108088049|XP_017041175.1|DFIC
OG0000016	LOC6625554|XP_002049004.2|DVIR	LOC108090474|XP_017044659.1|DFIC
OG0000016	LOC6636049|XP_002059576.1|DVIR	LOC108092889|XP_017048224.1|DFIC
OG0000016	LOC6635861|XP_002059335.1|DVIR	LOC108091135|XP_017045658.1|DFIC
OG0000016	LOC6631018|XP_002054294.1|DVIR	LOC108096392|XP_017053452.1|DFIC
OG0000016	LOC6623693|XP_002048319.1|DVIR	LOC108093583|XP_017049197.1|DFIC
OG0000017	LOC6635873|XP_002059346.1|DVIR, LOC6636383|XP_032292047.1|DVIR, LOC6636382|XP_032292048.1|DVIR	LOC108099991|XP_017059177.1|DFIC
OG0000017	LOC6628970|XP_032293497.1|DVIR, LOC6623565|XP_032291328.1|DVIR, LOC116651590|XP_032294188.1|DVIR	LOC108095642|XP_017052296.1|DFIC
OG0000017	LOC6627049|XP_002050830.3|DVIR	LOC108087716|XP_017040726.1|DFIC
OG0000017	LOC6635871|XP_002059345.1|DVIR	LOC108099990|XP_017059176.1|DFIC
OG0000017	LOC6627836|XP_032294331.1|DVIR	LOC108094147|XP_017050074.1|DFIC, LOC108094148|XP_017050075.1|DFIC
OG0000018	LOC6623414|XP_002046136.1|DVIR	LOC108093126|XP_017048560.1|DFIC
OG0000018	LOC6623369|XP_002046140.1|DVIR	LOC108093128|XP_017048562.1|DFIC
OG0000018	LOC6623326|XP_002046138.1|DVIR	LOC108093130|XP_017048564.1|DFIC
OG0000018	LOC6623391|XP_002046158.1|DVIR	LOC108093138|XP_017048572.1|DFIC, LOC108093140|XP_017048574.1|DFIC
OG0000018	LOC6623443|XP_002046145.1|DVIR	LOC108093137|XP_017048571.1|DFIC, LOC108093131|XP_017048565.1|DFIC, LOC108093271|XP_017048739.1|DFIC, LOC108093136|XP_017048569.1|DFIC
OG0000019	LOC6630453|XP_002053914.1|DVIR, LOC6630456|XP_002053917.1|DVIR	LOC108086541|XP_017038967.1|DFIC
OG0000019	LOC6630458|XP_002053919.1|DVIR	LOC108086535|XP_017038961.1|DFIC
OG0000019	LOC6630457|XP_002053918.1|DVIR	LOC108086543|XP_017038970.1|DFIC
OG0000019	LOC6630452|XP_002053913.1|DVIR	LOC108086538|XP_017038965.1|DFIC, LOC108086540|XP_017038966.1|DFIC
OG0000020	LOC6634957|XP_002058591.1|DVIR	LOC108086571|XP_017039016.1|DFIC
OG0000020	LOC6635984|XP_002059302.2|DVIR	LOC108087826|XP_017040886.1|DFIC
OG0000020	LOC6628903|XP_002051547.2|DVIR	LOC108100979|XP_017060622.1|DFIC
OG0000020	LOC6632501|XP_032289762.1|DVIR	LOC108101093|XP_017060792.1|DFIC
OG0000020	LOC6632573|XP_015026213.1|DVIR	LOC108102060|XP_017062180.1|DFIC
OG0000020	LOC6628471|XP_002051546.1|DVIR	LOC108089992|XP_017043983.1|DFIC, LOC108101220|XP_017060958.1|DFIC
OG0000021	LOC6627164|XP_002049737.1|DVIR	LOC108090792|XP_017045128.1|DFIC
OG0000021	LOC6625700|XP_015029837.1|DVIR	LOC108090653|XP_017044920.1|DFIC
OG0000021	LOC6625029|XP_002050452.1|DVIR	LOC108093638|XP_017049284.1|DFIC
OG0000021	LOC6636003|XP_002059503.1|DVIR	LOC108095541|XP_017052159.1|DFIC
OG0000021	LOC6629522|XP_002053324.1|DVIR	LOC108091979|XP_017046877.1|DFIC
OG0000021	LOC6629847|XP_002054468.1|DVIR	LOC108088013|XP_017041113.1|DFIC
OG0000021	LOC26531416|XP_015025728.1|DVIR	LOC108094694|XP_017050914.1|DFIC
OG0000022	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR	LOC108093677|XP_017049345.1|DFIC
OG0000022	LOC6622042|XP_002046436.1|DVIR, LOC116650060|XP_032289303.1|DVIR	LOC108100307|XP_017059595.1|DFIC
OG0000022	LOC6622522|XP_002046428.1|DVIR, LOC116650757|XP_032291322.1|DVIR, LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR, LOC6622546|XP_002046431.1|DVIR	LOC108100306|XP_017059594.1|DFIC, LOC108100305|XP_017059593.1|DFIC, LOC108100300|XP_017059588.1|DFIC, LOC108100303|XP_017059590.1|DFIC, LOC108100308|XP_017059596.1|DFIC
OG0000022	LOC116650066|XP_032289307.1|DVIR, LOC6622553|XP_002046434.2|DVIR	LOC108100304|XP_017059591.1|DFIC, LOC108100302|XP_017059589.1|DFIC
OG0000023	LOC26530945|XP_015026270.1|DVIR	LOC108096120|XP_017052985.1|DFIC
OG0000023	LOC6632666|XP_032289605.1|DVIR	LOC108096122|XP_017052987.1|DFIC
OG0000023	LOC6632669|XP_002056438.1|DVIR	LOC108096128|XP_017052994.1|DFIC
OG0000023	LOC6626291|XP_002050067.1|DVIR	LOC108096606|XP_017053802.1|DFIC
OG0000023	LOC6632665|XP_002056434.1|DVIR, LOC6632664|XP_002056433.1|DVIR	LOC108096129|XP_017052995.1|DFIC
OG0000023	LOC6632533|XP_002056431.1|DVIR	LOC108096118|XP_017052982.1|DFIC
OG0000023	LOC6632529|XP_002056427.2|DVIR	LOC108096119|XP_017052984.1|DFIC
OG0000023	LOC6632531|XP_002056429.1|DVIR	LOC108096117|XP_017052981.1|DFIC
OG0000023	LOC6632528|XP_032289545.1|DVIR	LOC108096114|XP_017052979.1|DFIC
OG0000024	LOC6625432|XP_002049269.3|DVIR, LOC6625433|XP_015029714.1|DVIR, LOC6625430|XP_002049267.1|DVIR, LOC6625436|XP_002049273.1|DVIR, LOC6625435|XP_002049272.1|DVIR, LOC6625434|XP_002049271.1|DVIR	LOC108086469|XP_017038885.1|DFIC, LOC108086411|XP_017038802.1|DFIC, LOC108086410|XP_017038801.1|DFIC, LOC108086467|XP_017038883.1|DFIC
OG0000024	LOC6625431|XP_002049268.3|DVIR	LOC108086472|XP_017038887.1|DFIC
OG0000024	LOC6634081|XP_002057902.1|DVIR	LOC108098296|XP_017056595.1|DFIC
OG0000024	LOC6625429|XP_002049266.1|DVIR	LOC108086381|XP_017038771.1|DFIC
OG0000024	LOC6625162|XP_002048929.1|DVIR	LOC108094860|XP_017051169.1|DFIC
OG0000025	LOC6628547|XP_002051859.1|DVIR, LOC6635606|XP_002058949.1|DVIR	LOC108088651|XP_017042067.1|DFIC
OG0000026	LOC6631803|XP_002055737.1|DVIR	LOC108091247|XP_017045848.1|DFIC
OG0000026	LOC6628165|XP_002051461.1|DVIR	LOC108093407|XP_017048931.1|DFIC
OG0000026	LOC6635194|XP_002058469.1|DVIR	LOC108098549|XP_017057035.1|DFIC, LOC108098463|XP_017056857.1|DFIC
OG0000027	LOC6629148|XP_002052895.1|DVIR	LOC108100821|XP_017060378.1|DFIC
OG0000027	LOC6627465|XP_002052896.1|DVIR	LOC108100820|XP_017060377.1|DFIC
OG0000028	LOC6622574|XP_002047517.1|DVIR	LOC108095285|XP_017051819.1|DFIC
OG0000029	LOC6624236|XP_002048359.1|DVIR	LOC108099785|XP_017058903.1|DFIC
OG0000030	LOC6627555|XP_002052289.1|DVIR	LOC108093480|XP_017049055.1|DFIC, LOC108100317|XP_017059651.1|DFIC
OG0000030	LOC6628998|XP_002052101.1|DVIR	LOC108092343|XP_017047369.1|DFIC, LOC108092288|XP_017047312.1|DFIC
OG0000030	LOC6627051|XP_002050832.1|DVIR, LOC6626964|XP_002050828.1|DVIR, LOC6626963|XP_002050827.1|DVIR	LOC108087621|XP_017040552.1|DFIC
OG0000030	LOC6633403|XP_002057213.1|DVIR	LOC108091341|XP_017045978.1|DFIC
OG0000030	LOC6632190|XP_002055645.1|DVIR	LOC108088560|XP_017041895.1|DFIC
OG0000031	LOC6634268|XP_002057550.2|DVIR	LOC108087846|XP_017040950.1|DFIC, LOC108094523|XP_017050614.1|DFIC, LOC108100476|XP_017059897.1|DFIC
OG0000031	LOC6634269|XP_002057551.2|DVIR, LOC6634303|XP_032293402.1|DVIR	LOC108090611|XP_017044870.1|DFIC, LOC108090591|XP_017044831.1|DFIC, LOC108092296|XP_017047319.1|DFIC, LOC108092297|XP_017047321.1|DFIC
OG0000031	LOC6629125|XP_002052391.1|DVIR	LOC108089228|XP_017042875.1|DFIC
OG0000032	LOC6629980|XP_032294917.1|DVIR	LOC108087889|XP_017040956.1|DFIC, LOC108088062|XP_017041192.1|DFIC, LOC108088048|XP_017041174.1|DFIC, LOC108088066|XP_017041199.1|DFIC, LOC108087890|XP_017040957.1|DFIC, LOC108087979|XP_017041070.1|DFIC
OG0000032	LOC6629978|XP_032294961.1|DVIR, LOC6634892|XP_002058480.2|DVIR, LOC6629977|XP_002054335.1|DVIR, LOC6629932|XP_002054333.2|DVIR, LOC6629933|XP_002054334.2|DVIR	LOC108087896|XP_017040963.1|DFIC, LOC108087899|XP_017040966.1|DFIC
OG0000033	LOC6635949|XP_002059391.1|DVIR	LOC108089808|XP_017043694.1|DFIC, LOC108089807|XP_017043693.1|DFIC, LOC108089809|XP_017043695.1|DFIC, LOC108089769|XP_017043650.1|DFIC, LOC108091266|XP_017045867.1|DFIC, LOC108089806|XP_017043692.1|DFIC, LOC108094281|XP_017050264.1|DFIC, LOC108094283|XP_017050266.1|DFIC
OG0000033	LOC6630139|XP_002053622.1|DVIR, LOC6630138|XP_002053621.1|DVIR, LOC6629617|XP_002053590.1|DVIR	LOC108094282|XP_017050265.1|DFIC
OG0000034	LOC6627930|XP_002051996.1|DVIR	LOC108098181|XP_017056403.1|DFIC, LOC108090289|XP_017044389.1|DFIC, LOC108098175|XP_017056397.1|DFIC, LOC108098172|XP_017056394.1|DFIC
OG0000034	LOC6627931|XP_002051997.2|DVIR	LOC108098179|XP_017056401.1|DFIC
OG0000034	LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR	LOC108098285|XP_017056581.1|DFIC
OG0000034	LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR, LOC6628688|XP_002051352.1|DVIR	LOC108093450|XP_017049013.1|DFIC
OG0000036	LOC6632491|XP_002056444.1|DVIR	LOC108096138|XP_017053007.1|DFIC
OG0000036	LOC116651951|XP_032295383.1|DVIR	LOC108097979|XP_017056090.1|DFIC
OG0000036	LOC6634881|XP_002058500.1|DVIR	LOC108098533|XP_017057003.1|DFIC
OG0000036	LOC6630607|XP_002054482.2|DVIR	LOC108087237|XP_017040017.1|DFIC
OG0000037	LOC6627126|XP_032291548.1|DVIR	LOC108087844|XP_017040913.1|DFIC
OG0000037	LOC6629970|XP_002053079.1|DVIR	LOC108088042|XP_017041165.1|DFIC, LOC108088040|XP_017041164.1|DFIC
OG0000038	LOC6622648|XP_002047530.1|DVIR	LOC108088854|XP_017042318.1|DFIC
OG0000038	LOC6624649|XP_002047532.2|DVIR	LOC108088914|XP_017042416.1|DFIC
OG0000039	LOC6630003|XP_002054716.2|DVIR	LOC108091791|XP_017046639.1|DFIC
OG0000039	LOC6631924|XP_002055751.1|DVIR	LOC108097516|XP_017055329.1|DFIC
OG0000039	LOC6636063|XP_002059594.1|DVIR	LOC108097515|XP_017055328.1|DFIC
OG0000039	LOC6636702|XP_002060175.3|DVIR	LOC108095512|XP_017052111.1|DFIC
OG0000040	LOC6629625|XP_002054865.1|DVIR	LOC108092229|XP_017047255.1|DFIC, LOC108087305|XP_017040113.1|DFIC
OG0000040	LOC6629626|XP_002054866.2|DVIR	LOC108087307|XP_017040114.1|DFIC
OG0000040	LOC116651842|XP_032294845.1|DVIR, LOC6629623|XP_032294844.1|DVIR	LOC108092211|XP_017047228.1|DFIC, LOC108092212|XP_017047230.1|DFIC
OG0000040	LOC6629621|XP_002054861.1|DVIR	LOC108092206|XP_017047224.1|DFIC
OG0000040	LOC6629627|XP_002054867.1|DVIR	LOC108102071|XP_017062201.1|DFIC
OG0000040	LOC6629744|XP_002053886.1|DVIR	LOC108100764|XP_017060292.1|DFIC
OG0000041	LOC6630744|XP_032290585.1|DVIR, LOC116651238|XP_032293093.1|DVIR, LOC6630745|XP_032292365.1|DVIR	LOC108095996|XP_017052831.1|DFIC, LOC108095711|XP_017052372.1|DFIC, LOC108095997|XP_017052832.1|DFIC, LOC108095939|XP_017052765.1|DFIC, LOC108095866|XP_017052659.1|DFIC, LOC108095867|XP_017052660.1|DFIC, LOC108095645|XP_017052300.1|DFIC
OG0000042	LOC6630880|XP_002053792.2|DVIR, LOC6636545|XP_002060049.1|DVIR, LOC6625347|XP_002051000.3|DVIR, LOC6625529|XP_002051023.1|DVIR, LOC6625448|XP_002050998.1|DVIR, LOC6623106|XP_002046713.1|DVIR, LOC6625348|XP_002051001.1|DVIR, LOC6625349|XP_002051002.1|DVIR	LOC108090330|XP_017044433.1|DFIC, LOC108090327|XP_017044430.1|DFIC, LOC108090329|XP_017044432.1|DFIC, LOC108090333|XP_017044437.1|DFIC, LOC108090332|XP_017044435.1|DFIC, LOC108090338|XP_017044443.1|DFIC, LOC108090337|XP_017044441.1|DFIC, LOC108090335|XP_017044439.1|DFIC, LOC108090336|XP_017044440.1|DFIC, LOC108090328|XP_017044431.1|DFIC
OG0000043	LOC6630320|XP_002053430.1|DVIR	LOC108087351|XP_017040180.1|DFIC
OG0000043	LOC6630321|XP_002053431.1|DVIR	LOC108087056|XP_017039721.1|DFIC
OG0000043	LOC6630323|XP_002053433.1|DVIR	LOC108092195|XP_017047211.1|DFIC
OG0000043	LOC6630318|XP_002053428.2|DVIR	LOC108087304|XP_017040112.1|DFIC, LOC108087099|XP_017039770.1|DFIC, LOC108086831|XP_017039366.1|DFIC, LOC108087388|XP_017040219.1|DFIC
OG0000044	LOC6630493|XP_002053200.1|DVIR	LOC108095953|XP_017052779.1|DFIC
OG0000044	LOC6630492|XP_002053199.1|DVIR, LOC6630491|XP_002053198.1|DVIR	LOC108095656|XP_017052310.1|DFIC, LOC108095674|XP_017052331.1|DFIC, LOC108095707|XP_017052368.1|DFIC, LOC108095664|XP_017052318.1|DFIC
OG0000045	LOC6624147|XP_002046895.1|DVIR	LOC108099782|XP_017058900.1|DFIC
OG0000045	LOC6622199|XP_002046894.1|DVIR	LOC108099776|XP_017058894.1|DFIC, LOC108099783|XP_017058901.1|DFIC
OG0000045	LOC6624099|XP_002046893.1|DVIR	LOC108089346|XP_017043016.1|DFIC
OG0000045	LOC6623107|XP_002046892.1|DVIR	LOC108089335|XP_017043004.1|DFIC
OG0000046	LOC116652288|XP_032296485.1|DVIR, LOC6634418|XP_032296332.1|DVIR	LOC108097441|XP_017055199.1|DFIC, LOC108097439|XP_017055197.1|DFIC
OG0000046	LOC6629466|XP_032291044.1|DVIR, LOC6629465|XP_032291038.1|DVIR, LOC6629467|XP_002053883.2|DVIR, LOC6634417|XP_032296431.1|DVIR, LOC116652297|XP_032296495.1|DVIR	LOC108097454|XP_017055215.1|DFIC, LOC108091603|XP_017046371.1|DFIC, LOC108091584|XP_017046349.1|DFIC, LOC108091607|XP_017046377.1|DFIC, LOC108091593|XP_017046357.1|DFIC, LOC108091587|XP_017046351.1|DFIC, LOC108091594|XP_017046358.1|DFIC, LOC108091585|XP_017046350.1|DFIC
OG0000047	LOC6624851|XP_002050852.1|DVIR	LOC108090569|XP_017044803.1|DFIC
OG0000047	LOC6624848|XP_002050849.2|DVIR	LOC108090570|XP_017044804.1|DFIC
OG0000047	LOC6626318|XP_002049525.1|DVIR	LOC108094901|XP_017051236.1|DFIC
OG0000047	LOC6623898|XP_015031386.1|DVIR	LOC108089762|XP_017043641.1|DFIC
OG0000047	LOC6626924|XP_002049538.1|DVIR	LOC108094950|XP_017051302.1|DFIC
OG0000048	LOC6623128|XP_002046219.1|DVIR	LOC108089539|XP_017043364.1|DFIC, LOC108089337|XP_017043007.1|DFIC
OG0000048	LOC6623801|XP_002046214.1|DVIR	LOC108089537|XP_017043362.1|DFIC, LOC108089538|XP_017043363.1|DFIC
OG0000048	LOC6623780|XP_002046212.1|DVIR	LOC108089535|XP_017043361.1|DFIC
OG0000048	LOC6623749|XP_002046215.1|DVIR	LOC108089542|XP_017043368.1|DFIC
OG0000049	LOC6632699|XP_002056032.2|DVIR	LOC108091886|XP_017046759.1|DFIC
OG0000049	LOC6632702|XP_002056035.3|DVIR	LOC108091864|XP_017046732.1|DFIC
OG0000049	LOC6632698|XP_002056031.1|DVIR	LOC108091860|XP_017046729.1|DFIC
OG0000049	LOC116650324|XP_032289598.1|DVIR	LOC108091993|XP_017046906.1|DFIC
OG0000049	LOC6632703|XP_002056036.2|DVIR	LOC108092198|XP_017047214.1|DFIC
OG0000050	LOC116651245|XP_032293110.1|DVIR	LOC108093905|XP_017049757.1|DFIC
OG0000050	LOC116650744|XP_032291206.1|DVIR	LOC108088748|XP_017042185.1|DFIC
OG0000050	LOC6622355|XP_002047925.1|DVIR	LOC108088744|XP_017042181.1|DFIC
OG0000050	LOC6622345|XP_002047924.2|DVIR	LOC108088745|XP_017042182.1|DFIC
OG0000050	LOC6622312|XP_002047926.2|DVIR	LOC108088747|XP_017042184.1|DFIC
OG0000050	LOC6622403|XP_002047934.2|DVIR	LOC108088743|XP_017042180.1|DFIC
OG0000051	LOC6633160|XP_002056609.1|DVIR	LOC108099282|XP_017058161.1|DFIC
OG0000051	LOC6630427|XP_002053739.1|DVIR	LOC108087911|XP_017040982.1|DFIC
