Orthogroup	DVIR.longest_only	CCAP.longest_only
OG0000002	LOC6628707|XP_002051325.3|DVIR	CCAP1982_LOCUS1975|CAD6993149.1|CCAP
OG0000003	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR	CCAP1982_LOCUS20936|CAD7012836.1|CCAP, CCAP1982_LOCUS20929|CAD7012829.1|CCAP
OG0000003	LOC6625465|XP_032292893.1|DVIR	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP
OG0000003	LOC6625463|XP_002049667.1|DVIR	CCAP1982_LOCUS20941|CAD7012841.1|CCAP
OG0000003	LOC6627946|XP_002051419.1|DVIR	CCAP1982_LOCUS7775|CAD6999243.1|CCAP
OG0000004	LOC116649797|XP_032288819.1|DVIR, LOC6636964|XP_002060406.2|DVIR, LOC6630109|XP_002053102.1|DVIR, LOC6637028|XP_032296768.1|DVIR, LOC6630078|XP_032288808.1|DVIR, LOC6630104|XP_002053097.1|DVIR, LOC6630838|XP_002053114.1|DVIR, LOC26531848|XP_015023755.2|DVIR, LOC116651593|XP_032294196.1|DVIR, LOC6627875|XP_002052272.1|DVIR, LOC6627872|XP_002052269.1|DVIR, LOC6627867|XP_002052264.1|DVIR, LOC26530598|XP_015027811.1|DVIR, LOC116649798|XP_032288820.1|DVIR	CCAP1982_LOCUS6238|CAD6997602.1|CCAP, CCAP1982_LOCUS6250|CAD6997614.1|CCAP, CCAP1982_LOCUS6245|CAD6997609.1|CCAP
OG0000006	LOC6637262|XP_032288828.1|DVIR	CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP
OG0000006	LOC6630844|XP_032294583.1|DVIR, LOC116649802|XP_032288824.1|DVIR, LOC6636961|XP_015023643.1|DVIR, LOC6636997|XP_032288831.1|DVIR, LOC6630084|XP_002053094.1|DVIR	CCAP1982_LOCUS6252|CAD6997616.1|CCAP
OG0000007	LOC6623864|XP_002046827.1|DVIR	CCAP1982_LOCUS12644|CAD7004225.1|CCAP, CCAP1982_LOCUS12645|CAD7004226.1|CCAP
OG0000007	LOC6623030|XP_002046517.1|DVIR	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP
OG0000007	LOC6625661|XP_002050782.1|DVIR, LOC116650729|XP_032291101.1|DVIR, LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR, LOC6624577|XP_032291102.1|DVIR, LOC6624526|XP_032291100.1|DVIR, LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP
OG0000008	LOC6629514|XP_002054585.2|DVIR	CCAP1982_LOCUS4930|CAD6996247.1|CCAP
OG0000008	LOC6623720|XP_002046325.3|DVIR	CCAP1982_LOCUS12720|CAD7004300.1|CCAP
OG0000008	LOC6622211|XP_002046327.1|DVIR	CCAP1982_LOCUS12715|CAD7004295.1|CCAP
OG0000008	LOC26531283|XP_015031719.1|DVIR	CCAP1982_LOCUS12718|CAD7004298.1|CCAP
OG0000008	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP
OG0000008	LOC6631286|XP_002053525.1|DVIR, LOC6631287|XP_002053526.1|DVIR	CCAP1982_LOCUS3596|CAD6994861.1|CCAP
OG0000008	LOC6631289|XP_002053528.2|DVIR	CCAP1982_LOCUS3598|CAD6994863.1|CCAP
OG0000008	LOC6631285|XP_002053524.1|DVIR	CCAP1982_LOCUS3595|CAD6994860.1|CCAP
OG0000008	LOC6631288|XP_002053527.1|DVIR	CCAP1982_LOCUS3597|CAD6994862.1|CCAP
OG0000008	LOC6631290|XP_002053529.1|DVIR	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP
OG0000009	LOC6632445|XP_002056511.1|DVIR	CCAP1982_LOCUS973|CAD6992095.1|CCAP
OG0000009	LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR, LOC6626544|XP_002050754.1|DVIR, LOC6626543|XP_032292517.1|DVIR, LOC6626542|XP_002050752.1|DVIR, LOC6628883|XP_002051663.1|DVIR	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP
OG0000010	LOC116649822|XP_032288857.1|DVIR, LOC6637070|XP_002060485.1|DVIR, LOC116649828|XP_032288865.1|DVIR	CCAP1982_LOCUS6246|CAD6997610.1|CCAP
OG0000010	LOC6636962|XP_002060409.1|DVIR	CCAP1982_LOCUS6235|CAD6997599.1|CCAP
OG0000010	LOC116649824|XP_032288860.1|DVIR	CCAP1982_LOCUS2041|CAD6993222.1|CCAP
OG0000012	LOC6624922|XP_002050777.1|DVIR	CCAP1982_LOCUS22583|CAD7014589.1|CCAP
OG0000012	LOC6625019|XP_002050778.1|DVIR	CCAP1982_LOCUS22582|CAD7014587.1|CCAP
OG0000012	LOC6625021|XP_002050780.1|DVIR	CCAP1982_LOCUS22581|CAD7014586.1|CCAP
OG0000012	LOC6624921|XP_015029085.1|DVIR	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP
OG0000012	LOC6625066|XP_002049213.2|DVIR, LOC6625067|XP_032293151.1|DVIR, LOC6624920|XP_002050775.2|DVIR, LOC6624919|XP_002050774.2|DVIR, LOC26531760|XP_015030363.1|DVIR, LOC6627007|XP_032292288.1|DVIR, LOC6627006|XP_002050772.1|DVIR, LOC6627005|XP_002050771.1|DVIR, LOC6627004|XP_002050770.1|DVIR	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP
OG0000013	LOC6626677|XP_002050872.1|DVIR	CCAP1982_LOCUS7142|CAD6998559.1|CCAP
OG0000013	LOC6630204|XP_002053707.1|DVIR	CCAP1982_LOCUS4900|CAD6996212.1|CCAP
OG0000013	LOC6622085|XP_002048525.1|DVIR	CCAP1982_LOCUS14162|CAD7005816.1|CCAP
OG0000013	LOC6632892|XP_002056192.1|DVIR	CCAP1982_LOCUS3120|CAD6994367.1|CCAP
OG0000013	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR	CCAP1982_LOCUS2756|CAD6993971.1|CCAP
OG0000013	LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP
OG0000014	LOC116652015|XP_032295550.1|DVIR, LOC116650074|XP_032289316.1|DVIR, LOC116649966|XP_032289172.1|DVIR, LOC116649899|XP_032289057.1|DVIR	CCAP1982_LOCUS11944|CAD7003494.1|CCAP
OG0000016	LOC6633127|XP_002056070.1|DVIR, LOC6635889|XP_002059414.1|DVIR, LOC116650918|XP_032291957.1|DVIR	CCAP1982_LOCUS2337|CAD6993525.1|CCAP
OG0000016	LOC6630423|XP_002053735.1|DVIR	CCAP1982_LOCUS4238|CAD6995526.1|CCAP
OG0000016	LOC6625554|XP_002049004.2|DVIR	CCAP1982_LOCUS8417|CAD6999907.1|CCAP
OG0000016	LOC6631018|XP_002054294.1|DVIR	CCAP1982_LOCUS4923|CAD6996239.1|CCAP
OG0000016	LOC6623693|XP_002048319.1|DVIR	CCAP1982_LOCUS22100|CAD7014094.1|CCAP
OG0000017	LOC6635873|XP_002059346.1|DVIR, LOC6636383|XP_032292047.1|DVIR, LOC6636382|XP_032292048.1|DVIR	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP
OG0000018	LOC6623414|XP_002046136.1|DVIR	CCAP1982_LOCUS12552|CAD7004131.1|CCAP
OG0000018	LOC6623369|XP_002046140.1|DVIR	CCAP1982_LOCUS12546|CAD7004125.1|CCAP
OG0000018	LOC6623368|XP_002046143.1|DVIR	CCAP1982_LOCUS12537|CAD7004116.1|CCAP
OG0000018	LOC6623326|XP_002046138.1|DVIR	CCAP1982_LOCUS12550|CAD7004129.1|CCAP
OG0000018	LOC6623325|XP_002046139.1|DVIR, LOC6623363|XP_002046142.1|DVIR	CCAP1982_LOCUS12538|CAD7004117.1|CCAP, CCAP1982_LOCUS12539|CAD7004118.1|CCAP, CCAP1982_LOCUS12541|CAD7004120.1|CCAP
OG0000018	LOC6623104|XP_002046157.1|DVIR	CCAP1982_LOCUS12554|CAD7004133.1|CCAP
OG0000018	LOC6623443|XP_002046145.1|DVIR	CCAP1982_LOCUS12549|CAD7004128.1|CCAP, CCAP1982_LOCUS12547|CAD7004126.1|CCAP, CCAP1982_LOCUS12548|CAD7004127.1|CCAP
OG0000019	LOC6630455|XP_032294460.1|DVIR, LOC6630454|XP_032294467.1|DVIR, LOC6630453|XP_002053914.1|DVIR, LOC6630456|XP_002053917.1|DVIR, LOC6630458|XP_002053919.1|DVIR, LOC6630457|XP_002053918.1|DVIR, LOC6630452|XP_002053913.1|DVIR	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP
OG0000020	LOC6634957|XP_002058591.1|DVIR	CCAP1982_LOCUS1146|CAD6992278.1|CCAP
OG0000020	LOC6628903|XP_002051547.2|DVIR	CCAP1982_LOCUS1002|CAD6992120.1|CCAP
OG0000020	LOC6632501|XP_032289762.1|DVIR	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP
OG0000020	LOC6628471|XP_002051546.1|DVIR	CCAP1982_LOCUS999|CAD6992115.1|CCAP
OG0000021	LOC6629847|XP_002054468.1|DVIR	CCAP1982_LOCUS162|CAD6991224.1|CCAP
OG0000022	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR	CCAP1982_LOCUS19689|CAD7011600.1|CCAP
OG0000022	LOC6622522|XP_002046428.1|DVIR, LOC116650757|XP_032291322.1|DVIR, LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR, LOC6622546|XP_002046431.1|DVIR	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP
OG0000023	LOC6632669|XP_002056438.1|DVIR, LOC6626291|XP_002050067.1|DVIR, LOC6632665|XP_002056434.1|DVIR, LOC6632664|XP_002056433.1|DVIR	CCAP1982_LOCUS4737|CAD6996031.1|CCAP
OG0000023	LOC6632533|XP_002056431.1|DVIR	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP
OG0000023	LOC6632529|XP_002056427.2|DVIR	CCAP1982_LOCUS4752|CAD6996046.1|CCAP
OG0000023	LOC6632531|XP_002056429.1|DVIR	CCAP1982_LOCUS4751|CAD6996045.1|CCAP
OG0000023	LOC6632528|XP_032289545.1|DVIR	CCAP1982_LOCUS4754|CAD6996047.1|CCAP
OG0000024	LOC6634081|XP_002057902.1|DVIR, LOC6625429|XP_002049266.1|DVIR	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP
OG0000025	LOC6637233|XP_002060537.1|DVIR	CCAP1982_LOCUS6236|CAD6997600.1|CCAP
OG0000026	LOC6631256|XP_002053244.1|DVIR, LOC6636025|XP_002059549.1|DVIR, LOC6636164|XP_002059550.1|DVIR, LOC6635194|XP_002058469.1|DVIR	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP
OG0000027	LOC6629148|XP_002052895.1|DVIR	CCAP1982_LOCUS8299|CAD6999776.1|CCAP
OG0000027	LOC6627465|XP_002052896.1|DVIR	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP
OG0000027	LOC6635631|XP_002059236.1|DVIR	CCAP1982_LOCUS8295|CAD6999772.1|CCAP
OG0000028	LOC6622578|XP_032291308.1|DVIR, LOC116650753|XP_032291253.1|DVIR, LOC6622591|XP_032290503.1|DVIR	CCAP1982_LOCUS11976|CAD7003526.1|CCAP
OG0000028	LOC6622560|XP_032290501.1|DVIR, LOC6622574|XP_002047517.1|DVIR	CCAP1982_LOCUS11984|CAD7003534.1|CCAP
OG0000029	LOC6625353|XP_002050320.1|DVIR, LOC6625686|XP_002050319.2|DVIR, LOC6624236|XP_002048359.1|DVIR	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP
OG0000030	LOC6627555|XP_002052289.1|DVIR	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP
OG0000030	LOC6628998|XP_002052101.1|DVIR, LOC6627051|XP_002050832.1|DVIR, LOC6626964|XP_002050828.1|DVIR, LOC6626963|XP_002050827.1|DVIR	CCAP1982_LOCUS21173|CAD7013099.1|CCAP
OG0000031	LOC6629125|XP_002052391.1|DVIR	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP
OG0000032	LOC6629979|XP_002054337.1|DVIR	CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP
OG0000032	LOC6629978|XP_032294961.1|DVIR, LOC6634892|XP_002058480.2|DVIR, LOC6629977|XP_002054335.1|DVIR, LOC6629932|XP_002054333.2|DVIR, LOC6629933|XP_002054334.2|DVIR	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP
OG0000034	LOC6627930|XP_002051996.1|DVIR, LOC6627931|XP_002051997.2|DVIR, LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR, LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR, LOC6628688|XP_002051352.1|DVIR	CCAP1982_LOCUS7893|CAD6999366.1|CCAP
OG0000036	LOC6632491|XP_002056444.1|DVIR	CCAP1982_LOCUS4712|CAD6996006.1|CCAP
OG0000036	LOC116651951|XP_032295383.1|DVIR	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP
OG0000036	LOC6634881|XP_002058500.1|DVIR	CCAP1982_LOCUS1595|CAD6992752.1|CCAP
OG0000036	LOC6630607|XP_002054482.2|DVIR	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP
OG0000036	LOC6631850|XP_002055586.3|DVIR	CCAP1982_LOCUS6228|CAD6997589.1|CCAP
OG0000037	LOC6627126|XP_032291548.1|DVIR	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP
OG0000037	LOC6629970|XP_002053079.1|DVIR, LOC6630819|XP_002054726.2|DVIR	CCAP1982_LOCUS2613|CAD6993815.1|CCAP
OG0000037	LOC26531412|XP_015030326.1|DVIR	CCAP1982_LOCUS2611|CAD6993814.1|CCAP, CCAP1982_LOCUS2612|CAD6993816.1|CCAP
OG0000038	LOC6622648|XP_002047530.1|DVIR	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP
OG0000041	LOC6630636|XP_002053634.1|DVIR, LOC6630746|XP_002053207.1|DVIR, LOC6630637|XP_002053635.1|DVIR, LOC6630748|XP_002053209.1|DVIR, LOC6630744|XP_032290585.1|DVIR, LOC116651238|XP_032293093.1|DVIR, LOC6630745|XP_032292365.1|DVIR	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP
OG0000043	LOC6630320|XP_002053430.1|DVIR, LOC6630321|XP_002053431.1|DVIR	CCAP1982_LOCUS4613|CAD6995911.1|CCAP
OG0000043	LOC6630323|XP_002053433.1|DVIR, LOC6630318|XP_002053428.2|DVIR	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP
OG0000044	LOC6630493|XP_002053200.1|DVIR	CCAP1982_LOCUS840|CAD6991952.1|CCAP
OG0000044	LOC116651012|XP_032292468.1|DVIR, LOC6630492|XP_002053199.1|DVIR, LOC6630491|XP_002053198.1|DVIR	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP
OG0000045	LOC6624147|XP_002046895.1|DVIR	CCAP1982_LOCUS11539|CAD7003076.1|CCAP
OG0000045	LOC6622199|XP_002046894.1|DVIR	CCAP1982_LOCUS11540|CAD7003077.1|CCAP
OG0000045	LOC6624099|XP_002046893.1|DVIR	CCAP1982_LOCUS11541|CAD7003078.1|CCAP
OG0000045	LOC6623107|XP_002046892.1|DVIR	CCAP1982_LOCUS11542|CAD7003079.1|CCAP
OG0000047	LOC6626318|XP_002049525.1|DVIR	CCAP1982_LOCUS9943|CAD7001446.1|CCAP
OG0000048	LOC6623128|XP_002046219.1|DVIR	CCAP1982_LOCUS14846|CAD7006532.1|CCAP, CCAP1982_LOCUS14847|CAD7006533.1|CCAP
OG0000048	LOC6623818|XP_002046218.1|DVIR	CCAP1982_LOCUS14843|CAD7006529.1|CCAP, CCAP1982_LOCUS14840|CAD7006526.1|CCAP, CCAP1982_LOCUS14844|CAD7006530.1|CCAP, CCAP1982_LOCUS14839|CAD7006525.1|CCAP, CCAP1982_LOCUS14841|CAD7006527.1|CCAP
OG0000048	LOC6623801|XP_002046214.1|DVIR, LOC6623780|XP_002046212.1|DVIR	CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP
OG0000048	LOC6623749|XP_002046215.1|DVIR	CCAP1982_LOCUS14852|CAD7006538.1|CCAP
OG0000049	LOC6632702|XP_002056035.3|DVIR	CCAP1982_LOCUS3089|CAD6994333.1|CCAP
OG0000049	LOC6632698|XP_002056031.1|DVIR	CCAP1982_LOCUS3087|CAD6994331.1|CCAP
OG0000049	LOC116650324|XP_032289598.1|DVIR	CCAP1982_LOCUS3086|CAD6994330.1|CCAP
OG0000049	LOC6632703|XP_002056036.2|DVIR	CCAP1982_LOCUS3090|CAD6994334.1|CCAP
OG0000050	LOC116651245|XP_032293110.1|DVIR	CCAP1982_LOCUS13741|CAD7005381.1|CCAP
OG0000050	LOC116650744|XP_032291206.1|DVIR, LOC6622355|XP_002047925.1|DVIR, LOC6622345|XP_002047924.2|DVIR, LOC6622312|XP_002047926.2|DVIR, LOC6622403|XP_002047934.2|DVIR	CCAP1982_LOCUS13740|CAD7005380.1|CCAP
OG0000051	LOC6633160|XP_002056609.1|DVIR	CCAP1982_LOCUS274|CAD6991345.1|CCAP
OG0000051	LOC6632364|XP_002056725.1|DVIR, LOC6630427|XP_002053739.1|DVIR	CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP
OG0000052	LOC6633117|XP_002056591.1|DVIR, LOC6633119|XP_002056593.1|DVIR, LOC6633120|XP_032289606.1|DVIR, LOC6633118|XP_002056592.2|DVIR, LOC6626909|XP_002050284.2|DVIR, LOC6626910|XP_002050285.2|DVIR, LOC6626911|XP_002050286.2|DVIR	CCAP1982_LOCUS19453|CAD7011350.1|CCAP, CCAP1982_LOCUS12190|CAD7003754.1|CCAP, CCAP1982_LOCUS12192|CAD7003756.1|CCAP, CCAP1982_LOCUS12191|CAD7003755.1|CCAP
OG0000053	LOC6625282|XP_002049664.3|DVIR, LOC6624847|XP_002049663.1|DVIR	CCAP1982_LOCUS20953|CAD7012854.1|CCAP
OG0000053	LOC6624846|XP_002049662.1|DVIR	CCAP1982_LOCUS20955|CAD7012856.1|CCAP
OG0000053	LOC6624845|XP_002049661.1|DVIR	CCAP1982_LOCUS20956|CAD7012857.1|CCAP
OG0000053	LOC6624806|XP_002049656.1|DVIR	CCAP1982_LOCUS20959|CAD7012860.1|CCAP, CCAP1982_LOCUS21332|CAD7013261.1|CCAP, CCAP1982_LOCUS20960|CAD7012861.1|CCAP
OG0000054	LOC6633223|XP_002056282.1|DVIR	CCAP1982_LOCUS1028|CAD6992150.1|CCAP
