Orthogroup	DVIR.longest_only	DELE.longest_only
OG0000048	LOC6623801|XP_002046214.1|DVIR	LOC108146208|XP_017127615.1|DELE, LOC108146209|XP_017127617.1|DELE
OG0000048	LOC6623780|XP_002046212.1|DVIR	LOC108146206|XP_017127613.1|DELE
OG0000048	LOC6623749|XP_002046215.1|DVIR	LOC108146211|XP_017127619.1|DELE
OG0000049	LOC6632699|XP_002056032.2|DVIR	LOC108140399|XP_017118596.1|DELE
OG0000049	LOC6632702|XP_002056035.3|DVIR	LOC108140396|XP_017118593.1|DELE
OG0000049	LOC6632698|XP_002056031.1|DVIR	LOC108140391|XP_017118587.1|DELE
OG0000049	LOC116650324|XP_032289598.1|DVIR	LOC108140400|XP_017118597.1|DELE
OG0000049	LOC6632703|XP_002056036.2|DVIR	LOC108140395|XP_017118592.1|DELE
OG0000050	LOC116651245|XP_032293110.1|DVIR	LOC108144105|XP_017124238.1|DELE
OG0000050	LOC116650744|XP_032291206.1|DVIR	LOC108143123|XP_017122853.1|DELE
OG0000050	LOC6622355|XP_002047925.1|DVIR	LOC108143198|XP_017122940.1|DELE
OG0000050	LOC6622345|XP_002047924.2|DVIR	LOC108143121|XP_017122851.1|DELE
OG0000050	LOC6622312|XP_002047926.2|DVIR	LOC108143197|XP_017122939.1|DELE
OG0000050	LOC6622403|XP_002047934.2|DVIR	LOC108143120|XP_017122849.1|DELE
OG0000051	LOC6633160|XP_002056609.1|DVIR	LOC108143756|XP_017123775.1|DELE
OG0000051	LOC6630427|XP_002053739.1|DVIR	LOC108143275|XP_017123079.1|DELE
OG0000052	LOC6633117|XP_002056591.1|DVIR, LOC6633119|XP_002056593.1|DVIR, LOC6633120|XP_032289606.1|DVIR, LOC6633118|XP_002056592.2|DVIR	LOC108135036|XP_017111063.1|DELE, LOC108136729|XP_017113543.1|DELE, LOC108135035|XP_017111062.1|DELE, LOC108135034|XP_017111060.1|DELE, LOC108135047|XP_017111075.1|DELE, LOC108135173|XP_017111287.1|DELE
OG0000052	LOC6626909|XP_002050284.2|DVIR, LOC6626910|XP_002050285.2|DVIR	LOC108145160|XP_017125875.1|DELE
OG0000052	LOC6626911|XP_002050286.2|DVIR	LOC108145159|XP_017125874.1|DELE
OG0000053	LOC6625282|XP_002049664.3|DVIR	LOC108145359|XP_017126241.1|DELE
OG0000053	LOC6624847|XP_002049663.1|DVIR	LOC108145358|XP_017126240.1|DELE
OG0000053	LOC6624846|XP_002049662.1|DVIR	LOC108145357|XP_017126239.1|DELE
OG0000053	LOC6624845|XP_002049661.1|DVIR	LOC108145356|XP_017126238.1|DELE
OG0000053	LOC6624806|XP_002049656.1|DVIR	LOC108145362|XP_017126243.1|DELE
OG0000054	LOC6633223|XP_002056282.1|DVIR	LOC108140678|XP_017119113.1|DELE
OG0000054	LOC6629800|XP_002053376.1|DVIR	LOC108140358|XP_017118542.1|DELE, LOC108140357|XP_017118541.1|DELE
OG0000054	LOC6633224|XP_002056283.1|DVIR, LOC116650298|XP_032289550.1|DVIR	LOC108140635|XP_017119043.1|DELE, LOC108140634|XP_017119042.1|DELE
OG0000055	LOC6632627|XP_002056104.1|DVIR, LOC6632628|XP_002056105.1|DVIR, LOC6632630|XP_002056107.2|DVIR, LOC6632629|XP_002056106.2|DVIR	LOC108148467|XP_017130988.1|DELE, LOC108148466|XP_017130987.1|DELE
OG0000056	LOC6630824|XP_002054731.1|DVIR	LOC108148700|XP_017131340.1|DELE
OG0000056	LOC26531774|XP_032295287.1|DVIR, LOC6630956|XP_002054733.1|DVIR	LOC108148704|XP_017131344.1|DELE, LOC108148702|XP_017131342.1|DELE, LOC108148701|XP_017131341.1|DELE
OG0000056	LOC6627508|XP_002052791.1|DVIR	LOC108135876|XP_017112266.1|DELE, LOC108135877|XP_017112269.1|DELE
OG0000057	LOC116651248|XP_032293116.1|DVIR	LOC108149908|XP_017133298.1|DELE
OG0000058	LOC6628288|XP_002051345.2|DVIR, LOC6628289|XP_032293797.1|DVIR, LOC6637243|XP_002060538.2|DVIR	LOC108143671|XP_017123671.1|DELE, LOC108138709|XP_017116548.1|DELE, LOC108139014|XP_017117106.1|DELE, LOC108143672|XP_017123672.1|DELE
OG0000058	LOC6628292|XP_002051349.1|DVIR, LOC6628291|XP_002051348.1|DVIR, LOC6628290|XP_002051347.1|DVIR	LOC108150544|XP_017134265.1|DELE
OG0000058	LOC6633609|XP_002056917.1|DVIR	LOC108149860|XP_017133229.1|DELE
OG0000059	LOC6635045|XP_002058688.1|DVIR	LOC108148904|XP_017131709.1|DELE
OG0000059	LOC6635047|XP_002058690.1|DVIR	LOC108148902|XP_017131707.1|DELE, LOC108148903|XP_017131708.1|DELE
OG0000059	LOC6635046|XP_032295222.1|DVIR	LOC108148901|XP_017131706.1|DELE
