Orthogroup	DVIR.longest_only	DYAK.longest_only
OG0000012	LOC6625021|XP_002050780.1|DVIR	LOC6530959|XP_015051811.1|DYAK
OG0000012	LOC6624921|XP_015029085.1|DVIR	LOC6530956|XP_002091794.1|DYAK
OG0000012	LOC6625066|XP_002049213.2|DVIR, LOC6625067|XP_032293151.1|DVIR, LOC6624920|XP_002050775.2|DVIR, LOC6624919|XP_002050774.2|DVIR, LOC26531760|XP_015030363.1|DVIR, LOC6627007|XP_032292288.1|DVIR, LOC6627006|XP_002050772.1|DVIR	LOC6530954|XP_002091792.1|DYAK, LOC6530955|XP_002091793.1|DYAK
OG0000012	LOC6627005|XP_002050771.1|DVIR	LOC6530135|XP_002091081.1|DYAK, LOC6530133|XP_002091079.2|DYAK, LOC6530132|XP_002091078.1|DYAK, LOC6530131|XP_002091077.2|DYAK
OG0000012	LOC6627004|XP_002050770.1|DVIR	LOC6530130|XP_002091076.1|DYAK, LOC6530129|XP_002091075.1|DYAK
OG0000013	LOC6626677|XP_002050872.1|DVIR	LOC6530359|XP_002091285.1|DYAK
OG0000013	LOC6633411|XP_015025597.1|DVIR	LOC6525539|XP_002101374.1|DYAK
OG0000013	LOC6630204|XP_002053707.1|DVIR	LOC6537221|XP_002097779.1|DYAK
OG0000013	LOC6622085|XP_002048525.1|DVIR	LOC6534055|XP_002094741.1|DYAK
OG0000013	LOC6632892|XP_002056192.1|DVIR	LOC6536907|XP_002097476.1|DYAK
OG0000013	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR	LOC6538786|XP_002099299.1|DYAK
OG0000013	LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR	LOC6536836|XP_039232142.1|DYAK, LOC6536837|XP_039232350.1|DYAK, LOC6536733|XP_039231378.1|DYAK, LOC26536199|XP_039231379.1|DYAK, LOC26535865|XP_039231377.1|DYAK
OG0000014	LOC116652015|XP_032295550.1|DVIR	LOC120320742|XP_039227211.1|DYAK
OG0000015	LOC6633997|XP_032293758.1|DVIR	LOC6529704|XP_002090697.2|DYAK
OG0000015	LOC26531562|XP_032293636.1|DVIR	LOC6530275|XP_002091207.2|DYAK, LOC6538477|XP_002099001.3|DYAK
OG0000016	LOC6633127|XP_002056070.1|DVIR	LOC6536965|XP_002097534.1|DYAK
OG0000016	LOC116650918|XP_032291957.1|DVIR	LOC6530731|XP_002091621.1|DYAK
OG0000016	LOC6630423|XP_002053735.1|DVIR	LOC6536862|XP_002097431.1|DYAK
OG0000016	LOC6625554|XP_002049004.2|DVIR	LOC6531360|XP_002092163.2|DYAK
OG0000016	LOC6636049|XP_002059576.1|DVIR	LOC6525488|XP_002101323.1|DYAK
OG0000016	LOC6635861|XP_002059335.1|DVIR	LOC6529087|XP_002090100.1|DYAK
OG0000016	LOC6631018|XP_002054294.1|DVIR	LOC6537169|XP_002097730.1|DYAK
OG0000016	LOC6623693|XP_002048319.1|DVIR	LOC6535129|XP_039230803.1|DYAK
OG0000017	LOC6635873|XP_002059346.1|DVIR, LOC6636383|XP_032292047.1|DVIR, LOC6636382|XP_032292048.1|DVIR	LOC6539128|XP_002086029.1|DYAK
OG0000017	LOC6628970|XP_032293497.1|DVIR, LOC6623565|XP_032291328.1|DVIR, LOC116651590|XP_032294188.1|DVIR	LOC6538220|XP_039231078.1|DYAK, LOC6538219|XP_002098746.2|DYAK
OG0000017	LOC6627049|XP_002050830.3|DVIR	LOC6531831|XP_002092618.3|DYAK
OG0000017	LOC6635871|XP_002059345.1|DVIR	LOC6529100|XP_002090113.1|DYAK
OG0000017	LOC6627836|XP_032294331.1|DVIR	LOC6526432|XP_002087551.1|DYAK
OG0000018	LOC6623414|XP_002046136.1|DVIR	LOC6533164|XP_002093890.1|DYAK
OG0000018	LOC6623369|XP_002046140.1|DVIR	LOC26535774|XP_015049832.1|DYAK
OG0000018	LOC6623326|XP_002046138.1|DVIR	LOC6533166|XP_002093892.1|DYAK
OG0000018	LOC6623391|XP_002046158.1|DVIR	LOC26534877|XP_015049829.1|DYAK, LOC26534805|XP_015049828.1|DYAK, LOC26535405|XP_015049827.1|DYAK, LOC26534941|XP_015049831.1|DYAK
OG0000019	LOC6630453|XP_002053914.1|DVIR, LOC6630456|XP_002053917.1|DVIR	LOC6538322|XP_039232218.1|DYAK
OG0000019	LOC6630458|XP_002053919.1|DVIR	LOC6538326|XP_002098853.2|DYAK
OG0000019	LOC6630452|XP_002053913.1|DVIR	LOC6538321|XP_002098848.1|DYAK, LOC6538320|XP_002098847.1|DYAK
OG0000020	LOC6634957|XP_002058591.1|DVIR	LOC6538082|XP_002098616.1|DYAK
OG0000020	LOC6635984|XP_002059302.2|DVIR	LOC6530655|XP_002091553.1|DYAK
OG0000020	LOC6628903|XP_002051547.2|DVIR	LOC6529647|XP_002090641.1|DYAK, LOC6528749|XP_002089784.2|DYAK, LOC6527703|XP_002088787.1|DYAK
OG0000020	LOC6632501|XP_032289762.1|DVIR	LOC6535735|XP_039231556.1|DYAK
OG0000020	LOC6632573|XP_015026213.1|DVIR	LOC6537431|XP_002097987.1|DYAK
OG0000020	LOC6628471|XP_002051546.1|DVIR	LOC6529263|XP_002090268.1|DYAK, LOC6529648|XP_002090642.1|DYAK
OG0000021	LOC6627018|XP_002049728.2|DVIR	LOC6526678|XP_002087784.1|DYAK
OG0000021	LOC6627164|XP_002049737.1|DVIR	LOC6530550|XP_002091465.1|DYAK
OG0000021	LOC6625700|XP_015029837.1|DVIR	LOC6530532|XP_039228836.1|DYAK
OG0000021	LOC6625029|XP_002050452.1|DVIR	LOC6531172|XP_002092001.1|DYAK
OG0000021	LOC6636003|XP_002059503.1|DVIR	LOC6526013|XP_039229713.1|DYAK
OG0000021	LOC6629522|XP_002053324.1|DVIR	LOC6538705|XP_002099220.3|DYAK
OG0000021	LOC6629847|XP_002054468.1|DVIR	LOC6536819|XP_002097389.1|DYAK
OG0000021	LOC26531416|XP_015025728.1|DVIR	LOC6524816|XP_002100658.1|DYAK
OG0000022	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR	LOC6531452|XP_002092255.1|DYAK
OG0000022	LOC6622522|XP_002046428.1|DVIR, LOC116650757|XP_032291322.1|DVIR, LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR, LOC6622546|XP_002046431.1|DVIR	LOC6532322|XP_002093082.1|DYAK, LOC6532321|XP_002093081.1|DYAK, LOC6532323|XP_002093083.1|DYAK, LOC6532320|XP_002093080.1|DYAK
OG0000022	LOC116650066|XP_032289307.1|DVIR, LOC6622553|XP_002046434.2|DVIR	LOC6532325|XP_002093085.1|DYAK, LOC6532324|XP_002093084.1|DYAK
OG0000023	LOC26530945|XP_015026270.1|DVIR	LOC6536030|XP_002096645.2|DYAK
OG0000023	LOC6632666|XP_032289605.1|DVIR	LOC6536027|XP_002096642.3|DYAK, LOC6536034|XP_002096649.3|DYAK
OG0000023	LOC6632669|XP_002056438.1|DVIR	LOC6539886|XP_002086766.1|DYAK
OG0000023	LOC6626291|XP_002050067.1|DVIR	LOC6531278|XP_002092087.2|DYAK
OG0000023	LOC6632665|XP_002056434.1|DVIR, LOC6632664|XP_002056433.1|DVIR	LOC26536093|XP_039232188.1|DYAK
OG0000023	LOC6632533|XP_002056431.1|DVIR	LOC6536032|XP_039230972.1|DYAK
OG0000023	LOC6632531|XP_002056429.1|DVIR	LOC6536035|XP_002096650.2|DYAK
OG0000023	LOC6632528|XP_032289545.1|DVIR	LOC6540152|XP_039232191.1|DYAK
OG0000024	LOC6625432|XP_002049269.3|DVIR, LOC6625433|XP_015029714.1|DVIR, LOC6625430|XP_002049267.1|DVIR, LOC6625436|XP_002049273.1|DVIR, LOC6625435|XP_002049272.1|DVIR, LOC6625434|XP_002049271.1|DVIR	LOC6530300|XP_002091227.1|DYAK, LOC6530298|XP_002091225.1|DYAK, LOC6530299|XP_002091226.1|DYAK, LOC6530302|XP_002091229.1|DYAK
OG0000024	LOC6625431|XP_002049268.3|DVIR	LOC6530301|XP_002091228.2|DYAK
OG0000024	LOC6634081|XP_002057902.1|DVIR	LOC6529811|XP_002090793.1|DYAK
OG0000024	LOC6625429|XP_002049266.1|DVIR	LOC6530303|XP_002091230.1|DYAK
OG0000024	LOC6625162|XP_002048929.1|DVIR	LOC6529951|XP_002090905.3|DYAK
OG0000025	LOC6635606|XP_002058949.1|DVIR	LOC6527587|XP_002088675.1|DYAK
OG0000026	LOC6631803|XP_002055737.1|DVIR	LOC6525058|XP_002100897.1|DYAK
OG0000026	LOC6628165|XP_002051461.1|DVIR	LOC6528059|XP_002089126.1|DYAK
OG0000026	LOC6635194|XP_002058469.1|DVIR	LOC6535919|XP_002096535.1|DYAK
OG0000027	LOC6629148|XP_002052895.1|DVIR	LOC6526916|XP_002088015.1|DYAK
OG0000027	LOC6627465|XP_002052896.1|DVIR	LOC6526915|XP_002088014.1|DYAK
OG0000028	LOC6622574|XP_002047517.1|DVIR	LOC6534951|XP_039229813.1|DYAK
OG0000029	LOC6625353|XP_002050320.1|DVIR, LOC6625686|XP_002050319.2|DVIR	LOC6536173|XP_002096764.1|DYAK
OG0000029	LOC6624236|XP_002048359.1|DVIR	LOC6534230|XP_002094912.1|DYAK
OG0000030	LOC6627555|XP_002052289.1|DVIR	LOC6527318|XP_002088411.1|DYAK
OG0000030	LOC6628998|XP_002052101.1|DVIR	LOC6526597|XP_002087705.1|DYAK
OG0000030	LOC6627051|XP_002050832.1|DVIR, LOC6626964|XP_002050828.1|DVIR, LOC6626963|XP_002050827.1|DVIR	LOC6531827|XP_039228114.1|DYAK
OG0000030	LOC6633403|XP_002057213.1|DVIR	LOC6524424|XP_002100282.1|DYAK
OG0000030	LOC6632190|XP_002055645.1|DVIR	LOC6525109|XP_002100948.2|DYAK
OG0000031	LOC6634268|XP_002057550.2|DVIR	LOC6528958|XP_002089990.1|DYAK, LOC6528971|XP_002090003.2|DYAK, LOC6528984|XP_002090016.3|DYAK
OG0000031	LOC6634269|XP_002057551.2|DVIR, LOC6634303|XP_032293402.1|DVIR	LOC6529463|XP_002090465.2|DYAK, LOC6532903|XP_002093639.1|DYAK, LOC6526633|XP_002087741.1|DYAK, LOC6528983|XP_002090015.2|DYAK
OG0000031	LOC6629125|XP_002052391.1|DVIR	LOC6528006|XP_002089073.1|DYAK
OG0000032	LOC6629979|XP_002054337.1|DVIR	LOC6536794|XP_002097364.1|DYAK
OG0000032	LOC6629980|XP_032294917.1|DVIR	LOC6536800|XP_002097370.2|DYAK, LOC6536793|XP_002097363.1|DYAK
OG0000032	LOC6629978|XP_032294961.1|DVIR, LOC6634892|XP_002058480.2|DVIR, LOC6629977|XP_002054335.1|DVIR, LOC6629932|XP_002054333.2|DVIR, LOC6629933|XP_002054334.2|DVIR	LOC6536802|XP_002097372.1|DYAK, LOC6536801|XP_002097371.1|DYAK
OG0000033	LOC6635949|XP_002059391.1|DVIR	LOC6530309|XP_039228670.1|DYAK, LOC6530310|XP_039228063.1|DYAK, LOC6528345|XP_002089398.1|DYAK, LOC6528344|XP_002089397.2|DYAK
OG0000033	LOC6630139|XP_002053622.1|DVIR, LOC6630138|XP_002053621.1|DVIR, LOC6629617|XP_002053590.1|DVIR	LOC6528350|XP_002089399.1|DYAK
OG0000034	LOC6627930|XP_002051996.1|DVIR	LOC6531351|XP_002092155.1|DYAK, LOC6529512|XP_002090514.1|DYAK
OG0000034	LOC6627931|XP_002051997.2|DVIR	LOC6529511|XP_002090513.2|DYAK
OG0000034	LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR	LOC6529510|XP_002090512.1|DYAK
OG0000034	LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR, LOC6628688|XP_002051352.1|DVIR	LOC6527117|XP_002088210.1|DYAK
OG0000036	LOC6632491|XP_002056444.1|DVIR	LOC6536018|XP_002096633.1|DYAK
OG0000036	LOC116651951|XP_032295383.1|DVIR	LOC6537201|XP_002097759.1|DYAK
OG0000036	LOC6634881|XP_002058500.1|DVIR	LOC6535269|XP_002095925.1|DYAK
OG0000036	LOC6630607|XP_002054482.2|DVIR	LOC6537913|XP_002098453.1|DYAK, LOC6537914|XP_039232806.1|DYAK
OG0000037	LOC6627126|XP_032291548.1|DVIR	LOC6531032|XP_002091868.2|DYAK
OG0000037	LOC6629970|XP_002053079.1|DVIR	LOC6535647|XP_002096275.2|DYAK, LOC6535648|XP_002096276.2|DYAK
OG0000038	LOC6622648|XP_002047530.1|DVIR	LOC6539691|XP_002086577.2|DYAK
OG0000038	LOC6624649|XP_002047532.2|DVIR	LOC6534938|XP_039229728.1|DYAK
OG0000039	LOC6630003|XP_002054716.2|DVIR	LOC6537610|XP_002098156.2|DYAK
OG0000039	LOC6631924|XP_002055751.1|DVIR	LOC6524746|XP_002100590.1|DYAK
OG0000039	LOC6636063|XP_002059594.1|DVIR	LOC6524745|XP_002100589.2|DYAK
OG0000039	LOC6636702|XP_002060175.3|DVIR	LOC6526007|XP_002101825.1|DYAK
OG0000040	LOC6629625|XP_002054865.1|DVIR	LOC6535485|XP_002096116.3|DYAK, LOC6536605|XP_002097181.1|DYAK
OG0000040	LOC6629626|XP_002054866.2|DVIR	LOC6536604|XP_002097180.1|DYAK
OG0000040	LOC116651842|XP_032294845.1|DVIR, LOC6629623|XP_032294844.1|DVIR	LOC6535486|XP_002096117.1|DYAK, LOC6535487|XP_002096118.3|DYAK
OG0000040	LOC6629621|XP_002054861.1|DVIR	LOC6535489|XP_002096120.1|DYAK
OG0000040	LOC6629744|XP_002053886.1|DVIR	LOC6539025|XP_002099527.1|DYAK
OG0000041	LOC6630744|XP_032290585.1|DVIR, LOC116651238|XP_032293093.1|DVIR, LOC6630745|XP_032292365.1|DVIR	LOC6538543|XP_002099065.1|DYAK, LOC6538542|XP_002099064.1|DYAK, LOC6538540|XP_002099062.1|DYAK, LOC6538541|XP_002099063.1|DYAK, LOC6538533|XP_002099055.1|DYAK, LOC6538535|XP_039230997.1|DYAK, LOC6538534|XP_002099056.1|DYAK
OG0000042	LOC6630880|XP_002053792.2|DVIR, LOC6636545|XP_002060049.1|DVIR, LOC6625347|XP_002051000.3|DVIR, LOC6625529|XP_002051023.1|DVIR, LOC6625448|XP_002050998.1|DVIR, LOC6623106|XP_002046713.1|DVIR, LOC6625348|XP_002051001.1|DVIR, LOC6625349|XP_002051002.1|DVIR	LOC6531112|XP_002091946.1|DYAK, LOC6531108|XP_002091942.2|DYAK, LOC6531111|XP_002091945.1|DYAK, LOC6531109|XP_039228701.1|DYAK, LOC6531110|XP_002091944.2|DYAK
OG0000043	LOC6630320|XP_002053430.1|DVIR	LOC6536590|XP_002097166.1|DYAK
OG0000043	LOC6630321|XP_002053431.1|DVIR	LOC6536589|XP_002097165.1|DYAK
OG0000043	LOC6630323|XP_002053433.1|DVIR	LOC6536584|XP_002097160.1|DYAK
OG0000043	LOC6630318|XP_002053428.2|DVIR	LOC6536592|XP_002097168.1|DYAK, LOC6536593|XP_039231638.1|DYAK, LOC6539005|XP_002099507.1|DYAK, LOC6536594|XP_002097170.1|DYAK
OG0000044	LOC6630493|XP_002053200.1|DVIR	LOC6538530|XP_002099052.1|DYAK
OG0000044	LOC6630492|XP_002053199.1|DVIR, LOC6630491|XP_002053198.1|DVIR	LOC6538526|XP_002099048.1|DYAK, LOC6538525|XP_002099047.1|DYAK
OG0000045	LOC6624147|XP_002046895.1|DVIR	LOC6533631|XP_002094338.1|DYAK
OG0000045	LOC6622199|XP_002046894.1|DVIR	LOC6533629|XP_002094336.1|DYAK, LOC6533630|XP_002094337.1|DYAK
OG0000045	LOC6624099|XP_002046893.1|DVIR	LOC6533265|XP_002093991.2|DYAK
OG0000045	LOC6623107|XP_002046892.1|DVIR	LOC6533264|XP_002093990.1|DYAK
OG0000046	LOC116652288|XP_032296485.1|DVIR, LOC6634418|XP_032296332.1|DVIR	LOC6525175|XP_002101013.1|DYAK, LOC6525174|XP_002101012.1|DYAK
OG0000046	LOC6629466|XP_032291044.1|DVIR, LOC6629465|XP_032291038.1|DVIR, LOC6629467|XP_002053883.2|DVIR, LOC6634417|XP_032296431.1|DVIR, LOC116652297|XP_032296495.1|DVIR	LOC6525176|XP_002101014.2|DYAK, LOC6537904|XP_002098445.2|DYAK, LOC6537905|XP_039232534.1|DYAK, LOC6537903|XP_002098444.1|DYAK, LOC6537902|XP_002098443.2|DYAK, LOC6537901|XP_002098442.1|DYAK, LOC6530015|XP_002090961.3|DYAK
OG0000047	LOC6624851|XP_002050852.1|DVIR	LOC6531393|XP_002092196.1|DYAK
OG0000047	LOC6624848|XP_002050849.2|DVIR	LOC6531396|XP_002092199.1|DYAK
OG0000047	LOC6626318|XP_002049525.1|DVIR	LOC6529920|XP_002090877.1|DYAK
OG0000047	LOC6623898|XP_015031386.1|DVIR	LOC6533594|XP_002094302.1|DYAK
OG0000047	LOC6626924|XP_002049538.1|DVIR	LOC6529913|XP_002090870.1|DYAK
OG0000048	LOC6623128|XP_002046219.1|DVIR	LOC6539501|XP_002086390.1|DYAK, LOC26534611|XP_015045057.1|DYAK
OG0000048	LOC6623801|XP_002046214.1|DVIR	LOC6539643|XP_002086528.1|DYAK
OG0000048	LOC6623780|XP_002046212.1|DVIR	LOC6539644|XP_002086526.2|DYAK
OG0000048	LOC6623749|XP_002046215.1|DVIR	LOC6539640|XP_002086529.1|DYAK
OG0000049	LOC6632699|XP_002056032.2|DVIR	LOC6536652|XP_002097224.1|DYAK
OG0000049	LOC6632702|XP_002056035.3|DVIR	LOC6537437|XP_002097993.1|DYAK
OG0000049	LOC6632698|XP_002056031.1|DVIR	LOC6536653|XP_002097225.1|DYAK
OG0000049	LOC116650324|XP_032289598.1|DVIR	LOC6536654|XP_002097226.1|DYAK
OG0000049	LOC6632703|XP_002056036.2|DVIR	LOC6537438|XP_002097994.1|DYAK
OG0000050	LOC116651245|XP_032293110.1|DVIR	LOC6530239|XP_002091176.2|DYAK
OG0000050	LOC116650744|XP_032291206.1|DVIR	LOC6535160|XP_039230152.1|DYAK
OG0000050	LOC6622355|XP_002047925.1|DVIR	LOC6535164|XP_002095826.2|DYAK
OG0000050	LOC6622345|XP_002047924.2|DVIR	LOC6535163|XP_002095825.2|DYAK
OG0000050	LOC6622312|XP_002047926.2|DVIR	LOC120320448|XP_039230150.1|DYAK
OG0000050	LOC6622403|XP_002047934.2|DVIR	LOC6535165|XP_002095827.2|DYAK
OG0000051	LOC6633160|XP_002056609.1|DVIR	LOC6536236|XP_002096825.1|DYAK
OG0000051	LOC6630427|XP_002053739.1|DVIR	LOC6536859|XP_002097428.1|DYAK
OG0000052	LOC6633117|XP_002056591.1|DVIR, LOC6633119|XP_002056593.1|DVIR, LOC6633120|XP_032289606.1|DVIR, LOC6633118|XP_002056592.2|DVIR	LOC6536447|XP_002097028.1|DYAK, LOC6537955|XP_002098492.1|DYAK, LOC6536445|XP_002097026.2|DYAK, LOC6536449|XP_002097030.1|DYAK, LOC6536448|XP_002097029.1|DYAK
OG0000052	LOC6626909|XP_002050284.2|DVIR, LOC6626910|XP_002050285.2|DVIR	LOC6531034|XP_002091870.1|DYAK
OG0000052	LOC6626911|XP_002050286.2|DVIR	LOC6531035|XP_002091871.1|DYAK
OG0000053	LOC6625282|XP_002049664.3|DVIR	LOC6528601|XP_002089644.1|DYAK
OG0000053	LOC6624847|XP_002049663.1|DVIR	LOC6528600|XP_002089643.1|DYAK
OG0000053	LOC6624846|XP_002049662.1|DVIR	LOC6528599|XP_002089642.1|DYAK
OG0000053	LOC6624845|XP_002049661.1|DVIR	LOC6528598|XP_002089641.2|DYAK
OG0000053	LOC6624806|XP_002049656.1|DVIR	LOC6528594|XP_002089637.3|DYAK
OG0000054	LOC6633223|XP_002056282.1|DVIR	LOC6537158|XP_002097719.1|DYAK
OG0000054	LOC6629800|XP_002053376.1|DVIR	LOC6537157|XP_002097718.1|DYAK
OG0000054	LOC6633224|XP_002056283.1|DVIR, LOC116650298|XP_032289550.1|DVIR	LOC6537155|XP_002097716.1|DYAK, LOC6537156|XP_002097717.1|DYAK
