Orthogroup	DVIR.longest_only	DGUA.longest_only
OG0000008	LOC6629514|XP_002054585.2|DVIR	LOC117586140|XP_034131924.1|DGUA
OG0000008	LOC6623720|XP_002046325.3|DVIR	LOC117579398|XP_034121168.1|DGUA
OG0000008	LOC6622211|XP_002046327.1|DVIR	LOC117579397|XP_034121167.1|DGUA
OG0000008	LOC6627554|XP_002052288.1|DVIR	LOC117581836|XP_034125174.1|DGUA
OG0000008	LOC26531283|XP_015031719.1|DVIR	LOC117579400|XP_034121171.1|DGUA
OG0000008	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR	LOC117586224|XP_034132052.1|DGUA, LOC117586223|XP_034132051.1|DGUA
OG0000008	LOC6631289|XP_002053528.2|DVIR	LOC117586165|XP_034131957.1|DGUA
OG0000008	LOC6631285|XP_002053524.1|DVIR	LOC117586221|XP_034132048.1|DGUA
OG0000008	LOC6631288|XP_002053527.1|DVIR	LOC117586120|XP_034131875.1|DGUA
OG0000008	LOC6631290|XP_002053529.1|DVIR	LOC117586582|XP_034132641.1|DGUA
OG0000009	LOC6632445|XP_002056511.1|DVIR	LOC117586341|XP_034132234.1|DGUA
OG0000009	LOC6632323|XP_002056506.1|DVIR	LOC117586454|XP_034132388.1|DGUA
OG0000009	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR	LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA
OG0000009	LOC6635767|XP_032294717.1|DVIR	LOC117585026|XP_034130159.1|DGUA, LOC117585051|XP_034130200.1|DGUA
OG0000009	LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR	LOC117587230|XP_034133688.1|DGUA
OG0000009	LOC6626542|XP_002050752.1|DVIR	LOC117588654|XP_034135988.1|DGUA
OG0000009	LOC6628883|XP_002051663.1|DVIR	LOC117588663|XP_034136000.1|DGUA
OG0000010	LOC116649822|XP_032288857.1|DVIR, LOC6637070|XP_002060485.1|DVIR, LOC116649828|XP_032288865.1|DVIR	LOC117583778|XP_034128224.1|DGUA
OG0000010	LOC6637215|XP_002060533.1|DVIR, LOC116649823|XP_032288859.1|DVIR, LOC6636962|XP_002060409.1|DVIR	LOC117591688|XP_034140902.1|DGUA
OG0000010	LOC6637058|XP_002060476.1|DVIR, LOC6630112|XP_002053105.1|DVIR, LOC116649825|XP_032288861.1|DVIR, LOC116649824|XP_032288860.1|DVIR, LOC6637029|XP_002060450.1|DVIR, LOC6630116|XP_032288858.1|DVIR	LOC117591679|XP_034140894.1|DGUA
OG0000011	LOC6623065|XP_002048503.2|DVIR	LOC117579216|XP_034120874.1|DGUA
OG0000011	LOC6635697|XP_002059270.2|DVIR	LOC117585951|XP_034131639.1|DGUA
OG0000012	LOC6624922|XP_002050777.1|DVIR	LOC117578829|XP_034120480.1|DGUA
OG0000012	LOC6625019|XP_002050778.1|DVIR	LOC117578830|XP_034120484.1|DGUA
OG0000012	LOC6625021|XP_002050780.1|DVIR	LOC117578828|XP_034120477.1|DGUA
OG0000012	LOC6624921|XP_015029085.1|DVIR	LOC117578831|XP_034120485.1|DGUA
OG0000012	LOC6625066|XP_002049213.2|DVIR, LOC6625067|XP_032293151.1|DVIR, LOC6624920|XP_002050775.2|DVIR, LOC6624919|XP_002050774.2|DVIR, LOC26531760|XP_015030363.1|DVIR, LOC6627007|XP_032292288.1|DVIR, LOC6627006|XP_002050772.1|DVIR	LOC117585419|XP_034130787.1|DGUA, LOC117585430|XP_034130799.1|DGUA, LOC117585406|XP_034130769.1|DGUA
OG0000012	LOC6627005|XP_002050771.1|DVIR	LOC117592596|XP_034142370.1|DGUA, LOC117592593|XP_034142368.1|DGUA, LOC117592595|XP_034142369.1|DGUA
OG0000012	LOC6627004|XP_002050770.1|DVIR	LOC117592597|XP_034142371.1|DGUA, LOC117592598|XP_034142372.1|DGUA
OG0000013	LOC6626677|XP_002050872.1|DVIR	LOC117592555|XP_034142321.1|DGUA
OG0000013	LOC6633411|XP_015025597.1|DVIR	LOC117590521|XP_034139126.1|DGUA
OG0000013	LOC6630204|XP_002053707.1|DVIR	LOC117585977|XP_034131683.1|DGUA
OG0000013	LOC6622085|XP_002048525.1|DVIR	LOC117580093|XP_034122238.1|DGUA
OG0000013	LOC6632892|XP_002056192.1|DVIR	LOC117589807|XP_034137915.1|DGUA
OG0000013	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR	LOC117585592|XP_034131028.1|DGUA, LOC117585591|XP_034131024.1|DGUA
OG0000013	LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR	LOC117583601|XP_034127885.1|DGUA
OG0000015	LOC26531562|XP_032293636.1|DVIR	LOC117588212|XP_034135242.1|DGUA
OG0000016	LOC6633127|XP_002056070.1|DVIR	LOC117589945|XP_034138127.1|DGUA
OG0000016	LOC116650918|XP_032291957.1|DVIR	LOC117587659|XP_034134479.1|DGUA
OG0000016	LOC6630423|XP_002053735.1|DVIR	LOC117583582|XP_034127854.1|DGUA
OG0000016	LOC6625554|XP_002049004.2|DVIR	LOC117592229|XP_034141753.1|DGUA
OG0000016	LOC6636049|XP_002059576.1|DVIR	LOC117581434|XP_034124497.1|DGUA
OG0000016	LOC6635861|XP_002059335.1|DVIR	LOC117588507|XP_034135722.1|DGUA
OG0000016	LOC6631018|XP_002054294.1|DVIR	LOC117585750|XP_034131294.1|DGUA
OG0000016	LOC6623693|XP_002048319.1|DVIR	LOC117579173|XP_034120827.1|DGUA
OG0000017	LOC6635873|XP_002059346.1|DVIR, LOC6636383|XP_032292047.1|DVIR, LOC6636382|XP_032292048.1|DVIR	LOC117592695|XP_034142550.1|DGUA, LOC117584523|XP_034129364.1|DGUA
OG0000017	LOC6628970|XP_032293497.1|DVIR, LOC6623565|XP_032291328.1|DVIR, LOC116651590|XP_032294188.1|DVIR	LOC117583173|XP_034127261.1|DGUA
OG0000017	LOC6627049|XP_002050830.3|DVIR	LOC117580469|XP_034122942.1|DGUA
OG0000017	LOC6635871|XP_002059345.1|DVIR	LOC117583419|XP_034127607.1|DGUA
OG0000017	LOC6627836|XP_032294331.1|DVIR	LOC117582253|XP_034125754.1|DGUA, LOC117582249|XP_034125751.1|DGUA
OG0000018	LOC6623414|XP_002046136.1|DVIR	LOC117587357|XP_034133889.1|DGUA
OG0000018	LOC6623369|XP_002046140.1|DVIR	LOC117587358|XP_034133890.1|DGUA
OG0000018	LOC6623326|XP_002046138.1|DVIR	LOC117587351|XP_034133882.1|DGUA
OG0000018	LOC6623104|XP_002046157.1|DVIR	LOC117587362|XP_034133895.1|DGUA
OG0000018	LOC6623391|XP_002046158.1|DVIR	LOC117587361|XP_034133894.1|DGUA
OG0000018	LOC6623443|XP_002046145.1|DVIR	LOC117587365|XP_034133899.1|DGUA
OG0000019	LOC6630453|XP_002053914.1|DVIR, LOC6630456|XP_002053917.1|DVIR	LOC117583725|XP_034128132.1|DGUA, LOC117583724|XP_034128131.1|DGUA
OG0000019	LOC6630458|XP_002053919.1|DVIR	LOC117583705|XP_034128081.1|DGUA
OG0000019	LOC6630457|XP_002053918.1|DVIR	LOC117583723|XP_034128130.1|DGUA
OG0000019	LOC6630452|XP_002053913.1|DVIR	LOC117583722|XP_034128122.1|DGUA
OG0000020	LOC6634957|XP_002058591.1|DVIR	LOC117583658|XP_034128012.1|DGUA
OG0000020	LOC6635984|XP_002059302.2|DVIR	LOC117578526|XP_034119977.1|DGUA
OG0000020	LOC6628903|XP_002051547.2|DVIR	LOC117587736|XP_034134545.1|DGUA
OG0000020	LOC6632501|XP_032289762.1|DVIR	LOC117586337|XP_034132223.1|DGUA
OG0000020	LOC6632573|XP_015026213.1|DVIR	LOC117590165|XP_034138451.1|DGUA
OG0000020	LOC6628471|XP_002051546.1|DVIR	LOC117584402|XP_034129156.1|DGUA
OG0000021	LOC6624373|XP_002047473.1|DVIR	LOC117579999|XP_034122087.1|DGUA
OG0000021	LOC6627017|XP_002049727.2|DVIR	LOC117578554|XP_034120017.1|DGUA
OG0000021	LOC6627018|XP_002049728.2|DVIR	LOC117578555|XP_034120019.1|DGUA
OG0000021	LOC6627016|XP_002049726.1|DVIR	LOC117578556|XP_034120020.1|DGUA
OG0000021	LOC6627164|XP_002049737.1|DVIR	LOC117580314|XP_034122704.1|DGUA
OG0000021	LOC6625700|XP_015029837.1|DVIR	LOC117580733|XP_034123298.1|DGUA
OG0000021	LOC6627019|XP_002049729.1|DVIR	LOC117578557|XP_034120021.1|DGUA
OG0000021	LOC6636003|XP_002059503.1|DVIR	LOC117590869|XP_034139782.1|DGUA
OG0000021	LOC6629522|XP_002053324.1|DVIR	LOC117585696|XP_034131203.1|DGUA
OG0000021	LOC6629847|XP_002054468.1|DVIR	LOC117582802|XP_034126721.1|DGUA
OG0000022	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR	LOC117585826|XP_034131453.1|DGUA
OG0000022	LOC6622522|XP_002046428.1|DVIR, LOC116650757|XP_032291322.1|DVIR, LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR, LOC6622546|XP_002046431.1|DVIR	LOC117587285|XP_034133763.1|DGUA, LOC117587287|XP_034133765.1|DGUA, LOC117587288|XP_034133766.1|DGUA, LOC117587289|XP_034133767.1|DGUA, LOC117587281|XP_034133758.1|DGUA
OG0000022	LOC116650066|XP_032289307.1|DVIR, LOC6622553|XP_002046434.2|DVIR	LOC117587284|XP_034133762.1|DGUA, LOC117587282|XP_034133759.1|DGUA
OG0000023	LOC6632666|XP_032289605.1|DVIR	LOC117586396|XP_034132318.1|DGUA
OG0000023	LOC6632668|XP_002056437.2|DVIR	LOC117586009|XP_034131729.1|DGUA
OG0000023	LOC6632669|XP_002056438.1|DVIR	LOC117586008|XP_034131728.1|DGUA
OG0000023	LOC6626291|XP_002050067.1|DVIR	LOC117591288|XP_034140381.1|DGUA
OG0000023	LOC6632665|XP_002056434.1|DVIR, LOC6632664|XP_002056433.1|DVIR	LOC117586007|XP_034131727.1|DGUA
OG0000023	LOC6632533|XP_002056431.1|DVIR	LOC117586005|XP_034131725.1|DGUA
OG0000023	LOC6632529|XP_002056427.2|DVIR	LOC117586006|XP_034131726.1|DGUA
OG0000023	LOC6632531|XP_002056429.1|DVIR	LOC117586004|XP_034131723.1|DGUA
OG0000023	LOC6632528|XP_032289545.1|DVIR	LOC117586277|XP_034132120.1|DGUA
OG0000024	LOC6625432|XP_002049269.3|DVIR, LOC6625433|XP_015029714.1|DVIR, LOC6625430|XP_002049267.1|DVIR, LOC6625436|XP_002049273.1|DVIR, LOC6625435|XP_002049272.1|DVIR, LOC6625434|XP_002049271.1|DVIR	LOC117580035|XP_034122157.1|DGUA, LOC117590346|XP_034138754.1|DGUA, LOC117580026|XP_034122146.1|DGUA
OG0000024	LOC6625431|XP_002049268.3|DVIR	LOC117580040|XP_034122171.1|DGUA
OG0000024	LOC6634081|XP_002057902.1|DVIR	LOC117591149|XP_034140151.1|DGUA
OG0000024	LOC6625429|XP_002049266.1|DVIR	LOC117578502|XP_034119928.1|DGUA
OG0000024	LOC6625162|XP_002048929.1|DVIR	LOC117592048|XP_034141425.1|DGUA
OG0000025	LOC6635606|XP_002058949.1|DVIR	LOC117590412|XP_034138901.1|DGUA
OG0000025	LOC6637233|XP_002060537.1|DVIR	LOC117591718|XP_034140929.1|DGUA, LOC117591670|XP_034140884.1|DGUA
OG0000026	LOC6631803|XP_002055737.1|DVIR	LOC117588644|XP_034135968.1|DGUA
OG0000026	LOC6628165|XP_002051461.1|DVIR	LOC117588100|XP_034135061.1|DGUA
OG0000026	LOC6635194|XP_002058469.1|DVIR	LOC117589578|XP_034137528.1|DGUA
OG0000027	LOC6629148|XP_002052895.1|DVIR	LOC117581694|XP_034124962.1|DGUA
OG0000027	LOC6627465|XP_002052896.1|DVIR	LOC117581693|XP_034124961.1|DGUA
OG0000028	LOC6622578|XP_032291308.1|DVIR, LOC116650753|XP_032291253.1|DVIR, LOC6622591|XP_032290503.1|DVIR	LOC117579894|XP_034121922.1|DGUA, LOC117579895|XP_034121923.1|DGUA, LOC117579891|XP_034121917.1|DGUA, LOC117579890|XP_034121916.1|DGUA
OG0000028	LOC6622560|XP_032290501.1|DVIR, LOC6622574|XP_002047517.1|DVIR	LOC117579887|XP_034121914.1|DGUA
OG0000029	LOC6625353|XP_002050320.1|DVIR, LOC6625686|XP_002050319.2|DVIR	LOC117589682|XP_034137727.1|DGUA
OG0000029	LOC6624236|XP_002048359.1|DVIR	LOC117579424|XP_034121195.1|DGUA
OG0000030	LOC6628998|XP_002052101.1|DVIR	LOC117584551|XP_034129394.1|DGUA
OG0000030	LOC6627051|XP_002050832.1|DVIR, LOC6626964|XP_002050828.1|DVIR, LOC6626963|XP_002050827.1|DVIR	LOC117580408|XP_034122850.1|DGUA
OG0000030	LOC6633403|XP_002057213.1|DVIR	LOC117580802|XP_034123393.1|DGUA
OG0000030	LOC6632190|XP_002055645.1|DVIR	LOC117581439|XP_034124532.1|DGUA
OG0000031	LOC6634268|XP_002057550.2|DVIR	LOC117584126|XP_034128769.1|DGUA
OG0000031	LOC6629125|XP_002052391.1|DVIR	LOC117584798|XP_034129808.1|DGUA
OG0000032	LOC6629979|XP_002054337.1|DVIR	LOC117583029|XP_034127075.1|DGUA
OG0000032	LOC6629980|XP_032294917.1|DVIR	LOC117583031|XP_034127078.1|DGUA
OG0000032	LOC6629978|XP_032294961.1|DVIR, LOC6634892|XP_002058480.2|DVIR, LOC6629977|XP_002054335.1|DVIR, LOC6629932|XP_002054333.2|DVIR, LOC6629933|XP_002054334.2|DVIR	LOC117583028|XP_034127074.1|DGUA, LOC117583032|XP_034127079.1|DGUA, LOC117583027|XP_034127070.1|DGUA, LOC117583026|XP_034127069.1|DGUA
OG0000033	LOC6635949|XP_002059391.1|DVIR	LOC117578485|XP_034119909.1|DGUA
OG0000033	LOC6630139|XP_002053622.1|DVIR, LOC6630138|XP_002053621.1|DVIR, LOC6629617|XP_002053590.1|DVIR	LOC117578484|XP_034119908.1|DGUA
OG0000034	LOC6627930|XP_002051996.1|DVIR	LOC117584525|XP_034129365.1|DGUA
OG0000034	LOC6627931|XP_002051997.2|DVIR	LOC117584539|XP_034129382.1|DGUA
OG0000034	LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR	LOC117584364|XP_034129093.1|DGUA
OG0000034	LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR, LOC6628688|XP_002051352.1|DVIR	LOC117588068|XP_034135019.1|DGUA
OG0000036	LOC6632491|XP_002056444.1|DVIR	LOC117586375|XP_034132294.1|DGUA
OG0000036	LOC116651951|XP_032295383.1|DVIR	LOC117589622|XP_034137600.1|DGUA
OG0000036	LOC6634881|XP_002058500.1|DVIR	LOC117590096|XP_034138331.1|DGUA
OG0000036	LOC6630607|XP_002054482.2|DVIR	LOC117583751|XP_034128161.1|DGUA
OG0000037	LOC6627126|XP_032291548.1|DVIR	LOC117581190|XP_034124041.1|DGUA
OG0000037	LOC6629970|XP_002053079.1|DVIR	LOC117589655|XP_034137680.1|DGUA, LOC117589654|XP_034137679.1|DGUA, LOC117589653|XP_034137677.1|DGUA, LOC117589652|XP_034137676.1|DGUA
OG0000038	LOC6622648|XP_002047530.1|DVIR	LOC117579886|XP_034121913.1|DGUA
OG0000038	LOC6624649|XP_002047532.2|DVIR	LOC117579879|XP_034121893.1|DGUA
OG0000039	LOC6630003|XP_002054716.2|DVIR	LOC117586049|XP_034131784.1|DGUA
OG0000039	LOC6631924|XP_002055751.1|DVIR	LOC117590455|XP_034138980.1|DGUA
OG0000039	LOC6636063|XP_002059594.1|DVIR	LOC117590456|XP_034138981.1|DGUA
OG0000039	LOC6632395|XP_002056631.2|DVIR, LOC6631925|XP_002055752.1|DVIR, LOC116652072|XP_032295834.1|DVIR	LOC117590454|XP_034138979.1|DGUA
OG0000039	LOC6636702|XP_002060175.3|DVIR	LOC117588357|XP_034135459.1|DGUA
OG0000040	LOC6629625|XP_002054865.1|DVIR	LOC117586415|XP_034132343.1|DGUA, LOC117585619|XP_034131071.1|DGUA, LOC117585126|XP_034130340.1|DGUA
OG0000040	LOC6629626|XP_002054866.2|DVIR	LOC117585623|XP_034131079.1|DGUA
OG0000040	LOC116651842|XP_032294845.1|DVIR, LOC6629623|XP_032294844.1|DVIR	LOC117585926|XP_034131583.1|DGUA, LOC117586490|XP_034132479.1|DGUA
OG0000040	LOC6629621|XP_002054861.1|DVIR	LOC117585962|XP_034131662.1|DGUA
OG0000040	LOC6629627|XP_002054867.1|DVIR	LOC117586743|XP_034132936.1|DGUA, LOC117585897|XP_034131543.1|DGUA
OG0000040	LOC6629744|XP_002053886.1|DVIR	LOC117583720|XP_034128120.1|DGUA
OG0000041	LOC6630744|XP_032290585.1|DVIR, LOC116651238|XP_032293093.1|DVIR, LOC6630745|XP_032292365.1|DVIR	LOC117585912|XP_034131566.1|DGUA, LOC117585916|XP_034131573.1|DGUA, LOC117585914|XP_034131569.1|DGUA, LOC117591714|XP_034140925.1|DGUA
OG0000042	LOC6630880|XP_002053792.2|DVIR, LOC6636545|XP_002060049.1|DVIR, LOC6625347|XP_002051000.3|DVIR, LOC6625529|XP_002051023.1|DVIR, LOC6625448|XP_002050998.1|DVIR, LOC6623106|XP_002046713.1|DVIR, LOC6625348|XP_002051001.1|DVIR, LOC6625349|XP_002051002.1|DVIR	LOC117592397|XP_034142005.1|DGUA, LOC117592396|XP_034142004.1|DGUA, LOC117592398|XP_034142007.1|DGUA, LOC117582376|XP_034125933.1|DGUA
OG0000043	LOC6630320|XP_002053430.1|DVIR	LOC117585017|XP_034130149.1|DGUA, LOC117585016|XP_034130147.1|DGUA
OG0000043	LOC6630323|XP_002053433.1|DVIR	LOC117585502|XP_034130891.1|DGUA
OG0000043	LOC6630318|XP_002053428.2|DVIR	LOC117584981|XP_034130079.1|DGUA, LOC117585441|XP_034130807.1|DGUA
OG0000044	LOC6630493|XP_002053200.1|DVIR	LOC117585917|XP_034131574.1|DGUA
OG0000044	LOC6630492|XP_002053199.1|DVIR, LOC6630491|XP_002053198.1|DVIR	LOC117591713|XP_034140924.1|DGUA, LOC117586413|XP_034132340.1|DGUA, LOC117586479|XP_034132465.1|DGUA
OG0000045	LOC6624147|XP_002046895.1|DVIR	LOC117586936|XP_034133192.1|DGUA
OG0000045	LOC6622199|XP_002046894.1|DVIR	LOC117587010|XP_034133310.1|DGUA
OG0000045	LOC6624099|XP_002046893.1|DVIR	LOC117579473|XP_034121255.1|DGUA
OG0000045	LOC6623107|XP_002046892.1|DVIR	LOC117579463|XP_034121242.1|DGUA
OG0000046	LOC116652288|XP_032296485.1|DVIR, LOC6634418|XP_032296332.1|DVIR	LOC117591350|XP_034140469.1|DGUA
OG0000046	LOC6629466|XP_032291044.1|DVIR, LOC6629465|XP_032291038.1|DVIR, LOC6629467|XP_002053883.2|DVIR, LOC6634417|XP_032296431.1|DVIR, LOC116652297|XP_032296495.1|DVIR	LOC117592033|XP_034141382.1|DGUA, LOC117583276|XP_034127392.1|DGUA
OG0000047	LOC6624851|XP_002050852.1|DVIR	LOC117591384|XP_034140523.1|DGUA
OG0000047	LOC6624848|XP_002050849.2|DVIR	LOC117592295|XP_034141855.1|DGUA
OG0000047	LOC6626318|XP_002049525.1|DVIR	LOC117580524|XP_034123007.1|DGUA, LOC117580525|XP_034123009.1|DGUA, LOC117582832|XP_034126782.1|DGUA
OG0000047	LOC6623898|XP_015031386.1|DVIR	LOC117579417|XP_034121187.1|DGUA, LOC117580177|XP_034122427.1|DGUA
OG0000047	LOC6626924|XP_002049538.1|DVIR	LOC117591732|XP_034140939.1|DGUA
OG0000048	LOC6623128|XP_002046219.1|DVIR	LOC117588952|XP_034136425.1|DGUA, LOC117588948|XP_034136419.1|DGUA
OG0000048	LOC6623780|XP_002046212.1|DVIR	LOC117589276|XP_034136957.1|DGUA
OG0000048	LOC6623749|XP_002046215.1|DVIR	LOC117588957|XP_034136435.1|DGUA
OG0000049	LOC6632704|XP_002056037.1|DVIR	LOC117583262|XP_034127380.1|DGUA
OG0000049	LOC6632699|XP_002056032.2|DVIR	LOC117583088|XP_034127157.1|DGUA
OG0000049	LOC6632702|XP_002056035.3|DVIR	LOC117583087|XP_034127156.1|DGUA
OG0000049	LOC6632698|XP_002056031.1|DVIR	LOC117583320|XP_034127470.1|DGUA
OG0000049	LOC116650324|XP_032289598.1|DVIR	LOC117583323|XP_034127472.1|DGUA
OG0000049	LOC6632703|XP_002056036.2|DVIR	LOC117583085|XP_034127153.1|DGUA
OG0000050	LOC116651245|XP_032293110.1|DVIR	LOC117592164|XP_034141627.1|DGUA
OG0000050	LOC116650744|XP_032291206.1|DVIR	LOC117580439|XP_034122886.1|DGUA
OG0000050	LOC6622355|XP_002047925.1|DVIR	LOC117580435|XP_034122881.1|DGUA
OG0000050	LOC6622345|XP_002047924.2|DVIR	LOC117580059|XP_034122189.1|DGUA
OG0000050	LOC6622312|XP_002047926.2|DVIR	LOC117580437|XP_034122884.1|DGUA, LOC117580438|XP_034122885.1|DGUA
OG0000050	LOC6622403|XP_002047934.2|DVIR	LOC117580434|XP_034122880.1|DGUA
OG0000051	LOC6633160|XP_002056609.1|DVIR	LOC117584976|XP_034130071.1|DGUA
OG0000051	LOC6630427|XP_002053739.1|DVIR	LOC117589573|XP_034137517.1|DGUA, LOC117589575|XP_034137522.1|DGUA
OG0000052	LOC6633117|XP_002056591.1|DVIR, LOC6633119|XP_002056593.1|DVIR, LOC6633120|XP_032289606.1|DVIR, LOC6633118|XP_002056592.2|DVIR	LOC117585521|XP_034130918.1|DGUA
OG0000052	LOC6626909|XP_002050284.2|DVIR, LOC6626910|XP_002050285.2|DVIR	LOC117579366|XP_034121106.1|DGUA
OG0000052	LOC6626911|XP_002050286.2|DVIR	LOC117579361|XP_034121090.1|DGUA
OG0000053	LOC6624847|XP_002049663.1|DVIR	LOC117591851|XP_034141110.1|DGUA
OG0000053	LOC6624846|XP_002049662.1|DVIR	LOC117591850|XP_034141108.1|DGUA
OG0000053	LOC6624845|XP_002049661.1|DVIR	LOC117591849|XP_034141106.1|DGUA
OG0000053	LOC6624806|XP_002049656.1|DVIR	LOC117589695|XP_034137786.1|DGUA
OG0000054	LOC6633223|XP_002056282.1|DVIR	LOC117591710|XP_034140920.1|DGUA, LOC117585614|XP_034131065.1|DGUA, LOC117585423|XP_034130788.1|DGUA
OG0000054	LOC6629800|XP_002053376.1|DVIR	LOC117585613|XP_034131060.1|DGUA
OG0000054	LOC6633224|XP_002056283.1|DVIR, LOC116650298|XP_032289550.1|DVIR	LOC117585615|XP_034131067.1|DGUA
OG0000055	LOC6632627|XP_002056104.1|DVIR, LOC6632628|XP_002056105.1|DVIR, LOC6632630|XP_002056107.2|DVIR, LOC6632629|XP_002056106.2|DVIR	LOC117583475|XP_034127675.1|DGUA
OG0000056	LOC6630824|XP_002054731.1|DVIR	LOC117582718|XP_034126532.1|DGUA
OG0000056	LOC26531774|XP_032295287.1|DVIR, LOC6630956|XP_002054733.1|DVIR	LOC117582719|XP_034126535.1|DGUA
OG0000056	LOC6627508|XP_002052791.1|DVIR	LOC117589786|XP_034137875.1|DGUA, LOC117589687|XP_034137734.1|DGUA
