Orthogroup	DVIR.longest_only	DMAU.longest_only
OG0000011	LOC6635697|XP_002059270.2|DVIR	LOC117143493|XP_033164098.1|DMAU
OG0000012	LOC6624922|XP_002050777.1|DVIR	LOC117136761|XP_033153688.1|DMAU
OG0000012	LOC6625019|XP_002050778.1|DVIR	LOC117136760|XP_033153687.1|DMAU
OG0000012	LOC6625021|XP_002050780.1|DVIR	LOC117136898|XP_033153902.1|DMAU
OG0000012	LOC6624921|XP_015029085.1|DVIR	LOC117137864|XP_033155471.1|DMAU
OG0000012	LOC6625066|XP_002049213.2|DVIR, LOC6625067|XP_032293151.1|DVIR, LOC6624920|XP_002050775.2|DVIR, LOC6624919|XP_002050774.2|DVIR, LOC26531760|XP_015030363.1|DVIR, LOC6627007|XP_032292288.1|DVIR, LOC6627006|XP_002050772.1|DVIR	LOC117137455|XP_033154790.1|DMAU, LOC117136643|XP_033153526.1|DMAU
OG0000012	LOC6627005|XP_002050771.1|DVIR	LOC117136387|XP_033153170.1|DMAU, LOC117136474|XP_033153296.1|DMAU, LOC117136403|XP_033153190.1|DMAU, LOC117138497|XP_033156518.1|DMAU
OG0000012	LOC6627004|XP_002050770.1|DVIR	LOC117137795|XP_033155358.1|DMAU, LOC117137796|XP_033155359.1|DMAU
OG0000013	LOC6626677|XP_002050872.1|DVIR	LOC117136473|XP_033153295.1|DMAU
OG0000013	LOC6633411|XP_015025597.1|DVIR	LOC117148236|XP_033171424.1|DMAU
OG0000013	LOC6630204|XP_002053707.1|DVIR	LOC117142434|XP_033162286.1|DMAU
OG0000013	LOC6622085|XP_002048525.1|DVIR	LOC117141743|XP_033161255.1|DMAU
OG0000013	LOC6632892|XP_002056192.1|DVIR	LOC117143333|XP_033163884.1|DMAU
OG0000013	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR	LOC117142344|XP_033162152.1|DMAU
OG0000013	LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR	LOC117145307|XP_033166793.1|DMAU, LOC117143464|XP_033164066.1|DMAU, LOC117142927|XP_033163116.1|DMAU
OG0000014	LOC116652015|XP_032295550.1|DVIR	LOC117141766|XP_033161286.1|DMAU
OG0000015	LOC6633997|XP_032293758.1|DVIR	LOC117135278|XP_033151337.1|DMAU
OG0000015	LOC26531562|XP_032293636.1|DVIR	LOC117137056|XP_033154159.1|DMAU
OG0000016	LOC6633127|XP_002056070.1|DVIR	LOC117143253|XP_033163704.1|DMAU
OG0000016	LOC116650918|XP_032291957.1|DVIR	LOC117136077|XP_033152622.1|DMAU
OG0000016	LOC6630423|XP_002053735.1|DVIR	LOC117144517|XP_033165627.1|DMAU
OG0000016	LOC6625554|XP_002049004.2|DVIR	LOC117137377|XP_033154680.1|DMAU
OG0000016	LOC6636049|XP_002059576.1|DVIR	LOC117148789|XP_033172290.1|DMAU
OG0000016	LOC6635861|XP_002059335.1|DVIR	LOC117135957|XP_033152442.1|DMAU
OG0000016	LOC6631018|XP_002054294.1|DVIR	LOC117145868|XP_033167581.1|DMAU
OG0000016	LOC6623693|XP_002048319.1|DVIR	LOC117140134|XP_033158791.1|DMAU
OG0000017	LOC6635873|XP_002059346.1|DVIR, LOC6636383|XP_032292047.1|DVIR, LOC6636382|XP_032292048.1|DVIR	LOC117136736|XP_033153658.1|DMAU
OG0000017	LOC6628970|XP_032293497.1|DVIR, LOC6623565|XP_032291328.1|DVIR, LOC116651590|XP_032294188.1|DVIR	LOC117144630|XP_033165816.1|DMAU, LOC117144632|XP_033165817.1|DMAU
OG0000017	LOC6627049|XP_002050830.3|DVIR	LOC117137416|XP_033154735.1|DMAU
OG0000017	LOC6635871|XP_002059345.1|DVIR	LOC117136539|XP_033153380.1|DMAU
OG0000017	LOC6627836|XP_032294331.1|DVIR	LOC117150949|XP_033174013.1|DMAU, LOC117139948|XP_033158530.1|DMAU
OG0000018	LOC6623369|XP_002046140.1|DVIR	LOC117141482|XP_033160851.1|DMAU
OG0000018	LOC6623326|XP_002046138.1|DVIR	LOC117141483|XP_033160852.1|DMAU
OG0000018	LOC6623391|XP_002046158.1|DVIR	LOC117140972|XP_033160097.1|DMAU, LOC117139215|XP_033157288.1|DMAU
OG0000019	LOC6630453|XP_002053914.1|DVIR, LOC6630456|XP_002053917.1|DVIR	LOC117143233|XP_033163675.1|DMAU
OG0000019	LOC6630458|XP_002053919.1|DVIR	LOC117143229|XP_033163670.1|DMAU
OG0000019	LOC6630457|XP_002053918.1|DVIR	LOC117143234|XP_033163676.1|DMAU
OG0000019	LOC6630452|XP_002053913.1|DVIR	LOC117143231|XP_033163673.1|DMAU, LOC117143232|XP_033163674.1|DMAU
OG0000020	LOC6634957|XP_002058591.1|DVIR	LOC117143636|XP_033164304.1|DMAU
OG0000020	LOC6635984|XP_002059302.2|DVIR	LOC117136475|XP_033153300.1|DMAU
OG0000020	LOC6628903|XP_002051547.2|DVIR	LOC117139859|XP_033158405.1|DMAU, LOC117138462|XP_033156478.1|DMAU, LOC117140141|XP_033158803.1|DMAU
OG0000020	LOC6632501|XP_032289762.1|DVIR	LOC117145918|XP_033167668.1|DMAU
OG0000020	LOC6632573|XP_015026213.1|DVIR	LOC117143368|XP_033163935.1|DMAU
OG0000020	LOC6628471|XP_002051546.1|DVIR	LOC117135687|XP_033151982.1|DMAU, LOC117139836|XP_033158373.1|DMAU
OG0000021	LOC6627018|XP_002049728.2|DVIR	LOC117135318|XP_033151407.1|DMAU
OG0000021	LOC6627016|XP_002049726.1|DVIR	LOC117150020|XP_033172787.1|DMAU, LOC117150137|XP_033172836.1|DMAU
OG0000021	LOC6627164|XP_002049737.1|DVIR	LOC117136145|XP_033152741.1|DMAU
OG0000021	LOC6625700|XP_015029837.1|DVIR	LOC117136571|XP_033153419.1|DMAU
OG0000021	LOC6625029|XP_002050452.1|DVIR	LOC117136553|XP_033153398.1|DMAU
OG0000021	LOC6627019|XP_002049729.1|DVIR	LOC117149951|XP_033172741.1|DMAU, LOC117149949|XP_033172738.1|DMAU
OG0000021	LOC6636003|XP_002059503.1|DVIR	LOC117146855|XP_033169316.1|DMAU
OG0000021	LOC6629522|XP_002053324.1|DVIR	LOC117142241|XP_033161985.1|DMAU
OG0000021	LOC6629847|XP_002054468.1|DVIR	LOC117143646|XP_033164316.1|DMAU
OG0000021	LOC26531416|XP_015025728.1|DVIR	LOC117148061|XP_033171143.1|DMAU
OG0000022	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR	LOC117138252|XP_033156103.1|DMAU
OG0000022	LOC6622522|XP_002046428.1|DVIR, LOC116650757|XP_032291322.1|DVIR, LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR, LOC6622546|XP_002046431.1|DVIR	LOC117139202|XP_033157265.1|DMAU, LOC117139201|XP_033157264.1|DMAU, LOC117139199|XP_033157263.1|DMAU, LOC117139197|XP_033157261.1|DMAU
OG0000022	LOC116650066|XP_032289307.1|DVIR, LOC6622553|XP_002046434.2|DVIR	LOC117139203|XP_033157266.1|DMAU, LOC117139198|XP_033157262.1|DMAU
OG0000023	LOC26530945|XP_015026270.1|DVIR	LOC117144283|XP_033165277.1|DMAU
OG0000023	LOC6632666|XP_032289605.1|DVIR	LOC117144284|XP_033165278.1|DMAU
OG0000023	LOC6632669|XP_002056438.1|DVIR	LOC117144282|XP_033165275.1|DMAU
OG0000023	LOC6626291|XP_002050067.1|DVIR	LOC117135977|XP_033152481.1|DMAU
OG0000023	LOC6632665|XP_002056434.1|DVIR, LOC6632664|XP_002056433.1|DVIR	LOC117145126|XP_033166537.1|DMAU
OG0000023	LOC6632533|XP_002056431.1|DVIR	LOC117144278|XP_033165272.1|DMAU
OG0000023	LOC6632529|XP_002056427.2|DVIR	LOC117144775|XP_033166033.1|DMAU
OG0000023	LOC6632531|XP_002056429.1|DVIR	LOC117144277|XP_033165271.1|DMAU
OG0000023	LOC6632528|XP_032289545.1|DVIR	LOC117144765|XP_033166018.1|DMAU
OG0000024	LOC6625432|XP_002049269.3|DVIR, LOC6625433|XP_015029714.1|DVIR, LOC6625430|XP_002049267.1|DVIR, LOC6625436|XP_002049273.1|DVIR, LOC6625435|XP_002049272.1|DVIR, LOC6625434|XP_002049271.1|DVIR	LOC117137467|XP_033154805.1|DMAU, LOC117137468|XP_033154806.1|DMAU, LOC117137469|XP_033154807.1|DMAU, LOC117137862|XP_033155468.1|DMAU
OG0000024	LOC6625431|XP_002049268.3|DVIR	LOC117136255|XP_033152953.1|DMAU
OG0000024	LOC6634081|XP_002057902.1|DVIR	LOC117150619|XP_033173479.1|DMAU
OG0000024	LOC6625429|XP_002049266.1|DVIR	LOC117136506|XP_033153341.1|DMAU
OG0000024	LOC6625162|XP_002048929.1|DVIR	LOC117135440|XP_033151508.1|DMAU
OG0000025	LOC6635606|XP_002058949.1|DVIR	LOC117143378|XP_033163951.1|DMAU
OG0000026	LOC6631803|XP_002055737.1|DVIR	LOC117148470|XP_033171735.1|DMAU
OG0000026	LOC6628165|XP_002051461.1|DVIR	LOC117135160|XP_033151111.1|DMAU
OG0000026	LOC6635194|XP_002058469.1|DVIR	LOC117145491|XP_033167059.1|DMAU
OG0000027	LOC6629148|XP_002052895.1|DVIR	LOC117142835|XP_033162961.1|DMAU
OG0000027	LOC6627465|XP_002052896.1|DVIR	LOC117150817|XP_033173768.1|DMAU
OG0000028	LOC6622574|XP_002047517.1|DVIR	LOC117139373|XP_033157513.1|DMAU
OG0000029	LOC6625353|XP_002050320.1|DVIR, LOC6625686|XP_002050319.2|DVIR	LOC117144854|XP_033166148.1|DMAU
OG0000029	LOC6624236|XP_002048359.1|DVIR	LOC117140740|XP_033159707.1|DMAU
OG0000030	LOC6627555|XP_002052289.1|DVIR	LOC117150768|XP_033173696.1|DMAU
OG0000030	LOC6628998|XP_002052101.1|DVIR	LOC117143350|XP_033163916.1|DMAU
OG0000030	LOC6627051|XP_002050832.1|DVIR, LOC6626964|XP_002050828.1|DVIR, LOC6626963|XP_002050827.1|DVIR	LOC117137054|XP_033154154.1|DMAU
OG0000030	LOC6633403|XP_002057213.1|DVIR	LOC117148684|XP_033172115.1|DMAU
OG0000030	LOC6632190|XP_002055645.1|DVIR	LOC117148518|XP_033171816.1|DMAU, LOC117148443|XP_033171707.1|DMAU, LOC117148004|XP_033171054.1|DMAU
OG0000031	LOC6634268|XP_002057550.2|DVIR	LOC117144354|XP_033165364.1|DMAU, LOC117137476|XP_033154845.1|DMAU, LOC117145782|XP_033167456.1|DMAU
OG0000031	LOC6634269|XP_002057551.2|DVIR, LOC6634303|XP_032293402.1|DVIR	LOC117135426|XP_033151476.1|DMAU, LOC117138977|XP_033156935.1|DMAU, LOC117135570|XP_033151785.1|DMAU, LOC117138460|XP_033156477.1|DMAU
OG0000031	LOC6629125|XP_002052391.1|DVIR	LOC117150913|XP_033173999.1|DMAU
OG0000032	LOC6629979|XP_002054337.1|DVIR	LOC117145857|XP_033167568.1|DMAU
OG0000032	LOC6629980|XP_032294917.1|DVIR	LOC117145495|XP_033167064.1|DMAU, LOC117145861|XP_033167572.1|DMAU, LOC117145862|XP_033167573.1|DMAU, LOC117145859|XP_033167570.1|DMAU
OG0000033	LOC6635949|XP_002059391.1|DVIR	LOC117143209|XP_033163650.1|DMAU, LOC117150287|XP_033172997.1|DMAU, LOC117143200|XP_033163638.1|DMAU, LOC117138299|XP_033156190.1|DMAU, LOC117138297|XP_033156188.1|DMAU
OG0000033	LOC6630139|XP_002053622.1|DVIR, LOC6630138|XP_002053621.1|DVIR, LOC6629617|XP_002053590.1|DVIR	LOC117138298|XP_033156189.1|DMAU
OG0000034	LOC6627930|XP_002051996.1|DVIR	LOC117138566|XP_033156617.1|DMAU, LOC117141167|XP_033160397.1|DMAU
OG0000034	LOC6627931|XP_002051997.2|DVIR	LOC117150484|XP_033173274.1|DMAU
OG0000034	LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR	LOC117150483|XP_033173273.1|DMAU
OG0000034	LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR, LOC6628688|XP_002051352.1|DVIR	LOC117143867|XP_033164627.1|DMAU
OG0000036	LOC6632491|XP_002056444.1|DVIR	LOC117145150|XP_033166581.1|DMAU
OG0000036	LOC116651951|XP_032295383.1|DVIR	LOC117145004|XP_033166383.1|DMAU
OG0000036	LOC6634881|XP_002058500.1|DVIR	LOC117145915|XP_033167661.1|DMAU
OG0000036	LOC6630607|XP_002054482.2|DVIR	LOC117145828|XP_033167521.1|DMAU, LOC117145827|XP_033167520.1|DMAU
OG0000037	LOC6627126|XP_032291548.1|DVIR	LOC117137024|XP_033154116.1|DMAU
OG0000037	LOC6629970|XP_002053079.1|DVIR	LOC117145239|XP_033166706.1|DMAU, LOC117143582|XP_033164221.1|DMAU
OG0000038	LOC6622648|XP_002047530.1|DVIR	LOC117139364|XP_033157507.1|DMAU
OG0000038	LOC6624649|XP_002047532.2|DVIR	LOC117141232|XP_033160483.1|DMAU
OG0000039	LOC6630003|XP_002054716.2|DVIR	LOC117144249|XP_033165219.1|DMAU
OG0000039	LOC6631924|XP_002055751.1|DVIR	LOC117148457|XP_033171719.1|DMAU
OG0000039	LOC6636063|XP_002059594.1|DVIR	LOC117147454|XP_033170230.1|DMAU
OG0000039	LOC6636702|XP_002060175.3|DVIR	LOC117146886|XP_033169374.1|DMAU
OG0000040	LOC6629625|XP_002054865.1|DVIR	LOC117145128|XP_033166540.1|DMAU, LOC117143448|XP_033164046.1|DMAU
OG0000040	LOC6629626|XP_002054866.2|DVIR	LOC117143449|XP_033164048.1|DMAU
OG0000040	LOC116651842|XP_032294845.1|DVIR, LOC6629623|XP_032294844.1|DVIR	LOC117144294|XP_033165289.1|DMAU, LOC117144293|XP_033165288.1|DMAU
OG0000040	LOC6629621|XP_002054861.1|DVIR	LOC117143965|XP_033164790.1|DMAU
OG0000040	LOC6629744|XP_002053886.1|DVIR	LOC117143756|XP_033164463.1|DMAU
OG0000041	LOC6630744|XP_032290585.1|DVIR, LOC116651238|XP_032293093.1|DVIR, LOC6630745|XP_032292365.1|DVIR	LOC117143749|XP_033164453.1|DMAU, LOC117144930|XP_033166274.1|DMAU, LOC117143589|XP_033164228.1|DMAU, LOC117145103|XP_033166514.1|DMAU, LOC117144174|XP_033165110.1|DMAU, LOC117145105|XP_033166515.1|DMAU
OG0000042	LOC6630880|XP_002053792.2|DVIR, LOC6636545|XP_002060049.1|DVIR, LOC6625347|XP_002051000.3|DVIR, LOC6625529|XP_002051023.1|DVIR, LOC6625448|XP_002050998.1|DVIR, LOC6623106|XP_002046713.1|DVIR, LOC6625348|XP_002051001.1|DVIR, LOC6625349|XP_002051002.1|DVIR	LOC117138472|XP_033156493.1|DMAU, LOC117138473|XP_033156494.1|DMAU, LOC117138470|XP_033156490.1|DMAU
OG0000043	LOC6630320|XP_002053430.1|DVIR	LOC117143570|XP_033164205.1|DMAU
OG0000043	LOC6630321|XP_002053431.1|DVIR	LOC117143572|XP_033164208.1|DMAU
OG0000043	LOC6630323|XP_002053433.1|DVIR	LOC117145149|XP_033166580.1|DMAU
OG0000043	LOC6630318|XP_002053428.2|DVIR	LOC117143571|XP_033164207.1|DMAU, LOC117143573|XP_033164209.1|DMAU, LOC117145745|XP_033167398.1|DMAU, LOC117143372|XP_033163938.1|DMAU
OG0000044	LOC6630493|XP_002053200.1|DVIR	LOC117143901|XP_033164698.1|DMAU
OG0000044	LOC6630492|XP_002053199.1|DVIR, LOC6630491|XP_002053198.1|DVIR	LOC117143451|XP_033164051.1|DMAU, LOC117145465|XP_033167027.1|DMAU
OG0000045	LOC6624147|XP_002046895.1|DVIR	LOC117139739|XP_033158187.1|DMAU
OG0000045	LOC6622199|XP_002046894.1|DVIR	LOC117139893|XP_033158462.1|DMAU, LOC117140400|XP_033159161.1|DMAU, LOC117139892|XP_033158461.1|DMAU
OG0000045	LOC6624099|XP_002046893.1|DVIR	LOC117139487|XP_033157699.1|DMAU
OG0000045	LOC6623107|XP_002046892.1|DVIR	LOC117139486|XP_033157698.1|DMAU
OG0000046	LOC116652288|XP_032296485.1|DVIR, LOC6634418|XP_032296332.1|DVIR	LOC117147192|XP_033169884.1|DMAU, LOC117148363|XP_033171610.1|DMAU
OG0000046	LOC6629466|XP_032291044.1|DVIR, LOC6629465|XP_032291038.1|DVIR, LOC6629467|XP_002053883.2|DVIR, LOC6634417|XP_032296431.1|DVIR, LOC116652297|XP_032296495.1|DVIR	LOC117147217|XP_033169922.1|DMAU, LOC117144703|XP_033165923.1|DMAU, LOC117144838|XP_033166122.1|DMAU, LOC117143845|XP_033164592.1|DMAU, LOC117143549|XP_033164180.1|DMAU, LOC117138631|XP_033156736.1|DMAU, LOC117143844|XP_033164591.1|DMAU, LOC117136443|XP_033153251.1|DMAU
OG0000047	LOC6624851|XP_002050852.1|DVIR	LOC117137846|XP_033155439.1|DMAU
OG0000047	LOC6624848|XP_002050849.2|DVIR	LOC117137896|XP_033155525.1|DMAU
OG0000047	LOC6626318|XP_002049525.1|DVIR	LOC117136744|XP_033153666.1|DMAU
OG0000047	LOC6623898|XP_015031386.1|DVIR	LOC117141645|XP_033161109.1|DMAU
OG0000047	LOC6626924|XP_002049538.1|DVIR	LOC117137194|XP_033154412.1|DMAU
OG0000048	LOC6623128|XP_002046219.1|DVIR	LOC117140937|XP_033160024.1|DMAU, LOC117140309|XP_033159045.1|DMAU
OG0000048	LOC6623801|XP_002046214.1|DVIR	LOC117140936|XP_033160023.1|DMAU, LOC117140939|XP_033160026.1|DMAU
OG0000048	LOC6623780|XP_002046212.1|DVIR	LOC117140935|XP_033160022.1|DMAU
OG0000048	LOC6623749|XP_002046215.1|DVIR	LOC117140941|XP_033160028.1|DMAU
OG0000049	LOC6632699|XP_002056032.2|DVIR	LOC117144267|XP_033165261.1|DMAU
OG0000049	LOC6632702|XP_002056035.3|DVIR	LOC117143819|XP_033164555.1|DMAU
OG0000049	LOC6632698|XP_002056031.1|DVIR	LOC117145062|XP_033166468.1|DMAU
OG0000049	LOC116650324|XP_032289598.1|DVIR	LOC117145061|XP_033166467.1|DMAU
OG0000049	LOC6632703|XP_002056036.2|DVIR	LOC117144466|XP_033165523.1|DMAU
OG0000050	LOC116651245|XP_032293110.1|DVIR	LOC117136135|XP_033152731.1|DMAU
OG0000050	LOC116650744|XP_032291206.1|DVIR	LOC117142030|XP_033161785.1|DMAU
OG0000050	LOC6622355|XP_002047925.1|DVIR	LOC117142027|XP_033161782.1|DMAU
OG0000050	LOC6622345|XP_002047924.2|DVIR	LOC117142031|XP_033161786.1|DMAU
OG0000050	LOC6622312|XP_002047926.2|DVIR	LOC117142029|XP_033161784.1|DMAU
OG0000050	LOC6622403|XP_002047934.2|DVIR	LOC117142024|XP_033161778.1|DMAU
OG0000051	LOC6633160|XP_002056609.1|DVIR	LOC117143815|XP_033164552.1|DMAU
OG0000051	LOC6630427|XP_002053739.1|DVIR	LOC117143638|XP_033164307.1|DMAU
OG0000052	LOC6633117|XP_002056591.1|DVIR, LOC6633119|XP_002056593.1|DVIR, LOC6633120|XP_032289606.1|DVIR, LOC6633118|XP_002056592.2|DVIR	LOC117145316|XP_033166802.1|DMAU, LOC117143900|XP_033164697.1|DMAU, LOC117143487|XP_033164091.1|DMAU, LOC117143488|XP_033164092.1|DMAU, LOC117143804|XP_033164539.1|DMAU, LOC117145315|XP_033166801.1|DMAU
OG0000052	LOC6626909|XP_002050284.2|DVIR, LOC6626910|XP_002050285.2|DVIR	LOC117136886|XP_033153888.1|DMAU
OG0000052	LOC6626911|XP_002050286.2|DVIR	LOC117136885|XP_033153886.1|DMAU
OG0000053	LOC6625282|XP_002049664.3|DVIR	LOC117137106|XP_033154284.1|DMAU
OG0000053	LOC6624847|XP_002049663.1|DVIR	LOC117137105|XP_033154282.1|DMAU
OG0000053	LOC6624846|XP_002049662.1|DVIR	LOC117137096|XP_033154272.1|DMAU
OG0000053	LOC6624845|XP_002049661.1|DVIR	LOC117137094|XP_033154271.1|DMAU
OG0000053	LOC6624806|XP_002049656.1|DVIR	LOC117137107|XP_033154285.1|DMAU
OG0000054	LOC6633223|XP_002056282.1|DVIR	LOC117144491|XP_033165568.1|DMAU
OG0000054	LOC6629800|XP_002053376.1|DVIR	LOC117145202|XP_033166655.1|DMAU
OG0000054	LOC6633224|XP_002056283.1|DVIR, LOC116650298|XP_032289550.1|DVIR	LOC117145522|XP_033167105.1|DMAU, LOC117144100|XP_033165007.1|DMAU
