Orthogroup	DVIR.longest_only	DBIA.longest_only
OG0000018	LOC6623326|XP_002046138.1|DVIR	LOC108028402|XP_016955706.1|DBIA
OG0000018	LOC6623325|XP_002046139.1|DVIR, LOC6623363|XP_002046142.1|DVIR	LOC108028162|XP_016955311.1|DBIA
OG0000018	LOC6623391|XP_002046158.1|DVIR	LOC108028083|XP_016955214.1|DBIA, LOC108028405|XP_016955709.1|DBIA, LOC108028408|XP_016955713.1|DBIA, LOC108028407|XP_016955711.1|DBIA, LOC108028404|XP_016955708.1|DBIA, LOC108028411|XP_016955717.1|DBIA, LOC108028409|XP_016955715.1|DBIA, LOC108028410|XP_016955716.1|DBIA
OG0000019	LOC6630453|XP_002053914.1|DVIR, LOC6630456|XP_002053917.1|DVIR	LOC108025227|XP_016951062.1|DBIA
OG0000019	LOC6630458|XP_002053919.1|DVIR	LOC108025224|XP_016951060.1|DBIA
OG0000019	LOC6630457|XP_002053918.1|DVIR	LOC108025228|XP_016951063.1|DBIA
OG0000019	LOC6630452|XP_002053913.1|DVIR	LOC108025225|XP_016951061.1|DBIA, LOC108025231|XP_016951067.1|DBIA
OG0000020	LOC6634957|XP_002058591.1|DVIR	LOC108026305|XP_016952678.1|DBIA
OG0000020	LOC6635984|XP_002059302.2|DVIR	LOC108026784|XP_016953432.1|DBIA
OG0000020	LOC6628903|XP_002051547.2|DVIR	LOC108033312|XP_016963077.1|DBIA, LOC108032062|XP_016961369.1|DBIA, LOC108034320|XP_016964679.1|DBIA, LOC108036239|XP_016967737.1|DBIA, LOC108036110|XP_016967573.1|DBIA
OG0000020	LOC6632501|XP_032289762.1|DVIR	LOC108031537|XP_016960562.1|DBIA
OG0000020	LOC6632573|XP_015026213.1|DVIR	LOC108024628|XP_016950157.1|DBIA
OG0000020	LOC6628471|XP_002051546.1|DVIR	LOC108034268|XP_016964616.1|DBIA, LOC108033875|XP_016964007.1|DBIA
OG0000021	LOC6627018|XP_002049728.2|DVIR	LOC108027666|XP_016954700.1|DBIA
OG0000021	LOC6627016|XP_002049726.1|DVIR	LOC108027081|XP_016953819.1|DBIA
OG0000021	LOC6627164|XP_002049737.1|DVIR	LOC108022678|XP_016947238.1|DBIA
OG0000021	LOC6625700|XP_015029837.1|DVIR	LOC108022247|XP_016946595.1|DBIA
OG0000021	LOC6625029|XP_002050452.1|DVIR	LOC108022243|XP_016946590.1|DBIA
OG0000021	LOC6627019|XP_002049729.1|DVIR	LOC108036897|XP_016968766.1|DBIA
OG0000021	LOC6636003|XP_002059503.1|DVIR	LOC108025789|XP_016951907.1|DBIA
OG0000021	LOC6629522|XP_002053324.1|DVIR	LOC108026319|XP_016952697.1|DBIA
OG0000021	LOC6629847|XP_002054468.1|DVIR	LOC108027350|XP_016954258.1|DBIA
OG0000021	LOC26531416|XP_015025728.1|DVIR	LOC108026442|XP_016952872.1|DBIA
OG0000022	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR	LOC108022346|XP_016946698.1|DBIA
OG0000022	LOC6622522|XP_002046428.1|DVIR, LOC116650757|XP_032291322.1|DVIR, LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR, LOC6622546|XP_002046431.1|DVIR	LOC108029210|XP_016956886.1|DBIA, LOC108029216|XP_016956899.1|DBIA, LOC108027792|XP_016954853.1|DBIA, LOC108029236|XP_016956922.1|DBIA
OG0000022	LOC116650066|XP_032289307.1|DVIR, LOC6622553|XP_002046434.2|DVIR	LOC108029246|XP_016956933.1|DBIA, LOC108029225|XP_016956911.1|DBIA, LOC108029203|XP_016956872.1|DBIA
OG0000023	LOC6632666|XP_032289605.1|DVIR	LOC108027148|XP_016953858.1|DBIA
OG0000023	LOC6632668|XP_002056437.2|DVIR	LOC108027146|XP_016953855.1|DBIA
OG0000023	LOC6632669|XP_002056438.1|DVIR	LOC108027143|XP_016953853.1|DBIA
OG0000023	LOC6626291|XP_002050067.1|DVIR	LOC108026627|XP_016953132.1|DBIA
OG0000023	LOC6632665|XP_002056434.1|DVIR, LOC6632664|XP_002056433.1|DVIR	LOC108027145|XP_016953854.1|DBIA
OG0000023	LOC6632533|XP_002056431.1|DVIR	LOC108027009|XP_016953696.1|DBIA
OG0000023	LOC6632529|XP_002056427.2|DVIR	LOC108027245|XP_016954086.1|DBIA
OG0000023	LOC6632531|XP_002056429.1|DVIR	LOC108027357|XP_016954268.1|DBIA
OG0000023	LOC6632528|XP_032289545.1|DVIR	LOC108027244|XP_016954083.1|DBIA
OG0000024	LOC6625432|XP_002049269.3|DVIR, LOC6625433|XP_015029714.1|DVIR, LOC6625430|XP_002049267.1|DVIR, LOC6625436|XP_002049273.1|DVIR, LOC6625435|XP_002049272.1|DVIR, LOC6625434|XP_002049271.1|DVIR	LOC108022668|XP_016947226.1|DBIA, LOC108023057|XP_016947794.1|DBIA, LOC108022950|XP_016947655.1|DBIA, LOC108022666|XP_016947224.1|DBIA
OG0000024	LOC6625431|XP_002049268.3|DVIR	LOC108022667|XP_016947225.1|DBIA
OG0000024	LOC6634081|XP_002057902.1|DVIR	LOC108034270|XP_016964618.1|DBIA
OG0000024	LOC6625429|XP_002049266.1|DVIR	LOC108022158|XP_016946489.1|DBIA
OG0000024	LOC6625162|XP_002048929.1|DVIR	LOC108029512|XP_016957298.1|DBIA
OG0000025	LOC6635606|XP_002058949.1|DVIR	LOC108023228|XP_016947991.1|DBIA
OG0000026	LOC6631803|XP_002055737.1|DVIR	LOC108032654|XP_016962104.1|DBIA
OG0000026	LOC6628165|XP_002051461.1|DVIR	LOC108033571|XP_016963404.1|DBIA
OG0000026	LOC6635194|XP_002058469.1|DVIR	LOC108027046|XP_016953736.1|DBIA
OG0000027	LOC6629148|XP_002052895.1|DVIR	LOC108033374|XP_016963181.1|DBIA
OG0000027	LOC6627465|XP_002052896.1|DVIR	LOC108033359|XP_016963159.1|DBIA
OG0000028	LOC6622574|XP_002047517.1|DVIR	LOC108035881|XP_016967123.1|DBIA
OG0000029	LOC6625353|XP_002050320.1|DVIR, LOC6625686|XP_002050319.2|DVIR	LOC108031286|XP_016960018.1|DBIA
OG0000029	LOC6624236|XP_002048359.1|DVIR	LOC108028180|XP_016955330.1|DBIA
OG0000030	LOC6628998|XP_002052101.1|DVIR	LOC108036692|XP_016968470.1|DBIA
OG0000030	LOC6627051|XP_002050832.1|DVIR, LOC6626964|XP_002050828.1|DVIR, LOC6626963|XP_002050827.1|DVIR	LOC108022382|XP_016946753.1|DBIA
OG0000030	LOC6633403|XP_002057213.1|DVIR	LOC108023610|XP_016948706.1|DBIA
OG0000030	LOC6632190|XP_002055645.1|DVIR	LOC108024286|XP_016949674.1|DBIA
OG0000031	LOC6634268|XP_002057550.2|DVIR	LOC108032680|XP_016962144.1|DBIA, LOC108032585|XP_016961981.1|DBIA
OG0000031	LOC6634269|XP_002057551.2|DVIR, LOC6634303|XP_032293402.1|DVIR	LOC108033238|XP_016962991.1|DBIA, LOC108033489|XP_016963320.1|DBIA, LOC108034388|XP_016964759.1|DBIA, LOC108027702|XP_016954741.1|DBIA, LOC108032586|XP_016961983.1|DBIA
OG0000031	LOC6629125|XP_002052391.1|DVIR	LOC108033357|XP_016963157.1|DBIA, LOC108034241|XP_016964579.1|DBIA
OG0000032	LOC6629979|XP_002054337.1|DVIR	LOC108027359|XP_016954271.1|DBIA
OG0000032	LOC6629980|XP_032294917.1|DVIR	LOC108027269|XP_016954133.1|DBIA, LOC108027231|XP_016954053.1|DBIA, LOC108027230|XP_016954052.1|DBIA, LOC108027165|XP_016953917.1|DBIA
OG0000032	LOC6629978|XP_032294961.1|DVIR, LOC6634892|XP_002058480.2|DVIR, LOC6629977|XP_002054335.1|DVIR, LOC6629932|XP_002054333.2|DVIR, LOC6629933|XP_002054334.2|DVIR	LOC108027028|XP_016953713.1|DBIA, LOC108027228|XP_016954051.1|DBIA, LOC108027267|XP_016954131.1|DBIA, LOC108027001|XP_016953689.1|DBIA, LOC108027268|XP_016954132.1|DBIA
OG0000033	LOC6635949|XP_002059391.1|DVIR	LOC108035889|XP_016967133.1|DBIA, LOC108033536|XP_016963370.1|DBIA, LOC108033501|XP_016963332.1|DBIA, LOC108030100|XP_016958275.1|DBIA, LOC108030101|XP_016958276.1|DBIA
OG0000033	LOC6630139|XP_002053622.1|DVIR, LOC6630138|XP_002053621.1|DVIR, LOC6629617|XP_002053590.1|DVIR	LOC108030098|XP_016958274.1|DBIA
OG0000034	LOC6627930|XP_002051996.1|DVIR	LOC108033817|XP_016963934.1|DBIA, LOC108036384|XP_016967978.1|DBIA, LOC108035246|XP_016966273.1|DBIA
OG0000034	LOC6627931|XP_002051997.2|DVIR	LOC108035237|XP_016966261.1|DBIA
OG0000034	LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR	LOC108034999|XP_016965831.1|DBIA
OG0000034	LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR, LOC6628688|XP_002051352.1|DVIR	LOC108036755|XP_016968570.1|DBIA
OG0000036	LOC6632491|XP_002056444.1|DVIR	LOC108027411|XP_016954339.1|DBIA
OG0000036	LOC116651951|XP_032295383.1|DVIR	LOC108026449|XP_016952877.1|DBIA
OG0000036	LOC6634881|XP_002058500.1|DVIR	LOC108024985|XP_016950728.1|DBIA
OG0000036	LOC6630607|XP_002054482.2|DVIR	LOC108024657|XP_016950207.1|DBIA
OG0000037	LOC6627126|XP_032291548.1|DVIR	LOC108029865|XP_016957843.1|DBIA
OG0000037	LOC6629970|XP_002053079.1|DVIR	LOC108032009|XP_016961298.1|DBIA, LOC108030957|XP_016959646.1|DBIA, LOC108032010|XP_016961299.1|DBIA
OG0000038	LOC6622648|XP_002047530.1|DVIR	LOC108030746|XP_016959281.1|DBIA
OG0000038	LOC6624649|XP_002047532.2|DVIR	LOC108030931|XP_016959614.1|DBIA
OG0000039	LOC6630003|XP_002054716.2|DVIR	LOC108027177|XP_016953954.1|DBIA
OG0000039	LOC6631924|XP_002055751.1|DVIR	LOC108025609|XP_016951633.1|DBIA
OG0000039	LOC6636063|XP_002059594.1|DVIR	LOC108025634|XP_016951658.1|DBIA
OG0000039	LOC6636702|XP_002060175.3|DVIR	LOC108025590|XP_016951608.1|DBIA
OG0000040	LOC6629625|XP_002054865.1|DVIR	LOC108025546|XP_016951565.1|DBIA, LOC108024820|XP_016950438.1|DBIA
OG0000040	LOC6629626|XP_002054866.2|DVIR	LOC108024821|XP_016950440.1|DBIA
OG0000040	LOC116651842|XP_032294845.1|DVIR, LOC6629623|XP_032294844.1|DVIR	LOC108025434|XP_016951413.1|DBIA, LOC108025431|XP_016951408.1|DBIA, LOC108025433|XP_016951410.1|DBIA
OG0000040	LOC6629621|XP_002054861.1|DVIR	LOC108025485|XP_016951488.1|DBIA
OG0000040	LOC6629744|XP_002053886.1|DVIR	LOC108023851|XP_016948987.1|DBIA
OG0000041	LOC6630744|XP_032290585.1|DVIR, LOC116651238|XP_032293093.1|DVIR, LOC6630745|XP_032292365.1|DVIR	LOC108026015|XP_016952195.1|DBIA, LOC108026081|XP_016952269.1|DBIA, LOC108026380|XP_016952789.1|DBIA, LOC108026109|XP_016952297.1|DBIA, LOC108026021|XP_016952202.1|DBIA, LOC108026443|XP_016952869.1|DBIA, LOC108026441|XP_016952867.1|DBIA
OG0000042	LOC6630880|XP_002053792.2|DVIR, LOC6636545|XP_002060049.1|DVIR, LOC6625347|XP_002051000.3|DVIR, LOC6625529|XP_002051023.1|DVIR, LOC6625448|XP_002050998.1|DVIR, LOC6623106|XP_002046713.1|DVIR, LOC6625348|XP_002051001.1|DVIR, LOC6625349|XP_002051002.1|DVIR	LOC108029979|XP_016957976.1|DBIA, LOC108029981|XP_016957978.1|DBIA, LOC108029869|XP_016957848.1|DBIA, LOC108029870|XP_016957849.1|DBIA, LOC108029978|XP_016957975.1|DBIA, LOC108029980|XP_016957977.1|DBIA
OG0000043	LOC6630320|XP_002053430.1|DVIR	LOC108024814|XP_016950428.1|DBIA
OG0000043	LOC6630321|XP_002053431.1|DVIR	LOC108024406|XP_016949807.1|DBIA
OG0000043	LOC6630323|XP_002053433.1|DVIR	LOC108024792|XP_016950400.1|DBIA, LOC108026909|XP_016953607.1|DBIA
OG0000043	LOC6630318|XP_002053428.2|DVIR	LOC108024319|XP_016949710.1|DBIA, LOC108024782|XP_016950387.1|DBIA, LOC108025302|XP_016951186.1|DBIA, LOC108024783|XP_016950388.1|DBIA
OG0000044	LOC6630493|XP_002053200.1|DVIR	LOC108026455|XP_016952884.1|DBIA
OG0000044	LOC6630492|XP_002053199.1|DVIR, LOC6630491|XP_002053198.1|DVIR	LOC108026365|XP_016952771.1|DBIA, LOC108026364|XP_016952769.1|DBIA
OG0000045	LOC6624147|XP_002046895.1|DVIR	LOC108028610|XP_016956020.1|DBIA
OG0000045	LOC6622199|XP_002046894.1|DVIR	LOC108034658|XP_016965085.1|DBIA, LOC108034642|XP_016965069.1|DBIA
OG0000045	LOC6624099|XP_002046893.1|DVIR	LOC108028181|XP_016955331.1|DBIA
OG0000045	LOC6623107|XP_002046892.1|DVIR	LOC108028143|XP_016955289.1|DBIA
OG0000046	LOC116652288|XP_032296485.1|DVIR, LOC6634418|XP_032296332.1|DVIR	LOC108024100|XP_016949365.1|DBIA, LOC108024103|XP_016949370.1|DBIA
OG0000046	LOC6629466|XP_032291044.1|DVIR, LOC6629465|XP_032291038.1|DVIR, LOC6629467|XP_002053883.2|DVIR, LOC6634417|XP_032296431.1|DVIR, LOC116652297|XP_032296495.1|DVIR	LOC108024088|XP_016949352.1|DBIA, LOC108024336|XP_016949726.1|DBIA, LOC108024337|XP_016949728.1|DBIA, LOC108024872|XP_016950506.1|DBIA, LOC108024879|XP_016950512.1|DBIA, LOC108029852|XP_016957830.1|DBIA
OG0000047	LOC6624851|XP_002050852.1|DVIR	LOC108036240|XP_016967738.1|DBIA
OG0000047	LOC6624848|XP_002050849.2|DVIR	LOC108036255|XP_016967753.1|DBIA
OG0000047	LOC6626318|XP_002049525.1|DVIR	LOC108029392|XP_016957110.1|DBIA
OG0000047	LOC6623898|XP_015031386.1|DVIR	LOC108035707|XP_016966919.1|DBIA
OG0000047	LOC6626924|XP_002049538.1|DVIR	LOC108029377|XP_016957093.1|DBIA
OG0000048	LOC6623128|XP_002046219.1|DVIR	LOC108034662|XP_016965090.1|DBIA, LOC108034416|XP_016964788.1|DBIA
OG0000048	LOC6623801|XP_002046214.1|DVIR	LOC108035017|XP_016965850.1|DBIA, LOC108035032|XP_016965866.1|DBIA
OG0000048	LOC6623780|XP_002046212.1|DVIR	LOC108035016|XP_016965849.1|DBIA
OG0000048	LOC6623749|XP_002046215.1|DVIR	LOC108035019|XP_016965851.1|DBIA
OG0000049	LOC6632699|XP_002056032.2|DVIR	LOC108024404|XP_016949805.1|DBIA
OG0000049	LOC6632702|XP_002056035.3|DVIR	LOC108024363|XP_016949755.1|DBIA
OG0000049	LOC6632698|XP_002056031.1|DVIR	LOC108024349|XP_016949740.1|DBIA
OG0000049	LOC116650324|XP_032289598.1|DVIR	LOC108024840|XP_016950465.1|DBIA
OG0000049	LOC6632703|XP_002056036.2|DVIR	LOC108024876|XP_016950510.1|DBIA
OG0000050	LOC116651245|XP_032293110.1|DVIR	LOC108029844|XP_016957821.1|DBIA
OG0000050	LOC116650744|XP_032291206.1|DVIR	LOC108030726|XP_016959257.1|DBIA
OG0000050	LOC6622355|XP_002047925.1|DVIR	LOC108030785|XP_016959326.1|DBIA
OG0000050	LOC6622345|XP_002047924.2|DVIR	LOC108030724|XP_016959254.1|DBIA
OG0000050	LOC6622312|XP_002047926.2|DVIR	LOC108030784|XP_016959325.1|DBIA
OG0000050	LOC6622403|XP_002047934.2|DVIR	LOC108030723|XP_016959253.1|DBIA
OG0000051	LOC6633160|XP_002056609.1|DVIR	LOC108031259|XP_016959986.1|DBIA
OG0000051	LOC6630427|XP_002053739.1|DVIR	LOC108031167|XP_016959876.1|DBIA
OG0000052	LOC6633117|XP_002056591.1|DVIR, LOC6633119|XP_002056593.1|DVIR, LOC6633120|XP_032289606.1|DVIR, LOC6633118|XP_002056592.2|DVIR	LOC108031139|XP_016959843.1|DBIA, LOC108024786|XP_016950390.1|DBIA, LOC108031304|XP_016960037.1|DBIA, LOC108031177|XP_016959886.1|DBIA, LOC108031170|XP_016959879.1|DBIA
OG0000052	LOC6626909|XP_002050284.2|DVIR, LOC6626910|XP_002050285.2|DVIR	LOC108029994|XP_016957997.1|DBIA
OG0000052	LOC6626911|XP_002050286.2|DVIR	LOC108029937|XP_016957921.1|DBIA
OG0000053	LOC6625282|XP_002049664.3|DVIR	LOC108029369|XP_016957086.1|DBIA
OG0000053	LOC6624847|XP_002049663.1|DVIR	LOC108029362|XP_016957079.1|DBIA
OG0000053	LOC6624846|XP_002049662.1|DVIR	LOC108029361|XP_016957078.1|DBIA
OG0000053	LOC6624845|XP_002049661.1|DVIR	LOC108029360|XP_016957077.1|DBIA
