Orthogroup	DVIR.longest_only	SLEB.longest_only
OG0000033	LOC6630139|XP_002053622.1|DVIR, LOC6630138|XP_002053621.1|DVIR, LOC6629617|XP_002053590.1|DVIR	LOC115629069|XP_030381245.1|SLEB, LOC115629070|XP_030381246.1|SLEB
OG0000034	LOC6627930|XP_002051996.1|DVIR	LOC115631238|XP_030383807.1|SLEB
OG0000034	LOC6627931|XP_002051997.2|DVIR	LOC115631233|XP_030383802.1|SLEB
OG0000034	LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR	LOC115631016|XP_030383488.1|SLEB
OG0000034	LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR, LOC6628688|XP_002051352.1|DVIR	LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB
OG0000036	LOC6632491|XP_002056444.1|DVIR	LOC115623477|XP_030373705.1|SLEB
OG0000036	LOC116651951|XP_032295383.1|DVIR	LOC115621020|XP_030370399.1|SLEB
OG0000036	LOC6634881|XP_002058500.1|DVIR	LOC115620249|XP_030369258.1|SLEB
OG0000036	LOC6630607|XP_002054482.2|DVIR	LOC115621341|XP_030370821.1|SLEB
OG0000036	LOC6631850|XP_002055586.3|DVIR	LOC115627397|XP_030378912.1|SLEB
OG0000037	LOC6627126|XP_032291548.1|DVIR	LOC115626848|XP_030378208.1|SLEB
OG0000037	LOC6629970|XP_002053079.1|DVIR	LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB
OG0000037	LOC6630819|XP_002054726.2|DVIR	LOC115620739|XP_030369986.1|SLEB
OG0000038	LOC6622648|XP_002047530.1|DVIR	LOC115633983|XP_030387367.1|SLEB
OG0000038	LOC6624649|XP_002047532.2|DVIR	LOC115633961|XP_030387345.1|SLEB
OG0000039	LOC6630003|XP_002054716.2|DVIR	LOC115633921|XP_030387291.1|SLEB
OG0000039	LOC6631924|XP_002055751.1|DVIR	LOC115633267|XP_030386532.1|SLEB
OG0000039	LOC6636063|XP_002059594.1|DVIR	LOC115628050|XP_030379855.1|SLEB
OG0000039	LOC6632395|XP_002056631.2|DVIR, LOC6631925|XP_002055752.1|DVIR, LOC116652072|XP_032295834.1|DVIR	LOC115626562|XP_030377801.1|SLEB, LOC115626564|XP_030377802.1|SLEB, LOC115626635|XP_030377903.1|SLEB, LOC115633389|XP_030386692.1|SLEB
OG0000039	LOC6636702|XP_002060175.3|DVIR	LOC115633390|XP_030386693.1|SLEB
OG0000040	LOC6629625|XP_002054865.1|DVIR	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB
OG0000040	LOC6629626|XP_002054866.2|DVIR	LOC115624210|XP_030374678.1|SLEB
OG0000040	LOC116651842|XP_032294845.1|DVIR, LOC6629623|XP_032294844.1|DVIR	LOC115624205|XP_030374672.1|SLEB
OG0000040	LOC6629627|XP_002054867.1|DVIR	LOC115624206|XP_030374673.1|SLEB
OG0000040	LOC6629744|XP_002053886.1|DVIR	LOC115621426|XP_030370938.1|SLEB
OG0000041	LOC6630636|XP_002053634.1|DVIR, LOC6630746|XP_002053207.1|DVIR	LOC115624325|XP_030374812.1|SLEB, LOC115624327|XP_030374815.1|SLEB
OG0000042	LOC6630880|XP_002053792.2|DVIR, LOC6636545|XP_002060049.1|DVIR, LOC6625347|XP_002051000.3|DVIR, LOC6625529|XP_002051023.1|DVIR, LOC6625448|XP_002050998.1|DVIR, LOC6623106|XP_002046713.1|DVIR, LOC6625348|XP_002051001.1|DVIR, LOC6625349|XP_002051002.1|DVIR	LOC115634385|XP_030387930.1|SLEB, LOC115634197|XP_030387645.1|SLEB, LOC115629009|XP_030381198.1|SLEB, LOC115628918|XP_030381081.1|SLEB, LOC115634487|XP_030388103.1|SLEB
OG0000043	LOC6630320|XP_002053430.1|DVIR	LOC115623491|XP_030373724.1|SLEB
OG0000043	LOC6630321|XP_002053431.1|DVIR	LOC115623337|XP_030373467.1|SLEB
OG0000043	LOC6630323|XP_002053433.1|DVIR	LOC115623816|XP_030374219.1|SLEB
OG0000043	LOC6630318|XP_002053428.2|DVIR	LOC115623986|XP_030374417.1|SLEB
OG0000044	LOC6630493|XP_002053200.1|DVIR	LOC115624024|XP_030374460.1|SLEB
OG0000044	LOC116651012|XP_032292468.1|DVIR	LOC115624181|XP_030374637.1|SLEB
OG0000044	LOC6630492|XP_002053199.1|DVIR, LOC6630491|XP_002053198.1|DVIR	LOC115623538|XP_030373780.1|SLEB
OG0000045	LOC6624147|XP_002046895.1|DVIR	LOC115632695|XP_030385792.1|SLEB
OG0000045	LOC6622199|XP_002046894.1|DVIR	LOC115632698|XP_030385795.1|SLEB
OG0000045	LOC6624099|XP_002046893.1|DVIR	LOC115632700|XP_030385796.1|SLEB
OG0000045	LOC6623107|XP_002046892.1|DVIR	LOC115632701|XP_030385797.1|SLEB
OG0000046	LOC116652288|XP_032296485.1|DVIR, LOC6634418|XP_032296332.1|DVIR, LOC6629466|XP_032291044.1|DVIR, LOC6629465|XP_032291038.1|DVIR, LOC6629467|XP_002053883.2|DVIR, LOC6634417|XP_032296431.1|DVIR, LOC116652297|XP_032296495.1|DVIR	LOC115626838|XP_030378183.1|SLEB, LOC115626960|XP_030378335.1|SLEB, LOC115626959|XP_030378334.1|SLEB
OG0000047	LOC6624851|XP_002050852.1|DVIR	LOC115631261|XP_030383836.1|SLEB
OG0000047	LOC6624848|XP_002050849.2|DVIR	LOC115632503|XP_030385556.1|SLEB
OG0000047	LOC6626318|XP_002049525.1|DVIR	LOC115626702|XP_030377994.1|SLEB
OG0000047	LOC6624041|XP_002047846.1|DVIR	LOC115627115|XP_030378542.1|SLEB
OG0000047	LOC6626924|XP_002049538.1|DVIR	LOC115622391|XP_030372176.1|SLEB
OG0000048	LOC6623128|XP_002046219.1|DVIR	LOC115632969|XP_030386130.1|SLEB, LOC115632930|XP_030386082.1|SLEB
OG0000048	LOC6623780|XP_002046212.1|DVIR	LOC115632620|XP_030385708.1|SLEB
