Orthogroup	DVIR.longest_only	CPIP.longest_only
OG0000008	LOC26531283|XP_015031719.1|DVIR	LOC120421683|XP_039440852.1|CPIP
OG0000009	LOC6632445|XP_002056511.1|DVIR, LOC6632323|XP_002056506.1|DVIR, LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR, LOC6635767|XP_032294717.1|DVIR, LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR, LOC6626544|XP_002050754.1|DVIR, LOC6626543|XP_032292517.1|DVIR, LOC6626542|XP_002050752.1|DVIR, LOC6628883|XP_002051663.1|DVIR	LOC120426658|XP_039447384.1|CPIP, LOC120429628|XP_039450593.1|CPIP, LOC120421295|XP_039440420.1|CPIP, LOC120421293|XP_039440418.1|CPIP, LOC120430193|XP_039451208.1|CPIP, LOC120430194|XP_039451209.1|CPIP, LOC120430179|XP_039451193.1|CPIP, LOC120414768|XP_039432015.1|CPIP, LOC120414769|XP_039432016.1|CPIP, LOC120422527|XP_039441920.1|CPIP, LOC120413328|XP_039430036.1|CPIP, LOC120413359|XP_039430078.1|CPIP, LOC120413353|XP_039430071.1|CPIP, LOC120422471|XP_039441860.1|CPIP, LOC120422470|XP_039441859.1|CPIP, LOC120422469|XP_039441857.1|CPIP, LOC120422468|XP_039441855.1|CPIP
OG0000010	LOC116649822|XP_032288857.1|DVIR, LOC6637070|XP_002060485.1|DVIR, LOC116649828|XP_032288865.1|DVIR	LOC120430236|XP_039451249.1|CPIP
OG0000010	LOC116649829|XP_032288866.1|DVIR, LOC6630837|XP_002053113.1|DVIR, LOC6637215|XP_002060533.1|DVIR, LOC116649823|XP_032288859.1|DVIR, LOC6636962|XP_002060409.1|DVIR, LOC116649826|XP_032288863.1|DVIR	LOC120422947|XP_039442463.1|CPIP
OG0000010	LOC6637058|XP_002060476.1|DVIR, LOC6630112|XP_002053105.1|DVIR, LOC116649825|XP_032288861.1|DVIR, LOC116649824|XP_032288860.1|DVIR, LOC6637029|XP_002060450.1|DVIR, LOC6630116|XP_032288858.1|DVIR	LOC120415441|XP_039432923.1|CPIP
OG0000012	LOC6624922|XP_002050777.1|DVIR, LOC6625019|XP_002050778.1|DVIR, LOC6625021|XP_002050780.1|DVIR, LOC6624921|XP_015029085.1|DVIR, LOC6625066|XP_002049213.2|DVIR, LOC6625067|XP_032293151.1|DVIR, LOC6624920|XP_002050775.2|DVIR, LOC6624919|XP_002050774.2|DVIR, LOC26531760|XP_015030363.1|DVIR, LOC6627007|XP_032292288.1|DVIR, LOC6627006|XP_002050772.1|DVIR, LOC6627005|XP_002050771.1|DVIR, LOC6627004|XP_002050770.1|DVIR	LOC120419492|XP_039438114.1|CPIP, LOC120419485|XP_039438104.1|CPIP, LOC120419486|XP_039438105.1|CPIP
OG0000013	LOC6626677|XP_002050872.1|DVIR	LOC120421446|XP_039440586.1|CPIP
OG0000013	LOC6633411|XP_015025597.1|DVIR	LOC120414719|XP_039431959.1|CPIP
OG0000013	LOC6630204|XP_002053707.1|DVIR	LOC120419254|XP_039437842.1|CPIP
OG0000013	LOC6622085|XP_002048525.1|DVIR	LOC120425238|XP_039445606.1|CPIP, LOC120426202|XP_039446840.1|CPIP
OG0000013	LOC6632892|XP_002056192.1|DVIR	LOC120420165|XP_039439065.1|CPIP
OG0000013	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR, LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR	LOC120422142|XP_039441447.1|CPIP, LOC120432512|XP_039453664.1|CPIP, LOC120432517|XP_039453668.1|CPIP, LOC120432516|XP_039453667.1|CPIP
OG0000016	LOC6633127|XP_002056070.1|DVIR, LOC6635889|XP_002059414.1|DVIR, LOC116650918|XP_032291957.1|DVIR	LOC120432083|XP_039453151.1|CPIP, LOC120425437|XP_039445902.1|CPIP
OG0000016	LOC6630423|XP_002053735.1|DVIR	LOC120432396|XP_039453527.1|CPIP
OG0000016	LOC6636049|XP_002059576.1|DVIR	LOC120421049|XP_039440125.1|CPIP
OG0000016	LOC6623693|XP_002048319.1|DVIR	LOC120412537|XP_039428967.1|CPIP, LOC120412538|XP_039428968.1|CPIP
OG0000018	LOC6623414|XP_002046136.1|DVIR	LOC120418854|XP_039437316.1|CPIP
OG0000018	LOC6623443|XP_002046145.1|DVIR	LOC120425088|XP_039445415.1|CPIP
OG0000019	LOC6630455|XP_032294460.1|DVIR, LOC6630454|XP_032294467.1|DVIR, LOC6630453|XP_002053914.1|DVIR, LOC6630456|XP_002053917.1|DVIR, LOC6630458|XP_002053919.1|DVIR, LOC6630457|XP_002053918.1|DVIR, LOC6630452|XP_002053913.1|DVIR	LOC120417104|XP_039435015.1|CPIP, LOC120426863|XP_039447601.1|CPIP, LOC120417105|XP_039435016.1|CPIP, LOC120426867|XP_039447605.1|CPIP, LOC120426866|XP_039447604.1|CPIP, LOC120426873|XP_039447610.1|CPIP, LOC120426878|XP_039447615.1|CPIP, LOC120426877|XP_039447614.1|CPIP, LOC120426875|XP_039447611.1|CPIP, LOC120428181|XP_039449096.1|CPIP, LOC120428060|XP_039448954.1|CPIP, LOC120415075|XP_039432414.1|CPIP, LOC120414371|XP_039431471.1|CPIP, LOC120428640|XP_039449615.1|CPIP
OG0000020	LOC6634957|XP_002058591.1|DVIR, LOC6635984|XP_002059302.2|DVIR	LOC120421785|XP_039440991.1|CPIP
OG0000020	LOC6628903|XP_002051547.2|DVIR, LOC6632501|XP_032289762.1|DVIR, LOC6632573|XP_015026213.1|DVIR, LOC6628471|XP_002051546.1|DVIR	LOC120420106|XP_039438987.1|CPIP
OG0000021	LOC6636003|XP_002059503.1|DVIR	LOC120418811|XP_039437259.1|CPIP
OG0000021	LOC6629522|XP_002053324.1|DVIR, LOC6629847|XP_002054468.1|DVIR, LOC26531416|XP_015025728.1|DVIR	LOC120424111|XP_039444066.1|CPIP
OG0000022	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR, LOC6622533|XP_002046430.1|DVIR, LOC6622042|XP_002046436.1|DVIR, LOC116650060|XP_032289303.1|DVIR, LOC6622522|XP_002046428.1|DVIR, LOC116650757|XP_032291322.1|DVIR, LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR, LOC6622546|XP_002046431.1|DVIR, LOC116650066|XP_032289307.1|DVIR, LOC6622553|XP_002046434.2|DVIR	LOC120418999|XP_039437504.1|CPIP
OG0000023	LOC26530945|XP_015026270.1|DVIR, LOC6632666|XP_032289605.1|DVIR, LOC6632668|XP_002056437.2|DVIR, LOC6632669|XP_002056438.1|DVIR, LOC6626291|XP_002050067.1|DVIR, LOC6632665|XP_002056434.1|DVIR, LOC6632664|XP_002056433.1|DVIR, LOC6632533|XP_002056431.1|DVIR, LOC6632529|XP_002056427.2|DVIR, LOC6632531|XP_002056429.1|DVIR, LOC6632528|XP_032289545.1|DVIR	LOC120424653|XP_039444760.1|CPIP, LOC120424643|XP_039444746.1|CPIP
OG0000025	LOC6635606|XP_002058949.1|DVIR	LOC120425545|XP_039446040.1|CPIP, LOC120422939|XP_039442451.1|CPIP
OG0000025	LOC6637233|XP_002060537.1|DVIR	LOC120422949|XP_039442466.1|CPIP
OG0000026	LOC6631256|XP_002053244.1|DVIR, LOC6636025|XP_002059549.1|DVIR, LOC6636164|XP_002059550.1|DVIR, LOC6635194|XP_002058469.1|DVIR	LOC120420109|XP_039438991.1|CPIP, LOC120420108|XP_039438989.1|CPIP, LOC120420107|XP_039438988.1|CPIP, LOC120420114|XP_039438997.1|CPIP, LOC120420115|XP_039438998.1|CPIP, LOC120424841|XP_039445018.1|CPIP, LOC120424843|XP_039445020.1|CPIP, LOC120424842|XP_039445019.1|CPIP, LOC120414676|XP_039431895.1|CPIP, LOC120421347|XP_039440461.1|CPIP
OG0000027	LOC6629148|XP_002052895.1|DVIR, LOC6627465|XP_002052896.1|DVIR, LOC6635631|XP_002059236.1|DVIR	LOC120419680|XP_039438401.1|CPIP, LOC120419648|XP_039438338.1|CPIP, LOC120419663|XP_039438360.1|CPIP, LOC120419649|XP_039438339.1|CPIP, LOC120419660|XP_039438354.1|CPIP
OG0000028	LOC6622578|XP_032291308.1|DVIR, LOC116650753|XP_032291253.1|DVIR, LOC6622591|XP_032290503.1|DVIR, LOC6622560|XP_032290501.1|DVIR, LOC6622574|XP_002047517.1|DVIR	LOC120431646|XP_039452687.1|CPIP, LOC120428342|XP_039449274.1|CPIP, LOC120413636|XP_039430486.1|CPIP
OG0000029	LOC6625353|XP_002050320.1|DVIR, LOC6625686|XP_002050319.2|DVIR, LOC6624236|XP_002048359.1|DVIR	LOC120427995|XP_039448892.1|CPIP, LOC120429043|XP_039450116.1|CPIP, LOC120425400|XP_039445848.1|CPIP, LOC120412437|XP_039428830.1|CPIP, LOC120412438|XP_039428832.1|CPIP, LOC120412377|XP_039428737.1|CPIP, LOC120426298|XP_039446982.1|CPIP, LOC120431774|XP_039452829.1|CPIP, LOC120431776|XP_039452830.1|CPIP, LOC120414517|XP_039431660.1|CPIP, LOC120431779|XP_039452834.1|CPIP, LOC120431777|XP_039452831.1|CPIP, LOC120414516|XP_039431658.1|CPIP, LOC120431778|XP_039452832.1|CPIP, LOC120431781|XP_039452836.1|CPIP, LOC120423531|XP_039443312.1|CPIP, LOC120423591|XP_039443386.1|CPIP, LOC120423529|XP_039443310.1|CPIP, LOC120423562|XP_039443346.1|CPIP, LOC120423590|XP_039443385.1|CPIP, LOC120423574|XP_039443365.1|CPIP, LOC120423530|XP_039443311.1|CPIP, LOC120428050|XP_039448948.1|CPIP, LOC120428047|XP_039448945.1|CPIP, LOC120428042|XP_039448940.1|CPIP, LOC120428049|XP_039448947.1|CPIP, LOC120428044|XP_039448941.1|CPIP, LOC120428048|XP_039448946.1|CPIP, LOC120428041|XP_039448939.1|CPIP, LOC120416967|XP_039434819.1|CPIP, LOC120416965|XP_039434818.1|CPIP, LOC120416968|XP_039434820.1|CPIP, LOC120424280|XP_039444284.1|CPIP, LOC120416978|XP_039434836.1|CPIP, LOC120425984|XP_039446573.1|CPIP
OG0000031	LOC6634268|XP_002057550.2|DVIR, LOC6634269|XP_002057551.2|DVIR, LOC6634303|XP_032293402.1|DVIR	LOC120431052|XP_039452140.1|CPIP, LOC120431053|XP_039452142.1|CPIP, LOC120431044|XP_039452130.1|CPIP
OG0000032	LOC6629979|XP_002054337.1|DVIR, LOC6629980|XP_032294917.1|DVIR, LOC6629978|XP_032294961.1|DVIR, LOC6634892|XP_002058480.2|DVIR, LOC6629977|XP_002054335.1|DVIR, LOC6629932|XP_002054333.2|DVIR, LOC6629933|XP_002054334.2|DVIR	LOC120428276|XP_039449203.1|CPIP, LOC120428278|XP_039449205.1|CPIP, LOC120423181|XP_039442808.1|CPIP, LOC120428273|XP_039449199.1|CPIP, LOC120428279|XP_039449206.1|CPIP, LOC120423333|XP_039443034.1|CPIP, LOC120423329|XP_039443024.1|CPIP
OG0000034	LOC6627930|XP_002051996.1|DVIR, LOC6627931|XP_002051997.2|DVIR, LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR, LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR, LOC6628688|XP_002051352.1|DVIR	LOC120424426|XP_039444477.1|CPIP, LOC120424428|XP_039444478.1|CPIP, LOC120425576|XP_039446083.1|CPIP
OG0000036	LOC6632491|XP_002056444.1|DVIR	LOC120423312|XP_039443009.1|CPIP, LOC120423302|XP_039442999.1|CPIP
OG0000036	LOC116651951|XP_032295383.1|DVIR	LOC120428713|XP_039449719.1|CPIP
OG0000036	LOC6631850|XP_002055586.3|DVIR	LOC120429038|XP_039450110.1|CPIP, LOC120429039|XP_039450111.1|CPIP, LOC120428147|XP_039449065.1|CPIP, LOC120428149|XP_039449068.1|CPIP, LOC120428146|XP_039449064.1|CPIP, LOC120428148|XP_039449067.1|CPIP, LOC120415924|XP_039433504.1|CPIP, LOC120415923|XP_039433503.1|CPIP, LOC120426062|XP_039446682.1|CPIP, LOC120414650|XP_039431833.1|CPIP, LOC120421881|XP_039441110.1|CPIP, LOC120415922|XP_039433501.1|CPIP, LOC120417580|XP_039435624.1|CPIP, LOC120417594|XP_039435641.1|CPIP, LOC120425684|XP_039446205.1|CPIP, LOC120425659|XP_039446177.1|CPIP, LOC120425667|XP_039446188.1|CPIP
OG0000037	LOC6627126|XP_032291548.1|DVIR, LOC6629970|XP_002053079.1|DVIR, LOC6630819|XP_002054726.2|DVIR, LOC26531412|XP_015030326.1|DVIR	LOC120427863|XP_039448721.1|CPIP, LOC120427866|XP_039448727.1|CPIP
OG0000038	LOC6622648|XP_002047530.1|DVIR	LOC120421672|XP_039440837.1|CPIP
OG0000038	LOC6624649|XP_002047532.2|DVIR	LOC120424485|XP_039444561.1|CPIP
OG0000039	LOC6630003|XP_002054716.2|DVIR	LOC120423308|XP_039443007.1|CPIP, LOC120423309|XP_039443008.1|CPIP, LOC120423299|XP_039442997.1|CPIP, LOC120423315|XP_039443011.1|CPIP, LOC120414296|XP_039431365.1|CPIP, LOC120414287|XP_039431352.1|CPIP, LOC120425565|XP_039446064.1|CPIP, LOC120425872|XP_039446428.1|CPIP, LOC120421228|XP_039440361.1|CPIP, LOC120420530|XP_039439537.1|CPIP, LOC120419083|XP_039437604.1|CPIP, LOC120419038|XP_039437539.1|CPIP, LOC120419279|XP_039437882.1|CPIP
OG0000041	LOC6630636|XP_002053634.1|DVIR, LOC6630746|XP_002053207.1|DVIR, LOC6630637|XP_002053635.1|DVIR, LOC6630748|XP_002053209.1|DVIR, LOC6630744|XP_032290585.1|DVIR, LOC116651238|XP_032293093.1|DVIR, LOC6630745|XP_032292365.1|DVIR	LOC120412956|XP_039429533.1|CPIP, LOC120412955|XP_039429528.1|CPIP, LOC120412998|XP_039429583.1|CPIP, LOC120412985|XP_039429569.1|CPIP, LOC120412939|XP_039429511.1|CPIP
OG0000043	LOC6630320|XP_002053430.1|DVIR, LOC6630321|XP_002053431.1|DVIR, LOC6630323|XP_002053433.1|DVIR, LOC6630318|XP_002053428.2|DVIR	LOC120430105|XP_039451125.1|CPIP, LOC120430134|XP_039451155.1|CPIP, LOC120423650|XP_039443467.1|CPIP, LOC120423651|XP_039443468.1|CPIP
OG0000044	LOC6630493|XP_002053200.1|DVIR, LOC116651012|XP_032292468.1|DVIR, LOC6630492|XP_002053199.1|DVIR, LOC6630491|XP_002053198.1|DVIR	LOC120431841|XP_039452903.1|CPIP
OG0000047	LOC6624851|XP_002050852.1|DVIR, LOC6624848|XP_002050849.2|DVIR, LOC6626318|XP_002049525.1|DVIR, LOC6623898|XP_015031386.1|DVIR, LOC6624041|XP_002047846.1|DVIR, LOC6626924|XP_002049538.1|DVIR	LOC120423119|XP_039442732.1|CPIP
OG0000048	LOC6623801|XP_002046214.1|DVIR, LOC6623780|XP_002046212.1|DVIR, LOC6623749|XP_002046215.1|DVIR	LOC120428345|XP_039449278.1|CPIP, LOC120428347|XP_039449282.1|CPIP
OG0000049	LOC6632699|XP_002056032.2|DVIR, LOC6632702|XP_002056035.3|DVIR, LOC6632698|XP_002056031.1|DVIR, LOC116650324|XP_032289598.1|DVIR, LOC6632703|XP_002056036.2|DVIR	LOC120423767|XP_039443615.1|CPIP, LOC120423768|XP_039443616.1|CPIP, LOC120422276|XP_039441594.1|CPIP, LOC120414464|XP_039431589.1|CPIP
OG0000051	LOC6633160|XP_002056609.1|DVIR, LOC6632364|XP_002056725.1|DVIR, LOC6630427|XP_002053739.1|DVIR	LOC120417514|XP_039435529.1|CPIP, LOC120417515|XP_039435532.1|CPIP, LOC120417516|XP_039435533.1|CPIP, LOC120417522|XP_039435539.1|CPIP, LOC120417521|XP_039435538.1|CPIP
OG0000053	LOC6625282|XP_002049664.3|DVIR, LOC6624847|XP_002049663.1|DVIR, LOC6624846|XP_002049662.1|DVIR	LOC120416815|XP_039434629.1|CPIP, LOC120422201|XP_039441517.1|CPIP, LOC120422212|XP_039441531.1|CPIP, LOC120422199|XP_039441515.1|CPIP
OG0000054	LOC6633223|XP_002056282.1|DVIR, LOC6629800|XP_002053376.1|DVIR, LOC6633224|XP_002056283.1|DVIR, LOC116650298|XP_032289550.1|DVIR	LOC120424642|XP_039444745.1|CPIP, LOC120424640|XP_039444743.1|CPIP, LOC120424639|XP_039444742.1|CPIP, LOC120424641|XP_039444744.1|CPIP, LOC120423364|XP_039443073.1|CPIP, LOC120426098|XP_039446735.1|CPIP, LOC120426101|XP_039446739.1|CPIP, LOC120423365|XP_039443074.1|CPIP, LOC120424648|XP_039444752.1|CPIP, LOC120430136|XP_039451157.1|CPIP, LOC120430099|XP_039451120.1|CPIP, LOC120432483|XP_039453634.1|CPIP, LOC120430127|XP_039451146.1|CPIP, LOC120430097|XP_039451119.1|CPIP
OG0000055	LOC6632627|XP_002056104.1|DVIR, LOC6632628|XP_002056105.1|DVIR, LOC6632630|XP_002056107.2|DVIR, LOC6632629|XP_002056106.2|DVIR	LOC120417320|XP_039435220.1|CPIP, LOC120426347|XP_039447068.1|CPIP, LOC120426434|XP_039447163.1|CPIP
OG0000056	LOC6630825|XP_002054732.1|DVIR, LOC6630824|XP_002054731.1|DVIR, LOC26531774|XP_032295287.1|DVIR, LOC6630956|XP_002054733.1|DVIR, LOC6627508|XP_002052791.1|DVIR	LOC120426017|XP_039446626.1|CPIP, LOC120426019|XP_039446628.1|CPIP, LOC120426018|XP_039446627.1|CPIP, LOC120421076|XP_039440155.1|CPIP
OG0000057	LOC116651248|XP_032293116.1|DVIR	LOC120423183|XP_039442816.1|CPIP, LOC120415000|XP_039432291.1|CPIP
OG0000058	LOC6628288|XP_002051345.2|DVIR, LOC6628289|XP_032293797.1|DVIR, LOC6637243|XP_002060538.2|DVIR, LOC6628292|XP_002051349.1|DVIR, LOC6628291|XP_002051348.1|DVIR, LOC6628290|XP_002051347.1|DVIR, LOC6633609|XP_002056917.1|DVIR	LOC120416511|XP_039434162.1|CPIP, LOC120416581|XP_039434249.1|CPIP, LOC120416580|XP_039434248.1|CPIP, LOC120416567|XP_039434234.1|CPIP, LOC120416513|XP_039434165.1|CPIP, LOC120416512|XP_039434163.1|CPIP
OG0000060	LOC6634792|XP_002058128.1|DVIR, LOC6634791|XP_002058127.1|DVIR	LOC120420228|XP_039439150.1|CPIP
OG0000060	LOC6632878|XP_032289764.1|DVIR	LOC120426886|XP_039447624.1|CPIP
OG0000061	LOC6628610|XP_002052171.1|DVIR, LOC6628552|XP_002052178.1|DVIR, LOC6628553|XP_002052179.2|DVIR, LOC6628612|XP_002052173.2|DVIR, LOC6628611|XP_002052172.1|DVIR	LOC120415159|XP_039432529.1|CPIP
OG0000064	LOC6628665|XP_002051821.1|DVIR	LOC120418388|XP_039436700.1|CPIP
OG0000067	LOC6632379|XP_002056002.1|DVIR, LOC6623824|XP_002047391.1|DVIR	LOC120432580|XP_039453749.1|CPIP, LOC120432652|XP_039453830.1|CPIP, LOC120432654|XP_039453831.1|CPIP
OG0000067	LOC116650975|XP_032292230.1|DVIR, LOC6636461|XP_002059820.1|DVIR, LOC6623938|XP_002047390.1|DVIR	LOC120432651|XP_039453829.1|CPIP
OG0000067	LOC6623911|XP_002046867.1|DVIR	LOC120427625|XP_039448443.1|CPIP
OG0000068	LOC6626486|XP_015029513.1|DVIR, LOC6631686|XP_032295536.1|DVIR	LOC120412403|XP_039428799.1|CPIP, LOC120412410|XP_039428807.1|CPIP, LOC120412405|XP_039428802.1|CPIP, LOC120412404|XP_039428800.1|CPIP, LOC120417591|XP_039435637.1|CPIP, LOC120417584|XP_039435629.1|CPIP, LOC120417585|XP_039435630.1|CPIP, LOC120412539|XP_039428969.1|CPIP
OG0000070	LOC6628714|XP_002051332.1|DVIR, LOC6631435|XP_002054957.2|DVIR, LOC6628614|XP_002051334.1|DVIR, LOC6628613|XP_002051333.1|DVIR	LOC120414155|XP_039431129.1|CPIP
OG0000071	LOC6622067|XP_002047717.2|DVIR, LOC6622389|XP_032290781.1|DVIR, LOC116650646|XP_032290782.1|DVIR	LOC120417372|XP_039435321.1|CPIP, LOC120425799|XP_039446344.1|CPIP
OG0000072	LOC6635857|XP_002059479.1|DVIR, LOC6627108|XP_002050848.2|DVIR, LOC6627106|XP_002050846.1|DVIR	LOC120420739|XP_039439769.1|CPIP, LOC120412899|XP_039429465.1|CPIP, LOC120412897|XP_039429462.1|CPIP, LOC120419603|XP_039438279.1|CPIP, LOC120420422|XP_039439378.1|CPIP, LOC120420470|XP_039439437.1|CPIP, LOC120419611|XP_039438287.1|CPIP
OG0000073	LOC6625785|XP_002049583.1|DVIR	LOC120414900|XP_039432160.1|CPIP
OG0000073	LOC6634684|XP_032289237.1|DVIR	LOC120424938|XP_039445177.1|CPIP, LOC120424929|XP_039445153.1|CPIP
OG0000073	LOC6635019|XP_015024910.1|DVIR	LOC120418372|XP_039436675.1|CPIP
OG0000074	LOC116650728|XP_032291099.1|DVIR, LOC6624120|XP_002046531.3|DVIR, LOC6623893|XP_002046826.2|DVIR	LOC120428393|XP_039449334.1|CPIP, LOC120428412|XP_039449359.1|CPIP, LOC120428418|XP_039449364.1|CPIP, LOC120428413|XP_039449360.1|CPIP, LOC120423023|XP_039442600.1|CPIP, LOC120423018|XP_039442593.1|CPIP, LOC120423020|XP_039442594.1|CPIP, LOC120423021|XP_039442595.1|CPIP, LOC120423005|XP_039442562.1|CPIP, LOC120423030|XP_039442605.1|CPIP, LOC120428411|XP_039449358.1|CPIP, LOC120420019|XP_039438857.1|CPIP, LOC120428388|XP_039449320.1|CPIP, LOC120428410|XP_039449357.1|CPIP, LOC120428409|XP_039449356.1|CPIP, LOC120427610|XP_039448425.1|CPIP
OG0000076	LOC6636598|XP_015023834.1|DVIR	LOC120414119|XP_039431083.1|CPIP
OG0000076	LOC6632148|XP_002055757.3|DVIR	LOC120419152|XP_039437732.1|CPIP
OG0000077	LOC6627101|XP_002049944.1|DVIR	LOC120428195|XP_039449110.1|CPIP
OG0000077	LOC6624992|XP_002049450.1|DVIR	LOC120425394|XP_039445844.1|CPIP
OG0000077	LOC6631157|XP_002054511.2|DVIR	LOC120420744|XP_039439774.1|CPIP
OG0000078	LOC6625190|XP_002049123.3|DVIR, LOC26531397|XP_015030323.1|DVIR, LOC6625191|XP_002049124.2|DVIR, LOC6622767|XP_002048006.1|DVIR, LOC6632525|XP_002056424.2|DVIR, LOC6632017|XP_002055232.3|DVIR, LOC6631517|XP_002055314.1|DVIR	LOC120426652|XP_039447380.1|CPIP, LOC120417056|XP_039434945.1|CPIP
OG0000080	LOC6635875|XP_002059348.1|DVIR, LOC6625499|XP_002049016.1|DVIR	LOC120419665|XP_039438362.1|CPIP, LOC120432076|XP_039453147.1|CPIP, LOC120431515|XP_039452549.1|CPIP, LOC120432086|XP_039453158.1|CPIP, LOC120431996|XP_039453065.1|CPIP
